"sex"	"age_group"	"cancer_site"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
Women	20-49	Gallbladder	0	Full Range	2001	2019	3.4044	1.9021	4.9287	1	4.8264	0.000158
Women	20-49	Hodgkin Lymphoma	0	Full Range	2001	2019	1.5691	1.0617	2.0790	1	6.5589	0.000005
Women	20-49	Kidney	0	Full Range	2001	2019	4.6272	3.8761	5.3837	1	13.2467	0.000000
Women	20-49	Larynx	0	Full Range	2001	2019	-0.6382	-2.4510	1.2084	0	-0.7336	0.473217
Women	20-49	Leukaemia	0	Full Range	2001	2019	1.5290	1.0556	2.0045	1	6.8511	0.000003
Women	20-49	Liver	1	Full Range	2001	2019	4.2049	2.5820	5.8534	1	5.1432	0.000000
Women	20-49	Lung	0	Full Range	2001	2019	-0.1478	-0.7293	0.4370	0	-0.5344	0.599958
Women	20-49	Melanoma	1	Full Range	2001	2019	2.2174	1.3547	3.0875	1	5.0716	0.000000
Women	20-49	MultipleMyeloma	0	Full Range	2001	2019	6.0651	4.9857	7.1555	1	12.1458	0.000000
Women	20-49	Non-Hodgkin Lymphoma	0	Full Range	2001	2019	0.4667	-0.1104	1.0472	0	1.7052	0.106364
Women	20-49	Oesophagus	0	Full Range	2001	2019	-1.5696	-2.9153	-0.2052	1	-2.4246	0.026758
Women	20-49	Oral	2	Full Range	2001	2019	1.8132	-0.5304	4.2119	0	1.5124	0.130441
Women	20-49	Ovary	2	Full Range	2001	2019	0.7557	-0.6176	2.1480	0	1.0752	0.282281
Women	20-49	Pancreas	0	Full Range	2001	2019	2.8955	2.0480	3.7501	1	7.2813	0.000001
Women	20-49	Stomach	0	Full Range	2001	2019	0.4964	-0.3663	1.3665	0	1.2118	0.242172
Women	20-49	Thyroid	1	Full Range	2001	2019	5.9763	5.3293	6.6273	1	18.5774	0.000000
Women	50+	Bladder	1	Full Range	2001	2019	-1.4321	-1.8829	-0.9792	1	-6.1670	0.000000
Women	50+	Brain and CNS	2	Full Range	2001	2019	0.3316	-0.6905	1.3643	0	0.6337	0.526260
Women	50+	Breast	1	Full Range	2001	2019	0.6657	0.2136	1.1199	1	2.8890	0.003864
Women	50+	Cervix	1	Full Range	2001	2019	-1.7042	-2.4923	-0.9098	1	-4.1854	0.000028
Women	50+	Colorectum	2	Full Range	2001	2019	0.2956	-0.1925	0.7860	0	1.1857	0.235750
Women	50+	Endometrium	1	Full Range	2001	2019	1.8028	1.4596	2.1472	1	10.3693	0.000000
Women	50+	Gallbladder	0	Full Range	2001	2019	3.3095	2.8858	3.7349	1	16.7167	0.000000
Women	50+	Hodgkin Lymphoma	1	Full Range	2001	2019	2.1905	0.8991	3.4984	1	3.3395	0.000839
Women	50+	Kidney	1	Full Range	2001	2019	3.0225	2.3890	3.6600	1	9.4610	0.000000
Women	50+	Larynx	0	Full Range	2001	2019	-0.9786	-1.6271	-0.3259	1	-3.1579	0.005744
Women	50+	Leukaemia	1	Full Range	2001	2019	0.4454	-0.4248	1.3232	0	1.0011	0.316767
Women	50+	Liver	2	Full Range	2001	2019	3.3560	1.6501	5.0906	1	3.8873	0.000101
Women	50+	Lung	1	Full Range	2001	2019	1.5877	1.3232	1.8528	1	11.8442	0.000000
Women	50+	Melanoma	1	Full Range	2001	2019	3.6599	3.2425	4.0790	1	17.4608	0.000000
Women	50+	MultipleMyeloma	0	Full Range	2001	2019	2.4821	1.9911	2.9755	1	10.7707	0.000000
Women	50+	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.6771	0.2874	1.0683	1	3.4101	0.000649
Women	50+	Oesophagus	1	Full Range	2001	2019	-0.9550	-1.3359	-0.5727	1	-4.8815	0.000001
Women	50+	Oral	1	Full Range	2001	2019	2.7388	2.2278	3.2525	1	10.6199	0.000000
Women	50+	Ovary	0	Full Range	2001	2019	-1.3000	-1.5022	-1.0974	1	-13.4633	0.000000
Women	50+	Pancreas	1	Full Range	2001	2019	0.8795	0.5839	1.1760	1	5.8481	0.000000
Women	50+	Stomach	1	Full Range	2001	2019	-3.0659	-3.9031	-2.2214	1	-7.0357	0.000000
Women	50+	Thyroid	1	Full Range	2001	2019	4.6976	3.8290	5.5734	1	10.8007	0.000000
