"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	20-49	Multiple Myeloma	0	19	2	17	0.263112	0.015477	Uncorrelated	0	NA	NA	NA	-77.026180	10.473850	-7.354142	0.000001	0.038459	0.005211	7.380628	0.000001	NA	NA	NA	NA	109.701528	-0.054577	0.000027	1.000000	-0.999996	1.000000
Men	20-49	Non-Hodgkin Lymphoma	1	19	4	15	0.013878	0.000925	Uncorrelated	0	NA	NA	NA	-38.335601	8.146990	-4.705493	0.000338	0.020076	0.004063	4.940734	0.000217	NA	NA	NA	NA	66.373447	0.000000	67.037176	1.000000	0.000000	1.000000
Men	20-49	Non-Hodgkin Lymphoma	1	19	4	15	0.013878	0.000925	Uncorrelated	1	2010	2008	2012	38.838841	8.187623	4.743604	0.000314	-0.018319	0.004063	-4.508465	0.000491	-0.038395	0.005746	-6.681593	0.000010	0.000017	0.000000	0.000017	1.000000	0.000000	1.000000
Men	20-49	Oesophagus	0	19	2	17	0.123675	0.007275	Uncorrelated	0	NA	NA	NA	14.608290	7.180878	2.034332	0.057825	-0.006966	0.003573	-1.949817	0.067889	NA	NA	NA	NA	51.565003	-0.025654	0.000013	1.000000	-0.999996	1.000000
Men	20-49	Oral	1	19	4	15	0.006512	0.000434	Uncorrelated	0	NA	NA	NA	-57.671216	3.539828	-16.292097	0.000000	0.029535	0.001764	16.741359	0.000000	NA	NA	NA	NA	12.530380	0.000000	103.414009	1.000000	0.000000	1.000000
Men	20-49	Oral	1	19	4	15	0.006512	0.000434	Uncorrelated	1	2013	2012	2014	45.387461	10.169268	4.463198	0.000536	-0.021662	0.005043	-4.295402	0.000740	-0.051197	0.005343	-9.582526	0.000000	0.000003	0.000000	0.000025	1.000000	0.000000	1.000000
Men	20-49	Pancreas	0	19	2	17	0.100705	0.005924	Uncorrelated	0	NA	NA	NA	-36.787840	6.479802	-5.677309	0.000027	0.018509	0.003224	5.741407	0.000024	NA	NA	NA	NA	41.987836	-0.020889	0.000010	1.000000	-0.999996	1.000000
Men	50+	Bladder	2	19	6	13	0.005314	0.000409	Uncorrelated	0	NA	NA	NA	62.040696	30.161646	2.056940	0.064203	-0.028806	0.015066	-1.911986	0.082263	NA	NA	NA	NA	909.724888	0.000000	0.000227	1.000000	0.000000	1.000000
Men	50+	Bladder	2	19	6	13	0.005314	0.000409	Uncorrelated	1	2004	2003	2014	-12.192886	30.221909	-0.403445	0.694352	0.008237	0.015066	0.546750	0.595468	0.037043	0.021306	1.738588	0.109979	0.000227	0.000000	16.739372	1.000000	0.000000	1.000000
Men	50+	Bladder	2	19	6	13	0.005314	0.000409	Uncorrelated	2	2008	2006	2017	42.056230	4.091378	10.279234	0.000001	-0.018779	0.002031	-9.244208	0.000002	-0.027016	0.015202	-1.777155	0.103168	913.363783	0.000000	0.000004	1.000000	0.000000	1.000000
Men	50+	Brain and CNS	1	19	4	15	0.010861	0.000724	Uncorrelated	0	NA	NA	NA	-13.286907	4.200834	-3.162921	0.006912	0.008124	0.002094	3.880344	0.001665	NA	NA	NA	NA	17.647009	0.000000	145.641869	1.000000	0.000000	1.000000
Men	50+	Brain and CNS	1	19	4	15	0.010861	0.000724	Uncorrelated	1	2013	2006	2017	19.181525	12.068217	1.589425	0.134286	-0.008005	0.005985	-1.337645	0.202337	-0.016129	0.006340	-2.543919	0.023392	0.000004	0.000000	0.000036	1.000000	0.000000	1.000000
Men	50+	Breast	0	19	2	17	0.086942	0.005114	Uncorrelated	0	NA	NA	NA	-3.325788	6.020753	-0.552387	0.587873	0.002215	0.002995	0.739635	0.469613	NA	NA	NA	NA	36.249466	-0.018034	0.000009	1.000000	-0.999996	1.000000
Men	50+	Colorectum	2	19	6	13	0.002079	0.000160	Uncorrelated	0	NA	NA	NA	-21.133976	2.549872	-8.288251	0.000005	0.013192	0.001271	10.375705	0.000001	NA	NA	NA	NA	6.501846	0.000000	0.000267	1.000000	0.000000	1.000000
Men	50+	Colorectum	2	19	6	13	0.002079	0.000160	Uncorrelated	1	2011	2009	2012	71.280789	32.867985	2.168700	0.052897	-0.032763	0.016332	-2.006045	0.070074	-0.045955	0.016381	-2.805305	0.017112	0.000002	0.000000	54.257076	1.000000	0.000000	1.000000
Men	50+	Colorectum	2	19	6	13	0.002079	0.000160	Uncorrelated	2	2014	2013	2017	6.024085	7.365940	0.817830	0.430813	-0.000361	0.003652	-0.098859	0.923029	0.032402	0.016735	1.936127	0.078960	1080.304467	0.000000	0.000013	1.000000	0.000000	1.000000
Men	50+	Gallbladder	0	19	2	17	0.072417	0.004260	Uncorrelated	0	NA	NA	NA	-56.740848	5.494870	-10.326149	0.000000	0.029191	0.002734	10.677847	0.000000	NA	NA	NA	NA	30.193596	-0.015022	0.000007	1.000000	-0.999996	1.000000
Men	50+	Hodgkin Lymphoma	1	19	4	15	0.037205	0.002480	Uncorrelated	0	NA	NA	NA	-62.703017	6.763414	-9.270913	0.000000	0.031913	0.003370	9.469952	0.000000	NA	NA	NA	NA	45.743765	0.000000	840.851002	1.000000	0.000000	1.000000
Men	50+	Hodgkin Lymphoma	1	19	4	15	0.037205	0.002480	Uncorrelated	1	2014	2012	2017	16.114172	28.997431	0.555710	0.587180	-0.007222	0.014377	-0.502333	0.623242	-0.039135	0.014766	-2.650288	0.019018	0.000011	0.000000	0.000207	1.000000	0.000000	1.000000
Men	50+	Kidney	1	19	4	15	0.016012	0.001067	Uncorrelated	0	NA	NA	NA	-76.225233	4.788150	-15.919557	0.000000	0.039848	0.002386	16.702852	0.000000	NA	NA	NA	NA	22.926384	0.000000	421.427343	1.000000	0.000000	1.000000
Men	50+	Kidney	1	19	4	15	0.016012	0.001067	Uncorrelated	1	2014	2012	2016	-6.160605	20.528696	-0.300097	0.768513	0.005060	0.010178	0.497115	0.626824	-0.034789	0.010454	-3.327891	0.004978	0.000006	0.000000	0.000104	1.000000	0.000000	1.000000
Men	50+	Larynx	1	19	4	15	0.008326	0.000555	Uncorrelated	0	NA	NA	NA	13.747707	4.625401	2.972219	0.010092	-0.005429	0.002306	-2.354640	0.033664	NA	NA	NA	NA	21.394338	0.000000	84.889125	1.000000	0.000000	1.000000
Men	50+	Larynx	1	19	4	15	0.008326	0.000555	Uncorrelated	1	2012	2008	2015	60.341864	9.213529	6.549267	0.000013	-0.028587	0.004570	-6.255176	0.000021	-0.023158	0.005119	-4.524025	0.000477	0.000005	0.000000	0.000021	1.000000	0.000000	1.000000
Men	50+	Leukaemia	1	19	4	15	0.020895	0.001393	Uncorrelated	0	NA	NA	NA	-45.379136	5.083635	-8.926513	0.000000	0.024482	0.002532	9.667997	0.000000	NA	NA	NA	NA	25.843348	0.000000	1187.611866	1.000000	0.000000	1.000000
Men	50+	Leukaemia	1	19	4	15	0.020895	0.001393	Uncorrelated	1	2015	2013	2017	98.665673	34.461745	2.863049	0.012523	-0.047004	0.017081	-2.751754	0.015591	-0.071486	0.017268	-4.139788	0.001001	0.000006	0.000000	0.000292	1.000000	0.000000	1.000000
Men	50+	Liver	1	19	4	15	0.012430	0.000829	Uncorrelated	0	NA	NA	NA	-115.651734	4.342170	-26.634550	0.000000	0.059156	0.002164	27.342706	0.000000	NA	NA	NA	NA	18.854437	0.000000	346.577779	1.000000	0.000000	1.000000
Men	50+	Liver	1	19	4	15	0.012430	0.000829	Uncorrelated	1	2014	2012	2016	-31.135238	18.616600	-1.672445	0.116627	0.017192	0.009230	1.862620	0.083633	-0.041964	0.009480	-4.426625	0.000575	0.000005	0.000000	0.000085	1.000000	0.000000	1.000000
Men	50+	Lung	2	19	6	13	0.001820	0.000140	Uncorrelated	0	NA	NA	NA	59.309010	31.838336	1.862818	0.089389	-0.026896	0.015907	-1.690791	0.118980	NA	NA	NA	NA	1013.679636	0.000000	0.000002	1.000000	0.000000	1.000000
Men	50+	Lung	2	19	6	13	0.001820	0.000140	Uncorrelated	1	2003	2003	2006	11.717125	2.915870	4.018397	0.002022	-0.003136	0.001452	-2.159258	0.053774	0.023760	0.015973	1.487494	0.164979	0.000253	0.000000	29.398030	1.000000	0.000000	1.000000
Men	50+	Lung	2	19	6	13	0.001820	0.000140	Uncorrelated	2	2013	2006	2017	35.459412	5.421995	6.539920	0.000042	-0.014930	0.002689	-5.552632	0.000172	-0.011794	0.003056	-3.859605	0.002655	8.502299	0.000000	0.000007	1.000000	0.000000	1.000000
Men	50+	Melanoma	2	19	6	13	0.006808	0.000524	Uncorrelated	0	NA	NA	NA	-149.608763	8.406351	-17.797111	0.000000	0.076403	0.004195	18.213799	0.000000	NA	NA	NA	NA	70.666736	0.000000	0.000049	1.000000	0.000000	1.000000
Men	50+	Melanoma	2	19	6	13	0.006808	0.000524	Uncorrelated	1	2008	2005	2011	-92.497194	14.115647	-6.552813	0.000041	0.047961	0.007019	6.832805	0.000028	-0.028442	0.008177	-3.478236	0.005164	0.000018	0.000000	200.442220	1.000000	0.000000	1.000000
Men	50+	Melanoma	2	19	6	13	0.006808	0.000524	Uncorrelated	2	2014	2010	2017	-41.610695	14.157762	-2.939073	0.013470	0.022695	0.007019	3.233203	0.007970	-0.025266	0.009927	-2.545303	0.027222	199.251478	0.000000	0.000049	1.000000	0.000000	1.000000
Men	50+	Multiple Myeloma	0	19	2	17	0.039289	0.002311	Uncorrelated	0	NA	NA	NA	-55.964930	4.047337	-13.827594	0.000000	0.029517	0.002014	14.659024	0.000000	NA	NA	NA	NA	16.380935	-0.008150	0.000004	1.000000	-0.999996	1.000000
Men	50+	Non-Hodgkin Lymphoma	1	19	4	15	0.004953	0.000330	Uncorrelated	0	NA	NA	NA	-50.550689	4.058329	-12.456035	0.000000	0.027177	0.002024	13.429842	0.000000	NA	NA	NA	NA	16.470036	0.000000	32.675267	1.000000	0.000000	1.000000
Men	50+	Non-Hodgkin Lymphoma	1	19	4	15	0.004953	0.000330	Uncorrelated	1	2011	2010	2013	13.914532	5.716228	2.434216	0.028908	-0.004880	0.002836	-1.720549	0.107348	-0.032056	0.003484	-9.200877	0.000000	0.000004	0.000000	0.000008	1.000000	0.000000	1.000000
Men	50+	Oesophagus	1	19	4	15	0.003396	0.000226	Uncorrelated	0	NA	NA	NA	-19.096453	3.997883	-4.776642	0.000295	0.011477	0.001994	5.756116	0.000050	NA	NA	NA	NA	15.983065	0.000000	16.142895	1.000000	0.000000	1.000000
Men	50+	Oesophagus	1	19	4	15	0.003396	0.000226	Uncorrelated	1	2010	2006	2014	3.579090	4.017822	0.890804	0.388087	0.000196	0.001994	0.098332	0.923063	-0.011281	0.002820	-4.000657	0.001314	0.000004	0.000000	0.000004	1.000000	0.000000	1.000000
Men	50+	Oral	1	19	4	15	0.014332	0.000955	Uncorrelated	0	NA	NA	NA	-69.021761	5.306662	-13.006624	0.000000	0.036171	0.002645	13.676624	0.000000	NA	NA	NA	NA	28.160666	0.000000	232.411738	1.000000	0.000000	1.000000
Men	50+	Oral	1	19	4	15	0.014332	0.000955	Uncorrelated	1	2013	2008	2017	-30.424871	15.245056	-1.995721	0.065799	0.016997	0.007560	2.248259	0.041189	-0.019174	0.008009	-2.393913	0.031231	0.000007	0.000000	0.000057	1.000000	0.000000	1.000000
Men	50+	Pancreas	0	19	2	17	0.005669	0.000333	Uncorrelated	0	NA	NA	NA	-24.977211	1.537396	-16.246439	0.000000	0.014277	0.000765	18.665744	0.000000	NA	NA	NA	NA	2.363587	-0.001176	0.000001	1.000000	-0.999996	1.000000
Women	20-49	Bladder	0	19	2	17	0.262278	0.015428	Uncorrelated	0	NA	NA	NA	15.917577	10.457231	1.522160	0.146353	-0.008148	0.005203	-1.566075	0.135755	NA	NA	NA	NA	109.353676	-0.054404	0.000027	1.000000	-0.999996	1.000000
Women	20-49	Brain and CNS	2	19	6	13	0.020547	0.001581	Uncorrelated	0	NA	NA	NA	-17.281619	7.525998	-2.296256	0.042310	0.009180	0.003752	2.446975	0.032419	NA	NA	NA	NA	56.640647	0.000000	0.003097	1.000000	0.000000	1.000000
Women	20-49	Brain and CNS	2	19	6	13	0.020547	0.001581	Uncorrelated	1	2012	2003	2014	-137.223799	112.045811	-1.224712	0.246264	0.068794	0.055647	1.236248	0.242114	0.059613	0.055774	1.068846	0.308033	0.000014	0.000000	1260.419670	1.000000	0.000000	1.000000
Women	20-49	Brain and CNS	2	19	6	13	0.020547	0.001581	Uncorrelated	2	2015	2013	2017	81.231242	35.502390	2.288050	0.042925	-0.039621	0.017597	-2.251526	0.045767	-0.108414	0.058363	-1.857576	0.090181	12554.263697	0.000000	0.000310	1.000000	0.000000	1.000000
Women	20-49	Breast	1	19	4	15	0.004002	0.000267	Uncorrelated	0	NA	NA	NA	-27.127717	2.724681	-9.956289	0.000000	0.015648	0.001358	11.523300	0.000000	NA	NA	NA	NA	7.423889	0.000000	61.269822	1.000000	0.000000	1.000000
Women	20-49	Breast	1	19	4	15	0.004002	0.000267	Uncorrelated	1	2013	2011	2015	14.274350	7.827504	1.823615	0.089627	-0.004920	0.003882	-1.267365	0.225701	-0.020567	0.004112	-5.001311	0.000194	0.000002	0.000000	0.000015	1.000000	0.000000	1.000000
Women	20-49	Cervix	0	19	2	17	0.056804	0.003341	Uncorrelated	0	NA	NA	NA	-24.688308	4.866581	-5.073029	0.000094	0.013586	0.002421	5.611187	0.000031	NA	NA	NA	NA	23.683614	-0.011783	0.000006	1.000000	-0.999996	1.000000
Women	20-49	Colorectum	0	19	2	17	0.034524	0.002031	Uncorrelated	0	NA	NA	NA	-64.850107	3.793978	-17.092907	0.000000	0.033330	0.001888	17.657608	0.000000	NA	NA	NA	NA	14.394266	-0.007161	0.000004	1.000000	-0.999996	1.000000
Women	20-49	Endometrium	1	19	4	15	0.046322	0.003088	Uncorrelated	0	NA	NA	NA	-113.203700	27.399662	-4.131573	0.001017	0.057074	0.013676	4.173346	0.000938	NA	NA	NA	NA	750.741467	0.000000	92.793584	1.000000	0.000000	1.000000
Women	20-49	Endometrium	1	19	4	15	0.046322	0.003088	Uncorrelated	1	2007	2003	2011	-39.352614	9.632943	-4.085212	0.001114	0.020277	0.004784	4.238452	0.000826	-0.036797	0.014489	-2.539711	0.023583	0.000187	0.000000	0.000023	1.000000	0.000000	1.000000
Women	20-49	Gallbladder	0	19	2	17	0.466202	0.027424	Uncorrelated	0	NA	NA	NA	-68.575305	13.941927	-4.918639	0.000130	0.033477	0.006936	4.826375	0.000158	NA	NA	NA	NA	194.377342	-0.096704	0.000048	1.000000	-0.999996	1.000000
Women	20-49	Hodgkin Lymphoma	0	19	2	17	0.054600	0.003212	Uncorrelated	0	NA	NA	NA	-30.230500	4.771249	-6.335972	0.000007	0.015569	0.002374	6.558875	0.000005	NA	NA	NA	NA	22.764815	-0.011326	0.000006	1.000000	-0.999996	1.000000
Women	20-49	Kidney	0	19	2	17	0.112986	0.006646	Uncorrelated	0	NA	NA	NA	-90.119042	6.863538	-13.130115	0.000000	0.045233	0.003415	13.246732	0.000000	NA	NA	NA	NA	47.108153	-0.023437	0.000012	1.000000	-0.999996	1.000000
Women	20-49	Larynx	0	19	2	17	0.738078	0.043416	Uncorrelated	0	NA	NA	NA	11.429466	17.542318	0.651537	0.523411	-0.006402	0.008727	-0.733554	0.473217	NA	NA	NA	NA	307.732927	-0.153100	0.000076	1.000000	-0.999996	1.000000
Women	20-49	Leukaemia	0	19	2	17	0.047534	0.002796	Uncorrelated	0	NA	NA	NA	-29.421777	4.451817	-6.608936	0.000004	0.015174	0.002215	6.851116	0.000003	NA	NA	NA	NA	19.818677	-0.009860	0.000005	1.000000	-0.999996	1.000000
Women	20-49	Liver	1	19	4	15	0.117627	0.007842	Uncorrelated	0	NA	NA	NA	-185.157349	32.338035	-5.725683	0.000052	0.091990	0.016137	5.700638	0.000055	NA	NA	NA	NA	1045.748535	0.000000	268.854152	1.000000	0.000000	1.000000
Women	20-49	Liver	1	19	4	15	0.117627	0.007842	Uncorrelated	1	2008	2003	2010	-18.234338	16.396773	-1.112069	0.284841	0.008861	0.008141	1.088352	0.294821	-0.083129	0.018074	-4.599320	0.000413	0.000260	0.000000	0.000066	1.000000	0.000000	1.000000
Women	20-49	Lung	0	19	2	17	0.074245	0.004367	Uncorrelated	0	NA	NA	NA	4.444712	5.563763	0.798868	0.435387	-0.001479	0.002768	-0.534440	0.599958	NA	NA	NA	NA	30.955458	-0.015401	0.000008	1.000000	-0.999996	1.000000
Women	20-49	Melanoma	1	19	4	15	0.025251	0.001683	Uncorrelated	0	NA	NA	NA	-101.603949	26.627648	-3.815731	0.001891	0.052003	0.013294	3.911773	0.001565	NA	NA	NA	NA	709.031642	0.000000	39.347864	1.000000	0.000000	1.000000
Women	20-49	Melanoma	1	19	4	15	0.025251	0.001683	Uncorrelated	1	2006	2004	2014	-18.081965	6.272788	-2.882604	0.012049	0.010367	0.003116	3.326737	0.004990	-0.041636	0.013654	-3.049321	0.008661	0.000177	0.000000	0.000010	1.000000	0.000000	1.000000
Women	20-49	Multiple Myeloma	0	19	2	17	0.227743	0.013397	Uncorrelated	0	NA	NA	NA	-118.448861	9.744477	-12.155487	0.000000	0.058883	0.004848	12.145821	0.000000	NA	NA	NA	NA	94.954823	-0.047241	0.000024	1.000000	-0.999996	1.000000
Women	20-49	Non-Hodgkin Lymphoma	0	19	2	17	0.072254	0.004250	Uncorrelated	0	NA	NA	NA	-7.810489	5.488681	-1.423018	0.172824	0.004656	0.002731	1.705184	0.106364	NA	NA	NA	NA	30.125614	-0.014988	0.000007	1.000000	-0.999996	1.000000
Women	20-49	Oesophagus	0	19	2	17	0.412530	0.024266	Uncorrelated	0	NA	NA	NA	31.264461	13.114859	2.383896	0.029057	-0.015820	0.006525	-2.424625	0.026758	NA	NA	NA	NA	171.999522	-0.085571	0.000043	1.000000	-0.999996	1.000000
Women	20-49	Oral	2	19	6	13	0.043154	0.003320	Uncorrelated	0	NA	NA	NA	44.011991	82.095987	0.536104	0.602559	-0.021595	0.041007	-0.526614	0.608917	NA	NA	NA	NA	6739.751123	0.000000	0.001682	1.000000	0.000000	1.000000
Women	20-49	Oral	2	19	6	13	0.043154	0.003320	Uncorrelated	1	2004	2003	2010	-149.008785	82.260015	-1.811436	0.097437	0.074723	0.041007	1.822200	0.095698	0.096318	0.057993	1.660862	0.124947	0.001682	0.000000	124.014639	1.000000	0.000000	1.000000
Women	20-49	Oral	2	19	6	13	0.043154	0.003320	Uncorrelated	2	2008	2006	2017	-15.273158	11.136186	-1.371489	0.197550	0.008122	0.005529	1.468791	0.169898	-0.066601	0.041378	-1.609581	0.135788	6766.710096	0.000000	0.000031	1.000000	0.000000	1.000000
Women	20-49	Ovary	2	19	6	13	0.010776	0.000829	Uncorrelated	0	NA	NA	NA	13.949999	23.901593	0.583643	0.571234	-0.005909	0.011936	-0.495081	0.630283	NA	NA	NA	NA	571.286139	0.000000	0.001425	1.000000	0.000000	1.000000
Women	20-49	Ovary	2	19	6	13	0.010776	0.000829	Uncorrelated	1	2005	2003	2013	-102.188656	75.734442	-1.349302	0.204357	0.052015	0.037745	1.378087	0.195562	0.057925	0.039587	1.463227	0.171385	0.000142	0.000000	26.266719	1.000000	0.000000	1.000000
Women	20-49	Ovary	2	19	6	13	0.010776	0.000829	Uncorrelated	2	2008	2006	2017	1.691211	5.125107	0.329985	0.747610	0.000282	0.002545	0.110931	0.913669	-0.051733	0.037830	-1.367504	0.198758	5735.705670	0.000000	0.000006	1.000000	0.000000	1.000000
Women	20-49	Pancreas	0	19	2	17	0.148913	0.008760	Uncorrelated	0	NA	NA	NA	-57.228631	7.879569	-7.262914	0.000001	0.028544	0.003920	7.281296	0.000001	NA	NA	NA	NA	62.087604	-0.030889	0.000015	1.000000	-0.999996	1.000000
Women	50+	Bladder	1	19	4	15	0.010231	0.000682	Uncorrelated	0	NA	NA	NA	19.895768	5.620076	3.540125	0.003264	-0.008298	0.002802	-2.961091	0.010317	NA	NA	NA	NA	31.585251	0.000000	62.662676	1.000000	0.000000	1.000000
Women	50+	Bladder	1	19	4	15	0.010231	0.000682	Uncorrelated	1	2011	2006	2014	47.616658	7.915976	6.015261	0.000032	-0.022083	0.003928	-5.622487	0.000063	-0.013785	0.004825	-2.857038	0.012673	0.000008	0.000000	0.000015	1.000000	0.000000	1.000000
Women	50+	Brain and CNS	2	19	6	13	0.008596	0.000661	Uncorrelated	0	NA	NA	NA	12.281475	23.905005	0.513762	0.617581	-0.004864	0.011938	-0.407477	0.691475	NA	NA	NA	NA	571.449274	0.000000	0.000356	1.000000	0.000000	1.000000
Women	50+	Brain and CNS	2	19	6	13	0.008596	0.000661	Uncorrelated	1	2005	2003	2007	-75.350369	37.882067	-1.989078	0.072141	0.038842	0.018875	2.057877	0.064100	0.043707	0.022333	1.957029	0.076199	0.000143	0.000000	35.049674	1.000000	0.000000	1.000000
Women	50+	Brain and CNS	2	19	6	13	0.008596	0.000661	Uncorrelated	2	2009	2007	2012	18.015641	5.920277	3.043041	0.011186	-0.007632	0.002939	-2.596787	0.024836	-0.046474	0.019102	-2.432883	0.033239	1435.050968	0.000000	0.000009	1.000000	0.000000	1.000000
Women	50+	Breast	1	19	4	15	0.004606	0.000307	Uncorrelated	0	NA	NA	NA	-34.809352	25.412046	-1.369797	0.192320	0.020280	0.012693	1.597692	0.132430	NA	NA	NA	NA	645.772097	0.000000	4.658874	1.000000	0.000000	1.000000
Women	50+	Breast	1	19	4	15	0.004606	0.000307	Uncorrelated	1	2004	2003	2017	-1.996220	2.158443	-0.924843	0.370715	0.003906	0.001073	3.641202	0.002671	-0.016374	0.012739	-1.285372	0.219519	0.000161	0.000000	0.000001	1.000000	0.000000	1.000000
Women	50+	Cervix	1	19	4	15	0.027038	0.001803	Uncorrelated	0	NA	NA	NA	71.994432	16.583903	4.341224	0.000677	-0.034701	0.008275	-4.193298	0.000902	NA	NA	NA	NA	275.025849	0.000000	70.707095	1.000000	0.000000	1.000000
Women	50+	Cervix	1	19	4	15	0.027038	0.001803	Uncorrelated	1	2008	2003	2017	14.453083	8.408751	1.718814	0.107671	-0.006045	0.004175	-1.447891	0.169670	0.028656	0.009269	3.091607	0.007964	0.000068	0.000000	0.000017	1.000000	0.000000	1.000000
