"sex"	"age_group"	"cancer_site"	"year"	"Rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-49	Gallbladder	2002	0.19	0.14	NA	39.4716	1	1
Men	20-49	Gallbladder	2003	0.16	0.20	Joinpoint 1	NA	1	1
Men	20-49	Gallbladder	2004	0.27	0.21	NA	2.2874	1	1
Men	20-49	Gallbladder	2005	0.21	0.21	NA	2.2874	1	1
Men	20-49	Gallbladder	2006	0.21	0.21	NA	2.2874	1	1
Men	20-49	Gallbladder	2007	0.26	0.22	NA	2.2874	1	1
Men	20-49	Gallbladder	2008	0.19	0.22	NA	2.2874	1	1
Men	20-49	Gallbladder	2009	0.25	0.23	NA	2.2874	1	1
Men	20-49	Gallbladder	2010	0.18	0.24	NA	2.2874	1	1
Men	20-49	Gallbladder	2011	0.23	0.24	NA	2.2874	1	1
Men	20-49	Gallbladder	2012	0.19	0.25	NA	2.2874	1	1
Men	20-49	Gallbladder	2013	0.19	0.25	NA	2.2874	1	1
Men	20-49	Gallbladder	2014	0.35	0.26	NA	2.2874	1	1
Men	20-49	Gallbladder	2015	0.30	0.26	NA	2.2874	1	1
Men	20-49	Gallbladder	2016	0.25	0.27	NA	2.2874	1	1
Men	20-49	Gallbladder	2017	0.33	0.28	NA	2.2874	1	1
Men	20-49	Gallbladder	2018	0.23	0.28	NA	2.2874	1	1
Men	20-49	Gallbladder	2019	0.34	0.29	NA	2.2874	1	1
Men	20-49	Hodgkin Lymphoma	2001	3.70	3.51	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2002	3.80	3.54	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2003	3.27	3.58	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2004	3.47	3.62	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2005	3.53	3.66	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2006	3.65	3.70	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2007	3.90	3.74	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2008	3.69	3.78	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2009	3.84	3.82	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2010	4.07	3.86	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2011	4.05	3.90	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2012	3.71	3.94	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2013	3.74	3.98	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2014	3.96	4.03	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2015	4.39	4.07	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2016	4.02	4.11	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2017	4.47	4.16	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2018	4.19	4.20	NA	1.0737*	0	0
Men	20-49	Hodgkin Lymphoma	2019	4.08	4.25	NA	1.0737*	0	0
Men	20-49	Kaposi Sarcoma	2001	0.42	0.38	NA	17.4960*	1	1
Men	20-49	Kaposi Sarcoma	2002	0.39	0.44	NA	17.4960*	1	1
Men	20-49	Kaposi Sarcoma	2003	0.58	0.52	NA	17.4960*	1	1
Men	20-49	Kaposi Sarcoma	2004	0.52	0.61	NA	17.4960*	1	1
Men	20-49	Kaposi Sarcoma	2005	0.71	0.72	NA	17.4960*	1	1
Men	20-49	Kaposi Sarcoma	2006	0.86	0.84	Joinpoint 1	NA	1	1
Men	20-49	Kaposi Sarcoma	2007	0.86	0.80	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2008	0.88	0.76	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2009	0.60	0.73	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2010	0.64	0.69	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2011	0.67	0.66	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2012	0.60	0.63	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2013	0.64	0.60	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2014	0.64	0.57	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2015	0.55	0.54	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2016	0.59	0.52	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2017	0.52	0.49	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2018	0.44	0.47	NA	-4.7559*	1	1
Men	20-49	Kaposi Sarcoma	2019	0.39	0.45	NA	-4.7559*	1	1
Men	20-49	Kidney	2001	2.95	3.09	NA	0.6002	2	2
Men	20-49	Kidney	2002	3.30	3.11	NA	0.6002	2	2
Men	20-49	Kidney	2003	3.22	3.13	NA	0.6002	2	2
Men	20-49	Kidney	2004	2.99	3.15	NA	0.6002	2	2
Men	20-49	Kidney	2005	3.10	3.17	Joinpoint 1	NA	2	2
Men	20-49	Kidney	2006	3.46	3.36	NA	6.0675*	2	2
Men	20-49	Kidney	2007	3.73	3.56	NA	6.0675*	2	2
Men	20-49	Kidney	2008	3.73	3.78	NA	6.0675*	2	2
Men	20-49	Kidney	2009	3.87	4.01	NA	6.0675*	2	2
Men	20-49	Kidney	2010	4.37	4.25	NA	6.0675*	2	2
Men	20-49	Kidney	2011	4.28	4.51	NA	6.0675*	2	2
Men	20-49	Kidney	2012	4.70	4.78	NA	6.0675*	2	2
Men	20-49	Kidney	2013	5.13	5.07	NA	6.0675*	2	2
Men	20-49	Kidney	2014	5.72	5.38	NA	6.0675*	2	2
Men	20-49	Kidney	2015	5.60	5.71	NA	6.0675*	2	2
Men	20-49	Kidney	2016	5.90	6.05	Joinpoint 2	NA	2	2
Men	20-49	Kidney	2017	6.21	6.01	NA	-0.6678	2	2
Men	20-49	Kidney	2018	5.89	5.97	NA	-0.6678	2	2
Men	20-49	Kidney	2019	5.92	5.93	NA	-0.6678	2	2
Men	20-49	Larynx	2001	1.02	0.94	NA	-1.5962*	0	0
Men	20-49	Larynx	2002	0.92	0.92	NA	-1.5962*	0	0
Men	20-49	Larynx	2003	0.96	0.91	NA	-1.5962*	0	0
Men	20-49	Larynx	2004	0.73	0.89	NA	-1.5962*	0	0
Men	20-49	Larynx	2005	0.83	0.88	NA	-1.5962*	0	0
Men	20-49	Larynx	2006	0.94	0.87	NA	-1.5962*	0	0
Men	20-49	Larynx	2007	0.76	0.85	NA	-1.5962*	0	0
Men	20-49	Larynx	2008	0.96	0.84	NA	-1.5962*	0	0
Men	20-49	Larynx	2009	0.83	0.82	NA	-1.5962*	0	0
Men	20-49	Larynx	2010	0.82	0.81	NA	-1.5962*	0	0
Men	20-49	Larynx	2011	0.85	0.80	NA	-1.5962*	0	0
Men	20-49	Larynx	2012	0.79	0.79	NA	-1.5962*	0	0
Men	20-49	Larynx	2013	0.78	0.77	NA	-1.5962*	0	0
Men	20-49	Larynx	2014	0.73	0.76	NA	-1.5962*	0	0
Men	20-49	Larynx	2015	0.83	0.75	NA	-1.5962*	0	0
Men	20-49	Larynx	2016	0.62	0.74	NA	-1.5962*	0	0
Men	20-49	Larynx	2017	0.66	0.72	NA	-1.5962*	0	0
Men	20-49	Larynx	2018	0.82	0.71	NA	-1.5962*	0	0
Men	20-49	Larynx	2019	0.71	0.70	NA	-1.5962*	0	0
Men	20-49	Leukaemia	2001	4.03	3.78	NA	1.3043*	0	0
Men	20-49	Leukaemia	2002	3.69	3.83	NA	1.3043*	0	0
Men	20-49	Leukaemia	2003	4.04	3.88	NA	1.3043*	0	0
Men	20-49	Leukaemia	2004	3.78	3.93	NA	1.3043*	0	0
Men	20-49	Leukaemia	2005	4.01	3.98	NA	1.3043*	0	0
Men	20-49	Leukaemia	2006	3.88	4.04	NA	1.3043*	0	0
Men	20-49	Leukaemia	2007	3.69	4.09	NA	1.3043*	0	0
Men	20-49	Leukaemia	2008	4.32	4.14	NA	1.3043*	0	0
Men	20-49	Leukaemia	2009	4.32	4.20	NA	1.3043*	0	0
Men	20-49	Leukaemia	2010	4.38	4.25	NA	1.3043*	0	0
Men	20-49	Leukaemia	2011	4.20	4.31	NA	1.3043*	0	0
Men	20-49	Leukaemia	2012	4.04	4.36	NA	1.3043*	0	0
Men	20-49	Leukaemia	2013	4.43	4.42	NA	1.3043*	0	0
Men	20-49	Leukaemia	2014	5.05	4.48	NA	1.3043*	0	0
Men	20-49	Leukaemia	2015	4.71	4.53	NA	1.3043*	0	0
Men	20-49	Leukaemia	2016	4.62	4.59	NA	1.3043*	0	0
Men	20-49	Leukaemia	2017	4.77	4.65	NA	1.3043*	0	0
Men	20-49	Leukaemia	2018	4.67	4.71	NA	1.3043*	0	0
Men	20-49	Leukaemia	2019	4.45	4.78	NA	1.3043*	0	0
Men	20-49	Liver	2001	1.02	0.95	NA	3.4642*	1	1
Men	20-49	Liver	2002	0.93	0.98	NA	3.4642*	1	1
Men	20-49	Liver	2003	0.99	1.01	NA	3.4642*	1	1
Men	20-49	Liver	2004	0.95	1.05	NA	3.4642*	1	1
Men	20-49	Liver	2005	1.12	1.09	NA	3.4642*	1	1
Men	20-49	Liver	2006	1.14	1.12	NA	3.4642*	1	1
Men	20-49	Liver	2007	1.06	1.16	NA	3.4642*	1	1
Men	20-49	Liver	2008	1.36	1.20	NA	3.4642*	1	1
Men	20-49	Liver	2009	1.50	1.24	NA	3.4642*	1	1
Men	20-49	Liver	2010	1.47	1.29	NA	3.4642*	1	1
Men	20-49	Liver	2011	1.00	1.33	NA	3.4642*	1	1
Men	20-49	Liver	2012	1.34	1.38	NA	3.4642*	1	1
Men	20-49	Liver	2013	1.33	1.43	NA	3.4642*	1	1
Men	20-49	Liver	2014	1.59	1.48	Joinpoint 1	NA	1	1
Men	20-49	Liver	2015	1.36	1.42	NA	-3.5230	1	1
Men	20-49	Liver	2016	1.47	1.37	NA	-3.5230	1	1
Men	20-49	Liver	2017	1.42	1.33	NA	-3.5230	1	1
Men	20-49	Liver	2018	1.17	1.28	NA	-3.5230	1	1
Men	20-49	Liver	2019	1.24	1.23	NA	-3.5230	1	1
Men	20-49	Lung	2001	5.87	5.83	NA	-7.9561	1	1
Men	20-49	Lung	2002	5.30	5.37	NA	-7.9561	1	1
Men	20-49	Lung	2003	4.83	4.94	Joinpoint 1	NA	1	1
Men	20-49	Lung	2004	5.19	4.91	NA	-0.7367*	1	1
Men	20-49	Lung	2005	5.04	4.87	NA	-0.7367*	1	1
Men	20-49	Lung	2006	4.98	4.83	NA	-0.7367*	1	1
Men	20-49	Lung	2007	4.70	4.80	NA	-0.7367*	1	1
Men	20-49	Lung	2008	4.63	4.76	NA	-0.7367*	1	1
Men	20-49	Lung	2009	4.58	4.73	NA	-0.7367*	1	1
Men	20-49	Lung	2010	4.92	4.69	NA	-0.7367*	1	1
Men	20-49	Lung	2011	4.50	4.66	NA	-0.7367*	1	1
Men	20-49	Lung	2012	4.51	4.62	NA	-0.7367*	1	1
Men	20-49	Lung	2013	4.50	4.59	NA	-0.7367*	1	1
Men	20-49	Lung	2014	4.40	4.56	NA	-0.7367*	1	1
Men	20-49	Lung	2015	4.34	4.52	NA	-0.7367*	1	1
Men	20-49	Lung	2016	4.86	4.49	NA	-0.7367*	1	1
Men	20-49	Lung	2017	4.15	4.46	NA	-0.7367*	1	1
Men	20-49	Lung	2018	4.73	4.42	NA	-0.7367*	1	1
Men	20-49	Lung	2019	4.51	4.39	NA	-0.7367*	1	1
Men	20-49	Melanoma	2001	7.95	8.03	NA	2.6145*	1	1
Men	20-49	Melanoma	2002	7.97	8.24	NA	2.6145*	1	1
Men	20-49	Melanoma	2003	7.63	8.45	NA	2.6145*	1	1
Men	20-49	Melanoma	2004	9.37	8.68	NA	2.6145*	1	1
Men	20-49	Melanoma	2005	9.26	8.90	NA	2.6145*	1	1
Men	20-49	Melanoma	2006	9.86	9.13	NA	2.6145*	1	1
Men	20-49	Melanoma	2007	9.30	9.37	NA	2.6145*	1	1
Men	20-49	Melanoma	2008	9.67	9.62	NA	2.6145*	1	1
Men	20-49	Melanoma	2009	10.33	9.87	NA	2.6145*	1	1
Men	20-49	Melanoma	2010	9.91	10.13	NA	2.6145*	1	1
Men	20-49	Melanoma	2011	10.04	10.39	NA	2.6145*	1	1
Men	20-49	Melanoma	2012	10.31	10.66	NA	2.6145*	1	1
Men	20-49	Melanoma	2013	10.82	10.94	NA	2.6145*	1	1
Men	20-49	Melanoma	2014	11.31	11.23	Joinpoint 1	NA	1	1
Men	20-49	Melanoma	2015	11.04	10.91	NA	-2.8457	1	1
Men	20-49	Melanoma	2016	10.48	10.60	NA	-2.8457	1	1
Men	20-49	Melanoma	2017	10.37	10.30	NA	-2.8457	1	1
Men	20-49	Melanoma	2018	10.01	10.00	NA	-2.8457	1	1
Men	20-49	Melanoma	2019	9.70	9.72	NA	-2.8457	1	1
Men	20-49	MultipleMyeloma	2001	0.95	0.95	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2002	0.88	0.99	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2003	1.29	1.03	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2004	0.97	1.07	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2005	1.22	1.11	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2006	1.14	1.16	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2007	1.02	1.20	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2008	1.18	1.25	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2009	1.42	1.30	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2010	1.16	1.36	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2011	1.33	1.41	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2012	1.48	1.47	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2013	1.96	1.53	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2014	1.70	1.59	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2015	1.71	1.66	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2016	1.74	1.72	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2017	1.91	1.79	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2018	1.79	1.87	NA	4.0679*	0	0
Men	20-49	MultipleMyeloma	2019	1.69	1.94	NA	4.0679*	0	0
Men	20-49	Non-Hodgkin Lymphoma	2001	6.72	6.39	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2002	6.25	6.51	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2003	6.57	6.64	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2004	6.49	6.77	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2005	7.28	6.90	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2006	6.84	7.03	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2007	7.26	7.17	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2008	7.31	7.31	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2009	7.35	7.45	NA	1.9414*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2010	7.67	7.59	Joinpoint 1	NA	1	1
Men	20-49	Non-Hodgkin Lymphoma	2011	7.44	7.48	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2012	7.81	7.37	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2013	7.07	7.26	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2014	6.88	7.15	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2015	7.01	7.04	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2016	7.07	6.94	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2017	6.78	6.83	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2018	6.79	6.73	NA	-1.4990*	1	1
Men	20-49	Non-Hodgkin Lymphoma	2019	6.64	6.63	NA	-1.4990*	1	1
Men	20-49	Oesophagus	2001	2.05	2.06	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2002	2.16	2.05	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2003	2.05	2.03	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2004	2.09	2.01	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2005	1.75	2.00	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2006	1.86	1.98	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2007	2.13	1.97	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2008	1.91	1.95	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2009	2.06	1.94	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2010	2.17	1.92	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2011	1.64	1.91	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2012	2.08	1.89	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2013	1.79	1.88	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2014	1.76	1.86	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2015	1.67	1.85	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2016	1.96	1.83	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2017	1.89	1.82	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2018	1.81	1.81	NA	-0.7791*	0	0
Men	20-49	Oesophagus	2019	1.82	1.79	NA	-0.7791*	0	0
Men	20-49	Oral	2001	4.46	4.47	NA	2.4643*	1	1
Men	20-49	Oral	2002	4.75	4.58	NA	2.4643*	1	1
Men	20-49	Oral	2003	4.64	4.70	NA	2.4643*	1	1
Men	20-49	Oral	2004	4.76	4.81	NA	2.4643*	1	1
Men	20-49	Oral	2005	4.80	4.93	NA	2.4643*	1	1
Men	20-49	Oral	2006	5.19	5.05	NA	2.4643*	1	1
Men	20-49	Oral	2007	5.18	5.18	NA	2.4643*	1	1
Men	20-49	Oral	2008	5.35	5.31	NA	2.4643*	1	1
Men	20-49	Oral	2009	5.25	5.44	NA	2.4643*	1	1
Men	20-49	Oral	2010	5.52	5.57	NA	2.4643*	1	1
Men	20-49	Oral	2011	5.75	5.71	NA	2.4643*	1	1
Men	20-49	Oral	2012	5.92	5.85	NA	2.4643*	1	1
Men	20-49	Oral	2013	6.11	5.99	Joinpoint 1	NA	1	1
Men	20-49	Oral	2014	5.91	5.93	NA	-1.0689	1	1
Men	20-49	Oral	2015	5.77	5.87	NA	-1.0689	1	1
Men	20-49	Oral	2016	5.68	5.80	NA	-1.0689	1	1
Men	20-49	Oral	2017	5.97	5.74	NA	-1.0689	1	1
Men	20-49	Oral	2018	5.65	5.68	NA	-1.0689	1	1
Men	20-49	Oral	2019	5.59	5.62	NA	-1.0689	1	1
Men	20-49	Pancreas	2001	1.66	1.56	NA	-4.6994	1	1
Men	20-49	Pancreas	2002	1.34	1.49	NA	-4.6994	1	1
Men	20-49	Pancreas	2003	1.45	1.42	NA	-4.6994	1	1
Men	20-49	Pancreas	2004	1.22	1.35	Joinpoint 1	NA	1	1
Men	20-49	Pancreas	2005	1.45	1.38	NA	2.3397*	1	1
Men	20-49	Pancreas	2006	1.34	1.42	NA	2.3397*	1	1
Men	20-49	Pancreas	2007	1.48	1.45	NA	2.3397*	1	1
Men	20-49	Pancreas	2008	1.57	1.48	NA	2.3397*	1	1
Men	20-49	Pancreas	2009	1.66	1.52	NA	2.3397*	1	1
Men	20-49	Pancreas	2010	1.56	1.55	NA	2.3397*	1	1
Men	20-49	Pancreas	2011	1.54	1.59	NA	2.3397*	1	1
Men	20-49	Pancreas	2012	1.66	1.63	NA	2.3397*	1	1
Men	20-49	Pancreas	2013	1.70	1.66	NA	2.3397*	1	1
Men	20-49	Pancreas	2014	1.88	1.70	NA	2.3397*	1	1
Men	20-49	Pancreas	2015	1.57	1.74	NA	2.3397*	1	1
Men	20-49	Pancreas	2016	1.89	1.78	NA	2.3397*	1	1
Men	20-49	Pancreas	2017	1.69	1.83	NA	2.3397*	1	1
Men	20-49	Pancreas	2018	1.92	1.87	NA	2.3397*	1	1
Men	20-49	Pancreas	2019	1.82	1.91	NA	2.3397*	1	1
Men	20-49	Prostate	2001	1.72	1.67	NA	8.4769*	1	1
Men	20-49	Prostate	2002	1.86	1.81	NA	8.4769*	1	1
Men	20-49	Prostate	2003	1.84	1.97	NA	8.4769*	1	1
Men	20-49	Prostate	2004	2.23	2.13	NA	8.4769*	1	1
Men	20-49	Prostate	2005	2.34	2.31	NA	8.4769*	1	1
Men	20-49	Prostate	2006	2.48	2.51	NA	8.4769*	1	1
Men	20-49	Prostate	2007	2.37	2.72	NA	8.4769*	1	1
Men	20-49	Prostate	2008	2.91	2.95	NA	8.4769*	1	1
Men	20-49	Prostate	2009	3.65	3.20	NA	8.4769*	1	1
Men	20-49	Prostate	2010	3.37	3.47	Joinpoint 1	NA	1	1
Men	20-49	Prostate	2011	3.79	3.63	NA	4.5153*	1	1
Men	20-49	Prostate	2012	3.76	3.79	NA	4.5153*	1	1
Men	20-49	Prostate	2013	3.79	3.97	NA	4.5153*	1	1
Men	20-49	Prostate	2014	4.43	4.14	NA	4.5153*	1	1
Men	20-49	Prostate	2015	4.22	4.33	NA	4.5153*	1	1
Men	20-49	Prostate	2016	4.41	4.53	NA	4.5153*	1	1
Men	20-49	Prostate	2017	4.61	4.73	NA	4.5153*	1	1
Men	20-49	Prostate	2018	5.12	4.95	NA	4.5153*	1	1
Men	20-49	Prostate	2019	5.19	5.17	NA	4.5153*	1	1
Men	20-49	Stomach	2001	2.11	2.05	NA	-1.4024*	0	0
