"Year","Country","Cancer_Site","Sex","Incidences","ASR"
2004,"Nothern Ireland","All sites excl. NMSC","Men",3567,653.7
2005,"Nothern Ireland","All sites excl. NMSC","Men",3622,645.9
2006,"Nothern Ireland","All sites excl. NMSC","Men",3783,666.7
2007,"Nothern Ireland","All sites excl. NMSC","Men",4050,687.4
2008,"Nothern Ireland","All sites excl. NMSC","Men",4196,706.3
2009,"Nothern Ireland","All sites excl. NMSC","Men",4229,696.9
2010,"Nothern Ireland","All sites excl. NMSC","Men",4176,673.2
2011,"Nothern Ireland","All sites excl. NMSC","Men",4497,706.6
2012,"Nothern Ireland","All sites excl. NMSC","Men",4526,694.3
2013,"Nothern Ireland","All sites excl. NMSC","Men",4529,677.6
2014,"Nothern Ireland","All sites excl. NMSC","Men",4645,677.8
2015,"Nothern Ireland","All sites excl. NMSC","Men",4778,680.9
2016,"Nothern Ireland","All sites excl. NMSC","Men",4791,672.8
2017,"Nothern Ireland","All sites excl. NMSC","Men",4974,675.7
2018,"Nothern Ireland","All sites excl. NMSC","Men",5054,675
2019,"Nothern Ireland","All sites excl. NMSC","Men",5294,686.8
2020,"Nothern Ireland","All sites excl. NMSC","Men",4904,629.5
2021,"Nothern Ireland","All sites excl. NMSC","Men",5375,664.6
1993,"Nothern Ireland","All sites excl. NMSC","Women",3158,478.1
1994,"Nothern Ireland","All sites excl. NMSC","Women",3087,465.1
1995,"Nothern Ireland","All sites excl. NMSC","Women",3151,472.9
1996,"Nothern Ireland","All sites excl. NMSC","Women",3250,481.8
1997,"Nothern Ireland","All sites excl. NMSC","Women",3268,478.8
1998,"Nothern Ireland","All sites excl. NMSC","Women",3295,478.8
1999,"Nothern Ireland","All sites excl. NMSC","Women",3317,478.4
2000,"Nothern Ireland","All sites excl. NMSC","Women",3387,487.5
2001,"Nothern Ireland","All sites excl. NMSC","Women",3281,464.3
2002,"Nothern Ireland","All sites excl. NMSC","Women",3475,486.7
2003,"Nothern Ireland","All sites excl. NMSC","Women",3560,493.3
2004,"Nothern Ireland","All sites excl. NMSC","Women",3635,496.8
2005,"Nothern Ireland","All sites excl. NMSC","Women",3628,488.4
2006,"Nothern Ireland","All sites excl. NMSC","Women",3686,489.6
2007,"Nothern Ireland","All sites excl. NMSC","Women",3896,511.7
2008,"Nothern Ireland","All sites excl. NMSC","Women",4090,526.7
2009,"Nothern Ireland","All sites excl. NMSC","Women",4135,527.9
2010,"Nothern Ireland","All sites excl. NMSC","Women",4110,515.3
2011,"Nothern Ireland","All sites excl. NMSC","Women",4335,536.6
2012,"Nothern Ireland","All sites excl. NMSC","Women",4486,547.7
2013,"Nothern Ireland","All sites excl. NMSC","Women",4564,547.5
2014,"Nothern Ireland","All sites excl. NMSC","Women",4574,541.1
2015,"Nothern Ireland","All sites excl. NMSC","Women",4729,551.7
2016,"Nothern Ireland","All sites excl. NMSC","Women",4931,567.2
2017,"Nothern Ireland","All sites excl. NMSC","Women",4904,556.4
2018,"Nothern Ireland","All sites excl. NMSC","Women",5034,562.4
2019,"Nothern Ireland","All sites excl. NMSC","Women",5049,556.5
2020,"Nothern Ireland","All sites excl. NMSC","Women",4581,498
2021,"Nothern Ireland","All sites excl. NMSC","Women",5138,548
1997,"Scotland","All sites excl. NMSC","Men",12610,752.427657837191
1998,"Scotland","All sites excl. NMSC","Men",12485,731.853465328919
1999,"Scotland","All sites excl. NMSC","Men",12432,723.267119285858
2000,"Scotland","All sites excl. NMSC","Men",12542,719.239830032566
2001,"Scotland","All sites excl. NMSC","Men",12766,719.3582815537
2002,"Scotland","All sites excl. NMSC","Men",13162,730.926291646921
2003,"Scotland","All sites excl. NMSC","Men",13292,732.687129875834
2004,"Scotland","All sites excl. NMSC","Men",13613,739.034575994681
2005,"Scotland","All sites excl. NMSC","Men",13337,704.885293475501
2006,"Scotland","All sites excl. NMSC","Men",13765,722.867218680828
2007,"Scotland","All sites excl. NMSC","Men",13973,715.410854342752
2008,"Scotland","All sites excl. NMSC","Men",14490,725.525658587221
2009,"Scotland","All sites excl. NMSC","Men",14957,734.511327034318
2010,"Scotland","All sites excl. NMSC","Men",14766,710.863903646864
2011,"Scotland","All sites excl. NMSC","Men",15395,727.306071922665
2012,"Scotland","All sites excl. NMSC","Men",15350,710.446352369014
2013,"Scotland","All sites excl. NMSC","Men",15863,720.781423645227
2014,"Scotland","All sites excl. NMSC","Men",16299,724.067944108283
2015,"Scotland","All sites excl. NMSC","Men",16015,701.19314499243
2016,"Scotland","All sites excl. NMSC","Men",16146,694.266611210807
2017,"Scotland","All sites excl. NMSC","Men",16413,693.146230785206
2018,"Scotland","All sites excl. NMSC","Men",17286,714.849737381691
2019,"Scotland","All sites excl. NMSC","Men",16463,668.106597663738
2020,"Scotland","All sites excl. NMSC","Men",15248,612.30176274491
2021,"Scotland","All sites excl. NMSC","Men",17600,694.592329744837
1997,"Scotland","All sites excl. NMSC","Women",13590,561.161839065039
1998,"Scotland","All sites excl. NMSC","Women",13280,545.701598367218
1999,"Scotland","All sites excl. NMSC","Women",13420,548.632353002277
2000,"Scotland","All sites excl. NMSC","Women",13630,555.088078403344
2001,"Scotland","All sites excl. NMSC","Women",13435,542.953427755356
2002,"Scotland","All sites excl. NMSC","Women",13609,545.950805866468
2003,"Scotland","All sites excl. NMSC","Women",13845,552.114359384663
2004,"Scotland","All sites excl. NMSC","Women",14237,563.819505973967
2005,"Scotland","All sites excl. NMSC","Women",14198,557.924547087738
2006,"Scotland","All sites excl. NMSC","Women",14314,557.995529724028
2007,"Scotland","All sites excl. NMSC","Women",14961,577.831802294762
2008,"Scotland","All sites excl. NMSC","Women",15350,586.117896158362
2009,"Scotland","All sites excl. NMSC","Women",15689,593.055322391262
2010,"Scotland","All sites excl. NMSC","Women",15868,594.533641695318
2011,"Scotland","All sites excl. NMSC","Women",15956,591.009324766022
2012,"Scotland","All sites excl. NMSC","Women",16350,598.890439350632
2013,"Scotland","All sites excl. NMSC","Women",16509,599.376972738892
2014,"Scotland","All sites excl. NMSC","Women",16658,596.890214098054
2015,"Scotland","All sites excl. NMSC","Women",16765,596.018392442247
2016,"Scotland","All sites excl. NMSC","Women",16659,586.376590379784
2017,"Scotland","All sites excl. NMSC","Women",16731,582.197820821042
2018,"Scotland","All sites excl. NMSC","Women",17639,608.367975897735
2019,"Scotland","All sites excl. NMSC","Women",17056,581.22508059258
2020,"Scotland","All sites excl. NMSC","Women",15615,527.808273321847
2021,"Scotland","All sites excl. NMSC","Women",17779,593.979082366951
2002,"Wales","All sites excl. NMSC","Men",NA,713
2003,"Wales","All sites excl. NMSC","Men",NA,736.7
2004,"Wales","All sites excl. NMSC","Men",NA,754.3
2005,"Wales","All sites excl. NMSC","Men",NA,726.1
2006,"Wales","All sites excl. NMSC","Men",NA,747
2007,"Wales","All sites excl. NMSC","Men",NA,747.7
2008,"Wales","All sites excl. NMSC","Men",NA,745
2009,"Wales","All sites excl. NMSC","Men",NA,723.2
2010,"Wales","All sites excl. NMSC","Men",NA,728
2011,"Wales","All sites excl. NMSC","Men",NA,718.7
2012,"Wales","All sites excl. NMSC","Men",NA,702.8
2013,"Wales","All sites excl. NMSC","Men",NA,732.4
2014,"Wales","All sites excl. NMSC","Men",NA,726
2015,"Wales","All sites excl. NMSC","Men",NA,704.8
2016,"Wales","All sites excl. NMSC","Men",NA,704.6
2017,"Wales","All sites excl. NMSC","Men",NA,672.4
2018,"Wales","All sites excl. NMSC","Men",NA,723.5
2019,"Wales","All sites excl. NMSC","Men",NA,694.9
2020,"Wales","All sites excl. NMSC","Men",NA,580.6
2002,"Wales","All sites excl. NMSC","Women",NA,530.9
2003,"Wales","All sites excl. NMSC","Women",NA,528
2004,"Wales","All sites excl. NMSC","Women",NA,538.9
2005,"Wales","All sites excl. NMSC","Women",NA,535.5
2006,"Wales","All sites excl. NMSC","Women",NA,552
2007,"Wales","All sites excl. NMSC","Women",NA,544.2
2008,"Wales","All sites excl. NMSC","Women",NA,559.7
2009,"Wales","All sites excl. NMSC","Women",NA,552.7
2010,"Wales","All sites excl. NMSC","Women",NA,560.8
2011,"Wales","All sites excl. NMSC","Women",NA,564.7
2012,"Wales","All sites excl. NMSC","Women",NA,550.8
2013,"Wales","All sites excl. NMSC","Women",NA,582.9
2014,"Wales","All sites excl. NMSC","Women",NA,579
2015,"Wales","All sites excl. NMSC","Women",NA,567.9
2016,"Wales","All sites excl. NMSC","Women",NA,562.2
2017,"Wales","All sites excl. NMSC","Women",NA,540.4
2018,"Wales","All sites excl. NMSC","Women",NA,546.5
2019,"Wales","All sites excl. NMSC","Women",NA,552.6
2020,"Wales","All sites excl. NMSC","Women",NA,479.3
1995,"England","Breast","Women",30654,137.3
1996,"England","Breast","Women",31274,139
1997,"England","Breast","Women",33085,146.1
1998,"England","Breast","Women",33835,148.6
1999,"England","Breast","Women",35114,153.2
2000,"England","Breast","Women",34884,150.8
2001,"England","Breast","Women",35597,152.7
2002,"England","Breast","Women",35541,151.9
2003,"England","Breast","Women",37656,159.8
2004,"England","Breast","Women",37916,159.9
2005,"England","Breast","Women",38868,162.8
2006,"England","Breast","Women",38897,161.4
2007,"England","Breast","Women",38907,159.8
2008,"England","Breast","Women",40754,165.3
2009,"England","Breast","Women",40688,162.8
2010,"England","Breast","Women",41786,165.2
2011,"England","Breast","Women",41967,164.1
2012,"England","Breast","Women",43138,166.2
2013,"England","Breast","Women",44966,171.3
2014,"England","Breast","Women",46321,174.2
2015,"England","Breast","Women",46009,171
2016,"England","Breast","Women",45893,168.8
2017,"England","Breast","Women",45967,167.3
2018,"England","Breast","Women",47815,172.3
2019,"England","Breast","Women",48091,171.3
2020,"England","Breast","Women",39871,140.8
1993,"Nothern Ireland","Breast","Women",768,117.9
1994,"Nothern Ireland","Breast","Women",831,126.9
1995,"Nothern Ireland","Breast","Women",881,133.9
1996,"Nothern Ireland","Breast","Women",848,126.1
1997,"Nothern Ireland","Breast","Women",857,126.5
1998,"Nothern Ireland","Breast","Women",907,131.8
1999,"Nothern Ireland","Breast","Women",938,134.9
2000,"Nothern Ireland","Breast","Women",951,136.6
2001,"Nothern Ireland","Breast","Women",925,130.6
2002,"Nothern Ireland","Breast","Women",957,132.4
2003,"Nothern Ireland","Breast","Women",1035,142.4
2004,"Nothern Ireland","Breast","Women",1134,153.9
2005,"Nothern Ireland","Breast","Women",1081,144
2006,"Nothern Ireland","Breast","Women",995,130.8
2007,"Nothern Ireland","Breast","Women",1163,151.4
2008,"Nothern Ireland","Breast","Women",1184,151.6
2009,"Nothern Ireland","Breast","Women",1234,156.4
2010,"Nothern Ireland","Breast","Women",1217,151.2
2011,"Nothern Ireland","Breast","Women",1299,159
2012,"Nothern Ireland","Breast","Women",1330,161.2
2013,"Nothern Ireland","Breast","Women",1303,155.6
2014,"Nothern Ireland","Breast","Women",1300,152.3
2015,"Nothern Ireland","Breast","Women",1467,170.8
2016,"Nothern Ireland","Breast","Women",1445,165.4
2017,"Nothern Ireland","Breast","Women",1487,167.8
2018,"Nothern Ireland","Breast","Women",1526,170
2019,"Nothern Ireland","Breast","Women",1467,161.6
2020,"Nothern Ireland","Breast","Women",1361,147.9
2021,"Nothern Ireland","Breast","Women",1610,172.5
1997,"Scotland","Breast","Women",3466,144.975601439063
1998,"Scotland","Breast","Women",3625,150.000697424953
1999,"Scotland","Breast","Women",3689,151.674213886198
2000,"Scotland","Breast","Women",3737,152.815240628673
2001,"Scotland","Breast","Women",3625,146.962910472888
2002,"Scotland","Breast","Women",3724,149.789351345364
2003,"Scotland","Breast","Women",3911,156.253935717853
2004,"Scotland","Breast","Women",3979,157.522527302871
2005,"Scotland","Breast","Women",4066,159.373958428378
2006,"Scotland","Breast","Women",4151,161.762057040405
2007,"Scotland","Breast","Women",4137,159.580761927536
2008,"Scotland","Breast","Women",4316,164.178043854661
2009,"Scotland","Breast","Women",4419,166.606458645374
2010,"Scotland","Breast","Women",4504,167.802845832739
2011,"Scotland","Breast","Women",4599,169.806255709858
2012,"Scotland","Breast","Women",4631,169.087571130039
2013,"Scotland","Breast","Women",4699,170.009143169586
2014,"Scotland","Breast","Women",4610,165.00161703167
2015,"Scotland","Breast","Women",4768,169.817163166617
2016,"Scotland","Breast","Women",4649,163.593008653921
2017,"Scotland","Breast","Women",4723,165.144299984608
2018,"Scotland","Breast","Women",5048,175.339888506193
2019,"Scotland","Breast","Women",4845,166.7116913476
2020,"Scotland","Breast","Women",4306,147.971661532904
2021,"Scotland","Breast","Women",5143,174.178669710301
2002,"Wales","Breast","Women",NA,160
2003,"Wales","Breast","Women",NA,162.4
2004,"Wales","Breast","Women",NA,160.6
2005,"Wales","Breast","Women",NA,159.7
2006,"Wales","Breast","Women",NA,164.3
2007,"Wales","Breast","Women",NA,162.8
2008,"Wales","Breast","Women",NA,172.1
2009,"Wales","Breast","Women",NA,168
2010,"Wales","Breast","Women",NA,170.4
2011,"Wales","Breast","Women",NA,162.8
2012,"Wales","Breast","Women",NA,156.3
2013,"Wales","Breast","Women",NA,179.4
2014,"Wales","Breast","Women",NA,181.1
2015,"Wales","Breast","Women",NA,174.6
2016,"Wales","Breast","Women",NA,171.5
2017,"Wales","Breast","Women",NA,165.6
2018,"Wales","Breast","Women",NA,165
2019,"Wales","Breast","Women",NA,164.8
2020,"Wales","Breast","Women",NA,136.6
1995,"England","Colorectal","Men",13660,83.5
1996,"England","Colorectal","Men",14420,87.3
1997,"England","Colorectal","Men",14767,88.4
1998,"England","Colorectal","Men",15098,89.3
1999,"England","Colorectal","Men",15166,88.8
2000,"England","Colorectal","Men",15580,90
2001,"England","Colorectal","Men",15184,86.8
2002,"England","Colorectal","Men",15271,85.7
2003,"England","Colorectal","Men",15602,86.6
2004,"England","Colorectal","Men",16180,88.4
2005,"England","Colorectal","Men",16518,89
2006,"England","Colorectal","Men",16917,89.5
2007,"England","Colorectal","Men",17210,89.6
2008,"England","Colorectal","Men",18230,92.9
2009,"England","Colorectal","Men",18582,92.6
2010,"England","Colorectal","Men",18893,92.3
2011,"England","Colorectal","Men",19395,92.9
2012,"England","Colorectal","Men",19834,93.3
2013,"England","Colorectal","Men",19201,88.6
2014,"England","Colorectal","Men",19018,85.7
2015,"England","Colorectal","Men",19431,85.8
2016,"England","Colorectal","Men",19831,85.5
2017,"England","Colorectal","Men",19627,82.9
2018,"England","Colorectal","Men",20237,83.8
2019,"England","Colorectal","Men",21015,85
2020,"England","Colorectal","Men",19010,76
1995,"England","Colorectal","Women",12699,54.8
1996,"England","Colorectal","Women",13168,56.8
1997,"England","Colorectal","Women",13137,56.4
1998,"England","Colorectal","Women",13534,57.9
1999,"England","Colorectal","Women",13343,56.9
2000,"England","Colorectal","Women",13279,56.4
2001,"England","Colorectal","Women",13009,54.8
2002,"England","Colorectal","Women",12921,54
2003,"England","Colorectal","Women",12977,54
2004,"England","Colorectal","Women",13370,55.5
2005,"England","Colorectal","Women",13581,56.1
2006,"England","Colorectal","Women",13941,57
2007,"England","Colorectal","Women",14317,58
2008,"England","Colorectal","Women",14623,58.7
2009,"England","Colorectal","Women",14818,58.7
2010,"England","Colorectal","Women",14930,58.7
2011,"England","Colorectal","Women",15446,59.8
2012,"England","Colorectal","Women",15528,59.4
2013,"England","Colorectal","Women",15321,57.6
2014,"England","Colorectal","Women",15484,57.2
2015,"England","Colorectal","Women",15846,57.8
2016,"England","Colorectal","Women",15631,56.3
2017,"England","Colorectal","Women",15636,55.6
2018,"England","Colorectal","Women",16056,56.2
2019,"England","Colorectal","Women",16828,58.1
2020,"England","Colorectal","Women",15395,52.4
1993,"Nothern Ireland","Colorectal","Men",471,103
1994,"Nothern Ireland","Colorectal","Men",476,103.7
1995,"Nothern Ireland","Colorectal","Men",485,109.2
1996,"Nothern Ireland","Colorectal","Men",490,102
1997,"Nothern Ireland","Colorectal","Men",452,96
1998,"Nothern Ireland","Colorectal","Men",481,101.2
1999,"Nothern Ireland","Colorectal","Men",448,91.4
2000,"Nothern Ireland","Colorectal","Men",447,88.6
2001,"Nothern Ireland","Colorectal","Men",520,102.9
2002,"Nothern Ireland","Colorectal","Men",459,90.2
2003,"Nothern Ireland","Colorectal","Men",541,103.7
2004,"Nothern Ireland","Colorectal","Men",513,94.1
2005,"Nothern Ireland","Colorectal","Men",568,102.2
2006,"Nothern Ireland","Colorectal","Men",568,102.7
2007,"Nothern Ireland","Colorectal","Men",632,109.5
2008,"Nothern Ireland","Colorectal","Men",589,99.2
2009,"Nothern Ireland","Colorectal","Men",606,103.5
2010,"Nothern Ireland","Colorectal","Men",655,106.7
2011,"Nothern Ireland","Colorectal","Men",680,107.2
2012,"Nothern Ireland","Colorectal","Men",721,111.7
2013,"Nothern Ireland","Colorectal","Men",669,100.8
2014,"Nothern Ireland","Colorectal","Men",658,96
2015,"Nothern Ireland","Colorectal","Men",644,93.1
2016,"Nothern Ireland","Colorectal","Men",633,90.8
2017,"Nothern Ireland","Colorectal","Men",634,87.3
2018,"Nothern Ireland","Colorectal","Men",642,87
2019,"Nothern Ireland","Colorectal","Men",703,91.8
2020,"Nothern Ireland","Colorectal","Men",649,83.8
2021,"Nothern Ireland","Colorectal","Men",781,95.7
1993,"Nothern Ireland","Colorectal","Women",448,69
1994,"Nothern Ireland","Colorectal","Women",425,65.3
1995,"Nothern Ireland","Colorectal","Women",482,72.7
1996,"Nothern Ireland","Colorectal","Women",451,67.7
1997,"Nothern Ireland","Colorectal","Women",439,65.5
1998,"Nothern Ireland","Colorectal","Women",431,64.4
1999,"Nothern Ireland","Colorectal","Women",443,64.9
2000,"Nothern Ireland","Colorectal","Women",412,60.3
2001,"Nothern Ireland","Colorectal","Women",419,60.1
2002,"Nothern Ireland","Colorectal","Women",435,62.4
2003,"Nothern Ireland","Colorectal","Women",439,61.7
2004,"Nothern Ireland","Colorectal","Women",454,63.8
2005,"Nothern Ireland","Colorectal","Women",409,56.8
2006,"Nothern Ireland","Colorectal","Women",462,62.8
2007,"Nothern Ireland","Colorectal","Women",512,68.2
2008,"Nothern Ireland","Colorectal","Women",505,66.4
2009,"Nothern Ireland","Colorectal","Women",468,60.8
2010,"Nothern Ireland","Colorectal","Women",507,65.1
2011,"Nothern Ireland","Colorectal","Women",551,69.8
2012,"Nothern Ireland","Colorectal","Women",518,64.2
2013,"Nothern Ireland","Colorectal","Women",560,67.6
2014,"Nothern Ireland","Colorectal","Women",514,61.3
2015,"Nothern Ireland","Colorectal","Women",490,57.7
2016,"Nothern Ireland","Colorectal","Women",519,60.1
2017,"Nothern Ireland","Colorectal","Women",536,61.3
2018,"Nothern Ireland","Colorectal","Women",541,60.7
2019,"Nothern Ireland","Colorectal","Women",536,59
2020,"Nothern Ireland","Colorectal","Women",455,49.2
2021,"Nothern Ireland","Colorectal","Women",604,64.1
1997,"Scotland","Colorectal","Men",1803,108.214717123282
1998,"Scotland","Colorectal","Men",1787,105.878960287287
1999,"Scotland","Colorectal","Men",1819,108.288800481702
2000,"Scotland","Colorectal","Men",1884,107.969008335662
2001,"Scotland","Colorectal","Men",1849,106.18695229547
2002,"Scotland","Colorectal","Men",1818,101.851932909192
2003,"Scotland","Colorectal","Men",1903,107.45467041526
2004,"Scotland","Colorectal","Men",1910,105.465318484559
2005,"Scotland","Colorectal","Men",1895,101.945836446666
2006,"Scotland","Colorectal","Men",1891,100.29370249649
2007,"Scotland","Colorectal","Men",2017,105.114707608436
2008,"Scotland","Colorectal","Men",2140,108.128448775602
2009,"Scotland","Colorectal","Men",2169,107.715875050662
2010,"Scotland","Colorectal","Men",2220,107.010886761012
2011,"Scotland","Colorectal","Men",2257,107.419167032832
2012,"Scotland","Colorectal","Men",2132,99.6337275973654
2013,"Scotland","Colorectal","Men",2122,96.4720747517496
2014,"Scotland","Colorectal","Men",2086,93.6447508962657
2015,"Scotland","Colorectal","Men",2004,88.9563005480991
2016,"Scotland","Colorectal","Men",1981,85.5417778537054
2017,"Scotland","Colorectal","Men",2171,92.2043376240734
2018,"Scotland","Colorectal","Men",2175,90.2137372934996
2019,"Scotland","Colorectal","Men",2189,89.214133841999
2020,"Scotland","Colorectal","Men",1824,74.0693305226253
2021,"Scotland","Colorectal","Men",2343,92.4979255506953
1997,"Scotland","Colorectal","Women",1610,66.1598928509049
1998,"Scotland","Colorectal","Women",1533,62.9309283665953
1999,"Scotland","Colorectal","Women",1627,66.5433176756739
2000,"Scotland","Colorectal","Women",1687,68.7400312161517
2001,"Scotland","Colorectal","Women",1690,68.3132596132647
2002,"Scotland","Colorectal","Women",1601,64.3848605344358
2003,"Scotland","Colorectal","Women",1553,61.8845732380556
2004,"Scotland","Colorectal","Women",1616,63.9215505907666
2005,"Scotland","Colorectal","Women",1595,62.7807653568498
2006,"Scotland","Colorectal","Women",1632,63.6584268723609
2007,"Scotland","Colorectal","Women",1711,66.0553459006584
2008,"Scotland","Colorectal","Women",1777,67.9196771577461
2009,"Scotland","Colorectal","Women",1810,68.4766059400986
2010,"Scotland","Colorectal","Women",1823,68.4204612022791
2011,"Scotland","Colorectal","Women",1781,65.8994057846844
2012,"Scotland","Colorectal","Women",1789,65.4993160495791
2013,"Scotland","Colorectal","Women",1745,63.2642260134232
2014,"Scotland","Colorectal","Women",1694,60.0375188522401
2015,"Scotland","Colorectal","Women",1727,60.8297831552653
2016,"Scotland","Colorectal","Women",1790,62.7077733143617
2017,"Scotland","Colorectal","Women",1649,56.8774743603168
2018,"Scotland","Colorectal","Women",1956,66.9228738912829
2019,"Scotland","Colorectal","Women",1910,64.3883801634002
2020,"Scotland","Colorectal","Women",1529,50.720621457292
2021,"Scotland","Colorectal","Women",1936,63.7623280904875
2002,"Wales","Colorectal","Men",NA,91
2003,"Wales","Colorectal","Men",NA,97.7
2004,"Wales","Colorectal","Men",NA,96.3
2005,"Wales","Colorectal","Men",NA,97.5
2006,"Wales","Colorectal","Men",NA,97.7
2007,"Wales","Colorectal","Men",NA,100.1
2008,"Wales","Colorectal","Men",NA,102.1
2009,"Wales","Colorectal","Men",NA,105.6
2010,"Wales","Colorectal","Men",NA,109.1
2011,"Wales","Colorectal","Men",NA,98
2012,"Wales","Colorectal","Men",NA,104.3
2013,"Wales","Colorectal","Men",NA,99.2
2014,"Wales","Colorectal","Men",NA,98.6
2015,"Wales","Colorectal","Men",NA,91.9
2016,"Wales","Colorectal","Men",NA,93.8
2017,"Wales","Colorectal","Men",NA,90.3
2018,"Wales","Colorectal","Men",NA,88.5
2019,"Wales","Colorectal","Men",NA,92.3
2020,"Wales","Colorectal","Men",NA,79.5
2002,"Wales","Colorectal","Women",NA,56.4
2003,"Wales","Colorectal","Women",NA,55.1
2004,"Wales","Colorectal","Women",NA,57.7
2005,"Wales","Colorectal","Women",NA,55.4
2006,"Wales","Colorectal","Women",NA,60.3
2007,"Wales","Colorectal","Women",NA,62.7
2008,"Wales","Colorectal","Women",NA,61
2009,"Wales","Colorectal","Women",NA,62.2
2010,"Wales","Colorectal","Women",NA,57.4
2011,"Wales","Colorectal","Women",NA,65
2012,"Wales","Colorectal","Women",NA,63.9
2013,"Wales","Colorectal","Women",NA,57.9
2014,"Wales","Colorectal","Women",NA,61.7
2015,"Wales","Colorectal","Women",NA,58.5
2016,"Wales","Colorectal","Women",NA,56.7
2017,"Wales","Colorectal","Women",NA,57.4
2018,"Wales","Colorectal","Women",NA,55.1
2019,"Wales","Colorectal","Women",NA,62.6
2020,"Wales","Colorectal","Women",NA,49.2
1995,"England","Lung","Men",20788,126.6
1996,"England","Lung","Men",19921,120.6
1997,"England","Lung","Men",20181,120.7
1998,"England","Lung","Men",19517,116
1999,"England","Lung","Men",19301,113.4
2000,"England","Lung","Men",19299,112
2001,"England","Lung","Men",18953,108.6
2002,"England","Lung","Men",18266,102.8
2003,"England","Lung","Men",17952,100.1
2004,"England","Lung","Men",18474,101.7
2005,"England","Lung","Men",18284,99.4
2006,"England","Lung","Men",18952,101.4
2007,"England","Lung","Men",18797,98.9
2008,"England","Lung","Men",19247,99.7
2009,"England","Lung","Men",18990,96.1
2010,"England","Lung","Men",19369,96.2
2011,"England","Lung","Men",19745,96.3
2012,"England","Lung","Men",20330,97
2013,"England","Lung","Men",20390,95.3
2014,"England","Lung","Men",20485,93.3
2015,"England","Lung","Men",20425,91.4
