Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Tumour Type 4,Tumour Type 5,Tumour Type 6,Tumour Type 7,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Stage Detail 3,Age,Age Detail,Region,Gender,Grade,Nodal Status,Deprivation,Performance Status,Incidence,Population,Incidence Rate,Incidence Rate LCI,Incidence Rate UCI,Routes Population,Screening,Screening percentage,Screening percentage LCI,Screening percentage UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait percentage LCI,Two Week Wait percentage UCI,GP Referral,GP Referral percentage,GP Referral percentage LCI,GP Referral percentage UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient percentage LCI,Other Outpatient percentage UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective percentage LCI,Inpatient Elective percentage UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation percentage LCI,Emergency Presentation percentage UCI,DCO,DCO percentage,DCO percentage LCI,DCO percentage UCI,Unknown Route,Unknown Route percentage,Unknown Route percentage LCI,Unknown Route percentage UCI,Route not classified,Route not classified percentage,Route not classified percentage LCI,Route not classified percentage UCI,Treatment cohort,CT count,CT percentage,CT percentage LCI,CT percentage UCI,RT count,RT percentage,RT percentage LCI,RT percentage UCI,Surgery count,Surgery percentage,Surgery percentage LCI,Surgery percentage UCI,CT only count,CT only percentage,CT only percentage LCI,CT only percentage UCI,RT only count,RT only percentage,RT only percentage LCI,RT only percentage UCI,Surgery only count,Surgery only percentage,Surgery only percentage LCI,Surgery only percentage UCI,CT and RT count,CT and RT percentage,CT and RT percentage LCI,CT and RT percentage UCI,Surgery and CT count,Surgery and CT percentage,Surgery and CT percentage LCI,Surgery and CT percentage UCI,Surgery and RT count,Surgery and RT percentage,Surgery and RT percentage LCI,Surgery and RT percentage UCI,Surgery and CT and RT count,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI,Surgery and CT and RT percentage UCI,Other care count,Other care percentage,Other care percentage LCI,Other care percentage UCI,Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Kaplan-Meier survival 03m,Kaplan-Meier survival 03m LCI,Kaplan-Meier survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Kaplan-Meier survival 06m,Kaplan-Meier survival 06m LCI,Kaplan-Meier survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Kaplan-Meier survival 09m,Kaplan-Meier survival 09m LCI,Kaplan-Meier survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Kaplan-Meier survival 12m,Kaplan-Meier survival 12m LCI,Kaplan-Meier survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Kaplan-Meier survival 24m,Kaplan-Meier survival 24m LCI,Kaplan-Meier survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Kaplan-Meier survival 36m,Kaplan-Meier survival 36m LCI,Kaplan-Meier survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Kaplan-Meier survival 48m,Kaplan-Meier survival 48m LCI,Kaplan-Meier survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Kaplan-Meier survival 60m,Kaplan-Meier survival 60m LCI,Kaplan-Meier survival 60m UCI,Net survival 72m,Net survival 72m LCI,Net survival 72m UCI,Kaplan-Meier survival 72m,Kaplan-Meier survival 72m LCI,Kaplan-Meier survival 72m UCI,Net survival 84m,Net survival 84m LCI,Net survival 84m UCI,Kaplan-Meier survival 84m,Kaplan-Meier survival 84m LCI,Kaplan-Meier survival 84m UCI,Net survival 96m,Net survival 96m LCI,Net survival 96m UCI,Kaplan-Meier survival 96m,Kaplan-Meier survival 96m LCI,Kaplan-Meier survival 96m UCI
Oesophageal and stomach,2014,Stomach,Non-Cardia,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,211,54316618,0.388,0.338,0.445,212,.c,.c,.c,.c,32,15.094,10.899,20.532,58,27.358,21.801,33.722,11,5.189,2.922,9.051,11,5.189,2.922,9.051,96,45.283,38.726,52.008,0,0,0,1.78,3,1.415,0.482,4.077,1,0.472,0.083,2.623,211,26,12.322,8.549,17.443,11,5.213,2.936,9.093,18,8.531,5.464,13.08,15,7.109,4.355,11.397,7,3.318,1.616,6.688,11,5.213,2.936,9.093,4,1.896,0.74,4.772,7,3.318,1.616,6.688,0,0,0,1.788,0,0,0,1.788,167,79.147,73.168,84.083,211,211,62.3,55.7,68.9,61.6,54.7,67.8,53.2,46.3,60.1,52.1,45.2,58.6,46.6,39.7,53.6,45.5,38.7,52.1,44.9,38,51.9,43.6,36.8,50.2,40,33,47.1,37.9,31.3,44.4,35.7,28.6,42.7,32.6,26.4,39,32,25,39.1,28.8,22.8,35,29.4,22.2,36.5,25.4,19.7,31.4,26,18.6,33.3,23,17.6,28.9,25.2,17.9,32.5,22,16.7,27.9,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Non-Cardia,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-79,Age 00-79,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,125,51726741,0.242,0.201,0.288,126,.c,.c,.c,.c,22,17.46,11.823,25.023,40,31.746,24.261,40.311,8,6.349,3.252,12.029,11,8.73,4.945,14.958,44,34.921,27.155,43.579,0,0,0,2.959,1,0.794,0.14,4.359,0,0,0,2.959,125,23,18.4,12.585,26.099,7,5.6,2.739,11.109,15,12,7.409,18.857,14,11.2,6.79,17.924,3,2.4,0.82,6.819,10,8,4.403,14.101,4,3.2,1.251,7.939,5,4,1.72,9.023,0,0,0,2.982,0,0,0,2.982,89,71.2,62.723,78.413,125,125,70.7,62.7,78.7,70.4,61.6,77.6,63.6,55.2,72.1,63.2,54.1,71,59,50.3,67.7,58.4,49.3,66.5,57.5,48.8,66.3,56.8,47.7,64.9,52.4,43.4,61.3,51.1,42.1,59.5,46.4,37.3,55.5,44.6,35.8,53.1,44.4,35.3,53.4,42.2,33.5,50.7,42.1,32.9,51.3,39,30.4,47.4,41.3,32,50.6,37.3,28.9,45.8,39.8,30.3,49.3,35.7,27.4,44.1,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Non-Cardia,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 80+,Age 80+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,86,2589877,3.321,2.656,4.101,86,.c,.c,.c,.c,10,11.628,6.44,20.097,18,20.93,13.67,30.677,3,3.488,1.193,9.761,0,0,0,4.276,52,60.465,49.898,70.138,0,0,0,4.276,2,2.326,0.64,8.088,1,1.163,0.206,6.296,86,3,3.488,1.193,9.761,4,4.651,1.823,11.357,3,3.488,1.193,9.761,1,1.163,0.206,6.296,4,4.651,1.823,11.357,1,1.163,0.206,6.296,0,0,0,4.276,2,2.326,0.64,8.088,0,0,0,4.276,0,0,0,4.276,78,90.698,82.704,95.211,86,86,50.1,39.4,60.9,48.8,37.9,58.9,38,27.4,48.6,36,26.1,46.1,28.6,18.6,38.6,26.7,17.9,36.4,26.7,16.8,36.6,24.4,16,33.9,.g,.g,.g,18.6,11.2,27.4,.g,.g,.g,15.1,8.5,23.5,.e,.e,.e,9.3,4.3,16.6,.e,.e,.e,5.8,2.2,12.1,.e,.e,.e,2.3,0.4,7.3,.e,.e,.e,2.3,0.4,7.3,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1827,54316618,3.364,3.211,3.521,1826,.c,.c,.c,.c,390,21.358,19.54,23.297,415,22.727,20.864,24.705,141,7.722,6.584,9.037,102,5.586,4.623,6.736,689,37.733,35.537,39.98,12,0.657,0.376,1.145,72,3.943,3.143,4.937,5,0.274,0.117,0.639,1827,479,26.218,24.252,28.283,147,8.046,6.885,9.383,261,14.286,12.756,15.965,306,16.749,15.107,18.53,93,5.09,4.173,6.196,129,7.061,5.974,8.328,43,2.354,1.752,3.155,121,6.623,5.571,7.857,2,0.109,0.03,0.398,9,0.493,0.259,0.934,1124,61.522,59.269,63.726,1827,1759,62.3,60,64.6,61.6,59.3,63.8,50.2,47.8,52.6,49,46.7,51.4,41.2,38.9,43.6,39.9,37.6,42.2,35.4,33.1,37.7,33.9,31.7,36.2,23.6,21.4,25.7,21.7,19.8,23.7,19.3,17.2,21.3,17.1,15.3,18.9,17,15,19,14.5,12.9,16.2,16.7,14.7,18.8,13.5,12,15.2,15.6,13.4,17.7,12,10.5,13.5,15.7,13.3,18,11.4,10,12.9,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1376,54316618,2.533,2.401,2.671,1376,.c,.c,.c,.c,353,25.654,23.417,28.027,327,23.765,21.591,26.085,97,7.049,5.813,8.525,88,6.395,5.22,7.813,473,34.375,31.912,36.925,2,0.145,0.04,0.528,35,2.544,1.835,3.517,1,0.073,0.013,0.411,1376,449,32.631,30.205,35.154,137,9.956,8.484,11.652,244,17.733,15.805,19.84,282,20.494,18.445,22.708,84,6.105,4.958,7.496,117,8.503,7.142,10.095,42,3.052,2.266,4.1,116,8.43,7.075,10.017,2,0.145,0.04,0.528,9,0.654,0.344,1.238,724,52.616,49.974,55.244,1376,1362,68.5,66,71,67.7,65.1,70.1,54.4,51.7,57.2,53.2,50.5,55.8,44.5,41.7,47.2,43,40.3,45.6,37.5,34.9,40.2,35.9,33.4,38.4,23.6,21.2,26,21.6,19.4,23.8,18.5,16.2,20.8,16.2,14.3,18.2,15.7,13.4,17.9,13.2,11.5,15.1,15.1,12.9,17.4,12.1,10.4,13.9,14.2,11.8,16.5,10.8,9.2,12.5,14.6,12.1,17.1,10.2,8.7,11.9,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,118,54316618,0.217,0.18,0.26,118,.c,.c,.c,.c,15,12.712,7.857,19.918,47,39.831,31.453,48.85,15,12.712,7.857,19.918,9,7.627,4.064,13.862,27,22.881,16.229,31.244,0,0,0,3.153,5,4.237,1.823,9.537,0,0,0,3.153,118,22,18.644,12.647,26.618,11,9.322,5.285,15.924,66,55.932,46.928,64.563,1,0.847,0.15,4.645,7,5.932,2.903,11.74,45,38.136,29.877,47.142,1,0.847,0.15,4.645,18,15.254,9.872,22.827,1,0.847,0.15,4.645,2,1.695,0.466,5.97,43,36.441,28.312,45.424,118,117,95.3,90.9,99.6,94,87.9,97.1,91,85.1,96.9,88.9,81.6,93.4,86.6,79.5,93.6,83.8,75.7,89.3,80.5,72.4,88.6,76.9,68.2,83.5,72.6,63.1,82.2,65.8,56.5,73.6,67.2,56.6,77.9,58.1,48.7,66.4,63.8,52.1,75.5,52.1,42.7,60.7,63.6,51.2,76,49.6,40.2,58.2,57.5,43.9,71.2,42.7,33.7,51.5,57.1,42.1,72,40.2,31.3,48.9,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 2,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,187,54316618,0.344,0.297,0.397,187,.c,.c,.c,.c,51,27.273,21.395,34.065,50,26.738,20.909,33.503,11,5.882,3.316,10.225,17,9.091,5.753,14.075,55,29.412,23.348,36.304,0,0,0,2.013,3,1.604,0.547,4.61,0,0,0,2.013,187,76,40.642,33.859,47.801,22,11.765,7.899,17.17,69,36.898,30.311,44.013,30,16.043,11.475,21.978,15,8.021,4.921,12.812,29,15.508,11.02,21.385,6,3.209,1.479,6.822,39,20.856,15.648,27.236,0,0,0,2.013,1,0.535,0.094,2.966,67,35.829,29.305,42.923,187,187,87.6,82.7,92.5,86.6,80.9,90.8,74.2,67.6,80.7,72.7,65.7,78.5,63.2,56,70.4,61.5,54.1,68,55.8,48.3,63.3,53.9,46.5,60.8,41.6,34.1,49.1,38.8,31.8,45.8,31.9,24.6,39.2,28.6,22.3,35.2,27.3,20.1,34.5,23.2,17.4,29.5,25.5,18.2,32.8,20.5,15,26.6,25.5,18,32.9,19.4,14.1,25.4,27.1,18.8,35.5,18.3,13.1,24.2,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,155,54316618,0.285,0.242,0.334,155,.c,.c,.c,.c,64,41.29,33.841,49.161,31,20,14.463,26.988,10,6.452,3.542,11.468,8,5.161,2.638,9.853,38,24.516,18.414,31.851,0,0,0,2.418,4,2.581,1.008,6.447,0,0,0,2.418,155,77,49.677,41.91,57.461,23,14.839,10.096,21.282,64,41.29,33.841,49.161,29,18.71,13.355,25.578,12,7.742,4.484,13.044,20,12.903,8.51,19.09,5,3.226,1.386,7.328,38,24.516,18.414,31.851,1,0.645,0.114,3.564,5,3.226,1.386,7.328,45,29.032,22.462,36.616,155,154,85.9,80.3,91.6,85.1,78.4,89.8,74.2,67,81.4,72.7,65,79.1,64.9,57.1,72.8,63,54.8,70.1,51.8,43.5,60,50,41.9,57.6,30,22.4,37.7,28.6,21.7,35.8,24.3,17.1,31.5,22.7,16.5,29.6,20.5,13.7,27.3,18.8,13.1,25.4,20.1,13.3,26.9,18.2,12.6,24.6,18.7,11.8,25.7,16.2,10.9,22.5,.f,.f,.f,15.6,10.4,21.8,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,538,54316618,0.99,0.909,1.078,538,.c,.c,.c,.c,169,31.413,27.634,35.455,102,18.959,15.871,22.487,29,5.39,3.779,7.634,29,5.39,3.779,7.634,198,36.803,32.835,40.958,0,0,0,0.709,11,2.045,1.145,3.624,0,0,0,0.709,538,216,40.149,36.09,44.347,52,9.665,7.447,12.456,14,2.602,1.556,4.32,184,34.201,30.317,38.309,26,4.833,3.319,6.987,8,1.487,0.755,2.906,26,4.833,3.319,6.987,6,1.115,0.512,2.412,0,0,0,0.709,0,0,0,0.709,288,53.532,49.307,57.706,538,538,56.8,52.6,61,56.4,52.1,60.4,37,32.9,41.1,36.4,32.3,40.5,24.2,20.5,27.9,23.7,20.2,27.4,17.9,14.6,21.2,17.4,14.3,20.7,6.1,4,8.2,5.8,4,8,.g,.g,.g,3,1.8,4.7,.g,.g,.g,2.1,1.1,3.5,.g,.g,.g,1.9,1,3.3,.f,.f,.f,1.7,0.8,3.1,.e,.e,.e,1.7,0.8,3.1,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,215,47754371,0.45,0.392,0.515,215,.c,.c,.c,.c,69,32.093,26.214,38.6,36,16.744,12.347,22.309,12,5.581,3.221,9.501,16,7.442,4.632,11.745,76,35.349,29.267,41.945,0,0,0,1.755,6,2.791,1.285,5.954,0,0,0,1.755,215,126,58.605,51.926,64.981,22,10.233,6.855,15.006,7,3.256,1.586,6.567,103,47.907,41.325,54.563,4,1.86,0.726,4.685,2,0.93,0.255,3.328,18,8.372,5.361,12.844,5,2.326,0.997,5.328,0,0,0,1.755,0,0,0,1.755,83,38.605,32.351,45.258,215,215,64,57.6,70.5,63.9,57.1,69.9,43.4,36.8,50,43.2,36.5,49.7,29.3,23.2,35.4,29.1,23.2,35.3,21.8,16.3,27.3,21.6,16.4,27.4,.g,.g,.g,8.5,5.2,12.7,.g,.g,.g,3.8,1.8,6.9,.e,.e,.e,3.3,1.5,6.3,.e,.e,.e,3.3,1.5,6.3,.e,.e,.e,3.3,1.5,6.3,.e,.e,.e,3.3,1.5,6.3,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70-79,Age 70-79,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,193,3972370,4.859,4.197,5.595,193,.c,.c,.c,.c,65,33.679,27.387,40.607,42,21.762,16.522,28.103,9,4.663,2.472,8.624,8,4.145,2.115,7.965,67,34.715,28.356,41.671,0,0,0,1.952,2,1.036,0.285,3.699,0,0,0,1.952,193,72,37.306,30.793,44.314,21,10.881,7.228,16.061,5,2.591,1.112,5.92,67,34.715,28.356,41.671,16,8.29,5.167,13.041,5,2.591,1.112,5.92,5,2.591,1.112,5.92,0,0,0,1.952,0,0,0,1.952,0,0,0,1.952,100,51.813,44.798,58.758,193,193,54.3,47.2,61.3,53.9,46.6,60.6,35.7,29,42.5,35.2,28.6,42,23.3,17.3,29.3,22.8,17.2,28.9,16.6,11.3,21.8,16.1,11.3,21.6,.e,.e,.e,2.6,1,5.6,.e,.e,.e,1.6,0.4,4.2,.e,.e,.e,0.5,0,2.7,.e,.e,.e,0.5,0,2.7,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 80+,Age 80+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,130,2589877,5.02,4.194,5.96,130,.c,.c,.c,.c,35,26.923,20.042,35.129,24,18.462,12.732,26.002,8,6.154,3.151,11.674,5,3.846,1.654,8.688,55,42.308,34.156,50.901,0,0,0,2.87,3,2.308,0.788,6.565,0,0,0,2.87,130,18,13.846,8.941,20.826,9,6.923,3.685,12.634,2,1.538,0.423,5.436,14,10.769,6.524,17.266,6,4.615,2.132,9.704,1,0.769,0.136,4.229,3,2.308,0.788,6.565,1,0.769,0.136,4.229,0,0,0,2.87,0,0,0,2.87,105,80.769,73.151,86.621,130,130,48.8,40.1,57.5,47.7,38.9,56,28.3,20.4,36.1,26.9,19.6,34.7,17.1,10.5,23.8,16.2,10.4,23,.g,.g,.g,12.3,7.4,18.6,.e,.e,.e,6.2,2.9,11.2,.e,.e,.e,3.8,1.4,8.2,.e,.e,.e,2.3,0.6,6.1,.e,.e,.e,1.5,0.3,5,.e,.e,.e,1.5,0.3,5,.e,.e,.e,1.5,0.3,5,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage unknown,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,378,54316618,0.696,0.628,0.77,378,.c,.c,.c,.c,54,14.286,11.117,18.173,97,25.661,21.519,30.294,32,8.466,6.06,11.707,25,6.614,4.52,9.581,155,41.005,36.162,46.03,2,0.529,0.145,1.908,12,3.175,1.825,5.466,1,0.265,0.047,1.483,378,58,15.344,12.061,19.324,29,7.672,5.395,10.801,31,8.201,5.838,11.406,38,10.053,7.412,13.498,24,6.349,4.303,9.273,15,3.968,2.419,6.443,4,1.058,0.412,2.689,15,3.968,2.419,6.443,0,0,0,1.006,1,0.265,0.047,1.483,281,74.339,69.706,78.481,378,366,59.9,54.8,65.1,58.9,53.7,63.8,49.9,44.6,55.2,48.2,43,53.2,42.4,37.1,47.7,40.3,35.2,45.3,37.3,32.1,42.5,34.8,29.9,39.7,21.4,16.8,26,18.9,15.1,23.1,15.9,11.6,20.2,13.2,9.9,16.8,11.8,7.8,15.8,9.6,6.8,12.9,10.9,6.9,14.9,8.2,5.7,11.3,.g,.g,.g,7.1,4.8,10.1,.g,.g,.g,6.9,4.6,9.7,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,451,54316618,0.83,0.755,0.911,450,.c,.c,.c,.c,37,8.222,6.024,11.128,88,19.556,16.155,23.471,44,9.778,7.365,12.872,14,3.111,1.862,5.154,216,48,43.42,52.613,10,2.222,1.211,4.042,37,8.222,6.024,11.128,4,0.889,0.346,2.263,451,30,6.652,4.699,9.337,10,2.217,1.209,4.033,17,3.769,2.367,5.953,24,5.322,3.602,7.796,9,1.996,1.053,3.749,12,2.661,1.528,4.593,1,0.222,0.039,1.245,5,1.109,0.474,2.569,0,0,0,0.845,0,0,0,0.845,400,88.692,85.436,91.294,451,397,41,36.2,45.9,40.6,35.7,45.3,35.5,30.7,40.2,34.8,30.1,39.4,30.2,25.6,34.8,29.5,25.1,34,28,23.5,32.6,27.2,22.9,31.6,23.5,19.1,27.8,22.2,18.2,26.4,21.7,17.4,26.1,19.9,16.1,24,21.6,17.1,26.1,18.9,15.2,22.9,21.8,17.2,26.4,18.4,14.8,22.3,20.4,15.2,25.5,16.1,12.7,19.9,19.3,13.6,25,15.4,12,19.1,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,105,47754371,0.22,0.18,0.266,105,.c,.c,.c,.c,6,5.714,2.645,11.91,35,33.333,25.046,42.797,14,13.333,8.111,21.144,9,8.571,4.575,15.492,32,30.476,22.49,39.84,4,3.81,1.491,9.388,4,3.81,1.491,9.388,1,0.952,0.168,5.199,105,14,13.333,8.111,21.144,3,2.857,0.976,8.066,12,11.429,6.66,18.92,10,9.524,5.256,16.649,2,1.905,0.524,6.681,9,8.571,4.575,15.492,1,0.952,0.168,5.199,3,2.857,0.976,8.066,0,0,0,3.529,0,0,0,3.529,80,76.19,67.211,83.321,105,95,68.5,59.4,77.7,68.4,58,76.7,64.4,55,73.8,64.2,53.7,72.9,63.5,54,73,63.2,52.6,72,61.4,51.7,71.1,61.1,50.5,70,56.3,46.4,66.2,55.8,45.2,65.1,51.6,41.5,61.7,50.5,40.1,60,.f,.f,.f,50.5,40.1,60,51.3,41,61.6,49.5,39.1,59,46.4,36,56.8,44.2,34.1,53.9,45.5,35.1,55.9,43.2,33.1,52.8,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70-79,Age 70-79,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,118,3972370,2.971,2.459,3.557,118,.c,.c,.c,.c,11,9.322,5.285,15.924,26,22.034,15.503,30.328,10,8.475,4.668,14.899,4,3.39,1.326,8.393,54,45.763,37.049,54.743,2,1.695,0.466,5.97,9,7.627,4.064,13.862,2,1.695,0.466,5.97,118,11,9.322,5.285,15.924,3,2.542,0.868,7.209,5,4.237,1.823,9.537,9,7.627,4.064,13.862,3,2.542,0.868,7.209,3,2.542,0.868,7.209,0,0,0,3.153,2,1.695,0.466,5.97,0,0,0,3.153,0,0,0,3.153,101,85.593,78.136,90.806,118,107,42.3,33.1,51.5,42.1,32.6,51.2,35.1,26.1,44,34.6,25.7,43.6,29.6,20.9,38.2,29,20.7,37.7,26.8,18.4,35.2,26.2,18.3,34.7,23.4,15.3,31.5,22.4,15.1,30.7,22.1,14,30.2,20.6,13.5,28.7,21.2,12.9,29.4,18.7,12,26.6,.g,.g,.g,17.8,11.2,25.5,.g,.g,.g,15.9,9.7,23.4,.g,.g,.g,15,9,22.4,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2014,Stomach,Overlapping lesion and unspecified,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 80+,Age 80+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,228,2589877,8.804,7.698,10.023,227,.c,.c,.c,.c,20,8.811,5.776,13.216,27,11.894,8.305,16.752,20,8.811,5.776,13.216,1,0.441,0.078,2.453,130,57.269,50.765,63.53,4,1.762,0.687,4.442,24,10.573,7.208,15.249,1,0.441,0.078,2.453,228,5,2.193,0.94,5.03,4,1.754,0.684,4.423,0,0,0,1.657,5,2.193,0.94,5.03,4,1.754,0.684,4.423,0,0,0,1.657,0,0,0,1.657,0,0,0,1.657,0,0,0,1.657,0,0,0,1.657,219,96.053,92.67,97.91,228,195,26.9,20.6,33.1,26.2,20.2,32.5,21.6,15.7,27.5,20.5,15.2,26.4,14.3,9.2,19.4,13.3,9,18.5,12.4,7.5,17.2,11.3,7.3,16.2,.g,.g,.g,5.6,3,9.5,.e,.e,.e,4.6,2.3,8.2,.e,.e,.e,3.6,1.6,6.9,.e,.e,.e,3.6,1.6,6.9,.e,.e,.e,2.6,1,5.5,.e,.e,.e,2.1,0.7,4.8,.a,.a,.a,.a,.a,.a
