"age_group"	"sex"	"variable"	"level"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
20-49	Men	"physical_activity_old"	Meets Recommendations	0	Full Range	2003	2012	2.0840	0.1714	4.0331	1	3.4706	0.040328
50+	Men	"physical_activity_old"	Meets Recommendations	0	Full Range	2003	2012	1.9742	1.4560	2.4949	1	12.2134	0.001182
20-49	Women	"physical_activity_old"	Meets Recommendations	0	Full Range	2003	2012	2.7421	0.5176	5.0159	1	3.9330	0.029272
50+	Women	"physical_activity_old"	Meets Recommendations	0	Full Range	2003	2012	5.0915	1.7723	8.5189	1	4.9245	0.016047
20-49	Men	"smoking_status"	Current	4	Full Range	1995	2019	-1.6339	-2.0418	-1.2243	1	-7.7706	0.000000
50+	Men	"smoking_status"	Current	2	Full Range	1995	2019	-2.2498	-2.6157	-1.8826	1	-11.8943	0.000000
20-49	Women	"smoking_status"	Current	2	Full Range	1995	2019	-2.3321	-2.5978	-2.0656	1	-16.9768	0.000000
50+	Women	"smoking_status"	Current	4	Full Range	1995	2019	-2.2347	-2.6085	-1.8595	1	-11.5640	0.000000
20-49	Men	"smoking_status"	Never	2	Full Range	1995	2019	0.9683	0.7895	1.1475	1	10.6528	0.000000
50+	Men	"smoking_status"	Never	0	Full Range	1995	2019	2.2666	2.1543	2.3790	1	42.1959	0.000000
20-49	Women	"smoking_status"	Never	3	Full Range	1995	2019	0.9834	0.7196	1.2479	1	7.3324	0.000000
50+	Women	"smoking_status"	Never	0	Full Range	1995	2019	0.6183	0.5684	0.6682	1	25.7102	0.000000
20-49	Men	"smoking_status"	Previously	4	Full Range	1995	2019	-0.0087	-0.3332	0.3167	0	-0.0527	0.957954
50+	Men	"smoking_status"	Previously	2	Full Range	1995	2019	-1.0660	-1.3130	-0.8185	1	-8.4057	0.000000
20-49	Women	"smoking_status"	Previously	4	Full Range	1995	2019	-0.0412	-0.6898	0.6116	0	-0.1241	0.901250
50+	Women	"smoking_status"	Previously	1	Full Range	1995	2019	0.1251	-0.0660	0.3166	0	1.2824	0.199716
