"age_group"	"sex"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
50+	Women	Light Drinker	"alcohol_amt"	1	10	4	6	0.000964	0.000161	Uncorrelated	0	NA	NA	NA	36.615983	3.217883	11.378905	0.000092	-0.018497	0.001603	-11.542438	0.000086	NA	NA	NA	NA	10.354770	0.000000	6.709776	1.000000	0.000000	1.000000
50+	Women	Light Drinker	"alcohol_amt"	1	10	4	6	0.000964	0.000161	Uncorrelated	1	2012	2012	2014	-11.581180	2.590323	-4.470940	0.006574	0.005458	0.001285	4.247671	0.008110	0.023955	0.002054	11.662390	0.000081	0.000003	0.000000	0.000002	1.000000	0.000000	1.000000
20-49	Men	Moderate Drinker	"alcohol_amt"	0	10	2	8	0.001292	0.000162	Uncorrelated	0	NA	NA	NA	43.377215	2.090108	20.753572	0.000000	-0.022080	0.001038	-21.276415	0.000000	NA	NA	NA	NA	4.368553	-0.002169	0.000001	1.000000	-0.999998	1.000000
50+	Men	Moderate Drinker	"alcohol_amt"	1	10	4	6	0.002151	0.000359	Uncorrelated	0	NA	NA	NA	-12.934648	8.901217	-1.453132	0.205920	0.005929	0.004433	1.337423	0.238695	NA	NA	NA	NA	79.231669	0.000000	51.341243	1.000000	0.000000	1.000000
50+	Men	Moderate Drinker	"alcohol_amt"	1	10	4	6	0.002151	0.000359	Uncorrelated	1	2012	2012	2015	26.331158	7.165280	3.674826	0.014371	-0.013587	0.003554	-3.822847	0.012337	-0.019516	0.005682	-3.434800	0.018539	0.000020	0.000000	0.000013	1.000000	0.000000	1.000000
20-49	Women	Moderate Drinker	"alcohol_amt"	1	10	4	6	0.003479	0.000580	Uncorrelated	0	NA	NA	NA	30.956822	11.569698	2.675681	0.044047	-0.016152	0.005762	-2.803333	0.037845	NA	NA	NA	NA	133.857920	0.000000	86.738447	1.000000	0.000000	1.000000
20-49	Women	Moderate Drinker	"alcohol_amt"	1	10	4	6	0.003479	0.000580	Uncorrelated	1	2012	2012	2015	67.112971	9.313348	7.206106	0.000802	-0.034122	0.004620	-7.386276	0.000715	-0.017970	0.007385	-2.433304	0.059139	0.000033	0.000000	0.000021	1.000000	0.000000	1.000000
50+	Women	Moderate Drinker	"alcohol_amt"	1	10	4	6	0.002197	0.000366	Uncorrelated	0	NA	NA	NA	-93.179951	6.318359	-14.747494	0.000026	0.045533	0.003147	14.470535	0.000028	NA	NA	NA	NA	39.921654	0.000000	25.868789	1.000000	0.000000	1.000000
50+	Women	Moderate Drinker	"alcohol_amt"	1	10	4	6	0.002197	0.000366	Uncorrelated	1	2012	2012	2013	9.281509	5.086137	1.824864	0.127608	-0.005392	0.002523	-2.137375	0.085601	-0.050925	0.004033	-12.626779	0.000055	0.000010	0.000000	0.000006	1.000000	0.000000	1.000000
20-49	Men	Non-Drinker	"alcohol_amt"	1	10	4	6	0.002647	0.000441	Uncorrelated	0	NA	NA	NA	-85.555759	9.322025	-9.177809	0.000258	0.041536	0.004642	8.947125	0.000291	NA	NA	NA	NA	86.900141	0.000000	56.310328	1.000000	0.000000	1.000000
20-49	Men	Non-Drinker	"alcohol_amt"	1	10	4	6	0.002647	0.000441	Uncorrelated	1	2012	2012	2017	-49.342682	7.504021	-6.575499	0.001221	0.023538	0.003722	6.323606	0.001458	-0.017999	0.005950	-3.024764	0.029256	0.000022	0.000000	0.000014	1.000000	0.000000	1.000000
50+	Men	Non-Drinker	"alcohol_amt"	1	10	4	6	0.001851	0.000309	Uncorrelated	0	NA	NA	NA	-75.229260	8.839605	-8.510478	0.000368	0.036391	0.004402	8.266595	0.000423	NA	NA	NA	NA	78.138614	0.000000	50.632955	1.000000	0.000000	1.000000
50+	Men	Non-Drinker	"alcohol_amt"	1	10	4	6	0.001851	0.000309	Uncorrelated	1	2012	2012	2014	-10.907019	7.115684	-1.532814	0.185897	0.004422	0.003530	1.252777	0.265685	-0.031969	0.005642	-5.665844	0.002382	0.000019	0.000000	0.000012	1.000000	0.000000	1.000000
20-49	Women	Non-Drinker	"alcohol_amt"	0	10	2	8	0.003371	0.000421	Uncorrelated	0	NA	NA	NA	-62.568421	3.375515	-18.535964	0.000000	0.030249	0.001676	18.047937	0.000000	NA	NA	NA	NA	11.394101	-0.005657	0.000003	1.000000	-0.999998	1.000000
50+	Women	Non-Drinker	"alcohol_amt"	1	10	4	6	0.001711	0.000285	Uncorrelated	0	NA	NA	NA	-12.171566	6.166776	-1.973732	0.105420	0.005307	0.003071	1.728017	0.144561	NA	NA	NA	NA	38.029128	0.000000	24.642453	1.000000	0.000000	1.000000
50+	Women	Non-Drinker	"alcohol_amt"	1	10	4	6	0.001711	0.000285	Uncorrelated	1	2012	2012	2017	18.452964	4.964117	3.717271	0.013751	-0.009914	0.002462	-4.026233	0.010059	-0.015221	0.003936	-3.866763	0.011799	0.000009	0.000000	0.000006	1.000000	0.000000	1.000000
20-49	Men	Healthy Weight	"bmi"	1	25	4	21	0.004278	0.000204	Uncorrelated	0	NA	NA	NA	51.364046	5.388897	9.531459	0.000000	-0.026180	0.002697	-9.706606	0.000000	NA	NA	NA	NA	29.040206	0.000000	2.018984	1.000000	0.000000	1.000000
20-49	Men	Healthy Weight	"bmi"	1	25	4	21	0.004278	0.000204	Uncorrelated	1	2002	2000	2004	-5.399694	1.420910	-3.800167	0.001122	0.002173	0.000707	3.076006	0.005960	0.028354	0.002788	10.169266	0.000000	0.000007	0.000000	0.000000	1.000000	0.000000	1.000000
50+	Men	Healthy Weight	"bmi"	3	25	8	17	0.005358	0.000315	Uncorrelated	0	NA	NA	NA	68.769829	6.417995	10.715158	0.000000	-0.035084	0.003212	-10.922201	0.000000	NA	NA	NA	NA	41.190656	0.000000	2328.662085	1.000000	0.000000	1.000000
50+	Men	Healthy Weight	"bmi"	3	25	8	17	0.005358	0.000315	Uncorrelated	1	2002	1999	2004	-10.974989	24.086041	-0.455658	0.655623	0.004748	0.012019	0.395058	0.698754	0.039833	0.012441	3.201763	0.006398	0.000010	0.000000	0.000578	1.000000	0.000000	1.000000
50+	Men	Healthy Weight	"bmi"	3	25	8	17	0.005358	0.000315	Uncorrelated	2	2006	2003	2014	59.099377	48.256213	1.224700	0.240896	-0.030184	0.024038	-1.255688	0.229782	-0.034932	0.026875	-1.299797	0.214665	580.137384	0.000000	14.211726	1.000000	0.000000	1.000000
50+	Men	Healthy Weight	"bmi"	3	25	8	17	0.005358	0.000315	Uncorrelated	3	2009	2007	2017	0.931778	3.769844	0.247166	0.808367	-0.001231	0.001871	-0.657643	0.521434	0.028954	0.024111	1.200857	0.249730	0.000144	0.000000	0.000004	1.000000	0.000000	1.000000
20-49	Women	Healthy Weight	"bmi"	2	25	6	19	0.001443	0.000076	Uncorrelated	0	NA	NA	NA	33.102788	3.114107	10.629946	0.000000	-0.016899	0.001559	-10.842321	0.000000	NA	NA	NA	NA	9.697661	0.000000	0.000000	1.000000	0.000000	1.000000
20-49	Women	Healthy Weight	"bmi"	2	25	6	19	0.001443	0.000076	Uncorrelated	1	2002	2000	2005	11.537540	1.385228	8.328982	0.000000	-0.006127	0.000690	-8.883968	0.000000	0.010772	0.001704	6.320080	0.000008	0.000002	0.000000	55.372079	1.000000	0.000000	1.000000
20-49	Women	Healthy Weight	"bmi"	2	25	6	19	0.001443	0.000076	Uncorrelated	2	2015	2008	2016	41.685868	7.441242	5.602004	0.000032	-0.021089	0.003688	-5.717754	0.000025	-0.014962	0.003752	-3.987434	0.000953	1.918857	0.000000	0.000014	1.000000	0.000000	1.000000
50+	Women	Healthy Weight	"bmi"	3	25	8	17	0.001570	0.000092	Uncorrelated	0	NA	NA	NA	27.048253	5.529516	4.891613	0.000238	-0.014097	0.002769	-5.091255	0.000164	NA	NA	NA	NA	30.575546	0.000000	621.040138	1.000000	0.000000	1.000000
50+	Women	Healthy Weight	"bmi"	3	25	8	17	0.001570	0.000092	Uncorrelated	1	2000	1997	2003	8.533339	1.933326	4.413813	0.000589	-0.004840	0.000964	-5.020456	0.000187	0.009257	0.002932	3.157467	0.006987	0.000008	0.000000	0.000153	1.000000	0.000000	1.000000
50+	Women	Healthy Weight	"bmi"	3	25	8	17	0.001570	0.000092	Uncorrelated	2	2011	2009	2012	-47.190189	24.920677	-1.893616	0.079128	0.022870	0.012383	1.846862	0.086010	0.027709	0.012420	2.230954	0.042553	3.737749	0.000000	31.191042	1.000000	0.000000	1.000000
50+	Women	Healthy Weight	"bmi"	3	25	8	17	0.001570	0.000092	Uncorrelated	3	2014	2013	2015	13.579813	5.584894	2.431526	0.029058	-0.007304	0.002769	-2.637931	0.019483	-0.030174	0.012689	-2.377996	0.032196	0.000001	0.000000	0.000008	1.000000	0.000000	1.000000
20-49	Men	Obese	"bmi"	1	25	4	21	0.010077	0.000480	Uncorrelated	0	NA	NA	NA	-127.700052	10.610113	-12.035692	0.000000	0.063019	0.005312	11.864263	0.000000	NA	NA	NA	NA	112.574498	0.000000	4.119281	1.000000	0.000000	1.000000
20-49	Men	Obese	"bmi"	1	25	4	21	0.010077	0.000480	Uncorrelated	1	2001	2000	2002	-17.405885	2.029601	-8.576012	0.000000	0.007900	0.001009	7.825492	0.000000	-0.055120	0.005407	-10.194535	0.000000	0.000028	0.000000	0.000001	1.000000	0.000000	1.000000
50+	Men	Obese	"bmi"	3	25	8	17	0.002876	0.000169	Uncorrelated	0	NA	NA	NA	-46.475228	17.379247	-2.674180	0.018151	0.022485	0.008707	2.582339	0.021710	NA	NA	NA	NA	302.038230	0.000000	34.848041	1.000000	0.000000	1.000000
50+	Men	Obese	"bmi"	3	25	8	17	0.002876	0.000169	Uncorrelated	1	1998	1997	2000	-109.801674	17.414075	-6.305340	0.000019	0.054179	0.008707	6.222488	0.000022	0.031695	0.012314	2.573975	0.022066	0.000076	0.000000	0.000009	1.000000	0.000000	1.000000
50+	Men	Obese	"bmi"	3	25	8	17	0.002876	0.000169	Uncorrelated	2	2002	2000	2004	-48.901210	5.903223	-8.283816	0.000001	0.023760	0.002944	8.071852	0.000001	-0.030420	0.009191	-3.309694	0.005162	303.250016	0.000000	7.458513	1.000000	0.000000	1.000000
50+	Men	Obese	"bmi"	3	25	8	17	0.002876	0.000169	Uncorrelated	3	2009	2006	2011	-11.247887	2.731028	-4.118554	0.001044	0.005017	0.001356	3.700938	0.002373	-0.018742	0.003241	-5.783410	0.000047	0.000076	0.000000	0.000002	1.000000	0.000000	1.000000
20-49	Women	Obese	"bmi"	2	25	6	19	0.003817	0.000201	Uncorrelated	0	NA	NA	NA	-90.974618	5.481607	-16.596342	0.000000	0.044657	0.002744	16.277069	0.000000	NA	NA	NA	NA	30.048011	0.000000	0.000003	1.000000	0.000000	1.000000
20-49	Women	Obese	"bmi"	2	25	6	19	0.003817	0.000201	Uncorrelated	1	2002	2001	2004	-22.292308	3.208634	-6.947600	0.000002	0.010350	0.001598	6.475561	0.000006	-0.034307	0.003175	-10.804744	0.000000	0.000008	0.000000	48.971237	1.000000	0.000000	1.000000
20-49	Women	Obese	"bmi"	2	25	6	19	0.003817	0.000201	Uncorrelated	2	2013	2011	2016	-65.476733	6.997945	-9.356566	0.000000	0.031803	0.003470	9.164171	0.000000	0.021453	0.003821	5.614850	0.000031	10.295333	0.000000	0.000012	1.000000	0.000000	1.000000
50+	Women	Obese	"bmi"	3	25	8	17	0.003638	0.000214	Uncorrelated	0	NA	NA	NA	-102.030018	20.352303	-5.013193	0.000190	0.050404	0.010197	4.943260	0.000216	NA	NA	NA	NA	414.216257	0.000000	1682.697640	1.000000	0.000000	1.000000
50+	Women	Obese	"bmi"	3	25	8	17	0.003638	0.000214	Uncorrelated	1	1998	1997	2000	-26.822863	2.755306	-9.734983	0.000000	0.012763	0.001375	9.282810	0.000000	-0.037641	0.010289	-3.658457	0.002581	0.000104	0.000000	0.000416	1.000000	0.000000	1.000000
50+	Women	Obese	"bmi"	3	25	8	17	0.003638	0.000214	Uncorrelated	2	2010	2005	2012	21.609722	41.020698	0.526800	0.606579	-0.011333	0.020393	-0.555721	0.587173	-0.024096	0.020439	-1.178891	0.258090	7.591714	0.000000	48.316415	1.000000	0.000000	1.000000
50+	Women	Obese	"bmi"	3	25	8	17	0.003638	0.000214	Uncorrelated	3	2013	2011	2015	-39.087456	6.951001	-5.623284	0.000063	0.018820	0.003447	5.459647	0.000084	0.030153	0.020682	1.457889	0.166937	0.000002	0.000000	0.000012	1.000000	0.000000	1.000000
20-49	Men	Overweight	"bmi"	2	25	6	19	0.001521	0.000080	Uncorrelated	0	NA	NA	NA	4.341906	1.017341	4.267897	0.000520	-0.002592	0.000508	-5.102514	0.000088	NA	NA	NA	NA	1.034983	0.000000	0.000044	1.000000	0.000000	1.000000
20-49	Men	Overweight	"bmi"	2	25	6	19	0.001521	0.000080	Uncorrelated	1	2011	2008	2013	35.060573	13.334020	2.629408	0.017576	-0.017868	0.006624	-2.697418	0.015257	-0.015275	0.006643	-2.299320	0.034434	0.000000	0.000000	71.436770	1.000000	0.000000	1.000000
20-49	Men	Overweight	"bmi"	2	25	6	19	0.001521	0.000080	Uncorrelated	2	2015	2013	2017	-8.774505	8.452028	-1.038154	0.313740	0.003887	0.004189	0.927782	0.366507	0.021754	0.007838	2.775655	0.012952	177.796095	0.000000	0.000018	1.000000	0.000000	1.000000
50+	Men	Overweight	"bmi"	2	25	6	19	0.001437	0.000076	Uncorrelated	0	NA	NA	NA	-15.459921	7.885199	-1.960625	0.066520	0.007405	0.003950	1.874838	0.078102	NA	NA	NA	NA	62.176365	0.000000	0.000003	1.000000	0.000000	1.000000
50+	Men	Overweight	"bmi"	2	25	6	19	0.001437	0.000076	Uncorrelated	1	1999	1997	2001	22.681870	3.342954	6.784978	0.000003	-0.011676	0.001669	-6.995766	0.000002	-0.019080	0.004288	-4.450072	0.000351	0.000016	0.000000	2.211185	1.000000	0.000000	1.000000
50+	Men	Overweight	"bmi"	2	25	6	19	0.001437	0.000076	Uncorrelated	2	2007	2004	2009	4.088973	1.487005	2.749804	0.013674	-0.002412	0.000739	-3.265625	0.004556	0.009264	0.001825	5.075986	0.000093	11.175343	0.000000	0.000001	1.000000	0.000000	1.000000
20-49	Women	Overweight	"bmi"	4	25	10	15	0.000921	0.000061	Uncorrelated	0	NA	NA	NA	-8.209773	1.555194	-5.278939	0.000261	0.003492	0.000778	4.487145	0.000920	NA	NA	NA	NA	2.418628	0.000000	0.000013	1.000000	0.000000	1.000000
20-49	Women	Overweight	"bmi"	4	25	10	15	0.000921	0.000061	Uncorrelated	1	2003	1997	2008	7.287966	3.199159	2.278088	0.043683	-0.004245	0.001595	-2.662072	0.022105	-0.007737	0.001775	-4.360192	0.001136	0.000001	0.000000	206.430593	1.000000	0.000000	1.000000
20-49	Women	Overweight	"bmi"	4	25	10	15	0.000921	0.000061	Uncorrelated	2	2009	2004	2011	-17.532209	7.171365	-2.444752	0.032547	0.008109	0.003566	2.273942	0.044002	0.012354	0.003906	3.162602	0.009037	10.234616	0.000000	0.000051	1.000000	0.000000	1.000000
20-49	Women	Overweight	"bmi"	4	25	10	15	0.000921	0.000061	Uncorrelated	3	2013	2011	2014	36.950489	14.367693	2.571776	0.025968	-0.018956	0.007132	-2.657883	0.022271	-0.027065	0.007974	-3.394221	0.005990	0.000003	0.000000	51.787136	1.000000	0.000000	1.000000
20-49	Women	Overweight	"bmi"	4	25	10	15	0.000921	0.000061	Uncorrelated	4	2016	2015	2017	-17.733775	7.196328	-2.464281	0.031439	0.008169	0.003566	2.290685	0.042726	0.027125	0.007974	3.401708	0.005911	51.428483	0.000000	0.000013	1.000000	0.000000	1.000000
50+	Women	Overweight	"bmi"	1	25	4	21	0.003087	0.000147	Uncorrelated	0	NA	NA	NA	8.726592	1.193594	7.311187	0.000000	-0.004827	0.000596	-8.099832	0.000000	NA	NA	NA	NA	1.424668	0.000000	21.029680	1.000000	0.000000	1.000000
50+	Women	Overweight	"bmi"	1	25	4	21	0.003087	0.000147	Uncorrelated	1	2012	2010	2015	25.074742	4.585813	5.467895	0.000024	-0.012952	0.002275	-5.693930	0.000014	-0.008125	0.002351	-3.455428	0.002500	0.000000	0.000000	0.000005	1.000000	0.000000	1.000000
20-49	Men	Underweight	"bmi"	1	25	4	21	0.461456	0.021974	Uncorrelated	0	NA	NA	NA	-67.029962	11.617147	-5.769916	0.000012	0.031201	0.005796	5.383615	0.000029	NA	NA	NA	NA	134.958115	0.000000	18182.858167	1.000000	0.000000	1.000000
20-49	Men	Underweight	"bmi"	1	25	4	21	0.461456	0.021974	Uncorrelated	1	2015	2012	2017	179.022335	134.843829	1.327627	0.199257	-0.090910	0.066837	-1.360166	0.188913	-0.122110	0.067088	-1.820155	0.083735	0.000034	0.000000	0.004467	1.000000	0.000000	1.000000
50+	Men	Underweight	"bmi"	2	25	6	19	0.169178	0.008904	Uncorrelated	0	NA	NA	NA	104.326182	11.374976	9.171552	0.000000	-0.054786	0.005682	-9.642441	0.000000	NA	NA	NA	NA	129.390078	0.000000	0.004520	1.000000	0.000000	1.000000
50+	Men	Underweight	"bmi"	2	25	6	19	0.169178	0.008904	Uncorrelated	1	2010	2006	2012	-221.755294	135.262507	-1.639444	0.119493	0.107443	0.067228	1.598195	0.128419	0.162230	0.067468	2.404557	0.027868	0.000032	0.000000	3677.399783	1.000000	0.000000	1.000000
50+	Men	Underweight	"bmi"	2	25	6	19	0.169178	0.008904	Uncorrelated	2	2014	2012	2017	108.249018	60.641568	1.785063	0.092105	-0.056412	0.030065	-1.876319	0.077888	-0.163855	0.073644	-2.224949	0.039913	18295.945788	0.000000	0.000904	1.000000	0.000000	1.000000
20-49	Women	Underweight	"bmi"	4	25	10	15	0.023744	0.001583	Uncorrelated	0	NA	NA	NA	26.373289	17.292358	1.525141	0.155447	-0.015223	0.008657	-1.758473	0.106418	NA	NA	NA	NA	299.025633	0.000000	0.002623	1.000000	0.000000	1.000000
20-49	Women	Underweight	"bmi"	4	25	10	15	0.023744	0.001583	Uncorrelated	1	2001	1997	2008	-55.763688	11.206877	-4.975846	0.000418	0.025825	0.005588	4.621432	0.000739	0.041048	0.010304	3.983736	0.002145	0.000075	0.000000	10644.791027	1.000000	0.000000	1.000000
20-49	Women	Underweight	"bmi"	4	25	10	15	0.023744	0.001583	Uncorrelated	2	2010	2006	2011	75.979764	103.019950	0.737525	0.476242	-0.039719	0.051215	-0.775530	0.454377	-0.065544	0.051519	-1.272219	0.229531	125.594084	0.000000	0.002623	1.000000	0.000000	1.000000
20-49	Women	Underweight	"bmi"	4	25	10	15	0.023744	0.001583	Uncorrelated	3	2013	2012	2014	-213.644015	103.173597	-2.070724	0.062695	0.104158	0.051215	2.033712	0.066823	0.143877	0.072430	1.986434	0.072468	0.000031	0.000000	2670.453213	1.000000	0.000000	1.000000
20-49	Women	Underweight	"bmi"	4	25	10	15	0.023744	0.001583	Uncorrelated	4	2016	2015	2017	165.451422	51.676428	3.201681	0.008429	-0.083886	0.025608	-3.275799	0.007389	-0.188043	0.057261	-3.283989	0.007282	10613.110120	0.000000	0.000656	1.000000	0.000000	1.000000
50+	Women	Underweight	"bmi"	3	25	8	17	0.055446	0.003262	Uncorrelated	0	NA	NA	NA	184.921541	30.515592	6.059904	0.000029	-0.094693	0.015281	-6.196880	0.000023	NA	NA	NA	NA	931.201334	0.000000	4735.613499	1.000000	0.000000	1.000000
50+	Women	Underweight	"bmi"	3	25	8	17	0.055446	0.003262	Uncorrelated	1	2000	1998	2002	-20.935304	9.242272	-2.265169	0.039895	0.008236	0.004607	1.787524	0.095513	0.102928	0.015960	6.449075	0.000015	0.000234	0.000000	0.001168	1.000000	0.000000	1.000000
50+	Women	Underweight	"bmi"	3	25	8	17	0.055446	0.003262	Uncorrelated	2	2012	2010	2013	252.911824	68.815794	3.675200	0.002497	-0.127871	0.034169	-3.742349	0.002186	-0.136107	0.034478	-3.947653	0.001458	85.419592	0.000000	4754.442955	1.000000	0.000000	1.000000
50+	Women	Underweight	"bmi"	3	25	8	17	0.055446	0.003262	Uncorrelated	3	2016	2014	2017	-396.055821	68.952469	-5.743896	0.000051	0.194037	0.034169	5.678800	0.000057	0.321909	0.048322	6.661759	0.000011	0.000021	0.000000	0.001168	1.000000	0.000000	1.000000
20-49	Men	Below Recommendations	"physical_activity_old"	0	5	2	3	0.004363	0.001454	Uncorrelated	0	NA	NA	NA	37.092268	10.694707	3.468283	0.040397	-0.018810	0.005330	-3.529333	0.038658	NA	NA	NA	NA	114.376761	-0.057000	0.000028	1.000000	-0.999999	1.000000
50+	Men	Below Recommendations	"physical_activity_old"	0	5	2	3	0.000061	0.000020	Uncorrelated	0	NA	NA	NA	14.401418	1.260752	11.422878	0.001440	-0.007332	0.000628	-11.670028	0.001352	NA	NA	NA	NA	1.589496	-0.000792	0.000000	1.000000	-0.999999	1.000000
20-49	Women	Below Recommendations	"physical_activity_old"	0	5	2	3	0.001546	0.000515	Uncorrelated	0	NA	NA	NA	28.739808	6.366807	4.514006	0.020320	-0.014539	0.003173	-4.582225	0.019515	NA	NA	NA	NA	40.536238	-0.020201	0.000010	1.000000	-0.999999	1.000000
50+	Women	Below Recommendations	"physical_activity_old"	0	5	2	3	0.000625	0.000208	Uncorrelated	0	NA	NA	NA	24.977462	4.046440	6.172701	0.008560	-0.012556	0.002017	-6.226523	0.008352	NA	NA	NA	NA	16.373675	-0.008160	0.000004	1.000000	-0.999999	1.000000
20-49	Men	Meets Recommendations	"physical_activity_old"	0	5	2	3	0.005425	0.001808	Uncorrelated	0	NA	NA	NA	-42.127614	11.924996	-3.532715	0.038564	0.020626	0.005943	3.470642	0.040328	NA	NA	NA	NA	142.205518	-0.070869	0.000035	1.000000	-0.999999	1.000000
50+	Men	Meets Recommendations	"physical_activity_old"	0	5	2	3	0.000394	0.000131	Uncorrelated	0	NA	NA	NA	-40.548145	3.211849	-12.624549	0.001072	0.019549	0.001601	12.213386	0.001182	NA	NA	NA	NA	10.315974	-0.005141	0.000003	1.000000	-0.999999	1.000000
20-49	Women	Meets Recommendations	"physical_activity_old"	0	5	2	3	0.007267	0.002422	Uncorrelated	0	NA	NA	NA	-55.332996	13.801911	-4.009082	0.027843	0.027052	0.006878	3.933009	0.029272	NA	NA	NA	NA	190.492737	-0.094933	0.000047	1.000000	-0.999999	1.000000
50+	Women	Meets Recommendations	"physical_activity_old"	0	5	2	3	0.015621	0.005207	Uncorrelated	0	NA	NA	NA	-101.298913	20.235579	-5.005980	0.015342	0.049661	0.010084	4.924490	0.016047	NA	NA	NA	NA	409.478666	-0.204065	0.000102	1.000000	-0.999999	1.000000
20-49	Men	Current	"smoking_status"	4	25	10	15	0.001287	0.000086	Uncorrelated	0	NA	NA	NA	19.767107	2.343595	8.434522	0.000004	-0.010424	0.001173	-8.889237	0.000002	NA	NA	NA	NA	5.492439	0.000000	0.000116	1.000000	0.000000	1.000000
20-49	Men	Current	"smoking_status"	4	25	10	15	0.001287	0.000086	Uncorrelated	1	2003	1999	2008	39.750360	3.645215	10.904806	0.000000	-0.020401	0.001817	-11.229610	0.000000	-0.009977	0.002162	-4.613894	0.000748	0.000001	0.000000	468.781261	1.000000	0.000000	1.000000
20-49	Men	Current	"smoking_status"	4	25	10	15	0.001287	0.000086	Uncorrelated	2	2010	2006	2011	-1.150873	21.619114	-0.053234	0.958500	-0.000052	0.010748	-0.004837	0.996227	0.020349	0.010900	1.866832	0.088787	13.287592	0.000000	0.000116	1.000000	0.000000	1.000000
