"Sex"	"Cancer Type"	"Year"	"ASR (Europe)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Bowel Cancer (C18-C20)	2013	73.11	73.10	NA	-1.3894*	3	3
All	Bowel Cancer (C18-C20)	2014	71.55	72.09	NA	-1.3894*	3	3
All	Bowel Cancer (C18-C20)	2015	70.76	71.09	NA	-1.3894*	3	3
All	Bowel Cancer (C18-C20)	2016	69.98	70.10	NA	-1.3894*	3	3
All	Bowel Cancer (C18-C20)	2017	69.51	69.12	NA	-1.3894*	3	3
All	Breast Cancer (C50)	1994	75.91	75.36	NA	1.8401*	3	3
All	Breast Cancer (C50)	1995	76.45	76.75	NA	1.8401*	3	3
All	Breast Cancer (C50)	1996	77.64	78.16	NA	1.8401*	3	3
All	Breast Cancer (C50)	1997	79.33	79.60	NA	1.8401*	3	3
All	Breast Cancer (C50)	1998	81.65	81.07	Joinpoint 1	NA	3	3
All	Breast Cancer (C50)	1999	82.36	81.87	NA	0.9951*	3	3
All	Breast Cancer (C50)	2000	82.88	82.69	NA	0.9951*	3	3
All	Breast Cancer (C50)	2001	82.55	83.51	NA	0.9951*	3	3
All	Breast Cancer (C50)	2002	84.07	84.34	NA	0.9951*	3	3
All	Breast Cancer (C50)	2003	85.30	85.18	NA	0.9951*	3	3
All	Breast Cancer (C50)	2004	86.92	86.03	Joinpoint 2	NA	3	3
All	Breast Cancer (C50)	2005	86.96	86.47	NA	0.5164*	3	3
All	Breast Cancer (C50)	2006	86.78	86.92	NA	0.5164*	3	3
All	Breast Cancer (C50)	2007	87.28	87.37	NA	0.5164*	3	3
All	Breast Cancer (C50)	2008	87.52	87.82	NA	0.5164*	3	3
All	Breast Cancer (C50)	2009	88.36	88.27	NA	0.5164*	3	3
All	Breast Cancer (C50)	2010	88.00	88.73	NA	0.5164*	3	3
All	Breast Cancer (C50)	2011	88.30	89.19	NA	0.5164*	3	3
All	Breast Cancer (C50)	2012	89.18	89.65	NA	0.5164*	3	3
All	Breast Cancer (C50)	2013	90.65	90.11	NA	0.5164*	3	3
All	Breast Cancer (C50)	2014	91.41	90.58	Joinpoint 3	NA	3	3
All	Breast Cancer (C50)	2015	90.73	90.21	NA	-0.4041	3	3
All	Breast Cancer (C50)	2016	89.47	89.85	NA	-0.4041	3	3
All	Breast Cancer (C50)	2017	89.56	89.48	NA	-0.4041	3	3
All	Lung Cancer (C33-C34)	1994	86.54	86.55	NA	-2.3292*	4	4
All	Lung Cancer (C33-C34)	1995	84.56	84.53	NA	-2.3292*	4	4
All	Lung Cancer (C33-C34)	1996	82.70	82.57	Joinpoint 1	NA	4	4
All	Lung Cancer (C33-C34)	1997	81.46	81.69	NA	-1.0634*	4	4
All	Lung Cancer (C33-C34)	1998	80.68	80.82	NA	-1.0634*	4	4
All	Lung Cancer (C33-C34)	1999	79.95	79.96	NA	-1.0634*	4	4
All	Lung Cancer (C33-C34)	2000	79.39	79.11	NA	-1.0634*	4	4
All	Lung Cancer (C33-C34)	2001	78.47	78.27	NA	-1.0634*	4	4
All	Lung Cancer (C33-C34)	2002	77.21	77.44	NA	-1.0634*	4	4
All	Lung Cancer (C33-C34)	2003	76.79	76.61	Joinpoint 2	NA	4	4
All	Lung Cancer (C33-C34)	2004	76.91	77.25	NA	0.8339*	4	4
All	Lung Cancer (C33-C34)	2005	78.01	77.90	NA	0.8339*	4	4
All	Lung Cancer (C33-C34)	2006	78.49	78.54	NA	0.8339*	4	4
All	Lung Cancer (C33-C34)	2007	79.63	79.20	Joinpoint 3	NA	4	4
All	Lung Cancer (C33-C34)	2008	79.58	79.59	NA	0.4958*	4	4
All	Lung Cancer (C33-C34)	2009	79.76	79.99	NA	0.4958*	4	4
All	Lung Cancer (C33-C34)	2010	79.85	80.38	NA	0.4958*	4	4
All	Lung Cancer (C33-C34)	2011	80.81	80.78	NA	0.4958*	4	4
All	Lung Cancer (C33-C34)	2012	81.57	81.18	NA	0.4958*	4	4
All	Lung Cancer (C33-C34)	2013	81.66	81.59	Joinpoint 4	NA	4	4
All	Lung Cancer (C33-C34)	2014	80.92	81.02	NA	-0.6891*	4	4
All	Lung Cancer (C33-C34)	2015	80.48	80.46	NA	-0.6891*	4	4
All	Lung Cancer (C33-C34)	2016	79.91	79.91	NA	-0.6891*	4	4
All	Lung Cancer (C33-C34)	2017	79.38	79.36	NA	-0.6891*	4	4
All	Oesophageal Cancer (C15)	1994	14.45	14.45	NA	-0.4581	3	3
All	Oesophageal Cancer (C15)	1995	14.40	14.39	NA	-0.4581	3	3
All	Oesophageal Cancer (C15)	1996	14.35	14.32	Joinpoint 1	NA	3	3
All	Oesophageal Cancer (C15)	1997	14.45	14.49	NA	1.1752*	3	3
All	Oesophageal Cancer (C15)	1998	14.67	14.66	NA	1.1752*	3	3
All	Oesophageal Cancer (C15)	1999	14.78	14.83	NA	1.1752*	3	3
All	Oesophageal Cancer (C15)	2000	15.05	15.01	NA	1.1752*	3	3
All	Oesophageal Cancer (C15)	2001	15.18	15.18	Joinpoint 2	NA	3	3
All	Oesophageal Cancer (C15)	2002	15.25	15.21	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2003	15.19	15.24	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2004	15.20	15.26	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2005	15.23	15.29	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2006	15.33	15.32	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2007	15.47	15.35	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2008	15.43	15.37	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2009	15.49	15.40	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2010	15.32	15.43	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2011	15.49	15.45	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2012	15.43	15.48	NA	0.1764*	3	3
All	Oesophageal Cancer (C15)	2013	15.47	15.51	Joinpoint 3	NA	3	3
All	Oesophageal Cancer (C15)	2014	15.42	15.40	NA	-0.6807*	3	3
All	Oesophageal Cancer (C15)	2015	15.31	15.30	NA	-0.6807*	3	3
All	Oesophageal Cancer (C15)	2016	15.22	15.19	NA	-0.6807*	3	3
All	Oesophageal Cancer (C15)	2017	15.06	15.09	NA	-0.6807*	3	3
All	Pancreatic Cancer (C25)	1994	14.47	14.44	NA	-0.5071	3	3
All	Pancreatic Cancer (C25)	1995	14.31	14.37	NA	-0.5071	3	3
All	Pancreatic Cancer (C25)	1996	14.30	14.30	Joinpoint 1	NA	3	3
All	Pancreatic Cancer (C25)	1997	14.31	14.35	NA	0.3549*	3	3
All	Pancreatic Cancer (C25)	1998	14.41	14.40	NA	0.3549*	3	3
All	Pancreatic Cancer (C25)	1999	14.46	14.45	NA	0.3549*	3	3
All	Pancreatic Cancer (C25)	2000	14.62	14.50	NA	0.3549*	3	3
All	Pancreatic Cancer (C25)	2001	14.57	14.55	NA	0.3549*	3	3
All	Pancreatic Cancer (C25)	2002	14.54	14.60	Joinpoint 2	NA	3	3
All	Pancreatic Cancer (C25)	2003	14.72	14.79	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2004	14.94	14.99	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2005	15.24	15.18	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2006	15.34	15.38	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2007	15.62	15.58	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2008	15.83	15.79	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2009	16.05	15.99	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2010	16.16	16.20	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2011	16.33	16.42	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2012	16.72	16.63	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2013	16.88	16.85	NA	1.3081*	3	3
All	Pancreatic Cancer (C25)	2014	17.03	17.07	Joinpoint 3	NA	3	3
All	Pancreatic Cancer (C25)	2015	17.00	17.07	NA	0.0121	3	3
All	Pancreatic Cancer (C25)	2016	17.12	17.07	NA	0.0121	3	3
All	Pancreatic Cancer (C25)	2017	17.06	17.07	NA	0.0121	3	3
All	Prostate Cancer (C61)	1994	46.88	47.37	NA	2.2368*	3	3
All	Prostate Cancer (C61)	1995	49.20	48.43	NA	2.2368*	3	3
All	Prostate Cancer (C61)	1996	49.63	49.52	NA	2.2368*	3	3
All	Prostate Cancer (C61)	1997	50.14	50.62	NA	2.2368*	3	3
All	Prostate Cancer (C61)	1998	51.73	51.76	Joinpoint 1	NA	3	3
All	Prostate Cancer (C61)	1999	55.12	55.69	NA	7.5909*	3	3
All	Prostate Cancer (C61)	2000	60.78	59.91	NA	7.5909*	3	3
All	Prostate Cancer (C61)	2001	65.31	64.46	NA	7.5909*	3	3
All	Prostate Cancer (C61)	2002	68.37	69.35	Joinpoint 2	NA	3	3
All	Prostate Cancer (C61)	2003	70.64	70.54	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2004	71.68	71.76	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2005	73.53	72.99	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2006	73.72	74.24	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2007	74.96	75.52	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2008	76.99	76.82	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2009	78.54	78.14	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2010	79.89	79.48	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2011	79.95	80.84	NA	1.7181*	3	3
All	Prostate Cancer (C61)	2012	82.33	82.23	Joinpoint 3	NA	3	3
All	Prostate Cancer (C61)	2013	83.34	82.56	NA	0.3976	3	3
All	Prostate Cancer (C61)	2014	83.81	82.89	NA	0.3976	3	3
All	Prostate Cancer (C61)	2015	82.17	83.22	NA	0.3976	3	3
All	Prostate Cancer (C61)	2016	81.52	83.55	NA	0.3976	3	3
All	Prostate Cancer (C61)	2017	85.66	83.88	NA	0.3976	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1994	659.77	659.87	NA	-0.4139	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1995	657.98	657.14	NA	-0.4139	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1996	653.07	654.42	NA	-0.4139	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1997	651.72	651.71	Joinpoint 1	NA	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1998	652.23	653.74	NA	0.3111*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1999	653.96	655.77	NA	0.3111*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2000	661.41	657.81	NA	0.3111*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2001	663.33	659.86	NA	0.3111*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2002	661.69	661.91	NA	0.3111*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2003	662.32	663.97	NA	0.3111*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2004	663.31	666.04	Joinpoint 2	NA	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2005	671.00	670.06	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2006	671.50	674.11	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2007	679.44	678.18	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2008	684.58	682.28	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2009	688.96	686.40	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2010	690.31	690.55	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2011	691.88	694.72	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2012	701.11	698.92	NA	0.6042*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2013	702.20	703.14	Joinpoint 3	NA	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2014	698.94	697.20	NA	-0.8457*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2015	688.89	691.30	NA	-0.8457*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2016	681.07	685.46	NA	-0.8457*	3	3
Men	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2017	683.71	679.66	NA	-0.8457*	3	3
Men	Bowel Cancer (C18-C20)	1994	87.30	87.25	NA	0.9711*	4	4
Men	Bowel Cancer (C18-C20)	1995	87.81	88.10	NA	0.9711*	4	4
Men	Bowel Cancer (C18-C20)	1996	88.77	88.96	NA	0.9711*	4	4
Men	Bowel Cancer (C18-C20)	1997	90.50	89.82	NA	0.9711*	4	4
Men	Bowel Cancer (C18-C20)	1998	90.84	90.69	NA	0.9711*	4	4
Men	Bowel Cancer (C18-C20)	1999	91.20	91.57	Joinpoint 1	NA	4	4
Men	Bowel Cancer (C18-C20)	2000	90.59	90.56	NA	-1.1031	4	4
Men	Bowel Cancer (C18-C20)	2001	89.46	89.56	NA	-1.1031	4	4
Men	Bowel Cancer (C18-C20)	2002	88.67	88.58	Joinpoint 2	NA	4	4
Men	Bowel Cancer (C18-C20)	2003	89.07	89.34	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2004	90.19	90.12	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2005	90.80	90.90	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2006	91.33	91.69	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2007	92.70	92.49	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2008	93.89	93.29	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2009	94.81	94.10	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2010	94.77	94.92	NA	0.8678*	4	4
Men	Bowel Cancer (C18-C20)	2011	94.80	95.74	Joinpoint 3	NA	4	4
Men	Bowel Cancer (C18-C20)	2012	93.23	93.08	NA	-2.7817*	4	4
Men	Bowel Cancer (C18-C20)	2013	90.73	90.49	NA	-2.7817*	4	4
Men	Bowel Cancer (C18-C20)	2014	87.97	87.97	Joinpoint 4	NA	4	4
Men	Bowel Cancer (C18-C20)	2015	86.64	86.85	NA	-1.2735*	4	4
Men	Bowel Cancer (C18-C20)	2016	85.55	85.74	NA	-1.2735*	4	4
Men	Bowel Cancer (C18-C20)	2017	84.85	84.65	NA	-1.2735*	4	4
Men	Breast Cancer (C50)	1994	1.28	1.20	NA	3.2302	1	1
Men	Breast Cancer (C50)	1995	1.18	1.24	NA	3.2302	1	1
Men	Breast Cancer (C50)	1996	1.24	1.28	NA	3.2302	1	1
Men	Breast Cancer (C50)	1997	1.30	1.32	NA	3.2302	1	1
Men	Breast Cancer (C50)	1998	1.41	1.37	Joinpoint 1	NA	1	1
Men	Breast Cancer (C50)	1999	1.39	1.37	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2000	1.34	1.37	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2001	1.33	1.37	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2002	1.42	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2003	1.47	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2004	1.39	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2005	1.33	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2006	1.23	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2007	1.30	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2008	1.31	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2009	1.41	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2010	1.40	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2011	1.42	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2012	1.35	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2013	1.39	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2014	1.38	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2015	1.37	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2016	1.33	1.36	NA	-0.0406	1	1
Men	Breast Cancer (C50)	2017	1.32	1.36	NA	-0.0406	1	1
Men	Lung Cancer (C33-C34)	1994	136.60	136.57	NA	-4.0640*	3	3
Men	Lung Cancer (C33-C34)	1995	130.96	131.02	NA	-4.0640*	3	3
Men	Lung Cancer (C33-C34)	1996	125.96	125.70	Joinpoint 1	NA	3	3
Men	Lung Cancer (C33-C34)	1997	122.38	122.62	NA	-2.4441*	3	3
Men	Lung Cancer (C33-C34)	1998	119.55	119.63	NA	-2.4441*	3	3
Men	Lung Cancer (C33-C34)	1999	116.52	116.70	NA	-2.4441*	3	3
Men	Lung Cancer (C33-C34)	2000	114.25	113.85	NA	-2.4441*	3	3
Men	Lung Cancer (C33-C34)	2001	111.27	111.07	NA	-2.4441*	3	3
Men	Lung Cancer (C33-C34)	2002	107.75	108.35	NA	-2.4441*	3	3
Men	Lung Cancer (C33-C34)	2003	105.65	105.70	Joinpoint 2	NA	3	3
Men	Lung Cancer (C33-C34)	2004	104.32	104.92	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2005	104.59	104.15	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2006	103.51	103.38	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2007	103.55	102.61	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2008	101.98	101.85	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2009	100.92	101.10	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2010	99.84	100.35	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2011	99.55	99.61	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2012	99.18	98.88	NA	-0.7393*	3	3
Men	Lung Cancer (C33-C34)	2013	98.00	98.14	Joinpoint 3	NA	3	3
Men	Lung Cancer (C33-C34)	2014	96.10	96.30	NA	-1.8771*	3	3
Men	Lung Cancer (C33-C34)	2015	94.61	94.49	NA	-1.8771*	3	3
Men	Lung Cancer (C33-C34)	2016	92.66	92.72	NA	-1.8771*	3	3
Men	Lung Cancer (C33-C34)	2017	91.01	90.98	NA	-1.8771*	3	3
Men	Oesophageal Cancer (C15)	1994	20.48	20.41	NA	0.3833	3	3
Men	Oesophageal Cancer (C15)	1995	20.49	20.48	NA	0.3833	3	3
Men	Oesophageal Cancer (C15)	1996	20.40	20.56	NA	0.3833	3	3
Men	Oesophageal Cancer (C15)	1997	20.66	20.64	NA	0.3833	3	3
Men	Oesophageal Cancer (C15)	1998	20.85	20.72	Joinpoint 1	NA	3	3
Men	Oesophageal Cancer (C15)	1999	20.97	21.08	NA	1.7280*	3	3
Men	Oesophageal Cancer (C15)	2000	21.45	21.44	NA	1.7280*	3	3
Men	Oesophageal Cancer (C15)	2001	21.91	21.81	NA	1.7280*	3	3
Men	Oesophageal Cancer (C15)	2002	22.25	22.19	Joinpoint 2	NA	3	3
Men	Oesophageal Cancer (C15)	2003	22.33	22.30	NA	0.4877*	3	3
Men	Oesophageal Cancer (C15)	2004	22.32	22.41	NA	0.4877*	3	3
Men	Oesophageal Cancer (C15)	2005	22.37	22.52	NA	0.4877*	3	3
Men	Oesophageal Cancer (C15)	2006	22.49	22.63	NA	0.4877*	3	3
Men	Oesophageal Cancer (C15)	2007	22.91	22.74	NA	0.4877*	3	3
Men	Oesophageal Cancer (C15)	2008	22.95	22.85	NA	0.4877*	3	3
Men	Oesophageal Cancer (C15)	2009	23.07	22.96	Joinpoint 3	NA	3	3
Men	Oesophageal Cancer (C15)	2010	22.73	22.93	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2011	22.99	22.90	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2012	22.82	22.87	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2013	22.83	22.84	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2014	22.74	22.81	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2015	22.79	22.78	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2016	22.84	22.75	NA	-0.1285	3	3
Men	Oesophageal Cancer (C15)	2017	22.72	22.72	NA	-0.1285	3	3
Men	Pancreatic Cancer (C25)	1994	16.88	16.77	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	1995	16.64	16.76	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	1996	16.70	16.75	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	1997	16.78	16.74	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	1998	16.73	16.73	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	1999	16.70	16.72	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	2000	16.73	16.71	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	2001	16.81	16.70	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	2002	16.54	16.69	NA	-0.0598	1	1
Men	Pancreatic Cancer (C25)	2003	16.71	16.68	Joinpoint 1	NA	1	1
Men	Pancreatic Cancer (C25)	2004	16.77	16.87	NA	1.1368*	1	1
Men	Pancreatic Cancer (C25)	2005	17.14	17.06	NA	1.1368*	1	1
Men	Pancreatic Cancer (C25)	2006	17.12	17.26	NA	1.1368*	1	1
Men	Pancreatic Cancer (C25)	2007	17.48	17.45	NA	1.1368*	1	1
Men	Pancreatic Cancer (C25)	2008	17.72	17.65	NA	1.1368*	1	1
Men	Pancreatic Cancer (C25)	2009	17.98	17.85	NA	1.1368*	1	1
