"","variable","country","sex","year","age_group","value"
"151","% Doctor Diagnosed Diabetes","Scotland","Women",2010,"16+","4"
"152","% Doctor Diagnosed Diabetes","Scotland","Women",2011,"16+","5"
"153","% Doctor Diagnosed Diabetes","Scotland","Women",2012,"16+","5"
"154","% Doctor Diagnosed Diabetes","Scotland","Women",2013,"16+","5"
"155","% Doctor Diagnosed Diabetes","Scotland","Women",2014,"16+","5"
"156","% Doctor Diagnosed Diabetes","Scotland","Women",2015,"16+","5"
"157","% Doctor Diagnosed Diabetes","Scotland","Women",2016,"16+","5"
"158","% Doctor Diagnosed Diabetes","Scotland","Women",2017,"16+","6"
"159","% Doctor Diagnosed Diabetes","Scotland","Women",2018,"16+","6"
"160","% Doctor Diagnosed Diabetes","Scotland","Women",2019,"16+","5"
"161","% HRT Usage","England","Women",2015,NA,"1.87713169168204"
"162","% HRT Usage","England","Women",2016,NA,"2.05462102008211"
"163","% HRT Usage","England","Women",2017,NA,"2.24514467973405"
"164","% HRT Usage","England","Women",2018,NA,"2.40212086349442"
"165","% HRT Usage","England","Women",2019,NA,"2.58601630927212"
"166","% Meet Physical Activity Guidelines","England","Men",2012,"16+","66.7222664500984"
"167","% Meet Physical Activity Guidelines","England","Men",2016,"16+","66.7671906957711"
"168","% Meet Physical Activity Guidelines","England","Women",2012,"16+","56.2403907202836"
"169","% Meet Physical Activity Guidelines","England","Women",2016,"16+","58.8122197005402"
"170","% Meet Physical Activity Guidelines","N. Ireland","Men",2012,"19+","58.17538020147"
"171","% Meet Physical Activity Guidelines","N. Ireland","Men",2013,"19+","60.6996828921806"
"172","% Meet Physical Activity Guidelines","N. Ireland","Men",2016,"19+","62.5251134837865"
"173","% Meet Physical Activity Guidelines","N. Ireland","Women",2012,"19+","49.581844437751"
"174","% Meet Physical Activity Guidelines","N. Ireland","Women",2013,"19+","48.503671478414"
"175","% Meet Physical Activity Guidelines","N. Ireland","Women",2016,"19+","52.3473781198825"
"176","% Meet Physical Activity Guidelines","Scotland","Men",2012,"16+","67"
"177","% Meet Physical Activity Guidelines","Scotland","Men",2013,"16+","71"
"178","% Meet Physical Activity Guidelines","Scotland","Men",2014,"16+","68"
"179","% Meet Physical Activity Guidelines","Scotland","Men",2015,"16+","67"
"180","% Meet Physical Activity Guidelines","Scotland","Men",2016,"16+","69"
"181","% Meet Physical Activity Guidelines","Scotland","Men",2017,"16+","71"
"182","% Meet Physical Activity Guidelines","Scotland","Men",2018,"16+","70"
"183","% Meet Physical Activity Guidelines","Scotland","Men",2019,"16+","71"
"184","% Meet Physical Activity Guidelines","Scotland","Women",2012,"16+","58"
"185","% Meet Physical Activity Guidelines","Scotland","Women",2013,"16+","58"
"186","% Meet Physical Activity Guidelines","Scotland","Women",2014,"16+","59"
"187","% Meet Physical Activity Guidelines","Scotland","Women",2015,"16+","59"
"188","% Meet Physical Activity Guidelines","Scotland","Women",2016,"16+","59"
"189","% Meet Physical Activity Guidelines","Scotland","Women",2017,"16+","60"
"190","% Meet Physical Activity Guidelines","Scotland","Women",2018,"16+","62"
"191","% Meet Physical Activity Guidelines","Scotland","Women",2019,"16+","61"
"192","% Meet Physical Activity Guidelines","Wales","Men",2015,"16+","63.62272"
"193","% Meet Physical Activity Guidelines","Wales","Men",2016,"16+","57.068711"
"194","% Meet Physical Activity Guidelines","Wales","Men",2017,"16+","56.691437"
"195","% Meet Physical Activity Guidelines","Wales","Men",2018,"16+","58.133756"
"196","% Meet Physical Activity Guidelines","Wales","Men",2019,"16+","58.244825"
"197","% Meet Physical Activity Guidelines","Wales","Women",2015,"16+","53.04929"
"198","% Meet Physical Activity Guidelines","Wales","Women",2016,"16+","50.535378"
"199","% Meet Physical Activity Guidelines","Wales","Women",2017,"16+","48.583126"
"200","% Meet Physical Activity Guidelines","Wales","Women",2018,"16+","47.30203"
"201","% Meet Physical Activity Guidelines","Wales","Women",2019,"16+","49.127047"
"202","% Obese","England","Men",2003,"16+","22.2047764026386"
"203","% Obese","England","Men",2004,"16+","22.6581362930169"
"204","% Obese","England","Men",2005,"16+","22.1165998606755"
"205","% Obese","England","Men",2006,"16+","23.6884944446647"
"206","% Obese","England","Men",2007,"16+","23.6264776008262"
"207","% Obese","England","Men",2008,"16+","24.1305055627431"
"208","% Obese","England","Men",2009,"16+","22.0681448313462"
"209","% Obese","England","Men",2010,"16+","26.23848"
"210","% Obese","England","Men",2011,"16+","23.609511"
"211","% Obese","England","Men",2012,"16+","24.368495"
"212","% Obese","England","Men",2013,"16+","25.989727"
"213","% Obese","England","Men",2014,"16+","24.336201"
"214","% Obese","England","Men",2015,"16+","26.8900252558311"
"215","% Obese","England","Men",2016,"16+","25.7366916631076"
"216","% Obese","England","Men",2017,"16+","27.3840605200358"
"217","% Obese","England","Men",2018,"16+","26.1787306964378"
"218","% Obese","England","Men",2019,"16+","26.9517156621181"
"219","% Obese","England","Women",2003,"16+","22.958295657482"
"220","% Obese","England","Women",2004,"16+","23.2147182685046"
"221","% Obese","England","Women",2005,"16+","24.2887755353805"
"222","% Obese","England","Women",2006,"16+","24.1945741687544"
"223","% Obese","England","Women",2007,"16+","24.3927417390106"
"224","% Obese","England","Women",2008,"16+","24.9161057608495"
"225","% Obese","England","Women",2009,"16+","23.8667274044445"
"226","% Obese","England","Women",2010,"16+","26.05953"
"227","% Obese","England","Women",2011,"16+","25.879889"
"228","% Obese","England","Women",2012,"16+","25.090188"
"229","% Obese","England","Women",2013,"16+","23.826177"
"230","% Obese","England","Women",2014,"16+","26.774528"
"231","% Obese","England","Women",2015,"16+","26.8231751116905"
"232","% Obese","England","Women",2016,"16+","26.6293183739404"
"233","% Obese","England","Women",2017,"16+","30.0412005284259"
"234","% Obese","England","Women",2018,"16+","29.2196282243097"
"235","% Obese","England","Women",2019,"16+","29.065281356102"
"236","% Obese","N. Ireland","Men",2010,"16+","23.4059219350152"
"237","% Obese","N. Ireland","Men",2011,"16+","25.1793151378656"
"238","% Obese","N. Ireland","Men",2012,"16+","25.8896046743427"
"239","% Obese","N. Ireland","Men",2013,"16+","24.4967321008247"
"240","% Obese","N. Ireland","Men",2014,"16+","26.2175624032802"
"241","% Obese","N. Ireland","Men",2015,"16+","28.1165919922757"
"242","% Obese","N. Ireland","Men",2016,"16+","28.8211350978808"
"243","% Obese","N. Ireland","Men",2017,"16+","26.7063992873793"
"244","% Obese","N. Ireland","Men",2018,"16+","26.0402063846463"
"245","% Obese","N. Ireland","Men",2019,"16+","27.7577045701433"
"246","% Obese","N. Ireland","Women",2010,"16+","23.3923236080015"
"247","% Obese","N. Ireland","Women",2011,"16+","22.146177091393"
"248","% Obese","N. Ireland","Women",2012,"16+","24.2962596190846"
"249","% Obese","N. Ireland","Women",2013,"16+","22.8902918742993"
"250","% Obese","N. Ireland","Women",2014,"16+","23.7674146665811"
"251","% Obese","N. Ireland","Women",2015,"16+","24.7398816964203"
"252","% Obese","N. Ireland","Women",2016,"16+","25.2885827307166"
"253","% Obese","N. Ireland","Women",2017,"16+","26.1065065909623"
"254","% Obese","N. Ireland","Women",2018,"16+","23.9179381443943"
"255","% Obese","N. Ireland","Women",2019,"16+","27.1090481634448"
"256","% Obese","Scotland","Men",2008,"16+","26"
"257","% Obese","Scotland","Men",2009,"16+","28"
"258","% Obese","Scotland","Men",2010,"16+","27"
"259","% Obese","Scotland","Men",2011,"16+","28"
"260","% Obese","Scotland","Men",2012,"16+","27"
"261","% Obese","Scotland","Men",2013,"16+","26"
"262","% Obese","Scotland","Men",2014,"16+","26"
"263","% Obese","Scotland","Men",2015,"16+","28"
"264","% Obese","Scotland","Men",2016,"16+","29"
"265","% Obese","Scotland","Men",2017,"16+","27"
"266","% Obese","Scotland","Men",2018,"16+","27"
"267","% Obese","Scotland","Men",2019,"16+","29"
"268","% Obese","Scotland","Women",2008,"16+","27"
"269","% Obese","Scotland","Women",2009,"16+","28"
"270","% Obese","Scotland","Women",2010,"16+","29"
"271","% Obese","Scotland","Women",2011,"16+","28"
"272","% Obese","Scotland","Women",2012,"16+","28"
"273","% Obese","Scotland","Women",2013,"16+","30"
"274","% Obese","Scotland","Women",2014,"16+","29"
"275","% Obese","Scotland","Women",2015,"16+","30"
"276","% Obese","Scotland","Women",2016,"16+","29"
"277","% Obese","Scotland","Women",2017,"16+","30"
"278","% Obese","Scotland","Women",2018,"16+","30"
"279","% Obese","Scotland","Women",2019,"16+","30"
"280","% Obese","Wales","Men",2004,"16+","17.24866425"
"281","% Obese","Wales","Men",2005,"16+","18.07642065"
"282","% Obese","Wales","Men",2006,"16+","19.22751553"
"283","% Obese","Wales","Men",2007,"16+","20.2767017"
"284","% Obese","Wales","Men",2008,"16+","20.66039246"
"285","% Obese","Wales","Men",2009,"16+","21.32515744"
"286","% Obese","Wales","Men",2010,"16+","22.06156304"
"287","% Obese","Wales","Men",2011,"16+","22.07506163"
"288","% Obese","Wales","Men",2012,"16+","23.25016787"
"289","% Obese","Wales","Men",2013,"16+","21.67172107"
"290","% Obese","Wales","Men",2014,"16+","21.47145"
"291","% Obese","Wales","Men",2015,"16+","22.94955"
"292","% Obese","Wales","Men",2016,"16+","23.671577"
"293","% Obese","Wales","Men",2017,"16+","21.735672"
"294","% Obese","Wales","Men",2018,"16+","24.001335"
"295","% Obese","Wales","Men",2019,"16+","26.336447"
"296","% Obese","Wales","Women",2004,"16+","18.12616592"
"297","% Obese","Wales","Women",2005,"16+","18.10780476"
"298","% Obese","Wales","Women",2006,"16+","19.71239296"
"299","% Obese","Wales","Women",2007,"16+","20.71870149"
"300","% Obese","Wales","Women",2008,"16+","20.86057005"
"301","% Obese","Wales","Women",2009,"16+","21.1938355"
"302","% Obese","Wales","Women",2010,"16+","21.33412004"
"303","% Obese","Wales","Women",2011,"16+","22.07834069"
"304","% Obese","Wales","Women",2012,"16+","22.75515148"
"305","% Obese","Wales","Women",2013,"16+","23.05188103"
"306","% Obese","Wales","Women",2014,"16+","22.88246"
"307","% Obese","Wales","Women",2015,"16+","24.0765"
"308","% Obese","Wales","Women",2016,"16+","21.682978"
"309","% Obese","Wales","Women",2017,"16+","22.860279"
"310","% Obese","Wales","Women",2018,"16+","22.540956"
"311","% Obese","Wales","Women",2019,"16+","23.869734"
"312","% Over Weekly Alcohol Guidelines","England","Men",2011,"16+","34.2193799528713"
"313","% Over Weekly Alcohol Guidelines","England","Men",2012,"16+","34.3524338927515"
"314","% Over Weekly Alcohol Guidelines","England","Men",2013,"16+","33.4241702201149"
"315","% Over Weekly Alcohol Guidelines","England","Men",2014,"16+","32.0946683487134"
"316","% Over Weekly Alcohol Guidelines","England","Men",2015,"16+","31.2794414238254"
"317","% Over Weekly Alcohol Guidelines","England","Men",2016,"16+","30.6769055234051"
"318","% Over Weekly Alcohol Guidelines","England","Men",2017,"16+","28.3851764999689"
"319","% Over Weekly Alcohol Guidelines","England","Men",2018,"16+","30.3323959346632"
"320","% Over Weekly Alcohol Guidelines","England","Men",2019,"16+","30.320812162005"
"321","% Over Weekly Alcohol Guidelines","England","Women",2011,"16+","17.698224574183"
"322","% Over Weekly Alcohol Guidelines","England","Women",2012,"16+","17.555445931578"
"323","% Over Weekly Alcohol Guidelines","England","Women",2013,"16+","15.9895890154287"
"324","% Over Weekly Alcohol Guidelines","England","Women",2014,"16+","16.0153081855709"
"325","% Over Weekly Alcohol Guidelines","England","Women",2015,"16+","15.8761981669738"
"326","% Over Weekly Alcohol Guidelines","England","Women",2016,"16+","15.844886258154"
"327","% Over Weekly Alcohol Guidelines","England","Women",2017,"16+","14.2921035277634"
"328","% Over Weekly Alcohol Guidelines","England","Women",2018,"16+","14.4565682576416"
"329","% Over Weekly Alcohol Guidelines","England","Women",2019,"16+","15.4805387336057"
"330","% Over Weekly Alcohol Guidelines","N. Ireland","Men",2010,"18+","36.7702608010228"
"331","% Over Weekly Alcohol Guidelines","N. Ireland","Men",2011,"18+","35.3415862039767"
"332","% Over Weekly Alcohol Guidelines","N. Ireland","Men",2013,"18+","32.4985334683263"
"333","% Over Weekly Alcohol Guidelines","N. Ireland","Men",2015,"18+","31.9430041314425"
"334","% Over Weekly Alcohol Guidelines","N. Ireland","Men",2017,"18+","30.8799897239599"
"335","% Over Weekly Alcohol Guidelines","N. Ireland","Men",2019,"18+","25.7450123824492"
"336","% Over Weekly Alcohol Guidelines","N. Ireland","Women",2010,"18+","14.8878346082254"
"337","% Over Weekly Alcohol Guidelines","N. Ireland","Women",2011,"18+","13.08595902624"
"338","% Over Weekly Alcohol Guidelines","N. Ireland","Women",2013,"18+","11.3782545049525"
"339","% Over Weekly Alcohol Guidelines","N. Ireland","Women",2015,"18+","11.2908741592624"
"340","% Over Weekly Alcohol Guidelines","N. Ireland","Women",2017,"18+","9.10290452595112"
"341","% Over Weekly Alcohol Guidelines","N. Ireland","Women",2019,"18+","9.01379895839709"
"342","% Over Weekly Alcohol Guidelines","Scotland","Men",2008,"16+","44"
"343","% Over Weekly Alcohol Guidelines","Scotland","Men",2009,"16+","41"
"344","% Over Weekly Alcohol Guidelines","Scotland","Men",2010,"16+","39"
"345","% Over Weekly Alcohol Guidelines","Scotland","Men",2011,"16+","38"
"346","% Over Weekly Alcohol Guidelines","Scotland","Men",2012,"16+","38"
"347","% Over Weekly Alcohol Guidelines","Scotland","Men",2013,"16+","34"
"348","% Over Weekly Alcohol Guidelines","Scotland","Men",2014,"16+","35"
"349","% Over Weekly Alcohol Guidelines","Scotland","Men",2015,"16+","36"
"350","% Over Weekly Alcohol Guidelines","Scotland","Men",2016,"16+","35"
"351","% Over Weekly Alcohol Guidelines","Scotland","Men",2017,"16+","33"
"352","% Over Weekly Alcohol Guidelines","Scotland","Men",2018,"16+","32"
"353","% Over Weekly Alcohol Guidelines","Scotland","Men",2019,"16+","32"
"354","% Over Weekly Alcohol Guidelines","Scotland","Women",2008,"16+","20"
"355","% Over Weekly Alcohol Guidelines","Scotland","Women",2009,"16+","18"
"356","% Over Weekly Alcohol Guidelines","Scotland","Women",2010,"16+","18"
"357","% Over Weekly Alcohol Guidelines","Scotland","Women",2011,"16+","18"
"358","% Over Weekly Alcohol Guidelines","Scotland","Women",2012,"16+","18"
"359","% Over Weekly Alcohol Guidelines","Scotland","Women",2013,"16+","16"
"360","% Over Weekly Alcohol Guidelines","Scotland","Women",2014,"16+","17"
"361","% Over Weekly Alcohol Guidelines","Scotland","Women",2015,"16+","17"
"362","% Over Weekly Alcohol Guidelines","Scotland","Women",2016,"16+","17"
"363","% Over Weekly Alcohol Guidelines","Scotland","Women",2017,"16+","16"
"364","% Over Weekly Alcohol Guidelines","Scotland","Women",2018,"16+","16"
"365","% Over Weekly Alcohol Guidelines","Scotland","Women",2019,"16+","16"
"366","% Over Weekly Alcohol Guidelines","Wales","Men",2016,"16+","26.830934"
"367","% Over Weekly Alcohol Guidelines","Wales","Men",2017,"16+","24.587604"
"368","% Over Weekly Alcohol Guidelines","Wales","Men",2018,"16+","24.990456"
"369","% Over Weekly Alcohol Guidelines","Wales","Men",2019,"16+","24.653476"
"370","% Over Weekly Alcohol Guidelines","Wales","Women",2016,"16+","13.573241"
"371","% Over Weekly Alcohol Guidelines","Wales","Women",2017,"16+","11.611259"
"372","% Over Weekly Alcohol Guidelines","Wales","Women",2018,"16+","12.197178"
"373","% Over Weekly Alcohol Guidelines","Wales","Women",2019,"16+","13.508584"
"374","% Parity","England and Wales","Women",2010,"20+","55.6080087681763"
"375","% Parity","England and Wales","Women",2011,"20+","55.6614277620982"
"376","% Parity","England and Wales","Women",2012,"20+","55.7343499451983"
"377","% Parity","England and Wales","Women",2013,"20+","55.6990629020392"
"378","% Parity","England and Wales","Women",2014,"20+","55.6189029716303"
"379","% Parity","England and Wales","Women",2015,"20+","55.5010538162562"
"380","% Parity","England and Wales","Women",2016,"20+","55.3789798079326"
"381","% Parity","England and Wales","Women",2017,"20+","55.3522024440224"
"382","% Parity","England and Wales","Women",2018,"20+","55.3103953746815"
"383","% Parity","England and Wales","Women",2019,"20+","55.2892114030929"
