"Year","Sex","ASR (World)","Cancer label"
2000,1,148.0752917,"All sites excl. non-melanoma skin cancer"
2001,1,150.2365074,"All sites excl. non-melanoma skin cancer"
2002,1,149.2137979,"All sites excl. non-melanoma skin cancer"
2003,1,145.2832155,"All sites excl. non-melanoma skin cancer"
2004,1,142.2346674,"All sites excl. non-melanoma skin cancer"
2005,1,138.7917436,"All sites excl. non-melanoma skin cancer"
2006,1,138.2217291,"All sites excl. non-melanoma skin cancer"
2007,1,135.7682575,"All sites excl. non-melanoma skin cancer"
2008,1,133.7102637,"All sites excl. non-melanoma skin cancer"
2009,1,131.3241222,"All sites excl. non-melanoma skin cancer"
2010,1,128.8670086,"All sites excl. non-melanoma skin cancer"
2011,1,127.6434727,"All sites excl. non-melanoma skin cancer"
2012,1,126.379777,"All sites excl. non-melanoma skin cancer"
2013,1,124.3360274,"All sites excl. non-melanoma skin cancer"
2014,1,122.5385132,"All sites excl. non-melanoma skin cancer"
2015,1,121.2103054,"All sites excl. non-melanoma skin cancer"
2016,1,119.7490484,"All sites excl. non-melanoma skin cancer"
1950,2,121.9198543,"All sites excl. non-melanoma skin cancer"
1951,2,118.8647426,"All sites excl. non-melanoma skin cancer"
1952,2,119.2080782,"All sites excl. non-melanoma skin cancer"
1953,2,117.0950149,"All sites excl. non-melanoma skin cancer"
1954,2,117.6880063,"All sites excl. non-melanoma skin cancer"
1955,2,117.5826632,"All sites excl. non-melanoma skin cancer"
1956,2,117.3110064,"All sites excl. non-melanoma skin cancer"
1957,2,115.4481714,"All sites excl. non-melanoma skin cancer"
1958,2,116.9664105,"All sites excl. non-melanoma skin cancer"
1959,2,116.2475595,"All sites excl. non-melanoma skin cancer"
1960,2,116.3245197,"All sites excl. non-melanoma skin cancer"
1961,2,115.8831163,"All sites excl. non-melanoma skin cancer"
1962,2,116.0919949,"All sites excl. non-melanoma skin cancer"
1963,2,115.5209143,"All sites excl. non-melanoma skin cancer"
1964,2,117.1747248,"All sites excl. non-melanoma skin cancer"
1965,2,116.7780092,"All sites excl. non-melanoma skin cancer"
1966,2,116.7417886,"All sites excl. non-melanoma skin cancer"
1967,2,117.173204,"All sites excl. non-melanoma skin cancer"
1968,2,119.4673879,"All sites excl. non-melanoma skin cancer"
1969,2,120.7494695,"All sites excl. non-melanoma skin cancer"
1970,2,120.3653262,"All sites excl. non-melanoma skin cancer"
1971,2,120.4644118,"All sites excl. non-melanoma skin cancer"
1972,2,120.6942732,"All sites excl. non-melanoma skin cancer"
1973,2,121.1497179,"All sites excl. non-melanoma skin cancer"
1974,2,121.7481961,"All sites excl. non-melanoma skin cancer"
1975,2,121.7402099,"All sites excl. non-melanoma skin cancer"
1976,2,123.7689062,"All sites excl. non-melanoma skin cancer"
1977,2,122.9563902,"All sites excl. non-melanoma skin cancer"
1978,2,124.0528199,"All sites excl. non-melanoma skin cancer"
1979,2,124.5517175,"All sites excl. non-melanoma skin cancer"
1980,2,124.5627635,"All sites excl. non-melanoma skin cancer"
1981,2,122.8771062,"All sites excl. non-melanoma skin cancer"
1982,2,123.7052734,"All sites excl. non-melanoma skin cancer"
1983,2,124.0465971,"All sites excl. non-melanoma skin cancer"
1984,2,128.1904819,"All sites excl. non-melanoma skin cancer"
1985,2,128.095095,"All sites excl. non-melanoma skin cancer"
1986,2,127.1570519,"All sites excl. non-melanoma skin cancer"
1987,2,127.427388,"All sites excl. non-melanoma skin cancer"
1988,2,128.1136788,"All sites excl. non-melanoma skin cancer"
1989,2,127.9864275,"All sites excl. non-melanoma skin cancer"
1990,2,125.7815856,"All sites excl. non-melanoma skin cancer"
1991,2,124.2543541,"All sites excl. non-melanoma skin cancer"
1992,2,123.3964114,"All sites excl. non-melanoma skin cancer"
1993,2,120.9553326,"All sites excl. non-melanoma skin cancer"
1994,2,119.36995,"All sites excl. non-melanoma skin cancer"
1995,2,117.3819547,"All sites excl. non-melanoma skin cancer"
1996,2,115.4007019,"All sites excl. non-melanoma skin cancer"
1997,2,113.3773575,"All sites excl. non-melanoma skin cancer"
1998,2,111.8346229,"All sites excl. non-melanoma skin cancer"
1999,2,110.2027662,"All sites excl. non-melanoma skin cancer"
2000,2,108.502028,"All sites excl. non-melanoma skin cancer"
2001,2,108.816945,"All sites excl. non-melanoma skin cancer"
2002,2,107.430785,"All sites excl. non-melanoma skin cancer"
2003,2,105.810261,"All sites excl. non-melanoma skin cancer"
2004,2,103.9853389,"All sites excl. non-melanoma skin cancer"
2005,2,103.2728025,"All sites excl. non-melanoma skin cancer"
2006,2,101.761651,"All sites excl. non-melanoma skin cancer"
2007,2,101.7170346,"All sites excl. non-melanoma skin cancer"
2008,2,100.4148055,"All sites excl. non-melanoma skin cancer"
2009,2,97.86881715,"All sites excl. non-melanoma skin cancer"
2010,2,96.9886814,"All sites excl. non-melanoma skin cancer"
2011,2,96.54021375,"All sites excl. non-melanoma skin cancer"
2012,2,96.60064996,"All sites excl. non-melanoma skin cancer"
2013,2,94.36168379,"All sites excl. non-melanoma skin cancer"
2014,2,93.12313916,"All sites excl. non-melanoma skin cancer"
2015,2,91.75603319,"All sites excl. non-melanoma skin cancer"
2016,2,91.82011706,"All sites excl. non-melanoma skin cancer"
