"variable"	"country"	"sex"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
% Doctor Diagnosed Diabetes	England	Men	2016	7.65	7.38	NA	5.2045*	2	2
% Doctor Diagnosed Diabetes	England	Men	2017	7.61	7.77	NA	5.2045*	2	2
% Doctor Diagnosed Diabetes	England	Men	2018	8.24	8.17	NA	5.2045*	2	2
% Doctor Diagnosed Diabetes	England	Men	2019	8.55	8.59	NA	5.2045*	2	2
% Doctor Diagnosed Diabetes	England	Women	2003	3.40	3.45	NA	5.4428*	1	1
% Doctor Diagnosed Diabetes	England	Women	2006	4.21	4.05	NA	5.4428*	1	1
% Doctor Diagnosed Diabetes	England	Women	2009	4.51	4.75	NA	5.4428*	1	1
% Doctor Diagnosed Diabetes	England	Women	2010	5.29	5.00	Joinpoint 1	NA	1	1
% Doctor Diagnosed Diabetes	England	Women	2011	4.90	5.08	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2012	4.93	5.17	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2013	5.61	5.25	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2014	5.26	5.34	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2015	5.13	5.42	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2016	6.18	5.51	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2017	5.38	5.60	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2018	5.72	5.69	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	England	Women	2019	5.67	5.78	NA	1.6220	1	1
% Doctor Diagnosed Diabetes	Scotland	Men	2008	5.00	5.34	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2009	6.00	5.54	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2010	6.00	5.76	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2011	6.00	5.98	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2012	6.00	6.21	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2013	6.00	6.46	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2014	8.00	6.71	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2015	7.00	6.97	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2016	6.00	7.24	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2017	7.00	7.52	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2018	8.00	7.81	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Men	2019	9.00	8.11	NA	3.8789*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2008	4.00	4.10	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2009	4.00	4.23	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2010	4.00	4.37	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2011	5.00	4.51	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2012	5.00	4.65	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2013	5.00	4.80	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2014	5.00	4.95	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2015	5.00	5.11	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2016	5.00	5.27	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2017	6.00	5.44	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2018	6.00	5.61	NA	3.1760*	0	0
% Doctor Diagnosed Diabetes	Scotland	Women	2019	5.00	5.79	NA	3.1760*	0	0
% HRT Usage	England	Women	2015	1.88	1.89	NA	8.2963*	0	0
% HRT Usage	England	Women	2016	2.05	2.05	NA	8.2963*	0	0
% HRT Usage	England	Women	2017	2.25	2.22	NA	8.2963*	0	0
% HRT Usage	England	Women	2018	2.40	2.40	NA	8.2963*	0	0
% HRT Usage	England	Women	2019	2.59	2.60	NA	8.2963*	0	0
% Meet Physical Activity Guidelines	England	Men	2012	66.72	66.72	NA	0.0168	0	0
% Meet Physical Activity Guidelines	England	Men	2016	66.77	66.77	NA	0.0168	0	0
% Meet Physical Activity Guidelines	England	Women	2012	56.24	56.24	NA	1.1241	0	0
% Meet Physical Activity Guidelines	England	Women	2016	58.81	58.81	NA	1.1241	0	0
% Meet Physical Activity Guidelines	N. Ireland	Men	2012	58.18	58.84	NA	1.6277	0	0
% Meet Physical Activity Guidelines	N. Ireland	Men	2013	60.70	59.79	NA	1.6277	0	0
% Meet Physical Activity Guidelines	N. Ireland	Men	2016	62.53	62.76	NA	1.6277	0	0
% Meet Physical Activity Guidelines	N. Ireland	Women	2012	49.58	48.77	NA	1.6438	0	0
% Meet Physical Activity Guidelines	N. Ireland	Women	2013	48.50	49.58	NA	1.6438	0	0
% Meet Physical Activity Guidelines	N. Ireland	Women	2016	52.35	52.06	NA	1.6438	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2012	67.00	67.82	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2013	71.00	68.22	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2014	68.00	68.62	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2015	67.00	69.03	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2016	69.00	69.43	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2017	71.00	69.84	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2018	70.00	70.26	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Men	2019	71.00	70.67	NA	0.5897	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2012	58.00	57.69	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2013	58.00	58.20	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2014	59.00	58.71	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2015	59.00	59.23	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2016	59.00	59.75	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2017	60.00	60.27	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2018	62.00	60.80	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Scotland	Women	2019	61.00	61.34	NA	0.8811*	0	0
% Meet Physical Activity Guidelines	Wales	Men	2015	63.62	60.59	NA	-1.5690	0	0
% Meet Physical Activity Guidelines	Wales	Men	2016	57.07	59.64	NA	-1.5690	0	0
% Meet Physical Activity Guidelines	Wales	Men	2017	56.69	58.70	NA	-1.5690	0	0
% Meet Physical Activity Guidelines	Wales	Men	2018	58.13	57.78	NA	-1.5690	0	0
% Meet Physical Activity Guidelines	Wales	Men	2019	58.24	56.87	NA	-1.5690	0	0
% Meet Physical Activity Guidelines	Wales	Women	2015	53.05	51.91	NA	-2.1735	0	0
% Meet Physical Activity Guidelines	Wales	Women	2016	50.54	50.79	NA	-2.1735	0	0
% Meet Physical Activity Guidelines	Wales	Women	2017	48.58	49.68	NA	-2.1735	0	0
% Meet Physical Activity Guidelines	Wales	Women	2018	47.30	48.60	NA	-2.1735	0	0
% Meet Physical Activity Guidelines	Wales	Women	2019	49.13	47.55	NA	-2.1735	0	0
% Obese	England	Men	2003	22.20	22.22	NA	1.2463*	0	0
% Obese	England	Men	2004	22.66	22.50	NA	1.2463*	0	0
% Obese	England	Men	2005	22.12	22.78	NA	1.2463*	0	0
% Obese	England	Men	2006	23.69	23.06	NA	1.2463*	0	0
% Obese	England	Men	2007	23.63	23.35	NA	1.2463*	0	0
% Obese	England	Men	2008	24.13	23.64	NA	1.2463*	0	0
% Obese	England	Men	2009	22.07	23.94	NA	1.2463*	0	0
% Obese	England	Men	2010	26.24	24.23	NA	1.2463*	0	0
% Obese	England	Men	2011	23.61	24.54	NA	1.2463*	0	0
% Obese	England	Men	2012	24.37	24.84	NA	1.2463*	0	0
% Obese	England	Men	2013	25.99	25.15	NA	1.2463*	0	0
% Obese	England	Men	2014	24.34	25.47	NA	1.2463*	0	0
% Obese	England	Men	2015	26.89	25.78	NA	1.2463*	0	0
% Obese	England	Men	2016	25.74	26.10	NA	1.2463*	0	0
% Obese	England	Men	2017	27.38	26.43	NA	1.2463*	0	0
% Obese	England	Men	2018	26.18	26.76	NA	1.2463*	0	0
% Obese	England	Men	2019	26.95	27.09	NA	1.2463*	0	0
% Obese	England	Women	2003	22.96	22.88	NA	1.4333*	0	0
% Obese	England	Women	2004	23.21	23.21	NA	1.4333*	0	0
% Obese	England	Women	2005	24.29	23.54	NA	1.4333*	0	0
% Obese	England	Women	2006	24.19	23.88	NA	1.4333*	0	0
% Obese	England	Women	2007	24.39	24.22	NA	1.4333*	0	0
% Obese	England	Women	2008	24.92	24.57	NA	1.4333*	0	0
% Obese	England	Women	2009	23.87	24.92	NA	1.4333*	0	0
% Obese	England	Women	2010	26.06	25.28	NA	1.4333*	0	0
% Obese	England	Women	2011	25.88	25.64	NA	1.4333*	0	0
% Obese	England	Women	2012	25.09	26.01	NA	1.4333*	0	0
% Obese	England	Women	2013	23.83	26.38	NA	1.4333*	0	0
% Obese	England	Women	2014	26.77	26.76	NA	1.4333*	0	0
% Obese	England	Women	2015	26.82	27.14	NA	1.4333*	0	0
% Obese	England	Women	2016	26.63	27.53	NA	1.4333*	0	0
% Obese	England	Women	2017	30.04	27.92	NA	1.4333*	0	0
% Obese	England	Women	2018	29.22	28.32	NA	1.4333*	0	0
% Obese	England	Women	2019	29.07	28.73	NA	1.4333*	0	0
% Obese	N. Ireland	Men	2010	23.41	24.50	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2011	25.18	24.87	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2012	25.89	25.25	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2013	24.50	25.63	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2014	26.22	26.02	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2015	28.12	26.41	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2016	28.82	26.81	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2017	26.71	27.22	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2018	26.04	27.63	NA	1.5162*	0	0
% Obese	N. Ireland	Men	2019	27.76	28.05	NA	1.5162*	0	0
% Obese	N. Ireland	Women	2010	23.39	22.68	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2011	22.15	23.04	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2012	24.30	23.40	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2013	22.89	23.76	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2014	23.77	24.14	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2015	24.74	24.51	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2016	25.29	24.90	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2017	26.11	25.29	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2018	23.92	25.68	NA	1.5662*	0	0
% Obese	N. Ireland	Women	2019	27.11	26.09	NA	1.5662*	0	0
% Obese	Scotland	Men	2008	26.00	26.71	NA	0.4059	0	0
% Obese	Scotland	Men	2009	28.00	26.82	NA	0.4059	0	0
% Obese	Scotland	Men	2010	27.00	26.93	NA	0.4059	0	0
% Obese	Scotland	Men	2011	28.00	27.04	NA	0.4059	0	0
% Obese	Scotland	Men	2012	27.00	27.15	NA	0.4059	0	0
% Obese	Scotland	Men	2013	26.00	27.26	NA	0.4059	0	0
% Obese	Scotland	Men	2014	26.00	27.37	NA	0.4059	0	0
% Obese	Scotland	Men	2015	28.00	27.48	NA	0.4059	0	0
% Obese	Scotland	Men	2016	29.00	27.59	NA	0.4059	0	0
% Obese	Scotland	Men	2017	27.00	27.70	NA	0.4059	0	0
% Obese	Scotland	Men	2018	27.00	27.82	NA	0.4059	0	0
% Obese	Scotland	Men	2019	29.00	27.93	NA	0.4059	0	0
% Obese	Scotland	Women	2008	27.00	27.69	NA	0.8306*	0	0
% Obese	Scotland	Women	2009	28.00	27.92	NA	0.8306*	0	0
% Obese	Scotland	Women	2010	29.00	28.16	NA	0.8306*	0	0
% Obese	Scotland	Women	2011	28.00	28.39	NA	0.8306*	0	0
% Obese	Scotland	Women	2012	28.00	28.63	NA	0.8306*	0	0
% Obese	Scotland	Women	2013	30.00	28.86	NA	0.8306*	0	0
% Obese	Scotland	Women	2014	29.00	29.10	NA	0.8306*	0	0
% Obese	Scotland	Women	2015	30.00	29.34	NA	0.8306*	0	0
% Obese	Scotland	Women	2016	29.00	29.59	NA	0.8306*	0	0
% Obese	Scotland	Women	2017	30.00	29.83	NA	0.8306*	0	0
% Obese	Scotland	Women	2018	30.00	30.08	NA	0.8306*	0	0
% Obese	Scotland	Women	2019	30.00	30.33	NA	0.8306*	0	0
% Obese	Wales	Men	2004	17.25	17.51	NA	4.1281*	2	2
% Obese	Wales	Men	2005	18.08	18.23	NA	4.1281*	2	2
% Obese	Wales	Men	2006	19.23	18.98	NA	4.1281*	2	2
% Obese	Wales	Men	2007	20.28	19.77	NA	4.1281*	2	2
% Obese	Wales	Men	2008	20.66	20.58	NA	4.1281*	2	2
% Obese	Wales	Men	2009	21.33	21.43	NA	4.1281*	2	2
% Obese	Wales	Men	2010	22.06	22.32	Joinpoint 1	NA	2	2
% Obese	Wales	Men	2011	22.08	22.33	NA	0.0743	2	2
% Obese	Wales	Men	2012	23.25	22.35	NA	0.0743	2	2
% Obese	Wales	Men	2013	21.67	22.37	NA	0.0743	2	2
% Obese	Wales	Men	2014	21.47	22.38	NA	0.0743	2	2
% Obese	Wales	Men	2015	22.95	22.40	NA	0.0743	2	2
% Obese	Wales	Men	2016	23.67	22.41	NA	0.0743	2	2
% Obese	Wales	Men	2017	21.74	22.43	Joinpoint 2	NA	2	2
% Obese	Wales	Men	2018	24.00	24.24	NA	8.0822	2	2
% Obese	Wales	Men	2019	26.34	26.20	NA	8.0822	2	2
% Obese	Wales	Women	2004	18.13	18.31	NA	2.8452*	1	1
% Obese	Wales	Women	2005	18.11	18.83	NA	2.8452*	1	1
% Obese	Wales	Women	2006	19.71	19.37	NA	2.8452*	1	1
% Obese	Wales	Women	2007	20.72	19.92	NA	2.8452*	1	1
% Obese	Wales	Women	2008	20.86	20.48	NA	2.8452*	1	1
% Obese	Wales	Women	2009	21.19	21.07	NA	2.8452*	1	1
% Obese	Wales	Women	2010	21.33	21.67	NA	2.8452*	1	1
% Obese	Wales	Women	2011	22.08	22.28	NA	2.8452*	1	1
% Obese	Wales	Women	2012	22.76	22.92	Joinpoint 1	NA	1	1
% Obese	Wales	Women	2013	23.05	22.93	NA	0.0740	1	1
% Obese	Wales	Women	2014	22.88	22.95	NA	0.0740	1	1
% Obese	Wales	Women	2015	24.08	22.97	NA	0.0740	1	1
% Obese	Wales	Women	2016	21.68	22.98	NA	0.0740	1	1
% Obese	Wales	Women	2017	22.86	23.00	NA	0.0740	1	1
% Obese	Wales	Women	2018	22.54	23.02	NA	0.0740	1	1
% Obese	Wales	Women	2019	23.87	23.04	NA	0.0740	1	1
% Over Weekly Alcohol Guidelines	England	Men	2011	34.22	35.02	NA	-2.9290*	1	1
% Over Weekly Alcohol Guidelines	England	Men	2012	34.35	33.99	NA	-2.9290*	1	1
% Over Weekly Alcohol Guidelines	England	Men	2013	33.42	33.00	NA	-2.9290*	1	1
% Over Weekly Alcohol Guidelines	England	Men	2014	32.09	32.03	NA	-2.9290*	1	1
% Over Weekly Alcohol Guidelines	England	Men	2015	31.28	31.09	NA	-2.9290*	1	1
% Over Weekly Alcohol Guidelines	England	Men	2016	30.68	30.18	NA	-2.9290*	1	1
% Over Weekly Alcohol Guidelines	England	Men	2017	28.39	29.30	Joinpoint 1	NA	1	1
% Over Weekly Alcohol Guidelines	England	Men	2018	30.33	29.91	NA	2.0890	1	1
% Over Weekly Alcohol Guidelines	England	Men	2019	30.32	30.53	NA	2.0890	1	1
% Over Weekly Alcohol Guidelines	England	Women	2011	17.70	17.74	NA	-3.1683*	1	1
% Over Weekly Alcohol Guidelines	England	Women	2012	17.56	17.18	NA	-3.1683*	1	1
% Over Weekly Alcohol Guidelines	England	Women	2013	15.99	16.64	NA	-3.1683*	1	1
% Over Weekly Alcohol Guidelines	England	Women	2014	16.02	16.11	NA	-3.1683*	1	1
% Over Weekly Alcohol Guidelines	England	Women	2015	15.88	15.60	NA	-3.1683*	1	1
% Over Weekly Alcohol Guidelines	England	Women	2016	15.84	15.10	NA	-3.1683*	1	1
% Over Weekly Alcohol Guidelines	England	Women	2017	14.29	14.63	Joinpoint 1	NA	1	1
% Over Weekly Alcohol Guidelines	England	Women	2018	14.46	14.93	NA	2.0595	1	1
% Over Weekly Alcohol Guidelines	England	Women	2019	15.48	15.23	NA	2.0595	1	1
% Over Weekly Alcohol Guidelines	N. Ireland	Men	2010	36.77	36.86	NA	-3.3379*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Men	2011	35.34	35.62	NA	-3.3379*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Men	2013	32.50	33.29	NA	-3.3379*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Men	2015	31.94	31.10	NA	-3.3379*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Men	2017	30.88	29.06	NA	-3.3379*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Men	2019	25.75	27.15	NA	-3.3379*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Women	2010	14.89	14.16	NA	-5.3229*	0	0
