"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI","Unweightedbases"
"2012","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,62.3,66.9,2657
"2012","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",18,NA,16,19.8,2657
"2012","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",12,NA,10.5,14,2095
"2012","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",50,NA,46.8,52.4,2095
"2012","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",38,NA,35.4,40.8,2095
"2013","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",16,NA,14.8,17.8,4832
"2013","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",59,NA,57.3,61,4832
"2013","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",25,NA,22.9,26.1,4832
"2013","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",20,NA,18,21.8,2724
"2013","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",64,NA,62.3,66.6,2724
"2013","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",16,NA,14,17.2,2724
"2013","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",12,NA,10.6,14.1,2108
"2013","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",53,NA,50.9,56,2108
"2013","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",34,NA,31.8,36.6,2108
"2014","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",16,NA,14.4,17.4,4592
"2014","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",59,NA,56.7,60.5,4592
"2014","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",25,NA,23.9,27.1,4592
"2014","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",18,NA,15.7,19.3,2564
"2014","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,63.1,67.7,2564
"2014","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",17,NA,15.3,19,2564
"2014","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",14,NA,12.1,16.2,2028
"2014","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",51,NA,48.5,53.8,2028
"2014","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",35,NA,32.2,37.2,2028
"2015","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",16,NA,14.3,17.2,4935
"2015","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",58,NA,56.6,60.2,4935
"2015","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",26,NA,24.1,27.6,4935
"2015","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",18,NA,16,19.6,2723
"2015","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",66,NA,63.5,67.8,2723
"2015","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",17,NA,14.8,18.3,2723
"2015","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",14,NA,11.7,15.3,2212
"2015","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",51,NA,47.8,53.2,2212
"2015","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",36,NA,33.3,38.7,2212
"2016","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",16,NA,14.6,17.7,4264
"2016","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",58,NA,56.1,60.4,4264
"2016","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",26,NA,23.7,27.5,4264
"2016","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",19,NA,17.5,21.5,2395
"2016","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",63,NA,61,65.9,2395
"2016","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",17,NA,15.1,19,2395
"2016","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",13,NA,10.8,14.3,1869
"2016","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",53,NA,49.5,55.6,1869
"2016","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",35,NA,32,37.8,1869
"2017","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",17,NA,15.3,18.5,3642
"2017","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",59,NA,57.1,61.4,3642
"2017","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",24,NA,22,25.7,3642
"2017","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",19,NA,17.3,21.5,2066
"2017","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,62.7,67.5,2066
"2017","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",16,NA,13.8,17.3,2066
"2017","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",14,NA,12.2,16,1576
"2017","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",53,NA,49.7,56.3,1576
"2017","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",33,NA,30,35.8,1576
"2018","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",16,NA,14.8,18.1,4758
"2018","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",60,NA,57.8,62.1,4758
"2018","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",24,NA,21.6,25.6,4758
"2018","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",19,NA,17.4,21.4,2707
"2018","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,62.4,66.8,2707
"2018","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",16,NA,14.3,17.6,2707
"2018","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",13,NA,11.3,15.2,2051
"2018","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",55,NA,51.9,58,2051
"2018","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",32,NA,28.6,35,2051
"2019","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",17,NA,14.9,18.1,4830
"2019","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",60,NA,57.9,61.7,4830
"2019","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",24,NA,22,25.4,4830
"2019","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",18,NA,16.4,20.1,2715
"2019","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,63.2,67.5,2715
"2019","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",16,NA,14.8,18,2715
"2019","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",15,NA,12.6,16.8,2115
"2019","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",54,NA,51.1,56.4,2115
"2019","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",32,NA,29,34.2,2115
"2021","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",16,NA,14.6,17.9,4514
"2021","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",61,NA,58.7,63.1,4514
"2021","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",23,NA,21.3,24.5,4514
"2021","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",17,NA,15.2,19.1,2599
"2021","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",67,NA,65.1,69.4,2599
"2021","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",16,NA,14.1,17.1,2599
"2021","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",15,NA,13.2,17.4,1915
"2021","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",54,NA,50.8,57.3,1915
"2021","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",31,NA,28.2,33.2,1915
"2022","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",19,NA,17.4,21.4,4341
"2022","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",58,NA,56,60.4,4341
"2022","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",22,NA,20.7,24.2,4341
"2022","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",21,NA,19.1,23.9,2329
"2022","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",64,NA,61,66.3,2329
"2022","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",15,NA,13.2,16.6,2329
"2022","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",17,NA,14.9,19.4,1971
"2022","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",52,NA,49.2,55,1971
"2022","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",31,NA,28.3,33.3,1971
"2008","Scotland","Obesity","Non-obesity","All",73,NA,71.8,74.7,5477
"2008","Scotland","Obesity","Obesity","All",27,NA,25.3,28.2,5477
"2008","Scotland","Obesity","Non-obesity","Female",73,NA,70.6,74.4,3020
"2008","Scotland","Obesity","Obesity","Female",27,NA,25.6,29.4,3020
"2008","Scotland","Obesity","Non-obesity","Male",74,NA,72.1,75.9,2457
"2008","Scotland","Obesity","Obesity","Male",26,NA,24.1,27.9,2457
"2009","Scotland","Obesity","Non-obesity","All",72,NA,71,73.7,6299
"2009","Scotland","Obesity","Obesity","All",28,NA,26.3,29,6299
"2009","Scotland","Obesity","Non-obesity","Female",72,NA,70.5,74.1,3456
"2009","Scotland","Obesity","Obesity","Female",28,NA,25.9,29.5,3456
"2009","Scotland","Obesity","Non-obesity","Male",72,NA,70.5,74.3,2843
"2009","Scotland","Obesity","Obesity","Male",28,NA,25.7,29.5,2843
"2010","Scotland","Obesity","Non-obesity","All",72,NA,70.4,73.3,6001
"2010","Scotland","Obesity","Obesity","All",28,NA,26.7,29.6,6001
"2010","Scotland","Obesity","Non-obesity","Female",71,NA,69.3,72.8,3327
"2010","Scotland","Obesity","Obesity","Female",29,NA,27.2,30.7,3327
"2010","Scotland","Obesity","Non-obesity","Male",73,NA,70.5,74.6,2674
"2010","Scotland","Obesity","Obesity","Male",27,NA,25.4,29.5,2674
"2011","Scotland","Obesity","Non-obesity","All",72,NA,70.9,73.7,6134
"2011","Scotland","Obesity","Obesity","All",28,NA,26.3,29.1,6134
"2011","Scotland","Obesity","Non-obesity","Female",72,NA,70.7,74.1,3389
"2011","Scotland","Obesity","Obesity","Female",28,NA,25.9,29.3,3389
"2011","Scotland","Obesity","Non-obesity","Male",72,NA,70.3,74.3,2745
"2011","Scotland","Obesity","Obesity","Male",28,NA,25.7,29.7,2745
"2012","Scotland","Obesity","Non-obesity","All",73,NA,71.3,74.6,4097
"2012","Scotland","Obesity","Obesity","All",27,NA,25.4,28.7,4097
"2012","Scotland","Obesity","Non-obesity","Female",72,NA,70.3,74.6,2221
"2012","Scotland","Obesity","Obesity","Female",28,NA,25.4,29.7,2221
"2012","Scotland","Obesity","Non-obesity","Male",73,NA,71.2,75.6,1876
"2012","Scotland","Obesity","Obesity","Male",27,NA,24.4,28.8,1876
"2013","Scotland","Obesity","Non-obesity","All",72,NA,70.5,74.1,4132
"2013","Scotland","Obesity","Obesity","All",28,NA,25.9,29.5,4132
"2013","Scotland","Obesity","Non-obesity","Female",70,NA,68,72.8,2288
"2013","Scotland","Obesity","Obesity","Female",30,NA,27.2,32,2288
"2013","Scotland","Obesity","Non-obesity","Male",74,NA,71.9,76.7,1844
"2013","Scotland","Obesity","Obesity","Male",26,NA,23.3,28.1,1844
"2014","Scotland","Obesity","Non-obesity","All",72,NA,70.4,74,3969
"2014","Scotland","Obesity","Obesity","All",28,NA,26,29.6,3969
"2014","Scotland","Obesity","Non-obesity","Female",71,NA,68.3,72.8,2198
"2014","Scotland","Obesity","Obesity","Female",29,NA,27.2,31.7,2198
"2014","Scotland","Obesity","Non-obesity","Male",74,NA,71.4,76.5,1771
"2014","Scotland","Obesity","Obesity","Male",26,NA,23.5,28.6,1771
"2015","Scotland","Obesity","Non-obesity","All",71,NA,69.3,73,4050
"2015","Scotland","Obesity","Obesity","All",29,NA,27,30.7,4050
"2015","Scotland","Obesity","Non-obesity","Female",70,NA,68.2,72.7,2187
"2015","Scotland","Obesity","Obesity","Female",30,NA,27.3,31.8,2187
"2015","Scotland","Obesity","Non-obesity","Male",72,NA,69.4,74.4,1863
"2015","Scotland","Obesity","Obesity","Male",28,NA,25.6,30.6,1863
"2016","Scotland","Obesity","Non-obesity","All",71,NA,69.3,73.1,3583
"2016","Scotland","Obesity","Obesity","All",29,NA,26.9,30.7,3583
"2016","Scotland","Obesity","Non-obesity","Female",71,NA,68.5,73.5,1980
"2016","Scotland","Obesity","Obesity","Female",29,NA,26.5,31.5,1980
"2016","Scotland","Obesity","Non-obesity","Male",71,NA,68.6,74.2,1603
"2016","Scotland","Obesity","Obesity","Male",29,NA,25.8,31.4,1603
"2017","Scotland","Obesity","Non-obesity","All",71,NA,69.1,73.4,2950
"2017","Scotland","Obesity","Obesity","All",29,NA,26.6,30.9,2950
"2017","Scotland","Obesity","Non-obesity","Female",70,NA,67.1,72.4,1669
"2017","Scotland","Obesity","Obesity","Female",30,NA,27.6,32.9,1669
"2017","Scotland","Obesity","Non-obesity","Male",73,NA,69.8,75.7,1281
"2017","Scotland","Obesity","Obesity","Male",27,NA,24.3,30.2,1281
"2018","Scotland","Obesity","Non-obesity","All",72,NA,69.8,73.7,3725
"2018","Scotland","Obesity","Obesity","All",28,NA,26.3,30.2,3725
"2018","Scotland","Obesity","Non-obesity","Female",70,NA,68.1,72.8,2076
"2018","Scotland","Obesity","Obesity","Female",30,NA,27.2,31.9,2076
"2018","Scotland","Obesity","Non-obesity","Male",73,NA,70.4,75.8,1649
"2018","Scotland","Obesity","Obesity","Male",27,NA,24.2,29.6,1649
"2019","Scotland","Obesity","Non-obesity","All",71,NA,68.9,72.8,3889
"2019","Scotland","Obesity","Obesity","All",29,NA,27.2,31.1,3889
"2019","Scotland","Obesity","Non-obesity","Female",70,NA,67.9,72.7,2130
"2019","Scotland","Obesity","Obesity","Female",30,NA,27.3,32.1,2130
"2019","Scotland","Obesity","Non-obesity","Male",71,NA,68.8,74,1759
"2019","Scotland","Obesity","Obesity","Male",29,NA,26,31.2,1759
"2021","Scotland","Obesity","Non-obesity","All",70,NA,67.9,71.3,4122
"2021","Scotland","Obesity","Obesity","All",30,NA,28.7,32.1,4122
"2021","Scotland","Obesity","Non-obesity","Female",69,NA,66.4,71.1,2335
"2021","Scotland","Obesity","Obesity","Female",31,NA,28.9,33.6,2335
"2021","Scotland","Obesity","Non-obesity","Male",71,NA,68.1,73,1787
"2021","Scotland","Obesity","Obesity","Male",29,NA,27,31.9,1787
"2022","Scotland","Obesity","Non-obesity","All",71,NA,68.8,73.2,3510
"2022","Scotland","Obesity","Obesity","All",29,NA,26.8,31.2,3510
"2022","Scotland","Obesity","Non-obesity","Female",70,NA,67.1,72.4,1841
"2022","Scotland","Obesity","Obesity","Female",30,NA,27.6,32.9,1841
"2022","Scotland","Obesity","Non-obesity","Male",72,NA,69.6,74.9,1649
"2022","Scotland","Obesity","Obesity","Male",28,NA,25.1,30.4,1649
"2008","Scotland","Overweight","Not overweight or obesity","All",35,NA,33.3,36.7,5477
"2008","Scotland","Overweight","Overweight (including obesity)","All",65,NA,63.3,66.7,5477
"2008","Scotland","Overweight","Not overweight or obesity","Female",38,NA,36.1,40.3,3020
"2008","Scotland","Overweight","Overweight (including obesity)","Female",62,NA,59.7,63.9,3020
"2008","Scotland","Overweight","Not overweight or obesity","Male",32,NA,29.3,33.9,2457
"2008","Scotland","Overweight","Overweight (including obesity)","Male",68,NA,66.1,70.7,2457
"2009","Scotland","Overweight","Not overweight or obesity","All",35,NA,33.9,36.8,6299
"2009","Scotland","Overweight","Overweight (including obesity)","All",65,NA,63.2,66.1,6299
"2009","Scotland","Overweight","Not overweight or obesity","Female",39,NA,37,40.8,3456
"2009","Scotland","Overweight","Overweight (including obesity)","Female",61,NA,59.2,63,3456
"2009","Scotland","Overweight","Not overweight or obesity","Male",32,NA,29.5,34,2843
"2009","Scotland","Overweight","Overweight (including obesity)","Male",68,NA,66,70.5,2843
"2010","Scotland","Overweight","Not overweight or obesity","All",35,NA,33.3,36.5,6001
"2010","Scotland","Overweight","Overweight (including obesity)","All",65,NA,63.5,66.7,6001
"2010","Scotland","Overweight","Not overweight or obesity","Female",38,NA,35.7,39.5,3327
"2010","Scotland","Overweight","Overweight (including obesity)","Female",62,NA,60.5,64.3,3327
"2010","Scotland","Overweight","Not overweight or obesity","Male",32,NA,29.8,34.7,2674
"2010","Scotland","Overweight","Overweight (including obesity)","Male",68,NA,65.3,70.2,2674
"2011","Scotland","Overweight","Not overweight or obesity","All",36,NA,34.1,37.2,6134
"2011","Scotland","Overweight","Overweight (including obesity)","All",64,NA,62.8,65.9,6134
"2011","Scotland","Overweight","Not overweight or obesity","Female",40,NA,38.6,42.2,3389
"2011","Scotland","Overweight","Overweight (including obesity)","Female",60,NA,57.8,61.4,3389
"2011","Scotland","Overweight","Not overweight or obesity","Male",31,NA,28.5,33.1,2745
"2011","Scotland","Overweight","Overweight (including obesity)","Male",69,NA,66.9,71.5,2745
"2012","Scotland","Overweight","Not overweight or obesity","All",36,NA,33.8,37.6,4097
"2012","Scotland","Overweight","Overweight (including obesity)","All",64,NA,62.4,66.2,4097
"2012","Scotland","Overweight","Not overweight or obesity","Female",40,NA,37.2,42,2221
"2012","Scotland","Overweight","Overweight (including obesity)","Female",60,NA,58,62.8,2221
"2012","Scotland","Overweight","Not overweight or obesity","Male",32,NA,29,34.7,1876
"2012","Scotland","Overweight","Overweight (including obesity)","Male",68,NA,65.3,71,1876
"2013","Scotland","Overweight","Not overweight or obesity","All",35,NA,33.2,37.1,4132
"2013","Scotland","Overweight","Overweight (including obesity)","All",65,NA,62.9,66.8,4132
"2013","Scotland","Overweight","Not overweight or obesity","Female",39,NA,36.4,41.3,2288
"2013","Scotland","Overweight","Overweight (including obesity)","Female",61,NA,58.7,63.6,2288
"2013","Scotland","Overweight","Not overweight or obesity","Male",31,NA,28.7,34,1844
"2013","Scotland","Overweight","Overweight (including obesity)","Male",69,NA,66,71.3,1844
"2014","Scotland","Overweight","Not overweight or obesity","All",35,NA,32.9,36.9,3969
"2014","Scotland","Overweight","Overweight (including obesity)","All",65,NA,63.1,67.1,3969
"2014","Scotland","Overweight","Not overweight or obesity","Female",39,NA,36.3,41.5,2198
"2014","Scotland","Overweight","Overweight (including obesity)","Female",61,NA,58.5,63.7,2198
"2014","Scotland","Overweight","Not overweight or obesity","Male",31,NA,27.8,33.5,1771
"2014","Scotland","Overweight","Overweight (including obesity)","Male",69,NA,66.5,72.2,1771
"2015","Scotland","Overweight","Not overweight or obesity","All",35,NA,33.4,37.5,4050
"2015","Scotland","Overweight","Overweight (including obesity)","All",65,NA,62.5,66.6,4050
"2015","Scotland","Overweight","Not overweight or obesity","Female",38,NA,35.8,40.8,2187
"2015","Scotland","Overweight","Overweight (including obesity)","Female",62,NA,59.2,64.2,2187
"2015","Scotland","Overweight","Not overweight or obesity","Male",33,NA,29.6,35.5,1863
"2015","Scotland","Overweight","Overweight (including obesity)","Male",67,NA,64.5,70.4,1863
"2016","Scotland","Overweight","Not overweight or obesity","All",35,NA,33.4,37.4,3583
"2016","Scotland","Overweight","Overweight (including obesity)","All",65,NA,62.6,66.6,3583
"2016","Scotland","Overweight","Not overweight or obesity","Female",39,NA,36.3,41.7,1980
"2016","Scotland","Overweight","Overweight (including obesity)","Female",61,NA,58.3,63.7,1980
"2016","Scotland","Overweight","Not overweight or obesity","Male",32,NA,28.8,34.6,1603
"2016","Scotland","Overweight","Overweight (including obesity)","Male",68,NA,65.4,71.2,1603
"2017","Scotland","Overweight","Not overweight or obesity","All",35,NA,32.2,37.4,2950
"2017","Scotland","Overweight","Overweight (including obesity)","All",65,NA,62.6,67.8,2950
"2017","Scotland","Overweight","Not overweight or obesity","Female",37,NA,33.7,40,1669
"2017","Scotland","Overweight","Overweight (including obesity)","Female",63,NA,60,66.3,1669
"2017","Scotland","Overweight","Not overweight or obesity","Male",33,NA,29.1,36.2,1281
"2017","Scotland","Overweight","Overweight (including obesity)","Male",67,NA,63.8,70.9,1281
"2018","Scotland","Overweight","Not overweight or obesity","All",35,NA,32.6,36.8,3725
"2018","Scotland","Overweight","Overweight (including obesity)","All",65,NA,63.2,67.4,3725
"2018","Scotland","Overweight","Not overweight or obesity","Female",37,NA,34.6,40,2076
"2018","Scotland","Overweight","Overweight (including obesity)","Female",63,NA,60,65.4,2076
"2018","Scotland","Overweight","Not overweight or obesity","Male",32,NA,29,35.1,1649
"2018","Scotland","Overweight","Overweight (including obesity)","Male",68,NA,64.9,71,1649
"2019","Scotland","Overweight","Not overweight or obesity","All",34,NA,32.3,36.2,3889
"2019","Scotland","Overweight","Overweight (including obesity)","All",66,NA,63.8,67.7,3889
"2019","Scotland","Overweight","Not overweight or obesity","Female",37,NA,34.6,39.6,2130
"2019","Scotland","Overweight","Overweight (including obesity)","Female",63,NA,60.4,65.4,2130
"2019","Scotland","Overweight","Not overweight or obesity","Male",31,NA,28.4,34.2,1759
"2019","Scotland","Overweight","Overweight (including obesity)","Male",69,NA,65.8,71.6,1759
"2021","Scotland","Overweight","Not overweight or obesity","All",33,NA,31.2,35.3,4122
"2021","Scotland","Overweight","Overweight (including obesity)","All",67,NA,64.7,68.8,4122
"2021","Scotland","Overweight","Not overweight or obesity","Female",36,NA,33.5,38.6,2335
"2021","Scotland","Overweight","Overweight (including obesity)","Female",64,NA,61.4,66.5,2335
"2021","Scotland","Overweight","Not overweight or obesity","Male",30,NA,27.3,33.4,1787
"2021","Scotland","Overweight","Overweight (including obesity)","Male",70,NA,66.6,72.7,1787
"2022","Scotland","Overweight","Not overweight or obesity","All",33,NA,31.3,35.6,3510
"2022","Scotland","Overweight","Overweight (including obesity)","All",67,NA,64.4,68.7,3510
"2022","Scotland","Overweight","Not overweight or obesity","Female",37,NA,34.3,39.6,1841
"2022","Scotland","Overweight","Overweight (including obesity)","Female",63,NA,60.4,65.7,1841
"2022","Scotland","Overweight","Not overweight or obesity","Male",30,NA,26.9,32.6,1649
"2022","Scotland","Overweight","Overweight (including obesity)","Male",70,NA,67.4,73.1,1649
"2008","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",5,NA,4.1,5.2,6465
"2008","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",95,NA,94.8,95.9,6465
"2008","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",4,NA,3.4,4.8,3623
"2008","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",96,NA,95.2,96.6,3623
"2008","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",5,NA,4.4,6.1,2842
"2008","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",95,NA,93.9,95.6,2842
"2009","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",5,NA,4.8,5.8,7531
"2009","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",95,NA,94.2,95.2,7531
"2009","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",4,NA,3.8,5.1,4243
