"Sex"	"Cancer Type"	"Year"	"ASR (Europe)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Brain	1980	6.89	6.94	NA	1.1460*	3	3
All	Brain	1981	6.99	7.02	NA	1.1460*	3	3
All	Brain	1982	7.03	7.10	Joinpoint 1	NA	3	3
All	Brain	1983	7.37	7.32	NA	3.0116*	3	3
All	Brain	1984	7.62	7.54	NA	3.0116*	3	3
All	Brain	1985	7.77	7.76	Joinpoint 2	NA	3	3
All	Brain	1986	7.74	7.82	NA	0.7906*	3	3
All	Brain	1987	7.72	7.89	NA	0.7906*	3	3
All	Brain	1988	7.92	7.95	NA	0.7906*	3	3
All	Brain	1989	8.03	8.01	NA	0.7906*	3	3
All	Brain	1990	8.08	8.07	NA	0.7906*	3	3
All	Brain	1991	8.23	8.14	NA	0.7906*	3	3
All	Brain	1992	8.28	8.20	NA	0.7906*	3	3
All	Brain	1993	8.36	8.27	NA	0.7906*	3	3
All	Brain	1994	8.34	8.33	NA	0.7906*	3	3
All	Brain	1995	8.41	8.40	NA	0.7906*	3	3
All	Brain	1996	8.51	8.47	NA	0.7906*	3	3
All	Brain	1997	8.52	8.53	NA	0.7906*	3	3
All	Brain	1998	8.52	8.60	NA	0.7906*	3	3
All	Brain	1999	8.57	8.67	NA	0.7906*	3	3
All	Brain	2000	8.76	8.74	NA	0.7906*	3	3
All	Brain	2001	8.89	8.81	NA	0.7906*	3	3
All	Brain	2002	8.96	8.87	Joinpoint 3	NA	3	3
All	Brain	2003	8.86	8.86	NA	-0.1869*	3	3
All	Brain	2004	8.80	8.84	NA	-0.1869*	3	3
All	Brain	2005	8.74	8.83	NA	-0.1869*	3	3
All	Brain	2006	8.75	8.81	NA	-0.1869*	3	3
All	Brain	2007	8.73	8.79	NA	-0.1869*	3	3
All	Brain	2008	8.72	8.78	NA	-0.1869*	3	3
All	Brain	2009	8.70	8.76	NA	-0.1869*	3	3
All	Brain	2010	8.71	8.74	NA	-0.1869*	3	3
All	Brain	2011	8.81	8.73	NA	-0.1869*	3	3
All	Brain	2012	8.84	8.71	NA	-0.1869*	3	3
All	Brain	2013	8.85	8.69	NA	-0.1869*	3	3
All	Brain	2014	8.69	8.68	NA	-0.1869*	3	3
All	Brain	2015	8.61	8.66	NA	-0.1869*	3	3
All	Brain	2016	8.55	8.65	NA	-0.1869*	3	3
All	Brain	2017	8.63	8.63	NA	-0.1869*	3	3
All	Liver Cancer (C22)	1976	2.76	2.83	NA	-5.2452*	4	4
All	Liver Cancer (C22)	1977	2.75	2.68	NA	-5.2452*	4	4
All	Liver Cancer (C22)	1978	2.60	2.54	NA	-5.2452*	4	4
All	Liver Cancer (C22)	1979	2.42	2.41	Joinpoint 1	NA	4	4
All	Liver Cancer (C22)	1980	2.46	2.50	NA	3.7923*	4	4
All	Liver Cancer (C22)	1981	2.59	2.59	NA	3.7923*	4	4
All	Liver Cancer (C22)	1982	2.69	2.69	NA	3.7923*	4	4
All	Liver Cancer (C22)	1983	2.77	2.79	NA	3.7923*	4	4
All	Liver Cancer (C22)	1984	2.84	2.90	NA	3.7923*	4	4
All	Liver Cancer (C22)	1985	3.02	3.01	NA	3.7923*	4	4
All	Liver Cancer (C22)	1986	3.12	3.12	NA	3.7923*	4	4
All	Liver Cancer (C22)	1987	3.29	3.24	NA	3.7923*	4	4
All	Liver Cancer (C22)	1988	3.38	3.36	NA	3.7923*	4	4
All	Liver Cancer (C22)	1989	3.45	3.49	NA	3.7923*	4	4
All	Liver Cancer (C22)	1990	3.55	3.62	NA	3.7923*	4	4
All	Liver Cancer (C22)	1991	3.72	3.76	NA	3.7923*	4	4
All	Liver Cancer (C22)	1992	3.96	3.90	NA	3.7923*	4	4
All	Liver Cancer (C22)	1993	4.12	4.05	NA	3.7923*	4	4
All	Liver Cancer (C22)	1994	4.22	4.21	NA	3.7923*	4	4
All	Liver Cancer (C22)	1995	4.31	4.36	Joinpoint 2	NA	4	4
All	Liver Cancer (C22)	1996	4.47	4.45	NA	1.9653*	4	4
All	Liver Cancer (C22)	1997	4.59	4.54	NA	1.9653*	4	4
All	Liver Cancer (C22)	1998	4.66	4.63	NA	1.9653*	4	4
All	Liver Cancer (C22)	1999	4.72	4.72	NA	1.9653*	4	4
All	Liver Cancer (C22)	2000	4.77	4.81	NA	1.9653*	4	4
All	Liver Cancer (C22)	2001	4.90	4.91	NA	1.9653*	4	4
All	Liver Cancer (C22)	2002	4.97	5.00	NA	1.9653*	4	4
All	Liver Cancer (C22)	2003	5.16	5.10	Joinpoint 3	NA	4	4
All	Liver Cancer (C22)	2004	5.34	5.35	NA	4.8605*	4	4
All	Liver Cancer (C22)	2005	5.64	5.61	NA	4.8605*	4	4
All	Liver Cancer (C22)	2006	5.90	5.88	NA	4.8605*	4	4
All	Liver Cancer (C22)	2007	6.16	6.17	NA	4.8605*	4	4
All	Liver Cancer (C22)	2008	6.41	6.47	NA	4.8605*	4	4
All	Liver Cancer (C22)	2009	6.68	6.78	NA	4.8605*	4	4
All	Liver Cancer (C22)	2010	7.02	7.11	NA	4.8605*	4	4
All	Liver Cancer (C22)	2011	7.45	7.46	NA	4.8605*	4	4
All	Liver Cancer (C22)	2012	7.94	7.82	NA	4.8605*	4	4
All	Liver Cancer (C22)	2013	8.35	8.20	NA	4.8605*	4	4
All	Liver Cancer (C22)	2014	8.54	8.60	Joinpoint 4	NA	4	4
All	Liver Cancer (C22)	2015	8.73	8.77	NA	1.9617*	4	4
All	Liver Cancer (C22)	2016	8.93	8.94	NA	1.9617*	4	4
All	Liver Cancer (C22)	2017	9.13	9.11	NA	1.9617*	4	4
Men	Bladder Cancer (C67)	1976	21.91	21.87	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1977	21.91	21.91	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1978	21.97	21.96	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1979	22.04	22.01	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1980	22.02	22.05	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1981	21.87	22.10	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1982	21.81	22.14	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1983	22.28	22.19	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1984	22.63	22.24	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1985	22.68	22.28	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1986	22.30	22.33	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1987	22.29	22.38	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1988	22.19	22.42	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1989	22.44	22.47	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1990	22.45	22.52	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1991	22.83	22.56	NA	0.2092*	4	4
Men	Bladder Cancer (C67)	1992	22.44	22.61	Joinpoint 1	NA	4	4
Men	Bladder Cancer (C67)	1993	21.68	21.90	NA	-3.1534*	4	4
Men	Bladder Cancer (C67)	1994	21.11	21.21	NA	-3.1534*	4	4
Men	Bladder Cancer (C67)	1995	20.67	20.54	NA	-3.1534*	4	4
Men	Bladder Cancer (C67)	1996	20.23	19.89	NA	-3.1534*	4	4
Men	Bladder Cancer (C67)	1997	19.39	19.26	NA	-3.1534*	4	4
Men	Bladder Cancer (C67)	1998	18.57	18.66	NA	-3.1534*	4	4
Men	Bladder Cancer (C67)	1999	17.98	18.07	Joinpoint 2	NA	4	4
Men	Bladder Cancer (C67)	2000	17.77	17.90	NA	-0.9566	4	4
Men	Bladder Cancer (C67)	2001	17.71	17.72	NA	-0.9566	4	4
Men	Bladder Cancer (C67)	2002	17.63	17.55	Joinpoint 3	NA	4	4
Men	Bladder Cancer (C67)	2003	17.13	17.11	NA	-2.5562*	4	4
Men	Bladder Cancer (C67)	2004	16.54	16.67	NA	-2.5562*	4	4
Men	Bladder Cancer (C67)	2005	16.14	16.24	Joinpoint 4	NA	4	4
Men	Bladder Cancer (C67)	2006	15.96	16.09	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2007	16.02	15.93	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2008	15.94	15.78	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2009	15.73	15.63	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2010	15.47	15.48	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2011	15.34	15.33	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2012	15.18	15.18	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2013	15.14	15.03	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2014	14.82	14.89	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2015	14.69	14.75	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2016	14.59	14.61	NA	-0.9611*	4	4
Men	Bladder Cancer (C67)	2017	14.43	14.47	NA	-0.9611*	4	4
Men	Brain	1976	7.78	7.82	NA	3.0250*	4	4
Men	Brain	1977	8.14	8.05	NA	3.0250*	4	4
Men	Brain	1978	8.22	8.30	Joinpoint 1	NA	4	4
Men	Brain	1979	8.43	8.33	NA	0.3539	4	4
Men	Brain	1980	8.27	8.35	NA	0.3539	4	4
Men	Brain	1981	8.37	8.38	NA	0.3539	4	4
Men	Brain	1982	8.38	8.41	Joinpoint 2	NA	4	4
Men	Brain	1983	8.76	8.72	NA	3.5902*	4	4
Men	Brain	1984	9.13	9.03	NA	3.5902*	4	4
Men	Brain	1985	9.34	9.35	Joinpoint 3	NA	4	4
Men	Brain	1986	9.40	9.43	NA	0.8173*	4	4
Men	Brain	1987	9.33	9.51	NA	0.8173*	4	4
Men	Brain	1988	9.55	9.58	NA	0.8173*	4	4
Men	Brain	1989	9.65	9.66	NA	0.8173*	4	4
Men	Brain	1990	9.72	9.74	NA	0.8173*	4	4
Men	Brain	1991	9.98	9.82	NA	0.8173*	4	4
Men	Brain	1992	10.04	9.90	NA	0.8173*	4	4
Men	Brain	1993	10.13	9.98	NA	0.8173*	4	4
Men	Brain	1994	9.99	10.06	NA	0.8173*	4	4
Men	Brain	1995	10.05	10.15	NA	0.8173*	4	4
Men	Brain	1996	10.21	10.23	NA	0.8173*	4	4
Men	Brain	1997	10.29	10.31	NA	0.8173*	4	4
Men	Brain	1998	10.31	10.40	NA	0.8173*	4	4
Men	Brain	1999	10.41	10.48	NA	0.8173*	4	4
Men	Brain	2000	10.65	10.57	NA	0.8173*	4	4
Men	Brain	2001	10.73	10.65	NA	0.8173*	4	4
Men	Brain	2002	10.75	10.74	Joinpoint 4	NA	4	4
Men	Brain	2003	10.68	10.71	NA	-0.2712*	4	4
Men	Brain	2004	10.75	10.68	NA	-0.2712*	4	4
Men	Brain	2005	10.71	10.65	NA	-0.2712*	4	4
Men	Brain	2006	10.60	10.62	NA	-0.2712*	4	4
Men	Brain	2007	10.54	10.60	NA	-0.2712*	4	4
Men	Brain	2008	10.47	10.57	NA	-0.2712*	4	4
Men	Brain	2009	10.46	10.54	NA	-0.2712*	4	4
Men	Brain	2010	10.36	10.51	NA	-0.2712*	4	4
Men	Brain	2011	10.57	10.48	NA	-0.2712*	4	4
Men	Brain	2012	10.59	10.45	NA	-0.2712*	4	4
Men	Brain	2013	10.64	10.42	NA	-0.2712*	4	4
Men	Brain	2014	10.39	10.40	NA	-0.2712*	4	4
Men	Brain	2015	10.29	10.37	NA	-0.2712*	4	4
Men	Brain	2016	10.25	10.34	NA	-0.2712*	4	4
Men	Brain	2017	10.34	10.31	NA	-0.2712*	4	4
Men	Liver Cancer (C22)	1976	3.82	3.91	NA	-3.9215*	4	4
Men	Liver Cancer (C22)	1977	3.85	3.76	NA	-3.9215*	4	4
Men	Liver Cancer (C22)	1978	3.68	3.61	NA	-3.9215*	4	4
Men	Liver Cancer (C22)	1979	3.41	3.47	Joinpoint 1	NA	4	4
Men	Liver Cancer (C22)	1980	3.52	3.59	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1981	3.69	3.71	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1982	3.90	3.84	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1983	3.94	3.97	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1984	4.02	4.10	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1985	4.26	4.24	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1986	4.39	4.39	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1987	4.66	4.54	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1988	4.76	4.69	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1989	4.85	4.85	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1990	4.93	5.01	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1991	5.20	5.19	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1992	5.43	5.36	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1993	5.58	5.54	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1994	5.70	5.73	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1995	5.83	5.93	NA	3.4072*	4	4
Men	Liver Cancer (C22)	1996	6.08	6.13	Joinpoint 2	NA	4	4
Men	Liver Cancer (C22)	1997	6.26	6.23	NA	1.6529*	4	4
Men	Liver Cancer (C22)	1998	6.37	6.34	NA	1.6529*	4	4
Men	Liver Cancer (C22)	1999	6.48	6.44	NA	1.6529*	4	4
Men	Liver Cancer (C22)	2000	6.49	6.55	NA	1.6529*	4	4
Men	Liver Cancer (C22)	2001	6.64	6.65	NA	1.6529*	4	4
Men	Liver Cancer (C22)	2002	6.79	6.76	Joinpoint 3	NA	4	4
Men	Liver Cancer (C22)	2003	7.06	7.07	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2004	7.34	7.39	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2005	7.77	7.72	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2006	8.17	8.07	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2007	8.53	8.44	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2008	8.78	8.82	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2009	9.06	9.22	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2010	9.49	9.63	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2011	9.97	10.07	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2012	10.65	10.52	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2013	11.22	11.00	NA	4.5176*	4	4
Men	Liver Cancer (C22)	2014	11.49	11.50	Joinpoint 4	NA	4	4
Men	Liver Cancer (C22)	2015	11.70	11.77	NA	2.3493*	4	4
Men	Liver Cancer (C22)	2016	11.98	12.04	NA	2.3493*	4	4
Men	Liver Cancer (C22)	2017	12.39	12.33	NA	2.3493*	4	4
Women	Bladder Cancer (C67)	1976	6.02	6.06	NA	-0.1489	3	3
Women	Bladder Cancer (C67)	1977	6.09	6.05	NA	-0.1489	3	3
Women	Bladder Cancer (C67)	1978	6.06	6.05	NA	-0.1489	3	3
Women	Bladder Cancer (C67)	1979	6.04	6.04	NA	-0.1489	3	3
Women	Bladder Cancer (C67)	1980	6.04	6.03	NA	-0.1489	3	3
Women	Bladder Cancer (C67)	1981	5.99	6.02	NA	-0.1489	3	3
Women	Bladder Cancer (C67)	1982	6.00	6.01	Joinpoint 1	NA	3	3
Women	Bladder Cancer (C67)	1983	6.02	6.07	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1984	6.11	6.13	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1985	6.25	6.18	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1986	6.26	6.24	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1987	6.30	6.30	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1988	6.36	6.36	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1989	6.50	6.43	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1990	6.52	6.49	NA	0.9605*	3	3
Women	Bladder Cancer (C67)	1991	6.51	6.55	Joinpoint 2	NA	3	3
Women	Bladder Cancer (C67)	1992	6.38	6.46	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1993	6.43	6.38	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1994	6.31	6.29	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1995	6.23	6.21	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1996	6.11	6.13	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1997	6.01	6.05	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1998	5.92	5.97	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	1999	5.86	5.89	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2000	5.79	5.81	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2001	5.75	5.74	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2002	5.69	5.66	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2003	5.63	5.59	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2004	5.55	5.51	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2005	5.42	5.44	NA	-1.3142*	3	3
Women	Bladder Cancer (C67)	2006	5.35	5.37	Joinpoint 3	NA	3	3
Women	Bladder Cancer (C67)	2007	5.37	5.33	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2008	5.32	5.29	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2009	5.23	5.25	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2010	5.12	5.21	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2011	5.12	5.17	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2012	5.18	5.13	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2013	5.19	5.09	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2014	5.03	5.05	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2015	4.97	5.01	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2016	4.94	4.97	NA	-0.7640*	3	3
Women	Bladder Cancer (C67)	2017	4.98	4.94	NA	-0.7640*	3	3
Women	Brain	1976	5.53	5.57	NA	0.8169*	5	5
Women	Brain	1977	5.62	5.61	NA	0.8169*	5	5
Women	Brain	1978	5.73	5.66	NA	0.8169*	5	5
Women	Brain	1979	5.69	5.70	NA	0.8169*	5	5
Women	Brain	1980	5.73	5.75	NA	0.8169*	5	5
Women	Brain	1981	5.84	5.80	Joinpoint 1	NA	5	5
Women	Brain	1982	5.90	5.99	NA	3.2661*	5	5
Women	Brain	1983	6.21	6.18	NA	3.2661*	5	5
Women	Brain	1984	6.38	6.38	Joinpoint 2	NA	5	5
Women	Brain	1985	6.49	6.44	NA	0.8250*	5	5
Women	Brain	1986	6.40	6.49	NA	0.8250*	5	5
Women	Brain	1987	6.41	6.54	NA	0.8250*	5	5
Women	Brain	1988	6.58	6.60	NA	0.8250*	5	5
Women	Brain	1989	6.71	6.65	NA	0.8250*	5	5
Women	Brain	1990	6.73	6.71	NA	0.8250*	5	5
Women	Brain	1991	6.79	6.76	NA	0.8250*	5	5
Women	Brain	1992	6.85	6.82	NA	0.8250*	5	5
Women	Brain	1993	6.93	6.87	NA	0.8250*	5	5
Women	Brain	1994	7.01	6.93	NA	0.8250*	5	5
Women	Brain	1995	7.07	6.99	NA	0.8250*	5	5
Women	Brain	1996	7.13	7.04	NA	0.8250*	5	5
Women	Brain	1997	7.10	7.10	NA	0.8250*	5	5
Women	Brain	1998	7.06	7.16	NA	0.8250*	5	5
Women	Brain	1999	7.06	7.22	NA	0.8250*	5	5
Women	Brain	2000	7.20	7.28	NA	0.8250*	5	5
Women	Brain	2001	7.36	7.34	NA	0.8250*	5	5
Women	Brain	2002	7.46	7.40	Joinpoint 3	NA	5	5
Women	Brain	2003	7.31	7.30	NA	-1.4068	5	5
Women	Brain	2004	7.17	7.19	NA	-1.4068	5	5
Women	Brain	2005	7.07	7.09	Joinpoint 4	NA	5	5
Women	Brain	2006	7.17	7.12	NA	0.4408	5	5
Women	Brain	2007	7.15	7.15	NA	0.4408	5	5
Women	Brain	2008	7.20	7.19	NA	0.4408	5	5
Women	Brain	2009	7.16	7.22	NA	0.4408	5	5
Women	Brain	2010	7.28	7.25	NA	0.4408	5	5
Women	Brain	2011	7.29	7.28	NA	0.4408	5	5
Women	Brain	2012	7.33	7.31	Joinpoint 5	NA	5	5
Women	Brain	2013	7.28	7.26	NA	-0.7238*	5	5
Women	Brain	2014	7.20	7.21	NA	-0.7238*	5	5
Women	Brain	2015	7.11	7.16	NA	-0.7238*	5	5
Women	Brain	2016	7.04	7.10	NA	-0.7238*	5	5
Women	Brain	2017	7.13	7.05	NA	-0.7238*	5	5
Women	Liver Cancer (C22)	1976	2.01	2.05	NA	-6.2381*	4	4
Women	Liver Cancer (C22)	1977	1.97	1.93	NA	-6.2381*	4	4
Women	Liver Cancer (C22)	1978	1.84	1.81	NA	-6.2381*	4	4
Women	Liver Cancer (C22)	1979	1.70	1.69	Joinpoint 1	NA	4	4
Women	Liver Cancer (C22)	1980	1.72	1.76	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1981	1.86	1.83	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1982	1.92	1.91	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1983	1.98	1.99	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1984	2.04	2.07	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1985	2.16	2.15	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1986	2.25	2.24	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1987	2.34	2.33	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1988	2.44	2.43	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1989	2.48	2.53	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1990	2.58	2.63	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1991	2.70	2.74	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1992	2.90	2.85	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1993	3.04	2.97	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1994	3.12	3.09	NA	4.0989*	4	4
Women	Liver Cancer (C22)	1995	3.17	3.22	Joinpoint 2	NA	4	4
Women	Liver Cancer (C22)	1996	3.28	3.27	NA	1.6567*	4	4
Women	Liver Cancer (C22)	1997	3.35	3.33	NA	1.6567*	4	4
Women	Liver Cancer (C22)	1998	3.40	3.38	NA	1.6567*	4	4
Women	Liver Cancer (C22)	1999	3.42	3.44	NA	1.6567*	4	4
Women	Liver Cancer (C22)	2000	3.50	3.49	NA	1.6567*	4	4
Women	Liver Cancer (C22)	2001	3.61	3.55	NA	1.6567*	4	4
Women	Liver Cancer (C22)	2002	3.59	3.61	NA	1.6567*	4	4
Women	Liver Cancer (C22)	2003	3.68	3.67	NA	1.6567*	4	4
Women	Liver Cancer (C22)	2004	3.77	3.73	Joinpoint 3	NA	4	4
Women	Liver Cancer (C22)	2005	3.96	3.93	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2006	4.13	4.14	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2007	4.31	4.36	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2008	4.54	4.59	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2009	4.76	4.84	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2010	5.05	5.10	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2011	5.40	5.37	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2012	5.71	5.66	NA	5.3337*	4	4
Women	Liver Cancer (C22)	2013	5.99	5.96	Joinpoint 4	NA	4	4
Women	Liver Cancer (C22)	2014	6.10	6.09	NA	2.1696*	4	4
Women	Liver Cancer (C22)	2015	6.27	6.22	NA	2.1696*	4	4
