"Sex"	"Cancer label"	"incmort"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	All sites excl. non-melanoma skin cancer	"Mortality"	2002	175.54	174.18	Joinpoint 1	NA	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2003	168.39	170.51	NA	-2.1078*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2004	166.76	166.92	NA	-2.1078*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2005	162.56	163.40	NA	-2.1078*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2006	160.45	159.96	NA	-2.1078*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2007	157.16	156.58	NA	-2.1078*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2008	154.12	153.28	NA	-2.1078*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2009	149.67	150.05	Joinpoint 2	NA	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2010	146.78	148.10	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2011	146.69	146.18	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2012	143.38	144.28	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2013	142.28	142.40	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2014	139.97	140.55	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2015	142.57	138.73	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2016	138.05	136.93	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2017	133.50	135.15	NA	-1.2993*	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2018	132.24	133.39	NA	-1.2993*	2	2
1	Colorectum	"Incidence"	1993	42.07	42.93	NA	-0.0817	0	0
1	Colorectum	"Incidence"	1994	41.05	42.89	NA	-0.0817	0	0
1	Colorectum	"Incidence"	1995	41.07	42.86	NA	-0.0817	0	0
1	Colorectum	"Incidence"	1996	45.55	42.82	NA	-0.0817	0	0
1	Colorectum	"Incidence"	1997	44.14	42.79	NA	-0.0817	0	0
1	Colorectum	"Incidence"	1998	43.23	42.75	NA	-0.0817	0	0
1	Colorectum	"Incidence"	1999	42.84	42.72	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2000	44.57	42.68	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2001	43.33	42.65	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2002	41.79	42.61	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2003	43.06	42.58	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2004	41.88	42.54	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2005	41.04	42.51	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2006	40.22	42.47	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2007	41.41	42.44	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2008	43.94	42.40	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2009	44.17	42.37	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2010	44.40	42.33	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2011	44.34	42.30	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2012	40.69	42.27	NA	-0.0817	0	0
1	Colorectum	"Incidence"	2013	39.93	42.23	NA	-0.0817	0	0
1	Colorectum	"Mortality"	1998	20.34	20.68	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	1999	20.45	20.18	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2000	19.17	19.70	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2001	19.30	19.22	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2002	19.06	18.76	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2003	17.98	18.30	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2004	18.11	17.86	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2005	17.96	17.43	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2006	17.19	17.01	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2007	16.27	16.60	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2008	16.66	16.20	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2009	16.02	15.81	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2010	14.58	15.43	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2011	15.07	15.06	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2012	14.63	14.69	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2013	15.13	14.34	NA	-2.4124*	1	1
1	Colorectum	"Mortality"	2014	13.35	13.99	Joinpoint 1	NA	1	1
1	Colorectum	"Mortality"	2015	14.69	14.23	NA	1.6702	1	1
1	Colorectum	"Mortality"	2016	14.12	14.46	NA	1.6702	1	1
1	Colorectum	"Mortality"	2017	14.44	14.71	NA	1.6702	1	1
1	Colorectum	"Mortality"	2018	15.22	14.95	NA	1.6702	1	1
1	Lung	"Incidence"	1993	76.86	76.78	NA	-3.4712*	1	1
1	Lung	"Incidence"	1994	73.75	74.12	NA	-3.4712*	1	1
1	Lung	"Incidence"	1995	70.57	71.55	NA	-3.4712*	1	1
1	Lung	"Incidence"	1996	70.65	69.06	NA	-3.4712*	1	1
1	Lung	"Incidence"	1997	66.48	66.67	NA	-3.4712*	1	1
1	Lung	"Incidence"	1998	65.10	64.35	NA	-3.4712*	1	1
1	Lung	"Incidence"	1999	61.24	62.12	NA	-3.4712*	1	1
1	Lung	"Incidence"	2000	59.48	59.96	Joinpoint 1	NA	1	1
1	Lung	"Incidence"	2001	58.61	58.89	NA	-1.7839*	1	1
1	Lung	"Incidence"	2002	59.62	57.84	NA	-1.7839*	1	1
1	Lung	"Incidence"	2003	55.90	56.81	NA	-1.7839*	1	1
1	Lung	"Incidence"	2004	56.01	55.80	NA	-1.7839*	1	1
1	Lung	"Incidence"	2005	54.21	54.80	NA	-1.7839*	1	1
1	Lung	"Incidence"	2006	53.84	53.82	NA	-1.7839*	1	1
1	Lung	"Incidence"	2007	53.19	52.86	NA	-1.7839*	1	1
1	Lung	"Incidence"	2008	51.26	51.92	NA	-1.7839*	1	1
1	Lung	"Incidence"	2009	52.84	50.99	NA	-1.7839*	1	1
1	Lung	"Incidence"	2010	49.45	50.08	NA	-1.7839*	1	1
1	Lung	"Incidence"	2011	48.53	49.19	NA	-1.7839*	1	1
1	Lung	"Incidence"	2012	48.16	48.31	NA	-1.7839*	1	1
1	Lung	"Incidence"	2013	47.76	47.45	NA	-1.7839*	1	1
1	Lung	"Mortality"	1998	55.50	55.77	NA	-2.6756*	0	0
1	Lung	"Mortality"	1999	53.68	54.28	NA	-2.6756*	0	0
1	Lung	"Mortality"	2000	51.13	52.83	NA	-2.6756*	0	0
1	Lung	"Mortality"	2001	51.78	51.42	NA	-2.6756*	0	0
1	Lung	"Mortality"	2002	52.20	50.04	NA	-2.6756*	0	0
1	Lung	"Mortality"	2003	47.64	48.70	NA	-2.6756*	0	0
1	Lung	"Mortality"	2004	46.95	47.40	NA	-2.6756*	0	0
1	Lung	"Mortality"	2005	46.52	46.13	NA	-2.6756*	0	0
1	Lung	"Mortality"	2006	44.47	44.90	NA	-2.6756*	0	0
1	Lung	"Mortality"	2007	44.99	43.69	NA	-2.6756*	0	0
1	Lung	"Mortality"	2008	42.05	42.53	NA	-2.6756*	0	0
1	Lung	"Mortality"	2009	42.62	41.39	NA	-2.6756*	0	0
1	Lung	"Mortality"	2010	39.68	40.28	NA	-2.6756*	0	0
1	Lung	"Mortality"	2011	40.31	39.20	NA	-2.6756*	0	0
1	Lung	"Mortality"	2012	37.70	38.15	NA	-2.6756*	0	0
1	Lung	"Mortality"	2013	37.36	37.13	NA	-2.6756*	0	0
1	Lung	"Mortality"	2014	36.48	36.14	NA	-2.6756*	0	0
1	Lung	"Mortality"	2015	35.37	35.17	NA	-2.6756*	0	0
1	Lung	"Mortality"	2016	34.73	34.23	NA	-2.6756*	0	0
1	Lung	"Mortality"	2017	32.79	33.32	NA	-2.6756*	0	0
1	Lung	"Mortality"	2018	31.29	32.42	NA	-2.6756*	0	0
1	Oesophagus	"Incidence"	1993	11.31	11.41	NA	0.3790	1	1
1	Oesophagus	"Incidence"	1994	11.45	11.46	NA	0.3790	1	1
1	Oesophagus	"Incidence"	1995	11.49	11.50	NA	0.3790	1	1
1	Oesophagus	"Incidence"	1996	12.50	11.54	NA	0.3790	1	1
1	Oesophagus	"Incidence"	1997	11.14	11.59	NA	0.3790	1	1
1	Oesophagus	"Incidence"	1998	11.73	11.63	NA	0.3790	1	1
1	Oesophagus	"Incidence"	1999	11.33	11.68	NA	0.3790	1	1
1	Oesophagus	"Incidence"	2000	11.19	11.72	NA	0.3790	1	1
1	Oesophagus	"Incidence"	2001	11.66	11.76	NA	0.3790	1	1
1	Oesophagus	"Incidence"	2002	12.23	11.81	NA	0.3790	1	1
1	Oesophagus	"Incidence"	2003	11.85	11.85	NA	0.3790	1	1
1	Oesophagus	"Incidence"	2004	12.06	11.90	Joinpoint 1	NA	1	1
1	Oesophagus	"Incidence"	2005	11.73	11.82	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2006	11.67	11.73	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2007	11.75	11.65	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2008	11.61	11.57	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2009	11.65	11.49	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2010	11.42	11.41	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2011	11.00	11.33	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2012	11.41	11.25	NA	-0.7033	1	1
1	Oesophagus	"Incidence"	2013	11.15	11.17	NA	-0.7033	1	1
1	Oesophagus	"Mortality"	1998	11.58	11.24	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	1999	10.77	11.16	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2000	10.30	11.08	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2001	11.25	11.01	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2002	10.53	10.93	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2003	11.32	10.85	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2004	11.21	10.77	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2005	10.84	10.70	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2006	10.71	10.62	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2007	10.08	10.55	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2008	10.93	10.47	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2009	10.37	10.40	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2010	10.69	10.32	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2011	10.53	10.25	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2012	10.19	10.18	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2013	9.97	10.11	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2014	9.87	10.03	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2015	9.90	9.96	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2016	9.81	9.89	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2017	9.51	9.82	NA	-0.7092*	0	0
1	Oesophagus	"Mortality"	2018	9.87	9.75	NA	-0.7092*	0	0
1	Pancreas	"Incidence"	1993	7.04	6.92	NA	0.0891	0	0
1	Pancreas	"Incidence"	1994	6.87	6.93	NA	0.0891	0	0
1	Pancreas	"Incidence"	1995	6.55	6.94	NA	0.0891	0	0
1	Pancreas	"Incidence"	1996	8.20	6.94	NA	0.0891	0	0
1	Pancreas	"Incidence"	1997	7.32	6.95	NA	0.0891	0	0
1	Pancreas	"Incidence"	1998	6.96	6.95	NA	0.0891	0	0
1	Pancreas	"Incidence"	1999	6.59	6.96	NA	0.0891	0	0
1	Pancreas	"Incidence"	2000	7.56	6.97	NA	0.0891	0	0
1	Pancreas	"Incidence"	2001	6.40	6.97	NA	0.0891	0	0
1	Pancreas	"Incidence"	2002	6.64	6.98	NA	0.0891	0	0
1	Pancreas	"Incidence"	2003	7.07	6.99	NA	0.0891	0	0
1	Pancreas	"Incidence"	2004	6.45	6.99	NA	0.0891	0	0
1	Pancreas	"Incidence"	2005	6.40	7.00	NA	0.0891	0	0
1	Pancreas	"Incidence"	2006	6.45	7.00	NA	0.0891	0	0
1	Pancreas	"Incidence"	2007	6.93	7.01	NA	0.0891	0	0
1	Pancreas	"Incidence"	2008	7.25	7.02	NA	0.0891	0	0
1	Pancreas	"Incidence"	2009	7.44	7.02	NA	0.0891	0	0
1	Pancreas	"Incidence"	2010	6.82	7.03	NA	0.0891	0	0
1	Pancreas	"Incidence"	2011	7.40	7.04	NA	0.0891	0	0
1	Pancreas	"Incidence"	2012	7.43	7.04	NA	0.0891	0	0
1	Pancreas	"Incidence"	2013	7.24	7.05	NA	0.0891	0	0
1	Pancreas	"Mortality"	1998	6.88	6.55	NA	-0.0037	0	0
1	Pancreas	"Mortality"	1999	6.09	6.55	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2000	7.02	6.55	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2001	6.65	6.55	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2002	6.64	6.55	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2003	6.78	6.55	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2004	6.48	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2005	6.20	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2006	5.74	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2007	7.01	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2008	6.48	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2009	6.02	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2010	6.65	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2011	6.80	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2012	6.86	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2013	6.48	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2014	6.75	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2015	6.47	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2016	6.10	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2017	6.73	6.54	NA	-0.0037	0	0
1	Pancreas	"Mortality"	2018	6.80	6.54	NA	-0.0037	0	0
1	Prostate	"Incidence"	1993	41.41	43.11	NA	2.0734*	0	0
1	Prostate	"Incidence"	1994	43.01	44.00	NA	2.0734*	0	0
1	Prostate	"Incidence"	1995	45.48	44.92	NA	2.0734*	0	0
1	Prostate	"Incidence"	1996	50.89	45.85	NA	2.0734*	0	0
1	Prostate	"Incidence"	1997	44.35	46.80	NA	2.0734*	0	0
1	Prostate	"Incidence"	1998	44.65	47.77	NA	2.0734*	0	0
1	Prostate	"Incidence"	1999	46.45	48.76	NA	2.0734*	0	0
1	Prostate	"Incidence"	2000	46.87	49.77	NA	2.0734*	0	0
1	Prostate	"Incidence"	2001	49.99	50.80	NA	2.0734*	0	0
1	Prostate	"Incidence"	2002	55.46	51.85	NA	2.0734*	0	0
1	Prostate	"Incidence"	2003	55.94	52.93	NA	2.0734*	0	0
1	Prostate	"Incidence"	2004	60.50	54.03	NA	2.0734*	0	0
1	Prostate	"Incidence"	2005	55.56	55.15	NA	2.0734*	0	0
1	Prostate	"Incidence"	2006	58.40	56.29	NA	2.0734*	0	0
1	Prostate	"Incidence"	2007	57.91	57.46	NA	2.0734*	0	0
1	Prostate	"Incidence"	2008	60.66	58.65	NA	2.0734*	0	0
1	Prostate	"Incidence"	2009	61.99	59.87	NA	2.0734*	0	0
1	Prostate	"Incidence"	2010	58.51	61.11	NA	2.0734*	0	0
1	Prostate	"Incidence"	2011	61.89	62.37	NA	2.0734*	0	0
1	Prostate	"Incidence"	2012	59.06	63.67	NA	2.0734*	0	0
1	Prostate	"Incidence"	2013	62.57	64.99	NA	2.0734*	0	0
1	Prostate	"Mortality"	1998	14.48	15.76	NA	-1.1102*	0	0
1	Prostate	"Mortality"	1999	16.12	15.58	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2000	15.78	15.41	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2001	15.51	15.24	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2002	15.60	15.07	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2003	15.44	14.90	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2004	15.46	14.74	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2005	14.16	14.57	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2006	14.16	14.41	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2007	14.04	14.25	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2008	13.67	14.09	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2009	13.12	13.94	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2010	13.61	13.78	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2011	13.93	13.63	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2012	13.46	13.48	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2013	12.98	13.33	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2014	13.26	13.18	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2015	14.40	13.04	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2016	12.45	12.89	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2017	13.23	12.75	NA	-1.1102*	0	0
1	Prostate	"Mortality"	2018	12.08	12.61	NA	-1.1102*	0	0
2	All sites excl. non-melanoma skin cancer	"Incidence"	1993	262.08	259.62	NA	1.8967	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	1994	263.64	264.54	NA	1.8967	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	1995	263.82	269.56	NA	1.8967	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	1996	279.12	274.67	Joinpoint 1	NA	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	1997	271.03	270.50	NA	-1.5190	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	1998	264.90	266.39	NA	-1.5190	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	1999	264.34	262.35	Joinpoint 2	NA	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2000	268.36	264.32	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2001	262.76	266.31	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2002	267.88	268.31	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2003	266.33	270.33	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2004	275.48	272.36	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2005	269.45	274.41	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2006	271.25	276.47	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2007	282.52	278.55	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2008	285.62	280.64	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2009	285.97	282.75	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2010	288.31	284.88	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2011	285.59	287.02	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2012	289.07	289.18	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Incidence"	2013	287.43	291.35	NA	0.7519*	2	2
2	All sites excl. non-melanoma skin cancer	"Mortality"	1998	125.60	127.03	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	1999	124.90	125.76	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2000	124.22	124.50	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2001	123.32	123.25	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2002	120.95	122.02	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2003	122.75	120.80	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2004	119.62	119.59	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2005	120.33	118.39	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2006	116.52	117.21	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2007	117.71	116.03	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2008	114.32	114.87	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2009	113.24	113.72	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2010	111.96	112.58	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2011	111.11	111.45	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2012	113.49	110.34	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2013	111.11	109.23	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2014	107.33	108.14	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2015	106.12	107.06	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2016	103.24	105.99	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2017	104.14	104.93	NA	-1.0011*	0	0
2	All sites excl. non-melanoma skin cancer	"Mortality"	2018	104.95	103.87	NA	-1.0011*	0	0
2	Breast	"Incidence"	1993	73.44	73.99	NA	1.0064*	0	0
2	Breast	"Incidence"	1994	72.54	74.74	NA	1.0064*	0	0
2	Breast	"Incidence"	1995	76.01	75.49	NA	1.0064*	0	0
2	Breast	"Incidence"	1996	76.13	76.25	NA	1.0064*	0	0
2	Breast	"Incidence"	1997	77.68	77.02	NA	1.0064*	0	0
2	Breast	"Incidence"	1998	79.70	77.79	NA	1.0064*	0	0
2	Breast	"Incidence"	1999	80.97	78.57	NA	1.0064*	0	0
2	Breast	"Incidence"	2000	81.27	79.37	NA	1.0064*	0	0
2	Breast	"Incidence"	2001	77.00	80.16	NA	1.0064*	0	0
2	Breast	"Incidence"	2002	79.31	80.97	NA	1.0064*	0	0
2	Breast	"Incidence"	2003	81.24	81.79	NA	1.0064*	0	0
2	Breast	"Incidence"	2004	83.57	82.61	NA	1.0064*	0	0
2	Breast	"Incidence"	2005	83.44	83.44	NA	1.0064*	0	0
2	Breast	"Incidence"	2006	84.85	84.28	NA	1.0064*	0	0
2	Breast	"Incidence"	2007	84.78	85.13	NA	1.0064*	0	0
2	Breast	"Incidence"	2008	85.66	85.98	NA	1.0064*	0	0
2	Breast	"Incidence"	2009	87.80	86.85	NA	1.0064*	0	0
2	Breast	"Incidence"	2010	88.10	87.72	NA	1.0064*	0	0
2	Breast	"Incidence"	2011	89.01	88.61	NA	1.0064*	0	0
2	Breast	"Incidence"	2012	88.97	89.50	NA	1.0064*	0	0
2	Breast	"Incidence"	2013	89.41	90.40	NA	1.0064*	0	0
2	Breast	"Mortality"	1998	22.70	22.72	NA	-2.1861*	0	0
2	Breast	"Mortality"	1999	21.99	22.22	NA	-2.1861*	0	0
2	Breast	"Mortality"	2000	21.35	21.74	NA	-2.1861*	0	0
2	Breast	"Mortality"	2001	21.81	21.26	NA	-2.1861*	0	0
2	Breast	"Mortality"	2002	20.23	20.80	NA	-2.1861*	0	0
2	Breast	"Mortality"	2003	21.05	20.34	NA	-2.1861*	0	0
2	Breast	"Mortality"	2004	19.56	19.90	NA	-2.1861*	0	0
2	Breast	"Mortality"	2005	20.68	19.46	NA	-2.1861*	0	0
2	Breast	"Mortality"	2006	19.43	19.04	NA	-2.1861*	0	0
2	Breast	"Mortality"	2007	18.65	18.62	NA	-2.1861*	0	0
2	Breast	"Mortality"	2008	17.45	18.22	NA	-2.1861*	0	0
2	Breast	"Mortality"	2009	17.03	17.82	NA	-2.1861*	0	0
2	Breast	"Mortality"	2010	16.58	17.43	NA	-2.1861*	0	0
2	Breast	"Mortality"	2011	17.84	17.05	NA	-2.1861*	0	0
