"Year","Sex","ASR (World)","Cancer label","Country label","incmort"
2013,1,300.8913305,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1975,1,272.6361574,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1976,1,273.923406,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1977,1,271.0965372,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1978,1,286.091545,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1979,1,292.5977783,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1980,1,291.9835979,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1981,1,287.0918534,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1982,1,287.2873702,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1983,1,295.1221806,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1984,1,297.119436,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1985,1,298.6309409,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1986,1,295.2745733,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1987,1,299.2434936,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1988,1,299.5937986,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1989,1,299.6250296,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1990,1,308.1162476,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1991,1,305.38938,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1992,1,313.6560662,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1993,1,321.0650269,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1994,1,324.5456368,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1995,1,318.2464343,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1996,1,339.1156387,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1997,1,319.1952751,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1998,1,318.1655777,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1999,1,314.2483593,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2000,1,314.2295889,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2001,1,316.8704805,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2002,1,322.8446,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2003,1,321.2542844,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2004,1,322.4033807,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2005,1,313.3746896,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2006,1,314.8262648,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2007,1,314.540767,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2008,1,321.7767521,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2009,1,323.8310878,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2010,1,313.1687563,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2011,1,318.0000969,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2012,1,312.2835179,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
2013,1,311.3811761,"All sites excl. non-melanoma skin cancer","Scotland","Incidence"
1950,1,161.1766142,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1951,1,166.1569132,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1952,1,167.191421,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1953,1,167.7285559,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1954,1,170.603651,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1955,1,171.7260476,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1956,1,173.0072541,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1957,1,174.2226107,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1958,1,175.4760257,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1959,1,177.4048594,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1960,1,178.4503065,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1961,1,179.2130025,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1962,1,181.1122243,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1963,1,181.7843541,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1964,1,182.5453109,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1965,1,184.1779711,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1966,1,186.449826,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1967,1,187.1414841,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1968,1,189.7262882,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1969,1,190.4831987,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1970,1,190.3190014,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1971,1,187.3782128,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1972,1,189.539987,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1973,1,188.9188657,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1974,1,189.5999821,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1975,1,187.1377237,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1976,1,190.0486468,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1977,1,187.3649736,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1978,1,188.4704318,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1979,1,187.9139311,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1980,1,186.2006818,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1981,1,181.7031449,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1982,1,180.4486628,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1983,1,183.5705135,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1984,1,187.3119864,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1985,1,185.5938244,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1986,1,182.3065398,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1987,1,181.0939933,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1988,1,182.2054975,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1989,1,179.8971956,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1990,1,178.2569197,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1991,1,177.8725087,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1992,1,176.3867715,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1993,1,170.7247379,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1994,1,167.4672373,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1995,1,164.2901026,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1996,1,160.3292205,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1997,1,155.0537043,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1998,1,154.9440503,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1999,1,149.6808711,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2000,1,145.7931004,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2001,1,147.5068694,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2002,1,146.6209573,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2003,1,143.127011,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2004,1,139.8602436,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2005,1,136.5808467,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2006,1,135.9911922,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2007,1,133.5450521,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2008,1,131.5452602,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2009,1,129.510666,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2010,1,126.9480679,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2011,1,125.7067971,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2012,1,124.5885018,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2013,1,122.3840143,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2014,1,120.7464719,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2015,1,118.8940334,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
2016,1,117.7584842,"All sites excl. non-melanoma skin cancer","England and Wales","Mortality"
1950,1,148.6742759,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1951,1,136.7079197,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1952,1,134.2157664,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1953,1,138.8156569,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1954,1,138.3470559,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1955,1,136.9042043,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1956,1,146.0809678,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1957,1,157.8930393,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1958,1,147.5370528,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1959,1,156.0696522,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1960,1,158.5046061,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1961,1,144.4473066,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1962,1,147.1916102,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1963,1,148.1321513,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1964,1,149.8864148,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1965,1,152.7073095,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1966,1,158.3367056,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1967,1,149.8001996,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1968,1,163.3940704,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1969,1,167.6752522,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1970,1,164.2906637,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1971,1,168.6568113,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1972,1,157.4726958,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1973,1,167.6752345,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1974,1,173.1865738,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1975,1,168.0324396,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1976,1,173.7527934,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1977,1,180.313469,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1978,1,175.3330196,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1979,1,170.15689,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1980,1,169.5525397,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1981,1,159.1480691,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1982,1,158.4157777,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1983,1,169.4864384,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1984,1,175.5676761,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1985,1,170.4913421,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1986,1,164.7818038,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1987,1,168.8621738,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1988,1,165.8939973,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1989,1,174.8991409,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1990,1,167.2923777,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1991,1,168.358521,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1992,1,169.2592545,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1993,1,169.3358143,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1994,1,167.6851057,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1995,1,161.5630848,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1996,1,164.7596282,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1997,1,156.7881158,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1998,1,160.6252548,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1999,1,150.0720638,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2000,1,143.2333897,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2001,1,153.5744624,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2002,1,150.6014061,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2003,1,144.7131955,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2004,1,143.1345196,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2005,1,136.6076778,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2006,1,142.657542,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2007,1,142.4937591,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2008,1,140.5765977,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2009,1,132.4690501,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2010,1,136.0769423,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2011,1,132.809421,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2012,1,131.6473362,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2013,1,132.2515524,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2014,1,126.6403455,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2015,1,130.8548772,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
2016,1,128.5791685,"All sites excl. non-melanoma skin cancer","Northern Ireland","Mortality"
1950,1,173.4550246,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1951,1,169.1326982,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1952,1,175.9889098,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1953,1,180.4657317,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1954,1,185.2825501,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1955,1,184.0078968,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1956,1,186.9510024,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1957,1,187.0947075,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1958,1,192.4638607,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1959,1,194.1844051,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1960,1,189.7895686,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1961,1,194.5546539,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1962,1,199.3987666,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1963,1,205.586166,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1964,1,202.3013602,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1965,1,206.0244178,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1966,1,202.9160763,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1967,1,207.9689722,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1968,1,205.9896499,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1969,1,208.8347139,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1970,1,206.3408683,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1971,1,206.9716614,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1972,1,206.4392733,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1973,1,207.9748792,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1974,1,206.5291628,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1975,1,206.2154028,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1976,1,208.7826956,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1977,1,200.9432978,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1978,1,207.3173928,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1979,1,211.5105304,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1980,1,205.1267646,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1981,1,201.1403414,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1982,1,201.2717585,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1983,1,201.0283621,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1984,1,199.9361612,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1985,1,199.3108413,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1986,1,200.1764083,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1987,1,201.711033,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1988,1,200.1757233,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1989,1,198.8354141,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1990,1,197.8371826,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1991,1,195.5629965,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1992,1,197.8310622,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1993,1,200.494008,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1994,1,192.3870111,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1995,1,192.1662822,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1996,1,188.8419432,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1997,1,181.0848721,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1998,1,178.6950101,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1999,1,176.0234282,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2000,1,173.6135393,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2001,1,177.6442884,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2002,1,175.5396286,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2003,1,168.3851338,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2004,1,166.7562731,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2005,1,162.560395,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2006,1,160.4511898,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2007,1,157.1551705,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2008,1,154.1235189,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2009,1,149.6724052,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2010,1,146.7768136,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2011,1,146.6937726,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2012,1,143.3753774,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2013,1,142.2832349,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2014,1,139.9661599,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2015,1,142.5678222,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2016,1,138.0455606,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2017,1,133.5048667,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
2018,1,132.2409217,"All sites excl. non-melanoma skin cancer","Scotland","Mortality"
1971,1,28.11537769,"Colorectum","England and Wales","Incidence"
1972,1,27.85262126,"Colorectum","England and Wales","Incidence"
1973,1,29.23638037,"Colorectum","England and Wales","Incidence"
1974,1,29.27364212,"Colorectum","England and Wales","Incidence"
1975,1,29.49820975,"Colorectum","England and Wales","Incidence"
1976,1,29.27395119,"Colorectum","England and Wales","Incidence"
1977,1,29.8550721,"Colorectum","England and Wales","Incidence"
1978,1,29.36490938,"Colorectum","England and Wales","Incidence"
1979,1,30.66961645,"Colorectum","England and Wales","Incidence"
1980,1,31.09654977,"Colorectum","England and Wales","Incidence"
1981,1,31.79351575,"Colorectum","England and Wales","Incidence"
1982,1,31.68377995,"Colorectum","England and Wales","Incidence"
1983,1,32.42967844,"Colorectum","England and Wales","Incidence"
1984,1,32.08302434,"Colorectum","England and Wales","Incidence"
1985,1,32.94585808,"Colorectum","England and Wales","Incidence"
1986,1,31.71817409,"Colorectum","England and Wales","Incidence"
1987,1,32.76823065,"Colorectum","England and Wales","Incidence"
1988,1,33.63138951,"Colorectum","England and Wales","Incidence"
1989,1,33.77847873,"Colorectum","England and Wales","Incidence"
1990,1,34.17373958,"Colorectum","England and Wales","Incidence"
1991,1,33.94925709,"Colorectum","England and Wales","Incidence"
1992,1,35.42053326,"Colorectum","England and Wales","Incidence"
1993,1,35.55512654,"Colorectum","England and Wales","Incidence"
1994,1,34.64483657,"Colorectum","England and Wales","Incidence"
1995,1,34.37352586,"Colorectum","England and Wales","Incidence"
1996,1,36.11197213,"Colorectum","England and Wales","Incidence"
1997,1,36.42326282,"Colorectum","England and Wales","Incidence"
1998,1,36.85655695,"Colorectum","England and Wales","Incidence"
1999,1,36.31551546,"Colorectum","England and Wales","Incidence"
