"year","sex","age_group","cancer_site","count","Rate"
2005,"Men","50+","MultipleMyeloma",1886,24
2006,"Men","50+","MultipleMyeloma",2002,25.2
2007,"Men","50+","MultipleMyeloma",2068,25.7
2008,"Men","50+","MultipleMyeloma",2305,28.1
2009,"Men","50+","MultipleMyeloma",2367,28.5
2010,"Men","50+","MultipleMyeloma",2335,27.5
2011,"Men","50+","MultipleMyeloma",2384,27.6
2012,"Men","50+","MultipleMyeloma",2542,28.9
2013,"Men","50+","MultipleMyeloma",3228,36.1
2014,"Men","50+","MultipleMyeloma",3129,34.2
2015,"Men","50+","MultipleMyeloma",3174,34.1
2016,"Men","50+","MultipleMyeloma",3274,34.4
2017,"Men","50+","MultipleMyeloma",3487,36.1
2018,"Men","50+","MultipleMyeloma",3486,35.4
2019,"Men","50+","MultipleMyeloma",3739,37.4
2001,"Men","50+","Oral",2285,30.3
2002,"Men","50+","Oral",2162,28.4
2003,"Men","50+","Oral",2436,31.7
2004,"Men","50+","Oral",2409,31
2005,"Men","50+","Oral",2501,31.8
2006,"Men","50+","Oral",2801,35.2
2007,"Men","50+","Oral",2791,34.7
2008,"Men","50+","Oral",3067,37.5
2009,"Men","50+","Oral",3269,39.3
2010,"Men","50+","Oral",3374,39.9
2011,"Men","50+","Oral",3510,40.7
2012,"Men","50+","Oral",3812,43.4
2013,"Men","50+","Oral",3994,44.6
2014,"Men","50+","Oral",4025,44
2015,"Men","50+","Oral",4361,46.7
2016,"Men","50+","Oral",4460,46.9
2017,"Men","50+","Oral",4445,45.9
2018,"Men","50+","Oral",4658,47.4
2019,"Men","50+","Oral",5045,50.5
2001,"Men","50+","Pancreas",2723,36.1
2002,"Men","50+","Pancreas",2832,37.2
2003,"Men","50+","Pancreas",2796,36.3
2004,"Men","50+","Pancreas",2988,38.5
2005,"Men","50+","Pancreas",2990,38.1
2006,"Men","50+","Pancreas",3136,39.5
2007,"Men","50+","Pancreas",3094,38.4
2008,"Men","50+","Pancreas",3366,41.1
2009,"Men","50+","Pancreas",3379,40.6
2010,"Men","50+","Pancreas",3461,40.9
2011,"Men","50+","Pancreas",3542,41.1
2012,"Men","50+","Pancreas",3769,42.9
2013,"Men","50+","Pancreas",3988,44.5
2014,"Men","50+","Pancreas",3969,43.4
2015,"Men","50+","Pancreas",4123,44.2
2016,"Men","50+","Pancreas",4323,45.5
2017,"Men","50+","Pancreas",4483,46.3
2018,"Men","50+","Pancreas",4473,45.5
2019,"Men","50+","Pancreas",4588,45.9
2001,"Men","50+","Thyroid",211,2.8
2002,"Men","50+","Thyroid",206,2.7
2003,"Men","50+","Thyroid",201,2.6
2004,"Men","50+","Thyroid",237,3.1
2005,"Men","50+","Thyroid",231,2.9
2006,"Men","50+","Thyroid",276,3.5
2007,"Men","50+","Thyroid",314,3.9
2008,"Men","50+","Thyroid",289,3.5
2009,"Men","50+","Thyroid",325,3.9
2010,"Men","50+","Thyroid",400,4.7
2011,"Men","50+","Thyroid",383,4.4
2012,"Men","50+","Thyroid",432,4.9
2013,"Men","50+","Thyroid",476,5.3
2014,"Men","50+","Thyroid",533,5.8
2015,"Men","50+","Thyroid",518,5.6
2016,"Men","50+","Thyroid",530,5.6
2017,"Men","50+","Thyroid",605,6.3
2018,"Men","50+","Thyroid",621,6.3
2019,"Men","50+","Thyroid",593,5.9
2001,"Women","20-49","Breast",6885,66.3
2002,"Women","20-49","Breast",6804,65.2
2003,"Women","20-49","Breast",7178,68.6
2004,"Women","20-49","Breast",7345,69.7
2005,"Women","20-49","Breast",7534,70.6
2006,"Women","20-49","Breast",7569,70.3
2007,"Women","20-49","Breast",7546,69.6
2008,"Women","20-49","Breast",7916,72.5
2009,"Women","20-49","Breast",8147,74.3
2010,"Women","20-49","Breast",8593,78
2011,"Women","20-49","Breast",8435,76.2
2012,"Women","20-49","Breast",8622,77.9
2013,"Women","20-49","Breast",8871,80.2
2014,"Women","20-49","Breast",8636,78.2
2015,"Women","20-49","Breast",8604,77.9
2016,"Women","20-49","Breast",8612,78.1
2017,"Women","20-49","Breast",8473,77
2018,"Women","20-49","Breast",8448,76.9
2019,"Women","20-49","Breast",8504,77.7
2001,"Women","20-49","Colorectum",678,6.5
2002,"Women","20-49","Colorectum",697,6.6
2003,"Women","20-49","Colorectum",686,6.6
2004,"Women","20-49","Colorectum",692,6.6
2005,"Women","20-49","Colorectum",779,7.3
2006,"Women","20-49","Colorectum",817,7.7
2007,"Women","20-49","Colorectum",824,7.6
2008,"Women","20-49","Colorectum",808,7.5
2009,"Women","20-49","Colorectum",890,8.1
2010,"Women","20-49","Colorectum",919,8.4
2011,"Women","20-49","Colorectum",960,8.6
2012,"Women","20-49","Colorectum",1091,9.8
2013,"Women","20-49","Colorectum",1086,9.8
2014,"Women","20-49","Colorectum",1067,9.7
2015,"Women","20-49","Colorectum",1190,10.7
2016,"Women","20-49","Colorectum",1195,10.9
2017,"Women","20-49","Colorectum",1127,10.3
2018,"Women","20-49","Colorectum",1154,10.5
2019,"Women","20-49","Colorectum",1219,11.1
2001,"Women","20-49","Endometrium",301,2.9
2002,"Women","20-49","Endometrium",270,2.6
2003,"Women","20-49","Endometrium",338,3.2
2004,"Women","20-49","Endometrium",337,3.2
2005,"Women","20-49","Endometrium",361,3.4
2006,"Women","20-49","Endometrium",392,3.6
2007,"Women","20-49","Endometrium",424,3.9
2008,"Women","20-49","Endometrium",462,4.2
2009,"Women","20-49","Endometrium",427,3.9
2010,"Women","20-49","Endometrium",442,4
2011,"Women","20-49","Endometrium",436,3.9
2012,"Women","20-49","Endometrium",463,4.2
2013,"Women","20-49","Endometrium",499,4.5
2014,"Women","20-49","Endometrium",528,4.8
2015,"Women","20-49","Endometrium",455,4.1
2016,"Women","20-49","Endometrium",494,4.5
2017,"Women","20-49","Endometrium",517,4.7
2018,"Women","20-49","Endometrium",537,4.9
2019,"Women","20-49","Endometrium",543,5
2001,"Women","20-49","Gallbladder",25,0.2
2002,"Women","20-49","Gallbladder",20,0.2
2003,"Women","20-49","Gallbladder",26,0.2
2004,"Women","20-49","Gallbladder",25,0.3
2005,"Women","20-49","Gallbladder",27,0.2
2006,"Women","20-49","Gallbladder",27,0.2
2007,"Women","20-49","Gallbladder",29,0.3
2008,"Women","20-49","Gallbladder",28,0.2
2009,"Women","20-49","Gallbladder",28,0.3
2010,"Women","20-49","Gallbladder",38,0.3
2011,"Women","20-49","Gallbladder",40,0.3
2012,"Women","20-49","Gallbladder",33,0.3
2013,"Women","20-49","Gallbladder",37,0.4
2014,"Women","20-49","Gallbladder",32,0.3
2015,"Women","20-49","Gallbladder",35,0.4
2016,"Women","20-49","Gallbladder",41,0.3
2017,"Women","20-49","Gallbladder",42,0.3
2018,"Women","20-49","Gallbladder",35,0.3
2019,"Women","20-49","Gallbladder",41,0.4
2001,"Women","20-49","Kidney",145,1.4
2002,"Women","20-49","Kidney",153,1.5
2003,"Women","20-49","Kidney",181,1.7
2004,"Women","20-49","Kidney",194,1.8
2005,"Women","20-49","Kidney",205,1.9
2006,"Women","20-49","Kidney",176,1.6
2007,"Women","20-49","Kidney",196,1.8
2008,"Women","20-49","Kidney",241,2.2
2009,"Women","20-49","Kidney",241,2.2
2010,"Women","20-49","Kidney",216,2
2011,"Women","20-49","Kidney",261,2.4
2012,"Women","20-49","Kidney",271,2.4
2013,"Women","20-49","Kidney",318,2.9
2014,"Women","20-49","Kidney",321,2.9
2015,"Women","20-49","Kidney",328,3
2016,"Women","20-49","Kidney",341,3.1
2017,"Women","20-49","Kidney",322,2.9
2018,"Women","20-49","Kidney",319,2.9
2019,"Women","20-49","Kidney",344,3.1
2001,"Women","20-49","Liver",32,0.3
2002,"Women","20-49","Liver",45,0.4
2003,"Women","20-49","Liver",43,0.4
2004,"Women","20-49","Liver",49,0.5
2005,"Women","20-49","Liver",49,0.5
2006,"Women","20-49","Liver",59,0.5
2007,"Women","20-49","Liver",62,0.6
2008,"Women","20-49","Liver",72,0.7
2009,"Women","20-49","Liver",76,0.7
2010,"Women","20-49","Liver",61,0.6
2011,"Women","20-49","Liver",66,0.6
2012,"Women","20-49","Liver",66,0.6
2013,"Women","20-49","Liver",73,0.7
2014,"Women","20-49","Liver",80,0.7
2015,"Women","20-49","Liver",79,0.7
2016,"Women","20-49","Liver",66,0.6
2017,"Women","20-49","Liver",75,0.7
2018,"Women","20-49","Liver",82,0.7
2019,"Women","20-49","Liver",89,0.8
2001,"Women","20-49","MultipleMyeloma",63,0.6
2002,"Women","20-49","MultipleMyeloma",67,0.6
2003,"Women","20-49","MultipleMyeloma",55,0.5
2004,"Women","20-49","MultipleMyeloma",71,0.7
2005,"Women","20-49","MultipleMyeloma",65,0.6
2006,"Women","20-49","MultipleMyeloma",76,0.7
2007,"Women","20-49","MultipleMyeloma",77,0.7
2008,"Women","20-49","MultipleMyeloma",101,0.9
2009,"Women","20-49","MultipleMyeloma",90,0.8
2010,"Women","20-49","MultipleMyeloma",99,0.9
2011,"Women","20-49","MultipleMyeloma",98,0.9
2012,"Women","20-49","MultipleMyeloma",117,1
2013,"Women","20-49","MultipleMyeloma",156,1.4
2014,"Women","20-49","MultipleMyeloma",150,1.3
2015,"Women","20-49","MultipleMyeloma",131,1.2
2016,"Women","20-49","MultipleMyeloma",139,1.2
2017,"Women","20-49","MultipleMyeloma",159,1.5
2018,"Women","20-49","MultipleMyeloma",163,1.5
2019,"Women","20-49","MultipleMyeloma",147,1.3
2001,"Women","20-49","Oral",244,2.3
2002,"Women","20-49","Oral",208,2
2003,"Women","20-49","Oral",238,2.3
2004,"Women","20-49","Oral",213,2
2005,"Women","20-49","Oral",246,2.3
2006,"Women","20-49","Oral",268,2.5
2007,"Women","20-49","Oral",272,2.5
2008,"Women","20-49","Oral",317,2.9
2009,"Women","20-49","Oral",322,2.9
2010,"Women","20-49","Oral",305,2.8
2011,"Women","20-49","Oral",283,2.6
2012,"Women","20-49","Oral",339,3.1
2013,"Women","20-49","Oral",317,2.9
2014,"Women","20-49","Oral",328,3
2015,"Women","20-49","Oral",333,3
2016,"Women","20-49","Oral",356,3.2
2017,"Women","20-49","Oral",322,2.9
2018,"Women","20-49","Oral",344,3.1
2019,"Women","20-49","Oral",327,3
2001,"Women","20-49","Pancreas",95,0.9
2002,"Women","20-49","Pancreas",112,1.1
2003,"Women","20-49","Pancreas",89,0.8
2004,"Women","20-49","Pancreas",87,0.8
2005,"Women","20-49","Pancreas",104,1
2006,"Women","20-49","Pancreas",131,1.2
2007,"Women","20-49","Pancreas",116,1.1
2008,"Women","20-49","Pancreas",116,1.1
2009,"Women","20-49","Pancreas",121,1.1
2010,"Women","20-49","Pancreas",126,1.1
2011,"Women","20-49","Pancreas",134,1.2
2012,"Women","20-49","Pancreas",137,1.2
2013,"Women","20-49","Pancreas",156,1.4
2014,"Women","20-49","Pancreas",140,1.3
2015,"Women","20-49","Pancreas",155,1.4
2016,"Women","20-49","Pancreas",152,1.4
2017,"Women","20-49","Pancreas",141,1.3
2018,"Women","20-49","Pancreas",157,1.4
2019,"Women","20-49","Pancreas",165,1.5
2001,"Women","20-49","Thyroid",403,3.9
2002,"Women","20-49","Thyroid",446,4.3
2003,"Women","20-49","Thyroid",460,4.4
2004,"Women","20-49","Thyroid",522,5
2005,"Women","20-49","Thyroid",539,5.1
2006,"Women","20-49","Thyroid",652,6.1
2007,"Women","20-49","Thyroid",671,6.2
2008,"Women","20-49","Thyroid",712,6.5
2009,"Women","20-49","Thyroid",741,6.8
2010,"Women","20-49","Thyroid",820,7.4
2011,"Women","20-49","Thyroid",877,7.9
2012,"Women","20-49","Thyroid",962,8.7
2013,"Women","20-49","Thyroid",1042,9.4
2014,"Women","20-49","Thyroid",1012,9.2
2015,"Women","20-49","Thyroid",1072,9.7
2016,"Women","20-49","Thyroid",1175,10.7
2017,"Women","20-49","Thyroid",1158,10.5
2018,"Women","20-49","Thyroid",1192,10.9
2019,"Women","20-49","Thyroid",1224,11.2
2001,"Women","50+","Breast",28711,323.2
2002,"Women","50+","Breast",28737,321.5
2003,"Women","50+","Breast",30473,339.1
2004,"Women","50+","Breast",30570,338.4
2005,"Women","50+","Breast",31331,344.8
2006,"Women","50+","Breast",31326,342.4
2007,"Women","50+","Breast",31357,339.7
2008,"Women","50+","Breast",32838,352
2009,"Women","50+","Breast",32537,344.8
2010,"Women","50+","Breast",33192,347.2
2011,"Women","50+","Breast",33526,345.6
2012,"Women","50+","Breast",34513,350.1
2013,"Women","50+","Breast",36091,360.2
2014,"Women","50+","Breast",37683,369.2
2015,"Women","50+","Breast",37405,360.5
2016,"Women","50+","Breast",37278,353.2
2017,"Women","50+","Breast",37494,349.8
2018,"Women","50+","Breast",39365,362
2019,"Women","50+","Breast",39584,358.4
2001,"Women","50+","Colorectum",12721,143.1
2002,"Women","50+","Colorectum",12617,141.1
2003,"Women","50+","Colorectum",12730,141.7
2004,"Women","50+","Colorectum",13102,145.1
2005,"Women","50+","Colorectum",13246,145.7
2006,"Women","50+","Colorectum",13582,148.5
2007,"Women","50+","Colorectum",13994,151.6
2008,"Women","50+","Colorectum",14324,153.5
2009,"Women","50+","Colorectum",14512,153.7
2010,"Women","50+","Colorectum",14562,152.4
2011,"Women","50+","Colorectum",15105,155.7
2012,"Women","50+","Colorectum",15082,153
2013,"Women","50+","Colorectum",14849,148.1
2014,"Women","50+","Colorectum",15097,147.9
2015,"Women","50+","Colorectum",15480,149.1
2016,"Women","50+","Colorectum",15246,144.5
2017,"Women","50+","Colorectum",15328,142.9
2018,"Women","50+","Colorectum",15747,144.8
2019,"Women","50+","Colorectum",16482,149.2
2001,"Women","50+","Endometrium",4497,50.6
2002,"Women","50+","Endometrium",4504,50.4
2003,"Women","50+","Endometrium",4844,53.9
2004,"Women","50+","Endometrium",4810,53.2
2005,"Women","50+","Endometrium",5182,57
2006,"Women","50+","Endometrium",5419,59.2
2007,"Women","50+","Endometrium",5649,61.2
2008,"Women","50+","Endometrium",5791,62.1
2009,"Women","50+","Endometrium",5898,62.5
2010,"Women","50+","Endometrium",6258,65.5
2011,"Women","50+","Endometrium",6480,66.8
2012,"Women","50+","Endometrium",6625,67.2
2013,"Women","50+","Endometrium",6854,68.4
2014,"Women","50+","Endometrium",7087,69.4
2015,"Women","50+","Endometrium",6897,66.5
2016,"Women","50+","Endometrium",7339,69.5
2017,"Women","50+","Endometrium",7261,67.7
2018,"Women","50+","Endometrium",7633,70.2
2019,"Women","50+","Endometrium",7565,68.5
2001,"Women","50+","Gallbladder",587,6.6
2002,"Women","50+","Gallbladder",567,6.3
2003,"Women","50+","Gallbladder",561,6.3
2004,"Women","50+","Gallbladder",583,6.5
2005,"Women","50+","Gallbladder",641,7
2006,"Women","50+","Gallbladder",716,7.8
2007,"Women","50+","Gallbladder",716,7.8
2008,"Women","50+","Gallbladder",739,7.9
2009,"Women","50+","Gallbladder",785,8.3
2010,"Women","50+","Gallbladder",881,9.2
2011,"Women","50+","Gallbladder",854,8.8
2012,"Women","50+","Gallbladder",924,9.3
2013,"Women","50+","Gallbladder",982,9.8
2014,"Women","50+","Gallbladder",985,9.6
2015,"Women","50+","Gallbladder",995,9.6
2016,"Women","50+","Gallbladder",1062,10.1
2017,"Women","50+","Gallbladder",1051,9.8
2018,"Women","50+","Gallbladder",1245,11.4
2019,"Women","50+","Gallbladder",1221,11
2001,"Women","50+","Kidney",1571,17.7
2002,"Women","50+","Kidney",1632,18.3
2003,"Women","50+","Kidney",1736,19.3
2004,"Women","50+","Kidney",1734,19.2
2005,"Women","50+","Kidney",1788,19.7
2006,"Women","50+","Kidney",2024,22.1
2007,"Women","50+","Kidney",2062,22.3
2008,"Women","50+","Kidney",2307,24.7
2009,"Women","50+","Kidney",2329,24.7
2010,"Women","50+","Kidney",2557,26.7
2011,"Women","50+","Kidney",2598,26.8
2012,"Women","50+","Kidney",2681,27.2
2013,"Women","50+","Kidney",3038,30.3
2014,"Women","50+","Kidney",3203,31.4
2015,"Women","50+","Kidney",3098,29.9
2016,"Women","50+","Kidney",3160,29.9
2017,"Women","50+","Kidney",3264,30.4
2018,"Women","50+","Kidney",3122,28.7
2019,"Women","50+","Kidney",3419,31
2001,"Women","50+","Liver",811,9.1
2002,"Women","50+","Liver",814,9.1
2003,"Women","50+","Liver",778,8.7
2004,"Women","50+","Liver",856,9.5
2005,"Women","50+","Liver",914,10.1
2006,"Women","50+","Liver",981,10.7
2007,"Women","50+","Liver",1051,11.4
2008,"Women","50+","Liver",1048,11.2
2009,"Women","50+","Liver",1240,13.1
2010,"Women","50+","Liver",1331,13.9
2011,"Women","50+","Liver",1328,13.7
2012,"Women","50+","Liver",1462,14.8
2013,"Women","50+","Liver",1620,16.2
2014,"Women","50+","Liver",1596,15.6
2015,"Women","50+","Liver",1692,16.3
2016,"Women","50+","Liver",1722,16.3
2017,"Women","50+","Liver",1711,16
2018,"Women","50+","Liver",1642,15.1
2019,"Women","50+","Liver",1973,17.9
2001,"Women","50+","MultipleMyeloma",1509,17
2002,"Women","50+","MultipleMyeloma",1483,16.6
2003,"Women","50+","MultipleMyeloma",1570,17.5
2004,"Women","50+","MultipleMyeloma",1532,17
2005,"Women","50+","MultipleMyeloma",1637,18
2006,"Women","50+","MultipleMyeloma",1651,18.1
2007,"Women","50+","MultipleMyeloma",1698,18.4
