"age_group"	"sex"	"imd"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Men	5	Heavy Drinker	"alcohol_amt"	2014	0.08	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2015	0.08	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2016	0.06	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2017	0.06	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2018	0.07	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2019	0.07	0.07	NA	-0.6595	0	0
All	Women	1	Heavy Drinker	"alcohol_amt"	2011	0.03	0.03	NA	-14.9259*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	NA	-14.9259*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	-14.9259*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	-14.9259*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2015	0.01	0.01	Joinpoint 1	NA	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2016	0.01	0.01	NA	12.3984*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	12.3984*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	12.3984*	1	1
All	Women	1	Heavy Drinker	"alcohol_amt"	2019	0.02	0.02	NA	12.3984*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2011	0.03	0.03	NA	-8.9338*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	NA	-8.9338*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	-8.9338*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	-8.9338*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	-8.9338*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	Joinpoint 1	NA	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	19.0172*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	19.0172*	1	1
All	Women	2	Heavy Drinker	"alcohol_amt"	2019	0.03	0.03	NA	19.0172*	1	1
All	Women	3	Heavy Drinker	"alcohol_amt"	2011	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	0.7822	0	0
All	Women	3	Heavy Drinker	"alcohol_amt"	2019	0.02	0.02	NA	0.7822	0	0
All	Women	4	Heavy Drinker	"alcohol_amt"	2011	0.02	0.02	NA	-8.1731	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	NA	-8.1731	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	-8.1731	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2014	0.01	0.02	Joinpoint 1	NA	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	5.9752	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	NA	5.9752	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	5.9752	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	5.9752	1	1
All	Women	4	Heavy Drinker	"alcohol_amt"	2019	0.02	0.02	NA	5.9752	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2011	0.03	0.02	NA	-0.9141	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	NA	-0.9141	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	-0.9141	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	-0.9141	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	-0.9141	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	Joinpoint 1	NA	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	-13.9858	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	-13.9858	1	1
All	Women	5	Heavy Drinker	"alcohol_amt"	2019	0.01	0.01	NA	-13.9858	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2011	0.45	0.45	NA	2.0012*	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2012	0.46	0.46	NA	2.0012*	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2013	0.47	0.47	NA	2.0012*	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2014	0.48	0.48	NA	2.0012*	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2015	0.49	0.49	NA	2.0012*	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2016	0.50	0.50	NA	2.0012*	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2017	0.50	0.51	Joinpoint 1	NA	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2018	0.50	0.50	NA	-2.0688	1	1
All	Men	1	Light Drinker	"alcohol_amt"	2019	0.49	0.49	NA	-2.0688	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2011	0.45	0.45	NA	1.9332*	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2012	0.46	0.46	NA	1.9332*	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2013	0.46	0.47	NA	1.9332*	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2014	0.49	0.48	NA	1.9332*	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2015	0.48	0.49	NA	1.9332*	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2016	0.49	0.49	Joinpoint 1	NA	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2017	0.49	0.49	NA	-1.1140	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2018	0.49	0.48	NA	-1.1140	1	1
All	Men	2	Light Drinker	"alcohol_amt"	2019	0.48	0.48	NA	-1.1140	1	1
All	Men	3	Light Drinker	"alcohol_amt"	2011	0.47	0.47	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2012	0.48	0.47	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2013	0.48	0.47	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2014	0.47	0.48	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2015	0.47	0.48	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2016	0.48	0.48	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2017	0.49	0.48	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2018	0.49	0.48	NA	0.3865	0	0
All	Men	3	Light Drinker	"alcohol_amt"	2019	0.49	0.49	NA	0.3865	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2011	0.46	0.46	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2012	0.46	0.46	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2013	0.45	0.46	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2014	0.47	0.47	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2015	0.47	0.47	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2016	0.48	0.48	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2017	0.48	0.48	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2018	0.48	0.49	NA	0.9220*	0	0
All	Men	4	Light Drinker	"alcohol_amt"	2019	0.49	0.49	NA	0.9220*	0	0
All	Men	5	Light Drinker	"alcohol_amt"	2011	0.40	0.39	NA	2.4138*	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2012	0.40	0.40	NA	2.4138*	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2013	0.41	0.41	NA	2.4138*	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2014	0.42	0.42	NA	2.4138*	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2015	0.43	0.43	NA	2.4138*	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2016	0.45	0.44	NA	2.4138*	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2017	0.45	0.45	Joinpoint 1	NA	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2018	0.45	0.45	NA	-1.2802	1	1
All	Men	5	Light Drinker	"alcohol_amt"	2019	0.44	0.44	NA	-1.2802	1	1
All	Women	1	Light Drinker	"alcohol_amt"	2011	0.62	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2012	0.63	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2013	0.62	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2014	0.62	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2015	0.61	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2016	0.61	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2017	0.63	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2018	0.63	0.62	NA	0.0647	0	0
All	Women	1	Light Drinker	"alcohol_amt"	2019	0.62	0.62	NA	0.0647	0	0
All	Women	2	Light Drinker	"alcohol_amt"	2011	0.60	0.59	NA	1.2661*	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2012	0.60	0.60	NA	1.2661*	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2013	0.60	0.61	NA	1.2661*	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2014	0.62	0.62	NA	1.2661*	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2015	0.62	0.63	NA	1.2661*	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2016	0.63	0.63	Joinpoint 1	NA	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2017	0.63	0.63	NA	-0.7642	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2018	0.63	0.62	NA	-0.7642	1	1
All	Women	2	Light Drinker	"alcohol_amt"	2019	0.62	0.62	NA	-0.7642	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2011	0.59	0.59	NA	0.7030	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2012	0.59	0.59	NA	0.7030	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2013	0.60	0.60	NA	0.7030	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2014	0.60	0.60	Joinpoint 1	NA	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2015	0.60	0.60	NA	-0.3769	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2016	0.59	0.60	NA	-0.3769	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2017	0.59	0.59	NA	-0.3769	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2018	0.59	0.59	NA	-0.3769	1	1
All	Women	3	Light Drinker	"alcohol_amt"	2019	0.59	0.59	NA	-0.3769	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2011	0.58	0.57	NA	0.8498	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2012	0.57	0.58	NA	0.8498	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2013	0.57	0.58	NA	0.8498	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2014	0.58	0.59	NA	0.8498	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2015	0.60	0.59	NA	0.8498	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2016	0.60	0.60	Joinpoint 1	NA	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2017	0.59	0.59	NA	-0.7565	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2018	0.58	0.59	NA	-0.7565	1	1
All	Women	4	Light Drinker	"alcohol_amt"	2019	0.59	0.58	NA	-0.7565	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2011	0.50	0.51	NA	1.0211*	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2012	0.52	0.51	NA	1.0211*	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2013	0.52	0.52	NA	1.0211*	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2014	0.53	0.52	NA	1.0211*	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2015	0.52	0.53	NA	1.0211*	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2016	0.53	0.53	NA	1.0211*	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2017	0.54	0.54	Joinpoint 1	NA	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2018	0.54	0.53	NA	-1.2412	1	1
All	Women	5	Light Drinker	"alcohol_amt"	2019	0.52	0.53	NA	-1.2412	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2011	0.40	0.40	NA	-2.2608*	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2012	0.39	0.39	NA	-2.2608*	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2013	0.39	0.38	NA	-2.2608*	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2014	0.38	0.37	NA	-2.2608*	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2015	0.37	0.37	NA	-2.2608*	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2016	0.35	0.36	NA	-2.2608*	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2017	0.35	0.35	Joinpoint 1	NA	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2018	0.35	0.36	NA	1.7397	1	1
All	Men	1	Moderate Drinker	"alcohol_amt"	2019	0.36	0.36	NA	1.7397	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2011	0.38	0.39	NA	-2.0900*	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2012	0.38	0.38	NA	-2.0900*	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2013	0.38	0.37	NA	-2.0900*	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2014	0.35	0.36	NA	-2.0900*	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2015	0.36	0.35	NA	-2.0900*	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2016	0.35	0.35	Joinpoint 1	NA	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2017	0.35	0.35	NA	1.1588	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2018	0.35	0.36	NA	1.1588	1	1
All	Men	2	Moderate Drinker	"alcohol_amt"	2019	0.36	0.36	NA	1.1588	1	1
All	Men	3	Moderate Drinker	"alcohol_amt"	2011	0.36	0.36	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2012	0.35	0.35	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2013	0.35	0.35	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2014	0.35	0.34	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2015	0.34	0.33	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2016	0.33	0.33	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2017	0.31	0.32	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2018	0.31	0.32	NA	-1.7569*	0	0
All	Men	3	Moderate Drinker	"alcohol_amt"	2019	0.32	0.31	NA	-1.7569*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2011	0.32	0.32	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2012	0.32	0.32	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2013	0.31	0.31	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2014	0.30	0.30	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2015	0.29	0.29	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2016	0.28	0.28	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2017	0.28	0.28	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2018	0.27	0.27	NA	-2.5337*	0	0
All	Men	4	Moderate Drinker	"alcohol_amt"	2019	0.27	0.26	NA	-2.5337*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2011	0.27	0.27	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2012	0.27	0.27	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2013	0.26	0.26	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2014	0.27	0.26	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2015	0.26	0.25	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2016	0.25	0.25	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2017	0.24	0.24	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2018	0.24	0.24	NA	-1.9355*	0	0
All	Men	5	Moderate Drinker	"alcohol_amt"	2019	0.24	0.24	NA	-1.9355*	0	0
All	Women	1	Moderate Drinker	"alcohol_amt"	2011	0.23	0.23	NA	0.7029	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2012	0.23	0.23	NA	0.7029	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2013	0.23	0.23	NA	0.7029	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2014	0.23	0.23	NA	0.7029	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2015	0.24	0.24	Joinpoint 1	NA	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2016	0.23	0.23	NA	-3.4795*	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2017	0.22	0.22	NA	-3.4795*	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2018	0.21	0.21	NA	-3.4795*	1	1
All	Women	1	Moderate Drinker	"alcohol_amt"	2019	0.21	0.20	NA	-3.4795*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2011	0.23	0.23	NA	-3.9256*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2012	0.22	0.22	NA	-3.9256*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2013	0.22	0.22	NA	-3.9256*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2014	0.21	0.21	NA	-3.9256*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2015	0.20	0.20	NA	-3.9256*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2016	0.19	0.19	NA	-3.9256*	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2017	0.18	0.18	Joinpoint 1	NA	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2018	0.20	0.20	NA	8.2982	1	1
All	Women	2	Moderate Drinker	"alcohol_amt"	2019	0.21	0.22	NA	8.2982	1	1
All	Women	3	Moderate Drinker	"alcohol_amt"	2011	0.20	0.20	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2012	0.20	0.20	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2013	0.19	0.20	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2014	0.19	0.19	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2015	0.19	0.19	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2016	0.20	0.19	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2017	0.19	0.19	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2018	0.19	0.18	NA	-1.1821*	0	0
All	Women	3	Moderate Drinker	"alcohol_amt"	2019	0.18	0.18	NA	-1.1821*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2011	0.16	0.17	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2012	0.17	0.16	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2013	0.17	0.16	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2014	0.17	0.16	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2015	0.15	0.15	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2016	0.14	0.15	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2017	0.15	0.15	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2018	0.14	0.14	NA	-2.1221*	0	0
All	Women	4	Moderate Drinker	"alcohol_amt"	2019	0.14	0.14	NA	-2.1221*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2011	0.14	0.14	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2012	0.14	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2013	0.13	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2014	0.13	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2015	0.13	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2016	0.13	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2017	0.12	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2018	0.13	0.13	NA	-0.8403*	0	0
All	Women	5	Moderate Drinker	"alcohol_amt"	2019	0.13	0.13	NA	-0.8403*	0	0
All	Men	1	Non-Drinker	"alcohol_amt"	2011	0.07	0.07	NA	-1.3000	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2012	0.07	0.07	NA	-1.3000	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2013	0.07	0.07	NA	-1.3000	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2014	0.07	0.07	Joinpoint 1	NA	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2015	0.07	0.07	NA	3.2917*	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2016	0.08	0.08	NA	3.2917*	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2017	0.08	0.08	NA	3.2917*	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2018	0.08	0.08	NA	3.2917*	1	1
All	Men	1	Non-Drinker	"alcohol_amt"	2019	0.08	0.08	NA	3.2917*	1	1
