"Year","Country","Cancer_Site","Sex","ASR"
2014,"Scotland","All sites excl. NSMC","Men",724.067944108283
2015,"Scotland","All sites excl. NSMC","Men",701.19314499243
2016,"Scotland","All sites excl. NSMC","Men",694.266611210807
2017,"Scotland","All sites excl. NSMC","Men",693.146230785206
2018,"Scotland","All sites excl. NSMC","Men",714.849737381691
2019,"Scotland","All sites excl. NSMC","Men",668.106597663738
2000,"Scotland","All sites excl. NSMC","Women",555.088078403344
2001,"Scotland","All sites excl. NSMC","Women",542.953427755356
2002,"Scotland","All sites excl. NSMC","Women",545.950805866468
2003,"Scotland","All sites excl. NSMC","Women",552.114359384663
2004,"Scotland","All sites excl. NSMC","Women",563.819505973967
2005,"Scotland","All sites excl. NSMC","Women",557.924547087738
2006,"Scotland","All sites excl. NSMC","Women",557.995529724028
2007,"Scotland","All sites excl. NSMC","Women",577.831802294762
2008,"Scotland","All sites excl. NSMC","Women",586.117896158362
2009,"Scotland","All sites excl. NSMC","Women",593.055322391262
2010,"Scotland","All sites excl. NSMC","Women",594.533641695318
2011,"Scotland","All sites excl. NSMC","Women",591.009324766022
2012,"Scotland","All sites excl. NSMC","Women",598.890439350632
2013,"Scotland","All sites excl. NSMC","Women",599.376972738892
2014,"Scotland","All sites excl. NSMC","Women",596.890214098054
2015,"Scotland","All sites excl. NSMC","Women",596.018392442247
2016,"Scotland","All sites excl. NSMC","Women",586.376590379784
2017,"Scotland","All sites excl. NSMC","Women",582.197820821042
2018,"Scotland","All sites excl. NSMC","Women",608.367975897735
2019,"Scotland","All sites excl. NSMC","Women",581.22508059258
2002,"Wales","All sites excl. NSMC","Men",713
2003,"Wales","All sites excl. NSMC","Men",736.7
2004,"Wales","All sites excl. NSMC","Men",754.3
2005,"Wales","All sites excl. NSMC","Men",726.1
2006,"Wales","All sites excl. NSMC","Men",747
2007,"Wales","All sites excl. NSMC","Men",747.7
2008,"Wales","All sites excl. NSMC","Men",745
2009,"Wales","All sites excl. NSMC","Men",723.2
2010,"Wales","All sites excl. NSMC","Men",728
2011,"Wales","All sites excl. NSMC","Men",718.7
2012,"Wales","All sites excl. NSMC","Men",702.8
2013,"Wales","All sites excl. NSMC","Men",732.4
2014,"Wales","All sites excl. NSMC","Men",726
2015,"Wales","All sites excl. NSMC","Men",704.8
2016,"Wales","All sites excl. NSMC","Men",704.6
2017,"Wales","All sites excl. NSMC","Men",672.4
2018,"Wales","All sites excl. NSMC","Men",723.5
2019,"Wales","All sites excl. NSMC","Men",694.9
2002,"Wales","All sites excl. NSMC","Women",530.9
2003,"Wales","All sites excl. NSMC","Women",528
2004,"Wales","All sites excl. NSMC","Women",538.9
2005,"Wales","All sites excl. NSMC","Women",535.5
2006,"Wales","All sites excl. NSMC","Women",552
2007,"Wales","All sites excl. NSMC","Women",544.2
2008,"Wales","All sites excl. NSMC","Women",559.7
2009,"Wales","All sites excl. NSMC","Women",552.7
2010,"Wales","All sites excl. NSMC","Women",560.8
2011,"Wales","All sites excl. NSMC","Women",564.7
2012,"Wales","All sites excl. NSMC","Women",550.8
2013,"Wales","All sites excl. NSMC","Women",582.9
2014,"Wales","All sites excl. NSMC","Women",579
2015,"Wales","All sites excl. NSMC","Women",567.9
2016,"Wales","All sites excl. NSMC","Women",562.2
2017,"Wales","All sites excl. NSMC","Women",540.4
2018,"Wales","All sites excl. NSMC","Women",546.5
2019,"Wales","All sites excl. NSMC","Women",552.6
2000,"England","Breast","Women",150.8
2001,"England","Breast","Women",152.7
2002,"England","Breast","Women",151.9
2003,"England","Breast","Women",159.8
2004,"England","Breast","Women",159.9
2005,"England","Breast","Women",162.8
2006,"England","Breast","Women",161.4
2007,"England","Breast","Women",159.8
2008,"England","Breast","Women",165.3
2009,"England","Breast","Women",162.8
2010,"England","Breast","Women",165.2
2011,"England","Breast","Women",164.1
2012,"England","Breast","Women",166.2
2013,"England","Breast","Women",171.3
2014,"England","Breast","Women",174.2
2015,"England","Breast","Women",171
2016,"England","Breast","Women",168.8
2017,"England","Breast","Women",167.3
2018,"England","Breast","Women",172.3
2019,"England","Breast","Women",171.3
2000,"Nothern Ireland","Breast","Women",136.6
2001,"Nothern Ireland","Breast","Women",130.6
2002,"Nothern Ireland","Breast","Women",132.4
2003,"Nothern Ireland","Breast","Women",142.4
2004,"Nothern Ireland","Breast","Women",153.9
2005,"Nothern Ireland","Breast","Women",144
2006,"Nothern Ireland","Breast","Women",130.8
2007,"Nothern Ireland","Breast","Women",151.4
2008,"Nothern Ireland","Breast","Women",151.6
2009,"Nothern Ireland","Breast","Women",156.4
2010,"Nothern Ireland","Breast","Women",151.2
2011,"Nothern Ireland","Breast","Women",159
2012,"Nothern Ireland","Breast","Women",161.2
2013,"Nothern Ireland","Breast","Women",155.6
2014,"Nothern Ireland","Breast","Women",152.3
2015,"Nothern Ireland","Breast","Women",170.8
2016,"Nothern Ireland","Breast","Women",165.4
2017,"Nothern Ireland","Breast","Women",167.8
2018,"Nothern Ireland","Breast","Women",170
2019,"Nothern Ireland","Breast","Women",161.6
2000,"Scotland","Breast","Women",152.815240628673
2001,"Scotland","Breast","Women",146.962910472888
2002,"Scotland","Breast","Women",149.789351345364
2003,"Scotland","Breast","Women",156.253935717853
2004,"Scotland","Breast","Women",157.522527302871
2005,"Scotland","Breast","Women",159.373958428378
2006,"Scotland","Breast","Women",161.762057040405
2007,"Scotland","Breast","Women",159.580761927536
2008,"Scotland","Breast","Women",164.178043854661
2009,"Scotland","Breast","Women",166.606458645374
2010,"Scotland","Breast","Women",167.802845832739
2011,"Scotland","Breast","Women",169.806255709858
2012,"Scotland","Breast","Women",169.087571130039
2013,"Scotland","Breast","Women",170.009143169586
2014,"Scotland","Breast","Women",165.00161703167
2015,"Scotland","Breast","Women",169.817163166617
2016,"Scotland","Breast","Women",163.593008653921
2017,"Scotland","Breast","Women",165.144299984608
2018,"Scotland","Breast","Women",175.339888506193
2019,"Scotland","Breast","Women",166.7116913476
2002,"Wales","Breast","Women",160
2003,"Wales","Breast","Women",162.4
2004,"Wales","Breast","Women",160.6
2005,"Wales","Breast","Women",159.7
2006,"Wales","Breast","Women",164.3
2007,"Wales","Breast","Women",162.8
2008,"Wales","Breast","Women",172.1
2009,"Wales","Breast","Women",168
2010,"Wales","Breast","Women",170.4
2011,"Wales","Breast","Women",162.8
2012,"Wales","Breast","Women",156.3
2013,"Wales","Breast","Women",179.4
2014,"Wales","Breast","Women",181.1
2015,"Wales","Breast","Women",174.6
2016,"Wales","Breast","Women",171.5
2017,"Wales","Breast","Women",165.6
2018,"Wales","Breast","Women",165
2019,"Wales","Breast","Women",164.8
2000,"England","Colorectal","Men",90
2001,"England","Colorectal","Men",86.8
2002,"England","Colorectal","Men",85.7
2003,"England","Colorectal","Men",86.6
2004,"England","Colorectal","Men",88.4
2005,"England","Colorectal","Men",89
2006,"England","Colorectal","Men",89.5
2007,"England","Colorectal","Men",89.6
2008,"England","Colorectal","Men",92.9
2009,"England","Colorectal","Men",92.6
2010,"England","Colorectal","Men",92.3
2011,"England","Colorectal","Men",92.9
2012,"England","Colorectal","Men",93.3
2013,"England","Colorectal","Men",88.6
2014,"England","Colorectal","Men",85.7
2015,"England","Colorectal","Men",85.8
2016,"England","Colorectal","Men",85.5
2017,"England","Colorectal","Men",82.9
2018,"England","Colorectal","Men",83.8
2019,"England","Colorectal","Men",85
2000,"England","Colorectal","Women",56.4
2001,"England","Colorectal","Women",54.8
2002,"England","Colorectal","Women",54
2003,"England","Colorectal","Women",54
2004,"England","Colorectal","Women",55.5
2005,"England","Colorectal","Women",56.1
2006,"England","Colorectal","Women",57
2007,"England","Colorectal","Women",58
2008,"England","Colorectal","Women",58.7
2009,"England","Colorectal","Women",58.7
2010,"England","Colorectal","Women",58.7
2011,"England","Colorectal","Women",59.8
2012,"England","Colorectal","Women",59.4
2013,"England","Colorectal","Women",57.6
2014,"England","Colorectal","Women",57.2
2015,"England","Colorectal","Women",57.8
2016,"England","Colorectal","Women",56.3
2017,"England","Colorectal","Women",55.6
2018,"England","Colorectal","Women",56.2
2019,"England","Colorectal","Women",58.1
2000,"Nothern Ireland","Colorectal","Men",88.6
2001,"Nothern Ireland","Colorectal","Men",102.9
2002,"Nothern Ireland","Colorectal","Men",90.2
2003,"Nothern Ireland","Colorectal","Men",103.7
2004,"Nothern Ireland","Colorectal","Men",94.1
2005,"Nothern Ireland","Colorectal","Men",102.2
2006,"Nothern Ireland","Colorectal","Men",102.7
2007,"Nothern Ireland","Colorectal","Men",109.5
2008,"Nothern Ireland","Colorectal","Men",99.2
2009,"Nothern Ireland","Colorectal","Men",103.5
2010,"Nothern Ireland","Colorectal","Men",106.7
2011,"Nothern Ireland","Colorectal","Men",107.2
2012,"Nothern Ireland","Colorectal","Men",111.7
2013,"Nothern Ireland","Colorectal","Men",100.8
2014,"Nothern Ireland","Colorectal","Men",96
2015,"Nothern Ireland","Colorectal","Men",93.1
2016,"Nothern Ireland","Colorectal","Men",90.8
2017,"Nothern Ireland","Colorectal","Men",87.3
2018,"Nothern Ireland","Colorectal","Men",87
2019,"Nothern Ireland","Colorectal","Men",91.8
2000,"Nothern Ireland","Colorectal","Women",60.3
2001,"Nothern Ireland","Colorectal","Women",60.1
2002,"Nothern Ireland","Colorectal","Women",62.4
2003,"Nothern Ireland","Colorectal","Women",61.7
2004,"Nothern Ireland","Colorectal","Women",63.8
2005,"Nothern Ireland","Colorectal","Women",56.8
2006,"Nothern Ireland","Colorectal","Women",62.8
2007,"Nothern Ireland","Colorectal","Women",68.2
2008,"Nothern Ireland","Colorectal","Women",66.4
2009,"Nothern Ireland","Colorectal","Women",60.8
2010,"Nothern Ireland","Colorectal","Women",65.1
2011,"Nothern Ireland","Colorectal","Women",69.8
2012,"Nothern Ireland","Colorectal","Women",64.2
2013,"Nothern Ireland","Colorectal","Women",67.6
2014,"Nothern Ireland","Colorectal","Women",61.3
2015,"Nothern Ireland","Colorectal","Women",57.7
2016,"Nothern Ireland","Colorectal","Women",60.1
2017,"Nothern Ireland","Colorectal","Women",61.3
2018,"Nothern Ireland","Colorectal","Women",60.7
2019,"Nothern Ireland","Colorectal","Women",59
2000,"Scotland","Colorectal","Men",107.969008335662
2001,"Scotland","Colorectal","Men",106.18695229547
2002,"Scotland","Colorectal","Men",101.851932909192
2003,"Scotland","Colorectal","Men",107.45467041526
2004,"Scotland","Colorectal","Men",105.465318484559
2005,"Scotland","Colorectal","Men",101.945836446666
2006,"Scotland","Colorectal","Men",100.29370249649
2007,"Scotland","Colorectal","Men",105.114707608436
2008,"Scotland","Colorectal","Men",108.128448775602
2009,"Scotland","Colorectal","Men",107.715875050662
2010,"Scotland","Colorectal","Men",107.010886761012
2011,"Scotland","Colorectal","Men",107.419167032832
2012,"Scotland","Colorectal","Men",99.6337275973654
2013,"Scotland","Colorectal","Men",96.4720747517496
2014,"Scotland","Colorectal","Men",93.6447508962657
2015,"Scotland","Colorectal","Men",88.9563005480991
2016,"Scotland","Colorectal","Men",85.5417778537054
2017,"Scotland","Colorectal","Men",92.2043376240734
2018,"Scotland","Colorectal","Men",90.2137372934996
2019,"Scotland","Colorectal","Men",89.214133841999
2000,"Scotland","Colorectal","Women",68.7400312161517
2001,"Scotland","Colorectal","Women",68.3132596132647
2002,"Scotland","Colorectal","Women",64.3848605344358
2003,"Scotland","Colorectal","Women",61.8845732380556
2004,"Scotland","Colorectal","Women",63.9215505907666
2005,"Scotland","Colorectal","Women",62.7807653568498
2006,"Scotland","Colorectal","Women",63.6584268723609
2007,"Scotland","Colorectal","Women",66.0553459006584
2008,"Scotland","Colorectal","Women",67.9196771577461
2009,"Scotland","Colorectal","Women",68.4766059400986
2010,"Scotland","Colorectal","Women",68.4204612022791
2011,"Scotland","Colorectal","Women",65.8994057846844
2012,"Scotland","Colorectal","Women",65.4993160495791
2013,"Scotland","Colorectal","Women",63.2642260134232
2014,"Scotland","Colorectal","Women",60.0375188522401
2015,"Scotland","Colorectal","Women",60.8297831552653
2016,"Scotland","Colorectal","Women",62.7077733143617
2017,"Scotland","Colorectal","Women",56.8774743603168
2018,"Scotland","Colorectal","Women",66.9228738912829
2019,"Scotland","Colorectal","Women",64.3883801634002
2002,"Wales","Colorectal","Men",91
2003,"Wales","Colorectal","Men",97.7
2004,"Wales","Colorectal","Men",96.3
2005,"Wales","Colorectal","Men",97.5
2006,"Wales","Colorectal","Men",97.7
2007,"Wales","Colorectal","Men",100.1
2008,"Wales","Colorectal","Men",102.1
2009,"Wales","Colorectal","Men",105.6
2010,"Wales","Colorectal","Men",109.1
2011,"Wales","Colorectal","Men",98
2012,"Wales","Colorectal","Men",104.3
2013,"Wales","Colorectal","Men",99.2
2014,"Wales","Colorectal","Men",98.6
2015,"Wales","Colorectal","Men",91.9
2016,"Wales","Colorectal","Men",93.8
2017,"Wales","Colorectal","Men",90.3
2018,"Wales","Colorectal","Men",88.5
2019,"Wales","Colorectal","Men",92.3
2002,"Wales","Colorectal","Women",56.4
2003,"Wales","Colorectal","Women",55.1
2004,"Wales","Colorectal","Women",57.7
2005,"Wales","Colorectal","Women",55.4
2006,"Wales","Colorectal","Women",60.3
2007,"Wales","Colorectal","Women",62.7
2008,"Wales","Colorectal","Women",61
2009,"Wales","Colorectal","Women",62.2
2010,"Wales","Colorectal","Women",57.4
2011,"Wales","Colorectal","Women",65
2012,"Wales","Colorectal","Women",63.9
2013,"Wales","Colorectal","Women",57.9
2014,"Wales","Colorectal","Women",61.7
2015,"Wales","Colorectal","Women",58.5
2016,"Wales","Colorectal","Women",56.7
2017,"Wales","Colorectal","Women",57.4
2018,"Wales","Colorectal","Women",55.1
2019,"Wales","Colorectal","Women",62.6
2000,"England","Lung","Men",112
2001,"England","Lung","Men",108.6
2002,"England","Lung","Men",102.8
2003,"England","Lung","Men",100.1
2004,"England","Lung","Men",101.7
2005,"England","Lung","Men",99.4
2006,"England","Lung","Men",101.4
2007,"England","Lung","Men",98.9
2008,"England","Lung","Men",99.7
2009,"England","Lung","Men",96.1
2010,"England","Lung","Men",96.2
2011,"England","Lung","Men",96.3
2012,"England","Lung","Men",97
2013,"England","Lung","Men",95.3
2014,"England","Lung","Men",93.3
2015,"England","Lung","Men",91.4
2016,"England","Lung","Men",92
2017,"England","Lung","Men",88.4
2018,"England","Lung","Men",86.6
2019,"England","Lung","Men",85.5
2000,"England","Lung","Women",53.3
2001,"England","Lung","Women",53.2
2002,"England","Lung","Women",52.3
2003,"England","Lung","Women",53.8
2004,"England","Lung","Women",53.9
2005,"England","Lung","Women",55.9
2006,"England","Lung","Women",58
2007,"England","Lung","Women",58.7
2008,"England","Lung","Women",61.2
2009,"England","Lung","Women",61.1
2010,"England","Lung","Women",61.9
2011,"England","Lung","Women",63.9
2012,"England","Lung","Women",66.2
2013,"England","Lung","Women",66.5
2014,"England","Lung","Women",66.5
2015,"England","Lung","Women",67.1
2016,"England","Lung","Women",67.3
2017,"England","Lung","Women",68.5
2018,"England","Lung","Women",67.8
2019,"England","Lung","Women",67.7
2000,"Nothern Ireland","Lung","Men",103.1
2001,"Nothern Ireland","Lung","Men",110.1
2002,"Nothern Ireland","Lung","Men",98.7
2003,"Nothern Ireland","Lung","Men",102.3
2004,"Nothern Ireland","Lung","Men",112
2005,"Nothern Ireland","Lung","Men",102.2
2006,"Nothern Ireland","Lung","Men",103.1
2007,"Nothern Ireland","Lung","Men",104.2
2008,"Nothern Ireland","Lung","Men",115.3
2009,"Nothern Ireland","Lung","Men",104.2
2010,"Nothern Ireland","Lung","Men",105.8
2011,"Nothern Ireland","Lung","Men",106.4
2012,"Nothern Ireland","Lung","Men",104.9
2013,"Nothern Ireland","Lung","Men",105.4
2014,"Nothern Ireland","Lung","Men",99.8
2015,"Nothern Ireland","Lung","Men",100.3
2016,"Nothern Ireland","Lung","Men",96.2
2017,"Nothern Ireland","Lung","Men",102.6
2018,"Nothern Ireland","Lung","Men",96.6
2019,"Nothern Ireland","Lung","Men",92.5
2000,"Nothern Ireland","Lung","Women",50.4
2001,"Nothern Ireland","Lung","Women",46.6
2002,"Nothern Ireland","Lung","Women",53.4
2003,"Nothern Ireland","Lung","Women",52
2004,"Nothern Ireland","Lung","Women",52.6
2005,"Nothern Ireland","Lung","Women",54.2
2006,"Nothern Ireland","Lung","Women",51.2
2007,"Nothern Ireland","Lung","Women",57.7
2008,"Nothern Ireland","Lung","Women",54.5
2009,"Nothern Ireland","Lung","Women",61.3
2010,"Nothern Ireland","Lung","Women",54.6
2011,"Nothern Ireland","Lung","Women",59.6
2012,"Nothern Ireland","Lung","Women",67.7
2013,"Nothern Ireland","Lung","Women",68.9
2014,"Nothern Ireland","Lung","Women",72.6
2015,"Nothern Ireland","Lung","Women",71.1
2016,"Nothern Ireland","Lung","Women",83.7
2017,"Nothern Ireland","Lung","Women",74.7
2018,"Nothern Ireland","Lung","Women",70.6
2019,"Nothern Ireland","Lung","Women",78.6
2000,"Scotland","Lung","Men",146.772502920236
2001,"Scotland","Lung","Men",143.073898779435
2002,"Scotland","Lung","Men",149.246316338881
2003,"Scotland","Lung","Men",140.522101436357
2004,"Scotland","Lung","Men",139.47749912621
2005,"Scotland","Lung","Men",137.813005976094
2006,"Scotland","Lung","Men",136.85776807434
2007,"Scotland","Lung","Men",134.996960614576
2008,"Scotland","Lung","Men",128.833267282896
2009,"Scotland","Lung","Men",137.388518482448
2010,"Scotland","Lung","Men",127.929432332767
2011,"Scotland","Lung","Men",128.98612621419
2012,"Scotland","Lung","Men",125.189158705261
2013,"Scotland","Lung","Men",124.92667961713
2014,"Scotland","Lung","Men",126.58267876244
2015,"Scotland","Lung","Men",116.519176542618
2016,"Scotland","Lung","Men",113.935789212105
2017,"Scotland","Lung","Men",113.884712919638
2018,"Scotland","Lung","Men",111.509465566038
2019,"Scotland","Lung","Men",106.32644847711
2000,"Scotland","Lung","Women",83.6748346369389
2001,"Scotland","Lung","Women",75.9287052673756
2002,"Scotland","Lung","Women",83.3589760959346
2003,"Scotland","Lung","Women",82.2003760305971
2004,"Scotland","Lung","Women",87.783852614209
2005,"Scotland","Lung","Women",85.4672094629554
2006,"Scotland","Lung","Women",89.2813094110491
2007,"Scotland","Lung","Women",92.3259718693339
2008,"Scotland","Lung","Women",93.5814756631253
2009,"Scotland","Lung","Women",92.5206195256242
2010,"Scotland","Lung","Women",93.6484580697456
2011,"Scotland","Lung","Women",95.4369620862694
2012,"Scotland","Lung","Women",97.211994367119
2013,"Scotland","Lung","Women",97.9311258481111
2014,"Scotland","Lung","Women",99.036239558394
2015,"Scotland","Lung","Women",92.3230214856779
2016,"Scotland","Lung","Women",93.8722023855589
2017,"Scotland","Lung","Women",97.447895764599
2018,"Scotland","Lung","Women",98.6957297318721
2019,"Scotland","Lung","Women",92.9199389720412
2002,"Wales","Lung","Men",109.8
2003,"Wales","Lung","Men",112.7
2004,"Wales","Lung","Men",112.9
2005,"Wales","Lung","Men",104.6
2006,"Wales","Lung","Men",111.2
2007,"Wales","Lung","Men",108.3
2008,"Wales","Lung","Men",110.4
2009,"Wales","Lung","Men",104.2
2010,"Wales","Lung","Men",102.8
2011,"Wales","Lung","Men",105.4
2012,"Wales","Lung","Men",93.4
2013,"Wales","Lung","Men",101.5
2014,"Wales","Lung","Men",94.9
2015,"Wales","Lung","Men",92.9
2016,"Wales","Lung","Men",90.9
2017,"Wales","Lung","Men",85.3
2018,"Wales","Lung","Men",90.4
2019,"Wales","Lung","Men",86
2002,"Wales","Lung","Women",57
2003,"Wales","Lung","Women",55.3
2004,"Wales","Lung","Women",63.5
2005,"Wales","Lung","Women",61.5
2006,"Wales","Lung","Women",65.3
2007,"Wales","Lung","Women",60.9
2008,"Wales","Lung","Women",68.9
2009,"Wales","Lung","Women",61.5
2010,"Wales","Lung","Women",66
2011,"Wales","Lung","Women",66.7
2012,"Wales","Lung","Women",71.8
2013,"Wales","Lung","Women",66.9
2014,"Wales","Lung","Women",68.3
2015,"Wales","Lung","Women",70.8
2016,"Wales","Lung","Women",73
2017,"Wales","Lung","Women",67.7
2018,"Wales","Lung","Women",68.4
2019,"Wales","Lung","Women",68.2
2000,"England","Oesophageal","Men",21.2
2001,"England","Oesophageal","Men",21.5
2002,"England","Oesophageal","Men",21.7
2003,"England","Oesophageal","Men",21.8
2004,"England","Oesophageal","Men",21.8
2005,"England","Oesophageal","Men",21.9
2006,"England","Oesophageal","Men",22
2007,"England","Oesophageal","Men",22.2
2008,"England","Oesophageal","Men",23.2
2009,"England","Oesophageal","Men",22.4
2010,"England","Oesophageal","Men",22.8
2011,"England","Oesophageal","Men",22.5
2012,"England","Oesophageal","Men",23.3
2013,"England","Oesophageal","Men",22.5
2014,"England","Oesophageal","Men",22
2015,"England","Oesophageal","Men",23
2016,"England","Oesophageal","Men",22.8
2017,"England","Oesophageal","Men",22.4
2018,"England","Oesophageal","Men",22.6
2019,"England","Oesophageal","Men",22
2000,"England","Oesophageal","Women",9.7
2001,"England","Oesophageal","Women",9.6
2002,"England","Oesophageal","Women",9.3
2003,"England","Oesophageal","Women",9.4
2004,"England","Oesophageal","Women",9.1
2005,"England","Oesophageal","Women",9.3
2006,"England","Oesophageal","Women",9.3
2007,"England","Oesophageal","Women",9.1
2008,"England","Oesophageal","Women",9
2009,"England","Oesophageal","Women",8.8
2010,"England","Oesophageal","Women",9
2011,"England","Oesophageal","Women",8.7
2012,"England","Oesophageal","Women",9.1
2013,"England","Oesophageal","Women",9.1
2014,"England","Oesophageal","Women",8.8
2015,"England","Oesophageal","Women",8.8
2016,"England","Oesophageal","Women",8.4
2017,"England","Oesophageal","Women",8.1
2018,"England","Oesophageal","Women",8.3
2019,"England","Oesophageal","Women",8.1
2000,"Nothern Ireland","Oesophageal","Men",13.9
2001,"Nothern Ireland","Oesophageal","Men",19.8
2002,"Nothern Ireland","Oesophageal","Men",16.9
2003,"Nothern Ireland","Oesophageal","Men",18.4
2004,"Nothern Ireland","Oesophageal","Men",18.9
2005,"Nothern Ireland","Oesophageal","Men",19.6
2006,"Nothern Ireland","Oesophageal","Men",21
2007,"Nothern Ireland","Oesophageal","Men",21.7
2008,"Nothern Ireland","Oesophageal","Men",19.8
2009,"Nothern Ireland","Oesophageal","Men",17.8
2010,"Nothern Ireland","Oesophageal","Men",18.7
2011,"Nothern Ireland","Oesophageal","Men",20
2012,"Nothern Ireland","Oesophageal","Men",21.7
2013,"Nothern Ireland","Oesophageal","Men",19.8
2014,"Nothern Ireland","Oesophageal","Men",21.8
2015,"Nothern Ireland","Oesophageal","Men",18.1
