"Cancer_Site"	"Country"	"Sex"	"Year"	"ASR"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All sites excl. NSMC	Scotland	Women	2003	552.11	555.88	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2004	563.82	560.61	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2005	557.92	565.37	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2006	558.00	570.18	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2007	577.83	575.03	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2008	586.12	579.93	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2009	593.06	584.86	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2010	594.53	589.83	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2011	591.01	594.85	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2012	598.89	599.91	Joinpoint 1	NA	1	1
All sites excl. NSMC	Scotland	Women	2013	599.38	598.16	NA	-0.2919	1	1
All sites excl. NSMC	Scotland	Women	2014	596.89	596.42	NA	-0.2919	1	1
All sites excl. NSMC	Scotland	Women	2015	596.02	594.67	NA	-0.2919	1	1
All sites excl. NSMC	Scotland	Women	2016	586.38	592.94	NA	-0.2919	1	1
All sites excl. NSMC	Scotland	Women	2017	582.20	591.21	NA	-0.2919	1	1
All sites excl. NSMC	Scotland	Women	2018	608.37	589.48	NA	-0.2919	1	1
All sites excl. NSMC	Scotland	Women	2019	581.23	587.76	NA	-0.2919	1	1
All sites excl. NSMC	Wales	Men	2002	713.00	744.15	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2003	736.70	741.51	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2004	754.30	738.88	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2005	726.10	736.25	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2006	747.00	733.64	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2007	747.70	731.04	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2008	745.00	728.44	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2009	723.20	725.85	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2010	728.00	723.28	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2011	718.70	720.71	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2012	702.80	718.15	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2013	732.40	715.60	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2014	726.00	713.06	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2015	704.80	710.53	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2016	704.60	708.00	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2017	672.40	705.49	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2018	723.50	702.99	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Men	2019	694.90	700.49	NA	-0.3551*	0	0
All sites excl. NSMC	Wales	Women	2002	530.90	529.46	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2003	528.00	533.09	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2004	538.90	536.74	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2005	535.50	540.42	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2006	552.00	544.12	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2007	544.20	547.85	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2008	559.70	551.61	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2009	552.70	555.39	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2010	560.80	559.19	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2011	564.70	563.02	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2012	550.80	566.88	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2013	582.90	570.77	NA	0.6853*	1	1
All sites excl. NSMC	Wales	Women	2014	579.00	574.68	Joinpoint 1	NA	1	1
All sites excl. NSMC	Wales	Women	2015	567.90	568.06	NA	-1.1520*	1	1
All sites excl. NSMC	Wales	Women	2016	562.20	561.51	NA	-1.1520*	1	1
All sites excl. NSMC	Wales	Women	2017	540.40	555.05	NA	-1.1520*	1	1
All sites excl. NSMC	Wales	Women	2018	546.50	548.65	NA	-1.1520*	1	1
All sites excl. NSMC	Wales	Women	2019	552.60	542.33	NA	-1.1520*	1	1
Breast	England	Women	2000	150.80	149.92	NA	1.6996*	1	1
Breast	England	Women	2001	152.70	152.47	NA	1.6996*	1	1
Breast	England	Women	2002	151.90	155.06	NA	1.6996*	1	1
Breast	England	Women	2003	159.80	157.70	NA	1.6996*	1	1
Breast	England	Women	2004	159.90	160.38	Joinpoint 1	NA	1	1
Breast	England	Women	2005	162.80	161.17	NA	0.4946*	1	1
Breast	England	Women	2006	161.40	161.97	NA	0.4946*	1	1
Breast	England	Women	2007	159.80	162.77	NA	0.4946*	1	1
Breast	England	Women	2008	165.30	163.57	NA	0.4946*	1	1
Breast	England	Women	2009	162.80	164.38	NA	0.4946*	1	1
Breast	England	Women	2010	165.20	165.20	NA	0.4946*	1	1
Breast	England	Women	2011	164.10	166.01	NA	0.4946*	1	1
Breast	England	Women	2012	166.20	166.83	NA	0.4946*	1	1
Breast	England	Women	2013	171.30	167.66	NA	0.4946*	1	1
Breast	England	Women	2014	174.20	168.49	NA	0.4946*	1	1
Breast	England	Women	2015	171.00	169.32	NA	0.4946*	1	1
Breast	England	Women	2016	168.80	170.16	NA	0.4946*	1	1
Breast	England	Women	2017	167.30	171.00	NA	0.4946*	1	1
Breast	England	Women	2018	172.30	171.85	NA	0.4946*	1	1
Breast	England	Women	2019	171.30	172.70	NA	0.4946*	1	1
Breast	Nothern Ireland	Women	2000	136.60	134.90	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2001	130.60	136.58	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2002	132.40	138.28	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2003	142.40	140.00	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2004	153.90	141.75	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2005	144.00	143.51	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2006	130.80	145.30	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2007	151.40	147.11	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2008	151.60	148.94	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2009	156.40	150.80	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2010	151.20	152.68	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2011	159.00	154.58	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2012	161.20	156.51	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2013	155.60	158.46	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2014	152.30	160.43	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2015	170.80	162.43	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2016	165.40	164.45	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2017	167.80	166.50	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2018	170.00	168.57	NA	1.2456*	0	0
Breast	Nothern Ireland	Women	2019	161.60	170.67	NA	1.2456*	0	0
Breast	Scotland	Women	2000	152.82	149.03	NA	1.2223*	1	1
Breast	Scotland	Women	2001	146.96	150.85	NA	1.2223*	1	1
Breast	Scotland	Women	2002	149.79	152.69	NA	1.2223*	1	1
Breast	Scotland	Women	2003	156.25	154.56	NA	1.2223*	1	1
Breast	Scotland	Women	2004	157.52	156.45	NA	1.2223*	1	1
Breast	Scotland	Women	2005	159.37	158.36	NA	1.2223*	1	1
Breast	Scotland	Women	2006	161.76	160.30	NA	1.2223*	1	1
Breast	Scotland	Women	2007	159.58	162.25	NA	1.2223*	1	1
Breast	Scotland	Women	2008	164.18	164.24	NA	1.2223*	1	1
Breast	Scotland	Women	2009	166.61	166.25	NA	1.2223*	1	1
Breast	Scotland	Women	2010	167.80	168.28	Joinpoint 1	NA	1	1
Breast	Scotland	Women	2011	169.81	168.25	NA	-0.0140	1	1
Breast	Scotland	Women	2012	169.09	168.23	NA	-0.0140	1	1
Breast	Scotland	Women	2013	170.01	168.21	NA	-0.0140	1	1
Breast	Scotland	Women	2014	165.00	168.18	NA	-0.0140	1	1
Breast	Scotland	Women	2015	169.82	168.16	NA	-0.0140	1	1
Breast	Scotland	Women	2016	163.59	168.14	NA	-0.0140	1	1
Breast	Scotland	Women	2017	165.14	168.11	NA	-0.0140	1	1
Breast	Scotland	Women	2018	175.34	168.09	NA	-0.0140	1	1
Breast	Scotland	Women	2019	166.71	168.07	NA	-0.0140	1	1
Breast	Wales	Women	2002	160.00	162.06	NA	0.3268	0	0
Breast	Wales	Women	2003	162.40	162.59	NA	0.3268	0	0
Breast	Wales	Women	2004	160.60	163.12	NA	0.3268	0	0
Breast	Wales	Women	2005	159.70	163.65	NA	0.3268	0	0
Breast	Wales	Women	2006	164.30	164.18	NA	0.3268	0	0
Breast	Wales	Women	2007	162.80	164.72	NA	0.3268	0	0
Breast	Wales	Women	2008	172.10	165.26	NA	0.3268	0	0
Breast	Wales	Women	2009	168.00	165.80	NA	0.3268	0	0
Breast	Wales	Women	2010	170.40	166.34	NA	0.3268	0	0
Breast	Wales	Women	2011	162.80	166.89	NA	0.3268	0	0
Breast	Wales	Women	2012	156.30	167.43	NA	0.3268	0	0
Breast	Wales	Women	2013	179.40	167.98	NA	0.3268	0	0
Breast	Wales	Women	2014	181.10	168.53	NA	0.3268	0	0
Breast	Wales	Women	2015	174.60	169.08	NA	0.3268	0	0
Breast	Wales	Women	2016	171.50	169.63	NA	0.3268	0	0
Breast	Wales	Women	2017	165.60	170.18	NA	0.3268	0	0
Breast	Wales	Women	2018	165.00	170.74	NA	0.3268	0	0
Breast	Wales	Women	2019	164.80	171.30	NA	0.3268	0	0
Colorectal	England	Men	2000	90.00	89.54	NA	-2.0473	3	3
Colorectal	England	Men	2001	86.80	87.70	NA	-2.0473	3	3
Colorectal	England	Men	2002	85.70	85.91	Joinpoint 1	NA	3	3
Colorectal	England	Men	2003	86.60	86.80	NA	1.0372*	3	3
Colorectal	England	Men	2004	88.40	87.70	NA	1.0372*	3	3
Colorectal	England	Men	2005	89.00	88.61	NA	1.0372*	3	3
Colorectal	England	Men	2006	89.50	89.53	NA	1.0372*	3	3
Colorectal	England	Men	2007	89.60	90.46	NA	1.0372*	3	3
Colorectal	England	Men	2008	92.90	91.39	NA	1.0372*	3	3
Colorectal	England	Men	2009	92.60	92.34	NA	1.0372*	3	3
Colorectal	England	Men	2010	92.30	93.30	NA	1.0372*	3	3
Colorectal	England	Men	2011	92.90	94.27	Joinpoint 2	NA	3	3
Colorectal	England	Men	2012	93.30	91.41	NA	-3.0354	3	3
Colorectal	England	Men	2013	88.60	88.63	NA	-3.0354	3	3
Colorectal	England	Men	2014	85.70	85.94	Joinpoint 3	NA	3	3
Colorectal	England	Men	2015	85.80	85.51	NA	-0.5006	3	3
Colorectal	England	Men	2016	85.50	85.08	NA	-0.5006	3	3
Colorectal	England	Men	2017	82.90	84.66	NA	-0.5006	3	3
Colorectal	England	Men	2018	83.80	84.23	NA	-0.5006	3	3
Colorectal	England	Men	2019	85.00	83.81	NA	-0.5006	3	3
Colorectal	England	Women	2000	56.40	56.23	NA	-1.9287	3	3
Colorectal	England	Women	2001	54.80	55.14	NA	-1.9287	3	3
Colorectal	England	Women	2002	54.00	54.08	Joinpoint 1	NA	3	3
Colorectal	England	Women	2003	54.00	54.71	NA	1.1610*	3	3
Colorectal	England	Women	2004	55.50	55.34	NA	1.1610*	3	3
Colorectal	England	Women	2005	56.10	55.98	NA	1.1610*	3	3
Colorectal	England	Women	2006	57.00	56.63	NA	1.1610*	3	3
Colorectal	England	Women	2007	58.00	57.29	NA	1.1610*	3	3
Colorectal	England	Women	2008	58.70	57.96	NA	1.1610*	3	3
Colorectal	England	Women	2009	58.70	58.63	NA	1.1610*	3	3
Colorectal	England	Women	2010	58.70	59.31	NA	1.1610*	3	3
Colorectal	England	Women	2011	59.80	60.00	Joinpoint 2	NA	3	3
Colorectal	England	Women	2012	59.40	59.22	NA	-1.2923*	3	3
Colorectal	England	Women	2013	57.60	58.46	NA	-1.2923*	3	3
Colorectal	England	Women	2014	57.20	57.70	NA	-1.2923*	3	3
Colorectal	England	Women	2015	57.80	56.96	NA	-1.2923*	3	3
Colorectal	England	Women	2016	56.30	56.22	NA	-1.2923*	3	3
Colorectal	England	Women	2017	55.60	55.49	Joinpoint 3	NA	3	3
Colorectal	England	Women	2018	56.20	56.66	NA	2.1111	3	3
Colorectal	England	Women	2019	58.10	57.86	NA	2.1111	3	3
Colorectal	Nothern Ireland	Men	2000	88.60	93.93	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2001	102.90	95.12	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2002	90.20	96.32	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2003	103.70	97.53	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2004	94.10	98.76	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2005	102.20	100.01	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2006	102.70	101.27	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2007	109.50	102.55	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2008	99.20	103.84	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2009	103.50	105.15	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2010	106.70	106.48	NA	1.2617*	1	1
Colorectal	Nothern Ireland	Men	2011	107.20	107.82	Joinpoint 1	NA	1	1
Colorectal	Nothern Ireland	Men	2012	111.70	104.72	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2013	100.80	101.71	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2014	96.00	98.79	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2015	93.10	95.95	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2016	90.80	93.19	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2017	87.30	90.51	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2018	87.00	87.91	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Men	2019	91.80	85.38	NA	-2.8747*	1	1
Colorectal	Nothern Ireland	Women	2000	60.30	59.95	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2001	60.10	60.49	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2002	62.40	61.03	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2003	61.70	61.57	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2004	63.80	62.12	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2005	56.80	62.67	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2006	62.80	63.23	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2007	68.20	63.80	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2008	66.40	64.37	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2009	60.80	64.94	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2010	65.10	65.52	NA	0.8919	1	1
Colorectal	Nothern Ireland	Women	2011	69.80	66.10	Joinpoint 1	NA	1	1
Colorectal	Nothern Ireland	Women	2012	64.20	65.08	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2013	67.60	64.07	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2014	61.30	63.07	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2015	57.70	62.10	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2016	60.10	61.13	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2017	61.30	60.18	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2018	60.70	59.25	NA	-1.5517*	1	1
Colorectal	Nothern Ireland	Women	2019	59.00	58.33	NA	-1.5517*	1	1
Colorectal	Scotland	Men	2000	107.97	104.83	NA	0.1019	2	2
Colorectal	Scotland	Men	2001	106.19	104.94	NA	0.1019	2	2
Colorectal	Scotland	Men	2002	101.85	105.04	NA	0.1019	2	2
Colorectal	Scotland	Men	2003	107.45	105.15	NA	0.1019	2	2
Colorectal	Scotland	Men	2004	105.47	105.26	NA	0.1019	2	2
Colorectal	Scotland	Men	2005	101.95	105.37	NA	0.1019	2	2
Colorectal	Scotland	Men	2006	100.29	105.47	NA	0.1019	2	2
Colorectal	Scotland	Men	2007	105.11	105.58	NA	0.1019	2	2
Colorectal	Scotland	Men	2008	108.13	105.69	NA	0.1019	2	2
Colorectal	Scotland	Men	2009	107.72	105.80	NA	0.1019	2	2
Colorectal	Scotland	Men	2010	107.01	105.90	NA	0.1019	2	2
Colorectal	Scotland	Men	2011	107.42	106.01	Joinpoint 1	NA	2	2
Colorectal	Scotland	Men	2012	99.63	101.29	NA	-4.4531*	2	2
Colorectal	Scotland	Men	2013	96.47	96.78	NA	-4.4531*	2	2
Colorectal	Scotland	Men	2014	93.64	92.47	NA	-4.4531*	2	2
Colorectal	Scotland	Men	2015	88.96	88.35	Joinpoint 2	NA	2	2
Colorectal	Scotland	Men	2016	85.54	88.81	NA	0.5159	2	2
Colorectal	Scotland	Men	2017	92.20	89.27	NA	0.5159	2	2
Colorectal	Scotland	Men	2018	90.21	89.73	NA	0.5159	2	2
Colorectal	Scotland	Men	2019	89.21	90.19	NA	0.5159	2	2
Colorectal	Scotland	Women	2000	68.74	66.53	NA	-0.3306	0	0
Colorectal	Scotland	Women	2001	68.31	66.31	NA	-0.3306	0	0
Colorectal	Scotland	Women	2002	64.38	66.09	NA	-0.3306	0	0
Colorectal	Scotland	Women	2003	61.88	65.88	NA	-0.3306	0	0
Colorectal	Scotland	Women	2004	63.92	65.66	NA	-0.3306	0	0
Colorectal	Scotland	Women	2005	62.78	65.44	NA	-0.3306	0	0
Colorectal	Scotland	Women	2006	63.66	65.22	NA	-0.3306	0	0
Colorectal	Scotland	Women	2007	66.06	65.01	NA	-0.3306	0	0
Colorectal	Scotland	Women	2008	67.92	64.79	NA	-0.3306	0	0
Colorectal	Scotland	Women	2009	68.48	64.58	NA	-0.3306	0	0
Colorectal	Scotland	Women	2010	68.42	64.37	NA	-0.3306	0	0
