"Country"	"Cancer_Site"	"Sex"	"Year"	"ASR"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
England	All sites excl. NMSC	Women	2019	215.70	215.29	NA	-1.5488*	1	1
Nothern Ireland	All sites excl. NMSC	Men	2000	374.20	396.14	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2001	402.20	392.70	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2002	392.00	389.30	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2003	390.60	385.93	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2004	381.20	382.59	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2005	372.90	379.27	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2006	383.90	375.99	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2007	376.90	372.73	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2008	378.00	369.50	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2009	353.00	366.30	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2010	368.50	363.12	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2011	364.50	359.98	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2012	356.00	356.86	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2013	353.40	353.77	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2014	346.10	350.70	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2015	362.60	347.67	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2016	351.60	344.65	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2017	341.70	341.67	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2018	331.30	338.71	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Men	2019	324.70	335.77	NA	-0.8663*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2000	262.20	255.04	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2001	250.40	253.94	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2002	250.60	252.85	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2003	258.30	251.76	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2004	252.20	250.68	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2005	249.80	249.61	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2006	247.20	248.53	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2007	239.60	247.47	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2008	246.30	246.40	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2009	242.40	245.35	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2010	241.50	244.29	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2011	238.00	243.24	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2012	240.60	242.20	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2013	240.00	241.16	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2014	252.60	240.12	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2015	234.10	239.09	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2016	249.20	238.07	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2017	237.80	237.04	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2018	233.90	236.03	NA	-0.4294*	0	0
Nothern Ireland	All sites excl. NMSC	Women	2019	232.30	235.01	NA	-0.4294*	0	0
Scotland	All sites excl. NMSC	Men	2000	455.45	463.78	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2001	464.48	457.66	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2002	455.97	451.62	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2003	446.34	445.66	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2004	441.54	439.79	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2005	432.08	433.98	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2006	430.19	428.26	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2007	426.16	422.61	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2008	414.97	417.04	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2009	405.32	411.54	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2010	401.10	406.11	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2011	402.93	400.75	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2012	393.12	395.46	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2013	389.85	390.25	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2014	381.42	385.10	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2015	388.01	380.02	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2016	375.46	375.01	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2017	374.35	370.06	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2018	363.29	365.18	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Men	2019	358.63	360.36	NA	-1.3191*	0	0
Scotland	All sites excl. NMSC	Women	2000	303.22	300.58	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2001	298.32	298.55	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2002	290.63	296.52	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2003	297.80	294.51	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2004	291.37	292.52	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2005	292.46	290.54	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2006	285.97	288.57	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2007	288.07	286.61	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2008	287.07	284.67	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2009	280.59	282.74	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2010	280.32	280.82	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2011	273.78	278.92	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2012	285.88	277.03	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2013	278.40	275.15	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2014	272.14	273.29	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2015	270.60	271.44	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2016	263.32	269.60	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2017	267.00	267.77	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2018	266.60	265.95	NA	-0.6777*	0	0
Scotland	All sites excl. NMSC	Women	2019	266.81	264.15	NA	-0.6777*	0	0
Wales	All sites excl. NMSC	Men	2002	391.50	399.46	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2003	400.60	394.93	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2004	397.80	390.46	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2005	378.50	386.04	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2006	384.90	381.67	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2007	391.20	377.34	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2008	381.10	373.07	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2009	368.30	368.85	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2010	350.60	364.67	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2011	364.20	360.54	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2012	345.60	356.46	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2013	346.00	352.42	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2014	351.90	348.43	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2015	336.70	344.48	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2016	339.30	340.58	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2017	333.20	336.73	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2018	340.80	332.91	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Men	2019	337.50	329.14	NA	-1.1324*	0	0
Wales	All sites excl. NMSC	Women	2002	262.00	261.87	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2003	259.00	260.21	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2004	258.20	258.55	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2005	258.50	256.90	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2006	257.20	255.27	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2007	258.50	253.64	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2008	253.50	252.03	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2009	246.20	250.42	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2010	248.10	248.83	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2011	240.60	247.24	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2012	248.10	245.67	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2013	243.10	244.11	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2014	245.50	242.55	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2015	238.40	241.01	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2016	234.90	239.47	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2017	240.00	237.95	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2018	237.30	236.43	NA	-0.6367*	0	0
Wales	All sites excl. NMSC	Women	2019	238.30	234.93	NA	-0.6367*	0	0
England	Breast	Women	2001	45.60	45.68	NA	-2.0966*	1	1
England	Breast	Women	2002	45.00	44.72	NA	-2.0966*	1	1
England	Breast	Women	2003	43.60	43.79	NA	-2.0966*	1	1
England	Breast	Women	2004	42.50	42.87	NA	-2.0966*	1	1
England	Breast	Women	2005	42.10	41.97	NA	-2.0966*	1	1
England	Breast	Women	2006	41.50	41.09	NA	-2.0966*	1	1
England	Breast	Women	2007	40.10	40.23	NA	-2.0966*	1	1
England	Breast	Women	2008	39.90	39.38	NA	-2.0966*	1	1
England	Breast	Women	2009	38.20	38.56	NA	-2.0966*	1	1
England	Breast	Women	2010	37.30	37.75	NA	-2.0966*	1	1
England	Breast	Women	2011	37.00	36.96	NA	-2.0966*	1	1
England	Breast	Women	2012	36.40	36.18	NA	-2.0966*	1	1
England	Breast	Women	2013	35.30	35.42	NA	-2.0966*	1	1
England	Breast	Women	2014	34.50	34.68	Joinpoint 1	NA	1	1
England	Breast	Women	2015	34.30	34.22	NA	-1.3308*	1	1
England	Breast	Women	2016	34.10	33.76	NA	-1.3308*	1	1
England	Breast	Women	2017	33.30	33.32	NA	-1.3308*	1	1
England	Breast	Women	2018	33.00	32.87	NA	-1.3308*	1	1
England	Breast	Women	2019	32.20	32.43	NA	-1.3308*	1	1
Nothern Ireland	Breast	Women	2000	41.40	43.25	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2001	45.20	42.73	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2002	39.40	42.22	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2003	39.70	41.72	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2004	45.10	41.22	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2005	41.00	40.72	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2006	40.20	40.24	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2007	40.90	39.76	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2008	41.00	39.28	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2009	39.30	38.81	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2010	34.00	38.35	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2011	41.30	37.89	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2012	35.30	37.43	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2013	37.80	36.99	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2014	38.60	36.54	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2015	34.00	36.11	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2016	35.90	35.67	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2017	35.50	35.25	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2018	35.60	34.83	NA	-1.1964*	0	0
Nothern Ireland	Breast	Women	2019	33.30	34.41	NA	-1.1964*	0	0
Scotland	Breast	Women	2000	45.43	46.83	NA	-1.8967*	0	0
Scotland	Breast	Women	2001	46.17	45.94	NA	-1.8967*	0	0
Scotland	Breast	Women	2002	44.27	45.07	NA	-1.8967*	0	0
Scotland	Breast	Women	2003	45.51	44.21	NA	-1.8967*	0	0
Scotland	Breast	Women	2004	42.80	43.38	NA	-1.8967*	0	0
Scotland	Breast	Women	2005	44.78	42.55	NA	-1.8967*	0	0
Scotland	Breast	Women	2006	43.24	41.75	NA	-1.8967*	0	0
Scotland	Breast	Women	2007	40.87	40.95	NA	-1.8967*	0	0
Scotland	Breast	Women	2008	39.71	40.18	NA	-1.8967*	0	0
Scotland	Breast	Women	2009	38.14	39.42	NA	-1.8967*	0	0
Scotland	Breast	Women	2010	37.92	38.67	NA	-1.8967*	0	0
Scotland	Breast	Women	2011	38.01	37.93	NA	-1.8967*	0	0
Scotland	Breast	Women	2012	38.57	37.22	NA	-1.8967*	0	0
Scotland	Breast	Women	2013	36.36	36.51	NA	-1.8967*	0	0
Scotland	Breast	Women	2014	34.33	35.82	NA	-1.8967*	0	0
Scotland	Breast	Women	2015	34.75	35.14	NA	-1.8967*	0	0
Scotland	Breast	Women	2016	35.56	34.47	NA	-1.8967*	0	0
Scotland	Breast	Women	2017	32.45	33.82	NA	-1.8967*	0	0
Scotland	Breast	Women	2018	33.94	33.18	NA	-1.8967*	0	0
Scotland	Breast	Women	2019	33.04	32.55	NA	-1.8967*	0	0
Wales	Breast	Women	2002	44.30	45.44	NA	-2.2287*	1	1
Wales	Breast	Women	2003	45.90	44.42	NA	-2.2287*	1	1
Wales	Breast	Women	2004	41.90	43.43	NA	-2.2287*	1	1
Wales	Breast	Women	2005	43.40	42.46	NA	-2.2287*	1	1
Wales	Breast	Women	2006	43.20	41.52	NA	-2.2287*	1	1
Wales	Breast	Women	2007	40.40	40.59	NA	-2.2287*	1	1
Wales	Breast	Women	2008	39.20	39.69	NA	-2.2287*	1	1
Wales	Breast	Women	2009	37.80	38.80	NA	-2.2287*	1	1
Wales	Breast	Women	2010	39.30	37.94	NA	-2.2287*	1	1
Wales	Breast	Women	2011	37.00	37.09	NA	-2.2287*	1	1
Wales	Breast	Women	2012	35.80	36.27	NA	-2.2287*	1	1
Wales	Breast	Women	2013	34.10	35.46	NA	-2.2287*	1	1
Wales	Breast	Women	2014	34.10	34.67	NA	-2.2287*	1	1
Wales	Breast	Women	2015	35.70	33.90	NA	-2.2287*	1	1
Wales	Breast	Women	2016	31.40	33.14	Joinpoint 1	NA	1	1
Wales	Breast	Women	2017	35.60	33.94	NA	2.4055	1	1
Wales	Breast	Women	2018	36.50	34.75	NA	2.4055	1	1
Wales	Breast	Women	2019	33.90	35.59	NA	2.4055	1	1
England	Colorectal	Men	2001	41.10	41.41	NA	-1.5317*	0	0
England	Colorectal	Men	2002	41.10	40.77	NA	-1.5317*	0	0
England	Colorectal	Men	2003	40.10	40.15	NA	-1.5317*	0	0
England	Colorectal	Men	2004	40.00	39.53	NA	-1.5317*	0	0
England	Colorectal	Men	2005	39.40	38.93	NA	-1.5317*	0	0
England	Colorectal	Men	2006	38.30	38.33	NA	-1.5317*	0	0
England	Colorectal	Men	2007	36.90	37.74	NA	-1.5317*	0	0
England	Colorectal	Men	2008	38.00	37.17	NA	-1.5317*	0	0
England	Colorectal	Men	2009	36.00	36.60	NA	-1.5317*	0	0
England	Colorectal	Men	2010	36.10	36.04	NA	-1.5317*	0	0
England	Colorectal	Men	2011	35.30	35.48	NA	-1.5317*	0	0
England	Colorectal	Men	2012	35.50	34.94	NA	-1.5317*	0	0
England	Colorectal	Men	2013	33.90	34.41	NA	-1.5317*	0	0
England	Colorectal	Men	2014	33.30	33.88	NA	-1.5317*	0	0
England	Colorectal	Men	2015	32.90	33.36	NA	-1.5317*	0	0
England	Colorectal	Men	2016	32.70	32.85	NA	-1.5317*	0	0
England	Colorectal	Men	2017	32.90	32.35	NA	-1.5317*	0	0
England	Colorectal	Men	2018	31.80	31.85	NA	-1.5317*	0	0
England	Colorectal	Men	2019	31.90	31.36	NA	-1.5317*	0	0
England	Colorectal	Women	2001	25.00	25.38	NA	-1.3633*	1	1
England	Colorectal	Women	2002	25.30	25.03	NA	-1.3633*	1	1
England	Colorectal	Women	2003	24.50	24.69	NA	-1.3633*	1	1
England	Colorectal	Women	2004	24.50	24.35	NA	-1.3633*	1	1
England	Colorectal	Women	2005	24.10	24.02	NA	-1.3633*	1	1
England	Colorectal	Women	2006	23.80	23.69	NA	-1.3633*	1	1
England	Colorectal	Women	2007	23.70	23.37	NA	-1.3633*	1	1
England	Colorectal	Women	2008	23.30	23.05	NA	-1.3633*	1	1
England	Colorectal	Women	2009	22.30	22.74	NA	-1.3633*	1	1
England	Colorectal	Women	2010	22.10	22.43	NA	-1.3633*	1	1
England	Colorectal	Women	2011	22.00	22.12	NA	-1.3633*	1	1
England	Colorectal	Women	2012	22.20	21.82	NA	-1.3633*	1	1
England	Colorectal	Women	2013	21.50	21.52	Joinpoint 1	NA	1	1
England	Colorectal	Women	2014	21.30	21.39	NA	-0.5917	1	1
England	Colorectal	Women	2015	21.20	21.27	NA	-0.5917	1	1
England	Colorectal	Women	2016	21.40	21.14	NA	-0.5917	1	1
England	Colorectal	Women	2017	20.80	21.02	NA	-0.5917	1	1
England	Colorectal	Women	2018	20.80	20.89	NA	-0.5917	1	1
England	Colorectal	Women	2019	20.90	20.77	NA	-0.5917	1	1
Nothern Ireland	Colorectal	Men	2000	43.30	47.07	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2001	45.50	46.32	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2002	43.30	45.58	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2003	51.00	44.86	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2004	44.20	44.14	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2005	42.90	43.44	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2006	45.30	42.75	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2007	46.20	42.07	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2008	43.40	41.40	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2009	39.00	40.74	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2010	40.20	40.10	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2011	40.90	39.46	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2012	38.20	38.83	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2013	37.80	38.21	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2014	32.00	37.61	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2015	33.30	37.01	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2016	35.00	36.42	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2017	38.40	35.84	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2018	35.60	35.27	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Men	2019	38.30	34.71	NA	-1.5900*	0	0
Nothern Ireland	Colorectal	Women	2000	31.80	28.35	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2001	26.10	28.00	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2002	25.20	27.66	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2003	30.20	27.32	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2004	27.50	26.99	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2005	28.20	26.66	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2006	24.80	26.34	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2007	25.50	26.01	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2008	25.60	25.70	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2009	27.00	25.38	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2010	22.90	25.07	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2011	22.30	24.77	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2012	22.80	24.47	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2013	25.20	24.17	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2014	25.20	23.87	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2015	22.10	23.58	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2016	25.40	23.30	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2017	25.50	23.01	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2018	19.90	22.73	NA	-1.2193*	0	0
Nothern Ireland	Colorectal	Women	2019	24.20	22.45	NA	-1.2193*	0	0
Scotland	Colorectal	Men	2000	52.21	52.71	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2001	51.01	51.65	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2002	50.55	50.61	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2003	49.13	49.59	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2004	49.93	48.60	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2005	48.83	47.62	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2006	47.01	46.67	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2007	45.07	45.73	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2008	45.13	44.81	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2009	43.96	43.91	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2010	41.11	43.03	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2011	42.08	42.17	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2012	42.49	41.32	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2013	42.35	40.49	NA	-2.0080*	1	1
Scotland	Colorectal	Men	2014	38.14	39.68	Joinpoint 1	NA	1	1
Scotland	Colorectal	Men	2015	39.69	39.86	NA	0.4599	1	1
Scotland	Colorectal	Men	2016	39.33	40.04	NA	0.4599	1	1
Scotland	Colorectal	Men	2017	40.60	40.23	NA	0.4599	1	1
Scotland	Colorectal	Men	2018	41.36	40.41	NA	0.4599	1	1
Scotland	Colorectal	Men	2019	39.96	40.60	NA	0.4599	1	1
Scotland	Colorectal	Women	2000	30.50	30.05	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2001	31.16	29.71	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2002	28.32	29.38	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2003	29.91	29.06	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2004	27.85	28.74	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2005	27.07	28.42	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2006	27.62	28.11	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2007	27.93	27.80	NA	-1.1057*	1	1
Scotland	Colorectal	Women	2008	28.18	27.49	NA	-1.1057*	1	1
