"Year","Country","Cancer_Site","Sex","Mortalities","ASR"
2011,"Nothern Ireland","All sites excl. NMSC","Men","2136",364.5
2012,"Nothern Ireland","All sites excl. NMSC","Men","2146",356
2013,"Nothern Ireland","All sites excl. NMSC","Men","2203",353.4
2014,"Nothern Ireland","All sites excl. NMSC","Men","2202",346.1
2015,"Nothern Ireland","All sites excl. NMSC","Men","2343",362.6
2016,"Nothern Ireland","All sites excl. NMSC","Men","2340",351.6
2017,"Nothern Ireland","All sites excl. NMSC","Men","2339",341.7
2018,"Nothern Ireland","All sites excl. NMSC","Men","2305",331.3
2019,"Nothern Ireland","All sites excl. NMSC","Men","2319",324.7
2000,"Nothern Ireland","All sites excl. NMSC","Women","1791",262.2
2001,"Nothern Ireland","All sites excl. NMSC","Women","1735",250.4
2002,"Nothern Ireland","All sites excl. NMSC","Women","1755",250.6
2003,"Nothern Ireland","All sites excl. NMSC","Women","1833",258.3
2004,"Nothern Ireland","All sites excl. NMSC","Women","1811",252.2
2005,"Nothern Ireland","All sites excl. NMSC","Women","1819",249.8
2006,"Nothern Ireland","All sites excl. NMSC","Women","1835",247.2
2007,"Nothern Ireland","All sites excl. NMSC","Women","1796",239.6
2008,"Nothern Ireland","All sites excl. NMSC","Women","1882",246.3
2009,"Nothern Ireland","All sites excl. NMSC","Women","1865",242.4
2010,"Nothern Ireland","All sites excl. NMSC","Women","1903",241.5
2011,"Nothern Ireland","All sites excl. NMSC","Women","1903",238
2012,"Nothern Ireland","All sites excl. NMSC","Women","1959",240.6
2013,"Nothern Ireland","All sites excl. NMSC","Women","1978",240
2014,"Nothern Ireland","All sites excl. NMSC","Women","2121",252.6
2015,"Nothern Ireland","All sites excl. NMSC","Women","2000",234.1
2016,"Nothern Ireland","All sites excl. NMSC","Women","2162",249.2
2017,"Nothern Ireland","All sites excl. NMSC","Women","2103",237.8
2018,"Nothern Ireland","All sites excl. NMSC","Women","2097",233.9
2019,"Nothern Ireland","All sites excl. NMSC","Women","2123",232.3
2000,"Scotland","All sites excl. NMSC","Men","7453",455.446637743265
2001,"Scotland","All sites excl. NMSC","Men","7738",464.482719388999
2002,"Scotland","All sites excl. NMSC","Men","7737",455.972143659714
2003,"Scotland","All sites excl. NMSC","Men","7602",446.336940518076
2004,"Scotland","All sites excl. NMSC","Men","7640",441.539022278602
2005,"Scotland","All sites excl. NMSC","Men","7637",432.07993962097
2006,"Scotland","All sites excl. NMSC","Men","7692",430.185538789009
2007,"Scotland","All sites excl. NMSC","Men","7739",426.164496631504
2008,"Scotland","All sites excl. NMSC","Men","7691",414.968292626333
2009,"Scotland","All sites excl. NMSC","Men","7694",405.317226896112
2010,"Scotland","All sites excl. NMSC","Men","7775",401.102145642094
2011,"Scotland","All sites excl. NMSC","Men","7952",402.932774715665
2012,"Scotland","All sites excl. NMSC","Men","7931",393.116516477397
2013,"Scotland","All sites excl. NMSC","Men","8047",389.850570042726
2014,"Scotland","All sites excl. NMSC","Men","8081",381.416700053075
2015,"Scotland","All sites excl. NMSC","Men","8321",388.00773615558
2016,"Scotland","All sites excl. NMSC","Men","8243",375.462987391993
2017,"Scotland","All sites excl. NMSC","Men","8327",374.351298288147
2018,"Scotland","All sites excl. NMSC","Men","8292",363.288152129234
2019,"Scotland","All sites excl. NMSC","Men","8375",358.627929160585
2000,"Scotland","All sites excl. NMSC","Women","7460",303.219056978257
2001,"Scotland","All sites excl. NMSC","Women","7399",298.320893559958
2002,"Scotland","All sites excl. NMSC","Women","7257",290.626778594235
2003,"Scotland","All sites excl. NMSC","Women","7461",297.798093909153
2004,"Scotland","All sites excl. NMSC","Women","7357",291.37090547466
2005,"Scotland","All sites excl. NMSC","Women","7450",292.464868588951
2006,"Scotland","All sites excl. NMSC","Women","7333",285.97098639303
2007,"Scotland","All sites excl. NMSC","Women","7463",288.073576381194
2008,"Scotland","All sites excl. NMSC","Women","7520",287.066496143631
2009,"Scotland","All sites excl. NMSC","Women","7425",280.594220982931
2010,"Scotland","All sites excl. NMSC","Women","7495",280.322963136048
2011,"Scotland","All sites excl. NMSC","Women","7423",273.776108853544
2012,"Scotland","All sites excl. NMSC","Women","7856",285.881400349003
2013,"Scotland","All sites excl. NMSC","Women","7717",278.396873945761
2014,"Scotland","All sites excl. NMSC","Women","7665",272.141001246475
2015,"Scotland","All sites excl. NMSC","Women","7690",270.598785051789
2016,"Scotland","All sites excl. NMSC","Women","7570",263.323712485909
2017,"Scotland","All sites excl. NMSC","Women","7778",266.995864081223
2018,"Scotland","All sites excl. NMSC","Women","7861",266.597654397621
2019,"Scotland","All sites excl. NMSC","Women","7991",266.8110303305
2002,"Wales","All sites excl. NMSC","Men",NA,391.5
2003,"Wales","All sites excl. NMSC","Men",NA,400.6
2004,"Wales","All sites excl. NMSC","Men",NA,397.8
2005,"Wales","All sites excl. NMSC","Men",NA,378.5
2006,"Wales","All sites excl. NMSC","Men",NA,384.9
2007,"Wales","All sites excl. NMSC","Men",NA,391.2
2008,"Wales","All sites excl. NMSC","Men",NA,381.1
2009,"Wales","All sites excl. NMSC","Men",NA,368.3
2010,"Wales","All sites excl. NMSC","Men",NA,350.6
2011,"Wales","All sites excl. NMSC","Men",NA,364.2
2012,"Wales","All sites excl. NMSC","Men",NA,345.6
2013,"Wales","All sites excl. NMSC","Men",NA,346
2014,"Wales","All sites excl. NMSC","Men",NA,351.9
2015,"Wales","All sites excl. NMSC","Men",NA,336.7
2016,"Wales","All sites excl. NMSC","Men",NA,339.3
2017,"Wales","All sites excl. NMSC","Men",NA,333.2
2018,"Wales","All sites excl. NMSC","Men",NA,340.8
2019,"Wales","All sites excl. NMSC","Men",NA,337.5
2002,"Wales","All sites excl. NMSC","Women",NA,262
2003,"Wales","All sites excl. NMSC","Women",NA,259
2004,"Wales","All sites excl. NMSC","Women",NA,258.2
2005,"Wales","All sites excl. NMSC","Women",NA,258.5
2006,"Wales","All sites excl. NMSC","Women",NA,257.2
2007,"Wales","All sites excl. NMSC","Women",NA,258.5
2008,"Wales","All sites excl. NMSC","Women",NA,253.5
2009,"Wales","All sites excl. NMSC","Women",NA,246.2
2010,"Wales","All sites excl. NMSC","Women",NA,248.1
2011,"Wales","All sites excl. NMSC","Women",NA,240.6
2012,"Wales","All sites excl. NMSC","Women",NA,248.1
2013,"Wales","All sites excl. NMSC","Women",NA,243.1
2014,"Wales","All sites excl. NMSC","Women",NA,245.5
2015,"Wales","All sites excl. NMSC","Women",NA,238.4
2016,"Wales","All sites excl. NMSC","Women",NA,234.9
2017,"Wales","All sites excl. NMSC","Women",NA,240
2018,"Wales","All sites excl. NMSC","Women",NA,237.3
2019,"Wales","All sites excl. NMSC","Women",NA,238.3
2001,"England","Breast","Women","10837",45.6
2002,"England","Breast","Women","10795",45
2003,"England","Breast","Women","10501",43.6
2004,"England","Breast","Women","10288",42.5
2005,"England","Breast","Women","10297",42.1
2006,"England","Breast","Women","10243",41.5
2007,"England","Breast","Women","9986",40.1
2008,"England","Breast","Women","10065",39.9
2009,"England","Breast","Women","9749",38.2
2010,"England","Breast","Women","9634",37.3
2011,"England","Breast","Women","9702",37
2012,"England","Breast","Women","9698",36.4
2013,"England","Breast","Women","9545",35.3
2014,"England","Breast","Women","9497",34.5
2015,"England","Breast","Women","9556",34.3
2016,"England","Breast","Women","9613",34.1
2017,"England","Breast","Women","9502",33.3
2018,"England","Breast","Women","9562",33
2019,"England","Breast","Women","9462",32.2
2000,"Nothern Ireland","Breast","Women","286",41.4
2001,"Nothern Ireland","Breast","Women","315",45.2
2002,"Nothern Ireland","Breast","Women","278",39.4
2003,"Nothern Ireland","Breast","Women","282",39.7
2004,"Nothern Ireland","Breast","Women","324",45.1
2005,"Nothern Ireland","Breast","Women","301",41
2006,"Nothern Ireland","Breast","Women","300",40.2
2007,"Nothern Ireland","Breast","Women","309",40.9
2008,"Nothern Ireland","Breast","Women","315",41
2009,"Nothern Ireland","Breast","Women","302",39.3
2010,"Nothern Ireland","Breast","Women","268",34
2011,"Nothern Ireland","Breast","Women","336",41.3
2012,"Nothern Ireland","Breast","Women","290",35.3
2013,"Nothern Ireland","Breast","Women","314",37.8
2014,"Nothern Ireland","Breast","Women","326",38.6
2015,"Nothern Ireland","Breast","Women","292",34
2016,"Nothern Ireland","Breast","Women","316",35.9
2017,"Nothern Ireland","Breast","Women","317",35.5
2018,"Nothern Ireland","Breast","Women","320",35.6
2019,"Nothern Ireland","Breast","Women","308",33.3
2000,"Scotland","Breast","Women","1116",45.4296542432283
2001,"Scotland","Breast","Women","1143",46.1749262628288
2002,"Scotland","Breast","Women","1105",44.2659569765748
2003,"Scotland","Breast","Women","1138",45.5055554585939
2004,"Scotland","Breast","Women","1082",42.8002623304431
2005,"Scotland","Breast","Women","1144",44.7758623859462
2006,"Scotland","Breast","Women","1108",43.2374026683386
2007,"Scotland","Breast","Women","1062",40.8684789329695
2008,"Scotland","Breast","Women","1043",39.7121364751365
2009,"Scotland","Breast","Women","1002",38.1421286296306
2010,"Scotland","Breast","Women","1022",37.9186043394558
2011,"Scotland","Breast","Women","1036",38.0123875522672
2012,"Scotland","Breast","Women","1063",38.5689304959295
2013,"Scotland","Breast","Women","1013",36.3635620258897
2014,"Scotland","Breast","Women","966",34.3329896203046
2015,"Scotland","Breast","Women","989",34.7490502857464
2016,"Scotland","Breast","Women","1020",35.5589913810193
2017,"Scotland","Breast","Women","946",32.4549575584137
2018,"Scotland","Breast","Women","993",33.9378301493564
2019,"Scotland","Breast","Women","985",33.0396557678116
2002,"Wales","Breast","Women",NA,44.3
2003,"Wales","Breast","Women",NA,45.9
2004,"Wales","Breast","Women",NA,41.9
2005,"Wales","Breast","Women",NA,43.4
2006,"Wales","Breast","Women",NA,43.2
2007,"Wales","Breast","Women",NA,40.4
2008,"Wales","Breast","Women",NA,39.2
2009,"Wales","Breast","Women",NA,37.8
2010,"Wales","Breast","Women",NA,39.3
2011,"Wales","Breast","Women",NA,37
2012,"Wales","Breast","Women",NA,35.8
2013,"Wales","Breast","Women",NA,34.1
2014,"Wales","Breast","Women",NA,34.1
2015,"Wales","Breast","Women",NA,35.7
2016,"Wales","Breast","Women",NA,31.4
2017,"Wales","Breast","Women",NA,35.6
2018,"Wales","Breast","Women",NA,36.5
2019,"Wales","Breast","Women",NA,33.9
2001,"England","Colorectal","Men","6897",41.1
2002,"England","Colorectal","Men","6985",41.1
2003,"England","Colorectal","Men","6883",40.1
2004,"England","Colorectal","Men","6946",40
2005,"England","Colorectal","Men","6938",39.4
2006,"England","Colorectal","Men","6873",38.3
2007,"England","Colorectal","Men","6801",36.9
2008,"England","Colorectal","Men","7077",38
2009,"England","Colorectal","Men","6892",36
2010,"England","Colorectal","Men","7055",36.1
2011,"England","Colorectal","Men","6974",35.3
2012,"England","Colorectal","Men","7198",35.5
2013,"England","Colorectal","Men","7051",33.9
2014,"England","Colorectal","Men","7049",33.3
2015,"England","Colorectal","Men","7136",32.9
2016,"England","Colorectal","Men","7268",32.7
2017,"England","Colorectal","Men","7509",32.9
2018,"England","Colorectal","Men","7394",31.8
2019,"England","Colorectal","Men","7602",31.9
2001,"England","Colorectal","Women","6094",25
2002,"England","Colorectal","Women","6201",25.3
2003,"England","Colorectal","Women","6019",24.5
2004,"England","Colorectal","Women","6032",24.5
2005,"England","Colorectal","Women","5986",24.1
2006,"England","Colorectal","Women","5995",23.8
2007,"England","Colorectal","Women","6040",23.7
2008,"England","Colorectal","Women","5990",23.3
2009,"England","Colorectal","Women","5799",22.3
2010,"England","Colorectal","Women","5850",22.1
2011,"England","Colorectal","Women","5897",22
2012,"England","Colorectal","Women","6035",22.2
2013,"England","Colorectal","Women","5948",21.5
2014,"England","Colorectal","Women","5987",21.3
2015,"England","Colorectal","Women","6024",21.2
2016,"England","Colorectal","Women","6147",21.4
2017,"England","Colorectal","Women","6057",20.8
2018,"England","Colorectal","Women","6171",20.8
2019,"England","Colorectal","Women","6320",20.9
2000,"Nothern Ireland","Colorectal","Men","199",43.3
2001,"Nothern Ireland","Colorectal","Men","218",45.5
2002,"Nothern Ireland","Colorectal","Men","200",43.3
2003,"Nothern Ireland","Colorectal","Men","251",51
2004,"Nothern Ireland","Colorectal","Men","229",44.2
2005,"Nothern Ireland","Colorectal","Men","223",42.9
2006,"Nothern Ireland","Colorectal","Men","233",45.3
2007,"Nothern Ireland","Colorectal","Men","254",46.2
2008,"Nothern Ireland","Colorectal","Men","237",43.4
2009,"Nothern Ireland","Colorectal","Men","223",39
2010,"Nothern Ireland","Colorectal","Men","231",40.2
2011,"Nothern Ireland","Colorectal","Men","232",40.9
2012,"Nothern Ireland","Colorectal","Men","231",38.2
2013,"Nothern Ireland","Colorectal","Men","233",37.8
2014,"Nothern Ireland","Colorectal","Men","208",32
2015,"Nothern Ireland","Colorectal","Men","215",33.3
2016,"Nothern Ireland","Colorectal","Men","230",35
2017,"Nothern Ireland","Colorectal","Men","262",38.4
2018,"Nothern Ireland","Colorectal","Men","245",35.6
2019,"Nothern Ireland","Colorectal","Men","267",38.3
2000,"Nothern Ireland","Colorectal","Women","216",31.8
2001,"Nothern Ireland","Colorectal","Women","180",26.1
2002,"Nothern Ireland","Colorectal","Women","176",25.2
2003,"Nothern Ireland","Colorectal","Women","213",30.2
2004,"Nothern Ireland","Colorectal","Women","196",27.5
2005,"Nothern Ireland","Colorectal","Women","207",28.2
2006,"Nothern Ireland","Colorectal","Women","185",24.8
2007,"Nothern Ireland","Colorectal","Women","192",25.5
2008,"Nothern Ireland","Colorectal","Women","197",25.6
2009,"Nothern Ireland","Colorectal","Women","208",27
2010,"Nothern Ireland","Colorectal","Women","180",22.9
2011,"Nothern Ireland","Colorectal","Women","179",22.3
2012,"Nothern Ireland","Colorectal","Women","187",22.8
2013,"Nothern Ireland","Colorectal","Women","210",25.2
2014,"Nothern Ireland","Colorectal","Women","214",25.2
2015,"Nothern Ireland","Colorectal","Women","191",22.1
2016,"Nothern Ireland","Colorectal","Women","224",25.4
2017,"Nothern Ireland","Colorectal","Women","227",25.5
2018,"Nothern Ireland","Colorectal","Women","181",19.9
2019,"Nothern Ireland","Colorectal","Women","224",24.2
2000,"Scotland","Colorectal","Men","839",52.2089768226736
2001,"Scotland","Colorectal","Men","835",51.0072542753241
2002,"Scotland","Colorectal","Men","842",50.5493637408676
2003,"Scotland","Colorectal","Men","830",49.1280741899286
2004,"Scotland","Colorectal","Men","844",49.9338584243006
2005,"Scotland","Colorectal","Men","855",48.833331009753
2006,"Scotland","Colorectal","Men","835",47.0102659672811
2007,"Scotland","Colorectal","Men","812",45.0702490671608
2008,"Scotland","Colorectal","Men","829",45.1326758292875
2009,"Scotland","Colorectal","Men","825",43.9618322850247
2010,"Scotland","Colorectal","Men","782",41.1078562967813
2011,"Scotland","Colorectal","Men","824",42.0790962497276
2012,"Scotland","Colorectal","Men","837",42.4857386118632
2013,"Scotland","Colorectal","Men","871",42.3467063333607
2014,"Scotland","Colorectal","Men","786",38.1370493211478
2015,"Scotland","Colorectal","Men","844",39.6883486813644
2016,"Scotland","Colorectal","Men","857",39.3285695067311
2017,"Scotland","Colorectal","Men","884",40.595632234398
2018,"Scotland","Colorectal","Men","941",41.356783477014
2019,"Scotland","Colorectal","Men","926",39.9564744880692
2000,"Scotland","Colorectal","Women","757",30.5009016083093
2001,"Scotland","Colorectal","Women","780",31.1637635739367
2002,"Scotland","Colorectal","Women","713",28.3152961811581
2003,"Scotland","Colorectal","Women","752",29.9132145210098
2004,"Scotland","Colorectal","Women","706",27.8451767381447
2005,"Scotland","Colorectal","Women","695",27.0680296422728
2006,"Scotland","Colorectal","Women","715",27.6234498879633
2007,"Scotland","Colorectal","Women","727",27.9258206952765
2008,"Scotland","Colorectal","Women","736",28.1784450439991
2009,"Scotland","Colorectal","Women","730",27.4615619704471
2010,"Scotland","Colorectal","Women","719",26.5767339145558
2011,"Scotland","Colorectal","Women","702",25.6471533950948
2012,"Scotland","Colorectal","Women","784",28.2923755285113
2013,"Scotland","Colorectal","Women","707",25.1742062745244
2014,"Scotland","Colorectal","Women","739",25.8616778786396
2015,"Scotland","Colorectal","Women","721",25.0278933750796
2016,"Scotland","Colorectal","Women","760",26.1075244274139
2017,"Scotland","Colorectal","Women","803",27.1498201356182
2018,"Scotland","Colorectal","Women","802",27.0605202310252
2019,"Scotland","Colorectal","Women","816",26.9457015530642
2002,"Wales","Colorectal","Men",NA,42.8
2003,"Wales","Colorectal","Men",NA,46.4
2004,"Wales","Colorectal","Men",NA,47.2
2005,"Wales","Colorectal","Men",NA,46.6
2006,"Wales","Colorectal","Men",NA,42.1
2007,"Wales","Colorectal","Men",NA,43.5
2008,"Wales","Colorectal","Men",NA,40.8
2009,"Wales","Colorectal","Men",NA,45.8
2010,"Wales","Colorectal","Men",NA,40.5
2011,"Wales","Colorectal","Men",NA,38.6
2012,"Wales","Colorectal","Men",NA,40.1
2013,"Wales","Colorectal","Men",NA,36.6
2014,"Wales","Colorectal","Men",NA,39.2
2015,"Wales","Colorectal","Men",NA,38.6
2016,"Wales","Colorectal","Men",NA,37.5
2017,"Wales","Colorectal","Men",NA,35.4
2018,"Wales","Colorectal","Men",NA,35.7
2019,"Wales","Colorectal","Men",NA,36.8
2002,"Wales","Colorectal","Women",NA,25.2
2003,"Wales","Colorectal","Women",NA,26.9
2004,"Wales","Colorectal","Women",NA,24.5
2005,"Wales","Colorectal","Women",NA,24.8
2006,"Wales","Colorectal","Women",NA,24.9
2007,"Wales","Colorectal","Women",NA,26.5
2008,"Wales","Colorectal","Women",NA,25
2009,"Wales","Colorectal","Women",NA,24.1
2010,"Wales","Colorectal","Women",NA,23.2
2011,"Wales","Colorectal","Women",NA,21.4
2012,"Wales","Colorectal","Women",NA,22.8
2013,"Wales","Colorectal","Women",NA,24.2
2014,"Wales","Colorectal","Women",NA,22.6
2015,"Wales","Colorectal","Women",NA,23.7
2016,"Wales","Colorectal","Women",NA,21.8
2017,"Wales","Colorectal","Women",NA,23.5
2018,"Wales","Colorectal","Women",NA,22.8
2019,"Wales","Colorectal","Women",NA,22.6
2001,"England","Lung","Men","16483",95.7
2002,"England","Lung","Men","16384",93.4
2003,"England","Lung","Men","16069",90.9
2004,"England","Lung","Men","15740",87.6
2005,"England","Lung","Men","15692",86.4
2006,"England","Lung","Men","15846",85.8
2007,"England","Lung","Men","15811",84.1
2008,"England","Lung","Men","16019",84
2009,"England","Lung","Men","15949",81.8
2010,"England","Lung","Men","15748",79
2011,"England","Lung","Men","15707",77.6
2012,"England","Lung","Men","15618",75.3
2013,"England","Lung","Men","15778",74.5
2014,"England","Lung","Men","15855",72.9
2015,"England","Lung","Men","15509",70.1
2016,"England","Lung","Men","15614",68.9
2017,"England","Lung","Men","15229",65.8
2018,"England","Lung","Men","15021",63.6
2019,"England","Lung","Men","14890",61.5
2001,"England","Lung","Women","10423",44.7
2002,"England","Lung","Women","10699",45.5
2003,"England","Lung","Women","10906",46
2004,"England","Lung","Women","10678",45
2005,"England","Lung","Women","11119",46.5
2006,"England","Lung","Women","11540",47.9
2007,"England","Lung","Women","11869",48.6
2008,"England","Lung","Women","12203",49.5
2009,"England","Lung","Women","12111",48.6
2010,"England","Lung","Women","12317",48.7
2011,"England","Lung","Women","12460",48.7
2012,"England","Lung","Women","12697",48.8
2013,"England","Lung","Women","12765",48.4
2014,"England","Lung","Women","12992",48.4
2015,"England","Lung","Women","13077",48.1
2016,"England","Lung","Women","12950",47.1
2017,"England","Lung","Women","12959",46.1
2018,"England","Lung","Women","12661",44.5
2019,"England","Lung","Women","12626",43.4
2000,"Nothern Ireland","Lung","Men","457",93.7
2001,"Nothern Ireland","Lung","Men","508",101.7
2002,"Nothern Ireland","Lung","Men","492",96.5
2003,"Nothern Ireland","Lung","Men","476",94.4
2004,"Nothern Ireland","Lung","Men","508",98.6
2005,"Nothern Ireland","Lung","Men","511",96.2
2006,"Nothern Ireland","Lung","Men","526",96.7
2007,"Nothern Ireland","Lung","Men","501",88.8
2008,"Nothern Ireland","Lung","Men","559",98.6
2009,"Nothern Ireland","Lung","Men","518",89.8
2010,"Nothern Ireland","Lung","Men","541",90.8
2011,"Nothern Ireland","Lung","Men","559",92.2
2012,"Nothern Ireland","Lung","Men","543",88.4
2013,"Nothern Ireland","Lung","Men","559",86.7
2014,"Nothern Ireland","Lung","Men","527",79.7
2015,"Nothern Ireland","Lung","Men","556",83.5
2016,"Nothern Ireland","Lung","Men","572",83.9
2017,"Nothern Ireland","Lung","Men","559",80
2018,"Nothern Ireland","Lung","Men","558",78.4
2019,"Nothern Ireland","Lung","Men","538",73.2
2000,"Nothern Ireland","Lung","Women","330",49.1
2001,"Nothern Ireland","Lung","Women","270",39.8
2002,"Nothern Ireland","Lung","Women","319",45.9
2003,"Nothern Ireland","Lung","Women","328",47.1
2004,"Nothern Ireland","Lung","Women","328",45.9
2005,"Nothern Ireland","Lung","Women","319",44.6
2006,"Nothern Ireland","Lung","Women","333",45.3
2007,"Nothern Ireland","Lung","Women","341",46.1
2008,"Nothern Ireland","Lung","Women","362",48.3
2009,"Nothern Ireland","Lung","Women","389",51.1
2010,"Nothern Ireland","Lung","Women","365",47.1
2011,"Nothern Ireland","Lung","Women","363",46.3
2012,"Nothern Ireland","Lung","Women","416",51.9
2013,"Nothern Ireland","Lung","Women","398",49.5
2014,"Nothern Ireland","Lung","Women","449",54.6
2015,"Nothern Ireland","Lung","Women","439",52.4
2016,"Nothern Ireland","Lung","Women","512",60
2017,"Nothern Ireland","Lung","Women","469",54
2018,"Nothern Ireland","Lung","Women","476",53.9
2019,"Nothern Ireland","Lung","Women","495",55.2
2000,"Scotland","Lung","Men","2225",131.8168832671
2001,"Scotland","Lung","Men","2277",131.432036748712
2002,"Scotland","Lung","Men","2317",131.584845214928
2003,"Scotland","Lung","Men","2186",123.822121879776
2004,"Scotland","Lung","Men","2151",118.832629379511
2005,"Scotland","Lung","Men","2195",120.044427421461
2006,"Scotland","Lung","Men","2162",116.942527503278
2007,"Scotland","Lung","Men","2239",118.8385006937
2008,"Scotland","Lung","Men","2114",109.46836108693
2009,"Scotland","Lung","Men","2196",111.891570945928
2010,"Scotland","Lung","Men","2107",106.01577363495
2011,"Scotland","Lung","Men","2200",108.463664510325
2012,"Scotland","Lung","Men","2094",100.378148484037
2013,"Scotland","Lung","Men","2127",100.90364103508
2014,"Scotland","Lung","Men","2119",97.5553343986415
2015,"Scotland","Lung","Men","2075",94.1415513722726
2016,"Scotland","Lung","Men","2081",92.9908681291047
2017,"Scotland","Lung","Men","2036",88.7948778187525
2018,"Scotland","Lung","Men","1981",84.8009712370442
2019,"Scotland","Lung","Men","2043",85.3619846151125
2000,"Scotland","Lung","Women","1723",70.6815279171829
2001,"Scotland","Lung","Women","1638",66.8950841522788
2002,"Scotland","Lung","Women","1722",69.8167689233846
2003,"Scotland","Lung","Women","1707",68.6838189080754
2004,"Scotland","Lung","Women","1772",70.5973621266389
2005,"Scotland","Lung","Women","1814",71.7312198503032
2006,"Scotland","Lung","Women","1900",74.732893814681
2007,"Scotland","Lung","Women","1876",73.1385676953567
2008,"Scotland","Lung","Women","1966",75.7208124596047
2009,"Scotland","Lung","Women","1951",74.2137188517413
2010,"Scotland","Lung","Women","1948",73.6259379625535
2011,"Scotland","Lung","Women","1978",73.7380743856709
2012,"Scotland","Lung","Women","2095",76.8512061612052
2013,"Scotland","Lung","Women","1993",72.5230588626046
2014,"Scotland","Lung","Women","1998",71.7902485035699
2015,"Scotland","Lung","Women","1972",70.233491032958
2016,"Scotland","Lung","Women","1954",68.4456951719252
2017,"Scotland","Lung","Women","2033",70.4284670502645
2018,"Scotland","Lung","Women","1999",68.2185881386963
2019,"Scotland","Lung","Women","2052",68.9849444301284
2002,"Wales","Lung","Men",NA,94.2
2003,"Wales","Lung","Men",NA,91
2004,"Wales","Lung","Men",NA,92.8
2005,"Wales","Lung","Men",NA,90.4
2006,"Wales","Lung","Men",NA,92.2
2007,"Wales","Lung","Men",NA,90.9
2008,"Wales","Lung","Men",NA,94.6
2009,"Wales","Lung","Men",NA,85
2010,"Wales","Lung","Men",NA,80.2
2011,"Wales","Lung","Men",NA,87.5
2012,"Wales","Lung","Men",NA,77.6
2013,"Wales","Lung","Men",NA,75.2
2014,"Wales","Lung","Men",NA,77.2
2015,"Wales","Lung","Men",NA,73.8
2016,"Wales","Lung","Men",NA,74.6
2017,"Wales","Lung","Men",NA,68.8
2018,"Wales","Lung","Men",NA,69.1
2019,"Wales","Lung","Men",NA,67.9
2002,"Wales","Lung","Women",NA,44.7
2003,"Wales","Lung","Women",NA,44.6
2004,"Wales","Lung","Women",NA,49.3
2005,"Wales","Lung","Women",NA,49.7
2006,"Wales","Lung","Women",NA,50.5
2007,"Wales","Lung","Women",NA,50.6
2008,"Wales","Lung","Women",NA,54.3
2009,"Wales","Lung","Women",NA,51.3
2010,"Wales","Lung","Women",NA,50.9
2011,"Wales","Lung","Women",NA,48.9
2012,"Wales","Lung","Women",NA,51.8
