"Cancer label"	"incmort"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Lung	"Incidence"	1	2014	35.38	35.39	NA	-1.0893*	1	1
Lung	"Incidence"	1	2015	34.41	35.01	NA	-1.0893*	1	1
Lung	"Incidence"	1	2016	34.76	34.63	NA	-1.0893*	1	1
Lung	"Incidence"	1	2017	33.62	34.25	NA	-1.0893*	1	1
Lung	"Mortality"	1	1996	44.22	43.84	NA	-3.3208*	2	2
Lung	"Mortality"	1	1997	41.90	42.38	NA	-3.3208*	2	2
Lung	"Mortality"	1	1998	41.49	40.97	NA	-3.3208*	2	2
Lung	"Mortality"	1	1999	39.27	39.61	NA	-3.3208*	2	2
Lung	"Mortality"	1	2000	38.04	38.30	NA	-3.3208*	2	2
Lung	"Mortality"	1	2001	36.84	37.02	NA	-3.3208*	2	2
Lung	"Mortality"	1	2002	36.18	35.79	NA	-3.3208*	2	2
Lung	"Mortality"	1	2003	34.52	34.61	NA	-3.3208*	2	2
Lung	"Mortality"	1	2004	33.50	33.46	Joinpoint 1	NA	2	2
Lung	"Mortality"	1	2005	32.93	32.97	NA	-1.4463*	2	2
Lung	"Mortality"	1	2006	32.68	32.50	NA	-1.4463*	2	2
Lung	"Mortality"	1	2007	31.93	32.03	NA	-1.4463*	2	2
Lung	"Mortality"	1	2008	31.65	31.56	Joinpoint 2	NA	2	2
Lung	"Mortality"	1	2009	30.74	30.74	NA	-2.6151*	2	2
Lung	"Mortality"	1	2010	29.82	29.93	NA	-2.6151*	2	2
Lung	"Mortality"	1	2011	29.18	29.15	NA	-2.6151*	2	2
Lung	"Mortality"	1	2012	28.19	28.39	NA	-2.6151*	2	2
Lung	"Mortality"	1	2013	27.74	27.65	NA	-2.6151*	2	2
Lung	"Mortality"	1	2014	27.19	26.92	NA	-2.6151*	2	2
Lung	"Mortality"	1	2015	25.97	26.22	NA	-2.6151*	2	2
Lung	"Mortality"	1	2016	25.61	25.53	NA	-2.6151*	2	2
Oesophagus	"Incidence"	1	1997	8.52	8.38	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	1998	8.30	8.49	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	1999	8.43	8.60	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2000	8.75	8.71	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2001	9.04	8.82	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2002	9.10	8.93	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2003	9.05	9.05	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2004	9.08	9.16	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2005	9.18	9.28	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2006	9.22	9.40	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2007	9.47	9.52	NA	1.2753*	1	1
Oesophagus	"Incidence"	1	2008	9.76	9.64	Joinpoint 1	NA	1	1
Oesophagus	"Incidence"	1	2009	9.55	9.63	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2010	9.71	9.62	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2011	9.54	9.61	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2012	9.82	9.60	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2013	9.55	9.59	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2014	9.49	9.58	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2015	9.70	9.57	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2016	9.56	9.56	NA	-0.0990	1	1
Oesophagus	"Incidence"	1	2017	9.44	9.55	NA	-0.0990	1	1
Oesophagus	"Mortality"	1	1996	8.31	8.32	NA	0.2870	1	1
Oesophagus	"Mortality"	1	1997	8.23	8.34	NA	0.2870	1	1
Oesophagus	"Mortality"	1	1998	8.43	8.37	NA	0.2870	1	1
Oesophagus	"Mortality"	1	1999	8.32	8.39	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2000	8.30	8.42	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2001	8.47	8.44	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2002	8.60	8.46	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2003	8.83	8.49	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2004	8.44	8.51	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2005	8.62	8.54	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2006	8.53	8.56	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2007	8.43	8.59	NA	0.2870	1	1
Oesophagus	"Mortality"	1	2008	8.62	8.61	Joinpoint 1	NA	1	1
Oesophagus	"Mortality"	1	2009	8.52	8.50	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2010	8.33	8.39	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2011	8.28	8.29	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2012	8.24	8.18	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2013	8.06	8.08	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2014	7.74	7.98	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2015	8.04	7.88	NA	-1.2632*	1	1
Oesophagus	"Mortality"	1	2016	7.82	7.78	NA	-1.2632*	1	1
Pancreas	"Incidence"	1	1997	6.83	6.78	NA	-0.2363	1	1
Pancreas	"Incidence"	1	1998	6.60	6.76	NA	-0.2363	1	1
Pancreas	"Incidence"	1	1999	6.77	6.74	NA	-0.2363	1	1
Pancreas	"Incidence"	1	2000	6.88	6.73	NA	-0.2363	1	1
Pancreas	"Incidence"	1	2001	6.69	6.71	NA	-0.2363	1	1
Pancreas	"Incidence"	1	2002	6.67	6.70	Joinpoint 1	NA	1	1
Pancreas	"Incidence"	1	2003	6.67	6.76	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2004	6.82	6.83	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2005	6.86	6.89	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2006	7.05	6.96	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2007	6.87	7.02	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2008	7.22	7.09	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2009	7.28	7.16	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2010	7.22	7.23	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2011	7.18	7.30	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2012	7.40	7.37	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2013	7.61	7.44	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2014	7.44	7.51	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2015	7.47	7.58	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2016	7.60	7.65	NA	0.9593*	1	1
Pancreas	"Incidence"	1	2017	7.78	7.73	NA	0.9593*	1	1
Pancreas	"Mortality"	1	1996	6.52	6.28	NA	0.2590*	0	0
Pancreas	"Mortality"	1	1997	6.35	6.30	NA	0.2590*	0	0
Pancreas	"Mortality"	1	1998	6.26	6.32	NA	0.2590*	0	0
Pancreas	"Mortality"	1	1999	6.27	6.33	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2000	6.54	6.35	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2001	6.20	6.37	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2002	6.29	6.38	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2003	6.47	6.40	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2004	6.19	6.42	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2005	6.26	6.43	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2006	6.54	6.45	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2007	6.54	6.47	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2008	6.46	6.48	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2009	6.52	6.50	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2010	6.34	6.52	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2011	6.73	6.53	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2012	6.62	6.55	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2013	6.49	6.57	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2014	6.59	6.58	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2015	6.48	6.60	NA	0.2590*	0	0
Pancreas	"Mortality"	1	2016	6.84	6.62	NA	0.2590*	0	0
Prostate	"Incidence"	1	1997	43.60	41.71	NA	9.7689*	2	2
Prostate	"Incidence"	1	1998	44.42	45.78	NA	9.7689*	2	2
Prostate	"Incidence"	1	1999	48.64	50.25	NA	9.7689*	2	2
Prostate	"Incidence"	1	2000	53.98	55.16	NA	9.7689*	2	2
Prostate	"Incidence"	1	2001	61.58	60.55	Joinpoint 1	NA	2	2
Prostate	"Incidence"	1	2002	61.61	61.71	NA	1.9194*	2	2
Prostate	"Incidence"	1	2003	61.95	62.90	NA	1.9194*	2	2
Prostate	"Incidence"	1	2004	67.32	64.10	NA	1.9194*	2	2
Prostate	"Incidence"	1	2005	65.11	65.33	NA	1.9194*	2	2
Prostate	"Incidence"	1	2006	67.62	66.59	NA	1.9194*	2	2
Prostate	"Incidence"	1	2007	67.31	67.87	NA	1.9194*	2	2
Prostate	"Incidence"	1	2008	66.55	69.17	NA	1.9194*	2	2
Prostate	"Incidence"	1	2009	73.82	70.50	NA	1.9194*	2	2
Prostate	"Incidence"	1	2010	72.65	71.85	NA	1.9194*	2	2
Prostate	"Incidence"	1	2011	72.46	73.23	NA	1.9194*	2	2
Prostate	"Incidence"	1	2012	72.88	74.63	NA	1.9194*	2	2
Prostate	"Incidence"	1	2013	77.45	76.07	Joinpoint 2	NA	2	2
Prostate	"Incidence"	1	2014	73.88	75.05	NA	-1.3314	2	2
Prostate	"Incidence"	1	2015	73.91	74.06	NA	-1.3314	2	2
Prostate	"Incidence"	1	2016	72.57	73.07	NA	-1.3314	2	2
Prostate	"Incidence"	1	2017	72.83	72.10	NA	-1.3314	2	2
Prostate	"Mortality"	1	1996	16.58	16.44	NA	-1.3246*	0	0
Prostate	"Mortality"	1	1997	16.00	16.22	NA	-1.3246*	0	0
Prostate	"Mortality"	1	1998	15.84	16.01	NA	-1.3246*	0	0
Prostate	"Mortality"	1	1999	15.58	15.80	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2000	14.83	15.59	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2001	15.77	15.38	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2002	15.67	15.18	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2003	15.62	14.98	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2004	15.23	14.78	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2005	14.65	14.58	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2006	14.31	14.39	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2007	14.15	14.20	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2008	13.75	14.01	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2009	13.69	13.82	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2010	13.56	13.64	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2011	13.40	13.46	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2012	13.03	13.28	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2013	12.74	13.11	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2014	12.99	12.93	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2015	13.17	12.76	NA	-1.3246*	0	0
Prostate	"Mortality"	1	2016	12.64	12.59	NA	-1.3246*	0	0
All sites excl. non-melanoma skin cancer	"Incidence"	2	1997	236.71	237.94	NA	-0.0311	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	1998	235.96	237.87	NA	-0.0311	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	1999	240.72	237.79	NA	-0.0311	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2000	239.10	237.72	NA	-0.0311	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2001	240.04	237.65	NA	-0.0311	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2002	235.44	237.57	Joinpoint 1	NA	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2003	241.36	240.29	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2004	241.84	243.05	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2005	246.16	245.83	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2006	248.96	248.65	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2007	249.29	251.49	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2008	253.78	254.37	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2009	258.97	257.29	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2010	259.73	260.24	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2011	261.93	263.22	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2012	264.08	266.23	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2013	267.60	269.28	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2014	276.97	272.37	NA	1.1454*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2015	275.41	275.48	Joinpoint 2	NA	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2016	275.56	274.69	NA	-0.2893	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	2	2017	273.46	273.89	NA	-0.2893	2	2
All sites excl. non-melanoma skin cancer	"Mortality"	2	1996	113.89	113.09	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	1997	111.97	111.79	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	1998	110.57	110.50	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	1999	108.75	109.22	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2000	106.84	107.96	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2001	107.41	106.71	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2002	106.22	105.48	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2003	104.07	104.26	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2004	102.42	103.06	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2005	101.64	101.87	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2006	100.25	100.69	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2007	100.20	99.53	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2008	98.98	98.38	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2009	96.30	97.25	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2010	95.41	96.13	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2011	95.11	95.02	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2012	94.91	93.92	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2013	92.69	92.83	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2014	91.47	91.76	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2015	90.26	90.70	NA	-1.1543*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	2	2016	90.49	89.66	NA	-1.1543*	0	0
Breast	"Incidence"	2	1997	81.18	81.97	NA	0.5127*	2	2
Breast	"Incidence"	2	1998	81.75	82.39	NA	0.5127*	2	2
Breast	"Incidence"	2	1999	84.01	82.81	NA	0.5127*	2	2
Breast	"Incidence"	2	2000	82.79	83.24	NA	0.5127*	2	2
Breast	"Incidence"	2	2001	82.99	83.66	NA	0.5127*	2	2
Breast	"Incidence"	2	2002	82.65	84.09	NA	0.5127*	2	2
Breast	"Incidence"	2	2003	86.39	84.52	NA	0.5127*	2	2
Breast	"Incidence"	2	2004	86.36	84.96	NA	0.5127*	2	2
Breast	"Incidence"	2	2005	87.13	85.39	NA	0.5127*	2	2
Breast	"Incidence"	2	2006	85.89	85.83	NA	0.5127*	2	2
Breast	"Incidence"	2	2007	84.93	86.27	NA	0.5127*	2	2
Breast	"Incidence"	2	2008	86.96	86.71	NA	0.5127*	2	2
Breast	"Incidence"	2	2009	86.91	87.16	NA	0.5127*	2	2
Breast	"Incidence"	2	2010	88.05	87.61	NA	0.5127*	2	2
Breast	"Incidence"	2	2011	87.28	88.05	NA	0.5127*	2	2
Breast	"Incidence"	2	2012	87.72	88.51	Joinpoint 1	NA	2	2
Breast	"Incidence"	2	2013	90.24	90.95	NA	2.7576	2	2
Breast	"Incidence"	2	2014	95.97	93.45	NA	2.7576	2	2
Breast	"Incidence"	2	2015	94.73	96.03	Joinpoint 2	NA	2	2
Breast	"Incidence"	2	2016	94.36	94.64	NA	-1.4450	2	2
Breast	"Incidence"	2	2017	93.42	93.28	NA	-1.4450	2	2
Breast	"Mortality"	2	1996	23.82	23.85	NA	-2.4024*	1	1
Breast	"Mortality"	2	1997	23.30	23.27	NA	-2.4024*	1	1
Breast	"Mortality"	2	1998	22.68	22.71	NA	-2.4024*	1	1
Breast	"Mortality"	2	1999	21.98	22.17	NA	-2.4024*	1	1
Breast	"Mortality"	2	2000	21.47	21.64	NA	-2.4024*	1	1
Breast	"Mortality"	2	2001	21.18	21.12	NA	-2.4024*	1	1
Breast	"Mortality"	2	2002	20.74	20.61	NA	-2.4024*	1	1
Breast	"Mortality"	2	2003	20.13	20.11	NA	-2.4024*	1	1
Breast	"Mortality"	2	2004	19.56	19.63	NA	-2.4024*	1	1
Breast	"Mortality"	2	2005	19.28	19.16	NA	-2.4024*	1	1
Breast	"Mortality"	2	2006	18.93	18.70	NA	-2.4024*	1	1
Breast	"Mortality"	2	2007	18.38	18.25	NA	-2.4024*	1	1
Breast	"Mortality"	2	2008	17.94	17.81	NA	-2.4024*	1	1
