"Year","Cancer Type","Geography","Sex","ASR (Europe)"
2006,"Bowel Cancer (C18-C20)","UK","All",72.5121708731322
2007,"Bowel Cancer (C18-C20)","UK","All",73.7891361799665
2008,"Bowel Cancer (C18-C20)","UK","All",74.7357192638516
2009,"Bowel Cancer (C18-C20)","UK","All",75.3013093175959
2010,"Bowel Cancer (C18-C20)","UK","All",75.5985807513693
2011,"Bowel Cancer (C18-C20)","UK","All",75.6949889056751
2012,"Bowel Cancer (C18-C20)","UK","All",74.787992269335
2013,"Bowel Cancer (C18-C20)","UK","All",73.1058544024358
2014,"Bowel Cancer (C18-C20)","UK","All",71.5465908953591
2015,"Bowel Cancer (C18-C20)","UK","All",70.7597059544085
2016,"Bowel Cancer (C18-C20)","UK","All",69.9770732975529
2017,"Bowel Cancer (C18-C20)","UK","All",69.509159385056
1994,"Breast Cancer (C50)","UK","All",75.9057546288889
1995,"Breast Cancer (C50)","UK","All",76.4537634550719
1996,"Breast Cancer (C50)","UK","All",77.6399250530179
1997,"Breast Cancer (C50)","UK","All",79.3262882673602
1998,"Breast Cancer (C50)","UK","All",81.6487933102405
1999,"Breast Cancer (C50)","UK","All",82.3587659177606
2000,"Breast Cancer (C50)","UK","All",82.8781909601393
2001,"Breast Cancer (C50)","UK","All",82.5480636693592
2002,"Breast Cancer (C50)","UK","All",84.0670564463442
2003,"Breast Cancer (C50)","UK","All",85.3034880360009
2004,"Breast Cancer (C50)","UK","All",86.9158371785841
2005,"Breast Cancer (C50)","UK","All",86.9607585340825
2006,"Breast Cancer (C50)","UK","All",86.7849140281905
2007,"Breast Cancer (C50)","UK","All",87.2775979281047
2008,"Breast Cancer (C50)","UK","All",87.5230289297827
2009,"Breast Cancer (C50)","UK","All",88.3618730854985
2010,"Breast Cancer (C50)","UK","All",88.0008940455165
2011,"Breast Cancer (C50)","UK","All",88.2981974643606
2012,"Breast Cancer (C50)","UK","All",89.1831288715316
2013,"Breast Cancer (C50)","UK","All",90.6537415147372
2014,"Breast Cancer (C50)","UK","All",91.4149931729331
2015,"Breast Cancer (C50)","UK","All",90.7319802286963
2016,"Breast Cancer (C50)","UK","All",89.4687235096974
2017,"Breast Cancer (C50)","UK","All",89.5624167622978
1994,"Lung Cancer (C33-C34)","UK","All",86.5362819136709
1995,"Lung Cancer (C33-C34)","UK","All",84.561296257983
1996,"Lung Cancer (C33-C34)","UK","All",82.7047658378159
1997,"Lung Cancer (C33-C34)","UK","All",81.4584113412412
1998,"Lung Cancer (C33-C34)","UK","All",80.6794233369787
1999,"Lung Cancer (C33-C34)","UK","All",79.9490570948035
2000,"Lung Cancer (C33-C34)","UK","All",79.3922280406004
2001,"Lung Cancer (C33-C34)","UK","All",78.471519557907
2002,"Lung Cancer (C33-C34)","UK","All",77.2088984031834
2003,"Lung Cancer (C33-C34)","UK","All",76.7930913281585
2004,"Lung Cancer (C33-C34)","UK","All",76.9084720804248
2005,"Lung Cancer (C33-C34)","UK","All",78.0055442969755
2006,"Lung Cancer (C33-C34)","UK","All",78.4867615331106
2007,"Lung Cancer (C33-C34)","UK","All",79.6280382107144
2008,"Lung Cancer (C33-C34)","UK","All",79.576588351904
2009,"Lung Cancer (C33-C34)","UK","All",79.7612484841775
2010,"Lung Cancer (C33-C34)","UK","All",79.8534594962909
2011,"Lung Cancer (C33-C34)","UK","All",80.8134578609582
2012,"Lung Cancer (C33-C34)","UK","All",81.5677590576679
2013,"Lung Cancer (C33-C34)","UK","All",81.6587877933999
2014,"Lung Cancer (C33-C34)","UK","All",80.9232508636018
2015,"Lung Cancer (C33-C34)","UK","All",80.4811625316145
2016,"Lung Cancer (C33-C34)","UK","All",79.9102126134712
2017,"Lung Cancer (C33-C34)","UK","All",79.3755379464165
1994,"Oesophageal Cancer (C15)","UK","All",14.4469206804279
1995,"Oesophageal Cancer (C15)","UK","All",14.4022951250716
1996,"Oesophageal Cancer (C15)","UK","All",14.3522714532619
1997,"Oesophageal Cancer (C15)","UK","All",14.4511742042949
1998,"Oesophageal Cancer (C15)","UK","All",14.6667770828457
1999,"Oesophageal Cancer (C15)","UK","All",14.7845556887373
2000,"Oesophageal Cancer (C15)","UK","All",15.0529012067375
2001,"Oesophageal Cancer (C15)","UK","All",15.1777271954865
2002,"Oesophageal Cancer (C15)","UK","All",15.2495235690015
2003,"Oesophageal Cancer (C15)","UK","All",15.1893536108977
2004,"Oesophageal Cancer (C15)","UK","All",15.2017584077924
2005,"Oesophageal Cancer (C15)","UK","All",15.2312379709459
2006,"Oesophageal Cancer (C15)","UK","All",15.3330012207583
2007,"Oesophageal Cancer (C15)","UK","All",15.467335401129
2008,"Oesophageal Cancer (C15)","UK","All",15.4305223003495
2009,"Oesophageal Cancer (C15)","UK","All",15.4853037856096
2010,"Oesophageal Cancer (C15)","UK","All",15.3156366456556
2011,"Oesophageal Cancer (C15)","UK","All",15.4850327047551
2012,"Oesophageal Cancer (C15)","UK","All",15.4267699094698
2013,"Oesophageal Cancer (C15)","UK","All",15.4673011380116
2014,"Oesophageal Cancer (C15)","UK","All",15.4225717369457
2015,"Oesophageal Cancer (C15)","UK","All",15.3114169070599
2016,"Oesophageal Cancer (C15)","UK","All",15.2215581375267
2017,"Oesophageal Cancer (C15)","UK","All",15.0577944750261
1994,"Pancreatic Cancer (C25)","UK","All",14.4723559028507
1995,"Pancreatic Cancer (C25)","UK","All",14.3098236051947
1996,"Pancreatic Cancer (C25)","UK","All",14.3001722698927
1997,"Pancreatic Cancer (C25)","UK","All",14.3073234956079
1998,"Pancreatic Cancer (C25)","UK","All",14.413728192707
1999,"Pancreatic Cancer (C25)","UK","All",14.4573049512408
2000,"Pancreatic Cancer (C25)","UK","All",14.6244608489523
2001,"Pancreatic Cancer (C25)","UK","All",14.5742072647633
2002,"Pancreatic Cancer (C25)","UK","All",14.5442876785348
2003,"Pancreatic Cancer (C25)","UK","All",14.7244237992477
2004,"Pancreatic Cancer (C25)","UK","All",14.9376509571893
2005,"Pancreatic Cancer (C25)","UK","All",15.2383474945866
2006,"Pancreatic Cancer (C25)","UK","All",15.3449833430617
2007,"Pancreatic Cancer (C25)","UK","All",15.6221249831319
2008,"Pancreatic Cancer (C25)","UK","All",15.8312456546024
2009,"Pancreatic Cancer (C25)","UK","All",16.0500789060495
2010,"Pancreatic Cancer (C25)","UK","All",16.1574091464078
2011,"Pancreatic Cancer (C25)","UK","All",16.3271919777191
2012,"Pancreatic Cancer (C25)","UK","All",16.7221225138032
2013,"Pancreatic Cancer (C25)","UK","All",16.8762674503381
2014,"Pancreatic Cancer (C25)","UK","All",17.0317635788121
2015,"Pancreatic Cancer (C25)","UK","All",17.003715990784
2016,"Pancreatic Cancer (C25)","UK","All",17.1229275008299
2017,"Pancreatic Cancer (C25)","UK","All",17.0628145330664
1994,"Prostate Cancer (C61)","UK","All",46.8820189018161
1995,"Prostate Cancer (C61)","UK","All",49.1972655765221
1996,"Prostate Cancer (C61)","UK","All",49.6258481602177
1997,"Prostate Cancer (C61)","UK","All",50.1370658514124
1998,"Prostate Cancer (C61)","UK","All",51.7316505754992
1999,"Prostate Cancer (C61)","UK","All",55.115506365701
2000,"Prostate Cancer (C61)","UK","All",60.7767631155232
2001,"Prostate Cancer (C61)","UK","All",65.3056162623423
2002,"Prostate Cancer (C61)","UK","All",68.3683143472413
2003,"Prostate Cancer (C61)","UK","All",70.6399092009302
2004,"Prostate Cancer (C61)","UK","All",71.6819740121954
2005,"Prostate Cancer (C61)","UK","All",73.5292925178336
2006,"Prostate Cancer (C61)","UK","All",73.7187239035264
2007,"Prostate Cancer (C61)","UK","All",74.9586509156379
2008,"Prostate Cancer (C61)","UK","All",76.9889746845708
2009,"Prostate Cancer (C61)","UK","All",78.5447325174889
2010,"Prostate Cancer (C61)","UK","All",79.8917062308065
2011,"Prostate Cancer (C61)","UK","All",79.9512822560512
2012,"Prostate Cancer (C61)","UK","All",82.3256507346842
2013,"Prostate Cancer (C61)","UK","All",83.3417347532618
2014,"Prostate Cancer (C61)","UK","All",83.8065883995376
2015,"Prostate Cancer (C61)","UK","All",82.1701256740708
2016,"Prostate Cancer (C61)","UK","All",81.5246151916839
2017,"Prostate Cancer (C61)","UK","All",85.6560242090844
1994,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",659.767481615006
1995,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",657.980062612718
1996,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",653.070990852672
1997,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",651.724005876573
1998,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",652.228099681706
1999,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",653.955703712104
2000,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",661.409760138462
2001,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",663.332972948432
2002,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",661.685704746267
2003,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",662.315821480625
2004,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",663.311027457565
2005,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",670.999781476263
2006,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",671.496475220511
2007,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",679.437934138473
2008,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",684.575772257196
2009,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",688.962954801714
2010,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",690.309719777273
2011,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",691.881287994295
2012,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",701.112685497973
2013,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",702.204712924486
2014,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",698.937678034955
2015,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",688.886291804102
2016,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",681.074990172709
2017,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Men",683.705974586163
1994,"Bowel Cancer (C18-C20)","UK","Men",87.2981423026727
1995,"Bowel Cancer (C18-C20)","UK","Men",87.8145416251883
1996,"Bowel Cancer (C18-C20)","UK","Men",88.7697664757172
1997,"Bowel Cancer (C18-C20)","UK","Men",90.5014308615266
1998,"Bowel Cancer (C18-C20)","UK","Men",90.8355101295586
1999,"Bowel Cancer (C18-C20)","UK","Men",91.1975304134034
2000,"Bowel Cancer (C18-C20)","UK","Men",90.5878376436072
2001,"Bowel Cancer (C18-C20)","UK","Men",89.4592513647133
2002,"Bowel Cancer (C18-C20)","UK","Men",88.6727360374586
2003,"Bowel Cancer (C18-C20)","UK","Men",89.0704592382053
2004,"Bowel Cancer (C18-C20)","UK","Men",90.185847938284
2005,"Bowel Cancer (C18-C20)","UK","Men",90.800593187473
2006,"Bowel Cancer (C18-C20)","UK","Men",91.3303962554503
2007,"Bowel Cancer (C18-C20)","UK","Men",92.6964362340549
2008,"Bowel Cancer (C18-C20)","UK","Men",93.8945848422451
2009,"Bowel Cancer (C18-C20)","UK","Men",94.8129042585154
2010,"Bowel Cancer (C18-C20)","UK","Men",94.7719299334754
2011,"Bowel Cancer (C18-C20)","UK","Men",94.8036574679094
2012,"Bowel Cancer (C18-C20)","UK","Men",93.2294760433766
2013,"Bowel Cancer (C18-C20)","UK","Men",90.7318793992982
2014,"Bowel Cancer (C18-C20)","UK","Men",87.9712111909709
2015,"Bowel Cancer (C18-C20)","UK","Men",86.6376541745438
2016,"Bowel Cancer (C18-C20)","UK","Men",85.551690139347
2017,"Bowel Cancer (C18-C20)","UK","Men",84.8468202152489
1994,"Breast Cancer (C50)","UK","Men",1.27830776357975
1995,"Breast Cancer (C50)","UK","Men",1.17647762793398
1996,"Breast Cancer (C50)","UK","Men",1.24492405162559
1997,"Breast Cancer (C50)","UK","Men",1.30329623710041
1998,"Breast Cancer (C50)","UK","Men",1.40845467668419
1999,"Breast Cancer (C50)","UK","Men",1.39163488264555
2000,"Breast Cancer (C50)","UK","Men",1.33925115609717
2001,"Breast Cancer (C50)","UK","Men",1.33133156748733
2002,"Breast Cancer (C50)","UK","Men",1.41980763401796
2003,"Breast Cancer (C50)","UK","Men",1.47101561201393
2004,"Breast Cancer (C50)","UK","Men",1.39182518688071
2005,"Breast Cancer (C50)","UK","Men",1.33334488685063
2006,"Breast Cancer (C50)","UK","Men",1.23303586668148
2007,"Breast Cancer (C50)","UK","Men",1.30344787074227
2008,"Breast Cancer (C50)","UK","Men",1.30531616944742
2009,"Breast Cancer (C50)","UK","Men",1.41293665357065
2010,"Breast Cancer (C50)","UK","Men",1.40148906671043
2011,"Breast Cancer (C50)","UK","Men",1.42039494878409
2012,"Breast Cancer (C50)","UK","Men",1.35455832950313
2013,"Breast Cancer (C50)","UK","Men",1.39137033757172
2014,"Breast Cancer (C50)","UK","Men",1.37784418998819
2015,"Breast Cancer (C50)","UK","Men",1.36955867677581
2016,"Breast Cancer (C50)","UK","Men",1.33051976936995
2017,"Breast Cancer (C50)","UK","Men",1.3244854578012
1994,"Lung Cancer (C33-C34)","UK","Men",136.603180655022
1995,"Lung Cancer (C33-C34)","UK","Men",130.955542603679
1996,"Lung Cancer (C33-C34)","UK","Men",125.958536993105
1997,"Lung Cancer (C33-C34)","UK","Men",122.376834017978
1998,"Lung Cancer (C33-C34)","UK","Men",119.553056084099
1999,"Lung Cancer (C33-C34)","UK","Men",116.517476322222
2000,"Lung Cancer (C33-C34)","UK","Men",114.246827318403
2001,"Lung Cancer (C33-C34)","UK","Men",111.266549096209
2002,"Lung Cancer (C33-C34)","UK","Men",107.753870272272
2003,"Lung Cancer (C33-C34)","UK","Men",105.650249230383
2004,"Lung Cancer (C33-C34)","UK","Men",104.316271108589
2005,"Lung Cancer (C33-C34)","UK","Men",104.590182959919
2006,"Lung Cancer (C33-C34)","UK","Men",103.513356796112
2007,"Lung Cancer (C33-C34)","UK","Men",103.549644165521
2008,"Lung Cancer (C33-C34)","UK","Men",101.983591934471
2009,"Lung Cancer (C33-C34)","UK","Men",100.924738047522
2010,"Lung Cancer (C33-C34)","UK","Men",99.8369107992197
2011,"Lung Cancer (C33-C34)","UK","Men",99.5541854626909
2012,"Lung Cancer (C33-C34)","UK","Men",99.1848831667582
2013,"Lung Cancer (C33-C34)","UK","Men",97.9968701172987
2014,"Lung Cancer (C33-C34)","UK","Men",96.1015201900895
2015,"Lung Cancer (C33-C34)","UK","Men",94.6076933400977
2016,"Lung Cancer (C33-C34)","UK","Men",92.664730618582
2017,"Lung Cancer (C33-C34)","UK","Men",91.0142248195952
1994,"Oesophageal Cancer (C15)","UK","Men",20.4799693121857
1995,"Oesophageal Cancer (C15)","UK","Men",20.4896131726973
1996,"Oesophageal Cancer (C15)","UK","Men",20.3978109209854
1997,"Oesophageal Cancer (C15)","UK","Men",20.6575267891017
1998,"Oesophageal Cancer (C15)","UK","Men",20.8471084549697
1999,"Oesophageal Cancer (C15)","UK","Men",20.9669777283333
2000,"Oesophageal Cancer (C15)","UK","Men",21.448441614996
2001,"Oesophageal Cancer (C15)","UK","Men",21.9120490810839
2002,"Oesophageal Cancer (C15)","UK","Men",22.2472139942778
2003,"Oesophageal Cancer (C15)","UK","Men",22.3328634514942
2004,"Oesophageal Cancer (C15)","UK","Men",22.3249589269588
2005,"Oesophageal Cancer (C15)","UK","Men",22.371347342651
2006,"Oesophageal Cancer (C15)","UK","Men",22.4949114892326
2007,"Oesophageal Cancer (C15)","UK","Men",22.9054282744565
2008,"Oesophageal Cancer (C15)","UK","Men",22.9500565409108
2009,"Oesophageal Cancer (C15)","UK","Men",23.0660381143762
2010,"Oesophageal Cancer (C15)","UK","Men",22.7316878201682
2011,"Oesophageal Cancer (C15)","UK","Men",22.9928917536171
2012,"Oesophageal Cancer (C15)","UK","Men",22.8228077574827
2013,"Oesophageal Cancer (C15)","UK","Men",22.8280614492485
2014,"Oesophageal Cancer (C15)","UK","Men",22.7363116462723
2015,"Oesophageal Cancer (C15)","UK","Men",22.7882707158646
2016,"Oesophageal Cancer (C15)","UK","Men",22.8417415780812
2017,"Oesophageal Cancer (C15)","UK","Men",22.7157451334065
1994,"Pancreatic Cancer (C25)","UK","Men",16.881176491796
1995,"Pancreatic Cancer (C25)","UK","Men",16.6397580127059
1996,"Pancreatic Cancer (C25)","UK","Men",16.7038782546481
1997,"Pancreatic Cancer (C25)","UK","Men",16.7827879353707
1998,"Pancreatic Cancer (C25)","UK","Men",16.7268657371485
1999,"Pancreatic Cancer (C25)","UK","Men",16.7014580445317
2000,"Pancreatic Cancer (C25)","UK","Men",16.7322107455845
2001,"Pancreatic Cancer (C25)","UK","Men",16.810669009117
2002,"Pancreatic Cancer (C25)","UK","Men",16.5416482129961
2003,"Pancreatic Cancer (C25)","UK","Men",16.712625974142
2004,"Pancreatic Cancer (C25)","UK","Men",16.7674540832543
2005,"Pancreatic Cancer (C25)","UK","Men",17.1432669058174
2006,"Pancreatic Cancer (C25)","UK","Men",17.1200749839634
2007,"Pancreatic Cancer (C25)","UK","Men",17.4826537718386
2008,"Pancreatic Cancer (C25)","UK","Men",17.7174697775306
2009,"Pancreatic Cancer (C25)","UK","Men",17.9802582222512
2010,"Pancreatic Cancer (C25)","UK","Men",17.9834581710116
2011,"Pancreatic Cancer (C25)","UK","Men",18.1811266521314
2012,"Pancreatic Cancer (C25)","UK","Men",18.6288150804116
2013,"Pancreatic Cancer (C25)","UK","Men",18.8283216129704
2014,"Pancreatic Cancer (C25)","UK","Men",18.9148051964752
2015,"Pancreatic Cancer (C25)","UK","Men",19.0257623201679
2016,"Pancreatic Cancer (C25)","UK","Men",19.2794037991831
2017,"Pancreatic Cancer (C25)","UK","Men",19.4205261858697
1994,"Prostate Cancer (C61)","UK","Men",123.908713315311
1995,"Prostate Cancer (C61)","UK","Men",128.648570842378
1996,"Prostate Cancer (C61)","UK","Men",128.395963059813
1997,"Prostate Cancer (C61)","UK","Men",128.128767097722
1998,"Prostate Cancer (C61)","UK","Men",130.643511892051
1999,"Prostate Cancer (C61)","UK","Men",137.095209344894
2000,"Prostate Cancer (C61)","UK","Men",148.910235272401
2001,"Prostate Cancer (C61)","UK","Men",157.867930536365
2002,"Prostate Cancer (C61)","UK","Men",163.505330178073
2003,"Prostate Cancer (C61)","UK","Men",167.045267356338
2004,"Prostate Cancer (C61)","UK","Men",167.667844115756
2005,"Prostate Cancer (C61)","UK","Men",170.38841778167
2006,"Prostate Cancer (C61)","UK","Men",169.440306960027
2007,"Prostate Cancer (C61)","UK","Men",171.156025051486
2008,"Prostate Cancer (C61)","UK","Men",174.399623737332
2009,"Prostate Cancer (C61)","UK","Men",176.78713001171
2010,"Prostate Cancer (C61)","UK","Men",178.558639833728
2011,"Prostate Cancer (C61)","UK","Men",177.934592733513
2012,"Prostate Cancer (C61)","UK","Men",182.550052645669
2013,"Prostate Cancer (C61)","UK","Men",184.014002047554
2014,"Prostate Cancer (C61)","UK","Men",183.996996168253
2015,"Prostate Cancer (C61)","UK","Men",179.334040857128
2016,"Prostate Cancer (C61)","UK","Men",177.126905745561
2017,"Prostate Cancer (C61)","UK","Men",185.138266025626
1994,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",473.763635453096
1995,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",475.718819233774
1996,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",479.64038194008
1997,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",484.795965158729
1998,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",491.304698046908
1999,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",493.105586368294
2000,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",496.532810245928
2001,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",494.981381387466
2002,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",497.674460883592
2003,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",500.331211014451
2004,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",506.992207208391
2005,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",512.593820242891
2006,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",518.284130026681
2007,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",526.800500010073
2008,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",532.39144946507
2009,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",538.09702569231
2010,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",540.963360936605
2011,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",545.757891088544
2012,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",553.536892384632
2013,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",558.178735105646
2014,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",559.916212978533
2015,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",557.227580406749
2016,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",553.388742715249
2017,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","Women",552.552096548642
1994,"Bowel Cancer (C18-C20)","UK","Women",57.4828400124632
1995,"Bowel Cancer (C18-C20)","UK","Women",57.7037422326056
1996,"Bowel Cancer (C18-C20)","UK","Women",57.5856253151099
1997,"Bowel Cancer (C18-C20)","UK","Women",58.2210263597206
1998,"Bowel Cancer (C18-C20)","UK","Women",58.0771511116646
1999,"Bowel Cancer (C18-C20)","UK","Women",57.9747322832197
2000,"Bowel Cancer (C18-C20)","UK","Women",57.2303839798262
2001,"Bowel Cancer (C18-C20)","UK","Women",56.2881784117097
2002,"Bowel Cancer (C18-C20)","UK","Women",55.4814008466552
2003,"Bowel Cancer (C18-C20)","UK","Women",55.5963343280213
2004,"Bowel Cancer (C18-C20)","UK","Women",56.0633400299996
2005,"Bowel Cancer (C18-C20)","UK","Women",57.0222360697779
2006,"Bowel Cancer (C18-C20)","UK","Women",57.9100127939017
2007,"Bowel Cancer (C18-C20)","UK","Women",58.9663758128404
2008,"Bowel Cancer (C18-C20)","UK","Women",59.6216722457717
2009,"Bowel Cancer (C18-C20)","UK","Women",59.757666222794
2010,"Bowel Cancer (C18-C20)","UK","Women",60.1309947729681
2011,"Bowel Cancer (C18-C20)","UK","Women",60.2561599835098
2012,"Bowel Cancer (C18-C20)","UK","Women",59.8156941841663
2013,"Bowel Cancer (C18-C20)","UK","Women",58.7818591605436
