"age_group"	"sex"	"level"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
11-15 years	All children	Overweight including obese	2000	31.31	33.46	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	2001	34.65	34.61	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	2002	35.00	35.79	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	2003	36.95	37.02	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	2004	41.72	38.28	Joinpoint 1	NA	2	2
11-15 years	All children	Overweight including obese	2005	35.81	36.63	NA	-4.3269	2	2
11-15 years	All children	Overweight including obese	2006	33.48	35.04	NA	-4.3269	2	2
11-15 years	All children	Overweight including obese	2007	34.18	33.53	Joinpoint 2	NA	2	2
11-15 years	All children	Overweight including obese	2008	35.17	33.77	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2009	32.27	34.01	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2010	33.84	34.25	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2011	37.07	34.50	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2012	35.15	34.74	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2013	35.89	34.99	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2014	34.87	35.24	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2015	32.47	35.50	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2016	36.27	35.75	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2017	36.64	36.00	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2018	33.77	36.26	NA	0.7156	2	2
11-15 years	All children	Overweight including obese	2019	39.26	36.52	NA	0.7156	2	2
11-15 years	Boys	Obese	1995	13.92	13.71	NA	6.9697	1	1
11-15 years	Boys	Obese	1996	14.28	14.66	NA	6.9697	1	1
11-15 years	Boys	Obese	1997	15.93	15.68	NA	6.9697	1	1
11-15 years	Boys	Obese	1998	16.61	16.78	NA	6.9697	1	1
11-15 years	Boys	Obese	1999	17.95	17.94	NA	6.9697	1	1
11-15 years	Boys	Obese	2000	18.89	19.20	Joinpoint 1	NA	1	1
11-15 years	Boys	Obese	2001	18.99	19.35	NA	0.8143	1	1
11-15 years	Boys	Obese	2002	20.29	19.51	NA	0.8143	1	1
11-15 years	Boys	Obese	2003	20.44	19.67	NA	0.8143	1	1
11-15 years	Boys	Obese	2004	24.30	19.83	NA	0.8143	1	1
11-15 years	Boys	Obese	2005	20.51	19.99	NA	0.8143	1	1
11-15 years	Boys	Obese	2006	17.90	20.15	NA	0.8143	1	1
11-15 years	Boys	Obese	2007	18.19	20.32	NA	0.8143	1	1
11-15 years	Boys	Obese	2008	20.64	20.48	NA	0.8143	1	1
11-15 years	Boys	Obese	2009	19.73	20.65	NA	0.8143	1	1
11-15 years	Boys	Obese	2010	19.93	20.82	NA	0.8143	1	1
11-15 years	Boys	Obese	2011	23.83	20.99	NA	0.8143	1	1
11-15 years	Boys	Obese	2012	19.07	21.16	NA	0.8143	1	1
11-15 years	Boys	Obese	2013	20.40	21.33	NA	0.8143	1	1
11-15 years	Boys	Obese	2014	21.68	21.50	NA	0.8143	1	1
11-15 years	Boys	Obese	2015	17.82	21.68	NA	0.8143	1	1
11-15 years	Boys	Obese	2016	25.60	21.86	NA	0.8143	1	1
11-15 years	Boys	Obese	2017	22.81	22.03	NA	0.8143	1	1
11-15 years	Boys	Obese	2018	19.35	22.21	NA	0.8143	1	1
11-15 years	Boys	Obese	2019	27.32	22.39	NA	0.8143	1	1
11-15 years	Boys	Overweight	1995	13.87	14.14	NA	-0.0074	0	0
11-15 years	Boys	Overweight	1996	15.17	14.14	NA	-0.0074	0	0
11-15 years	Boys	Overweight	1997	12.85	14.14	NA	-0.0074	0	0
11-15 years	Boys	Overweight	1998	14.88	14.14	NA	-0.0074	0	0
11-15 years	Boys	Overweight	1999	15.18	14.14	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2000	10.37	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2001	14.27	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2002	14.53	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2003	14.50	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2004	12.91	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2005	15.48	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2006	15.28	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2007	15.74	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2008	15.68	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2009	14.01	14.13	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2010	14.33	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2011	14.58	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2012	14.97	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2013	15.16	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2014	12.55	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2015	16.15	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2016	9.28	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2017	13.67	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2018	16.17	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight	2019	14.25	14.12	NA	-0.0074	0	0
11-15 years	Boys	Overweight including obese	1995	27.79	28.17	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	1996	29.45	28.92	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	1997	28.78	29.69	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	1998	31.49	30.48	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	1999	33.12	31.29	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	2000	29.26	32.12	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	2001	33.26	32.98	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	2002	34.81	33.86	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	2003	34.94	34.76	NA	2.6620*	2	2
11-15 years	Boys	Overweight including obese	2004	37.21	35.68	Joinpoint 1	NA	2	2
11-15 years	Boys	Overweight including obese	2005	35.99	35.57	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2006	33.19	35.46	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2007	33.93	35.35	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2008	36.31	35.24	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2009	33.75	35.12	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2010	34.26	35.01	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2011	38.41	34.90	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2012	34.04	34.79	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2013	35.56	34.68	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2014	34.23	34.57	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2015	33.97	34.47	NA	-0.3147	2	2
11-15 years	Boys	Overweight including obese	2016	34.88	34.36	Joinpoint 2	NA	2	2
11-15 years	Boys	Overweight including obese	2017	36.47	36.11	NA	5.1107	2	2
11-15 years	Boys	Overweight including obese	2018	35.52	37.96	NA	5.1107	2	2
11-15 years	Boys	Overweight including obese	2019	41.57	39.90	NA	5.1107	2	2
11-15 years	Girls	Obese	1995	15.54	14.72	NA	4.9036*	2	2
11-15 years	Girls	Obese	1996	15.83	15.45	NA	4.9036*	2	2
11-15 years	Girls	Obese	1997	16.35	16.20	NA	4.9036*	2	2
11-15 years	Girls	Obese	1998	17.75	17.00	NA	4.9036*	2	2
11-15 years	Girls	Obese	1999	15.62	17.83	NA	4.9036*	2	2
11-15 years	Girls	Obese	2000	18.56	18.71	NA	4.9036*	2	2
11-15 years	Girls	Obese	2001	18.02	19.62	NA	4.9036*	2	2
11-15 years	Girls	Obese	2002	19.76	20.59	NA	4.9036*	2	2
11-15 years	Girls	Obese	2003	22.24	21.60	NA	4.9036*	2	2
11-15 years	Girls	Obese	2004	26.73	22.65	Joinpoint 1	NA	2	2
11-15 years	Girls	Obese	2005	21.15	21.21	NA	-6.3597	2	2
11-15 years	Girls	Obese	2006	17.28	19.86	NA	-6.3597	2	2
11-15 years	Girls	Obese	2007	19.45	18.60	NA	-6.3597	2	2
11-15 years	Girls	Obese	2008	18.29	17.42	NA	-6.3597	2	2
11-15 years	Girls	Obese	2009	15.40	16.31	Joinpoint 2	NA	2	2
11-15 years	Girls	Obese	2010	16.59	16.66	NA	2.1179	2	2
11-15 years	Girls	Obese	2011	16.52	17.01	NA	2.1179	2	2
11-15 years	Girls	Obese	2012	18.71	17.37	NA	2.1179	2	2
11-15 years	Girls	Obese	2013	19.39	17.74	NA	2.1179	2	2
11-15 years	Girls	Obese	2014	18.48	18.11	NA	2.1179	2	2
11-15 years	Girls	Obese	2015	14.82	18.50	NA	2.1179	2	2
11-15 years	Girls	Obese	2016	20.49	18.89	NA	2.1179	2	2
11-15 years	Girls	Obese	2017	23.87	19.29	NA	2.1179	2	2
11-15 years	Girls	Obese	2018	16.23	19.70	NA	2.1179	2	2
11-15 years	Girls	Obese	2019	20.47	20.11	NA	2.1179	2	2
11-15 years	Girls	Overweight	1995	14.29	15.27	NA	0.3677	0	0
11-15 years	Girls	Overweight	1996	13.72	15.33	NA	0.3677	0	0
11-15 years	Girls	Overweight	1997	15.57	15.38	NA	0.3677	0	0
11-15 years	Girls	Overweight	1998	15.84	15.44	NA	0.3677	0	0
11-15 years	Girls	Overweight	1999	13.70	15.50	NA	0.3677	0	0
11-15 years	Girls	Overweight	2000	14.71	15.55	NA	0.3677	0	0
11-15 years	Girls	Overweight	2001	18.06	15.61	NA	0.3677	0	0
11-15 years	Girls	Overweight	2002	15.43	15.67	NA	0.3677	0	0
11-15 years	Girls	Overweight	2003	16.86	15.73	NA	0.3677	0	0
11-15 years	Girls	Overweight	2004	19.67	15.78	NA	0.3677	0	0
11-15 years	Girls	Overweight	2005	14.48	15.84	NA	0.3677	0	0
11-15 years	Girls	Overweight	2006	16.51	15.90	NA	0.3677	0	0
11-15 years	Girls	Overweight	2007	15.00	15.96	NA	0.3677	0	0
11-15 years	Girls	Overweight	2008	15.65	16.02	NA	0.3677	0	0
11-15 years	Girls	Overweight	2009	15.28	16.08	NA	0.3677	0	0
11-15 years	Girls	Overweight	2010	16.81	16.14	NA	0.3677	0	0
11-15 years	Girls	Overweight	2011	19.16	16.19	NA	0.3677	0	0
11-15 years	Girls	Overweight	2012	18.03	16.25	NA	0.3677	0	0
11-15 years	Girls	Overweight	2013	16.86	16.31	NA	0.3677	0	0
11-15 years	Girls	Overweight	2014	17.08	16.37	NA	0.3677	0	0
11-15 years	Girls	Overweight	2015	16.09	16.43	NA	0.3677	0	0
11-15 years	Girls	Overweight	2016	17.23	16.49	NA	0.3677	0	0
11-15 years	Girls	Overweight	2017	12.95	16.56	NA	0.3677	0	0
11-15 years	Girls	Overweight	2018	15.61	16.62	NA	0.3677	0	0
11-15 years	Girls	Overweight	2019	16.40	16.68	NA	0.3677	0	0
11-15 years	Girls	Overweight including obese	1995	29.83	28.58	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	1996	29.55	29.69	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	1997	31.92	30.84	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	1998	33.60	32.03	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	1999	29.33	33.28	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	2000	33.27	34.57	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	2001	36.08	35.91	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	2002	35.19	37.30	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	2003	39.10	38.75	NA	3.8792*	2	2
11-15 years	Girls	Overweight including obese	2004	46.40	40.25	Joinpoint 1	NA	2	2
11-15 years	Girls	Overweight including obese	2005	35.63	37.74	NA	-6.2465	2	2
11-15 years	Girls	Overweight including obese	2006	33.79	35.38	NA	-6.2465	2	2
11-15 years	Girls	Overweight including obese	2007	34.45	33.17	Joinpoint 2	NA	2	2
11-15 years	Girls	Overweight including obese	2008	33.94	33.38	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2009	30.68	33.60	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2010	33.40	33.81	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2011	35.68	34.03	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2012	36.65	34.25	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2013	36.25	34.47	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2014	35.56	34.69	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2015	30.92	34.91	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2016	37.72	35.14	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2017	36.82	35.36	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2018	31.84	35.59	NA	0.6421	2	2
11-15 years	Girls	Overweight including obese	2019	36.87	35.82	NA	0.6421	2	2
2-10 years	All children	Obese	1995	10.12	10.46	NA	4.5844*	1	1
2-10 years	All children	Obese	1996	10.88	10.94	NA	4.5844*	1	1
2-10 years	All children	Obese	1997	11.08	11.44	NA	4.5844*	1	1
2-10 years	All children	Obese	1998	11.91	11.96	NA	4.5844*	1	1
2-10 years	All children	Obese	1999	14.86	12.51	NA	4.5844*	1	1
2-10 years	All children	Obese	2000	12.09	13.09	NA	4.5844*	1	1
2-10 years	All children	Obese	2001	13.28	13.69	NA	4.5844*	1	1
2-10 years	All children	Obese	2002	15.79	14.31	NA	4.5844*	1	1
2-10 years	All children	Obese	2003	14.08	14.97	NA	4.5844*	1	1
2-10 years	All children	Obese	2004	14.59	15.66	Joinpoint 1	NA	1	1
2-10 years	All children	Obese	2005	17.26	15.40	NA	-1.6577*	1	1
2-10 years	All children	Obese	2006	15.53	15.14	NA	-1.6577*	1	1
2-10 years	All children	Obese	2007	15.55	14.89	NA	-1.6577*	1	1
2-10 years	All children	Obese	2008	13.89	14.64	NA	-1.6577*	1	1
2-10 years	All children	Obese	2009	14.44	14.40	NA	-1.6577*	1	1
2-10 years	All children	Obese	2010	14.60	14.16	NA	-1.6577*	1	1
2-10 years	All children	Obese	2011	13.94	13.93	NA	-1.6577*	1	1
2-10 years	All children	Obese	2012	10.57	13.70	NA	-1.6577*	1	1
2-10 years	All children	Obese	2013	12.43	13.47	NA	-1.6577*	1	1
2-10 years	All children	Obese	2014	15.46	13.25	NA	-1.6577*	1	1
2-10 years	All children	Obese	2015	12.80	13.03	NA	-1.6577*	1	1
2-10 years	All children	Obese	2016	12.45	12.81	NA	-1.6577*	1	1
2-10 years	All children	Obese	2017	13.36	12.60	NA	-1.6577*	1	1
2-10 years	All children	Obese	2018	13.51	12.39	NA	-1.6577*	1	1
2-10 years	All children	Obese	2019	11.81	12.18	NA	-1.6577*	1	1
2-10 years	All children	Overweight	1995	12.93	12.76	NA	1.4978	1	1
2-10 years	All children	Overweight	1996	12.81	12.95	NA	1.4978	1	1
2-10 years	All children	Overweight	1997	12.67	13.14	NA	1.4978	1	1
2-10 years	All children	Overweight	1998	13.75	13.34	NA	1.4978	1	1
2-10 years	All children	Overweight	1999	13.96	13.54	NA	1.4978	1	1
2-10 years	All children	Overweight	2000	12.80	13.74	NA	1.4978	1	1
2-10 years	All children	Overweight	2001	15.20	13.95	NA	1.4978	1	1
2-10 years	All children	Overweight	2002	13.50	14.16	NA	1.4978	1	1
2-10 years	All children	Overweight	2003	14.63	14.37	Joinpoint 1	NA	1	1
2-10 years	All children	Overweight	2004	14.80	14.21	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2005	14.65	14.06	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2006	12.76	13.91	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2007	13.64	13.76	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2008	13.43	13.61	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2009	13.89	13.46	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2010	13.62	13.31	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2011	11.89	13.17	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2012	12.81	13.03	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2013	13.20	12.89	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2014	13.79	12.75	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2015	13.21	12.61	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2016	11.04	12.47	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2017	12.86	12.34	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2018	11.72	12.20	NA	-1.0835*	1	1
2-10 years	All children	Overweight	2019	12.69	12.07	NA	-1.0835*	1	1
2-10 years	All children	Overweight including obese	1995	23.05	23.01	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	1996	23.70	23.78	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	1997	23.75	24.57	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	1998	25.66	25.39	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	1999	28.82	26.24	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	2000	24.89	27.11	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	2001	28.48	28.02	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	2002	29.29	28.95	NA	3.3349*	1	1
2-10 years	All children	Overweight including obese	2003	28.71	29.92	Joinpoint 1	NA	1	1
2-10 years	All children	Overweight including obese	2004	29.38	29.54	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2005	31.90	29.17	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2006	28.29	28.80	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2007	29.19	28.44	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2008	27.31	28.08	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2009	28.33	27.73	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2010	28.21	27.38	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2011	25.83	27.03	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2012	23.37	26.69	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2013	25.63	26.36	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2014	29.25	26.02	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2015	26.01	25.70	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2016	23.49	25.37	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2017	26.22	25.05	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2018	25.23	24.74	NA	-1.2599*	1	1
2-10 years	All children	Overweight including obese	2019	24.50	24.42	NA	-1.2599*	1	1
2-10 years	Boys	Obese	1995	9.66	10.32	NA	5.6179*	1	1
2-10 years	Boys	Obese	1996	11.02	10.90	NA	5.6179*	1	1
2-10 years	Boys	Obese	1997	11.36	11.51	NA	5.6179*	1	1
2-10 years	Boys	Obese	1998	11.85	12.16	NA	5.6179*	1	1
2-10 years	Boys	Obese	1999	16.54	12.84	NA	5.6179*	1	1
2-10 years	Boys	Obese	2000	12.39	13.56	NA	5.6179*	1	1
2-10 years	Boys	Obese	2001	13.60	14.32	NA	5.6179*	1	1
2-10 years	Boys	Obese	2002	15.52	15.13	NA	5.6179*	1	1
2-10 years	Boys	Obese	2003	15.43	15.98	Joinpoint 1	NA	1	1
2-10 years	Boys	Obese	2004	16.19	15.79	NA	-1.1492	1	1
2-10 years	Boys	Obese	2005	17.13	15.61	NA	-1.1492	1	1
2-10 years	Boys	Obese	2006	17.44	15.43	NA	-1.1492	1	1
2-10 years	Boys	Obese	2007	16.45	15.26	NA	-1.1492	1	1
2-10 years	Boys	Obese	2008	14.45	15.08	NA	-1.1492	1	1
2-10 years	Boys	Obese	2009	13.72	14.91	NA	-1.1492	1	1
2-10 years	Boys	Obese	2010	15.33	14.74	NA	-1.1492	1	1
2-10 years	Boys	Obese	2011	12.41	14.57	NA	-1.1492	1	1
2-10 years	Boys	Obese	2012	10.82	14.40	NA	-1.1492	1	1
2-10 years	Boys	Obese	2013	12.85	14.23	NA	-1.1492	1	1
2-10 years	Boys	Obese	2014	16.84	14.07	NA	-1.1492	1	1
2-10 years	Boys	Obese	2015	14.11	13.91	NA	-1.1492	1	1
2-10 years	Boys	Obese	2016	10.97	13.75	NA	-1.1492	1	1
2-10 years	Boys	Obese	2017	15.13	13.59	NA	-1.1492	1	1
2-10 years	Boys	Obese	2018	14.61	13.43	NA	-1.1492	1	1
2-10 years	Boys	Obese	2019	15.49	13.28	NA	-1.1492	1	1
2-10 years	Boys	Overweight	1995	13.07	13.90	NA	0.3645	1	1
2-10 years	Boys	Overweight	1996	14.29	13.95	NA	0.3645	1	1
2-10 years	Boys	Overweight	1997	13.28	14.01	NA	0.3645	1	1
2-10 years	Boys	Overweight	1998	14.76	14.06	NA	0.3645	1	1
2-10 years	Boys	Overweight	1999	14.30	14.11	NA	0.3645	1	1
2-10 years	Boys	Overweight	2000	13.77	14.16	NA	0.3645	1	1
2-10 years	Boys	Overweight	2001	15.92	14.21	NA	0.3645	1	1
2-10 years	Boys	Overweight	2002	13.51	14.26	NA	0.3645	1	1
2-10 years	Boys	Overweight	2003	15.08	14.31	NA	0.3645	1	1
2-10 years	Boys	Overweight	2004	14.56	14.37	NA	0.3645	1	1
2-10 years	Boys	Overweight	2005	16.50	14.42	NA	0.3645	1	1
2-10 years	Boys	Overweight	2006	12.39	14.47	NA	0.3645	1	1
2-10 years	Boys	Overweight	2007	13.35	14.52	NA	0.3645	1	1
2-10 years	Boys	Overweight	2008	13.85	14.58	NA	0.3645	1	1
2-10 years	Boys	Overweight	2009	16.23	14.63	NA	0.3645	1	1
2-10 years	Boys	Overweight	2010	14.27	14.68	Joinpoint 1	NA	1	1
2-10 years	Boys	Overweight	2011	14.94	14.31	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2012	13.14	13.95	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2013	13.57	13.60	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2014	13.51	13.26	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2015	14.33	12.92	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2016	10.52	12.59	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2017	13.37	12.28	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2018	12.93	11.97	NA	-2.5261*	1	1
2-10 years	Boys	Overweight	2019	10.85	11.66	NA	-2.5261*	1	1
2-10 years	Boys	Overweight including obese	1995	22.73	23.75	NA	3.4456*	1	1
2-10 years	Boys	Overweight including obese	1996	25.31	24.57	NA	3.4456*	1	1
2-10 years	Boys	Overweight including obese	1997	24.64	25.42	NA	3.4456*	1	1
2-10 years	Boys	Overweight including obese	1998	26.61	26.30	NA	3.4456*	1	1
2-10 years	Boys	Overweight including obese	1999	30.83	27.20	NA	3.4456*	1	1
