"age_group"	"sex"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
20-49	Women	"processedmeat_consumption_median"	2015	12.81	12.94	NA	-5.7331*	0	0
20-49	Women	"processedmeat_consumption_median"	2016	12.43	12.20	NA	-5.7331*	0	0
20-49	Women	"processedmeat_consumption_median"	2017	13.46	11.50	NA	-5.7331*	0	0
20-49	Women	"processedmeat_consumption_median"	2018	8.01	10.84	NA	-5.7331*	0	0
50+	Women	"processedmeat_consumption_median"	2008	17.72	16.12	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2009	15.42	15.20	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2010	12.50	14.33	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2011	10.99	13.51	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2012	17.25	12.73	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2013	12.12	12.00	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2014	13.44	11.32	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2015	7.84	10.67	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2016	9.12	10.06	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2017	9.62	9.48	NA	-5.7232*	0	0
50+	Women	"processedmeat_consumption_median"	2018	10.28	8.94	NA	-5.7232*	0	0
20-49	Men	"redmeat_consumption_median"	2008	41.01	36.17	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2009	34.32	34.99	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2010	32.47	33.85	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2011	31.12	32.75	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2012	33.33	31.69	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2013	30.87	30.66	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2014	21.04	29.66	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2015	31.76	28.70	NA	-3.2499	1	1
20-49	Men	"redmeat_consumption_median"	2016	29.55	27.77	Joinpoint 1	NA	1	1
20-49	Men	"redmeat_consumption_median"	2017	22.96	18.46	NA	-33.5261	1	1
20-49	Men	"redmeat_consumption_median"	2018	11.00	12.27	NA	-33.5261	1	1
50+	Men	"redmeat_consumption_median"	2008	44.03	39.38	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2009	42.37	38.88	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2010	36.04	38.39	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2011	30.77	37.90	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2012	40.26	37.42	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2013	31.76	36.94	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2014	37.74	36.48	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2015	36.62	36.01	NA	-1.2672	1	1
50+	Men	"redmeat_consumption_median"	2016	38.75	35.56	Joinpoint 1	NA	1	1
50+	Men	"redmeat_consumption_median"	2017	28.95	28.11	NA	-20.9575	1	1
50+	Men	"redmeat_consumption_median"	2018	21.89	22.22	NA	-20.9575	1	1
20-49	Women	"redmeat_consumption_median"	2008	28.62	21.96	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2009	15.63	20.36	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2010	13.22	18.88	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2011	18.73	17.50	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2012	16.89	16.23	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2013	11.63	15.05	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2014	25.65	13.96	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2015	16.36	12.94	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2016	11.43	12.00	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2017	12.43	11.13	NA	-7.2739*	0	0
20-49	Women	"redmeat_consumption_median"	2018	6.91	10.32	NA	-7.2739*	0	0
50+	Women	"redmeat_consumption_median"	2008	39.51	34.65	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2009	27.58	31.90	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2010	29.26	29.37	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2011	30.66	27.04	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2012	24.03	24.89	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2013	23.68	22.91	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2014	16.57	21.09	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2015	27.05	19.42	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2016	11.89	17.88	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2017	16.12	16.46	NA	-7.9404*	0	0
50+	Women	"redmeat_consumption_median"	2018	19.12	15.15	NA	-7.9404*	0	0
