"sex","age_group","variable","cancer_site","PIF_past","PIF_future","PIF_past_future"
"Men","All","Smoking","Thyroid",NA,NA,NA
"Men","All","physical_activity_old","Breast",NA,NA,NA
"Men","All","physical_activity_old","Colorectum",-0.00554548321594211,-0.000540837950213645,-0.00608932037393121
"Men","All","physical_activity_old","Endometrium",NA,NA,NA
"Men","All","physical_activity_old","Gallbladder",NA,NA,NA
"Men","All","physical_activity_old","Kidney",NA,NA,NA
"Men","All","physical_activity_old","Liver",NA,NA,NA
"Men","All","physical_activity_old","MultipleMyeloma",NA,NA,NA
"Men","All","physical_activity_old","Oral",NA,NA,NA
"Men","All","physical_activity_old","Pancreas",NA,NA,NA
"Men","All","physical_activity_old","Thyroid",NA,NA,NA
"Women","All","Alcohol","Breast",0.0066068488901556,-0.00434141289723708,0.00229411905190033
"Women","All","Alcohol","Colorectum",0.0063180357381375,-0.0031120359388029,0.00322566175361433
"Women","All","Alcohol","Endometrium",NA,NA,NA
"Women","All","Alcohol","Gallbladder",NA,NA,NA
"Women","All","Alcohol","Kidney",NA,NA,NA
"Women","All","Alcohol","Liver",0.0103265492883418,-0.00332823125474544,0.00703268717769153
"Women","All","Alcohol","MultipleMyeloma",NA,NA,NA
"Women","All","Alcohol","Oral",0.0328171278033802,-0.0161523126330514,0.0171948876783278
"Women","All","Alcohol","Pancreas",NA,NA,NA
"Women","All","Alcohol","Thyroid",NA,NA,NA
"Women","All","BMI","Breast",0.0112015440619733,0.00769514646440817,0.0188104930041971
"Women","All","BMI","Colorectum",0.0249534529277869,0.0174562110186717,0.0419740712065067
"Women","All","BMI","Endometrium",0.0974657238906711,0.0691536053597385,0.159879223044373
"Women","All","BMI","Gallbladder",0.0347603400882507,0.0244818004322192,0.0583911448114732
"Women","All","BMI","Kidney",0.0465203462438049,0.0326826679891241,0.0776826052019036
"Women","All","BMI","Liver",0.0459290184370986,0.0340032573209651,0.0783705395256477
"Women","All","BMI","MultipleMyeloma",0.0122940294642512,0.00845721787704005,0.0206472740555253
"Women","All","BMI","Oral",NA,NA,NA
"Women","All","BMI","Pancreas",0.0127521265287999,0.0101142593829524,0.0227374075963558
"Women","All","BMI","Thyroid",-0.000455105430556127,-0.00141727580437208,-0.00187302624484338
"Women","All","Fibre","Breast",NA,NA,NA
"Women","All","Fibre","Colorectum",0.00351661252108637,-0.00796489834424012,-0.00442027636190722
"Women","All","Fibre","Endometrium",NA,NA,NA
"Women","All","Fibre","Gallbladder",NA,NA,NA
"Women","All","Fibre","Kidney",NA,NA,NA
"Women","All","Fibre","Liver",NA,NA,NA
"Women","All","Fibre","MultipleMyeloma",NA,NA,NA
"Women","All","Fibre","Oral",NA,NA,NA
"Women","All","Fibre","Pancreas",NA,NA,NA
"Women","All","Fibre","Thyroid",NA,NA,NA
"Women","All","ProcessedMeat","Breast",NA,NA,NA
"Women","All","ProcessedMeat","Colorectum",0.000916886435764972,-0.0117195687052097,-0.0107919367558659
"Women","All","ProcessedMeat","Endometrium",NA,NA,NA
"Women","All","ProcessedMeat","Gallbladder",NA,NA,NA
"Women","All","ProcessedMeat","Kidney",NA,NA,NA
"Women","All","ProcessedMeat","Liver",NA,NA,NA
"Women","All","ProcessedMeat","MultipleMyeloma",NA,NA,NA
"Women","All","ProcessedMeat","Oral",NA,NA,NA
"Women","All","ProcessedMeat","Pancreas",NA,NA,NA
"Women","All","ProcessedMeat","Thyroid",NA,NA,NA
"Women","All","RedMeat","Breast",NA,NA,NA
"Women","All","RedMeat","Colorectum",-0.00847525169806468,-0.00584712081160527,-0.0143719283302573
"Women","All","RedMeat","Endometrium",NA,NA,NA
"Women","All","RedMeat","Gallbladder",NA,NA,NA
"Women","All","RedMeat","Kidney",NA,NA,NA
"Women","All","RedMeat","Liver",NA,NA,NA
"Women","All","RedMeat","MultipleMyeloma",NA,NA,NA
"Women","All","RedMeat","Oral",NA,NA,NA
"Women","All","RedMeat","Pancreas",NA,NA,NA
"Women","All","RedMeat","Thyroid",NA,NA,NA
"Women","All","Smoking","Breast",NA,NA,NA
"Women","All","Smoking","Colorectum",-0.00780089929766938,-0.0114964890587902,-0.019387071309884
"Women","All","Smoking","Endometrium",NA,NA,NA
"Women","All","Smoking","Gallbladder",NA,NA,NA
"Women","All","Smoking","Kidney",NA,NA,NA
"Women","All","Smoking","Liver",-0.0368147037299891,-0.045084077222214,-0.0835585378980788
"Women","All","Smoking","MultipleMyeloma",NA,NA,NA
"Women","All","Smoking","Oral",-0.0910226953179571,-0.0968347660406213,-0.19667162276408
"Women","All","Smoking","Pancreas",-0.0430434628082853,-0.0449722201301047,-0.0899514430229662
"Women","All","Smoking","Thyroid",NA,NA,NA
"Women","All","physical_activity_old","Breast",-0.00214720141154853,-0.000610436260712985,-0.00275894840186218
"Women","All","physical_activity_old","Colorectum",-0.00623937242143816,-0.00177588153523941,-0.00802633434295229
"Women","All","physical_activity_old","Endometrium",NA,NA,NA
"Women","All","physical_activity_old","Gallbladder",NA,NA,NA
"Women","All","physical_activity_old","Kidney",NA,NA,NA
"Women","All","physical_activity_old","Liver",NA,NA,NA
"Women","All","physical_activity_old","MultipleMyeloma",NA,NA,NA
"Women","All","physical_activity_old","Oral",NA,NA,NA
"Women","All","physical_activity_old","Pancreas",NA,NA,NA
"Women","All","physical_activity_old","Thyroid",NA,NA,NA
