"","year","age_group","variable","sex","cancer_site","PAF","count","attributable","rate_type","incidence_rate"
"101",2015,"20-49","BMI","Men","Kidney",0.187168954749942,592,111,"Rate",5.4
"102",2016,"20-49","BMI","Men","Kidney",0.185673943869268,622,116,"Rate",5.6
"103",2017,"20-49","BMI","Men","Kidney",0.185439096457488,652,121,"Rate",5.9
"104",2018,"20-49","BMI","Men","Kidney",0.1801883458993,610,110,"Rate",5.5
"105",2019,"20-49","BMI","Men","Kidney",0.185495829814087,609,113,"Rate",5.5
"106",2005,"20-49","BMI","Men","Kidney",0.15564894791052,315,50,"attributable_rate",0.466946843731561
"107",2006,"20-49","BMI","Men","Kidney",0.157752537810537,357,57,"attributable_rate",0.520583374774772
"108",2007,"20-49","BMI","Men","Kidney",0.161767650417859,390,64,"attributable_rate",0.582363541504294
"109",2008,"20-49","BMI","Men","Kidney",0.166098413305643,394,66,"attributable_rate",0.597954287900313
"110",2009,"20-49","BMI","Men","Kidney",0.172202988585419,412,71,"attributable_rate",0.654371356624591
"111",2010,"20-49","BMI","Men","Kidney",0.178322229661928,470,84,"attributable_rate",0.766785587546289
"112",2011,"20-49","BMI","Men","Kidney",0.181448581090443,463,85,"attributable_rate",0.762084040579859
"113",2012,"20-49","BMI","Men","Kidney",0.181725845839762,504,92,"attributable_rate",0.835938890862904
"114",2013,"20-49","BMI","Men","Kidney",0.183087822957385,547,101,"attributable_rate",0.915439114786924
"115",2014,"20-49","BMI","Men","Kidney",0.18423783209258,607,112,"attributable_rate",1.01330807650919
"116",2015,"20-49","BMI","Men","Kidney",0.187168954749942,592,111,"attributable_rate",1.01071235564969
"117",2016,"20-49","BMI","Men","Kidney",0.185673943869268,622,116,"attributable_rate",1.0397740856679
"118",2017,"20-49","BMI","Men","Kidney",0.185439096457488,652,121,"attributable_rate",1.09409066909918
"119",2018,"20-49","BMI","Men","Kidney",0.1801883458993,610,110,"attributable_rate",0.991035902446149
"120",2019,"20-49","BMI","Men","Kidney",0.185495829814087,609,113,"attributable_rate",1.02022706397748
"121",2005,"20-49","BMI","Men","Kidney",0.15564894791052,315,50,"non_attributable_rate",2.53305315626844
"122",2006,"20-49","BMI","Men","Kidney",0.157752537810537,357,57,"non_attributable_rate",2.77941662522523
"123",2007,"20-49","BMI","Men","Kidney",0.161767650417859,390,64,"non_attributable_rate",3.01763645849571
"124",2008,"20-49","BMI","Men","Kidney",0.166098413305643,394,66,"non_attributable_rate",3.00204571209969
"125",2009,"20-49","BMI","Men","Kidney",0.172202988585419,412,71,"non_attributable_rate",3.14562864337541
"126",2010,"20-49","BMI","Men","Kidney",0.178322229661928,470,84,"non_attributable_rate",3.53321441245371
"127",2011,"20-49","BMI","Men","Kidney",0.181448581090443,463,85,"non_attributable_rate",3.43791595942014
"128",2012,"20-49","BMI","Men","Kidney",0.181725845839762,504,92,"non_attributable_rate",3.7640611091371
"129",2013,"20-49","BMI","Men","Kidney",0.183087822957385,547,101,"non_attributable_rate",4.08456088521308
"130",2014,"20-49","BMI","Men","Kidney",0.18423783209258,607,112,"non_attributable_rate",4.48669192349081
"131",2015,"20-49","BMI","Men","Kidney",0.187168954749942,592,111,"non_attributable_rate",4.38928764435031
"132",2016,"20-49","BMI","Men","Kidney",0.185673943869268,622,116,"non_attributable_rate",4.5602259143321
"133",2017,"20-49","BMI","Men","Kidney",0.185439096457488,652,121,"non_attributable_rate",4.80590933090082
"134",2018,"20-49","BMI","Men","Kidney",0.1801883458993,610,110,"non_attributable_rate",4.50896409755385
"135",2019,"20-49","BMI","Men","Kidney",0.185495829814087,609,113,"non_attributable_rate",4.47977293602252
"136",2005,"20-49","BMI","Men","Liver",0.163596510316804,110,18,"Rate",1
"137",2006,"20-49","BMI","Men","Liver",0.165933606432007,121,21,"Rate",1.1
"138",2007,"20-49","BMI","Men","Liver",0.170884553498323,110,19,"Rate",1
"139",2008,"20-49","BMI","Men","Liver",0.176954940511353,145,26,"Rate",1.3
"140",2009,"20-49","BMI","Men","Liver",0.185196687504921,159,30,"Rate",1.5
"141",2010,"20-49","BMI","Men","Liver",0.192453908835547,157,31,"Rate",1.4
"142",2011,"20-49","BMI","Men","Liver",0.196311690446327,111,22,"Rate",1
"143",2012,"20-49","BMI","Men","Liver",0.196837601888612,144,29,"Rate",1.3
"144",2013,"20-49","BMI","Men","Liver",0.199049201969875,144,29,"Rate",1.3
"145",2014,"20-49","BMI","Men","Liver",0.200499258827284,170,35,"Rate",1.5
"146",2015,"20-49","BMI","Men","Liver",0.203790936151668,145,30,"Rate",1.3
"147",2016,"20-49","BMI","Men","Liver",0.202631884559858,155,32,"Rate",1.4
"148",2017,"20-49","BMI","Men","Liver",0.202413764092833,146,30,"Rate",1.3
"149",2018,"20-49","BMI","Men","Liver",0.195925416222111,126,25,"Rate",1.1
"150",2019,"20-49","BMI","Men","Liver",0.202236145064171,130,27,"Rate",1.2
"151",2005,"20-49","BMI","Men","Liver",0.163596510316804,110,18,"attributable_rate",0.163596510316804
"152",2006,"20-49","BMI","Men","Liver",0.165933606432007,121,21,"attributable_rate",0.182526967075208
"153",2007,"20-49","BMI","Men","Liver",0.170884553498323,110,19,"attributable_rate",0.170884553498323
"154",2008,"20-49","BMI","Men","Liver",0.176954940511353,145,26,"attributable_rate",0.230041422664759
"155",2009,"20-49","BMI","Men","Liver",0.185196687504921,159,30,"attributable_rate",0.277795031257381
"156",2010,"20-49","BMI","Men","Liver",0.192453908835547,157,31,"attributable_rate",0.269435472369765
"157",2011,"20-49","BMI","Men","Liver",0.196311690446327,111,22,"attributable_rate",0.196311690446327
"158",2012,"20-49","BMI","Men","Liver",0.196837601888612,144,29,"attributable_rate",0.255888882455196
"159",2013,"20-49","BMI","Men","Liver",0.199049201969875,144,29,"attributable_rate",0.258763962560838
"160",2014,"20-49","BMI","Men","Liver",0.200499258827284,170,35,"attributable_rate",0.300748888240926
"161",2015,"20-49","BMI","Men","Liver",0.203790936151668,145,30,"attributable_rate",0.264928216997168
"162",2016,"20-49","BMI","Men","Liver",0.202631884559858,155,32,"attributable_rate",0.283684638383801
"163",2017,"20-49","BMI","Men","Liver",0.202413764092833,146,30,"attributable_rate",0.263137893320683
"164",2018,"20-49","BMI","Men","Liver",0.195925416222111,126,25,"attributable_rate",0.215517957844322
"165",2019,"20-49","BMI","Men","Liver",0.202236145064171,130,27,"attributable_rate",0.242683374077005
"166",2005,"20-49","BMI","Men","Liver",0.163596510316804,110,18,"non_attributable_rate",0.836403489683196
"167",2006,"20-49","BMI","Men","Liver",0.165933606432007,121,21,"non_attributable_rate",0.917473032924793
"168",2007,"20-49","BMI","Men","Liver",0.170884553498323,110,19,"non_attributable_rate",0.829115446501677
"169",2008,"20-49","BMI","Men","Liver",0.176954940511353,145,26,"non_attributable_rate",1.06995857733524
"170",2009,"20-49","BMI","Men","Liver",0.185196687504921,159,30,"non_attributable_rate",1.22220496874262
"171",2010,"20-49","BMI","Men","Liver",0.192453908835547,157,31,"non_attributable_rate",1.13056452763023
"172",2011,"20-49","BMI","Men","Liver",0.196311690446327,111,22,"non_attributable_rate",0.803688309553673
"173",2012,"20-49","BMI","Men","Liver",0.196837601888612,144,29,"non_attributable_rate",1.0441111175448
"174",2013,"20-49","BMI","Men","Liver",0.199049201969875,144,29,"non_attributable_rate",1.04123603743916
"175",2014,"20-49","BMI","Men","Liver",0.200499258827284,170,35,"non_attributable_rate",1.19925111175907
"176",2015,"20-49","BMI","Men","Liver",0.203790936151668,145,30,"non_attributable_rate",1.03507178300283
"177",2016,"20-49","BMI","Men","Liver",0.202631884559858,155,32,"non_attributable_rate",1.1163153616162
"178",2017,"20-49","BMI","Men","Liver",0.202413764092833,146,30,"non_attributable_rate",1.03686210667932
"179",2018,"20-49","BMI","Men","Liver",0.195925416222111,126,25,"non_attributable_rate",0.884482042155678
"180",2019,"20-49","BMI","Men","Liver",0.202236145064171,130,27,"non_attributable_rate",0.957316625922995
"181",2005,"20-49","BMI","Men","MultipleMyeloma",0.0753830863533406,124,10,"Rate",1.1
"182",2006,"20-49","BMI","Men","MultipleMyeloma",0.0764235161874177,118,10,"Rate",1.1
"183",2007,"20-49","BMI","Men","MultipleMyeloma",0.0781580488117794,108,9,"Rate",1
"184",2008,"20-49","BMI","Men","MultipleMyeloma",0.0796459429255806,127,11,"Rate",1.2
"185",2009,"20-49","BMI","Men","MultipleMyeloma",0.0819073435600685,156,13,"Rate",1.5
"186",2010,"20-49","BMI","Men","MultipleMyeloma",0.0847211551182604,128,11,"Rate",1.1
"187",2011,"20-49","BMI","Men","MultipleMyeloma",0.0860811441544483,146,13,"Rate",1.3
"188",2012,"20-49","BMI","Men","MultipleMyeloma",0.0861008025749117,160,14,"Rate",1.5
"189",2013,"20-49","BMI","Men","MultipleMyeloma",0.0864005318738652,215,19,"Rate",2
"190",2014,"20-49","BMI","Men","MultipleMyeloma",0.0868836224659711,182,16,"Rate",1.7
"191",2015,"20-49","BMI","Men","MultipleMyeloma",0.0883411312008126,184,17,"Rate",1.6
"192",2016,"20-49","BMI","Men","MultipleMyeloma",0.0873081515973259,184,17,"Rate",1.6
"193",2017,"20-49","BMI","Men","MultipleMyeloma",0.0871661229893368,201,18,"Rate",1.8
"194",2018,"20-49","BMI","Men","MultipleMyeloma",0.0848908672764075,188,16,"Rate",1.7
"195",2019,"20-49","BMI","Men","MultipleMyeloma",0.0873285517793063,177,16,"Rate",1.6
"196",2005,"20-49","BMI","Men","MultipleMyeloma",0.0753830863533406,124,10,"attributable_rate",0.0829213949886746
"197",2006,"20-49","BMI","Men","MultipleMyeloma",0.0764235161874177,118,10,"attributable_rate",0.0840658678061595
"198",2007,"20-49","BMI","Men","MultipleMyeloma",0.0781580488117794,108,9,"attributable_rate",0.0781580488117794
"199",2008,"20-49","BMI","Men","MultipleMyeloma",0.0796459429255806,127,11,"attributable_rate",0.0955751315106968
"200",2009,"20-49","BMI","Men","MultipleMyeloma",0.0819073435600685,156,13,"attributable_rate",0.122861015340103
"201",2010,"20-49","BMI","Men","MultipleMyeloma",0.0847211551182604,128,11,"attributable_rate",0.0931932706300864
"202",2011,"20-49","BMI","Men","MultipleMyeloma",0.0860811441544483,146,13,"attributable_rate",0.111905487400783
"203",2012,"20-49","BMI","Men","MultipleMyeloma",0.0861008025749117,160,14,"attributable_rate",0.129151203862368
"204",2013,"20-49","BMI","Men","MultipleMyeloma",0.0864005318738652,215,19,"attributable_rate",0.17280106374773
"205",2014,"20-49","BMI","Men","MultipleMyeloma",0.0868836224659711,182,16,"attributable_rate",0.147702158192151
"206",2015,"20-49","BMI","Men","MultipleMyeloma",0.0883411312008126,184,17,"attributable_rate",0.1413458099213
"207",2016,"20-49","BMI","Men","MultipleMyeloma",0.0873081515973259,184,17,"attributable_rate",0.139693042555721
"208",2017,"20-49","BMI","Men","MultipleMyeloma",0.0871661229893368,201,18,"attributable_rate",0.156899021380806
"209",2018,"20-49","BMI","Men","MultipleMyeloma",0.0848908672764075,188,16,"attributable_rate",0.144314474369893
"210",2019,"20-49","BMI","Men","MultipleMyeloma",0.0873285517793063,177,16,"attributable_rate",0.13972568284689
"211",2005,"20-49","BMI","Men","MultipleMyeloma",0.0753830863533406,124,10,"non_attributable_rate",1.01707860501133
"212",2006,"20-49","BMI","Men","MultipleMyeloma",0.0764235161874177,118,10,"non_attributable_rate",1.01593413219384
"213",2007,"20-49","BMI","Men","MultipleMyeloma",0.0781580488117794,108,9,"non_attributable_rate",0.921841951188221
"214",2008,"20-49","BMI","Men","MultipleMyeloma",0.0796459429255806,127,11,"non_attributable_rate",1.1044248684893
"215",2009,"20-49","BMI","Men","MultipleMyeloma",0.0819073435600685,156,13,"non_attributable_rate",1.3771389846599
"216",2010,"20-49","BMI","Men","MultipleMyeloma",0.0847211551182604,128,11,"non_attributable_rate",1.00680672936991
"217",2011,"20-49","BMI","Men","MultipleMyeloma",0.0860811441544483,146,13,"non_attributable_rate",1.18809451259922
"218",2012,"20-49","BMI","Men","MultipleMyeloma",0.0861008025749117,160,14,"non_attributable_rate",1.37084879613763
"219",2013,"20-49","BMI","Men","MultipleMyeloma",0.0864005318738652,215,19,"non_attributable_rate",1.82719893625227
"220",2014,"20-49","BMI","Men","MultipleMyeloma",0.0868836224659711,182,16,"non_attributable_rate",1.55229784180785
"221",2015,"20-49","BMI","Men","MultipleMyeloma",0.0883411312008126,184,17,"non_attributable_rate",1.4586541900787
"222",2016,"20-49","BMI","Men","MultipleMyeloma",0.0873081515973259,184,17,"non_attributable_rate",1.46030695744428
"223",2017,"20-49","BMI","Men","MultipleMyeloma",0.0871661229893368,201,18,"non_attributable_rate",1.64310097861919
"224",2018,"20-49","BMI","Men","MultipleMyeloma",0.0848908672764075,188,16,"non_attributable_rate",1.55568552563011
"225",2019,"20-49","BMI","Men","MultipleMyeloma",0.0873285517793063,177,16,"non_attributable_rate",1.46027431715311
"226",2005,"20-49","BMI","Men","Pancreas",0.0932002205239554,145,14,"Rate",1.4
"227",2006,"20-49","BMI","Men","Pancreas",0.0946603294447203,138,14,"Rate",1.3
"228",2007,"20-49","BMI","Men","Pancreas",0.0978119325177706,153,15,"Rate",1.4
"229",2008,"20-49","BMI","Men","Pancreas",0.101761406979186,166,17,"Rate",1.5
"230",2009,"20-49","BMI","Men","Pancreas",0.107140642854739,179,20,"Rate",1.6
"231",2010,"20-49","BMI","Men","Pancreas",0.111837520776311,170,20,"Rate",1.6
"232",2011,"20-49","BMI","Men","Pancreas",0.114362672066389,168,20,"Rate",1.5
"233",2012,"20-49","BMI","Men","Pancreas",0.114723597376582,179,21,"Rate",1.6
"234",2013,"20-49","BMI","Men","Pancreas",0.11622266451186,185,22,"Rate",1.7
"235",2014,"20-49","BMI","Men","Pancreas",0.117180051496435,199,24,"Rate",1.8
"236",2015,"20-49","BMI","Men","Pancreas",0.119324660782269,168,21,"Rate",1.5
"237",2016,"20-49","BMI","Men","Pancreas",0.118618045147313,200,24,"Rate",1.8
"238",2017,"20-49","BMI","Men","Pancreas",0.11848020012924,178,22,"Rate",1.6
"239",2018,"20-49","BMI","Men","Pancreas",0.114210160708197,199,23,"Rate",1.8
"240",2019,"20-49","BMI","Men","Pancreas",0.11834153113668,187,23,"Rate",1.7
"241",2005,"20-49","BMI","Men","Pancreas",0.0932002205239554,145,14,"attributable_rate",0.130480308733538
"242",2006,"20-49","BMI","Men","Pancreas",0.0946603294447203,138,14,"attributable_rate",0.123058428278136
"243",2007,"20-49","BMI","Men","Pancreas",0.0978119325177706,153,15,"attributable_rate",0.136936705524879
"244",2008,"20-49","BMI","Men","Pancreas",0.101761406979186,166,17,"attributable_rate",0.152642110468779
"245",2009,"20-49","BMI","Men","Pancreas",0.107140642854739,179,20,"attributable_rate",0.171425028567582
"246",2010,"20-49","BMI","Men","Pancreas",0.111837520776311,170,20,"attributable_rate",0.178940033242097
"247",2011,"20-49","BMI","Men","Pancreas",0.114362672066389,168,20,"attributable_rate",0.171544008099584
"248",2012,"20-49","BMI","Men","Pancreas",0.114723597376582,179,21,"attributable_rate",0.183557755802531
"249",2013,"20-49","BMI","Men","Pancreas",0.11622266451186,185,22,"attributable_rate",0.197578529670161
"250",2014,"20-49","BMI","Men","Pancreas",0.117180051496435,199,24,"attributable_rate",0.210924092693583
"251",2015,"20-49","BMI","Men","Pancreas",0.119324660782269,168,21,"attributable_rate",0.178986991173403
"252",2016,"20-49","BMI","Men","Pancreas",0.118618045147313,200,24,"attributable_rate",0.213512481265164
"253",2017,"20-49","BMI","Men","Pancreas",0.11848020012924,178,22,"attributable_rate",0.189568320206784
"254",2018,"20-49","BMI","Men","Pancreas",0.114210160708197,199,23,"attributable_rate",0.205578289274754
"255",2019,"20-49","BMI","Men","Pancreas",0.11834153113668,187,23,"attributable_rate",0.201180602932355
"256",2005,"20-49","BMI","Men","Pancreas",0.0932002205239554,145,14,"non_attributable_rate",1.26951969126646
"257",2006,"20-49","BMI","Men","Pancreas",0.0946603294447203,138,14,"non_attributable_rate",1.17694157172186
"258",2007,"20-49","BMI","Men","Pancreas",0.0978119325177706,153,15,"non_attributable_rate",1.26306329447512
"259",2008,"20-49","BMI","Men","Pancreas",0.101761406979186,166,17,"non_attributable_rate",1.34735788953122
"260",2009,"20-49","BMI","Men","Pancreas",0.107140642854739,179,20,"non_attributable_rate",1.42857497143242
"261",2010,"20-49","BMI","Men","Pancreas",0.111837520776311,170,20,"non_attributable_rate",1.4210599667579
"262",2011,"20-49","BMI","Men","Pancreas",0.114362672066389,168,20,"non_attributable_rate",1.32845599190042
"263",2012,"20-49","BMI","Men","Pancreas",0.114723597376582,179,21,"non_attributable_rate",1.41644224419747
"264",2013,"20-49","BMI","Men","Pancreas",0.11622266451186,185,22,"non_attributable_rate",1.50242147032984
"265",2014,"20-49","BMI","Men","Pancreas",0.117180051496435,199,24,"non_attributable_rate",1.58907590730642
"266",2015,"20-49","BMI","Men","Pancreas",0.119324660782269,168,21,"non_attributable_rate",1.3210130088266
"267",2016,"20-49","BMI","Men","Pancreas",0.118618045147313,200,24,"non_attributable_rate",1.58648751873484
"268",2017,"20-49","BMI","Men","Pancreas",0.11848020012924,178,22,"non_attributable_rate",1.41043167979322
"269",2018,"20-49","BMI","Men","Pancreas",0.114210160708197,199,23,"non_attributable_rate",1.59442171072525
"270",2019,"20-49","BMI","Men","Pancreas",0.11834153113668,187,23,"non_attributable_rate",1.49881939706764
"271",2005,"20-49","BMI","Men","Thyroid",0.0753262390975823,161,13,"Rate",1.5
"272",2006,"20-49","BMI","Men","Thyroid",0.0764331638036476,152,12,"Rate",1.4
