"year","sex","age_group","cancer_site","Rate","count"
2003,"Men","20-49","Hodgkin Lymphoma",3.27088607594937,340
2004,"Men","20-49","Hodgkin Lymphoma",3.47215189873418,365
2005,"Men","20-49","Hodgkin Lymphoma",3.53037974683544,376
2006,"Men","20-49","Hodgkin Lymphoma",3.6506329113924,390
2007,"Men","20-49","Hodgkin Lymphoma",3.90253164556962,418
2008,"Men","20-49","Hodgkin Lymphoma",3.69367088607595,403
2009,"Men","20-49","Hodgkin Lymphoma",3.83670886075949,420
2010,"Men","20-49","Hodgkin Lymphoma",4.06835443037975,447
2011,"Men","20-49","Hodgkin Lymphoma",4.04556962025316,449
2012,"Men","20-49","Hodgkin Lymphoma",3.71392405063291,411
2013,"Men","20-49","Hodgkin Lymphoma",3.74303797468354,416
2014,"Men","20-49","Hodgkin Lymphoma",3.96455696202532,441
2015,"Men","20-49","Hodgkin Lymphoma",4.38987341772152,489
2016,"Men","20-49","Hodgkin Lymphoma",4.01898734177215,448
2017,"Men","20-49","Hodgkin Lymphoma",4.46835443037975,500
2018,"Men","20-49","Hodgkin Lymphoma",4.18607594936709,468
2019,"Men","20-49","Hodgkin Lymphoma",4.08101265822785,456
2001,"Men","20-49","Kaposi Sarcoma",0.415189873417722,47
2002,"Men","20-49","Kaposi Sarcoma",0.389873417721519,45
2003,"Men","20-49","Kaposi Sarcoma",0.583544303797468,61
2004,"Men","20-49","Kaposi Sarcoma",0.516455696202532,55
2005,"Men","20-49","Kaposi Sarcoma",0.70506329113924,77
2006,"Men","20-49","Kaposi Sarcoma",0.859493670886076,92
2007,"Men","20-49","Kaposi Sarcoma",0.856962025316456,93
2008,"Men","20-49","Kaposi Sarcoma",0.878481012658228,95
2009,"Men","20-49","Kaposi Sarcoma",0.6,66
2010,"Men","20-49","Kaposi Sarcoma",0.639240506329114,69
2011,"Men","20-49","Kaposi Sarcoma",0.672151898734177,74
2012,"Men","20-49","Kaposi Sarcoma",0.59873417721519,67
2013,"Men","20-49","Kaposi Sarcoma",0.639240506329114,71
2014,"Men","20-49","Kaposi Sarcoma",0.636708860759494,70
2015,"Men","20-49","Kaposi Sarcoma",0.551898734177215,62
2016,"Men","20-49","Kaposi Sarcoma",0.587341772151899,65
2017,"Men","20-49","Kaposi Sarcoma",0.515189873417721,57
2018,"Men","20-49","Kaposi Sarcoma",0.436708860759494,46
2019,"Men","20-49","Kaposi Sarcoma",0.393670886075949,44
2001,"Men","20-49","Kidney",2.95189873417722,283
2002,"Men","20-49","Kidney",3.29873417721519,318
2003,"Men","20-49","Kidney",3.22278481012658,315
2004,"Men","20-49","Kidney",2.9873417721519,298
2005,"Men","20-49","Kidney",3.10126582278481,315
2006,"Men","20-49","Kidney",3.45949367088608,357
2007,"Men","20-49","Kidney",3.72658227848101,390
2008,"Men","20-49","Kidney",3.73417721518987,394
2009,"Men","20-49","Kidney",3.86708860759494,412
2010,"Men","20-49","Kidney",4.36708860759494,470
2011,"Men","20-49","Kidney",4.27974683544304,463
2012,"Men","20-49","Kidney",4.69620253164557,504
2013,"Men","20-49","Kidney",5.13164556962025,547
2014,"Men","20-49","Kidney",5.72405063291139,607
2015,"Men","20-49","Kidney",5.59620253164557,592
2016,"Men","20-49","Kidney",5.89620253164557,622
2017,"Men","20-49","Kidney",6.21392405063291,652
2018,"Men","20-49","Kidney",5.8873417721519,610
2019,"Men","20-49","Kidney",5.92278481012658,609
2001,"Men","20-49","Larynx",1.02025316455696,94
2002,"Men","20-49","Larynx",0.918987341772152,87
2003,"Men","20-49","Larynx",0.956962025316456,92
2004,"Men","20-49","Larynx",0.726582278481013,75
2005,"Men","20-49","Larynx",0.830379746835443,82
2006,"Men","20-49","Larynx",0.939240506329114,97
2007,"Men","20-49","Larynx",0.762025316455696,81
2008,"Men","20-49","Larynx",0.956962025316456,104
2009,"Men","20-49","Larynx",0.832911392405063,90
2010,"Men","20-49","Larynx",0.815189873417722,92
2011,"Men","20-49","Larynx",0.850632911392405,95
2012,"Men","20-49","Larynx",0.79493670886076,88
2013,"Men","20-49","Larynx",0.779746835443038,92
2014,"Men","20-49","Larynx",0.726582278481013,80
2015,"Men","20-49","Larynx",0.829113924050633,89
2016,"Men","20-49","Larynx",0.617721518987342,68
2017,"Men","20-49","Larynx",0.655696202531646,71
2018,"Men","20-49","Larynx",0.815189873417722,85
2019,"Men","20-49","Larynx",0.708860759493671,74
2001,"Men","20-49","Leukaemia",4.03164556962025,404
2002,"Men","20-49","Leukaemia",3.68607594936709,366
2003,"Men","20-49","Leukaemia",4.04050632911392,408
2004,"Men","20-49","Leukaemia",3.78101265822785,385
2005,"Men","20-49","Leukaemia",4.00759493670886,418
2006,"Men","20-49","Leukaemia",3.87848101265823,407
2007,"Men","20-49","Leukaemia",3.69240506329114,391
2008,"Men","20-49","Leukaemia",4.31645569620253,460
2009,"Men","20-49","Leukaemia",4.31518987341772,463
2010,"Men","20-49","Leukaemia",4.38481012658228,475
2011,"Men","20-49","Leukaemia",4.19746835443038,457
2012,"Men","20-49","Leukaemia",4.04177215189873,438
2013,"Men","20-49","Leukaemia",4.43417721518987,479
2014,"Men","20-49","Leukaemia",5.05316455696203,549
2015,"Men","20-49","Leukaemia",4.70632911392405,510
2016,"Men","20-49","Leukaemia",4.61518987341772,500
2017,"Men","20-49","Leukaemia",4.76708860759494,516
2018,"Men","20-49","Leukaemia",4.67341772151899,503
2019,"Men","20-49","Leukaemia",4.44683544303797,476
2001,"Men","20-49","Liver",1.02278481012658,100
2002,"Men","20-49","Liver",0.927848101265823,90
2003,"Men","20-49","Liver",0.988607594936709,101
2004,"Men","20-49","Liver",0.950632911392405,97
2005,"Men","20-49","Liver",1.11518987341772,110
2006,"Men","20-49","Liver",1.14303797468354,121
2007,"Men","20-49","Liver",1.06075949367089,110
2008,"Men","20-49","Liver",1.35696202531646,145
2009,"Men","20-49","Liver",1.50253164556962,159
2010,"Men","20-49","Liver",1.46708860759494,157
2011,"Men","20-49","Liver",1.00379746835443,111
2012,"Men","20-49","Liver",1.34050632911392,144
2013,"Men","20-49","Liver",1.33291139240506,144
2014,"Men","20-49","Liver",1.59240506329114,170
2015,"Men","20-49","Liver",1.35949367088608,145
2016,"Men","20-49","Liver",1.47215189873418,155
2017,"Men","20-49","Liver",1.41898734177215,146
2018,"Men","20-49","Liver",1.17341772151899,126
2019,"Men","20-49","Liver",1.24430379746835,130
2001,"Men","20-49","Lung",5.87341772151899,547
2002,"Men","20-49","Lung",5.29746835443038,502
2003,"Men","20-49","Lung",4.83164556962025,462
2004,"Men","20-49","Lung",5.1873417721519,507
2005,"Men","20-49","Lung",5.03544303797468,504
2006,"Men","20-49","Lung",4.97974683544304,509
2007,"Men","20-49","Lung",4.69746835443038,486
2008,"Men","20-49","Lung",4.62911392405063,484
2009,"Men","20-49","Lung",4.57848101265823,489
2010,"Men","20-49","Lung",4.91645569620253,529
2011,"Men","20-49","Lung",4.5,489
2012,"Men","20-49","Lung",4.50886075949367,489
2013,"Men","20-49","Lung",4.50379746835443,483
2014,"Men","20-49","Lung",4.39746835443038,471
2015,"Men","20-49","Lung",4.34177215189873,463
2016,"Men","20-49","Lung",4.85696202531646,518
2017,"Men","20-49","Lung",4.15189873417722,437
2018,"Men","20-49","Lung",4.72784810126582,495
2019,"Men","20-49","Lung",4.51012658227848,464
2001,"Men","20-49","Melanoma",7.94683544303797,797
2002,"Men","20-49","Melanoma",7.96835443037975,804
2003,"Men","20-49","Melanoma",7.63037974683544,779
2004,"Men","20-49","Melanoma",9.36962025316456,966
2005,"Men","20-49","Melanoma",9.25569620253165,968
2006,"Men","20-49","Melanoma",9.85696202531646,1040
2007,"Men","20-49","Melanoma",9.29620253164557,987
2008,"Men","20-49","Melanoma",9.66708860759494,1035
2009,"Men","20-49","Melanoma",10.3329113924051,1109
2010,"Men","20-49","Melanoma",9.90759493670886,1066
2011,"Men","20-49","Melanoma",10.0430379746835,1086
2012,"Men","20-49","Melanoma",10.3139240506329,1106
2013,"Men","20-49","Melanoma",10.8240506329114,1162
2014,"Men","20-49","Melanoma",11.3126582278481,1217
2015,"Men","20-49","Melanoma",11.0354430379747,1179
2016,"Men","20-49","Melanoma",10.4759493670886,1120
2017,"Men","20-49","Melanoma",10.3708860759494,1105
2018,"Men","20-49","Melanoma",10.0050632911392,1065
2019,"Men","20-49","Melanoma",9.70253164556962,1023
2001,"Men","20-49","MultipleMyeloma",0.954430379746835,93
2002,"Men","20-49","MultipleMyeloma",0.883544303797468,90
2003,"Men","20-49","MultipleMyeloma",1.2873417721519,127
2004,"Men","20-49","MultipleMyeloma",0.972151898734177,102
2005,"Men","20-49","MultipleMyeloma",1.22025316455696,124
2006,"Men","20-49","MultipleMyeloma",1.13924050632911,118
2007,"Men","20-49","MultipleMyeloma",1.01645569620253,108
2008,"Men","20-49","MultipleMyeloma",1.18227848101266,127
2009,"Men","20-49","MultipleMyeloma",1.41518987341772,156
2010,"Men","20-49","MultipleMyeloma",1.16455696202532,128
2011,"Men","20-49","MultipleMyeloma",1.33417721518987,146
2012,"Men","20-49","MultipleMyeloma",1.47974683544304,160
2013,"Men","20-49","MultipleMyeloma",1.95696202531646,215
2014,"Men","20-49","MultipleMyeloma",1.70379746835443,182
2015,"Men","20-49","MultipleMyeloma",1.70886075949367,184
2016,"Men","20-49","MultipleMyeloma",1.74050632911392,184
2017,"Men","20-49","MultipleMyeloma",1.9126582278481,201
2018,"Men","20-49","MultipleMyeloma",1.79367088607595,188
2019,"Men","20-49","MultipleMyeloma",1.69113924050633,177
2001,"Men","20-49","Non-Hodgkin Lymphoma",6.72405063291139,670
2002,"Men","20-49","Non-Hodgkin Lymphoma",6.24683544303798,638
2003,"Men","20-49","Non-Hodgkin Lymphoma",6.57215189873418,671
2004,"Men","20-49","Non-Hodgkin Lymphoma",6.48607594936709,668
2005,"Men","20-49","Non-Hodgkin Lymphoma",7.28481012658228,755
2006,"Men","20-49","Non-Hodgkin Lymphoma",6.84050632911392,724
2007,"Men","20-49","Non-Hodgkin Lymphoma",7.25822784810127,775
2008,"Men","20-49","Non-Hodgkin Lymphoma",7.30632911392405,785
2009,"Men","20-49","Non-Hodgkin Lymphoma",7.34810126582278,793
2010,"Men","20-49","Non-Hodgkin Lymphoma",7.66835443037975,828
2011,"Men","20-49","Non-Hodgkin Lymphoma",7.44050632911392,807
2012,"Men","20-49","Non-Hodgkin Lymphoma",7.80506329113924,845
2013,"Men","20-49","Non-Hodgkin Lymphoma",7.07341772151899,765
2014,"Men","20-49","Non-Hodgkin Lymphoma",6.87721518987342,741
2015,"Men","20-49","Non-Hodgkin Lymphoma",7.01139240506329,755
2016,"Men","20-49","Non-Hodgkin Lymphoma",7.06582278481013,760
2017,"Men","20-49","Non-Hodgkin Lymphoma",6.77848101265823,726
2018,"Men","20-49","Non-Hodgkin Lymphoma",6.78607594936709,721
2019,"Men","20-49","Non-Hodgkin Lymphoma",6.63924050632911,704
2001,"Men","20-49","Oesophagus",2.04936708860759,192
2002,"Men","20-49","Oesophagus",2.15696202531646,207
2003,"Men","20-49","Oesophagus",2.05316455696203,197
2004,"Men","20-49","Oesophagus",2.08607594936709,206
2005,"Men","20-49","Oesophagus",1.75189873417722,174
2006,"Men","20-49","Oesophagus",1.85569620253165,192
2007,"Men","20-49","Oesophagus",2.12658227848101,221
2008,"Men","20-49","Oesophagus",1.90759493670886,202
2009,"Men","20-49","Oesophagus",2.06329113924051,221
2010,"Men","20-49","Oesophagus",2.17215189873418,233
2011,"Men","20-49","Oesophagus",1.64430379746835,181
2012,"Men","20-49","Oesophagus",2.07594936708861,225
2013,"Men","20-49","Oesophagus",1.78607594936709,192
2014,"Men","20-49","Oesophagus",1.76329113924051,191
2015,"Men","20-49","Oesophagus",1.67341772151899,178
2016,"Men","20-49","Oesophagus",1.95822784810127,209
2017,"Men","20-49","Oesophagus",1.89240506329114,200
2018,"Men","20-49","Oesophagus",1.80759493670886,189
2019,"Men","20-49","Oesophagus",1.81772151898734,186
2001,"Men","20-49","Oral",4.45949367088608,424
2002,"Men","20-49","Oral",4.75189873417721,454
2003,"Men","20-49","Oral",4.63924050632911,453
2004,"Men","20-49","Oral",4.75949367088608,474
2005,"Men","20-49","Oral",4.79873417721519,487
2006,"Men","20-49","Oral",5.18607594936709,532
2007,"Men","20-49","Oral",5.18101265822785,540
2008,"Men","20-49","Oral",5.35189873417722,566
2009,"Men","20-49","Oral",5.25443037974684,562
2010,"Men","20-49","Oral",5.52278481012658,593
2011,"Men","20-49","Oral",5.75189873417721,621
2012,"Men","20-49","Oral",5.91645569620253,639
2013,"Men","20-49","Oral",6.11012658227848,656
2014,"Men","20-49","Oral",5.91012658227848,634
2015,"Men","20-49","Oral",5.76582278481013,613
2016,"Men","20-49","Oral",5.68101265822785,601
2017,"Men","20-49","Oral",5.97088607594937,627
2018,"Men","20-49","Oral",5.64936708860759,588
2019,"Men","20-49","Oral",5.58987341772152,575
2001,"Men","20-49","Pancreas",1.6620253164557,159
2002,"Men","20-49","Pancreas",1.34177215189873,129
2003,"Men","20-49","Pancreas",1.44810126582278,138
2004,"Men","20-49","Pancreas",1.22025316455696,121
2005,"Men","20-49","Pancreas",1.44556962025316,145
2006,"Men","20-49","Pancreas",1.33924050632911,138
2007,"Men","20-49","Pancreas",1.47848101265823,153
2008,"Men","20-49","Pancreas",1.56582278481013,166
2009,"Men","20-49","Pancreas",1.66329113924051,179
2010,"Men","20-49","Pancreas",1.56455696202532,170
2011,"Men","20-49","Pancreas",1.5379746835443,168
2012,"Men","20-49","Pancreas",1.6620253164557,179
2013,"Men","20-49","Pancreas",1.69746835443038,185
2014,"Men","20-49","Pancreas",1.88227848101266,199
2015,"Men","20-49","Pancreas",1.56582278481013,168
2016,"Men","20-49","Pancreas",1.89493670886076,200
2017,"Men","20-49","Pancreas",1.68987341772152,178
2018,"Men","20-49","Pancreas",1.91772151898734,199
2019,"Men","20-49","Pancreas",1.82151898734177,187
2001,"Men","20-49","Prostate",1.71898734177215,157
2002,"Men","20-49","Prostate",1.86075949367089,170
2003,"Men","20-49","Prostate",1.84303797468354,171
2004,"Men","20-49","Prostate",2.23291139240506,212
2005,"Men","20-49","Prostate",2.33924050632911,228
2006,"Men","20-49","Prostate",2.47594936708861,247
2007,"Men","20-49","Prostate",2.3746835443038,243
2008,"Men","20-49","Prostate",2.90632911392405,300
2009,"Men","20-49","Prostate",3.6506329113924,387
2010,"Men","20-49","Prostate",3.36708860759494,364
2011,"Men","20-49","Prostate",3.79240506329114,414
2012,"Men","20-49","Prostate",3.75696202531646,410
2013,"Men","20-49","Prostate",3.79240506329114,414
2014,"Men","20-49","Prostate",4.4253164556962,479
2015,"Men","20-49","Prostate",4.21772151898734,455
2016,"Men","20-49","Prostate",4.4126582278481,473
2017,"Men","20-49","Prostate",4.60759493670886,489
2018,"Men","20-49","Prostate",5.12151898734177,535
2019,"Men","20-49","Prostate",5.19240506329114,535
2001,"Men","20-49","Stomach",2.10632911392405,203
2002,"Men","20-49","Stomach",2.32025316455696,226
2003,"Men","20-49","Stomach",2.07974683544304,208
2004,"Men","20-49","Stomach",1.91139240506329,187
2005,"Men","20-49","Stomach",1.70506329113924,176
2006,"Men","20-49","Stomach",1.89493670886076,196
2007,"Men","20-49","Stomach",1.67341772151899,175
2008,"Men","20-49","Stomach",1.80886075949367,193
2009,"Men","20-49","Stomach",1.89493670886076,203
2010,"Men","20-49","Stomach",1.95443037974684,211
2011,"Men","20-49","Stomach",1.74683544303797,188
2012,"Men","20-49","Stomach",1.78860759493671,193
2013,"Men","20-49","Stomach",1.65189873417722,177
2014,"Men","20-49","Stomach",1.73291139240506,186
2015,"Men","20-49","Stomach",1.78481012658228,188
2016,"Men","20-49","Stomach",1.54177215189873,163
2017,"Men","20-49","Stomach",1.44050632911392,155
2018,"Men","20-49","Stomach",1.58354430379747,165
2019,"Men","20-49","Stomach",1.91392405063291,197
2001,"Men","20-49","Testis",13.3518987341772,1403
2002,"Men","20-49","Testis",12.1962025316456,1278
2003,"Men","20-49","Testis",12.4253164556962,1311
2004,"Men","20-49","Testis",12.9341772151899,1363
2005,"Men","20-49","Testis",13.6886075949367,1461
2006,"Men","20-49","Testis",13.4962025316456,1447
2007,"Men","20-49","Testis",13.053164556962,1412
2008,"Men","20-49","Testis",14,1521
2009,"Men","20-49","Testis",13.9455696202532,1516
2010,"Men","20-49","Testis",14.3012658227848,1560
2011,"Men","20-49","Testis",13.5772151898734,1488
2012,"Men","20-49","Testis",14.1113924050633,1548
2013,"Men","20-49","Testis",14.5658227848101,1597
2014,"Men","20-49","Testis",14.7784810126582,1623
2015,"Men","20-49","Testis",14.1898734177215,1564
2016,"Men","20-49","Testis",14.4392405063291,1599
2017,"Men","20-49","Testis",13.3481012658228,1484
2018,"Men","20-49","Testis",15.0784810126582,1669
2019,"Men","20-49","Testis",14.5227848101266,1608
2001,"Men","20-49","Thyroid",1.17088607594937,119
2002,"Men","20-49","Thyroid",1.11772151898734,115
2003,"Men","20-49","Thyroid",1.46708860759494,150
2004,"Men","20-49","Thyroid",1.34177215189873,141
2005,"Men","20-49","Thyroid",1.51518987341772,161
2006,"Men","20-49","Thyroid",1.43164556962025,152
2007,"Men","20-49","Thyroid",1.62151898734177,175
2008,"Men","20-49","Thyroid",1.68987341772152,182
2009,"Men","20-49","Thyroid",2.04556962025316,219
2010,"Men","20-49","Thyroid",2.14810126582278,232
2011,"Men","20-49","Thyroid",2.42025316455696,262
2012,"Men","20-49","Thyroid",2.50126582278481,270
2013,"Men","20-49","Thyroid",2.55822784810127,276
2014,"Men","20-49","Thyroid",2.72278481012658,292
2015,"Men","20-49","Thyroid",2.78860759493671,301
2016,"Men","20-49","Thyroid",2.76075949367089,301
2017,"Men","20-49","Thyroid",2.86075949367089,306
2018,"Men","20-49","Thyroid",3.13291139240506,337
2019,"Men","20-49","Thyroid",3.22278481012658,345
2001,"Men","50+","Bladder",96.3166666666667,6242
2002,"Men","50+","Bladder",89.548717948718,5910
2003,"Men","50+","Bladder",88.65,5928
2004,"Men","50+","Bladder",84.5448717948718,5777
2005,"Men","50+","Bladder",88.374358974359,6041
2006,"Men","50+","Bladder",85.1102564102564,5968
2007,"Men","50+","Bladder",87.0435897435897,6242
2008,"Men","50+","Bladder",86.7076923076923,6300
2009,"Men","50+","Bladder",85.4333333333333,6351
2010,"Men","50+","Bladder",81.274358974359,6154
2011,"Men","50+","Bladder",81.7820512820513,6349
2012,"Men","50+","Bladder",81.524358974359,6444
2013,"Men","50+","Bladder",79.0846153846154,6402
2014,"Men","50+","Bladder",75.1692307692308,6255
2015,"Men","50+","Bladder",72.5641025641026,6177
2016,"Men","50+","Bladder",70.3820512820513,6111
2017,"Men","50+","Bladder",70.8564102564103,6311
2018,"Men","50+","Bladder",69.5410256410256,6335
2019,"Men","50+","Bladder",69.0974358974359,6448
2001,"Men","50+","Brain and CNS",19.8179487179487,1473
2002,"Men","50+","Brain and CNS",20.0705128205128,1498
2003,"Men","50+","Brain and CNS",19.9794871794872,1502
2004,"Men","50+","Brain and CNS",20.1205128205128,1529
2005,"Men","50+","Brain and CNS",21.1025641025641,1620
2006,"Men","50+","Brain and CNS",20.3435897435897,1589
2007,"Men","50+","Brain and CNS",20.8858974358974,1645
2008,"Men","50+","Brain and CNS",21.3205128205128,1717
2009,"Men","50+","Brain and CNS",22.0012820512821,1797
2010,"Men","50+","Brain and CNS",21.1269230769231,1745
2011,"Men","50+","Brain and CNS",20.7910256410256,1758
2012,"Men","50+","Brain and CNS",22.0871794871795,1887
2013,"Men","50+","Brain and CNS",22.7935897435897,1986
2014,"Men","50+","Brain and CNS",20.5833333333333,1836
2015,"Men","50+","Brain and CNS",21.4589743589744,1963
2016,"Men","50+","Brain and CNS",21.8166666666667,2029
2017,"Men","50+","Brain and CNS",21.7820512820513,2068
2018,"Men","50+","Brain and CNS",20.4435897435897,1970
2019,"Men","50+","Brain and CNS",20.8474358974359,2049
2001,"Men","50+","Breast",3.24615384615385,217
2002,"Men","50+","Breast",3.51282051282051,233
2003,"Men","50+","Breast",3.79871794871795,270
2004,"Men","50+","Breast",3.50128205128205,242
2005,"Men","50+","Breast",2.95641025641026,207
2006,"Men","50+","Breast",3.35384615384615,244
2007,"Men","50+","Breast",3.05897435897436,224
2008,"Men","50+","Breast",3.34102564102564,254
2009,"Men","50+","Breast",3.2974358974359,252
2010,"Men","50+","Breast",3.79487179487179,295
2011,"Men","50+","Breast",3.41410256410256,279
2012,"Men","50+","Breast",3.24230769230769,266
2013,"Men","50+","Breast",3.16666666666667,270
2014,"Men","50+","Breast",3.72307692307692,315
2015,"Men","50+","Breast",3.30769230769231,292
2016,"Men","50+","Breast",3.21282051282051,290
2017,"Men","50+","Breast",3.27307692307692,301
2018,"Men","50+","Breast",3.34102564102564,312
2019,"Men","50+","Breast",3.25897435897436,313
2001,"Men","50+","Colorectum",218.914102564103,14760
2002,"Men","50+","Colorectum",215.569230769231,14796
2003,"Men","50+","Colorectum",217.991025641026,15139
2004,"Men","50+","Colorectum",222.215384615385,15642
2005,"Men","50+","Colorectum",223.202564102564,15941
2006,"Men","50+","Colorectum",224.467948717949,16320
2007,"Men","50+","Colorectum",225.666666666667,16679
2008,"Men","50+","Colorectum",233.301282051282,17622
2009,"Men","50+","Colorectum",231.960256410256,17935
2010,"Men","50+","Colorectum",232.471794871795,18359
2011,"Men","50+","Colorectum",232.403846153846,18703
2012,"Men","50+","Colorectum",233.214102564103,19095
2013,"Men","50+","Colorectum",221.189743589744,18486
2014,"Men","50+","Colorectum",212.720512820513,18228
2015,"Men","50+","Colorectum",214.007692307692,18733
2016,"Men","50+","Colorectum",212.335897435897,19043
2017,"Men","50+","Colorectum",206.042307692308,18917
2018,"Men","50+","Colorectum",207.829487179487,19480
2019,"Men","50+","Colorectum",210.702564102564,20255
2001,"Men","50+","Gallbladder",6.3525641025641,418
2002,"Men","50+","Gallbladder",5.77820512820513,392
2003,"Men","50+","Gallbladder",5.88076923076923,407
2004,"Men","50+","Gallbladder",5.93846153846154,414
2005,"Men","50+","Gallbladder",6.06794871794872,440
2006,"Men","50+","Gallbladder",7.24487179487179,517
2007,"Men","50+","Gallbladder",7.23461538461538,536
2008,"Men","50+","Gallbladder",7.84358974358974,595
2009,"Men","50+","Gallbladder",7.01282051282051,534
2010,"Men","50+","Gallbladder",8.09487179487179,620
2011,"Men","50+","Gallbladder",8.02692307692308,634
2012,"Men","50+","Gallbladder",8.01025641025641,648
