"year","sex","age_group","cancer_site","Rate","count"
2013,"Men","20-34","Kaposi Sarcoma",0.3,18
2014,"Men","20-34","Kaposi Sarcoma",0.4,21
2015,"Men","20-34","Kaposi Sarcoma",0.3,18
2016,"Men","20-34","Kaposi Sarcoma",0.3,19
2017,"Men","20-34","Kaposi Sarcoma",0.3,18
2018,"Men","20-34","Kaposi Sarcoma",0.2,11
2019,"Men","20-34","Kaposi Sarcoma",0.3,15
2001,"Men","20-34","Kidney",0.6,29
2002,"Men","20-34","Kidney",0.6,31
2003,"Men","20-34","Kidney",0.5,24
2004,"Men","20-34","Kidney",0.5,25
2005,"Men","20-34","Kidney",0.7,36
2006,"Men","20-34","Kidney",0.7,36
2007,"Men","20-34","Kidney",0.6,30
2008,"Men","20-34","Kidney",0.7,37
2009,"Men","20-34","Kidney",0.6,30
2010,"Men","20-34","Kidney",0.8,42
2011,"Men","20-34","Kidney",0.9,47
2012,"Men","20-34","Kidney",0.7,36
2013,"Men","20-34","Kidney",0.9,50
2014,"Men","20-34","Kidney",1.1,60
2015,"Men","20-34","Kidney",0.8,43
2016,"Men","20-34","Kidney",1.3,71
2017,"Men","20-34","Kidney",1.2,66
2018,"Men","20-34","Kidney",1,54
2019,"Men","20-34","Kidney",1,59
2001,"Men","20-34","Larynx",0.1,6
2002,"Men","20-34","Larynx",0.1,4
2003,"Men","20-34","Larynx",0,2
2004,"Men","20-34","Larynx",0.1,4
2005,"Men","20-34","Larynx",0.1,3
2006,"Men","20-34","Larynx",0,1
2007,"Men","20-34","Larynx",0,2
2008,"Men","20-34","Larynx",0.1,5
2009,"Men","20-34","Larynx",0,1
2010,"Men","20-34","Larynx",0.1,3
2011,"Men","20-34","Larynx",0.1,3
2012,"Men","20-34","Larynx",0.1,7
2013,"Men","20-34","Larynx",0.1,5
2014,"Men","20-34","Larynx",0,0
2015,"Men","20-34","Larynx",0.1,7
2016,"Men","20-34","Larynx",0.1,6
2017,"Men","20-34","Larynx",0,2
2018,"Men","20-34","Larynx",0,2
2019,"Men","20-34","Larynx",0,2
2001,"Men","20-34","Leukaemia",2.9,147
2002,"Men","20-34","Leukaemia",2,100
2003,"Men","20-34","Leukaemia",2,100
2004,"Men","20-34","Leukaemia",2.4,120
2005,"Men","20-34","Leukaemia",2.5,127
2006,"Men","20-34","Leukaemia",2.5,125
2007,"Men","20-34","Leukaemia",2.5,127
2008,"Men","20-34","Leukaemia",3.1,158
2009,"Men","20-34","Leukaemia",2.4,125
2010,"Men","20-34","Leukaemia",2.7,145
2011,"Men","20-34","Leukaemia",2.6,139
2012,"Men","20-34","Leukaemia",2.3,128
2013,"Men","20-34","Leukaemia",2.7,151
2014,"Men","20-34","Leukaemia",3.4,186
2015,"Men","20-34","Leukaemia",2.7,148
2016,"Men","20-34","Leukaemia",2.7,154
2017,"Men","20-34","Leukaemia",3,167
2018,"Men","20-34","Leukaemia",3,170
2019,"Men","20-34","Leukaemia",2.9,165
2001,"Men","20-34","Liver",0.4,22
2002,"Men","20-34","Liver",0.3,13
2003,"Men","20-34","Liver",0.2,10
2004,"Men","20-34","Liver",0.4,21
2005,"Men","20-34","Liver",0.3,15
2006,"Men","20-34","Liver",0.2,11
2007,"Men","20-34","Liver",0.4,18
2008,"Men","20-34","Liver",0.5,26
2009,"Men","20-34","Liver",0.3,18
2010,"Men","20-34","Liver",0.4,22
2011,"Men","20-34","Liver",0.2,11
2012,"Men","20-34","Liver",0.4,21
2013,"Men","20-34","Liver",0.3,16
2014,"Men","20-34","Liver",0.3,18
2015,"Men","20-34","Liver",0.4,24
2016,"Men","20-34","Liver",0.3,17
2017,"Men","20-34","Liver",0.3,15
2018,"Men","20-34","Liver",0.4,20
2019,"Men","20-34","Liver",0.3,17
2001,"Men","20-34","Lung",0.6,32
2002,"Men","20-34","Lung",0.5,24
2003,"Men","20-34","Lung",0.5,23
2004,"Men","20-34","Lung",0.6,28
2005,"Men","20-34","Lung",0.7,34
2006,"Men","20-34","Lung",0.4,21
2007,"Men","20-34","Lung",0.6,32
2008,"Men","20-34","Lung",0.6,32
2009,"Men","20-34","Lung",0.9,45
2010,"Men","20-34","Lung",0.5,27
2011,"Men","20-34","Lung",0.7,37
2012,"Men","20-34","Lung",0.5,25
2013,"Men","20-34","Lung",0.6,32
2014,"Men","20-34","Lung",0.6,31
2015,"Men","20-34","Lung",0.6,36
2016,"Men","20-34","Lung",0.7,38
2017,"Men","20-34","Lung",0.6,32
2018,"Men","20-34","Lung",0.7,42
2019,"Men","20-34","Lung",0.8,45
2001,"Men","20-34","Melanoma",5,252
2002,"Men","20-34","Melanoma",4.6,230
2003,"Men","20-34","Melanoma",4.4,220
2004,"Men","20-34","Melanoma",5,251
2005,"Men","20-34","Melanoma",4.9,248
2006,"Men","20-34","Melanoma",5.1,257
2007,"Men","20-34","Melanoma",5.1,260
2008,"Men","20-34","Melanoma",4.7,241
2009,"Men","20-34","Melanoma",5.3,274
2010,"Men","20-34","Melanoma",5.2,275
2011,"Men","20-34","Melanoma",4.9,267
2012,"Men","20-34","Melanoma",4.7,254
2013,"Men","20-34","Melanoma",5.1,282
2014,"Men","20-34","Melanoma",5.9,326
2015,"Men","20-34","Melanoma",4.9,271
2016,"Men","20-34","Melanoma",4.9,277
2017,"Men","20-34","Melanoma",5.1,284
2018,"Men","20-34","Melanoma",5,282
2019,"Men","20-34","Melanoma",4.6,261
2001,"Men","20-34","MultipleMyeloma",0.1,5
2002,"Men","20-34","MultipleMyeloma",0.1,6
2003,"Men","20-34","MultipleMyeloma",0.2,11
2004,"Men","20-34","MultipleMyeloma",0.1,9
2005,"Men","20-34","MultipleMyeloma",0.1,5
2006,"Men","20-34","MultipleMyeloma",0.3,15
2007,"Men","20-34","MultipleMyeloma",0.3,14
2008,"Men","20-34","MultipleMyeloma",0.2,9
2009,"Men","20-34","MultipleMyeloma",0.1,6
2010,"Men","20-34","MultipleMyeloma",0.1,7
2011,"Men","20-34","MultipleMyeloma",0.2,12
2012,"Men","20-34","MultipleMyeloma",0.2,12
2013,"Men","20-34","MultipleMyeloma",0.5,30
2014,"Men","20-34","MultipleMyeloma",0.3,16
2015,"Men","20-34","MultipleMyeloma",0.2,13
2016,"Men","20-34","MultipleMyeloma",0.3,19
2017,"Men","20-34","MultipleMyeloma",0.5,25
2018,"Men","20-34","MultipleMyeloma",0.3,19
2019,"Men","20-34","MultipleMyeloma",0.3,19
2001,"Men","20-34","Non-Hodgkin Lymphoma",3.5,177
2002,"Men","20-34","Non-Hodgkin Lymphoma",3.4,172
2003,"Men","20-34","Non-Hodgkin Lymphoma",3.5,173
2004,"Men","20-34","Non-Hodgkin Lymphoma",3.5,174
2005,"Men","20-34","Non-Hodgkin Lymphoma",3.5,178
2006,"Men","20-34","Non-Hodgkin Lymphoma",3.2,161
2007,"Men","20-34","Non-Hodgkin Lymphoma",3.4,175
2008,"Men","20-34","Non-Hodgkin Lymphoma",3.3,170
2009,"Men","20-34","Non-Hodgkin Lymphoma",3.4,177
2010,"Men","20-34","Non-Hodgkin Lymphoma",3.8,202
2011,"Men","20-34","Non-Hodgkin Lymphoma",3.5,188
2012,"Men","20-34","Non-Hodgkin Lymphoma",3.5,190
2013,"Men","20-34","Non-Hodgkin Lymphoma",3,165
2014,"Men","20-34","Non-Hodgkin Lymphoma",3.5,198
2015,"Men","20-34","Non-Hodgkin Lymphoma",3.9,221
2016,"Men","20-34","Non-Hodgkin Lymphoma",3.3,186
2017,"Men","20-34","Non-Hodgkin Lymphoma",3.7,207
2018,"Men","20-34","Non-Hodgkin Lymphoma",3.6,206
2019,"Men","20-34","Non-Hodgkin Lymphoma",3.3,187
2001,"Men","20-34","Oesophagus",0.2,12
2002,"Men","20-34","Oesophagus",0.2,11
2003,"Men","20-34","Oesophagus",0.1,6
2004,"Men","20-34","Oesophagus",0.2,10
2005,"Men","20-34","Oesophagus",0.1,6
2006,"Men","20-34","Oesophagus",0.1,6
2007,"Men","20-34","Oesophagus",0.3,15
2008,"Men","20-34","Oesophagus",0.2,9
2009,"Men","20-34","Oesophagus",0.2,9
2010,"Men","20-34","Oesophagus",0.1,7
2011,"Men","20-34","Oesophagus",0.1,8
2012,"Men","20-34","Oesophagus",0.3,16
2013,"Men","20-34","Oesophagus",0.1,7
2014,"Men","20-34","Oesophagus",0.2,11
2015,"Men","20-34","Oesophagus",0.2,13
2016,"Men","20-34","Oesophagus",0.2,9
2017,"Men","20-34","Oesophagus",0.4,21
2018,"Men","20-34","Oesophagus",0.4,21
2019,"Men","20-34","Oesophagus",0.2,13
2001,"Men","20-34","Oral",1,52
2002,"Men","20-34","Oral",0.9,45
2003,"Men","20-34","Oral",0.8,39
2004,"Men","20-34","Oral",1.1,56
2005,"Men","20-34","Oral",1.1,54
2006,"Men","20-34","Oral",1.1,56
2007,"Men","20-34","Oral",0.9,44
2008,"Men","20-34","Oral",1.2,60
2009,"Men","20-34","Oral",1.1,56
2010,"Men","20-34","Oral",1.1,56
2011,"Men","20-34","Oral",1.2,63
2012,"Men","20-34","Oral",1.4,75
2013,"Men","20-34","Oral",1.4,75
2014,"Men","20-34","Oral",1.1,63
2015,"Men","20-34","Oral",0.9,52
2016,"Men","20-34","Oral",0.8,46
2017,"Men","20-34","Oral",1,55
2018,"Men","20-34","Oral",1.1,61
2019,"Men","20-34","Oral",0.9,52
2001,"Men","20-34","Pancreas",0.2,8
2002,"Men","20-34","Pancreas",0.2,9
2003,"Men","20-34","Pancreas",0.2,8
2004,"Men","20-34","Pancreas",0.1,6
2005,"Men","20-34","Pancreas",0.2,8
2006,"Men","20-34","Pancreas",0.2,12
2007,"Men","20-34","Pancreas",0.2,10
2008,"Men","20-34","Pancreas",0.2,12
2009,"Men","20-34","Pancreas",0.1,6
2010,"Men","20-34","Pancreas",0.3,15
2011,"Men","20-34","Pancreas",0.1,7
2012,"Men","20-34","Pancreas",0.1,7
2013,"Men","20-34","Pancreas",0.2,9
2014,"Men","20-34","Pancreas",0.3,14
2015,"Men","20-34","Pancreas",0.3,15
2016,"Men","20-34","Pancreas",0.4,20
2017,"Men","20-34","Pancreas",0.2,12
2018,"Men","20-34","Pancreas",0.3,16
2019,"Men","20-34","Pancreas",0.4,21
2001,"Men","20-34","Prostate",0,2
2002,"Men","20-34","Prostate",0,0
2003,"Men","20-34","Prostate",0,1
2004,"Men","20-34","Prostate",0,1
2005,"Men","20-34","Prostate",0,2
2006,"Men","20-34","Prostate",0.1,4
2007,"Men","20-34","Prostate",0,1
2008,"Men","20-34","Prostate",0,0
2009,"Men","20-34","Prostate",0.1,3
2010,"Men","20-34","Prostate",0,1
2011,"Men","20-34","Prostate",0,2
2012,"Men","20-34","Prostate",0,1
2013,"Men","20-34","Prostate",0,0
2014,"Men","20-34","Prostate",0.1,4
2015,"Men","20-34","Prostate",0,2
2016,"Men","20-34","Prostate",0,2
2017,"Men","20-34","Prostate",0,1
2018,"Men","20-34","Prostate",0,1
2019,"Men","20-34","Prostate",0,1
2001,"Men","20-34","Stomach",0.5,26
2002,"Men","20-34","Stomach",0.4,22
2003,"Men","20-34","Stomach",0.4,19
2004,"Men","20-34","Stomach",0.4,18
2005,"Men","20-34","Stomach",0.3,17
2006,"Men","20-34","Stomach",0.4,18
2007,"Men","20-34","Stomach",0.2,11
2008,"Men","20-34","Stomach",0.6,32
2009,"Men","20-34","Stomach",0.4,20
2010,"Men","20-34","Stomach",0.3,16
2011,"Men","20-34","Stomach",0.5,25
2012,"Men","20-34","Stomach",0.4,23
2013,"Men","20-34","Stomach",0.2,12
2014,"Men","20-34","Stomach",0.4,23
2015,"Men","20-34","Stomach",0.4,24
2016,"Men","20-34","Stomach",0.3,19
2017,"Men","20-34","Stomach",0.3,18
2018,"Men","20-34","Stomach",0.4,25
2019,"Men","20-34","Stomach",0.4,22
2001,"Men","20-34","Testis",14.1,718
2002,"Men","20-34","Testis",12.4,625
2003,"Men","20-34","Testis",14,700
2004,"Men","20-34","Testis",13.7,687
2005,"Men","20-34","Testis",14.8,746
2006,"Men","20-34","Testis",14.7,746
2007,"Men","20-34","Testis",15.1,771
2008,"Men","20-34","Testis",15.3,791
2009,"Men","20-34","Testis",15.6,813
2010,"Men","20-34","Testis",15.8,837
2011,"Men","20-34","Testis",14.6,791
2012,"Men","20-34","Testis",15.5,846
2013,"Men","20-34","Testis",15.6,860
2014,"Men","20-34","Testis",16.2,898
2015,"Men","20-34","Testis",15.1,840
2016,"Men","20-34","Testis",15.6,880
2017,"Men","20-34","Testis",14.5,817
2018,"Men","20-34","Testis",15.5,873
2019,"Men","20-34","Testis",15.2,856
2001,"Men","20-34","Thyroid",0.9,45
2002,"Men","20-34","Thyroid",0.9,44
2003,"Men","20-34","Thyroid",1.3,63
2004,"Men","20-34","Thyroid",0.9,46
2005,"Men","20-34","Thyroid",1.1,55
2006,"Men","20-34","Thyroid",1,49
2007,"Men","20-34","Thyroid",1,53
2008,"Men","20-34","Thyroid",1.2,60
2009,"Men","20-34","Thyroid",1.4,74
2010,"Men","20-34","Thyroid",1.4,76
2011,"Men","20-34","Thyroid",1.7,92
2012,"Men","20-34","Thyroid",1.4,79
2013,"Men","20-34","Thyroid",1.6,88
2014,"Men","20-34","Thyroid",1.6,89
2015,"Men","20-34","Thyroid",1.8,98
2016,"Men","20-34","Thyroid",1.9,105
2017,"Men","20-34","Thyroid",1.7,97
2018,"Men","20-34","Thyroid",1.8,99
2019,"Men","20-34","Thyroid",2.1,120
2001,"Men","35-49","Bladder",3,159
2002,"Men","35-49","Bladder",2.7,145
2003,"Men","35-49","Bladder",2.3,127
2004,"Men","35-49","Bladder",2.8,154
2005,"Men","35-49","Bladder",2.6,142
2006,"Men","35-49","Bladder",2.2,121
2007,"Men","35-49","Bladder",2.2,124
2008,"Men","35-49","Bladder",2.6,147
2009,"Men","35-49","Bladder",2.7,152
2010,"Men","35-49","Bladder",2.4,136
2011,"Men","35-49","Bladder",2.3,131
2012,"Men","35-49","Bladder",2.5,137
2013,"Men","35-49","Bladder",2.3,127
2014,"Men","35-49","Bladder",2.5,138
2015,"Men","35-49","Bladder",2.3,128
2016,"Men","35-49","Bladder",2.1,116
2017,"Men","35-49","Bladder",1.9,105
2018,"Men","35-49","Bladder",1.9,104
2019,"Men","35-49","Bladder",2.4,128
2001,"Men","35-49","Brain and CNS",6,314
2002,"Men","35-49","Brain and CNS",6.3,335
2003,"Men","35-49","Brain and CNS",5.4,289
2004,"Men","35-49","Brain and CNS",5.8,317
2005,"Men","35-49","Brain and CNS",6.1,337
2006,"Men","35-49","Brain and CNS",6.2,348
2007,"Men","35-49","Brain and CNS",6.1,343
2008,"Men","35-49","Brain and CNS",6.2,354
2009,"Men","35-49","Brain and CNS",6.4,357
2010,"Men","35-49","Brain and CNS",5.8,327
2011,"Men","35-49","Brain and CNS",6.2,348
2012,"Men","35-49","Brain and CNS",6.1,342
2013,"Men","35-49","Brain and CNS",6.6,359
2014,"Men","35-49","Brain and CNS",6.3,346
2015,"Men","35-49","Brain and CNS",6.8,374
2016,"Men","35-49","Brain and CNS",6.8,371
2017,"Men","35-49","Brain and CNS",6.7,359
2018,"Men","35-49","Brain and CNS",6.8,370
2019,"Men","35-49","Brain and CNS",6.5,353
2001,"Men","35-49","Breast",0.3,14
2002,"Men","35-49","Breast",0.2,13
2003,"Men","35-49","Breast",0.3,18
2004,"Men","35-49","Breast",0.4,20
2005,"Men","35-49","Breast",0.3,15
2006,"Men","35-49","Breast",0.4,20
2007,"Men","35-49","Breast",0.2,12
2008,"Men","35-49","Breast",0.4,24
2009,"Men","35-49","Breast",0.4,24
2010,"Men","35-49","Breast",0.4,22
2011,"Men","35-49","Breast",0.3,18
2012,"Men","35-49","Breast",0.3,18
2013,"Men","35-49","Breast",0.3,15
2014,"Men","35-49","Breast",0.3,17
2015,"Men","35-49","Breast",0.4,21
2016,"Men","35-49","Breast",0.2,12
2017,"Men","35-49","Breast",0.3,18
2018,"Men","35-49","Breast",0.5,25
2019,"Men","35-49","Breast",0.5,27
2001,"Men","35-49","Colorectum",11.7,614
2002,"Men","35-49","Colorectum",12.6,668
2003,"Men","35-49","Colorectum",12.3,668
2004,"Men","35-49","Colorectum",13.3,726
2005,"Men","35-49","Colorectum",13.6,752
2006,"Men","35-49","Colorectum",13.8,775
2007,"Men","35-49","Colorectum",13.1,740
2008,"Men","35-49","Colorectum",13.8,784
2009,"Men","35-49","Colorectum",14,794
2010,"Men","35-49","Colorectum",13.8,779
2011,"Men","35-49","Colorectum",15.1,845
2012,"Men","35-49","Colorectum",16,888
2013,"Men","35-49","Colorectum",15.9,872
2014,"Men","35-49","Colorectum",16,872
2015,"Men","35-49","Colorectum",16.1,880
2016,"Men","35-49","Colorectum",17.3,943
2017,"Men","35-49","Colorectum",17.5,948
2018,"Men","35-49","Colorectum",19,1025
2019,"Men","35-49","Colorectum",20.1,1080
2001,"Men","35-49","Gallbladder",0.3,12
2002,"Men","35-49","Gallbladder",0.5,23
2003,"Men","35-49","Gallbladder",0.4,22
2004,"Men","35-49","Gallbladder",0.5,24
2005,"Men","35-49","Gallbladder",0.4,22
2006,"Men","35-49","Gallbladder",0.4,24
2007,"Men","35-49","Gallbladder",0.4,22
2008,"Men","35-49","Gallbladder",0.4,24
2009,"Men","35-49","Gallbladder",0.5,30
2010,"Men","35-49","Gallbladder",0.4,22
2011,"Men","35-49","Gallbladder",0.5,29
2012,"Men","35-49","Gallbladder",0.4,23
2013,"Men","35-49","Gallbladder",0.4,22
2014,"Men","35-49","Gallbladder",0.8,41
2015,"Men","35-49","Gallbladder",0.7,34
2016,"Men","35-49","Gallbladder",0.5,30
2017,"Men","35-49","Gallbladder",0.6,31
2018,"Men","35-49","Gallbladder",0.5,25
2019,"Men","35-49","Gallbladder",0.6,34
2001,"Men","35-49","Hodgkin Lymphoma",3.3,175
2002,"Men","35-49","Hodgkin Lymphoma",3.3,177
2003,"Men","35-49","Hodgkin Lymphoma",3,161
2004,"Men","35-49","Hodgkin Lymphoma",3.2,175
2005,"Men","35-49","Hodgkin Lymphoma",3.5,192
2006,"Men","35-49","Hodgkin Lymphoma",3,169
2007,"Men","35-49","Hodgkin Lymphoma",3.6,205
2008,"Men","35-49","Hodgkin Lymphoma",3.4,192
2009,"Men","35-49","Hodgkin Lymphoma",3.5,199
2010,"Men","35-49","Hodgkin Lymphoma",3.7,206
2011,"Men","35-49","Hodgkin Lymphoma",3.7,206
2012,"Men","35-49","Hodgkin Lymphoma",3.5,196
2013,"Men","35-49","Hodgkin Lymphoma",3.5,194
2014,"Men","35-49","Hodgkin Lymphoma",3.6,198
2015,"Men","35-49","Hodgkin Lymphoma",3.9,215
2016,"Men","35-49","Hodgkin Lymphoma",3.5,193
2017,"Men","35-49","Hodgkin Lymphoma",4.1,220
2018,"Men","35-49","Hodgkin Lymphoma",3.5,192
2019,"Men","35-49","Hodgkin Lymphoma",3.6,196
2001,"Men","35-49","Kaposi Sarcoma",0.5,28
2002,"Men","35-49","Kaposi Sarcoma",0.4,23
2003,"Men","35-49","Kaposi Sarcoma",0.7,37
2004,"Men","35-49","Kaposi Sarcoma",0.7,40
2005,"Men","35-49","Kaposi Sarcoma",1,53
2006,"Men","35-49","Kaposi Sarcoma",1.2,66
2007,"Men","35-49","Kaposi Sarcoma",1.2,67
2008,"Men","35-49","Kaposi Sarcoma",1.3,71
2009,"Men","35-49","Kaposi Sarcoma",0.8,44
2010,"Men","35-49","Kaposi Sarcoma",0.9,50
2011,"Men","35-49","Kaposi Sarcoma",0.9,51
2012,"Men","35-49","Kaposi Sarcoma",0.8,44
2013,"Men","35-49","Kaposi Sarcoma",1,53
2014,"Men","35-49","Kaposi Sarcoma",0.9,49
2015,"Men","35-49","Kaposi Sarcoma",0.8,44
2016,"Men","35-49","Kaposi Sarcoma",0.8,46
2017,"Men","35-49","Kaposi Sarcoma",0.7,39
2018,"Men","35-49","Kaposi Sarcoma",0.6,35
2019,"Men","35-49","Kaposi Sarcoma",0.5,29
2001,"Men","35-49","Kidney",4.9,254
2002,"Men","35-49","Kidney",5.4,287
2003,"Men","35-49","Kidney",5.4,291
2004,"Men","35-49","Kidney",5,273
2005,"Men","35-49","Kidney",5,279
2006,"Men","35-49","Kidney",5.7,321
2007,"Men","35-49","Kidney",6.4,360
2008,"Men","35-49","Kidney",6.3,357
2009,"Men","35-49","Kidney",6.7,382
2010,"Men","35-49","Kidney",7.6,428
2011,"Men","35-49","Kidney",7.4,416
2012,"Men","35-49","Kidney",8.4,468
2013,"Men","35-49","Kidney",9,497
2014,"Men","35-49","Kidney",10,547
2015,"Men","35-49","Kidney",10.1,549
2016,"Men","35-49","Kidney",10.1,551
2017,"Men","35-49","Kidney",10.8,586
2018,"Men","35-49","Kidney",10.3,556
2019,"Men","35-49","Kidney",10.2,550
2001,"Men","35-49","Larynx",1.7,88
2002,"Men","35-49","Larynx",1.6,83
2003,"Men","35-49","Larynx",1.7,90
2004,"Men","35-49","Larynx",1.3,71
2005,"Men","35-49","Larynx",1.4,79
2006,"Men","35-49","Larynx",1.7,96
2007,"Men","35-49","Larynx",1.4,79
2008,"Men","35-49","Larynx",1.7,99
2009,"Men","35-49","Larynx",1.6,89
2010,"Men","35-49","Larynx",1.6,89
2011,"Men","35-49","Larynx",1.6,92
2012,"Men","35-49","Larynx",1.5,81
2013,"Men","35-49","Larynx",1.6,87
2014,"Men","35-49","Larynx",1.5,80
2015,"Men","35-49","Larynx",1.5,82
2016,"Men","35-49","Larynx",1.1,62
2017,"Men","35-49","Larynx",1.3,69
2018,"Men","35-49","Larynx",1.5,83
2019,"Men","35-49","Larynx",1.3,72
2001,"Men","35-49","Leukaemia",4.9,257
