variable	age_group	sex	exposure	year	value	SE
fibre_consumption_mean	50+	Women	Fibre	2018	11.469067171997	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2008	42.0294901339064	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2009	29.1787311737243	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2010	28.6929006344142	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2011	34.4117457327002	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2012	31.2318121968502	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2013	40.4928816936988	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2014	23.9541780840702	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2015	25.0701080242098	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2016	21.9670975822817	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2017	22.3881810198321	NA
processedmeat_consumption_median	20-49	Men	Processed_Meat	2018	20.7210539293551	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2008	19.0225598540447	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2009	18.1880377003232	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2010	16.3618014375549	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2011	18.6443231100411	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2012	11.6161264330567	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2013	13.9074422745483	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2014	21.3162068110616	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2015	12.8106072434157	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2016	12.4318479876302	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2017	13.4626771369902	NA
processedmeat_consumption_median	20-49	Women	Processed_Meat	2018	8.01190964963301	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2008	28.8465128638192	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2009	23	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2010	21.8995213670049	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2011	30	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2012	32.3966849672924	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2013	33.7439119612741	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2014	33	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2015	28.5684464386081	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2016	19.9947026128376	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2017	17.2506142325735	NA
processedmeat_consumption_median	50+	Men	Processed_Meat	2018	24.4974740929588	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2008	17.7244765336727	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2009	15.4207928056696	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2010	12.5	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2011	10.9944346538172	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2012	17.25	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2013	12.1157540008364	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2014	13.4377242233548	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2015	7.84236158410004	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2016	9.12178074255563	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2017	9.62272045095185	NA
processedmeat_consumption_median	50+	Women	Processed_Meat	2018	10.2755563705058	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2008	41.0119184521587	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2009	34.3182812640868	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2010	32.4709977307568	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2011	31.1187457132711	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2012	33.3335046794627	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2013	30.8669199210916	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2014	21.0402680401717	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2015	31.7616320487553	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2016	29.5508787754821	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2017	22.9640174046471	NA
redmeat_consumption_median	20-49	Men	Red_Meat	2018	11.0000563646914	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2008	28.6224206618642	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2009	15.6278053153864	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2010	13.2244505506103	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2011	18.7281565827113	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2012	16.8916573757538	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2013	11.6252096985554	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2014	25.6546201112279	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2015	16.363770344185	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2016	11.4329358630736	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2017	12.4319916750551	NA
redmeat_consumption_median	20-49	Women	Red_Meat	2018	6.91375153805135	NA
redmeat_consumption_median	50+	Men	Red_Meat	2008	44.0312484534484	NA
redmeat_consumption_median	50+	Men	Red_Meat	2009	42.372719609648	NA
redmeat_consumption_median	50+	Men	Red_Meat	2010	36.0382819499402	NA
redmeat_consumption_median	50+	Men	Red_Meat	2011	30.7724114688662	NA
redmeat_consumption_median	50+	Men	Red_Meat	2012	40.2615554892771	NA
redmeat_consumption_median	50+	Men	Red_Meat	2013	31.7599435737123	NA
redmeat_consumption_median	50+	Men	Red_Meat	2014	37.7360214814661	NA
redmeat_consumption_median	50+	Men	Red_Meat	2015	36.623501424203	NA
redmeat_consumption_median	50+	Men	Red_Meat	2016	38.7518059514842	NA
redmeat_consumption_median	50+	Men	Red_Meat	2017	28.9549389891707	NA
redmeat_consumption_median	50+	Men	Red_Meat	2018	21.8874518475848	NA
redmeat_consumption_median	50+	Women	Red_Meat	2008	39.5086538362647	NA
redmeat_consumption_median	50+	Women	Red_Meat	2009	27.5812704815923	NA
redmeat_consumption_median	50+	Women	Red_Meat	2010	29.25988645184	NA
redmeat_consumption_median	50+	Women	Red_Meat	2011	30.6604730245977	NA
redmeat_consumption_median	50+	Women	Red_Meat	2012	24.0290195213538	NA
redmeat_consumption_median	50+	Women	Red_Meat	2013	23.6806388519427	NA
redmeat_consumption_median	50+	Women	Red_Meat	2014	16.565156721266	NA
redmeat_consumption_median	50+	Women	Red_Meat	2015	27.0474390909565	NA
redmeat_consumption_median	50+	Women	Red_Meat	2016	11.8944185622071	NA
redmeat_consumption_median	50+	Women	Red_Meat	2017	16.1216382018938	NA
redmeat_consumption_median	50+	Women	Red_Meat	2018	19.1172789162771	NA
