"year","sex","Oral","Endometrium","Pancreas","Gallbladder","Colorectum","Liver","Kidney","Thyroid","MultipleMyeloma","Breast"
2011,"Women",0.511841824251389,0.491117849631769,0.219468557969975,0.219913166528817,0.251795771188556,0.414538636211572,0.287246277088116,0.0291819855879083,0.0886116245907747,0.15029799411634
2012,"Men",0.626855168280993,0,0.195627410841883,0.0989712747515258,0.315849040776497,0.449015307259621,0.254716759587578,0.0385548759997732,0.0967490009878786,0
2012,"Women",0.507365611952914,0.481614603449421,0.209862787789208,0.214005102256155,0.246152445026025,0.405455283801091,0.280120565771208,0.0286439797803005,0.0859719916811399,0.149343810593107
2013,"Men",0.636827731508722,0,0.207649194731643,0.105020564016032,0.321342094840092,0.462729358466862,0.258352809719996,0.0372107894584753,0.0981562398020037,0
2013,"Women",0.494575658552755,0.474466492416566,0.209327977872062,0.211366898454798,0.243221956608338,0.398590901137396,0.27672713960041,0.0298700678202814,0.0852409687971808,0.144722133489287
2014,"Men",0.62509356368842,0,0.194463618250717,0.0988927390505666,0.311837182896364,0.448602619339211,0.251091871793677,0.0370887149319741,0.094984252081216,0
2014,"Women",0.488998872354344,0.494773384193029,0.209249484828605,0.221146718387773,0.247075508342815,0.405127197624741,0.288854155488651,0.0283550745699075,0.0888860624113648,0.147294922789463
2015,"Men",0.599166839512818,0,0.185452215217473,0.106247978964509,0.312867030052592,0.445128986208746,0.259581574581545,0.0371421855529782,0.0986851786961902,0
2015,"Women",0.48795988982396,0.494414412024816,0.210155990131711,0.220663277701973,0.24766232006917,0.407255627257062,0.2883027056721,0.0280872077807905,0.0886021485087862,0.146433174245
2016,"Men",0.611618876145212,0,0.190487661697182,0.103903799044269,0.311532024426649,0.449208287639219,0.255276686524825,0.0364523537521069,0.0967142574524424,0
2016,"Women",0.483787307515885,0.489098616624186,0.202278229337003,0.216774750522546,0.244101244695488,0.401246904062237,0.283683157712008,0.027270219504676,0.0867213054906544,0.146169982391523
2017,"Men",0.598046057013006,0,0.190538878609482,0.109985252447798,0.310666186130495,0.44846147367507,0.260927258713947,0.0359125540869303,0.0991141790359513,0
2017,"Women",0.474835621776091,0.515579724605719,0.206857327035934,0.23304534336763,0.253886842598335,0.414755082881333,0.303272565950452,0.0279714918926147,0.0938513654692164,0.149332991753055
2018,"Men",0.596895340413709,0,0.137306996224488,0,0.158618670555885,0.269622546755863,0,0,0,0
2018,"Women",0.478139170526012,0,0.157392222173495,0,0.0948928683417143,0.222076944197543,0,0,0,0.0701082553880965
2019,"Men",0.593525999946294,0,0.134880570995538,0,0.156639672843606,0.264390252202584,0,0,0,0
2019,"Women",0.468500526246548,0,0.149411088085897,0,0.0919371397266688,0.210211757160941,0,0,0,0.0711313696524453
