"year","sex","age_group","cancer_site","count"
2003,"Men","20-49","Pancreas",138
2004,"Men","20-49","Pancreas",121
2005,"Men","20-49","Pancreas",145
2006,"Men","20-49","Pancreas",138
2007,"Men","20-49","Pancreas",153
2008,"Men","20-49","Pancreas",166
2009,"Men","20-49","Pancreas",179
2010,"Men","20-49","Pancreas",170
2011,"Men","20-49","Pancreas",168
2012,"Men","20-49","Pancreas",179
2013,"Men","20-49","Pancreas",185
2014,"Men","20-49","Pancreas",199
2015,"Men","20-49","Pancreas",168
2016,"Men","20-49","Pancreas",200
2017,"Men","20-49","Pancreas",178
2018,"Men","20-49","Pancreas",199
2019,"Men","20-49","Pancreas",187
2001,"Men","20-49","Thyroid",119
2002,"Men","20-49","Thyroid",115
2003,"Men","20-49","Thyroid",150
2004,"Men","20-49","Thyroid",141
2005,"Men","20-49","Thyroid",161
2006,"Men","20-49","Thyroid",152
2007,"Men","20-49","Thyroid",175
2008,"Men","20-49","Thyroid",182
2009,"Men","20-49","Thyroid",219
2010,"Men","20-49","Thyroid",232
2011,"Men","20-49","Thyroid",262
2012,"Men","20-49","Thyroid",270
2013,"Men","20-49","Thyroid",276
2014,"Men","20-49","Thyroid",292
2015,"Men","20-49","Thyroid",301
2016,"Men","20-49","Thyroid",301
2017,"Men","20-49","Thyroid",306
2018,"Men","20-49","Thyroid",337
2019,"Men","20-49","Thyroid",345
2001,"Men","50+","Colorectum",14760
2002,"Men","50+","Colorectum",14796
2003,"Men","50+","Colorectum",15139
2004,"Men","50+","Colorectum",15642
2005,"Men","50+","Colorectum",15941
2006,"Men","50+","Colorectum",16320
2007,"Men","50+","Colorectum",16679
2008,"Men","50+","Colorectum",17622
2009,"Men","50+","Colorectum",17935
2010,"Men","50+","Colorectum",18359
2011,"Men","50+","Colorectum",18703
2012,"Men","50+","Colorectum",19095
2013,"Men","50+","Colorectum",18486
2014,"Men","50+","Colorectum",18228
2015,"Men","50+","Colorectum",18733
2016,"Men","50+","Colorectum",19043
2017,"Men","50+","Colorectum",18917
2018,"Men","50+","Colorectum",19480
2019,"Men","50+","Colorectum",20255
2001,"Men","50+","Gallbladder",418
2002,"Men","50+","Gallbladder",392
2003,"Men","50+","Gallbladder",407
2004,"Men","50+","Gallbladder",414
2005,"Men","50+","Gallbladder",440
2006,"Men","50+","Gallbladder",517
2007,"Men","50+","Gallbladder",536
2008,"Men","50+","Gallbladder",595
2009,"Men","50+","Gallbladder",534
2010,"Men","50+","Gallbladder",620
2011,"Men","50+","Gallbladder",634
2012,"Men","50+","Gallbladder",648
2013,"Men","50+","Gallbladder",764
2014,"Men","50+","Gallbladder",688
2015,"Men","50+","Gallbladder",730
2016,"Men","50+","Gallbladder",756
2017,"Men","50+","Gallbladder",750
2018,"Men","50+","Gallbladder",879
2019,"Men","50+","Gallbladder",880
2001,"Men","50+","Kidney",2586
2002,"Men","50+","Kidney",2720
2003,"Men","50+","Kidney",2697
2004,"Men","50+","Kidney",2912
2005,"Men","50+","Kidney",3064
2006,"Men","50+","Kidney",3299
2007,"Men","50+","Kidney",3492
2008,"Men","50+","Kidney",3649
2009,"Men","50+","Kidney",3744
2010,"Men","50+","Kidney",3882
2011,"Men","50+","Kidney",4166
2012,"Men","50+","Kidney",4439
2013,"Men","50+","Kidney",5144
2014,"Men","50+","Kidney",5324
2015,"Men","50+","Kidney",5319
2016,"Men","50+","Kidney",5446
2017,"Men","50+","Kidney",5252
2018,"Men","50+","Kidney",5593
2019,"Men","50+","Kidney",5951
2001,"Men","50+","Liver",1144
2002,"Men","50+","Liver",1289
2003,"Men","50+","Liver",1287
2004,"Men","50+","Liver",1336
2005,"Men","50+","Liver",1514
2006,"Men","50+","Liver",1662
2007,"Men","50+","Liver",1762
2008,"Men","50+","Liver",1848
2009,"Men","50+","Liver",2017
2010,"Men","50+","Liver",2192
2011,"Men","50+","Liver",2292
2012,"Men","50+","Liver",2565
2013,"Men","50+","Liver",2899
2014,"Men","50+","Liver",2989
2015,"Men","50+","Liver",3024
2016,"Men","50+","Liver",3297
2017,"Men","50+","Liver",3289
2018,"Men","50+","Liver",3377
2019,"Men","50+","Liver",3645
2001,"Men","50+","MultipleMyeloma",1722
2002,"Men","50+","MultipleMyeloma",1747
2003,"Men","50+","MultipleMyeloma",1848
2004,"Men","50+","MultipleMyeloma",1903
2005,"Men","50+","MultipleMyeloma",1886
2006,"Men","50+","MultipleMyeloma",2002
2007,"Men","50+","MultipleMyeloma",2068
2008,"Men","50+","MultipleMyeloma",2305
2009,"Men","50+","MultipleMyeloma",2367
2010,"Men","50+","MultipleMyeloma",2335
2011,"Men","50+","MultipleMyeloma",2384
2012,"Men","50+","MultipleMyeloma",2542
2013,"Men","50+","MultipleMyeloma",3228
2014,"Men","50+","MultipleMyeloma",3129
2015,"Men","50+","MultipleMyeloma",3174
2016,"Men","50+","MultipleMyeloma",3274
2017,"Men","50+","MultipleMyeloma",3487
2018,"Men","50+","MultipleMyeloma",3486
2019,"Men","50+","MultipleMyeloma",3739
2001,"Men","50+","Oral",2285
2002,"Men","50+","Oral",2162
2003,"Men","50+","Oral",2436
2004,"Men","50+","Oral",2409
2005,"Men","50+","Oral",2501
2006,"Men","50+","Oral",2801
2007,"Men","50+","Oral",2791
2008,"Men","50+","Oral",3067
2009,"Men","50+","Oral",3269
2010,"Men","50+","Oral",3374
2011,"Men","50+","Oral",3510
2012,"Men","50+","Oral",3812
2013,"Men","50+","Oral",3994
2014,"Men","50+","Oral",4025
2015,"Men","50+","Oral",4361
2016,"Men","50+","Oral",4460
2017,"Men","50+","Oral",4445
2018,"Men","50+","Oral",4658
2019,"Men","50+","Oral",5045
2001,"Men","50+","Pancreas",2723
2002,"Men","50+","Pancreas",2832
2003,"Men","50+","Pancreas",2796
2004,"Men","50+","Pancreas",2988
2005,"Men","50+","Pancreas",2990
2006,"Men","50+","Pancreas",3136
2007,"Men","50+","Pancreas",3094
2008,"Men","50+","Pancreas",3366
2009,"Men","50+","Pancreas",3379
2010,"Men","50+","Pancreas",3461
2011,"Men","50+","Pancreas",3542
2012,"Men","50+","Pancreas",3769
2013,"Men","50+","Pancreas",3988
2014,"Men","50+","Pancreas",3969
2015,"Men","50+","Pancreas",4123
2016,"Men","50+","Pancreas",4323
2017,"Men","50+","Pancreas",4483
2018,"Men","50+","Pancreas",4473
2019,"Men","50+","Pancreas",4588
2001,"Men","50+","Thyroid",211
2002,"Men","50+","Thyroid",206
2003,"Men","50+","Thyroid",201
2004,"Men","50+","Thyroid",237
2005,"Men","50+","Thyroid",231
2006,"Men","50+","Thyroid",276
2007,"Men","50+","Thyroid",314
2008,"Men","50+","Thyroid",289
2009,"Men","50+","Thyroid",325
2010,"Men","50+","Thyroid",400
2011,"Men","50+","Thyroid",383
2012,"Men","50+","Thyroid",432
2013,"Men","50+","Thyroid",476
2014,"Men","50+","Thyroid",533
2015,"Men","50+","Thyroid",518
2016,"Men","50+","Thyroid",530
2017,"Men","50+","Thyroid",605
2018,"Men","50+","Thyroid",621
2019,"Men","50+","Thyroid",593
2001,"Women","20-49","Breast",6885
2002,"Women","20-49","Breast",6804
2003,"Women","20-49","Breast",7178
2004,"Women","20-49","Breast",7345
2005,"Women","20-49","Breast",7534
2006,"Women","20-49","Breast",7569
2007,"Women","20-49","Breast",7546
2008,"Women","20-49","Breast",7916
2009,"Women","20-49","Breast",8147
2010,"Women","20-49","Breast",8593
2011,"Women","20-49","Breast",8435
2012,"Women","20-49","Breast",8622
2013,"Women","20-49","Breast",8871
2014,"Women","20-49","Breast",8636
2015,"Women","20-49","Breast",8604
2016,"Women","20-49","Breast",8612
2017,"Women","20-49","Breast",8473
2018,"Women","20-49","Breast",8448
2019,"Women","20-49","Breast",8504
2001,"Women","20-49","Colorectum",678
2002,"Women","20-49","Colorectum",697
2003,"Women","20-49","Colorectum",686
2004,"Women","20-49","Colorectum",692
2005,"Women","20-49","Colorectum",779
2006,"Women","20-49","Colorectum",817
2007,"Women","20-49","Colorectum",824
2008,"Women","20-49","Colorectum",808
2009,"Women","20-49","Colorectum",890
2010,"Women","20-49","Colorectum",919
2011,"Women","20-49","Colorectum",960
2012,"Women","20-49","Colorectum",1091
2013,"Women","20-49","Colorectum",1086
2014,"Women","20-49","Colorectum",1067
2015,"Women","20-49","Colorectum",1190
2016,"Women","20-49","Colorectum",1195
2017,"Women","20-49","Colorectum",1127
2018,"Women","20-49","Colorectum",1154
2019,"Women","20-49","Colorectum",1219
2001,"Women","20-49","Endometrium",301
2002,"Women","20-49","Endometrium",270
2003,"Women","20-49","Endometrium",338
2004,"Women","20-49","Endometrium",337
2005,"Women","20-49","Endometrium",361
2006,"Women","20-49","Endometrium",392
2007,"Women","20-49","Endometrium",424
2008,"Women","20-49","Endometrium",462
2009,"Women","20-49","Endometrium",427
2010,"Women","20-49","Endometrium",442
2011,"Women","20-49","Endometrium",436
2012,"Women","20-49","Endometrium",463
2013,"Women","20-49","Endometrium",499
2014,"Women","20-49","Endometrium",528
2015,"Women","20-49","Endometrium",455
2016,"Women","20-49","Endometrium",494
2017,"Women","20-49","Endometrium",517
2018,"Women","20-49","Endometrium",537
2019,"Women","20-49","Endometrium",543
2001,"Women","20-49","Gallbladder",25
2002,"Women","20-49","Gallbladder",20
2003,"Women","20-49","Gallbladder",26
2004,"Women","20-49","Gallbladder",25
2005,"Women","20-49","Gallbladder",27
2006,"Women","20-49","Gallbladder",27
2007,"Women","20-49","Gallbladder",29
2008,"Women","20-49","Gallbladder",28
2009,"Women","20-49","Gallbladder",28
2010,"Women","20-49","Gallbladder",38
2011,"Women","20-49","Gallbladder",40
2012,"Women","20-49","Gallbladder",33
2013,"Women","20-49","Gallbladder",37
2014,"Women","20-49","Gallbladder",32
2015,"Women","20-49","Gallbladder",35
2016,"Women","20-49","Gallbladder",41
2017,"Women","20-49","Gallbladder",42
2018,"Women","20-49","Gallbladder",35
2019,"Women","20-49","Gallbladder",41
2001,"Women","20-49","Kidney",145
2002,"Women","20-49","Kidney",153
2003,"Women","20-49","Kidney",181
2004,"Women","20-49","Kidney",194
2005,"Women","20-49","Kidney",205
2006,"Women","20-49","Kidney",176
2007,"Women","20-49","Kidney",196
2008,"Women","20-49","Kidney",241
2009,"Women","20-49","Kidney",241
2010,"Women","20-49","Kidney",216
2011,"Women","20-49","Kidney",261
2012,"Women","20-49","Kidney",271
2013,"Women","20-49","Kidney",318
2014,"Women","20-49","Kidney",321
2015,"Women","20-49","Kidney",328
2016,"Women","20-49","Kidney",341
2017,"Women","20-49","Kidney",322
2018,"Women","20-49","Kidney",319
2019,"Women","20-49","Kidney",344
2001,"Women","20-49","Liver",32
2002,"Women","20-49","Liver",45
2003,"Women","20-49","Liver",43
2004,"Women","20-49","Liver",49
2005,"Women","20-49","Liver",49
2006,"Women","20-49","Liver",59
2007,"Women","20-49","Liver",62
2008,"Women","20-49","Liver",72
2009,"Women","20-49","Liver",76
2010,"Women","20-49","Liver",61
2011,"Women","20-49","Liver",66
2012,"Women","20-49","Liver",66
2013,"Women","20-49","Liver",73
2014,"Women","20-49","Liver",80
2015,"Women","20-49","Liver",79
2016,"Women","20-49","Liver",66
2017,"Women","20-49","Liver",75
2018,"Women","20-49","Liver",82
2019,"Women","20-49","Liver",89
2001,"Women","20-49","MultipleMyeloma",63
2002,"Women","20-49","MultipleMyeloma",67
2003,"Women","20-49","MultipleMyeloma",55
2004,"Women","20-49","MultipleMyeloma",71
2005,"Women","20-49","MultipleMyeloma",65
2006,"Women","20-49","MultipleMyeloma",76
2007,"Women","20-49","MultipleMyeloma",77
2008,"Women","20-49","MultipleMyeloma",101
2009,"Women","20-49","MultipleMyeloma",90
2010,"Women","20-49","MultipleMyeloma",99
2011,"Women","20-49","MultipleMyeloma",98
2012,"Women","20-49","MultipleMyeloma",117
2013,"Women","20-49","MultipleMyeloma",156
2014,"Women","20-49","MultipleMyeloma",150
2015,"Women","20-49","MultipleMyeloma",131
2016,"Women","20-49","MultipleMyeloma",139
2017,"Women","20-49","MultipleMyeloma",159
2018,"Women","20-49","MultipleMyeloma",163
2019,"Women","20-49","MultipleMyeloma",147
2001,"Women","20-49","Oral",244
2002,"Women","20-49","Oral",208
2003,"Women","20-49","Oral",238
2004,"Women","20-49","Oral",213
2005,"Women","20-49","Oral",246
2006,"Women","20-49","Oral",268
2007,"Women","20-49","Oral",272
2008,"Women","20-49","Oral",317
2009,"Women","20-49","Oral",322
2010,"Women","20-49","Oral",305
2011,"Women","20-49","Oral",283
2012,"Women","20-49","Oral",339
2013,"Women","20-49","Oral",317
2014,"Women","20-49","Oral",328
2015,"Women","20-49","Oral",333
2016,"Women","20-49","Oral",356
2017,"Women","20-49","Oral",322
2018,"Women","20-49","Oral",344
2019,"Women","20-49","Oral",327
2001,"Women","20-49","Pancreas",95
2002,"Women","20-49","Pancreas",112
2003,"Women","20-49","Pancreas",89
2004,"Women","20-49","Pancreas",87
2005,"Women","20-49","Pancreas",104
2006,"Women","20-49","Pancreas",131
2007,"Women","20-49","Pancreas",116
2008,"Women","20-49","Pancreas",116
2009,"Women","20-49","Pancreas",121
2010,"Women","20-49","Pancreas",126
2011,"Women","20-49","Pancreas",134
2012,"Women","20-49","Pancreas",137
2013,"Women","20-49","Pancreas",156
2014,"Women","20-49","Pancreas",140
2015,"Women","20-49","Pancreas",155
2016,"Women","20-49","Pancreas",152
2017,"Women","20-49","Pancreas",141
2018,"Women","20-49","Pancreas",157
2019,"Women","20-49","Pancreas",165
2001,"Women","20-49","Thyroid",403
2002,"Women","20-49","Thyroid",446
2003,"Women","20-49","Thyroid",460
2004,"Women","20-49","Thyroid",522
2005,"Women","20-49","Thyroid",539
2006,"Women","20-49","Thyroid",652
2007,"Women","20-49","Thyroid",671
2008,"Women","20-49","Thyroid",712
2009,"Women","20-49","Thyroid",741
2010,"Women","20-49","Thyroid",820
2011,"Women","20-49","Thyroid",877
2012,"Women","20-49","Thyroid",962
2013,"Women","20-49","Thyroid",1042
2014,"Women","20-49","Thyroid",1012
2015,"Women","20-49","Thyroid",1072
2016,"Women","20-49","Thyroid",1175
2017,"Women","20-49","Thyroid",1158
2018,"Women","20-49","Thyroid",1192
2019,"Women","20-49","Thyroid",1224
2001,"Women","50+","Breast",28711
2002,"Women","50+","Breast",28737
2003,"Women","50+","Breast",30473
2004,"Women","50+","Breast",30570
2005,"Women","50+","Breast",31331
2006,"Women","50+","Breast",31326
2007,"Women","50+","Breast",31357
2008,"Women","50+","Breast",32838
2009,"Women","50+","Breast",32537
2010,"Women","50+","Breast",33192
2011,"Women","50+","Breast",33526
2012,"Women","50+","Breast",34513
2013,"Women","50+","Breast",36091
2014,"Women","50+","Breast",37683
2015,"Women","50+","Breast",37405
2016,"Women","50+","Breast",37278
2017,"Women","50+","Breast",37494
2018,"Women","50+","Breast",39365
2019,"Women","50+","Breast",39584
2001,"Women","50+","Colorectum",12721
2002,"Women","50+","Colorectum",12617
2003,"Women","50+","Colorectum",12730
2004,"Women","50+","Colorectum",13102
2005,"Women","50+","Colorectum",13246
2006,"Women","50+","Colorectum",13582
2007,"Women","50+","Colorectum",13994
2008,"Women","50+","Colorectum",14324
2009,"Women","50+","Colorectum",14512
2010,"Women","50+","Colorectum",14562
2011,"Women","50+","Colorectum",15105
2012,"Women","50+","Colorectum",15082
2013,"Women","50+","Colorectum",14849
2014,"Women","50+","Colorectum",15097
2015,"Women","50+","Colorectum",15480
2016,"Women","50+","Colorectum",15246
2017,"Women","50+","Colorectum",15328
2018,"Women","50+","Colorectum",15747
2019,"Women","50+","Colorectum",16482
2001,"Women","50+","Endometrium",4497
2002,"Women","50+","Endometrium",4504
2003,"Women","50+","Endometrium",4844
2004,"Women","50+","Endometrium",4810
2005,"Women","50+","Endometrium",5182
2006,"Women","50+","Endometrium",5419
2007,"Women","50+","Endometrium",5649
2008,"Women","50+","Endometrium",5791
2009,"Women","50+","Endometrium",5898
2010,"Women","50+","Endometrium",6258
2011,"Women","50+","Endometrium",6480
2012,"Women","50+","Endometrium",6625
2013,"Women","50+","Endometrium",6854
2014,"Women","50+","Endometrium",7087
2015,"Women","50+","Endometrium",6897
2016,"Women","50+","Endometrium",7339
2017,"Women","50+","Endometrium",7261
2018,"Women","50+","Endometrium",7633
2019,"Women","50+","Endometrium",7565
2001,"Women","50+","Gallbladder",587
2002,"Women","50+","Gallbladder",567
2003,"Women","50+","Gallbladder",561
2004,"Women","50+","Gallbladder",583
2005,"Women","50+","Gallbladder",641
2006,"Women","50+","Gallbladder",716
2007,"Women","50+","Gallbladder",716
2008,"Women","50+","Gallbladder",739
2009,"Women","50+","Gallbladder",785
2010,"Women","50+","Gallbladder",881
2011,"Women","50+","Gallbladder",854
2012,"Women","50+","Gallbladder",924
2013,"Women","50+","Gallbladder",982
2014,"Women","50+","Gallbladder",985
2015,"Women","50+","Gallbladder",995
2016,"Women","50+","Gallbladder",1062
2017,"Women","50+","Gallbladder",1051
2018,"Women","50+","Gallbladder",1245
2019,"Women","50+","Gallbladder",1221
2001,"Women","50+","Kidney",1571
2002,"Women","50+","Kidney",1632
2003,"Women","50+","Kidney",1736
2004,"Women","50+","Kidney",1734
2005,"Women","50+","Kidney",1788
2006,"Women","50+","Kidney",2024
2007,"Women","50+","Kidney",2062
2008,"Women","50+","Kidney",2307
2009,"Women","50+","Kidney",2329
2010,"Women","50+","Kidney",2557
2011,"Women","50+","Kidney",2598
2012,"Women","50+","Kidney",2681
2013,"Women","50+","Kidney",3038
2014,"Women","50+","Kidney",3203
2015,"Women","50+","Kidney",3098
2016,"Women","50+","Kidney",3160
2017,"Women","50+","Kidney",3264
2018,"Women","50+","Kidney",3122
2019,"Women","50+","Kidney",3419
2001,"Women","50+","Liver",811
2002,"Women","50+","Liver",814
2003,"Women","50+","Liver",778
2004,"Women","50+","Liver",856
2005,"Women","50+","Liver",914
2006,"Women","50+","Liver",981
2007,"Women","50+","Liver",1051
2008,"Women","50+","Liver",1048
2009,"Women","50+","Liver",1240
2010,"Women","50+","Liver",1331
2011,"Women","50+","Liver",1328
2012,"Women","50+","Liver",1462
2013,"Women","50+","Liver",1620
2014,"Women","50+","Liver",1596
2015,"Women","50+","Liver",1692
2016,"Women","50+","Liver",1722
2017,"Women","50+","Liver",1711
2018,"Women","50+","Liver",1642
2019,"Women","50+","Liver",1973
2001,"Women","50+","MultipleMyeloma",1509
2002,"Women","50+","MultipleMyeloma",1483
2003,"Women","50+","MultipleMyeloma",1570
2004,"Women","50+","MultipleMyeloma",1532
2005,"Women","50+","MultipleMyeloma",1637
2006,"Women","50+","MultipleMyeloma",1651
2007,"Women","50+","MultipleMyeloma",1698
2008,"Women","50+","MultipleMyeloma",1871
2009,"Women","50+","MultipleMyeloma",1843
2010,"Women","50+","MultipleMyeloma",1849
2011,"Women","50+","MultipleMyeloma",1872
2012,"Women","50+","MultipleMyeloma",1974
2013,"Women","50+","MultipleMyeloma",2499
2014,"Women","50+","MultipleMyeloma",2530
2015,"Women","50+","MultipleMyeloma",2436
2016,"Women","50+","MultipleMyeloma",2508
2017,"Women","50+","MultipleMyeloma",2584
2018,"Women","50+","MultipleMyeloma",2533
2019,"Women","50+","MultipleMyeloma",2777
2001,"Women","50+","Oral",1278
2002,"Women","50+","Oral",1214
2003,"Women","50+","Oral",1322
2004,"Women","50+","Oral",1371
2005,"Women","50+","Oral",1398
2006,"Women","50+","Oral",1494
2007,"Women","50+","Oral",1491
2008,"Women","50+","Oral",1674
2009,"Women","50+","Oral",1711
2010,"Women","50+","Oral",1863
2011,"Women","50+","Oral",1884
2012,"Women","50+","Oral",1996
2013,"Women","50+","Oral",2023
2014,"Women","50+","Oral",2092
2015,"Women","50+","Oral",2130
2016,"Women","50+","Oral",2216
2017,"Women","50+","Oral",2232
2018,"Women","50+","Oral",2409
2019,"Women","50+","Oral",2491
2001,"Women","50+","Pancreas",2987
2002,"Women","50+","Pancreas",2943
2003,"Women","50+","Pancreas",3037
2004,"Women","50+","Pancreas",3179
2005,"Women","50+","Pancreas",3238
2006,"Women","50+","Pancreas",3339
2007,"Women","50+","Pancreas",3332
2008,"Women","50+","Pancreas",3477
2009,"Women","50+","Pancreas",3568
2010,"Women","50+","Pancreas",3566
2011,"Women","50+","Pancreas",3694
2012,"Women","50+","Pancreas",3809
2013,"Women","50+","Pancreas",3990
2014,"Women","50+","Pancreas",3985
2015,"Women","50+","Pancreas",4122
2016,"Women","50+","Pancreas",4080
2017,"Women","50+","Pancreas",4226
2018,"Women","50+","Pancreas",4173
2019,"Women","50+","Pancreas",4387
2001,"Women","50+","Thyroid",477
2002,"Women","50+","Thyroid",487
2003,"Women","50+","Thyroid",509
2004,"Women","50+","Thyroid",508
2005,"Women","50+","Thyroid",566
2006,"Women","50+","Thyroid",618
2007,"Women","50+","Thyroid",670
2008,"Women","50+","Thyroid",689
2009,"Women","50+","Thyroid",752
2010,"Women","50+","Thyroid",748
2011,"Women","50+","Thyroid",805
2012,"Women","50+","Thyroid",955
2013,"Women","50+","Thyroid",1016
2014,"Women","50+","Thyroid",1079
2015,"Women","50+","Thyroid",1142
2016,"Women","50+","Thyroid",1099
2017,"Women","50+","Thyroid",1183
2018,"Women","50+","Thyroid",1235
2019,"Women","50+","Thyroid",1299
