"age_group"	"sex"	"level"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
50+	Women	Obese	0	0	1997	2019	0.9819	0.7247	1.2397	1	7.9695	0.000000
20-49	Men	Overweight	0	0	1997	2019	-0.5262	-0.7232	-0.3287	1	-5.5323	0.000017
50+	Men	Overweight	0	0	1997	2019	-0.6003	-0.7631	-0.4373	1	-7.6404	0.000000
20-49	Women	Overweight	0	0	1997	2019	-0.0817	-0.2571	0.0940	0	-0.9672	0.344462
50+	Women	Overweight	1	0	1997	2012	-0.3850	-0.6885	-0.0806	1	-2.6559	0.016087
50+	Women	Overweight	1	1	2012	2019	-1.3684	-2.3156	-0.4120	1	-2.9998	0.007689
20-49	Men	Previously	2	0	1995	2008	-1.0497	-1.7133	-0.3816	1	-3.3087	0.004152
20-49	Men	Previously	2	1	2008	2017	2.5019	1.0761	3.9478	1	3.7220	0.001695
20-49	Men	Previously	2	2	2017	2019	-6.6708	-17.9152	6.1140	0	-1.1346	0.272305
50+	Men	Previously	0	0	1995	2019	-1.1904	-1.3636	-1.0169	1	-14.1210	0.000000
20-49	Women	Previously	2	0	1995	2003	-0.9326	-2.2352	0.3874	0	-1.4936	0.153621
20-49	Women	Previously	2	1	2003	2017	1.4863	0.8430	2.1336	1	4.8955	0.000136
20-49	Women	Previously	2	2	2017	2019	-10.1242	-20.3913	1.4672	0	-1.8565	0.080800
50+	Women	Previously	0	0	1995	2019	0.1538	-0.0930	0.4013	0	1.2887	0.210302
20-49	Men	Underweight	0	0	1997	2019	2.4247	0.3937	4.4968	1	2.4876	0.021340
50+	Men	Underweight	0	0	1997	2019	-1.8455	-4.2078	0.5750	0	-1.5902	0.126739
20-49	Women	Underweight	0	0	1997	2019	1.2065	0.1737	2.2499	1	2.4315	0.024076
50+	Women	Underweight	0	0	1997	2019	-1.4682	-3.1667	0.2602	0	-1.7688	0.091444
