"age_group"	"sex"	"exposure"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
20-49	Men	BMI_overweight_men	2015	0.40	0.40	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2016	0.39	0.40	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2017	0.39	0.40	NA	-0.5502*	0	0
50+	Men	BMI_overweight_men	1997	0.51	0.52	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	1998	0.53	0.51	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	1999	0.51	0.51	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2000	0.51	0.51	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2001	0.51	0.50	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2002	0.49	0.50	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2003	0.50	0.49	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2004	0.49	0.49	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2005	0.48	0.49	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2006	0.48	0.48	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2007	0.47	0.48	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2008	0.46	0.48	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2009	0.48	0.47	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2010	0.47	0.47	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2011	0.46	0.47	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2012	0.47	0.46	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2013	0.46	0.46	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2014	0.48	0.46	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2015	0.46	0.46	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2016	0.46	0.45	NA	-0.6909*	0	0
50+	Men	BMI_overweight_men	2017	0.44	0.45	NA	-0.6909*	0	0
20-49	Women	BMI_overweight_women	1997	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	1998	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	1999	0.30	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2000	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2001	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2002	0.30	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2003	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2004	0.30	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2005	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2006	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2007	0.30	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2008	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2009	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2010	0.28	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2011	0.30	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2012	0.28	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2013	0.31	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2014	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2015	0.29	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2016	0.28	0.29	NA	-0.0858	0	0
20-49	Women	BMI_overweight_women	2017	0.28	0.29	NA	-0.0858	0	0
50+	Women	BMI_overweight_women	1997	0.39	0.40	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	1998	0.39	0.40	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	1999	0.39	0.40	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2000	0.41	0.39	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2001	0.39	0.39	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2002	0.39	0.39	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2003	0.39	0.39	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2004	0.40	0.39	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2005	0.38	0.38	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2006	0.38	0.38	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2007	0.37	0.38	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2008	0.38	0.38	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2009	0.39	0.38	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2010	0.37	0.37	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2011	0.37	0.37	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2012	0.38	0.37	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2013	0.38	0.37	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2014	0.36	0.37	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2015	0.36	0.36	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2016	0.35	0.36	NA	-0.5406*	0	0
50+	Women	BMI_overweight_women	2017	0.36	0.36	NA	-0.5406*	0	0
20-49	Men	Current_Smoking_men	1995	0.35	0.37	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	1996	0.37	0.36	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	1997	0.34	0.36	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	1998	0.34	0.35	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	1999	0.34	0.34	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2000	0.35	0.34	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2001	0.33	0.33	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2002	0.34	0.33	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2003	0.34	0.32	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2004	0.30	0.32	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2005	0.33	0.31	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2006	0.31	0.31	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2007	0.30	0.30	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2008	0.31	0.30	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2009	0.28	0.29	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2010	0.28	0.29	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2011	0.30	0.28	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2012	0.27	0.28	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2013	0.30	0.27	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2014	0.28	0.27	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2015	0.25	0.26	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2016	0.26	0.26	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2017	0.25	0.25	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2018	0.24	0.25	NA	-1.6740*	0	0
20-49	Men	Current_Smoking_men	2019	0.24	0.25	NA	-1.6740*	0	0
50+	Men	Current_Smoking_men	1995	0.20	0.21	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	1996	0.21	0.21	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	1997	0.22	0.20	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	1998	0.20	0.20	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	1999	0.19	0.20	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2000	0.19	0.19	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2001	0.19	0.19	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2002	0.18	0.18	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2003	0.17	0.18	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2004	0.16	0.18	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2005	0.18	0.17	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2006	0.17	0.17	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2007	0.17	0.17	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2008	0.15	0.16	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2009	0.18	0.16	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2010	0.16	0.16	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2011	0.15	0.15	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2012	0.16	0.15	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2013	0.17	0.15	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2014	0.15	0.15	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2015	0.13	0.14	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2016	0.15	0.14	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2017	0.15	0.14	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2018	0.12	0.13	NA	-1.9416*	0	0
50+	Men	Current_Smoking_men	2019	0.12	0.13	NA	-1.9416*	0	0
20-49	Women	Current_Smoking_women	1995	0.31	0.32	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	1996	0.33	0.32	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	1997	0.32	0.32	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	1998	0.32	0.31	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	1999	0.32	0.31	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	2000	0.30	0.31	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	2001	0.30	0.31	NA	-0.8570	1	1
20-49	Women	Current_Smoking_women	2002	0.33	0.30	Joinpoint 1	NA	1	1
20-49	Women	Current_Smoking_women	2003	0.30	0.29	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2004	0.27	0.28	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2005	0.30	0.28	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2006	0.25	0.27	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2007	0.26	0.26	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2008	0.24	0.25	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2009	0.24	0.24	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2010	0.22	0.23	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2011	0.23	0.23	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2012	0.20	0.22	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2013	0.21	0.21	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2014	0.20	0.21	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2015	0.22	0.20	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2016	0.19	0.19	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2017	0.19	0.19	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2018	0.18	0.18	NA	-3.2003*	1	1
20-49	Women	Current_Smoking_women	2019	0.18	0.17	NA	-3.2003*	1	1
50+	Women	Current_Smoking_women	1995	0.21	0.21	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	1996	0.20	0.20	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	1997	0.19	0.20	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	1998	0.20	0.19	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	1999	0.19	0.19	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2000	0.18	0.18	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2001	0.18	0.18	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2002	0.17	0.17	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2003	0.18	0.17	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2004	0.16	0.17	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2005	0.16	0.16	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2006	0.16	0.16	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2007	0.15	0.15	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2008	0.14	0.15	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2009	0.15	0.15	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2010	0.14	0.14	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2011	0.14	0.14	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2012	0.14	0.14	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2013	0.14	0.13	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2014	0.14	0.13	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2015	0.11	0.13	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2016	0.12	0.12	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2017	0.12	0.12	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2018	0.12	0.12	NA	-2.4870*	0	0
50+	Women	Current_Smoking_women	2019	0.11	0.11	NA	-2.4870*	0	0
20-49	Men	Former_Smoking_men	1995	0.19	0.19	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	1996	0.19	0.19	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	1997	0.18	0.19	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	1998	0.19	0.18	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	1999	0.19	0.18	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2000	0.17	0.18	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2001	0.19	0.18	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2002	0.17	0.18	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2003	0.16	0.18	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2004	0.18	0.17	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2005	0.17	0.17	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2006	0.17	0.17	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2007	0.17	0.17	NA	-1.0497*	2	2
20-49	Men	Former_Smoking_men	2008	0.17	0.17	Joinpoint 1	NA	2	2
20-49	Men	Former_Smoking_men	2009	0.17	0.17	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2010	0.18	0.17	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2011	0.18	0.18	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2012	0.17	0.18	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2013	0.20	0.19	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2014	0.19	0.19	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2015	0.19	0.20	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2016	0.21	0.20	NA	2.5019*	2	2
20-49	Men	Former_Smoking_men	2017	0.20	0.21	Joinpoint 2	NA	2	2
20-49	Men	Former_Smoking_men	2018	0.20	0.19	NA	-6.6708	2	2
20-49	Men	Former_Smoking_men	2019	0.18	0.18	NA	-6.6708	2	2
50+	Men	Former_Smoking_men	1995	0.51	0.52	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	1996	0.49	0.51	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	1997	0.51	0.50	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	1998	0.50	0.50	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	1999	0.47	0.49	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2000	0.48	0.49	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2001	0.49	0.48	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2002	0.46	0.47	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2003	0.48	0.47	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2004	0.48	0.46	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2005	0.45	0.46	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2006	0.45	0.45	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2007	0.46	0.45	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2008	0.45	0.44	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2009	0.44	0.44	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2010	0.45	0.43	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2011	0.45	0.43	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2012	0.41	0.42	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2013	0.41	0.42	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2014	0.39	0.41	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2015	0.41	0.41	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2016	0.39	0.40	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2017	0.38	0.40	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2018	0.40	0.39	NA	-1.1904*	0	0
50+	Men	Former_Smoking_men	2019	0.39	0.39	NA	-1.1904*	0	0
20-49	Women	Former_Smoking_women	1995	0.17	0.17	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	1996	0.16	0.17	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	1997	0.17	0.17	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	1998	0.16	0.17	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	1999	0.17	0.16	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	2000	0.16	0.16	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	2001	0.17	0.16	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	2002	0.16	0.16	NA	-0.9326	2	2
20-49	Women	Former_Smoking_women	2003	0.15	0.16	Joinpoint 1	NA	2	2
20-49	Women	Former_Smoking_women	2004	0.17	0.16	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2005	0.16	0.16	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2006	0.17	0.17	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2007	0.17	0.17	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2008	0.17	0.17	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2009	0.17	0.17	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2010	0.19	0.18	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2011	0.18	0.18	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2012	0.18	0.18	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2013	0.19	0.18	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2014	0.17	0.19	NA	1.4863*	2	2
20-49	Women	Former_Smoking_women	2015	0.18	0.19	NA	1.4863*	2	2
