"age_group"	"sex"	"level"	"variable"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
0	1	4	1	0	0	1995	2019	-0.9825	-1.1423	-0.8224	1	-12.6464	0.000000
1	1	4	1	2	0	1995	2011	-0.7566	-1.0101	-0.5025	1	-6.2664	0.000009
1	1	4	1	2	1	2011	2014	3.0232	-3.6228	10.1275	0	0.9423	0.359222
1	1	4	1	2	2	2014	2019	-0.9110	-2.3776	0.5775	0	-1.2950	0.212639
0	0	5	1	1	0	1995	2000	8.1765	4.2243	12.2786	1	4.4049	0.000273
0	0	5	1	1	1	2000	2019	0.8892	0.3931	1.3878	1	3.7459	0.001273
1	0	5	1	1	0	1995	2007	3.8784	3.1904	4.5709	1	11.9443	0.000000
1	0	5	1	1	1	2007	2019	0.5689	-0.0972	1.2394	0	1.7807	0.090158
0	1	5	1	1	0	1995	2001	4.7596	2.1482	7.4377	1	3.8424	0.001017
0	1	5	1	1	1	2001	2019	1.6678	1.1812	2.1567	1	7.1920	0.000001
1	1	5	1	1	0	1995	1998	6.7899	0.8245	13.1081	1	2.3840	0.027149
1	1	5	1	1	1	1998	2019	0.9245	0.6293	1.2206	1	6.5527	0.000002
0	0	6	1	0	0	1995	2019	-0.4670	-0.6435	-0.2902	1	-5.4558	0.000015
1	0	6	1	0	0	1995	2019	-0.5492	-0.6919	-0.4063	1	-7.9346	0.000000
0	1	6	1	0	0	1995	2019	-0.0491	-0.2019	0.1038	0	-0.6648	0.512820
1	1	6	1	0	0	1995	2019	-0.6556	-0.8036	-0.5073	1	-9.1225	0.000000
0	0	7	1	0	0	1995	2019	2.1713	0.4573	3.9146	1	2.6265	0.015085
1	0	7	1	0	0	1995	2019	-2.3430	-4.3574	-0.2861	1	-2.3530	0.027545
0	1	7	1	0	0	1995	2019	1.0732	0.1744	1.9801	1	2.4723	0.021252
1	1	7	1	0	0	1995	2019	-1.8806	-3.3417	-0.3975	1	-2.6179	0.015382
0	0	8	2	0	0	2003	2012	-1.8635	-3.5140	-0.1847	1	-3.5293	0.038658
1	0	8	2	0	0	2003	2012	-0.7305	-0.9288	-0.5319	1	-11.6700	0.001352
0	1	8	2	0	0	2003	2012	-1.4434	-2.4336	-0.4432	1	-4.5822	0.019515
1	1	8	2	0	0	2003	2012	-1.2478	-1.8795	-0.6120	1	-6.2265	0.008352
0	0	9	2	0	0	2003	2012	2.0840	0.1714	4.0331	1	3.4706	0.040328
1	0	9	2	0	0	2003	2012	1.9742	1.4560	2.4949	1	12.2134	0.001182
0	1	9	2	0	0	2003	2012	2.7421	0.5176	5.0159	1	3.9330	0.029272
1	1	9	2	0	0	2003	2012	5.0915	1.7723	8.5189	1	4.9245	0.016047
0	0	10	3	0	0	1995	2019	-1.6740	-1.9078	-1.4397	1	-14.6714	0.000000
1	0	10	3	0	0	1995	2019	-1.9416	-2.3066	-1.5753	1	-10.8771	0.000000
0	1	10	3	1	0	1995	2002	-0.8570	-2.4837	0.7968	0	-1.0852	0.290721
0	1	10	3	1	1	2002	2019	-3.2003	-3.6189	-2.7798	1	-15.6549	0.000000
1	1	10	3	0	0	1995	2019	-2.4870	-2.7000	-2.2735	1	-23.8199	0.000000
0	0	11	3	0	0	1995	2019	0.8975	0.7213	1.0741	1	10.5715	0.000000
1	0	11	3	0	0	1995	2019	2.2916	2.0903	2.4932	1	23.8021	0.000000
0	1	11	3	0	0	1995	2019	1.0487	0.9316	1.1660	1	18.6053	0.000000
1	1	11	3	0	0	1995	2019	0.6290	0.4992	0.7589	1	10.0510	0.000000
0	0	12	3	2	0	1995	2008	-1.0497	-1.7133	-0.3816	1	-3.3087	0.004152
0	0	12	3	2	1	2008	2017	2.5019	1.0761	3.9478	1	3.7220	0.001695
0	0	12	3	2	2	2017	2019	-6.6708	-17.9152	6.1140	0	-1.1346	0.272305
1	0	12	3	0	0	1995	2019	-1.1904	-1.3636	-1.0169	1	-14.1210	0.000000
0	1	12	3	2	0	1995	2003	-0.9326	-2.2352	0.3874	0	-1.4936	0.153621
0	1	12	3	2	1	2003	2017	1.4863	0.8430	2.1336	1	4.8955	0.000136
0	1	12	3	2	2	2017	2019	-10.1242	-20.3913	1.4672	0	-1.8565	0.080800
1	1	12	3	0	0	1995	2019	0.1538	-0.0930	0.4013	0	1.2887	0.210302
