"age_group"	"sex"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	1	0	0	2014	0.02	0.02	NA	0.1792	1	1
1	1	0	0	2015	0.02	0.02	NA	0.1792	1	1
1	1	0	0	2016	0.02	0.02	NA	0.1792	1	1
1	1	0	0	2017	0.02	0.02	NA	0.1792	1	1
1	1	0	0	2018	0.02	0.02	NA	0.1792	1	1
1	1	0	0	2019	0.02	0.02	NA	0.1792	1	1
0	0	1	0	2005	0.42	0.42	NA	1.2978*	0	0
0	0	1	0	2011	0.45	0.46	NA	1.2978*	0	0
0	0	1	0	2012	0.46	0.46	NA	1.2978*	0	0
0	0	1	0	2013	0.47	0.47	NA	1.2978*	0	0
0	0	1	0	2014	0.46	0.47	NA	1.2978*	0	0
0	0	1	0	2015	0.51	0.48	NA	1.2978*	0	0
0	0	1	0	2016	0.48	0.49	NA	1.2978*	0	0
0	0	1	0	2017	0.50	0.49	NA	1.2978*	0	0
0	0	1	0	2018	0.50	0.50	NA	1.2978*	0	0
0	0	1	0	2019	0.49	0.51	NA	1.2978*	0	0
1	0	1	0	2005	0.50	0.48	NA	-0.3930	0	0
1	0	1	0	2011	0.46	0.46	NA	-0.3930	0	0
1	0	1	0	2012	0.43	0.46	NA	-0.3930	0	0
1	0	1	0	2013	0.44	0.46	NA	-0.3930	0	0
1	0	1	0	2014	0.46	0.46	NA	-0.3930	0	0
1	0	1	0	2015	0.45	0.46	NA	-0.3930	0	0
1	0	1	0	2016	0.46	0.45	NA	-0.3930	0	0
1	0	1	0	2017	0.48	0.45	NA	-0.3930	0	0
1	0	1	0	2018	0.48	0.45	NA	-0.3930	0	0
1	0	1	0	2019	0.43	0.45	NA	-0.3930	0	0
0	1	1	0	2005	0.62	0.61	NA	-0.1898	0	0
0	1	1	0	2011	0.59	0.60	NA	-0.1898	0	0
0	1	1	0	2012	0.59	0.60	NA	-0.1898	0	0
0	1	1	0	2013	0.59	0.60	NA	-0.1898	0	0
0	1	1	0	2014	0.60	0.60	NA	-0.1898	0	0
0	1	1	0	2015	0.62	0.60	NA	-0.1898	0	0
0	1	1	0	2016	0.61	0.60	NA	-0.1898	0	0
0	1	1	0	2017	0.61	0.60	NA	-0.1898	0	0
0	1	1	0	2018	0.61	0.60	NA	-0.1898	0	0
0	1	1	0	2019	0.57	0.60	NA	-0.1898	0	0
1	1	1	0	2005	0.64	0.64	NA	-1.6392*	1	1
1	1	1	0	2011	0.57	0.58	NA	-1.6392*	1	1
1	1	1	0	2012	0.56	0.57	Joinpoint 1	NA	1	1
1	1	1	0	2013	0.60	0.57	NA	0.4026	1	1
1	1	1	0	2014	0.57	0.57	NA	0.4026	1	1
1	1	1	0	2015	0.58	0.58	NA	0.4026	1	1
1	1	1	0	2016	0.56	0.58	NA	0.4026	1	1
1	1	1	0	2017	0.59	0.58	NA	0.4026	1	1
1	1	1	0	2018	0.59	0.58	NA	0.4026	1	1
1	1	1	0	2019	0.58	0.59	NA	0.4026	1	1
0	0	2	0	2005	0.39	0.40	NA	-2.2782*	0	0
0	0	2	0	2011	0.34	0.34	NA	-2.2782*	0	0
0	0	2	0	2012	0.35	0.34	NA	-2.2782*	0	0
0	0	2	0	2013	0.33	0.33	NA	-2.2782*	0	0
0	0	2	0	2014	0.32	0.32	NA	-2.2782*	0	0
0	0	2	0	2015	0.31	0.31	NA	-2.2782*	0	0
0	0	2	0	2016	0.31	0.31	NA	-2.2782*	0	0
0	0	2	0	2017	0.29	0.30	NA	-2.2782*	0	0
0	0	2	0	2018	0.29	0.29	NA	-2.2782*	0	0
0	0	2	0	2019	0.29	0.29	NA	-2.2782*	0	0
1	0	2	0	2005	0.33	0.34	NA	-0.4050	0	0
1	0	2	0	2011	0.33	0.34	NA	-0.4050	0	0
1	0	2	0	2012	0.37	0.34	NA	-0.4050	0	0
1	0	2	0	2013	0.34	0.33	NA	-0.4050	0	0
1	0	2	0	2014	0.33	0.33	NA	-0.4050	0	0
1	0	2	0	2015	0.36	0.33	NA	-0.4050	0	0
1	0	2	0	2016	0.32	0.33	NA	-0.4050	0	0
1	0	2	0	2017	0.30	0.33	NA	-0.4050	0	0
1	0	2	0	2018	0.32	0.33	NA	-0.4050	0	0
1	0	2	0	2019	0.33	0.33	NA	-0.4050	0	0
0	1	2	0	2005	0.22	0.23	NA	-2.4825*	0	0
0	1	2	0	2011	0.21	0.20	NA	-2.4825*	0	0
0	1	2	0	2012	0.19	0.19	NA	-2.4825*	0	0
0	1	2	0	2013	0.20	0.19	NA	-2.4825*	0	0
0	1	2	0	2014	0.19	0.18	NA	-2.4825*	0	0
0	1	2	0	2015	0.18	0.18	NA	-2.4825*	0	0
0	1	2	0	2016	0.17	0.17	NA	-2.4825*	0	0
0	1	2	0	2017	0.16	0.17	NA	-2.4825*	0	0
0	1	2	0	2018	0.15	0.17	NA	-2.4825*	0	0
0	1	2	0	2019	0.17	0.16	NA	-2.4825*	0	0
1	1	2	0	2005	0.14	0.14	NA	4.5961*	1	1
1	1	2	0	2011	0.18	0.18	NA	4.5961*	1	1
1	1	2	0	2012	0.19	0.19	Joinpoint 1	NA	1	1
1	1	2	0	2013	0.18	0.19	NA	-0.0946	1	1
1	1	2	0	2014	0.19	0.19	NA	-0.0946	1	1
1	1	2	0	2015	0.19	0.19	NA	-0.0946	1	1
1	1	2	0	2016	0.19	0.19	NA	-0.0946	1	1
1	1	2	0	2017	0.18	0.19	NA	-0.0946	1	1
1	1	2	0	2018	0.18	0.19	NA	-0.0946	1	1
1	1	2	0	2019	0.19	0.19	NA	-0.0946	1	1
0	0	3	0	2005	0.10	0.11	NA	3.2303*	0	0
0	0	3	0	2011	0.14	0.13	NA	3.2303*	0	0
0	0	3	0	2012	0.13	0.13	NA	3.2303*	0	0
0	0	3	0	2013	0.14	0.14	NA	3.2303*	0	0
0	0	3	0	2014	0.15	0.14	NA	3.2303*	0	0
0	0	3	0	2015	0.13	0.15	NA	3.2303*	0	0
0	0	3	0	2016	0.17	0.15	NA	3.2303*	0	0
0	0	3	0	2017	0.16	0.16	NA	3.2303*	0	0
0	0	3	0	2018	0.15	0.16	NA	3.2303*	0	0
0	0	3	0	2019	0.16	0.17	NA	3.2303*	0	0
1	0	3	0	2005	0.10	0.11	NA	2.0487*	0	0
1	0	3	0	2011	0.12	0.12	NA	2.0487*	0	0
1	0	3	0	2012	0.14	0.13	NA	2.0487*	0	0
1	0	3	0	2013	0.14	0.13	NA	2.0487*	0	0
1	0	3	0	2014	0.13	0.13	NA	2.0487*	0	0
1	0	3	0	2015	0.12	0.13	NA	2.0487*	0	0
1	0	3	0	2016	0.14	0.14	NA	2.0487*	0	0
1	0	3	0	2017	0.14	0.14	NA	2.0487*	0	0
1	0	3	0	2018	0.13	0.14	NA	2.0487*	0	0
1	0	3	0	2019	0.15	0.15	NA	2.0487*	0	0
0	1	3	0	2005	0.14	0.14	NA	3.2264*	0	0
0	1	3	0	2011	0.17	0.17	NA	3.2264*	0	0
0	1	3	0	2012	0.19	0.18	NA	3.2264*	0	0
0	1	3	0	2013	0.19	0.19	NA	3.2264*	0	0
0	1	3	0	2014	0.20	0.19	NA	3.2264*	0	0
0	1	3	0	2015	0.19	0.20	NA	3.2264*	0	0
0	1	3	0	2016	0.20	0.20	NA	3.2264*	0	0
0	1	3	0	2017	0.21	0.21	NA	3.2264*	0	0
0	1	3	0	2018	0.21	0.22	NA	3.2264*	0	0
0	1	3	0	2019	0.23	0.23	NA	3.2264*	0	0
1	1	3	0	2005	0.22	0.22	NA	-0.3492	0	0
1	1	3	0	2011	0.23	0.22	NA	-0.3492	0	0
1	1	3	0	2012	0.23	0.22	NA	-0.3492	0	0
1	1	3	0	2013	0.21	0.22	NA	-0.3492	0	0
1	1	3	0	2014	0.22	0.22	NA	-0.3492	0	0
1	1	3	0	2015	0.22	0.22	NA	-0.3492	0	0
1	1	3	0	2016	0.22	0.22	NA	-0.3492	0	0
1	1	3	0	2017	0.21	0.22	NA	-0.3492	0	0
1	1	3	0	2018	0.21	0.21	NA	-0.3492	0	0
1	1	3	0	2019	0.21	0.21	NA	-0.3492	0	0
0	0	4	1	1995	0.43	0.43	NA	-3.2283*	1	1
0	0	4	1	1996	0.40	0.41	NA	-3.2283*	1	1
0	0	4	1	1997	0.40	0.40	NA	-3.2283*	1	1
0	0	4	1	1998	0.40	0.39	NA	-3.2283*	1	1
0	0	4	1	1999	0.38	0.38	NA	-3.2283*	1	1
0	0	4	1	2000	0.37	0.36	NA	-3.2283*	1	1
0	0	4	1	2001	0.34	0.35	Joinpoint 1	NA	1	1
0	0	4	1	2002	0.36	0.35	NA	0.1398	1	1
0	0	4	1	2003	0.36	0.35	NA	0.1398	1	1
0	0	4	1	2004	0.34	0.35	NA	0.1398	1	1
0	0	4	1	2005	0.35	0.35	NA	0.1398	1	1
0	0	4	1	2006	0.34	0.35	NA	0.1398	1	1
0	0	4	1	2007	0.37	0.35	NA	0.1398	1	1
0	0	4	1	2008	0.35	0.36	NA	0.1398	1	1
0	0	4	1	2009	0.36	0.36	NA	0.1398	1	1
0	0	4	1	2010	0.33	0.36	NA	0.1398	1	1
0	0	4	1	2011	0.37	0.36	NA	0.1398	1	1
0	0	4	1	2012	0.35	0.36	NA	0.1398	1	1
0	0	4	1	2013	0.35	0.36	NA	0.1398	1	1
0	0	4	1	2014	0.38	0.36	NA	0.1398	1	1
0	0	4	1	2015	0.35	0.36	NA	0.1398	1	1
0	0	4	1	2016	0.37	0.36	NA	0.1398	1	1
0	0	4	1	2017	0.35	0.36	NA	0.1398	1	1
0	0	4	1	2018	0.38	0.36	NA	0.1398	1	1
0	0	4	1	2019	0.34	0.36	NA	0.1398	1	1
1	0	4	1	1995	0.30	0.30	NA	-3.9734*	1	1
1	0	4	1	1996	0.29	0.29	NA	-3.9734*	1	1
1	0	4	1	1997	0.27	0.28	NA	-3.9734*	1	1
1	0	4	1	1998	0.25	0.26	NA	-3.9734*	1	1
1	0	4	1	1999	0.28	0.25	NA	-3.9734*	1	1
1	0	4	1	2000	0.23	0.24	NA	-3.9734*	1	1
1	0	4	1	2001	0.23	0.23	Joinpoint 1	NA	1	1
1	0	4	1	2002	0.24	0.23	NA	-0.6840*	1	1
1	0	4	1	2003	0.23	0.23	NA	-0.6840*	1	1
1	0	4	1	2004	0.22	0.23	NA	-0.6840*	1	1
1	0	4	1	2005	0.25	0.23	NA	-0.6840*	1	1
1	0	4	1	2006	0.22	0.23	NA	-0.6840*	1	1
1	0	4	1	2007	0.23	0.22	NA	-0.6840*	1	1
1	0	4	1	2008	0.22	0.22	NA	-0.6840*	1	1
1	0	4	1	2009	0.21	0.22	NA	-0.6840*	1	1
1	0	4	1	2010	0.20	0.22	NA	-0.6840*	1	1
1	0	4	1	2011	0.24	0.22	NA	-0.6840*	1	1
1	0	4	1	2012	0.22	0.22	NA	-0.6840*	1	1
1	0	4	1	2013	0.21	0.22	NA	-0.6840*	1	1
1	0	4	1	2014	0.21	0.21	NA	-0.6840*	1	1
1	0	4	1	2015	0.20	0.21	NA	-0.6840*	1	1
1	0	4	1	2016	0.22	0.21	NA	-0.6840*	1	1
1	0	4	1	2017	0.22	0.21	NA	-0.6840*	1	1
1	0	4	1	2018	0.20	0.21	NA	-0.6840*	1	1
1	0	4	1	2019	0.21	0.21	NA	-0.6840*	1	1
0	1	4	1	1995	0.55	0.53	NA	-0.9825*	0	0
0	1	4	1	1996	0.53	0.52	NA	-0.9825*	0	0
0	1	4	1	1997	0.53	0.52	NA	-0.9825*	0	0
0	1	4	1	1998	0.51	0.51	NA	-0.9825*	0	0
0	1	4	1	1999	0.51	0.51	NA	-0.9825*	0	0
0	1	4	1	2000	0.51	0.50	NA	-0.9825*	0	0
0	1	4	1	2001	0.49	0.50	NA	-0.9825*	0	0
0	1	4	1	2002	0.47	0.49	NA	-0.9825*	0	0
0	1	4	1	2003	0.48	0.49	NA	-0.9825*	0	0
0	1	4	1	2004	0.47	0.48	NA	-0.9825*	0	0
0	1	4	1	2005	0.47	0.48	NA	-0.9825*	0	0
0	1	4	1	2006	0.48	0.48	NA	-0.9825*	0	0
0	1	4	1	2007	0.47	0.47	NA	-0.9825*	0	0
0	1	4	1	2008	0.47	0.47	NA	-0.9825*	0	0
0	1	4	1	2009	0.47	0.46	NA	-0.9825*	0	0
0	1	4	1	2010	0.46	0.46	NA	-0.9825*	0	0
0	1	4	1	2011	0.45	0.45	NA	-0.9825*	0	0
0	1	4	1	2012	0.46	0.45	NA	-0.9825*	0	0
0	1	4	1	2013	0.45	0.44	NA	-0.9825*	0	0
0	1	4	1	2014	0.45	0.44	NA	-0.9825*	0	0
0	1	4	1	2015	0.43	0.43	NA	-0.9825*	0	0
0	1	4	1	2016	0.46	0.43	NA	-0.9825*	0	0
0	1	4	1	2017	0.40	0.43	NA	-0.9825*	0	0
0	1	4	1	2018	0.42	0.42	NA	-0.9825*	0	0
0	1	4	1	2019	0.41	0.42	NA	-0.9825*	0	0
1	1	4	1	1995	0.35	0.34	NA	-0.7566*	2	2
1	1	4	1	1996	0.33	0.33	NA	-0.7566*	2	2
1	1	4	1	1997	0.33	0.33	NA	-0.7566*	2	2
1	1	4	1	1998	0.33	0.33	NA	-0.7566*	2	2
1	1	4	1	1999	0.32	0.33	NA	-0.7566*	2	2
1	1	4	1	2000	0.31	0.32	NA	-0.7566*	2	2
1	1	4	1	2001	0.31	0.32	NA	-0.7566*	2	2
1	1	4	1	2002	0.32	0.32	NA	-0.7566*	2	2
1	1	4	1	2003	0.32	0.32	NA	-0.7566*	2	2
1	1	4	1	2004	0.31	0.31	NA	-0.7566*	2	2
1	1	4	1	2005	0.31	0.31	NA	-0.7566*	2	2
1	1	4	1	2006	0.31	0.31	NA	-0.7566*	2	2
1	1	4	1	2007	0.32	0.31	NA	-0.7566*	2	2
1	1	4	1	2008	0.30	0.30	NA	-0.7566*	2	2
1	1	4	1	2009	0.31	0.30	NA	-0.7566*	2	2
1	1	4	1	2010	0.30	0.30	NA	-0.7566*	2	2
1	1	4	1	2011	0.29	0.30	Joinpoint 1	NA	2	2
1	1	4	1	2012	0.31	0.31	NA	3.0232	2	2
1	1	4	1	2013	0.33	0.32	NA	3.0232	2	2
1	1	4	1	2014	0.32	0.32	Joinpoint 2	NA	2	2
1	1	4	1	2015	0.32	0.32	NA	-0.9110	2	2
1	1	4	1	2016	0.32	0.32	NA	-0.9110	2	2
1	1	4	1	2017	0.31	0.32	NA	-0.9110	2	2
1	1	4	1	2018	0.31	0.31	NA	-0.9110	2	2
1	1	4	1	2019	0.32	0.31	NA	-0.9110	2	2
0	0	5	1	1995	0.14	0.13	NA	8.1765*	1	1
0	0	5	1	1996	0.15	0.14	NA	8.1765*	1	1
0	0	5	1	1997	0.15	0.16	NA	8.1765*	1	1
0	0	5	1	1998	0.16	0.17	NA	8.1765*	1	1
0	0	5	1	1999	0.18	0.18	NA	8.1765*	1	1
0	0	5	1	2000	0.20	0.20	Joinpoint 1	NA	1	1
0	0	5	1	2001	0.20	0.20	NA	0.8892*	1	1
0	0	5	1	2002	0.20	0.20	NA	0.8892*	1	1
0	0	5	1	2003	0.20	0.20	NA	0.8892*	1	1
0	0	5	1	2004	0.21	0.21	NA	0.8892*	1	1
0	0	5	1	2005	0.21	0.21	NA	0.8892*	1	1
0	0	5	1	2006	0.22	0.21	NA	0.8892*	1	1
0	0	5	1	2007	0.21	0.21	NA	0.8892*	1	1
0	0	5	1	2008	0.21	0.21	NA	0.8892*	1	1
0	0	5	1	2009	0.18	0.21	NA	0.8892*	1	1
0	0	5	1	2010	0.24	0.22	NA	0.8892*	1	1
0	0	5	1	2011	0.20	0.22	NA	0.8892*	1	1
0	0	5	1	2012	0.21	0.22	NA	0.8892*	1	1
0	0	5	1	2013	0.23	0.22	NA	0.8892*	1	1
0	0	5	1	2014	0.21	0.22	NA	0.8892*	1	1
0	0	5	1	2015	0.23	0.23	NA	0.8892*	1	1
0	0	5	1	2016	0.23	0.23	NA	0.8892*	1	1
0	0	5	1	2017	0.25	0.23	NA	0.8892*	1	1
0	0	5	1	2018	0.22	0.23	NA	0.8892*	1	1
0	0	5	1	2019	0.23	0.23	NA	0.8892*	1	1
1	0	5	1	1995	0.19	0.19	NA	3.8784*	1	1
1	0	5	1	1996	0.21	0.20	NA	3.8784*	1	1
1	0	5	1	1997	0.21	0.21	NA	3.8784*	1	1
1	0	5	1	1998	0.21	0.22	NA	3.8784*	1	1
1	0	5	1	1999	0.21	0.23	NA	3.8784*	1	1
1	0	5	1	2000	0.25	0.23	NA	3.8784*	1	1
1	0	5	1	2001	0.25	0.24	NA	3.8784*	1	1
1	0	5	1	2002	0.27	0.25	NA	3.8784*	1	1
1	0	5	1	2003	0.27	0.26	NA	3.8784*	1	1
1	0	5	1	2004	0.28	0.27	NA	3.8784*	1	1
1	0	5	1	2005	0.26	0.28	NA	3.8784*	1	1
1	0	5	1	2006	0.29	0.29	NA	3.8784*	1	1
1	0	5	1	2007	0.30	0.31	Joinpoint 1	NA	1	1
1	0	5	1	2008	0.31	0.31	NA	0.5689	1	1
1	0	5	1	2009	0.30	0.31	NA	0.5689	1	1
1	0	5	1	2010	0.33	0.31	NA	0.5689	1	1
1	0	5	1	2011	0.31	0.31	NA	0.5689	1	1
1	0	5	1	2012	0.31	0.32	NA	0.5689	1	1
1	0	5	1	2013	0.32	0.32	NA	0.5689	1	1
1	0	5	1	2014	0.30	0.32	NA	0.5689	1	1
1	0	5	1	2015	0.33	0.32	NA	0.5689	1	1
1	0	5	1	2016	0.32	0.32	NA	0.5689	1	1
1	0	5	1	2017	0.33	0.32	NA	0.5689	1	1
1	0	5	1	2018	0.32	0.33	NA	0.5689	1	1
1	0	5	1	2019	0.33	0.33	NA	0.5689	1	1
0	1	5	1	1995	0.15	0.15	NA	4.7596*	1	1
0	1	5	1	1996	0.16	0.16	NA	4.7596*	1	1
0	1	5	1	1997	0.17	0.17	NA	4.7596*	1	1
0	1	5	1	1998	0.18	0.17	NA	4.7596*	1	1
0	1	5	1	1999	0.18	0.18	NA	4.7596*	1	1
0	1	5	1	2000	0.18	0.19	NA	4.7596*	1	1
0	1	5	1	2001	0.21	0.20	Joinpoint 1	NA	1	1
0	1	5	1	2002	0.21	0.20	NA	1.6678*	1	1
0	1	5	1	2003	0.21	0.21	NA	1.6678*	1	1
0	1	5	1	2004	0.21	0.21	NA	1.6678*	1	1
0	1	5	1	2005	0.22	0.21	NA	1.6678*	1	1
0	1	5	1	2006	0.21	0.22	NA	1.6678*	1	1
0	1	5	1	2007	0.22	0.22	NA	1.6678*	1	1
0	1	5	1	2008	0.22	0.22	NA	1.6678*	1	1
0	1	5	1	2009	0.22	0.23	NA	1.6678*	1	1
0	1	5	1	2010	0.24	0.23	NA	1.6678*	1	1
0	1	5	1	2011	0.23	0.23	NA	1.6678*	1	1
0	1	5	1	2012	0.23	0.24	NA	1.6678*	1	1
0	1	5	1	2013	0.22	0.24	NA	1.6678*	1	1
0	1	5	1	2014	0.24	0.25	NA	1.6678*	1	1
0	1	5	1	2015	0.25	0.25	NA	1.6678*	1	1
0	1	5	1	2016	0.23	0.25	NA	1.6678*	1	1
0	1	5	1	2017	0.29	0.26	NA	1.6678*	1	1
0	1	5	1	2018	0.27	0.26	NA	1.6678*	1	1
0	1	5	1	2019	0.28	0.27	NA	1.6678*	1	1
1	1	5	1	1995	0.22	0.22	NA	6.7899*	1	1
1	1	5	1	1996	0.24	0.24	NA	6.7899*	1	1
1	1	5	1	1997	0.26	0.25	NA	6.7899*	1	1
1	1	5	1	1998	0.27	0.27	Joinpoint 1	NA	1	1
1	1	5	1	1999	0.27	0.27	NA	0.9245*	1	1
1	1	5	1	2000	0.28	0.28	NA	0.9245*	1	1
1	1	5	1	2001	0.28	0.28	NA	0.9245*	1	1
1	1	5	1	2002	0.27	0.28	NA	0.9245*	1	1
1	1	5	1	2003	0.28	0.28	NA	0.9245*	1	1
1	1	5	1	2004	0.28	0.29	NA	0.9245*	1	1
1	1	5	1	2005	0.29	0.29	NA	0.9245*	1	1
1	1	5	1	2006	0.30	0.29	NA	0.9245*	1	1
1	1	5	1	2007	0.30	0.29	NA	0.9245*	1	1
1	1	5	1	2008	0.31	0.30	NA	0.9245*	1	1
1	1	5	1	2009	0.29	0.30	NA	0.9245*	1	1
1	1	5	1	2010	0.32	0.30	NA	0.9245*	1	1
1	1	5	1	2011	0.33	0.31	NA	0.9245*	1	1
1	1	5	1	2012	0.30	0.31	NA	0.9245*	1	1
1	1	5	1	2013	0.28	0.31	NA	0.9245*	1	1
1	1	5	1	2014	0.32	0.31	NA	0.9245*	1	1
1	1	5	1	2015	0.31	0.32	NA	0.9245*	1	1
1	1	5	1	2016	0.32	0.32	NA	0.9245*	1	1
1	1	5	1	2017	0.33	0.32	NA	0.9245*	1	1
1	1	5	1	2018	0.34	0.33	NA	0.9245*	1	1
1	1	5	1	2019	0.32	0.33	NA	0.9245*	1	1
0	0	6	1	1995	0.42	0.44	NA	-0.4670*	0	0
0	0	6	1	1996	0.44	0.44	NA	-0.4670*	0	0
0	0	6	1	1997	0.45	0.44	NA	-0.4670*	0	0
0	0	6	1	1998	0.43	0.44	NA	-0.4670*	0	0
0	0	6	1	1999	0.42	0.43	NA	-0.4670*	0	0
0	0	6	1	2000	0.43	0.43	NA	-0.4670*	0	0
0	0	6	1	2001	0.45	0.43	NA	-0.4670*	0	0
0	0	6	1	2002	0.42	0.43	NA	-0.4670*	0	0
0	0	6	1	2003	0.42	0.43	NA	-0.4670*	0	0
0	0	6	1	2004	0.43	0.42	NA	-0.4670*	0	0
0	0	6	1	2005	0.42	0.42	NA	-0.4670*	0	0
0	0	6	1	2006	0.44	0.42	NA	-0.4670*	0	0
0	0	6	1	2007	0.40	0.42	NA	-0.4670*	0	0
0	0	6	1	2008	0.42	0.42	NA	-0.4670*	0	0
0	0	6	1	2009	0.43	0.41	NA	-0.4670*	0	0
0	0	6	1	2010	0.42	0.41	NA	-0.4670*	0	0
0	0	6	1	2011	0.41	0.41	NA	-0.4670*	0	0
0	0	6	1	2012	0.43	0.41	NA	-0.4670*	0	0
0	0	6	1	2013	0.40	0.41	NA	-0.4670*	0	0
0	0	6	1	2014	0.38	0.40	NA	-0.4670*	0	0
0	0	6	1	2015	0.40	0.40	NA	-0.4670*	0	0
0	0	6	1	2016	0.39	0.40	NA	-0.4670*	0	0
0	0	6	1	2017	0.39	0.40	NA	-0.4670*	0	0
0	0	6	1	2018	0.38	0.40	NA	-0.4670*	0	0
0	0	6	1	2019	0.41	0.39	NA	-0.4670*	0	0
1	0	6	1	1995	0.50	0.51	NA	-0.5492*	0	0
1	0	6	1	1996	0.50	0.51	NA	-0.5492*	0	0
1	0	6	1	1997	0.51	0.51	NA	-0.5492*	0	0
1	0	6	1	1998	0.53	0.51	NA	-0.5492*	0	0
1	0	6	1	1999	0.51	0.50	NA	-0.5492*	0	0
1	0	6	1	2000	0.51	0.50	NA	-0.5492*	0	0
1	0	6	1	2001	0.51	0.50	NA	-0.5492*	0	0
1	0	6	1	2002	0.49	0.50	NA	-0.5492*	0	0
1	0	6	1	2003	0.50	0.49	NA	-0.5492*	0	0
1	0	6	1	2004	0.49	0.49	NA	-0.5492*	0	0
1	0	6	1	2005	0.48	0.49	NA	-0.5492*	0	0
1	0	6	1	2006	0.48	0.48	NA	-0.5492*	0	0
1	0	6	1	2007	0.47	0.48	NA	-0.5492*	0	0
1	0	6	1	2008	0.46	0.48	NA	-0.5492*	0	0
1	0	6	1	2009	0.48	0.48	NA	-0.5492*	0	0
1	0	6	1	2010	0.47	0.47	NA	-0.5492*	0	0
1	0	6	1	2011	0.46	0.47	NA	-0.5492*	0	0
1	0	6	1	2012	0.47	0.47	NA	-0.5492*	0	0
1	0	6	1	2013	0.46	0.47	NA	-0.5492*	0	0
1	0	6	1	2014	0.48	0.46	NA	-0.5492*	0	0
1	0	6	1	2015	0.46	0.46	NA	-0.5492*	0	0
1	0	6	1	2016	0.46	0.46	NA	-0.5492*	0	0
1	0	6	1	2017	0.44	0.46	NA	-0.5492*	0	0
1	0	6	1	2018	0.47	0.45	NA	-0.5492*	0	0
1	0	6	1	2019	0.46	0.45	NA	-0.5492*	0	0
0	1	6	1	1995	0.28	0.29	NA	-0.0491	0	0
0	1	6	1	1996	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	1997	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	1998	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	1999	0.30	0.29	NA	-0.0491	0	0
0	1	6	1	2000	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2001	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2002	0.30	0.29	NA	-0.0491	0	0
0	1	6	1	2003	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2004	0.30	0.29	NA	-0.0491	0	0
0	1	6	1	2005	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2006	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2007	0.30	0.29	NA	-0.0491	0	0
0	1	6	1	2008	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2009	0.29	0.29	NA	-0.0491	0	0
0	1	6	1	2010	0.28	0.29	NA	-0.0491	0	0
0	1	6	1	2011	0.30	0.29	NA	-0.0491	0	0
0	1	6	1	2012	0.28	0.29	NA	-0.0491	0	0
0	1	6	1	2013	0.31	0.29	NA	-0.0491	0	0
