"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
BMI	50+	Men	Colorectum	rate	2	0	2005	2011	0.9370	0.2393	1.6396	1	3.1794	0.015504
BMI	50+	Men	Colorectum	rate	2	1	2011	2014	-3.2220	-7.1130	0.8320	0	-1.8872	0.101095
BMI	50+	Men	Colorectum	rate	2	2	2014	2019	-0.5772	-1.4853	0.3393	0	-1.4917	0.179405
BMI	20-49	Women	Colorectum	rate	0	0	2005	2019	3.3923	2.8035	3.9844	1	12.6196	0.000000
BMI	50+	Women	Colorectum	rate	2	0	2005	2011	0.9287	0.2340	1.6282	1	3.1650	0.015817
BMI	50+	Women	Colorectum	rate	2	1	2011	2017	-1.2824	-2.1802	-0.3764	1	-3.3407	0.012408
BMI	50+	Women	Colorectum	rate	2	2	2017	2019	1.9806	-2.1022	6.2337	0	1.1351	0.293720
BMI	20-49	Women	Endometrium	attributable_rate	0	0	2005	2019	3.7971	3.0945	4.5045	1	11.8542	0.000000
BMI	50+	Women	Endometrium	attributable_rate	1	0	2005	2011	4.0199	3.1247	4.9230	1	10.1594	0.000001
BMI	50+	Women	Endometrium	attributable_rate	1	1	2011	2019	0.8263	0.2653	1.3904	1	3.2861	0.008204
BMI	20-49	Women	Endometrium	non_attributable_rate	0	0	2005	2019	1.7086	1.0252	2.3966	1	5.4290	0.000115
BMI	50+	Women	Endometrium	non_attributable_rate	1	0	2005	2013	1.6713	1.0710	2.2752	1	6.2364	0.000097
BMI	50+	Women	Endometrium	non_attributable_rate	1	1	2013	2019	-0.3488	-1.2588	0.5696	0	-0.8486	0.415959
BMI	20-49	Women	Endometrium	rate	0	0	2005	2019	2.2901	1.6224	2.9622	1	7.4698	0.000005
BMI	50+	Women	Endometrium	rate	1	0	2005	2012	2.4454	1.7614	3.1341	1	8.0348	0.000011
BMI	50+	Women	Endometrium	rate	1	1	2012	2019	0.1553	-0.5134	0.8286	0	0.5162	0.616924
BMI	20-49	Men	Gallbladder	attributable_rate	0	0	2005	2019	5.5689	3.0457	8.1539	1	4.8398	0.000323
BMI	50+	Men	Gallbladder	attributable_rate	0	0	2005	2019	5.2724	4.2938	6.2601	1	11.8855	0.000000
BMI	20-49	Women	Gallbladder	attributable_rate	0	0	2005	2019	4.3132	2.2751	6.3919	1	4.6234	0.000477
BMI	50+	Women	Gallbladder	attributable_rate	1	0	2005	2010	5.8508	3.4799	8.2761	1	5.5926	0.000230
BMI	50+	Women	Gallbladder	attributable_rate	1	1	2010	2019	3.0262	2.0777	3.9834	1	7.1825	0.000030
BMI	20-49	Men	Gallbladder	non_attributable_rate	0	0	2005	2019	2.5119	-0.0063	5.0935	0	2.1549	0.050501
BMI	50+	Men	Gallbladder	non_attributable_rate	0	0	2005	2019	1.9041	1.0769	2.7380	1	4.9998	0.000243
BMI	20-49	Women	Gallbladder	non_attributable_rate	0	0	2005	2019	2.3723	0.4719	4.3085	1	2.7032	0.018083
BMI	50+	Women	Gallbladder	non_attributable_rate	0	0	2005	2019	2.7542	2.2541	3.2569	1	12.0288	0.000000
BMI	20-49	Men	Gallbladder	rate	0	0	2005	2019	2.7895	0.2784	5.3635	1	2.4032	0.031891
BMI	50+	Men	Gallbladder	rate	0	0	2005	2019	2.3051	1.4689	3.1481	1	5.9988	0.000045
BMI	20-49	Women	Gallbladder	rate	0	0	2005	2019	2.7010	0.7830	4.6555	1	3.0542	0.009226
BMI	50+	Women	Gallbladder	rate	0	0	2005	2019	3.0046	2.4998	3.5119	1	13.0184	0.000000
BMI	20-49	Men	Kidney	attributable_rate	1	0	2005	2015	8.2678	7.3718	9.1713	1	21.2983	0.000000
BMI	20-49	Men	Kidney	attributable_rate	1	1	2015	2019	0.2706	-3.0577	3.7133	0	0.1784	0.861977
BMI	50+	Men	Kidney	attributable_rate	1	0	2005	2014	5.5588	4.5250	6.6029	1	12.2467	0.000000
BMI	50+	Men	Kidney	attributable_rate	1	1	2014	2019	0.9988	-1.4071	3.4634	0	0.9185	0.379988
BMI	20-49	Women	Kidney	attributable_rate	1	0	2005	2015	7.4739	5.2655	9.7286	1	7.7353	0.000016
BMI	20-49	Women	Kidney	attributable_rate	1	1	2015	2019	1.1751	-7.0076	10.0778	0	0.3087	0.763920
BMI	50+	Women	Kidney	attributable_rate	1	0	2005	2013	5.8754	4.4768	7.2927	1	9.5664	0.000002
BMI	50+	Women	Kidney	attributable_rate	1	1	2013	2019	0.3489	-1.6972	2.4376	0	0.3767	0.714263
BMI	20-49	Men	Kidney	non_attributable_rate	1	0	2005	2017	5.4697	4.7351	6.2093	1	16.9780	0.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	1	2017	2019	-3.3484	-14.1225	8.7774	0	-0.6421	0.535279
BMI	50+	Men	Kidney	non_attributable_rate	1	0	2005	2014	3.5579	2.4309	4.6972	1	7.1191	0.000032
BMI	50+	Men	Kidney	non_attributable_rate	1	1	2014	2019	-0.3482	-2.9836	2.3588	0	-0.2900	0.777762
BMI	20-49	Women	Kidney	non_attributable_rate	0	0	2005	2019	4.3140	3.2399	5.3992	1	8.8160	0.000001
BMI	50+	Women	Kidney	non_attributable_rate	1	0	2005	2014	4.2616	3.3418	5.1896	1	10.4936	0.000001
BMI	50+	Women	Kidney	non_attributable_rate	1	1	2014	2019	-0.8765	-3.0049	1.2985	0	-0.9038	0.387374
BMI	20-49	Men	Kidney	rate	1	0	2005	2016	6.0307	5.2076	6.8603	1	16.7415	0.000000
BMI	20-49	Men	Kidney	rate	1	1	2016	2019	-0.6219	-6.2031	5.2913	0	-0.2405	0.814797
BMI	50+	Men	Kidney	rate	1	0	2005	2014	3.9590	2.8502	5.0796	1	8.0683	0.000011
BMI	50+	Men	Kidney	rate	1	1	2014	2019	-0.0394	-2.6306	2.6207	0	-0.0335	0.973960
BMI	20-49	Women	Kidney	rate	0	0	2005	2019	4.7113	3.6035	5.8309	1	9.3514	0.000000
BMI	50+	Women	Kidney	rate	1	0	2005	2014	4.6070	3.6380	5.5851	1	10.7837	0.000001
BMI	50+	Women	Kidney	rate	1	1	2014	2019	-0.7559	-2.9926	1.5325	0	-0.7416	0.475370
BMI	20-49	Men	Liver	attributable_rate	1	0	2005	2014	5.5302	1.5570	9.6588	1	3.1251	0.010779
BMI	20-49	Men	Liver	attributable_rate	1	1	2014	2019	-3.6445	-12.2896	5.8527	0	-0.8800	0.399525
BMI	50+	Men	Liver	attributable_rate	1	0	2005	2013	8.1282	7.4401	8.8207	1	27.2734	0.000000
BMI	50+	Men	Liver	attributable_rate	1	1	2013	2019	3.3167	2.2998	4.3436	1	7.3505	0.000025
BMI	20-49	Women	Liver	attributable_rate	0	0	2005	2019	4.4582	3.0015	5.9356	1	6.7095	0.000014
BMI	50+	Women	Liver	attributable_rate	1	0	2005	2013	7.1606	5.3486	9.0039	1	9.0356	0.000004
BMI	50+	Women	Liver	attributable_rate	1	1	2013	2019	1.3390	-1.3034	4.0521	0	1.1217	0.288188
BMI	20-49	Men	Liver	non_attributable_rate	0	0	2005	2019	0.6577	-1.0421	2.3866	0	0.8316	0.420674
BMI	50+	Men	Liver	non_attributable_rate	1	0	2005	2014	5.1817	4.3659	6.0038	1	14.4571	0.000000
BMI	50+	Men	Liver	non_attributable_rate	1	1	2014	2019	0.9935	-0.9143	2.9381	0	1.1550	0.274944
BMI	20-49	Women	Liver	non_attributable_rate	0	0	2005	2019	2.3471	0.9399	3.7740	1	3.6202	0.003110
BMI	50+	Women	Liver	non_attributable_rate	1	0	2005	2013	5.4864	3.8554	7.1431	1	7.6372	0.000018
BMI	50+	Women	Liver	non_attributable_rate	1	1	2013	2019	0.6364	-1.7639	3.0954	0	0.5855	0.571169
BMI	20-49	Men	Liver	rate	0	0	2005	2019	1.0239	-0.7206	2.7991	0	1.2634	0.228629
BMI	50+	Men	Liver	rate	1	0	2005	2013	6.0112	5.2788	6.7486	1	18.7624	0.000000
BMI	50+	Men	Liver	rate	1	1	2013	2019	2.0426	0.9525	3.1443	1	4.1950	0.001843
BMI	20-49	Women	Liver	rate	0	0	2005	2019	2.7094	1.3020	4.1364	1	4.1858	0.001068
BMI	50+	Women	Liver	rate	1	0	2005	2013	5.8558	4.1966	7.5416	1	8.0257	0.000011
BMI	50+	Women	Liver	rate	1	1	2013	2019	0.8094	-1.6281	3.3072	0	0.7339	0.479891
BMI	20-49	Men	Multiple Myeloma	attributable_rate	2	0	2005	2007	-6.1394	-26.2723	19.4913	0	-0.6206	0.554553
BMI	20-49	Men	Multiple Myeloma	attributable_rate	2	1	2007	2013	10.8427	5.0174	16.9912	1	4.5089	0.002769
BMI	20-49	Men	Multiple Myeloma	attributable_rate	2	2	2013	2019	0.4867	-3.5316	4.6724	0	0.2813	0.786593
BMI	50+	Men	Multiple Myeloma	attributable_rate	0	0	2005	2019	4.0223	3.3145	4.7348	1	12.4791	0.000000
BMI	20-49	Women	Multiple Myeloma	attributable_rate	1	0	2005	2013	10.9455	7.6486	14.3434	1	7.6718	0.000017
BMI	20-49	Women	Multiple Myeloma	attributable_rate	1	1	2013	2019	3.9371	-0.8086	8.9099	0	1.8411	0.095431
BMI	50+	Women	Multiple Myeloma	attributable_rate	0	0	2005	2019	3.4201	2.6221	4.2244	1	9.3787	0.000000
BMI	20-49	Men	Multiple Myeloma	non_attributable_rate	0	0	2005	2019	4.0625	2.5642	5.5826	1	5.9321	0.000050
BMI	50+	Men	Multiple Myeloma	non_attributable_rate	0	0	2005	2019	2.7272	2.0364	3.4227	1	8.6146	0.000001
BMI	20-49	Women	Multiple Myeloma	non_attributable_rate	0	0	2005	2019	6.5241	5.0428	8.0262	1	9.7505	0.000000
BMI	50+	Women	Multiple Myeloma	non_attributable_rate	0	0	2005	2019	2.6720	1.8807	3.4694	1	7.3629	0.000005
BMI	20-49	Men	Multiple Myeloma	rate	0	0	2005	2019	4.1649	2.6588	5.6932	1	6.0525	0.000041
BMI	50+	Men	Multiple Myeloma	rate	0	0	2005	2019	2.8558	2.1657	3.5506	1	9.0362	0.000001
BMI	20-49	Women	Multiple Myeloma	rate	0	0	2005	2019	6.6319	5.1396	8.1455	1	9.8426	0.000000
BMI	50+	Women	Multiple Myeloma	rate	0	0	2005	2019	2.7422	1.9515	3.5389	1	7.5656	0.000004
BMI	20-49	Women	Ovary	attributable_rate	1	0	2005	2012	4.8938	3.5014	6.3050	1	7.9663	0.000012
BMI	20-49	Women	Ovary	attributable_rate	1	1	2012	2019	0.2131	-1.1172	1.5613	0	0.3550	0.729993
BMI	50+	Women	Ovary	attributable_rate	1	0	2005	2011	1.0065	-0.2083	2.2362	0	1.8441	0.094960
BMI	50+	Women	Ovary	attributable_rate	1	1	2011	2019	-1.1256	-1.8949	-0.3503	1	-3.2291	0.009035
BMI	20-49	Women	Ovary	non_attributable_rate	1	0	2005	2007	7.0570	-1.7304	16.6301	0	1.7740	0.106453
BMI	20-49	Women	Ovary	non_attributable_rate	1	1	2007	2019	0.1419	-0.3640	0.6503	0	0.6238	0.546725
BMI	50+	Women	Ovary	non_attributable_rate	0	0	2005	2019	-1.3534	-1.6648	-1.0411	1	-9.3115	0.000000
BMI	20-49	Women	Ovary	rate	1	0	2005	2007	7.2372	-1.7954	17.1005	0	1.7694	0.107261
BMI	20-49	Women	Ovary	rate	1	1	2007	2019	0.2193	-0.3008	0.7421	0	0.9380	0.370323
BMI	50+	Women	Ovary	rate	0	0	2005	2019	-1.2876	-1.6009	-0.9732	1	-8.8057	0.000001
BMI	20-49	Men	Pancreas	attributable_rate	1	0	2005	2013	5.6201	3.2835	8.0096	1	5.4459	0.000282
BMI	20-49	Men	Pancreas	attributable_rate	1	1	2013	2019	1.2285	-2.2197	4.7983	0	0.7850	0.450654
BMI	50+	Men	Pancreas	attributable_rate	1	0	2005	2013	3.6525	2.9937	4.3156	1	12.5361	0.000000
BMI	50+	Men	Pancreas	attributable_rate	1	1	2013	2019	2.1823	1.1779	3.1966	1	4.8695	0.000652
BMI	20-49	Women	Pancreas	attributable_rate	0	0	2005	2019	3.9415	3.0399	4.8510	1	9.5860	0.000000
BMI	50+	Women	Pancreas	attributable_rate	1	0	2005	2013	2.2104	1.6638	2.7599	1	9.0847	0.000004
BMI	50+	Women	Pancreas	attributable_rate	1	1	2013	2019	0.3500	-0.4801	1.1871	0	0.9373	0.370705
BMI	20-49	Men	Pancreas	non_attributable_rate	0	0	2005	2019	1.7601	0.9624	2.5641	1	4.7894	0.000353
BMI	50+	Men	Pancreas	non_attributable_rate	0	0	2005	2019	0.7759	0.5144	1.0382	1	6.4247	0.000023
BMI	20-49	Women	Pancreas	non_attributable_rate	0	0	2005	2019	2.3943	1.5479	3.2477	1	6.1585	0.000034
BMI	50+	Women	Pancreas	non_attributable_rate	1	0	2005	2013	1.1477	0.7196	1.5777	1	5.9940	0.000133
BMI	50+	Women	Pancreas	non_attributable_rate	1	1	2013	2019	0.0095	-0.6456	0.6689	0	0.0321	0.975023
BMI	20-49	Men	Pancreas	rate	0	0	2005	2019	1.9804	1.1795	2.7876	1	5.3734	0.000127
BMI	50+	Men	Pancreas	rate	0	0	2005	2019	1.0799	0.8178	1.3428	1	8.9347	0.000001
BMI	20-49	Women	Pancreas	rate	0	0	2005	2019	2.5297	1.6817	3.3847	1	6.4990	0.000020
BMI	50+	Women	Pancreas	rate	1	0	2005	2013	1.2713	0.8381	1.7063	1	6.5666	0.000063
BMI	50+	Women	Pancreas	rate	1	1	2013	2019	0.0527	-0.6095	0.7193	0	0.1768	0.863218
BMI	20-49	Men	Thyroid	attributable_rate	2	0	2005	2007	4.9313	-5.3206	16.2931	0	1.1071	0.304828
BMI	20-49	Men	Thyroid	attributable_rate	2	1	2007	2011	15.2222	9.4490	21.3000	1	6.5179	0.000329
BMI	20-49	Men	Thyroid	attributable_rate	2	2	2011	2019	3.7727	2.6152	4.9434	1	7.8066	0.000107
BMI	50+	Men	Thyroid	attributable_rate	1	0	2005	2013	8.7935	6.4271	11.2124	1	8.5394	0.000007
BMI	50+	Men	Thyroid	attributable_rate	1	1	2013	2019	3.3926	-0.0705	6.9757	0	2.1820	0.054061
BMI	20-49	Women	Thyroid	attributable_rate	1	0	2005	2013	9.8788	8.6162	11.1560	1	18.1626	0.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	1	2013	2019	3.8922	2.0486	5.7690	1	4.7518	0.000778
BMI	50+	Women	Thyroid	attributable_rate	1	0	2005	2014	7.0587	5.9618	8.1669	1	14.7574	0.000000
BMI	50+	Women	Thyroid	attributable_rate	1	1	2014	2019	2.5300	-0.0240	5.1492	0	2.2069	0.051829
BMI	20-49	Men	Thyroid	non_attributable_rate	1	0	2005	2011	9.0856	6.5264	11.7063	1	8.1620	0.000010
BMI	20-49	Men	Thyroid	non_attributable_rate	1	1	2011	2019	3.7219	2.1446	5.3236	1	5.3134	0.000341
BMI	50+	Men	Thyroid	non_attributable_rate	1	0	2005	2014	6.3598	4.5356	8.2158	1	7.9412	0.000013
BMI	50+	Men	Thyroid	non_attributable_rate	1	1	2014	2019	1.3739	-2.8321	5.7620	0	0.7175	0.489499
BMI	20-49	Women	Thyroid	non_attributable_rate	1	0	2005	2013	7.0899	5.8934	8.3001	1	13.5829	0.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	1	2013	2019	3.3848	1.6006	5.2002	1	4.2607	0.001661
BMI	50+	Women	Thyroid	non_attributable_rate	1	0	2005	2014	5.7753	4.5936	6.9704	1	11.1356	0.000001
BMI	50+	Women	Thyroid	non_attributable_rate	1	1	2014	2019	2.1019	-0.6695	4.9507	0	1.6843	0.123037
BMI	20-49	Men	Thyroid	rate	2	0	2005	2007	3.2851	-7.1339	14.8730	0	0.7188	0.495557
BMI	20-49	Men	Thyroid	rate	2	1	2007	2011	11.3999	5.6318	17.4830	1	4.8014	0.001963
BMI	20-49	Men	Thyroid	rate	2	2	2011	2019	3.4292	2.2362	4.6362	1	6.8720	0.000237
BMI	50+	Men	Thyroid	rate	1	0	2005	2014	6.5574	4.7247	8.4221	1	8.1572	0.000010
BMI	50+	Men	Thyroid	rate	1	1	2014	2019	1.5259	-2.6981	5.9333	0	0.7940	0.445610
BMI	20-49	Women	Thyroid	rate	1	0	2005	2013	7.2902	6.0916	8.5025	1	13.9550	0.000000
BMI	20-49	Women	Thyroid	rate	1	1	2013	2019	3.4285	1.6438	5.2445	1	4.3154	0.001524
BMI	50+	Women	Thyroid	rate	1	0	2005	2014	5.9019	4.7348	7.0821	1	11.5295	0.000000
BMI	50+	Women	Thyroid	rate	1	1	2014	2019	2.1499	-0.5856	4.9608	0	1.7460	0.111395
