"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
BMI	20-49	Women	Colorectum	non_attributable_rate	2014	8.46	8.57	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2015	9.46	8.84	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2016	9.53	9.13	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2017	9.08	9.42	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2018	9.35	9.72	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2019	9.97	10.02	NA	3.1789*	0	0
BMI	50+	Women	Colorectum	non_attributable_rate	2005	117.72	118.72	NA	0.6885*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2006	119.26	119.53	NA	0.6885*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2007	121.21	120.36	NA	0.6885*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2008	122.63	121.18	NA	0.6885*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2009	122.54	122.02	NA	0.6885*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2010	121.58	122.86	NA	0.6885*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2011	124.31	123.70	Joinpoint 1	NA	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2012	122.56	122.02	NA	-1.3596*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2013	118.27	120.36	NA	-1.3596*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2014	117.85	118.73	NA	-1.3596*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2015	118.91	117.11	NA	-1.3596*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2016	115.35	115.52	NA	-1.3596*	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2017	114.27	113.95	Joinpoint 2	NA	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2018	115.40	116.09	NA	1.8755	2	2
BMI	50+	Women	Colorectum	non_attributable_rate	2019	118.61	118.26	NA	1.8755	2	2
BMI	20-49	Men	Colorectum	rate	2005	8.38	8.05	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2006	8.66	8.27	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2007	8.05	8.49	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2008	8.61	8.72	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2009	8.93	8.95	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2010	8.46	9.19	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2011	9.46	9.44	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2012	10.16	9.69	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2013	10.11	9.95	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2014	10.39	10.22	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2015	10.07	10.50	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2016	11.15	10.78	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2017	10.76	11.07	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2018	11.34	11.37	NA	2.6867*	0	0
BMI	20-49	Men	Colorectum	rate	2019	11.94	11.67	NA	2.6867*	0	0
BMI	50+	Men	Colorectum	rate	2005	223.20	223.16	NA	0.9370*	2	2
BMI	50+	Men	Colorectum	rate	2006	224.47	225.25	NA	0.9370*	2	2
BMI	50+	Men	Colorectum	rate	2007	225.67	227.36	NA	0.9370*	2	2
BMI	50+	Men	Colorectum	rate	2008	233.30	229.49	NA	0.9370*	2	2
BMI	50+	Men	Colorectum	rate	2009	231.96	231.64	NA	0.9370*	2	2
BMI	50+	Men	Colorectum	rate	2010	232.47	233.81	NA	0.9370*	2	2
BMI	50+	Men	Colorectum	rate	2011	232.40	236.01	Joinpoint 1	NA	2	2
BMI	50+	Men	Colorectum	rate	2012	233.21	228.40	NA	-3.2220	2	2
BMI	50+	Men	Colorectum	rate	2013	221.19	221.04	NA	-3.2220	2	2
BMI	50+	Men	Colorectum	rate	2014	212.72	213.92	Joinpoint 2	NA	2	2
BMI	50+	Men	Colorectum	rate	2015	214.01	212.69	NA	-0.5772	2	2
BMI	50+	Men	Colorectum	rate	2016	212.34	211.46	NA	-0.5772	2	2
BMI	50+	Men	Colorectum	rate	2017	206.04	210.24	NA	-0.5772	2	2
BMI	50+	Men	Colorectum	rate	2018	207.83	209.02	NA	-0.5772	2	2
BMI	50+	Men	Colorectum	rate	2019	210.70	207.82	NA	-0.5772	2	2
BMI	20-49	Women	Colorectum	rate	2005	7.58	7.35	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2006	7.86	7.60	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2007	7.77	7.86	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2008	7.54	8.13	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2009	8.23	8.40	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2010	8.39	8.69	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2011	8.73	8.98	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2012	9.90	9.29	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2013	9.92	9.60	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2014	9.83	9.93	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2015	11.00	10.27	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2016	11.09	10.61	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2017	10.56	10.97	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2018	10.88	11.35	NA	3.3923*	0	0
BMI	20-49	Women	Colorectum	rate	2019	11.63	11.73	NA	3.3923*	0	0
BMI	50+	Women	Colorectum	rate	2005	140.75	142.15	NA	0.9287*	2	2
BMI	50+	Women	Colorectum	rate	2006	143.04	143.47	NA	0.9287*	2	2
BMI	50+	Women	Colorectum	rate	2007	145.97	144.80	NA	0.9287*	2	2
BMI	50+	Women	Colorectum	rate	2008	148.10	146.15	NA	0.9287*	2	2
BMI	50+	Women	Colorectum	rate	2009	148.35	147.50	NA	0.9287*	2	2
BMI	50+	Women	Colorectum	rate	2010	147.54	148.87	NA	0.9287*	2	2
BMI	50+	Women	Colorectum	rate	2011	150.92	150.26	Joinpoint 1	NA	2	2
BMI	50+	Women	Colorectum	rate	2012	148.71	148.33	NA	-1.2824*	2	2
BMI	50+	Women	Colorectum	rate	2013	143.61	146.43	NA	-1.2824*	2	2
BMI	50+	Women	Colorectum	rate	2014	143.41	144.55	NA	-1.2824*	2	2
BMI	50+	Women	Colorectum	rate	2015	145.02	142.70	NA	-1.2824*	2	2
BMI	50+	Women	Colorectum	rate	2016	140.78	140.87	NA	-1.2824*	2	2
BMI	50+	Women	Colorectum	rate	2017	139.53	139.06	Joinpoint 2	NA	2	2
BMI	50+	Women	Colorectum	rate	2018	140.80	141.81	NA	1.9806	2	2
BMI	50+	Women	Colorectum	rate	2019	145.14	144.62	NA	1.9806	2	2
BMI	20-49	Women	Endometrium	attributable_rate	2005	0.89	0.94	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2006	0.96	0.98	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2007	1.06	1.02	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2008	1.15	1.06	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2009	1.06	1.10	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2010	1.12	1.14	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2011	1.13	1.18	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2012	1.24	1.22	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2013	1.35	1.27	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2014	1.45	1.32	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2015	1.26	1.37	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2016	1.38	1.42	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2017	1.46	1.48	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2018	1.53	1.53	NA	3.7971*	0	0
BMI	20-49	Women	Endometrium	attributable_rate	2019	1.59	1.59	NA	3.7971*	0	0
BMI	50+	Women	Endometrium	attributable_rate	2005	18.93	19.24	NA	4.0199*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2006	20.02	20.02	NA	4.0199*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2007	21.23	20.82	NA	4.0199*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2008	21.86	21.66	NA	4.0199*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2009	22.33	22.53	NA	4.0199*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2010	23.60	23.43	NA	4.0199*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2011	24.19	24.37	Joinpoint 1	NA	1	1
BMI	50+	Women	Endometrium	attributable_rate	2012	24.30	24.58	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2013	24.73	24.78	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2014	25.43	24.98	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2015	24.62	25.19	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2016	26.00	25.40	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2017	25.39	25.61	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2018	26.13	25.82	NA	0.8263*	1	1
BMI	50+	Women	Endometrium	attributable_rate	2019	25.72	26.03	NA	0.8263*	1	1
BMI	20-49	Women	Endometrium	non_attributable_rate	2005	2.64	2.74	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2006	2.82	2.79	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2007	2.97	2.83	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2008	3.15	2.88	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2009	2.87	2.93	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2010	2.93	2.98	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2011	2.83	3.03	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2012	2.97	3.08	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2013	3.20	3.14	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2014	3.40	3.19	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2015	2.95	3.24	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2016	3.20	3.30	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2017	3.38	3.36	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2018	3.54	3.41	NA	1.7086*	0	0
BMI	20-49	Women	Endometrium	non_attributable_rate	2019	3.59	3.47	NA	1.7086*	0	0
BMI	50+	Women	Endometrium	non_attributable_rate	2005	38.52	38.72	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2006	39.57	39.37	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2007	40.37	40.02	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2008	40.52	40.69	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2009	40.67	41.37	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2010	42.34	42.07	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2011	43.27	42.77	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2012	43.53	43.48	NA	1.6713*	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2013	44.24	44.21	Joinpoint 1	NA	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2014	44.67	44.06	NA	-0.3488	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2015	42.43	43.90	NA	-0.3488	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2016	44.20	43.75	NA	-0.3488	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2017	42.91	43.60	NA	-0.3488	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2018	44.56	43.44	NA	-0.3488	1	1
BMI	50+	Women	Endometrium	non_attributable_rate	2019	43.00	43.29	NA	-0.3488	1	1
BMI	20-49	Women	Endometrium	rate	2005	3.52	3.68	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2006	3.78	3.76	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2007	4.02	3.85	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2008	4.30	3.94	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2009	3.93	4.03	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2010	4.05	4.12	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2011	3.96	4.22	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2012	4.22	4.31	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2013	4.54	4.41	NA	2.2901*	0	0
BMI	20-49	Women	Endometrium	rate	2014	4.85	4.51	NA	2.2901*	0	0
