"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
BMI	20-49	Women	Colorectum	attributable_rate	2	15	6	9	0.013053	0.001450	Uncorrelated	2	2012	2010	2017	-56.518009	13.711246	-4.122018	0.004448	0.028235	0.006801	4.151406	0.004288	-0.068427	0.051348	-1.332618	0.224398	10470.528109	0.000000	0.000046	1.000000	0.000000	1.000000
BMI	50+	Women	Colorectum	attributable_rate	1	15	4	11	0.003448	0.000313	Uncorrelated	0	NA	NA	NA	-56.637695	16.138553	-3.509466	0.005637	0.029815	0.008043	3.706873	0.004062	NA	NA	NA	NA	260.452880	0.000000	15.911172	1.000000	0.000000	1.000000
BMI	50+	Women	Colorectum	attributable_rate	1	15	4	11	0.003448	0.000313	Uncorrelated	1	2009	2007	2011	6.533105	3.988881	1.637829	0.132498	-0.001629	0.001980	-0.822703	0.429858	-0.031444	0.008283	-3.796068	0.003508	0.000065	0.000000	0.000004	1.000000	0.000000	1.000000
BMI	20-49	Men	Colorectum	non_attributable_rate	0	15	2	13	0.021588	0.001661	Uncorrelated	0	NA	NA	NA	-47.172187	4.899895	-9.627184	0.000000	0.024492	0.002435	10.056813	0.000000	NA	NA	NA	NA	24.008969	-0.011933	0.000006	1.000000	-0.999998	1.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	15	6	9	0.001867	0.000207	Uncorrelated	0	NA	NA	NA	-5.977626	6.235024	-0.958717	0.369635	0.005589	0.003106	1.799347	0.114994	NA	NA	NA	NA	38.875528	0.000000	0.000338	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	15	6	9	0.001867	0.000207	Uncorrelated	1	2011	2007	2013	72.771793	36.978762	1.967935	0.089764	-0.033571	0.018375	-1.827028	0.110425	-0.039159	0.018635	-2.101365	0.073722	0.000010	0.000000	68.677573	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	15	6	9	0.001867	0.000207	Uncorrelated	2	2014	2012	2017	22.513070	8.287193	2.716610	0.029912	-0.008616	0.004109	-2.097059	0.074193	0.024955	0.018828	1.325381	0.226664	1367.428826	0.000000	0.000017	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	non_attributable_rate	0	15	2	13	0.024234	0.001864	Uncorrelated	0	NA	NA	NA	-60.877134	5.191501	-11.726306	0.000000	0.031294	0.002580	12.128134	0.000000	NA	NA	NA	NA	26.951688	-0.013395	0.000007	1.000000	-0.999998	1.000000
BMI	50+	Women	Colorectum	non_attributable_rate	2	15	6	9	0.001081	0.000120	Uncorrelated	0	NA	NA	NA	-8.980432	5.587779	-1.607156	0.152055	0.006861	0.002783	2.465079	0.043143	NA	NA	NA	NA	31.223275	0.000000	0.000014	1.000000	0.000000	1.000000
BMI	50+	Women	Colorectum	non_attributable_rate	2	15	6	9	0.001081	0.000120	Uncorrelated	1	2011	2007	2013	32.347690	7.415870	4.361955	0.003306	-0.013690	0.003682	-3.717820	0.007477	-0.020551	0.004616	-4.452293	0.002963	0.000008	0.000000	1104.822741	1.000000	0.000000	1.000000
BMI	50+	Women	Colorectum	non_attributable_rate	2	15	6	9	0.001081	0.000120	Uncorrelated	2	2017	2013	2017	-32.743653	33.238874	-0.985101	0.357391	0.018582	0.016467	1.128416	0.296329	0.032271	0.016874	1.912516	0.097396	54.995129	0.000000	0.000271	1.000000	0.000000	1.000000
BMI	20-49	Men	Colorectum	rate	0	15	2	13	0.020536	0.001580	Uncorrelated	0	NA	NA	NA	-51.072163	4.778986	-10.686821	0.000000	0.026513	0.002375	11.162149	0.000000	NA	NA	NA	NA	22.838703	-0.011351	0.000006	1.000000	-0.999998	1.000000
BMI	50+	Men	Colorectum	rate	2	15	6	9	0.001762	0.000196	Uncorrelated	0	NA	NA	NA	-13.291454	5.888770	-2.257085	0.058583	0.009326	0.002933	3.179386	0.015504	NA	NA	NA	NA	34.677612	0.000000	0.000301	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	rate	2	15	6	9	0.001762	0.000196	Uncorrelated	1	2011	2008	2013	71.324595	34.925192	2.042211	0.080450	-0.032750	0.017354	-1.887173	0.101095	-0.042077	0.017600	-2.390675	0.048121	0.000009	0.000000	61.261528	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	rate	2	15	6	9	0.001762	0.000196	Uncorrelated	2	2014	2012	2017	17.023754	7.826974	2.175011	0.066126	-0.005789	0.003881	-1.491702	0.179405	0.026962	0.017783	1.516176	0.173256	1219.769066	0.000000	0.000015	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	rate	0	15	2	13	0.025437	0.001957	Uncorrelated	0	NA	NA	NA	-64.891477	5.318728	-12.200563	0.000000	0.033360	0.002643	12.619641	0.000000	NA	NA	NA	NA	28.288867	-0.014060	0.000007	1.000000	-0.999998	1.000000
BMI	50+	Women	Colorectum	rate	2	15	6	9	0.001267	0.000141	Uncorrelated	0	NA	NA	NA	-13.577490	5.863294	-2.315676	0.053736	0.009244	0.002921	3.165029	0.015817	NA	NA	NA	NA	34.378213	0.000000	0.000015	1.000000	0.000000	1.000000
BMI	50+	Women	Colorectum	rate	2	15	6	9	0.001267	0.000141	Uncorrelated	1	2011	2007	2013	30.969128	7.781522	3.979829	0.005325	-0.012907	0.003864	-3.340671	0.012408	-0.022151	0.004843	-4.573518	0.002563	0.000009	0.000000	1216.458945	1.000000	0.000000	1.000000
BMI	50+	Women	Colorectum	rate	2	15	6	9	0.001267	0.000141	Uncorrelated	2	2017	2013	2017	-34.623717	34.877771	-0.992716	0.353916	0.019613	0.017279	1.135051	0.293720	0.032520	0.017706	1.836690	0.108872	60.552081	0.000000	0.000299	1.000000	0.000000	1.000000
BMI	20-49	Women	Endometrium	attributable_rate	0	15	2	13	0.035977	0.002767	Uncorrelated	0	NA	NA	NA	-74.779601	6.325398	-11.822118	0.000000	0.037268	0.003144	11.854224	0.000000	NA	NA	NA	NA	40.010660	-0.019886	0.000010	1.000000	-0.999998	1.000000
BMI	50+	Women	Endometrium	attributable_rate	1	15	4	11	0.002813	0.000256	Uncorrelated	0	NA	NA	NA	-76.065033	7.787894	-9.767087	0.000002	0.039413	0.003879	10.159443	0.000001	NA	NA	NA	NA	60.651290	0.000000	25.473202	1.000000	0.000000	1.000000
BMI	50+	Women	Endometrium	attributable_rate	1	15	4	11	0.002813	0.000256	Uncorrelated	1	2011	2009	2013	-13.354499	5.047098	-2.645976	0.024482	0.008229	0.002504	3.286063	0.008204	-0.031184	0.004617	-6.753521	0.000050	0.000015	0.000000	0.000006	1.000000	0.000000	1.000000
BMI	20-49	Women	Endometrium	non_attributable_rate	0	15	2	13	0.035447	0.002727	Uncorrelated	0	NA	NA	NA	-32.960441	6.278637	-5.249617	0.000157	0.016942	0.003121	5.428958	0.000115	NA	NA	NA	NA	39.421284	-0.019593	0.000010	1.000000	-0.999998	1.000000
BMI	50+	Women	Endometrium	non_attributable_rate	1	15	4	11	0.003035	0.000276	Uncorrelated	0	NA	NA	NA	-29.576476	5.338139	-5.540597	0.000247	0.016575	0.002658	6.236416	0.000097	NA	NA	NA	NA	28.495726	0.000000	68.935590	1.000000	0.000000	1.000000
BMI	50+	Women	Endometrium	non_attributable_rate	1	15	4	11	0.003035	0.000276	Uncorrelated	1	2013	2010	2015	10.822353	8.302746	1.303467	0.221625	-0.003494	0.004117	-0.848592	0.415959	-0.020069	0.004901	-4.095131	0.002161	0.000007	0.000000	0.000017	1.000000	0.000000	1.000000
BMI	20-49	Women	Endometrium	rate	0	15	2	13	0.033447	0.002573	Uncorrelated	0	NA	NA	NA	-44.096333	6.098962	-7.230137	0.000007	0.022643	0.003031	7.469759	0.000005	NA	NA	NA	NA	37.197342	-0.018488	0.000009	1.000000	-0.999998	1.000000
BMI	50+	Women	Endometrium	rate	1	15	4	11	0.002736	0.000249	Uncorrelated	0	NA	NA	NA	-44.380867	6.037912	-7.350366	0.000025	0.024160	0.003007	8.034812	0.000011	NA	NA	NA	NA	36.456386	0.000000	36.747453	1.000000	0.000000	1.000000
BMI	50+	Women	Endometrium	rate	1	15	4	11	0.002736	0.000249	Uncorrelated	1	2012	2009	2015	1.106159	6.061968	0.182475	0.858856	0.001552	0.003007	0.516217	0.616924	-0.022608	0.004252	-5.316449	0.000339	0.000009	0.000000	0.000009	1.000000	0.000000	1.000000
BMI	20-49	Men	Gallbladder	attributable_rate	0	15	2	13	0.456407	0.035108	Uncorrelated	0	NA	NA	NA	-112.800357	22.529659	-5.006750	0.000240	0.054194	0.011198	4.839763	0.000323	NA	NA	NA	NA	507.585514	-0.252278	0.000125	1.000000	-0.999998	1.000000
BMI	50+	Men	Gallbladder	attributable_rate	0	15	2	13	0.068025	0.005233	Uncorrelated	0	NA	NA	NA	-103.406134	8.697882	-11.888657	0.000000	0.051381	0.004323	11.885486	0.000000	NA	NA	NA	NA	75.653149	-0.037601	0.000019	1.000000	-0.999998	1.000000
BMI	20-49	Women	Gallbladder	attributable_rate	0	15	2	13	0.303646	0.023357	Uncorrelated	0	NA	NA	NA	-87.996404	18.376459	-4.788540	0.000354	0.042227	0.009133	4.623393	0.000477	NA	NA	NA	NA	337.694250	-0.167839	0.000083	1.000000	-0.999998	1.000000
BMI	50+	Women	Gallbladder	attributable_rate	1	15	4	11	0.012676	0.001152	Uncorrelated	0	NA	NA	NA	-113.633416	20.405587	-5.568740	0.000238	0.056861	0.010167	5.592558	0.000230	NA	NA	NA	NA	416.387972	0.000000	69.952426	1.000000	0.000000	1.000000
BMI	50+	Women	Gallbladder	attributable_rate	1	15	4	11	0.012676	0.001152	Uncorrelated	1	2010	2007	2014	-59.267385	8.363757	-7.086216	0.000034	0.029813	0.004151	7.182546	0.000030	-0.027048	0.010982	-2.462956	0.033507	0.000103	0.000000	0.000017	1.000000	0.000000	1.000000
BMI	20-49	Men	Gallbladder	non_attributable_rate	0	15	2	13	0.482440	0.037111	Uncorrelated	0	NA	NA	NA	-51.430869	23.163277	-2.220362	0.044789	0.024809	0.011513	2.154913	0.050501	NA	NA	NA	NA	536.537422	-0.266667	0.000133	1.000000	-0.999998	1.000000
BMI	50+	Men	Gallbladder	non_attributable_rate	0	15	2	13	0.051802	0.003985	Uncorrelated	0	NA	NA	NA	-35.997280	7.590177	-4.742614	0.000385	0.018862	0.003772	4.999817	0.000243	NA	NA	NA	NA	57.610785	-0.028633	0.000014	1.000000	-0.999998	1.000000
BMI	20-49	Women	Gallbladder	non_attributable_rate	0	15	2	13	0.273820	0.021063	Uncorrelated	0	NA	NA	NA	-48.643891	17.450618	-2.787517	0.015393	0.023446	0.008673	2.703204	0.018083	NA	NA	NA	NA	304.524056	-0.151353	0.000075	1.000000	-0.999998	1.000000
BMI	50+	Women	Gallbladder	non_attributable_rate	0	15	2	13	0.018571	0.001429	Uncorrelated	0	NA	NA	NA	-52.747254	4.544612	-11.606547	0.000000	0.027170	0.002259	12.028765	0.000000	NA	NA	NA	NA	20.653500	-0.010265	0.000005	1.000000	-0.999998	1.000000
BMI	20-49	Men	Gallbladder	rate	0	15	2	13	0.477082	0.036699	Uncorrelated	0	NA	NA	NA	-56.771377	23.034283	-2.464647	0.028419	0.027513	0.011448	2.403233	0.031891	NA	NA	NA	NA	530.578196	-0.263706	0.000131	1.000000	-0.999998	1.000000
BMI	50+	Men	Gallbladder	rate	0	15	2	13	0.052531	0.004041	Uncorrelated	0	NA	NA	NA	-43.768720	7.643385	-5.726353	0.000070	0.022789	0.003799	5.998829	0.000045	NA	NA	NA	NA	58.421333	-0.029036	0.000014	1.000000	-0.999998	1.000000
BMI	20-49	Women	Gallbladder	rate	0	15	2	13	0.277180	0.021322	Uncorrelated	0	NA	NA	NA	-54.903502	17.557351	-3.127095	0.008017	0.026651	0.008726	3.054152	0.009226	NA	NA	NA	NA	308.260584	-0.153210	0.000076	1.000000	-0.999998	1.000000
BMI	50+	Women	Gallbladder	rate	0	15	2	13	0.018822	0.001448	Uncorrelated	0	NA	NA	NA	-57.386543	4.575210	-12.542932	0.000000	0.029603	0.002274	13.018443	0.000000	NA	NA	NA	NA	20.932545	-0.010404	0.000005	1.000000	-0.999998	1.000000
BMI	20-49	Men	Kidney	attributable_rate	1	15	4	11	0.014235	0.001294	Uncorrelated	0	NA	NA	NA	-159.978282	7.494948	-21.344817	0.000000	0.079437	0.003730	21.298285	0.000000	NA	NA	NA	NA	56.174239	0.000000	934.267948	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	attributable_rate	1	15	4	11	0.014235	0.001294	Uncorrelated	1	2015	2013	2017	-5.357949	30.565797	-0.175292	0.864348	0.002703	0.015150	0.178392	0.861977	-0.076735	0.015603	-4.918044	0.000607	0.000014	0.000000	0.000230	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	attributable_rate	1	15	4	11	0.013448	0.001223	Uncorrelated	0	NA	NA	NA	-106.402097	8.874551	-11.989575	0.000000	0.054098	0.004417	12.246684	0.000000	NA	NA	NA	NA	78.757656	0.000000	476.316307	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	attributable_rate	1	15	4	11	0.013448	0.001223	Uncorrelated	1	2014	2012	2016	-17.463593	21.824672	-0.800177	0.442203	0.009938	0.010820	0.918481	0.379988	-0.044160	0.011687	-3.778464	0.003611	0.000020	0.000000	0.000117	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	attributable_rate	1	15	4	11	0.072043	0.006549	Uncorrelated	0	NA	NA	NA	-145.546993	18.724549	-7.773058	0.000015	0.072078	0.009318	7.735321	0.000016	NA	NA	NA	NA	350.608719	0.000000	5831.186993	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	attributable_rate	1	15	4	11	0.072043	0.006549	Uncorrelated	1	2015	2010	2017	-23.850447	76.362209	-0.312333	0.761203	0.011682	0.037850	0.308652	0.763920	-0.060395	0.038980	-1.549392	0.152330	0.000087	0.000000	0.001433	1.000000	0.000000	1.000000
BMI	50+	Women	Kidney	attributable_rate	1	15	4	11	0.015632	0.001421	Uncorrelated	0	NA	NA	NA	-112.756887	11.986843	-9.406721	0.000003	0.057093	0.005968	9.566418	0.000002	NA	NA	NA	NA	143.684399	0.000000	347.594890	1.000000	0.000000	1.000000
BMI	50+	Women	Kidney	attributable_rate	1	15	4	11	0.015632	0.001421	Uncorrelated	1	2013	2009	2015	-4.839950	18.643897	-0.259600	0.800439	0.003483	0.009246	0.376705	0.714263	-0.053610	0.011005	-4.871623	0.000650	0.000036	0.000000	0.000085	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	15	4	11	0.014907	0.001355	Uncorrelated	0	NA	NA	NA	-105.781841	6.306120	-16.774473	0.000000	0.053253	0.003137	16.978020	0.000000	NA	NA	NA	NA	39.767149	0.000000	11464.063513	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	15	4	11	0.014907	0.001355	Uncorrelated	1	2017	2013	2017	70.323437	107.070367	0.656796	0.526138	-0.034057	0.053045	-0.642054	0.535279	-0.087310	0.053137	-1.643115	0.131389	0.000010	0.000000	0.002814	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	non_attributable_rate	1	15	4	11	0.016333	0.001485	Uncorrelated	0	NA	NA	NA	-66.574709	9.865749	-6.748064	0.000051	0.034960	0.004911	7.119138	0.000032	NA	NA	NA	NA	97.333012	0.000000	588.657707	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	non_attributable_rate	1	15	4	11	0.016333	0.001485	Uncorrelated	1	2014	2012	2017	10.860556	24.262269	0.447632	0.663960	-0.003488	0.012029	-0.289971	0.777762	-0.038448	0.012993	-2.959242	0.014307	0.000024	0.000000	0.000145	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	non_attributable_rate	0	15	2	13	0.083543	0.006426	Uncorrelated	0	NA	NA	NA	-84.323078	9.639016	-8.748101	0.000001	0.042235	0.004791	8.816042	0.000001	NA	NA	NA	NA	92.910622	-0.046178	0.000023	1.000000	-0.999998	1.000000
BMI	50+	Women	Kidney	non_attributable_rate	1	15	4	11	0.011010	0.001001	Uncorrelated	0	NA	NA	NA	-80.985550	7.989721	-10.136217	0.000001	0.041733	0.003977	10.493589	0.000001	NA	NA	NA	NA	63.835644	0.000000	386.069873	1.000000	0.000000	1.000000
BMI	50+	Women	Kidney	non_attributable_rate	1	15	4	11	0.011010	0.001001	Uncorrelated	1	2014	2012	2015	20.795220	19.648661	1.058353	0.314790	-0.008804	0.009742	-0.903763	0.387374	-0.050537	0.010522	-4.802926	0.000720	0.000016	0.000000	0.000095	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	rate	1	15	4	11	0.014844	0.001349	Uncorrelated	0	NA	NA	NA	-116.255154	7.030642	-16.535496	0.000000	0.058559	0.003498	16.741474	0.000000	NA	NA	NA	NA	49.429926	0.000000	2740.323642	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	rate	1	15	4	11	0.014844	0.001349	Uncorrelated	1	2016	2013	2017	14.376902	52.348101	0.274640	0.789183	-0.006239	0.025941	-0.240506	0.814797	-0.064798	0.026175	-2.475522	0.032793	0.000012	0.000000	0.000673	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	rate	1	15	4	11	0.015442	0.001404	Uncorrelated	0	NA	NA	NA	-74.115710	9.667683	-7.666336	0.000017	0.038826	0.004812	8.068269	0.000011	NA	NA	NA	NA	93.464099	0.000000	565.259007	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	rate	1	15	4	11	0.015442	0.001404	Uncorrelated	1	2014	2012	2016	4.874348	23.775176	0.205018	0.841671	-0.000394	0.011787	-0.033468	0.973960	-0.039220	0.012732	-3.080504	0.011631	0.000023	0.000000	0.000139	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	rate	0	15	2	13	0.088218	0.006786	Uncorrelated	0	NA	NA	NA	-91.712190	9.905064	-9.259121	0.000000	0.046037	0.004923	9.351373	0.000000	NA	NA	NA	NA	98.110296	-0.048762	0.000024	1.000000	-0.999998	1.000000
BMI	50+	Women	Kidney	rate	1	15	4	11	0.011944	0.001086	Uncorrelated	0	NA	NA	NA	-87.295032	8.391069	-10.403326	0.000001	0.045041	0.004177	10.783664	0.000001	NA	NA	NA	NA	70.410044	0.000000	425.831009	1.000000	0.000000	1.000000
BMI	50+	Women	Kidney	rate	1	15	4	11	0.011944	0.001086	Uncorrelated	1	2014	2012	2015	18.697778	20.635673	0.906090	0.386200	-0.007587	0.010231	-0.741627	0.475370	-0.052628	0.011051	-4.762455	0.000766	0.000017	0.000000	0.000105	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	attributable_rate	1	15	4	11	0.186686	0.016971	Uncorrelated	0	NA	NA	NA	-109.616053	34.602509	-3.167864	0.010024	0.053827	0.017224	3.125147	0.010779	NA	NA	NA	NA	1197.333600	0.000000	7241.321662	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	attributable_rate	1	15	4	11	0.186686	0.016971	Uncorrelated	1	2014	2007	2017	73.561958	85.095956	0.864459	0.407594	-0.037126	0.042189	-0.879977	0.399525	-0.090952	0.045570	-1.995894	0.073892	0.000297	0.000000	0.001780	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	attributable_rate	1	15	4	11	0.006446	0.000586	Uncorrelated	0	NA	NA	NA	-155.256555	5.755015	-26.977609	0.000000	0.078147	0.002865	27.273431	0.000000	NA	NA	NA	NA	33.120203	0.000000	80.122919	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	attributable_rate	1	15	4	11	0.006446	0.000586	Uncorrelated	1	2013	2012	2014	-63.627062	8.951141	-7.108263	0.000033	0.032628	0.004439	7.350494	0.000025	-0.045519	0.005283	-8.615444	0.000006	0.000008	0.000000	0.000020	1.000000	0.000000	1.000000
BMI	20-49	Women	Liver	attributable_rate	0	15	2	13	0.153825	0.011833	Uncorrelated	0	NA	NA	NA	-89.944841	13.079523	-6.876767	0.000011	0.043617	0.006501	6.709523	0.000014	NA	NA	NA	NA	171.073931	-0.085026	0.000042	1.000000	-0.999998	1.000000
BMI	50+	Women	Liver	attributable_rate	1	15	4	11	0.025641	0.002331	Uncorrelated	0	NA	NA	NA	-137.939728	15.373194	-8.972744	0.000004	0.069159	0.007654	9.035563	0.000004	NA	NA	NA	NA	236.335091	0.000000	571.731315	1.000000	0.000000	1.000000
BMI	50+	Women	Liver	attributable_rate	1	15	4	11	0.025641	0.002331	Uncorrelated	1	2013	2008	2015	-25.498286	23.910904	-1.066387	0.311317	0.013301	0.011858	1.121735	0.288188	-0.055858	0.014113	-3.957776	0.002696	0.000059	0.000000	0.000141	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	non_attributable_rate	0	15	2	13	0.226203	0.017400	Uncorrelated	0	NA	NA	NA	-13.141549	15.860872	-0.828551	0.422310	0.006555	0.007883	0.831551	0.420674	NA	NA	NA	NA	251.567254	-0.125033	0.000062	1.000000	-0.999998	1.000000
BMI	50+	Men	Liver	non_attributable_rate	1	15	4	11	0.007493	0.000681	Uncorrelated	0	NA	NA	NA	-98.468761	7.020245	-14.026400	0.000000	0.050519	0.003494	14.457086	0.000000	NA	NA	NA	NA	49.283835	0.000000	298.062382	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	non_attributable_rate	1	15	4	11	0.007493	0.000681	Uncorrelated	1	2014	2012	2016	-16.634747	17.264483	-0.963524	0.358006	0.009886	0.008559	1.154998	0.274944	-0.040633	0.009245	-4.394945	0.001346	0.000012	0.000000	0.000073	1.000000	0.000000	1.000000
BMI	20-49	Women	Liver	non_attributable_rate	0	15	2	13	0.149493	0.011499	Uncorrelated	0	NA	NA	NA	-47.320744	12.894035	-3.669972	0.002827	0.023200	0.006409	3.620182	0.003110	NA	NA	NA	NA	166.256131	-0.082632	0.000041	1.000000	-0.999998	1.000000
BMI	50+	Women	Liver	non_attributable_rate	1	15	4	11	0.021952	0.001996	Uncorrelated	0	NA	NA	NA	-105.060832	14.046761	-7.479363	0.000021	0.053412	0.006994	7.637198	0.000018	NA	NA	NA	NA	197.311505	0.000000	477.327193	1.000000	0.000000	1.000000
BMI	50+	Women	Liver	non_attributable_rate	1	15	4	11	0.021952	0.001996	Uncorrelated	1	2013	2010	2016	-10.312956	21.847819	-0.472036	0.647033	0.006344	0.010835	0.585528	0.571169	-0.047068	0.012896	-3.649910	0.004463	0.000049	0.000000	0.000117	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	rate	0	15	2	13	0.236644	0.018203	Uncorrelated	0	NA	NA	NA	-20.238120	16.222817	-1.247510	0.234216	0.010187	0.008063	1.263412	0.228629	NA	NA	NA	NA	263.179798	-0.130804	0.000065	1.000000	-0.999998	1.000000
BMI	50+	Men	Liver	rate	1	15	4	11	0.007452	0.000677	Uncorrelated	0	NA	NA	NA	-114.002508	6.248952	-18.243461	0.000000	0.058374	0.003111	18.762351	0.000000	NA	NA	NA	NA	39.049398	0.000000	94.466561	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	rate	1	15	4	11	0.007452	0.000677	Uncorrelated	1	2013	2012	2016	-37.197210	9.719391	-3.827113	0.003335	0.020220	0.004820	4.195028	0.001843	-0.038155	0.005737	-6.650785	0.000057	0.000010	0.000000	0.000023	1.000000	0.000000	1.000000
BMI	20-49	Women	Liver	rate	0	15	2	13	0.148476	0.011421	Uncorrelated	0	NA	NA	NA	-54.235701	12.850108	-4.220641	0.001000	0.026733	0.006387	4.185769	0.001068	NA	NA	NA	NA	165.125285	-0.082070	0.000041	1.000000	-0.999998	1.000000
