"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	20-49	Pancreas	0	19	2	17	0.100705	0.005924	Uncorrelated	0	NA	NA	NA	-36.787840	6.479802	-5.677309	0.000027	0.018509	0.003224	5.741407	0.000024	NA	NA	NA	NA	41.987836	-0.020889	0.000010	1.000000	-0.999996	1.000000
Men	20-49	Thyroid	1	19	4	15	0.056685	0.003779	Uncorrelated	0	NA	NA	NA	-144.532431	11.997899	-12.046478	0.000000	0.072275	0.005981	12.084132	0.000000	NA	NA	NA	NA	143.949579	0.000000	571.167647	1.000000	0.000000	1.000000
Men	20-49	Thyroid	1	19	4	15	0.056685	0.003779	Uncorrelated	1	2012	2009	2016	-69.898744	23.899114	-2.924742	0.011086	0.035181	0.011855	2.967672	0.010183	-0.037094	0.013278	-2.793654	0.014359	0.000036	0.000000	0.000141	1.000000	0.000000	1.000000
Men	50+	Colorectum	2	19	6	13	0.002058	0.000158	Uncorrelated	0	NA	NA	NA	-21.238524	2.558351	-8.301646	0.000005	0.013244	0.001276	10.382137	0.000001	NA	NA	NA	NA	6.545160	0.000000	0.000269	1.000000	0.000000	1.000000
Men	50+	Colorectum	2	19	6	13	0.002058	0.000158	Uncorrelated	1	2011	2009	2012	71.396182	32.977284	2.165011	0.053238	-0.032820	0.016386	-2.002893	0.070454	-0.046064	0.016436	-2.802661	0.017193	0.000002	0.000000	54.618526	1.000000	0.000000	1.000000
Men	50+	Colorectum	2	19	6	13	0.002058	0.000158	Uncorrelated	2	2014	2013	2017	6.187666	7.390435	0.837253	0.420269	-0.000442	0.003664	-0.120698	0.906107	0.032378	0.016791	1.928285	0.080019	1087.501252	0.000000	0.000013	1.000000	0.000000	1.000000
Men	50+	Gallbladder	0	19	2	17	0.072417	0.004260	Uncorrelated	0	NA	NA	NA	-56.740848	5.494870	-10.326149	0.000000	0.029191	0.002734	10.677847	0.000000	NA	NA	NA	NA	30.193596	-0.015022	0.000007	1.000000	-0.999996	1.000000
Men	50+	Kidney	1	19	4	15	0.016012	0.001067	Uncorrelated	0	NA	NA	NA	-76.225233	4.788150	-15.919557	0.000000	0.039848	0.002386	16.702852	0.000000	NA	NA	NA	NA	22.926384	0.000000	421.427343	1.000000	0.000000	1.000000
Men	50+	Kidney	1	19	4	15	0.016012	0.001067	Uncorrelated	1	2014	2012	2016	-6.160605	20.528696	-0.300097	0.768513	0.005060	0.010178	0.497115	0.626824	-0.034789	0.010454	-3.327891	0.004978	0.000006	0.000000	0.000104	1.000000	0.000000	1.000000
Men	50+	Liver	1	19	4	15	0.012430	0.000829	Uncorrelated	0	NA	NA	NA	-115.651734	4.342170	-26.634550	0.000000	0.059156	0.002164	27.342706	0.000000	NA	NA	NA	NA	18.854437	0.000000	346.577779	1.000000	0.000000	1.000000
Men	50+	Liver	1	19	4	15	0.012430	0.000829	Uncorrelated	1	2014	2012	2016	-31.135238	18.616600	-1.672445	0.116627	0.017192	0.009230	1.862620	0.083633	-0.041964	0.009480	-4.426625	0.000575	0.000005	0.000000	0.000085	1.000000	0.000000	1.000000
Men	50+	MultipleMyeloma	0	19	2	17	0.039289	0.002311	Uncorrelated	0	NA	NA	NA	-55.964930	4.047337	-13.827594	0.000000	0.029517	0.002014	14.659024	0.000000	NA	NA	NA	NA	16.380935	-0.008150	0.000004	1.000000	-0.999996	1.000000
Men	50+	Oral	1	19	4	15	0.014332	0.000955	Uncorrelated	0	NA	NA	NA	-69.021761	5.306662	-13.006624	0.000000	0.036171	0.002645	13.676624	0.000000	NA	NA	NA	NA	28.160666	0.000000	232.411738	1.000000	0.000000	1.000000
Men	50+	Oral	1	19	4	15	0.014332	0.000955	Uncorrelated	1	2013	2008	2017	-30.424871	15.245056	-1.995721	0.065799	0.016997	0.007560	2.248259	0.041189	-0.019174	0.008009	-2.393913	0.031231	0.000007	0.000000	0.000057	1.000000	0.000000	1.000000
Men	50+	Pancreas	0	19	2	17	0.005669	0.000333	Uncorrelated	0	NA	NA	NA	-24.977211	1.537396	-16.246439	0.000000	0.014277	0.000765	18.665744	0.000000	NA	NA	NA	NA	2.363587	-0.001176	0.000001	1.000000	-0.999996	1.000000
Men	50+	Thyroid	1	19	4	15	0.067523	0.004502	Uncorrelated	0	NA	NA	NA	-120.805981	10.121179	-11.935959	0.000000	0.060834	0.005043	12.063158	0.000000	NA	NA	NA	NA	102.438266	0.000000	1882.995837	1.000000	0.000000	1.000000
Men	50+	Thyroid	1	19	4	15	0.067523	0.004502	Uncorrelated	1	2014	2009	2017	-43.381950	43.393500	-0.999734	0.334406	0.022391	0.021514	1.040759	0.315628	-0.038443	0.022097	-1.739733	0.103833	0.000025	0.000000	0.000463	1.000000	0.000000	1.000000
Women	20-49	Breast	1	19	4	15	0.004002	0.000267	Uncorrelated	0	NA	NA	NA	-27.127717	2.724681	-9.956289	0.000000	0.015648	0.001358	11.523300	0.000000	NA	NA	NA	NA	7.423889	0.000000	61.269822	1.000000	0.000000	1.000000
Women	20-49	Breast	1	19	4	15	0.004002	0.000267	Uncorrelated	1	2013	2011	2015	14.274350	7.827504	1.823615	0.089627	-0.004920	0.003882	-1.267365	0.225701	-0.020567	0.004112	-5.001311	0.000194	0.000002	0.000000	0.000015	1.000000	0.000000	1.000000
Women	20-49	Colorectum	0	19	2	17	0.029925	0.001760	Uncorrelated	0	NA	NA	NA	-64.328894	3.532263	-18.211806	0.000000	0.033069	0.001757	18.817770	0.000000	NA	NA	NA	NA	12.476885	-0.006207	0.000003	1.000000	-0.999996	1.000000
Women	20-49	Endometrium	1	19	4	15	0.046322	0.003088	Uncorrelated	0	NA	NA	NA	-113.203700	27.399662	-4.131573	0.001017	0.057074	0.013676	4.173346	0.000938	NA	NA	NA	NA	750.741467	0.000000	92.793584	1.000000	0.000000	1.000000
Women	20-49	Endometrium	1	19	4	15	0.046322	0.003088	Uncorrelated	1	2007	2003	2011	-39.352614	9.632943	-4.085212	0.001114	0.020277	0.004784	4.238452	0.000826	-0.036797	0.014489	-2.539711	0.023583	0.000187	0.000000	0.000023	1.000000	0.000000	1.000000
Women	20-49	Gallbladder	0	19	2	17	0.466202	0.027424	Uncorrelated	0	NA	NA	NA	-68.575305	13.941927	-4.918639	0.000130	0.033477	0.006936	4.826375	0.000158	NA	NA	NA	NA	194.377342	-0.096704	0.000048	1.000000	-0.999996	1.000000
Women	20-49	Kidney	0	19	2	17	0.112986	0.006646	Uncorrelated	0	NA	NA	NA	-90.119042	6.863538	-13.130115	0.000000	0.045233	0.003415	13.246732	0.000000	NA	NA	NA	NA	47.108153	-0.023437	0.000012	1.000000	-0.999996	1.000000
Women	20-49	Liver	1	19	4	15	0.117627	0.007842	Uncorrelated	0	NA	NA	NA	-185.157349	32.338035	-5.725683	0.000052	0.091990	0.016137	5.700638	0.000055	NA	NA	NA	NA	1045.748535	0.000000	268.854152	1.000000	0.000000	1.000000
Women	20-49	Liver	1	19	4	15	0.117627	0.007842	Uncorrelated	1	2008	2003	2010	-18.234338	16.396773	-1.112069	0.284841	0.008861	0.008141	1.088352	0.294821	-0.083129	0.018074	-4.599320	0.000413	0.000260	0.000000	0.000066	1.000000	0.000000	1.000000
Women	20-49	MultipleMyeloma	0	19	2	17	0.227743	0.013397	Uncorrelated	0	NA	NA	NA	-118.448861	9.744477	-12.155487	0.000000	0.058883	0.004848	12.145821	0.000000	NA	NA	NA	NA	94.954823	-0.047241	0.000024	1.000000	-0.999996	1.000000
Women	20-49	Oral	2	19	6	13	0.043154	0.003320	Uncorrelated	0	NA	NA	NA	44.011991	82.095987	0.536104	0.602559	-0.021595	0.041007	-0.526614	0.608917	NA	NA	NA	NA	6739.751123	0.000000	0.001682	1.000000	0.000000	1.000000
Women	20-49	Oral	2	19	6	13	0.043154	0.003320	Uncorrelated	1	2004	2003	2010	-149.008785	82.260015	-1.811436	0.097437	0.074723	0.041007	1.822200	0.095698	0.096318	0.057993	1.660862	0.124947	0.001682	0.000000	124.014639	1.000000	0.000000	1.000000
Women	20-49	Oral	2	19	6	13	0.043154	0.003320	Uncorrelated	2	2008	2006	2017	-15.273158	11.136186	-1.371489	0.197550	0.008122	0.005529	1.468791	0.169898	-0.066601	0.041378	-1.609581	0.135788	6766.710096	0.000000	0.000031	1.000000	0.000000	1.000000
Women	20-49	Pancreas	0	19	2	17	0.148913	0.008760	Uncorrelated	0	NA	NA	NA	-57.228631	7.879569	-7.262914	0.000001	0.028544	0.003920	7.281296	0.000001	NA	NA	NA	NA	62.087604	-0.030889	0.000015	1.000000	-0.999996	1.000000
Women	20-49	Thyroid	1	19	4	15	0.015163	0.001011	Uncorrelated	0	NA	NA	NA	-139.645005	5.391043	-25.903151	0.000000	0.070476	0.002687	26.230711	0.000000	NA	NA	NA	NA	29.063347	0.000000	239.861618	1.000000	0.000000	1.000000
Women	20-49	Thyroid	1	19	4	15	0.015163	0.001011	Uncorrelated	1	2013	2010	2015	-64.574587	15.487466	-4.169474	0.000945	0.033183	0.007680	4.320560	0.000705	-0.037293	0.008137	-4.583250	0.000426	0.000007	0.000000	0.000059	1.000000	0.000000	1.000000
Women	50+	Breast	1	19	4	15	0.004606	0.000307	Uncorrelated	0	NA	NA	NA	-34.809352	25.412046	-1.369797	0.192320	0.020280	0.012693	1.597692	0.132430	NA	NA	NA	NA	645.772097	0.000000	4.658874	1.000000	0.000000	1.000000
Women	50+	Breast	1	19	4	15	0.004606	0.000307	Uncorrelated	1	2004	2003	2017	-1.996220	2.158443	-0.924843	0.370715	0.003906	0.001073	3.641202	0.002671	-0.016374	0.012739	-1.285372	0.219519	0.000161	0.000000	0.000001	1.000000	0.000000	1.000000
Women	50+	Colorectum	2	19	6	13	0.001932	0.000149	Uncorrelated	0	NA	NA	NA	-14.421643	2.712414	-5.316904	0.000246	0.009681	0.001352	7.157780	0.000019	NA	NA	NA	NA	7.357188	0.000000	0.000015	1.000000	0.000000	1.000000
Women	50+	Colorectum	2	19	6	13	0.001932	0.000149	Uncorrelated	1	2011	2008	2012	34.185934	7.823829	4.369463	0.001119	-0.014490	0.003885	-3.730011	0.003323	-0.024171	0.004113	-5.876087	0.000107	0.000002	0.000000	1229.722453	1.000000	0.000000	1.000000
Women	50+	Colorectum	2	19	6	13	0.001932	0.000149	Uncorrelated	2	2017	2013	2017	-38.376715	35.067399	-1.094370	0.297177	0.021485	0.017373	1.236717	0.241946	0.035976	0.017802	2.020867	0.068314	61.212303	0.000000	0.000302	1.000000	0.000000	1.000000
Women	50+	Endometrium	1	19	4	15	0.005055	0.000337	Uncorrelated	0	NA	NA	NA	-55.613925	4.140222	-13.432594	0.000000	0.029749	0.002064	14.410367	0.000000	NA	NA	NA	NA	17.141440	0.000000	34.007280	1.000000	0.000000	1.000000
Women	50+	Endometrium	1	19	4	15	0.005055	0.000337	Uncorrelated	1	2011	2009	2013	-1.850885	5.831576	-0.317390	0.755632	0.003015	0.002893	1.041950	0.315095	-0.026734	0.003554	-7.521616	0.000003	0.000004	0.000000	0.000008	1.000000	0.000000	1.000000
Women	50+	Gallbladder	0	19	2	17	0.036759	0.002162	Uncorrelated	0	NA	NA	NA	-63.310022	3.914868	-16.171686	0.000000	0.032559	0.001948	16.716682	0.000000	NA	NA	NA	NA	15.326194	-0.007625	0.000004	1.000000	-0.999996	1.000000
Women	50+	Kidney	1	19	4	15	0.014756	0.000984	Uncorrelated	0	NA	NA	NA	-84.868687	4.551766	-18.645222	0.000000	0.043841	0.002268	19.330769	0.000000	NA	NA	NA	NA	20.718574	0.000000	380.843898	1.000000	0.000000	1.000000
Women	50+	Kidney	1	19	4	15	0.014756	0.000984	Uncorrelated	1	2014	2012	2015	17.098290	19.515222	0.876151	0.395732	-0.006788	0.009675	-0.701579	0.494440	-0.050629	0.009938	-5.094689	0.000163	0.000005	0.000000	0.000094	1.000000	0.000000	1.000000
Women	50+	Liver	2	19	6	13	0.023935	0.001841	Uncorrelated	0	NA	NA	NA	26.147924	126.358661	0.206934	0.839842	-0.011962	0.063132	-0.189474	0.853172	NA	NA	NA	NA	15966.511217	0.000000	0.000033	1.000000	0.000000	1.000000
Women	50+	Liver	2	19	6	13	0.023935	0.001841	Uncorrelated	1	2003	2003	2014	-112.709962	11.572384	-9.739563	0.000001	0.057363	0.005763	9.953455	0.000001	0.069325	0.063394	1.093549	0.297522	0.003986	0.000000	463.049622	1.000000	0.000000	1.000000
Women	50+	Liver	2	19	6	13	0.023935	0.001841	Uncorrelated	2	2013	2009	2017	-12.155894	21.518588	-0.564902	0.583477	0.007411	0.010671	0.694460	0.501798	-0.049952	0.012128	-4.118748	0.001704	133.920081	0.000000	0.000114	1.000000	0.000000	1.000000
Women	50+	MultipleMyeloma	0	19	2	17	0.050212	0.002954	Uncorrelated	0	NA	NA	NA	-46.268234	4.575490	-10.112191	0.000000	0.024518	0.002276	10.770703	0.000000	NA	NA	NA	NA	20.935112	-0.010415	0.000005	1.000000	-0.999996	1.000000
Women	50+	Oral	1	19	4	15	0.010783	0.000719	Uncorrelated	0	NA	NA	NA	-69.115242	6.113390	-11.305551	0.000000	0.035846	0.003048	11.759383	0.000000	NA	NA	NA	NA	37.373537	0.000000	74.146184	1.000000	0.000000	1.000000
Women	50+	Oral	1	19	4	15	0.010783	0.000719	Uncorrelated	1	2011	2008	2014	-29.179196	8.610818	-3.388667	0.004411	0.015987	0.004272	3.742117	0.002187	-0.019859	0.005248	-3.783851	0.002014	0.000009	0.000000	0.000018	1.000000	0.000000	1.000000
Women	50+	Pancreas	1	19	4	15	0.003479	0.000232	Uncorrelated	0	NA	NA	NA	-24.536147	2.583551	-9.497064	0.000000	0.014015	0.001288	10.884324	0.000000	NA	NA	NA	NA	6.674735	0.000000	55.087003	1.000000	0.000000	1.000000
Women	50+	Pancreas	1	19	4	15	0.003479	0.000232	Uncorrelated	1	2013	2007	2015	7.215832	7.422062	0.972214	0.347443	-0.001759	0.003681	-0.477883	0.640109	-0.015773	0.003899	-4.045119	0.001205	0.000002	0.000000	0.000014	1.000000	0.000000	1.000000
Women	50+	Thyroid	1	19	4	15	0.024607	0.001640	Uncorrelated	0	NA	NA	NA	-107.641532	6.146727	-17.512008	0.000000	0.054608	0.003063	17.830212	0.000000	NA	NA	NA	NA	37.782253	0.000000	694.504389	1.000000	0.000000	1.000000
Women	50+	Thyroid	1	19	4	15	0.024607	0.001640	Uncorrelated	1	2014	2011	2017	-44.551278	26.353451	-1.690529	0.113059	0.023282	0.013066	1.781896	0.096461	-0.031326	0.013420	-2.334299	0.034994	0.000009	0.000000	0.000171	1.000000	0.000000	1.000000
