"sex"	"exposure"	"imd"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	Current	4	2002	0.06	0.07	NA	-2.2586*	0	0
Men	Current	4	2003	0.06	0.06	NA	-2.2586*	0	0
Men	Current	4	2004	0.06	0.06	NA	-2.2586*	0	0
Men	Current	4	2005	0.07	0.06	NA	-2.2586*	0	0
Men	Current	4	2006	0.06	0.06	NA	-2.2586*	0	0
Men	Current	4	2007	0.05	0.06	NA	-2.2586*	0	0
Men	Current	4	2008	0.06	0.06	NA	-2.2586*	0	0
Men	Current	4	2009	0.06	0.06	NA	-2.2586*	0	0
Men	Current	4	2010	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2011	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2012	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2013	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2014	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2015	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2016	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2017	0.05	0.05	NA	-2.2586*	0	0
Men	Current	4	2018	0.04	0.05	NA	-2.2586*	0	0
Men	Current	4	2019	0.04	0.04	NA	-2.2586*	0	0
Men	Current	5	2001	0.10	0.10	NA	-13.9616	1	1
Men	Current	5	2002	0.10	0.09	NA	-13.9616	1	1
Men	Current	5	2003	0.07	0.08	NA	-13.9616	1	1
Men	Current	5	2004	0.06	0.07	Joinpoint 1	NA	1	1
Men	Current	5	2005	0.07	0.06	NA	-0.4247	1	1
Men	Current	5	2006	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2007	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2008	0.07	0.06	NA	-0.4247	1	1
Men	Current	5	2009	0.07	0.06	NA	-0.4247	1	1
Men	Current	5	2010	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2011	0.08	0.06	NA	-0.4247	1	1
Men	Current	5	2012	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2013	0.07	0.06	NA	-0.4247	1	1
Men	Current	5	2014	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2015	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2016	0.07	0.06	NA	-0.4247	1	1
Men	Current	5	2017	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2018	0.06	0.06	NA	-0.4247	1	1
Men	Current	5	2019	0.05	0.06	NA	-0.4247	1	1
Men	Current	All	1995	0.29	0.30	NA	-1.5749	0	0
Men	Current	All	1996	0.30	0.29	NA	-1.5749	0	0
Men	Current	All	1997	0.29	0.29	NA	-1.5749	0	0
Men	Current	All	1998	0.28	0.28	NA	-1.5749	0	0
Men	Current	All	1999	0.27	0.28	NA	-1.5749	0	0
Men	Current	All	2000	0.28	0.27	NA	-1.5749	0	0
Women	Current	1	2001	0.03	0.02	NA	13.4617	1	1
Women	Current	1	2002	0.03	0.03	NA	13.4617	1	1
Women	Current	1	2003	0.03	0.03	Joinpoint 1	NA	1	1
Women	Current	1	2004	0.04	0.03	NA	-5.0192*	1	1
Women	Current	1	2005	0.03	0.03	NA	-5.0192*	1	1
Women	Current	1	2006	0.02	0.03	NA	-5.0192*	1	1
Women	Current	1	2007	0.03	0.03	NA	-5.0192*	1	1
Women	Current	1	2008	0.03	0.02	NA	-5.0192*	1	1
Women	Current	1	2009	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2010	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2011	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2012	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2013	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2014	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2015	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2016	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2017	0.02	0.02	NA	-5.0192*	1	1
Women	Current	1	2018	0.01	0.01	NA	-5.0192*	1	1
Women	Current	1	2019	0.01	0.01	NA	-5.0192*	1	1
Women	Current	2	2001	0.03	0.03	NA	5.5059	1	1
Women	Current	2	2002	0.03	0.03	NA	5.5059	1	1
Women	Current	2	2003	0.03	0.03	NA	5.5059	1	1
Women	Current	2	2004	0.03	0.03	NA	5.5059	1	1
Women	Current	2	2005	0.04	0.04	Joinpoint 1	NA	1	1
Women	Current	2	2006	0.04	0.04	NA	-4.0781*	1	1
Women	Current	2	2007	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2008	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2009	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2010	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2011	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2012	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2013	0.03	0.03	NA	-4.0781*	1	1
Women	Current	2	2014	0.02	0.03	NA	-4.0781*	1	1
Women	Current	2	2015	0.02	0.02	NA	-4.0781*	1	1
Women	Current	2	2016	0.02	0.02	NA	-4.0781*	1	1
Women	Current	2	2017	0.03	0.02	NA	-4.0781*	1	1
Women	Current	2	2018	0.02	0.02	NA	-4.0781*	1	1
Women	Current	2	2019	0.02	0.02	NA	-4.0781*	1	1
Women	Current	3	2001	0.05	0.05	NA	-3.1250*	0	0
Women	Current	3	2002	0.04	0.05	NA	-3.1250*	0	0
Women	Current	3	2003	0.05	0.04	NA	-3.1250*	0	0
Women	Current	3	2004	0.04	0.04	NA	-3.1250*	0	0
Women	Current	3	2005	0.04	0.04	NA	-3.1250*	0	0
Women	Current	3	2006	0.04	0.04	NA	-3.1250*	0	0
Women	Current	3	2007	0.04	0.04	NA	-3.1250*	0	0
Women	Current	3	2008	0.04	0.04	NA	-3.1250*	0	0
Women	Current	3	2009	0.05	0.04	NA	-3.1250*	0	0
Women	Current	3	2010	0.04	0.04	NA	-3.1250*	0	0
Women	Current	3	2011	0.04	0.03	NA	-3.1250*	0	0
Women	Current	3	2012	0.03	0.03	NA	-3.1250*	0	0
Women	Current	3	2013	0.04	0.03	NA	-3.1250*	0	0
Women	Current	3	2014	0.03	0.03	NA	-3.1250*	0	0
Women	Current	3	2015	0.03	0.03	NA	-3.1250*	0	0
Women	Current	3	2016	0.03	0.03	NA	-3.1250*	0	0
Women	Current	3	2017	0.03	0.03	NA	-3.1250*	0	0
Women	Current	3	2018	0.03	0.03	NA	-3.1250*	0	0
Women	Current	3	2019	0.02	0.03	NA	-3.1250*	0	0
Women	Current	4	2001	0.06	0.06	NA	-4.2113*	1	1
Women	Current	4	2002	0.06	0.06	NA	-4.2113*	1	1
Women	Current	4	2003	0.07	0.06	NA	-4.2113*	1	1
Women	Current	4	2004	0.06	0.06	NA	-4.2113*	1	1
Women	Current	4	2005	0.06	0.05	NA	-4.2113*	1	1
Women	Current	4	2006	0.05	0.05	NA	-4.2113*	1	1
Women	Current	4	2007	0.05	0.05	NA	-4.2113*	1	1
Women	Current	4	2008	0.05	0.05	NA	-4.2113*	1	1
Women	Current	4	2009	0.05	0.05	NA	-4.2113*	1	1
Women	Current	4	2010	0.04	0.04	NA	-4.2113*	1	1
Women	Current	4	2011	0.04	0.04	Joinpoint 1	NA	1	1
Women	Current	4	2012	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2013	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2014	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2015	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2016	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2017	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2018	0.04	0.04	NA	-1.3971	1	1
Women	Current	4	2019	0.04	0.04	NA	-1.3971	1	1
Women	Current	5	2001	0.09	0.09	NA	-13.5169*	1	1
Women	Current	5	2002	0.09	0.08	NA	-13.5169*	1	1
Women	Current	5	2003	0.06	0.07	NA	-13.5169*	1	1
Women	Current	5	2004	0.06	0.06	Joinpoint 1	NA	1	1
Women	Current	5	2005	0.06	0.06	NA	-1.2965*	1	1
Women	Current	5	2006	0.06	0.06	NA	-1.2965*	1	1
Women	Current	5	2007	0.06	0.06	NA	-1.2965*	1	1
Women	Current	5	2008	0.06	0.06	NA	-1.2965*	1	1
Women	Current	5	2009	0.05	0.06	NA	-1.2965*	1	1
Women	Current	5	2010	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2011	0.06	0.05	NA	-1.2965*	1	1
Women	Current	5	2012	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2013	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2014	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2015	0.06	0.05	NA	-1.2965*	1	1
Women	Current	5	2016	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2017	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2018	0.05	0.05	NA	-1.2965*	1	1
Women	Current	5	2019	0.05	0.05	NA	-1.2965*	1	1
Women	Current	All	1995	0.26	0.27	NA	-1.2322	0	0
Women	Current	All	1996	0.27	0.27	NA	-1.2322	0	0
Women	Current	All	1997	0.26	0.26	NA	-1.2322	0	0
Women	Current	All	1998	0.27	0.26	NA	-1.2322	0	0
Women	Current	All	1999	0.26	0.26	NA	-1.2322	0	0
Women	Current	All	2000	0.25	0.25	NA	-1.2322	0	0
Men	Healthy Weight	1	2001	0.04	0.04	NA	18.9953	1	1
Men	Healthy Weight	1	2002	0.05	0.05	NA	18.9953	1	1
Men	Healthy Weight	1	2003	0.06	0.06	Joinpoint 1	NA	1	1
Men	Healthy Weight	1	2004	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2005	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2006	0.05	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2007	0.07	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2008	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2009	0.05	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2010	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2011	0.05	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2012	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2013	0.05	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2014	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2015	0.06	0.06	NA	-0.8059	1	1
Men	Healthy Weight	1	2016	0.05	0.05	NA	-0.8059	1	1
Men	Healthy Weight	1	2017	0.06	0.05	NA	-0.8059	1	1
Men	Healthy Weight	1	2018	0.05	0.05	NA	-0.8059	1	1
Men	Healthy Weight	1	2019	0.06	0.05	NA	-0.8059	1	1
Men	Healthy Weight	2	2001	0.04	0.04	NA	17.2963	1	1
Men	Healthy Weight	2	2002	0.05	0.05	NA	17.2963	1	1
Men	Healthy Weight	2	2003	0.06	0.06	Joinpoint 1	NA	1	1
Men	Healthy Weight	2	2004	0.06	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2005	0.07	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2006	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2007	0.06	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2008	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2009	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2010	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2011	0.06	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2012	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2013	0.07	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2014	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2015	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2016	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2017	0.07	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2018	0.06	0.06	NA	-0.1499	1	1
Men	Healthy Weight	2	2019	0.05	0.06	NA	-0.1499	1	1
Men	Healthy Weight	3	2001	0.05	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2002	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2003	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2004	0.05	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2005	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2006	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2007	0.07	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2008	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2009	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2010	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2011	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2012	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2013	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2014	0.05	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2015	0.06	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2016	0.07	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2017	0.07	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2018	0.07	0.06	NA	0.3499	0	0
Men	Healthy Weight	3	2019	0.05	0.06	NA	0.3499	0	0
Men	Healthy Weight	4	2001	0.06	0.07	NA	-0.4659	0	0
Men	Healthy Weight	4	2002	0.07	0.07	NA	-0.4659	0	0
Men	Healthy Weight	4	2003	0.06	0.07	NA	-0.4659	0	0
Men	Healthy Weight	4	2004	0.07	0.07	NA	-0.4659	0	0
Men	Healthy Weight	4	2005	0.07	0.07	NA	-0.4659	0	0
Men	Healthy Weight	4	2006	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2007	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2008	0.07	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2009	0.08	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2010	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2011	0.07	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2012	0.07	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2013	0.07	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2014	0.07	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2015	0.05	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2016	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2017	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2018	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	4	2019	0.06	0.06	NA	-0.4659	0	0
Men	Healthy Weight	5	2001	0.09	0.10	NA	-22.7629	1	1
Men	Healthy Weight	5	2002	0.08	0.07	NA	-22.7629	1	1
Men	Healthy Weight	5	2003	0.06	0.06	Joinpoint 1	NA	1	1
Men	Healthy Weight	5	2004	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2005	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2006	0.06	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2007	0.06	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2008	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2009	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2010	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2011	0.07	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2012	0.06	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2013	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2014	0.06	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2015	0.06	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2016	0.06	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2017	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2018	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	5	2019	0.05	0.06	NA	-0.1437	1	1
Men	Healthy Weight	All	1997	0.35	0.35	NA	-3.5187	0	0
Men	Healthy Weight	All	1998	0.34	0.34	NA	-3.5187	0	0
Men	Healthy Weight	All	1999	0.34	0.33	NA	-3.5187	0	0
Men	Healthy Weight	All	2000	0.31	0.31	NA	-3.5187	0	0
Women	Healthy Weight	1	2001	0.07	0.07	NA	15.4699	1	1
Women	Healthy Weight	1	2002	0.07	0.08	NA	15.4699	1	1
Women	Healthy Weight	1	2003	0.10	0.09	Joinpoint 1	NA	1	1
Women	Healthy Weight	1	2004	0.10	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2005	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2006	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2007	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2008	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2009	0.08	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2010	0.10	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2011	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2012	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2013	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2014	0.10	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2015	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2016	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2017	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2018	0.08	0.09	NA	-0.4904	1	1
Women	Healthy Weight	1	2019	0.09	0.09	NA	-0.4904	1	1
Women	Healthy Weight	2	2001	0.06	0.06	NA	7.6674*	1	1
Women	Healthy Weight	2	2002	0.07	0.07	NA	7.6674*	1	1
Women	Healthy Weight	2	2003	0.08	0.07	NA	7.6674*	1	1
Women	Healthy Weight	2	2004	0.08	0.08	NA	7.6674*	1	1
Women	Healthy Weight	2	2005	0.08	0.09	NA	7.6674*	1	1
Women	Healthy Weight	2	2006	0.09	0.09	Joinpoint 1	NA	1	1
Women	Healthy Weight	2	2007	0.09	0.09	NA	-1.2516*	1	1
Women	Healthy Weight	2	2008	0.08	0.09	NA	-1.2516*	1	1
Women	Healthy Weight	2	2009	0.10	0.09	NA	-1.2516*	1	1
Women	Healthy Weight	2	2010	0.08	0.09	NA	-1.2516*	1	1
Women	Healthy Weight	2	2011	0.09	0.09	NA	-1.2516*	1	1
Women	Healthy Weight	2	2012	0.09	0.09	NA	-1.2516*	1	1
Women	Healthy Weight	2	2013	0.09	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	2	2014	0.08	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	2	2015	0.08	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	2	2016	0.09	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	2	2017	0.09	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	2	2018	0.08	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	2	2019	0.08	0.08	NA	-1.2516*	1	1
Women	Healthy Weight	3	2001	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2002	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2003	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2004	0.07	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2005	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2006	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2007	0.09	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2008	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2009	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2010	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2011	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2012	0.08	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2013	0.09	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2014	0.07	0.08	NA	-0.7406*	0	0
Women	Healthy Weight	3	2015	0.07	0.07	NA	-0.7406*	0	0
Women	Healthy Weight	3	2016	0.09	0.07	NA	-0.7406*	0	0
Women	Healthy Weight	3	2017	0.07	0.07	NA	-0.7406*	0	0
Women	Healthy Weight	3	2018	0.07	0.07	NA	-0.7406*	0	0
Women	Healthy Weight	3	2019	0.07	0.07	NA	-0.7406*	0	0
Women	Healthy Weight	4	2001	0.08	0.09	NA	-2.8337*	1	1
Women	Healthy Weight	4	2002	0.08	0.08	NA	-2.8337*	1	1
Women	Healthy Weight	4	2003	0.08	0.08	NA	-2.8337*	1	1
Women	Healthy Weight	4	2004	0.08	0.08	NA	-2.8337*	1	1
Women	Healthy Weight	4	2005	0.08	0.08	NA	-2.8337*	1	1
Women	Healthy Weight	4	2006	0.08	0.08	NA	-2.8337*	1	1
Women	Healthy Weight	4	2007	0.06	0.07	NA	-2.8337*	1	1
Women	Healthy Weight	4	2008	0.08	0.07	NA	-2.8337*	1	1
Women	Healthy Weight	4	2009	0.07	0.07	NA	-2.8337*	1	1
Women	Healthy Weight	4	2010	0.06	0.07	Joinpoint 1	NA	1	1
Women	Healthy Weight	4	2011	0.06	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2012	0.07	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2013	0.08	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2014	0.08	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2015	0.07	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2016	0.07	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2017	0.06	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2018	0.08	0.07	NA	1.2343	1	1
Women	Healthy Weight	4	2019	0.08	0.07	NA	1.2343	1	1
Women	Healthy Weight	5	2001	0.10	0.11	NA	-23.0036*	1	1
Women	Healthy Weight	5	2002	0.10	0.09	NA	-23.0036*	1	1
Women	Healthy Weight	5	2003	0.06	0.07	Joinpoint 1	NA	1	1
Women	Healthy Weight	5	2004	0.06	0.07	NA	-0.8613	1	1
Women	Healthy Weight	5	2005	0.07	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2006	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2007	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2008	0.07	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2009	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2010	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2011	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2012	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2013	0.05	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2014	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2015	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2016	0.07	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2017	0.05	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2018	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	5	2019	0.06	0.06	NA	-0.8613	1	1
Women	Healthy Weight	All	1997	0.44	0.44	NA	-1.5629*	0	0
