"sex"	"exposure"	"imd"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Women	Healthy Weight	5	1	0	2001	2003	-23.0036	-38.5823	-3.4734	1	-2.4802	0.026460
Women	Healthy Weight	5	1	1	2003	2019	-0.8613	-1.7171	0.0018	0	-2.1402	0.050426
Women	Healthy Weight	All	0	0	1997	2000	-1.5629	-2.7441	-0.3673	1	-5.6140	0.030295
Men	Heavy Drinker	1	0	0	2011	2019	-3.2192	-7.4115	1.1629	0	-1.7472	0.124090
Men	Heavy Drinker	2	1	0	2011	2017	-4.4997	-7.7173	-1.1699	1	-3.7298	0.020300
Men	Heavy Drinker	2	1	1	2017	2019	11.9006	-8.6359	37.0533	0	1.5397	0.198474
Men	Heavy Drinker	3	0	0	2011	2019	-1.6772	-5.8100	2.6368	0	-0.9314	0.382633
Men	Heavy Drinker	4	0	0	2011	2019	-1.4718	-5.9866	3.2598	0	-0.7475	0.479113
Men	Heavy Drinker	5	0	0	2011	2019	-0.6236	-6.8633	6.0342	0	-0.2281	0.826090
Women	Heavy Drinker	1	1	0	2011	2013	-34.1513	-66.2045	28.3025	0	-1.7391	0.157005
Women	Heavy Drinker	1	1	1	2013	2019	5.5858	-5.6723	18.1876	0	1.3385	0.251756
Women	Heavy Drinker	2	0	0	2011	2019	0.2898	-8.6693	10.1278	0	0.0731	0.943750
Women	Heavy Drinker	3	0	0	2011	2019	1.0316	-6.8943	9.6323	0	0.2971	0.775044
Women	Heavy Drinker	4	0	0	2011	2019	1.3287	-7.4938	10.9926	0	0.3426	0.741935
Women	Heavy Drinker	5	0	0	2011	2019	-4.5302	-12.6382	4.3302	0	-1.2352	0.256601
Men	Light Drinker	1	0	0	2011	2019	0.2603	-1.8406	2.4061	0	0.2902	0.780056
Men	Light Drinker	2	0	0	2011	2019	-0.2035	-3.1591	2.8423	0	-0.1602	0.877229
Men	Light Drinker	3	0	0	2011	2019	0.7541	-1.0550	2.5964	0	0.9805	0.359506
Men	Light Drinker	4	0	0	2011	2019	2.0350	0.8107	3.2742	1	3.9462	0.005559
Men	Light Drinker	5	0	0	2011	2019	1.9978	-0.3009	4.3494	0	2.0520	0.079295
Women	Light Drinker	1	0	0	2011	2019	-0.8570	-1.7785	0.0731	0	-2.1796	0.065684
Women	Light Drinker	2	0	0	2011	2019	-0.4323	-1.9940	1.1543	0	-0.6480	0.537651
Women	Light Drinker	3	0	0	2011	2019	-0.6114	-2.2128	1.0162	0	-0.8928	0.401630
Women	Light Drinker	4	0	0	2011	2019	1.4362	0.0351	2.8570	1	2.4242	0.045806
Women	Light Drinker	5	1	0	2011	2015	4.3315	-0.4379	9.3294	0	2.5160	0.065634
Women	Light Drinker	5	1	1	2015	2019	-0.7143	-5.2531	4.0418	0	-0.4254	0.692449
Men	Meets Recommendations	1	0	0	2003	2012	2.8267	-0.0164	5.7507	0	3.1638	0.050722
Men	Meets Recommendations	2	0	0	2003	2012	1.9288	-1.3161	5.2804	0	1.8792	0.156817
Men	Meets Recommendations	3	0	0	2003	2012	2.3048	-1.1417	5.8714	0	2.1161	0.124640
Men	Meets Recommendations	4	0	0	2003	2012	1.3783	-2.1267	5.0089	0	1.2381	0.303729
Men	Meets Recommendations	5	0	0	2003	2012	0.6405	-3.4430	4.8968	0	0.4905	0.657389
Women	Meets Recommendations	1	0	0	2003	2012	4.2616	1.7829	6.8008	1	5.5197	0.011712
Women	Meets Recommendations	2	0	0	2003	2012	3.9799	-0.6056	8.7770	0	2.7539	0.070514
Women	Meets Recommendations	3	0	0	2003	2012	2.8530	-2.1475	8.1091	0	1.7963	0.170315
Women	Meets Recommendations	4	0	0	2003	2012	2.8489	-1.2019	7.0659	0	2.2248	0.112542
Women	Meets Recommendations	5	0	0	2003	2012	2.5970	-2.3126	7.7533	0	1.6639	0.194716
Men	Moderate Drinker	1	0	0	2011	2019	-2.4357	-4.8861	0.0779	0	-2.2923	0.055623
Men	Moderate Drinker	2	0	0	2011	2019	-1.5042	-3.5465	0.5813	0	-1.7105	0.130924
Men	Moderate Drinker	3	0	0	2011	2019	-1.4708	-2.7926	-0.1311	1	-2.5942	0.035723
Men	Moderate Drinker	4	0	0	2011	2019	-1.3129	-3.4678	0.8901	0	-1.4155	0.199832
Men	Moderate Drinker	5	0	0	2011	2019	-2.0513	-4.4809	0.4400	0	-1.9513	0.091995
Women	Moderate Drinker	1	0	0	2011	2019	-2.1302	-4.7165	0.5262	0	-1.9012	0.099028
Women	Moderate Drinker	2	1	0	2011	2017	-5.4290	-7.8320	-2.9633	1	-6.0214	0.003832
Women	Moderate Drinker	2	1	1	2017	2019	12.8510	-3.0882	31.4117	0	2.2045	0.092193
Women	Moderate Drinker	3	0	0	2011	2019	-1.8890	-4.3376	0.6222	0	-1.7843	0.117556
Women	Moderate Drinker	4	0	0	2011	2019	-1.4170	-5.2338	2.5537	0	-0.8546	0.421057
Women	Moderate Drinker	5	0	0	2011	2019	0.4445	-3.3000	4.3340	0	0.2760	0.790491
Men	Never	1	1	0	2001	2003	24.1601	3.3244	49.1974	1	2.5266	0.024189
Men	Never	1	1	1	2003	2019	0.1276	-0.5753	0.8355	0	0.3883	0.703643
Men	Never	2	1	0	2001	2003	24.0125	-0.4538	54.4920	0	2.1004	0.054293
Men	Never	2	1	1	2003	2019	0.9431	0.0960	1.7974	1	2.3889	0.031533
Men	Never	3	0	0	2001	2019	1.7310	1.2027	2.2620	1	6.9545	0.000002
Men	Never	4	1	0	2001	2011	-0.3427	-1.6703	1.0029	0	-0.5490	0.591668
Men	Never	4	1	1	2011	2019	3.2281	1.3059	5.1868	1	3.6252	0.002757
Men	Never	5	1	0	2001	2003	-22.0974	-38.1925	-1.8112	1	-2.3142	0.036359
Men	Never	5	1	1	2003	2019	1.7162	0.8175	2.6230	1	4.1122	0.001057
Men	Never	All	0	0	1995	2000	1.5218	0.6622	2.3888	1	4.9315	0.007864
Women	Never	1	1	0	2001	2003	21.2323	3.1404	42.4977	1	2.5551	0.022889
Women	Never	1	1	1	2003	2019	0.3838	-0.2364	1.0079	0	1.3256	0.206192
Women	Never	2	1	0	2001	2004	16.3880	8.9348	24.3511	1	4.9183	0.000226
Women	Never	2	1	1	2004	2019	0.1430	-0.4156	0.7047	0	0.5479	0.592378
Women	Never	3	0	0	2001	2019	1.1346	0.5611	1.7114	1	4.1855	0.000621
Women	Never	4	1	0	2001	2016	0.0019	-0.6333	0.6412	0	0.0065	0.994874
Women	Never	4	1	1	2016	2019	6.8352	-0.9238	15.2018	0	1.8808	0.080966
Women	Never	5	1	0	2001	2003	-24.8390	-37.7396	-9.2653	1	-3.2522	0.005787
Women	Never	5	1	1	2003	2019	1.6418	0.9105	2.3784	1	4.8367	0.000264
Women	Never	All	0	0	1995	2000	1.0842	-0.4940	2.6875	0	1.9027	0.129841
Men	Non-Drinker	1	0	0	2011	2019	1.0966	-2.3035	4.6151	0	0.7538	0.475527
Men	Non-Drinker	2	0	0	2011	2019	-0.9040	-4.3378	2.6530	0	-0.6089	0.561813
Men	Non-Drinker	3	0	0	2011	2019	4.9056	2.6801	7.1793	1	5.2813	0.001146
Men	Non-Drinker	4	0	0	2011	2019	4.1280	0.2770	8.1270	1	2.5382	0.038768
Men	Non-Drinker	5	0	0	2011	2019	-0.1186	-4.1025	4.0309	0	-0.0689	0.946970
Women	Non-Drinker	1	0	0	2011	2019	2.0314	-1.3717	5.5519	0	1.4018	0.203718
Women	Non-Drinker	2	0	0	2011	2019	-1.1235	-4.8369	2.7349	0	-0.6979	0.507750
Women	Non-Drinker	3	0	0	2011	2019	1.3037	-0.9419	3.6002	0	1.3663	0.214099
Women	Non-Drinker	4	0	0	2011	2019	1.6538	-1.2424	4.6350	0	1.3419	0.221521
Women	Non-Drinker	5	0	0	2011	2019	0.8715	-1.3125	3.1037	0	0.9374	0.379775
Men	Obese	1	1	0	2001	2003	24.4081	-9.7070	71.4128	0	1.4615	0.165965
Men	Obese	1	1	1	2003	2019	-0.0571	-1.2779	1.1789	0	-0.0996	0.922058
Men	Obese	2	1	0	2001	2004	13.1919	3.2308	24.1142	1	2.8851	0.011990
Men	Obese	2	1	1	2004	2019	0.2682	-0.5094	1.0519	0	0.7378	0.472797
Men	Obese	3	1	0	2001	2006	5.8235	0.8512	11.0409	1	2.5225	0.024380
Men	Obese	3	1	1	2006	2019	1.0540	-0.0796	2.2004	0	1.9934	0.066080
Men	Obese	4	0	0	2001	2019	0.6908	-0.0500	1.4371	0	1.9670	0.065728
Men	Obese	5	1	0	2001	2003	-26.8280	-43.8690	-4.6134	1	-2.5269	0.024177
Men	Obese	5	1	1	2003	2019	3.0534	2.0109	4.1065	1	6.3449	0.000018
Men	Obese	All	0	0	1997	2000	7.7136	1.5735	14.2249	1	5.4471	0.032089
Women	Obese	1	1	0	2001	2003	23.4378	-12.0564	73.2575	0	1.3321	0.204122
Women	Obese	1	1	1	2003	2019	0.3217	-0.9742	1.6346	0	0.5299	0.604510
Women	Obese	2	1	0	2001	2004	10.1345	-4.4713	26.9735	0	1.4552	0.167666
Women	Obese	2	1	1	2004	2019	0.6041	-0.5984	1.8211	0	1.0742	0.300900
Women	Obese	3	0	0	2001	2019	2.1162	1.4992	2.7370	1	7.2904	0.000001
Women	Obese	4	0	0	2001	2019	0.8433	0.1792	1.5119	1	2.6813	0.015779
Women	Obese	5	1	0	2001	2004	-16.0271	-25.7066	-5.0865	1	-3.0590	0.008496
Women	Obese	5	1	1	2004	2019	3.1152	2.0534	4.1880	1	6.3565	0.000018
Women	Obese	All	0	0	1997	2000	2.2523	-2.3897	7.1150	0	2.0627	0.175230
Men	Overweight	1	1	0	2001	2003	15.6079	-4.4169	39.8281	0	1.6354	0.124241
Men	Overweight	1	1	1	2003	2019	-1.4174	-2.1338	-0.6957	1	-4.1974	0.000895
Men	Overweight	2	1	0	2001	2004	14.2000	1.7848	28.1296	1	2.4745	0.026754
Men	Overweight	2	1	1	2004	2019	-0.8870	-1.8464	0.0818	0	-1.9645	0.069643
Men	Overweight	3	0	0	2001	2019	-0.2435	-0.7811	0.2970	0	-0.9519	0.354466
Men	Overweight	4	2	0	2001	2003	-9.1936	-22.0269	5.7518	0	-1.3931	0.191093
Men	Overweight	4	2	1	2003	2013	-1.6006	-2.9597	-0.2224	1	-2.5533	0.026839
Men	Overweight	4	2	2	2013	2019	2.7808	0.1675	5.4622	1	2.3440	0.038895
Men	Overweight	5	1	0	2001	2004	-20.7842	-31.9854	-7.7383	1	-3.2779	0.005499
Men	Overweight	5	1	1	2004	2019	1.1612	-0.1339	2.4730	0	1.9217	0.075233
Men	Overweight	All	0	0	1997	2000	-0.6322	-3.4994	2.3203	0	-0.9319	0.449757
Women	Overweight	1	1	0	2001	2003	22.5875	-1.3009	52.2577	0	2.0152	0.063500
Women	Overweight	1	1	1	2003	2019	-0.8101	-1.6312	0.0178	0	-2.0989	0.054440
Women	Overweight	2	2	0	2001	2004	21.6665	9.9603	34.6190	1	4.2667	0.001328
Women	Overweight	2	2	1	2004	2007	-7.5668	-24.4982	13.1615	0	-0.8559	0.410288
Women	Overweight	2	2	2	2007	2019	-0.0965	-1.2846	1.1059	0	-0.1776	0.862253
Women	Overweight	3	0	0	2001	2019	0.0234	-0.5354	0.5852	0	0.0880	0.930932
Women	Overweight	4	0	0	2001	2019	-0.8116	-1.4674	-0.1515	1	-2.5922	0.018983
Women	Overweight	5	1	0	2001	2003	-26.9330	-42.6539	-6.9025	1	-2.7780	0.014808
Women	Overweight	5	1	1	2003	2019	0.2381	-0.6889	1.1737	0	0.5490	0.591640
Women	Overweight	All	0	0	1997	2000	1.0597	-1.3408	3.5185	0	1.8866	0.199845
Men	PhysicalActivity	1	0	0	2003	2012	-2.6702	-6.8752	1.7247	0	-1.9503	0.146236
Men	PhysicalActivity	2	0	0	2003	2012	-1.4841	-4.9346	2.0916	0	-1.3347	0.274238
Men	PhysicalActivity	3	0	0	2003	2012	0.0147	-3.6605	3.8301	0	0.0125	0.990795
Men	PhysicalActivity	4	0	0	2003	2012	-2.2761	-4.4711	-0.0306	1	-3.2254	0.048386
Men	PhysicalActivity	5	0	0	2003	2012	1.1857	-0.8479	3.2610	0	1.8477	0.161793
Women	PhysicalActivity	1	0	0	2003	2012	-2.4914	-5.9306	1.0736	0	-2.2360	0.111373
Women	PhysicalActivity	2	0	0	2003	2012	-1.4874	-3.9764	1.0662	0	-1.8636	0.159263
Women	PhysicalActivity	3	0	0	2003	2012	-0.0246	-2.4067	2.4157	0	-0.0325	0.976133
Women	PhysicalActivity	4	0	0	2003	2012	-1.7841	-4.2188	0.7124	0	-2.2824	0.106697
Women	PhysicalActivity	5	0	0	2003	2012	-0.4101	-1.6632	0.8589	0	-1.0330	0.377601
Men	Previously	1	1	0	2001	2003	13.1363	-9.5299	41.4811	0	1.1840	0.256119
Men	Previously	1	1	1	2003	2019	-1.1758	-2.0195	-0.3249	1	-2.9588	0.010363
Men	Previously	2	1	0	2001	2004	9.8406	-2.4517	23.6818	0	1.6962	0.111960
Men	Previously	2	1	1	2004	2019	-1.0547	-2.0422	-0.0572	1	-2.2672	0.039745
Men	Previously	3	0	0	2001	2019	0.2199	-0.4480	0.8922	0	0.6931	0.497608
Men	Previously	4	0	0	2001	2019	-0.6928	-1.3413	-0.0400	1	-2.2387	0.038844
Men	Previously	5	1	0	2001	2004	-25.2309	-35.5244	-13.2940	1	-4.2103	0.000873
Men	Previously	5	1	1	2004	2019	2.2862	1.0138	3.5747	1	3.8729	0.001689
Men	Previously	All	0	0	1995	2000	-0.4498	-1.5849	0.6984	0	-1.0914	0.336432
Women	Previously	1	1	0	2001	2007	5.0048	0.1074	10.1418	1	2.1930	0.045696
Women	Previously	1	1	1	2007	2019	-1.2450	-2.8813	0.4189	0	-1.6081	0.130116
Women	Previously	2	1	0	2001	2004	12.1501	0.7458	24.8455	1	2.2934	0.037821
Women	Previously	2	1	1	2004	2019	-0.2948	-1.1944	0.6130	0	-0.6986	0.496231
Women	Previously	3	1	0	2001	2017	1.6197	0.8718	2.3732	1	4.6650	0.000365
Women	Previously	3	1	1	2017	2019	-9.3449	-25.2291	9.9137	0	-1.0923	0.293126
Women	Previously	4	0	0	2001	2019	0.2016	-0.7504	1.1627	0	0.4452	0.661817
Women	Previously	5	1	0	2001	2003	-29.4749	-48.2704	-3.8502	1	-2.4165	0.029909
Women	Previously	5	1	1	2003	2019	1.3453	0.1479	2.5571	1	2.4115	0.030197
Women	Previously	All	0	0	1995	2000	-1.1911	-3.5009	1.1740	0	-1.4065	0.232304
Men	Underweight	1	0	0	2001	2019	0.8318	-4.0986	6.0157	0	0.3486	0.731659
Men	Underweight	2	0	0	2001	2019	4.9194	-0.5660	10.7075	0	1.8958	0.076193
Men	Underweight	3	0	0	2001	2019	-2.3921	-7.7257	3.2498	0	-0.9091	0.376029
Men	Underweight	4	0	0	2001	2019	2.8928	-0.8557	6.7829	0	1.6213	0.123362
Men	Underweight	5	0	0	2001	2019	-1.2750	-4.6744	2.2457	0	-0.7726	0.450370
Men	Underweight	All	0	0	1997	2000	0.0854	-32.4949	48.3900	0	0.0093	0.993408
Women	Underweight	1	0	0	2001	2019	0.6914	-3.2239	4.7650	0	0.3665	0.718496
Women	Underweight	2	0	0	2001	2019	0.6953	-2.2039	3.6804	0	0.5004	0.623224
Women	Underweight	3	0	0	2001	2019	0.8900	-1.5848	3.4271	0	0.7527	0.461904
Women	Underweight	4	0	0	2001	2019	1.5957	-2.2821	5.6275	0	0.8583	0.402681
Women	Underweight	5	0	0	2001	2019	-0.8475	-2.7819	1.1254	0	-0.9114	0.374810
Women	Underweight	All	0	0	1997	2000	-9.2773	-25.1793	10.0045	0	-2.1738	0.161778
