"sex"	"age_group"	"cancer_site"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Men	50-64	Colorectum	2	0	2001	2011	1.6562	1.1440	2.1711	1	7.1569	0.000019
Men	50-64	Colorectum	2	1	2011	2015	-2.6865	-5.7932	0.5226	0	-1.8474	0.091742
Men	50-64	Colorectum	2	2	2015	2019	1.7910	-0.2765	3.9013	0	1.9040	0.083387
Men	50-64	Gallbladder	2	0	2001	2008	4.8592	2.3998	7.3777	1	4.4002	0.001063
Men	50-64	Gallbladder	2	1	2008	2017	-1.8295	-3.7136	0.0915	0	-2.0971	0.059898
Men	50-64	Gallbladder	2	2	2017	2019	14.3555	-4.2537	36.5815	0	1.6623	0.124650
Men	50-64	Hodgkin Lymphoma	0	0	2001	2019	1.8451	1.1313	2.5639	1	5.4845	0.000040
Men	50-64	Kidney	1	0	2001	2014	4.0457	3.6765	4.4161	1	23.9333	0.000000
Men	50-64	Kidney	1	1	2014	2019	1.5272	-0.0005	3.0784	0	2.1440	0.050071
Men	50-64	Larynx	1	0	2001	2009	-0.8089	-2.2371	0.6402	0	-1.2011	0.249655
Men	50-64	Larynx	1	1	2009	2019	-3.5730	-4.5657	-2.5699	1	-7.5409	0.000003
Men	50-64	Leukaemia	1	0	2001	2015	2.1124	1.5567	2.6711	1	8.2162	0.000001
Men	50-64	Leukaemia	1	1	2015	2019	-4.7023	-8.1463	-1.1293	1	-2.8065	0.013999
Men	50-64	Liver	1	0	2001	2014	6.6851	5.7927	7.5851	1	16.5222	0.000000
Men	50-64	Liver	1	1	2014	2019	-0.8106	-4.3023	2.8085	0	-0.4871	0.633725
Men	50-64	Lung	1	0	2001	2011	-1.1575	-1.5168	-0.7970	1	-6.8577	0.000008
Men	50-64	Lung	1	1	2011	2019	-2.7879	-3.2827	-2.2905	1	-11.8826	0.000000
Men	50-64	Melanoma	1	0	2001	2010	5.5227	4.6353	6.4175	1	13.6532	0.000000
Men	50-64	Melanoma	1	1	2010	2019	1.2821	0.4304	2.1410	1	3.2357	0.005981
Men	50-64	MultipleMyeloma	0	0	2001	2019	2.6470	2.0999	3.1970	1	10.3149	0.000000
Men	50-64	Non-Hodgkin Lymphoma	1	0	2001	2011	1.8976	1.2260	2.5737	1	6.0971	0.000028
Men	50-64	Non-Hodgkin Lymphoma	1	1	2011	2019	-1.9816	-2.8859	-1.0690	1	-4.6320	0.000388
Men	50-64	Oesophagus	2	0	2001	2003	-1.0458	-6.3750	4.5866	0	-0.4180	0.683990
Men	50-64	Oesophagus	2	1	2003	2008	3.5237	1.7272	5.3520	1	4.3540	0.001148
Men	50-64	Oesophagus	2	2	2008	2019	-1.4067	-1.7739	-1.0380	1	-8.3541	0.000004
Men	50-64	Oral	1	0	2001	2013	4.1953	3.6532	4.7401	1	16.9000	0.000000
Men	50-64	Oral	1	1	2013	2019	1.0880	-0.4079	2.6064	0	1.5567	0.141846
Men	50-64	Pancreas	1	0	2001	2006	2.9514	0.8713	5.0744	1	3.0564	0.008541
Men	50-64	Pancreas	1	1	2006	2019	0.0903	-0.3875	0.5703	0	0.4044	0.691997
Men	50-64	Prostate	2	0	2001	2009	5.5799	3.8870	7.3003	1	7.3936	0.000014
Men	50-64	Prostate	2	1	2009	2016	-0.1331	-2.6028	2.3992	0	-0.1171	0.908901
Men	50-64	Prostate	2	2	2016	2019	6.4476	-1.1522	14.6318	0	1.8566	0.090327
Men	50-64	Stomach	1	0	2001	2017	-3.5479	-4.0354	-3.0580	1	-15.2908	0.000000
Men	50-64	Stomach	1	1	2017	2019	5.5056	-7.5532	20.4091	0	0.8700	0.398998
Men	50-64	Testis	0	0	2001	2019	2.4252	1.4971	3.3618	1	5.5540	0.000035
Men	50-64	Thyroid	1	0	2001	2014	7.5027	6.1393	8.8836	1	12.1571	0.000000
Men	50-64	Thyroid	1	1	2014	2019	2.1911	-3.2245	7.9097	0	0.8537	0.407624
Men	65+	Bladder	3	0	2001	2003	-3.3390	-8.4780	2.0886	0	-1.4335	0.189626
Men	65+	Bladder	3	1	2003	2009	0.3315	-0.8867	1.5647	0	0.6248	0.549509
Men	65+	Bladder	3	2	2009	2016	-2.6540	-3.5488	-1.7509	1	-6.7171	0.000150
Men	65+	Bladder	3	3	2016	2019	-0.1009	-2.7927	2.6655	0	-0.0852	0.934195
Men	65+	Brain and CNS	1	0	2001	2013	0.9905	0.5059	1.4774	1	4.3951	0.000611
Men	65+	Brain and CNS	1	1	2013	2019	-0.6130	-1.9701	0.7629	0	-0.9592	0.353718
Men	65+	Colorectum	2	0	2001	2010	1.2109	0.8454	1.5778	1	7.3227	0.000015
Men	65+	Colorectum	2	1	2010	2014	-3.2368	-5.1354	-1.3003	1	-3.6547	0.003789
Men	65+	Colorectum	2	2	2014	2019	-0.5999	-1.4769	0.2849	0	-1.4944	0.163193
Men	65+	Gallbladder	0	0	2001	2019	3.0358	2.4123	3.6631	1	10.3948	0.000000
Men	65+	Hodgkin Lymphoma	1	0	2001	2014	3.7216	2.6030	4.8523	1	7.2280	0.000004
Men	65+	Hodgkin Lymphoma	1	1	2014	2019	-1.1398	-5.6086	3.5404	0	-0.5316	0.603366
Men	65+	Kidney	1	0	2001	2014	3.7067	3.0639	4.3534	1	12.5565	0.000000
Men	65+	Kidney	1	1	2014	2019	-0.2886	-2.8984	2.3913	0	-0.2337	0.818596
Men	65+	Larynx	1	0	2001	2013	-0.2648	-0.8533	0.3271	0	-0.9610	0.352835
Men	65+	Larynx	1	1	2013	2019	-2.8380	-4.4678	-1.1804	1	-3.6502	0.002624
Men	65+	Leukaemia	1	0	2001	2015	2.1681	1.5836	2.7559	1	8.0181	0.000001
Men	65+	Leukaemia	1	1	2015	2019	-4.8438	-8.4561	-1.0890	1	-2.7516	0.015596
Men	65+	Liver	1	0	2001	2013	5.5938	4.9742	6.2170	1	19.8377	0.000000
Men	65+	Liver	1	1	2013	2019	2.6996	0.9864	4.4418	1	3.3963	0.004345
Men	65+	Lung	2	0	2001	2003	-3.4067	-6.5738	-0.1322	1	-2.2883	0.042905
Men	65+	Lung	2	1	2003	2008	0.1496	-0.9006	1.2110	0	0.3122	0.760739
Men	65+	Lung	2	2	2008	2019	-1.1708	-1.3927	-0.9485	1	-11.5330	0.000000
Men	65+	Melanoma	2	0	2001	2008	9.1079	8.2581	9.9643	1	24.5380	0.000000
Men	65+	Melanoma	2	1	2008	2014	5.6200	4.2471	7.0109	1	9.1985	0.000002
Men	65+	Melanoma	2	2	2014	2019	2.6720	1.3375	4.0241	1	4.4361	0.001001
Men	65+	MultipleMyeloma	0	0	2001	2019	2.6798	2.2573	3.1041	1	13.5310	0.000000
Men	65+	Non-Hodgkin Lymphoma	1	0	2001	2011	2.8766	2.4109	3.3444	1	13.4076	0.000000
Men	65+	Non-Hodgkin Lymphoma	1	1	2011	2019	-0.3827	-1.0141	0.2527	0	-1.2935	0.216783
Men	65+	Oesophagus	0	0	2001	2019	0.4091	0.2533	0.5652	1	5.5458	0.000036
Men	65+	Oral	0	0	2001	2019	2.8575	2.4569	3.2597	1	15.2315	0.000000
Men	65+	Pancreas	0	0	2001	2019	1.2664	1.0677	1.4655	1	13.5193	0.000000
Men	65+	Prostate	0	0	2001	2019	0.5663	0.2551	0.8785	1	3.8435	0.001302
Men	65+	Stomach	0	0	2001	2019	-3.9134	-4.1773	-3.6488	1	-30.6254	0.000000
Men	65+	Testis	0	0	2001	2019	1.0507	0.0940	2.0166	1	2.3182	0.033162
Men	65+	Thyroid	0	0	2001	2019	4.5066	3.7473	5.2714	1	12.7542	0.000000
Women	20-34	Bladder	0	0	2001	2019	-2.5527	-5.6861	0.6847	0	-1.6693	0.113369
Women	20-34	Brain and CNS	0	0	2001	2019	2.0850	1.0269	3.1541	1	4.1787	0.000630
Women	20-34	Breast	1	0	2001	2007	-2.3237	-3.8641	-0.7586	1	-3.1722	0.006785
Women	20-34	Breast	1	1	2007	2019	2.7548	2.1850	3.3278	1	10.4813	0.000000
Women	20-34	Cervix	1	0	2001	2014	3.8318	2.6353	5.0423	1	6.9582	0.000007
Women	20-34	Cervix	1	1	2014	2019	-3.7784	-8.4205	1.0990	0	-1.6707	0.116978
Women	20-34	Colorectum	1	0	2001	2016	8.2407	6.6754	9.8290	1	11.6592	0.000000
Women	20-34	Colorectum	1	1	2016	2019	-17.9100	-30.9068	-2.4684	1	-2.4558	0.027732
Women	20-34	Endometrium	1	0	2001	2003	38.4928	-19.9002	139.4544	0	1.2756	0.222858
Women	20-34	Endometrium	1	1	2003	2019	4.4852	2.3142	6.7024	1	4.4817	0.000517
Women	20-34	Hodgkin Lymphoma	0	0	2001	2019	1.5904	1.0813	2.1020	1	6.6268	0.000004
Women	20-34	Kidney	0	0	2001	2019	3.5719	2.3080	4.8514	1	6.0306	0.000014
Women	20-34	Leukaemia	0	0	2001	2019	1.4689	0.5303	2.4163	1	3.3105	0.004135
Women	20-34	Liver	0	0	2001	2019	4.0110	0.5449	7.5966	1	2.4481	0.025510
Women	20-34	Lung	0	0	2001	2019	2.2289	0.3330	4.1607	1	2.4845	0.023687
Women	20-34	Melanoma	0	0	2001	2019	0.4140	-0.1503	0.9815	0	1.5467	0.140359
Women	20-34	Non-Hodgkin Lymphoma	1	0	2001	2003	-11.5525	-30.1823	12.0482	0	-1.1132	0.284367
Women	20-34	Non-Hodgkin Lymphoma	1	1	2003	2019	2.0080	1.0869	2.9374	1	4.7012	0.000340
Women	20-34	Oral	1	0	2001	2011	4.3498	1.7720	6.9929	1	3.6509	0.002620
Women	20-34	Oral	1	1	2011	2019	-2.5255	-5.8835	0.9522	0	-1.5650	0.139908
Women	20-34	Ovary	0	0	2001	2019	2.7523	2.1361	3.3722	1	9.5237	0.000000
Women	20-34	Pancreas	0	0	2001	2019	6.0949	3.6378	8.6102	1	5.3271	0.000056
Women	20-34	Stomach	0	0	2001	2019	2.8675	0.6609	5.1226	1	2.7507	0.013647
Women	20-34	Thyroid	1	0	2001	2016	5.8416	5.2969	6.3891	1	23.6008	0.000000
Women	20-34	Thyroid	1	1	2016	2019	0.9984	-4.9829	7.3562	0	0.3490	0.732260
Women	35-49	Bladder	0	0	2001	2019	-0.3699	-1.6539	0.9309	0	-0.6028	0.554617
Women	35-49	Brain and CNS	0	0	2001	2019	1.3415	0.6496	2.0382	1	4.1037	0.000741
Women	35-49	Breast	2	0	2001	2007	1.1662	0.3525	1.9865	1	3.1601	0.009077
Women	35-49	Breast	2	1	2007	2013	2.4873	1.3983	3.5880	1	5.0620	0.000365
Women	35-49	Breast	2	2	2013	2019	-0.7721	-1.5702	0.0324	0	-2.1127	0.058304
Women	35-49	Cervix	1	0	2001	2003	-6.9098	-22.2311	11.4299	0	-0.8540	0.407489
Women	35-49	Cervix	1	1	2003	2019	1.1526	0.4575	1.8526	1	3.5644	0.003111
Women	35-49	Colorectum	1	0	2001	2003	-2.4577	-11.9333	8.0375	0	-0.5223	0.609658
Women	35-49	Colorectum	1	1	2003	2019	3.4573	3.0527	3.8636	1	18.6020	0.000000
Women	35-49	Endometrium	1	0	2001	2007	5.3595	2.2488	8.5650	1	3.7363	0.002213
Women	35-49	Endometrium	1	1	2007	2019	2.2468	1.1804	3.3244	1	4.5454	0.000458
Women	35-49	Gallbladder	0	0	2001	2019	3.4739	2.3279	4.6328	1	6.4693	0.000006
Women	35-49	Hodgkin Lymphoma	1	0	2001	2009	5.2254	1.3353	9.2649	1	2.9000	0.011641
Women	35-49	Hodgkin Lymphoma	1	1	2009	2019	-1.3721	-3.9877	1.3147	0	-1.1025	0.288843
Women	35-49	Kidney	0	0	2001	2019	5.0183	4.1730	5.8705	1	12.7823	0.000000
Women	35-49	Larynx	0	0	2001	2019	0.1851	-2.0986	2.5221	0	0.1692	0.867614
Women	35-49	Leukaemia	0	0	2001	2019	1.6773	1.1757	2.1813	1	7.0963	0.000002
Women	35-49	Liver	0	0	2001	2019	4.4756	3.1386	5.8298	1	7.1724	0.000002
Women	35-49	Lung	0	0	2001	2019	-0.1236	-0.6681	0.4239	0	-0.4773	0.639257
Women	35-49	Melanoma	1	0	2001	2009	5.0407	3.2375	6.8755	1	6.0913	0.000028
Women	35-49	Melanoma	1	1	2009	2019	1.0976	-0.1438	2.3544	0	1.8949	0.078941
Women	35-49	MultipleMyeloma	0	0	2001	2019	6.0593	4.9857	7.1439	1	12.1991	0.000000
Women	35-49	Non-Hodgkin Lymphoma	1	0	2001	2011	1.8509	0.2723	3.4544	1	2.5182	0.024586
Women	35-49	Non-Hodgkin Lymphoma	1	1	2011	2019	-1.7459	-3.8736	0.4288	0	-1.7256	0.106421
Women	35-49	Oesophagus	0	0	2001	2019	-1.2609	-2.4056	-0.1027	1	-2.2958	0.034676
Women	35-49	Oral	0	0	2001	2019	2.6020	1.8260	3.3839	1	7.1384	0.000002
Women	35-49	Ovary	2	0	2001	2004	-1.9041	-6.1052	2.4851	0	-0.9667	0.354480
Women	35-49	Ovary	2	1	2004	2012	2.0608	0.8739	3.2618	1	3.8380	0.002756
Women	35-49	Ovary	2	2	2012	2019	-1.2967	-2.4447	-0.1353	1	-2.4557	0.031921
Women	35-49	Pancreas	0	0	2001	2019	2.7708	1.8908	3.6584	1	6.7056	0.000004
Women	35-49	Stomach	0	0	2001	2019	0.4840	-0.4261	1.4024	0	1.1197	0.278423
Women	35-49	Thyroid	1	0	2001	2012	8.5873	7.3165	9.8730	1	15.0108	0.000000
Women	35-49	Thyroid	1	1	2012	2019	3.7969	1.4032	6.2471	1	3.4258	0.004098
Women	50-64	Bladder	0	0	2001	2019	-2.0537	-2.7247	-1.3781	1	-6.3691	0.000007
Women	50-64	Brain and CNS	1	0	2001	2010	1.2077	0.0296	2.3997	1	2.1990	0.045186
Women	50-64	Brain and CNS	1	1	2010	2019	-1.1869	-2.3371	-0.0231	1	-2.1871	0.046204
Women	50-64	Breast	0	0	2001	2019	-0.1623	-0.3251	0.0007	0	-2.1004	0.050919
Women	50-64	Cervix	1	0	2001	2008	-2.6687	-4.5600	-0.7399	1	-2.9566	0.010410
Women	50-64	Cervix	1	1	2008	2019	1.0487	0.0532	2.0541	1	2.2601	0.040279
Women	50-64	Colorectum	2	0	2001	2003	-2.1482	-10.5640	7.0594	0	-0.5315	0.605640
Women	50-64	Colorectum	2	1	2003	2008	3.8978	0.9847	6.8949	1	2.9594	0.012990
Women	50-64	Colorectum	2	2	2008	2019	-0.0344	-0.6387	0.5735	0	-0.1249	0.902860
Women	50-64	Endometrium	1	0	2001	2007	3.9636	2.6488	5.2952	1	6.5504	0.000013
Women	50-64	Endometrium	1	1	2007	2019	0.0509	-0.3936	0.4973	0	0.2450	0.810015
Women	50-64	Gallbladder	0	0	2001	2019	2.1861	1.2825	3.0978	1	5.1367	0.000082
Women	50-64	Hodgkin Lymphoma	1	0	2001	2012	4.0196	1.6147	6.4814	1	3.6135	0.002822
Women	50-64	Hodgkin Lymphoma	1	1	2012	2019	-2.3800	-6.8025	2.2525	0	-1.1143	0.283904
Women	50-64	Kidney	2	0	2001	2005	2.6863	-0.4006	5.8689	0	1.9115	0.082329
Women	50-64	Kidney	2	1	2005	2009	8.0853	2.9930	13.4295	1	3.5459	0.004585
Women	50-64	Kidney	2	2	2009	2019	1.2644	0.5063	2.0282	1	3.6803	0.003624
Women	50-64	Larynx	0	0	2001	2019	-1.3500	-2.1482	-0.5453	1	-3.5298	0.002572
Women	50-64	Leukaemia	1	0	2001	2015	2.2808	1.5084	3.0590	1	6.3809	0.000017
Women	50-64	Leukaemia	1	1	2015	2019	-4.1365	-8.9149	0.8926	0	-1.7720	0.098143
Women	50-64	Liver	2	0	2001	2003	-5.3604	-20.7525	13.0212	0	-0.6832	0.508632
Women	50-64	Liver	2	1	2003	2010	9.0740	5.8501	12.3961	1	6.3717	0.000053
Women	50-64	Liver	2	2	2010	2019	1.7055	0.0708	3.3669	1	2.2972	0.042241
Women	50-64	Lung	3	0	2001	2003	-0.2108	-4.7435	4.5376	0	-0.1047	0.919226
Women	50-64	Lung	3	1	2003	2008	3.4980	1.9876	5.0307	1	5.3934	0.000651
Women	50-64	Lung	3	2	2008	2013	-0.0860	-1.5441	1.3936	0	-0.1350	0.895951
Women	50-64	Lung	3	3	2013	2019	-1.2853	-2.0579	-0.5066	1	-3.7964	0.005264
Women	50-64	Melanoma	1	0	2001	2006	5.8619	3.8265	7.9371	1	6.2935	0.000020
Women	50-64	Melanoma	1	1	2006	2019	2.0807	1.6173	2.5463	1	9.7063	0.000000
Women	50-64	MultipleMyeloma	0	0	2001	2019	2.9737	2.4737	3.4762	1	12.7001	0.000000
Women	50-64	Non-Hodgkin Lymphoma	1	0	2001	2010	1.9463	0.9831	2.9187	1	4.3549	0.000660
Women	50-64	Non-Hodgkin Lymphoma	1	1	2010	2019	-2.3771	-3.2995	-1.4459	1	-5.4354	0.000088
Women	50-64	Oesophagus	1	0	2001	2011	1.2358	0.0190	2.4675	1	2.1784	0.046961
Women	50-64	Oesophagus	1	1	2011	2019	-2.4772	-4.1162	-0.8102	1	-3.1743	0.006758
Women	50-64	Oral	1	0	2001	2010	4.5715	3.5095	5.6443	1	9.3928	0.000000
Women	50-64	Oral	1	1	2010	2019	1.7213	0.6883	2.7649	1	3.5862	0.002979
Women	50-64	Ovary	0	0	2001	2019	-1.8541	-2.0961	-1.6115	1	-15.9927	0.000000
Women	50-64	Pancreas	0	0	2001	2019	0.9528	0.3892	1.5194	1	3.5741	0.002337
Women	50-64	Stomach	1	0	2001	2014	-1.8738	-2.7842	-0.9549	1	-4.3525	0.000663
Women	50-64	Stomach	1	1	2014	2019	1.5800	-2.3801	5.7007	0	0.8455	0.412041
Women	50-64	Thyroid	0	0	2001	2019	5.8430	5.1412	6.5494	1	18.0103	0.000000
Women	65+	Bladder	1	0	2001	2011	-0.6558	-1.2177	-0.0907	1	-2.4881	0.026060
Women	65+	Bladder	1	1	2011	2019	-2.2988	-3.0724	-1.5191	1	-6.2749	0.000020
Women	65+	Brain and CNS	1	0	2001	2011	2.0947	1.1218	3.0770	1	4.6434	0.000380
Women	65+	Brain and CNS	1	1	2011	2019	-0.7974	-2.1198	0.5429	0	-1.2794	0.221549
Women	65+	Breast	1	0	2001	2005	3.1279	0.6790	5.6363	1	2.7488	0.015683
Women	65+	Breast	1	1	2005	2019	0.7196	0.3614	1.0791	1	4.3163	0.000711
Women	65+	Cervix	1	0	2001	2004	-6.9307	-13.6485	0.3097	0	-2.0562	0.058899
Women	65+	Cervix	1	1	2004	2019	-2.3497	-2.9660	-1.7294	1	-8.0542	0.000001
Women	65+	Colorectum	2	0	2001	2009	1.1605	0.7848	1.5375	1	6.8258	0.000029
Women	65+	Colorectum	2	1	2009	2017	-1.3692	-1.8176	-0.9188	1	-6.6596	0.000036
Women	65+	Colorectum	2	2	2017	2019	1.7294	-1.6809	5.2580	0	1.1068	0.292011
Women	65+	Endometrium	1	0	2001	2012	3.3623	2.9485	3.7778	1	17.6807	0.000000
Women	65+	Endometrium	1	1	2012	2019	0.4374	-0.3581	1.2392	0	1.1772	0.258737
Women	65+	Gallbladder	0	0	2001	2019	3.5308	3.0077	4.0565	1	14.4532	0.000000
Women	65+	Hodgkin Lymphoma	0	0	2001	2019	3.0515	2.2067	3.9033	1	7.7041	0.000001
Women	65+	Kidney	1	0	2001	2014	4.5378	4.0303	5.0479	1	19.5562	0.000000
Women	65+	Kidney	1	1	2014	2019	-0.9128	-2.9491	1.1661	0	-0.9472	0.359586
Women	65+	Larynx	0	0	2001	2019	-0.8065	-1.5322	-0.0756	1	-2.3270	0.032578
Women	65+	Leukaemia	1	0	2001	2015	1.7085	1.1470	2.2732	1	6.5632	0.000013
Women	65+	Leukaemia	1	1	2015	2019	-4.5142	-8.0142	-0.8810	1	-2.6530	0.018917
Women	65+	Liver	1	0	2001	2013	5.1284	4.1367	6.1295	1	11.3177	0.000000
Women	65+	Liver	1	1	2013	2019	1.0305	-1.6699	3.8051	0	0.8116	0.430588
Women	65+	Lung	1	0	2001	2012	2.4765	2.1592	2.7948	1	16.9170	0.000000
Women	65+	Lung	1	1	2012	2019	0.8201	0.2022	1.4418	1	2.8497	0.012858
Women	65+	Melanoma	1	0	2001	2014	5.1395	4.7981	5.4820	1	33.0517	0.000000
Women	65+	Melanoma	1	1	2014	2019	1.7019	0.3005	3.1228	1	2.6087	0.020626
Women	65+	MultipleMyeloma	0	0	2001	2019	2.3077	1.8121	2.8057	1	9.9121	0.000000
Women	65+	Non-Hodgkin Lymphoma	1	0	2001	2012	2.4947	1.9918	3.0000	1	10.7451	0.000000
Women	65+	Non-Hodgkin Lymphoma	1	1	2012	2019	-1.5315	-2.4868	-0.5669	1	-3.3956	0.004351
Women	65+	Oesophagus	0	0	2001	2019	-1.0297	-1.2368	-0.8221	1	-10.4226	0.000000
Women	65+	Oral	1	0	2001	2011	3.3052	2.5951	4.0202	1	10.1110	0.000000
Women	65+	Oral	1	1	2011	2019	1.5156	0.5389	2.5017	1	3.3372	0.004887
Women	65+	Ovary	1	0	2001	2013	-0.6518	-1.0622	-0.2397	1	-3.3880	0.004417
Women	65+	Ovary	1	1	2013	2019	-1.9992	-3.1520	-0.8326	1	-3.6602	0.002572
Women	65+	Pancreas	1	0	2001	2008	2.0360	1.2262	2.8524	1	5.4251	0.000089
Women	65+	Pancreas	1	1	2008	2019	0.3612	-0.0415	0.7655	0	1.9236	0.074980
Women	65+	Stomach	2	0	2001	2009	-3.3011	-4.2171	-2.3763	1	-7.7622	0.000009
Women	65+	Stomach	2	1	2009	2017	-4.8093	-5.9125	-3.6931	1	-9.3058	0.000002
Women	65+	Stomach	2	2	2017	2019	2.1164	-6.4143	11.4247	0	0.5284	0.607717
Women	65+	Thyroid	1	0	2001	2013	4.7654	3.9352	5.6022	1	12.5503	0.000000
