"sex"	"age_group"	"cancer_site"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
Men	35-49	Bladder	0	Full Range	2001	2019	-1.4093	-2.2285	-0.5832	1	-3.5887	0.002264
Men	35-49	Brain and CNS	0	Full Range	2001	2019	0.8059	0.4274	1.1857	1	4.5026	0.000314
Men	35-49	Colorectum	1	Full Range	2001	2019	2.8356	2.1042	3.5722	1	7.6778	0.000000
Men	35-49	Gallbladder	0	Full Range	2001	2019	2.6030	0.8902	4.3448	1	3.2206	0.005020
Men	35-49	Hodgkin Lymphoma	0	Full Range	2001	2019	0.9302	0.4043	1.4588	1	3.7396	0.001631
Men	35-49	Kaposi Sarcoma	1	Full Range	2001	2019	2.1123	-1.0511	5.3768	0	1.3019	0.192957
Men	35-49	Kidney	2	Full Range	2001	2019	3.9737	2.5643	5.4025	1	5.5961	0.000000
Men	35-49	Larynx	0	Full Range	2001	2019	-1.0152	-1.9384	-0.0833	1	-2.2975	0.034557
Men	35-49	Leukaemia	0	Full Range	2001	2019	1.5514	0.9396	2.1668	1	5.3753	0.000050
Men	35-49	Liver	1	Full Range	2001	2019	2.0569	-0.4271	4.6029	0	1.6195	0.105336
Men	35-49	Lung	1	Full Range	2001	2019	-1.1009	-2.6442	0.4669	0	-1.3794	0.167759
Men	35-49	Melanoma	1	Full Range	2001	2019	1.5027	0.3919	2.6259	1	2.6565	0.007895
Men	35-49	MultipleMyeloma	0	Full Range	2001	2019	4.3168	3.1695	5.4768	1	8.0627	0.000000
Men	35-49	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.3555	-0.4483	1.1657	0	0.8648	0.387130
Men	35-49	Oesophagus	0	Full Range	2001	2019	-0.4087	-1.1218	0.3095	0	-1.2025	0.245653
Men	35-49	Oral	1	Full Range	2001	2019	1.7965	1.2975	2.2980	1	7.1014	0.000000
Men	35-49	Pancreas	0	Full Range	2001	2019	2.0360	1.1535	2.9262	1	4.8955	0.000136
Men	35-49	Prostate	1	Full Range	2001	2019	7.2812	5.9872	8.5911	1	11.3511	0.000000
Men	35-49	Stomach	0	Full Range	2001	2019	-1.1987	-1.9558	-0.4358	1	-3.3078	0.004160
Men	35-49	Testis	0	Full Range	2001	2019	0.6772	0.2277	1.1288	1	3.1820	0.005454
Men	35-49	Thyroid	1	Full Range	2001	2019	6.8436	5.7997	7.8978	1	13.2143	0.000000
Men	50-64	Bladder	2	Full Range	2001	2019	-3.5071	-5.4641	-1.5095	1	-3.4148	0.000638
Men	50-64	Brain and CNS	1	Full Range	2001	2019	-0.2857	-1.0240	0.4582	0	-0.7544	0.450606
Men	50-64	Colorectum	2	Full Range	2001	2019	0.7044	-0.0978	1.5130	0	1.7202	0.085401
Men	50-64	Gallbladder	2	Full Range	2001	2019	2.4418	0.2896	4.6402	1	2.2269	0.025952
Men	50-64	Hodgkin Lymphoma	0	Full Range	2001	2019	1.8451	1.1313	2.5639	1	5.4845	0.000040
Men	50-64	Kaposi Sarcoma	0	Full Range	2001	2019	6.5173	4.4728	8.6018	1	6.8732	0.000003
Men	50-64	Kidney	1	Full Range	2001	2019	3.3399	2.8752	3.8067	1	14.2861	0.000000
Men	50-64	Larynx	1	Full Range	2001	2019	-2.3541	-3.1218	-1.5804	1	-5.9156	0.000000
Men	50-64	Leukaemia	1	Full Range	2001	2019	0.5571	-0.2862	1.4074	0	1.2930	0.196027
Men	50-64	Liver	1	Full Range	2001	2019	4.5479	3.4400	5.6676	1	8.1825	0.000000
Men	50-64	Lung	1	Full Range	2001	2019	-1.8855	-2.1576	-1.6126	1	-13.4325	0.000000
Men	50-64	Melanoma	1	Full Range	2001	2019	3.3806	2.8181	3.9463	1	11.9423	0.000000
Men	50-64	MultipleMyeloma	0	Full Range	2001	2019	2.6470	2.0999	3.1970	1	10.3149	0.000000
Men	50-64	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.1549	-0.3490	0.6613	0	0.6015	0.547529
Men	50-64	Oesophagus	2	Full Range	2001	2019	-0.0206	-0.7450	0.7091	0	-0.0555	0.955767
Men	50-64	Oral	1	Full Range	2001	2019	3.1490	2.5789	3.7224	1	10.9638	0.000000
Men	50-64	Pancreas	1	Full Range	2001	2019	0.8770	0.2667	1.4909	1	2.8203	0.004797
Men	50-64	Prostate	2	Full Range	2001	2019	3.4614	1.8809	5.0664	1	4.3324	0.000015
Men	50-64	Stomach	1	Full Range	2001	2019	-2.5816	-3.9392	-1.2049	1	-3.6530	0.000259
Men	50-64	Testis	0	Full Range	2001	2019	2.4252	1.4971	3.3618	1	5.5540	0.000035
Men	50-64	Thyroid	1	Full Range	2001	2019	6.0002	4.2982	7.7299	1	7.0558	0.000000
Men	65+	Bladder	3	Full Range	2001	2019	-1.3211	-2.1005	-0.5354	1	-3.2869	0.001013
Men	65+	Brain and CNS	1	Full Range	2001	2019	0.4531	-0.0590	0.9679	0	1.7336	0.082989
Men	65+	Colorectum	2	Full Range	2001	2019	-0.2961	-0.7708	0.1809	0	-1.2177	0.223344
Men	65+	Gallbladder	0	Full Range	2001	2019	3.0358	2.4123	3.6631	1	10.3948	0.000000
Men	65+	Hodgkin Lymphoma	1	Full Range	2001	2019	2.3477	0.9500	3.7647	1	3.3077	0.000941
Men	65+	Kaposi Sarcoma	1	Full Range	2001	2019	4.8077	-0.1957	10.0620	0	1.8815	0.059908
Men	65+	Kidney	1	Full Range	2001	2019	2.5811	1.7755	3.3930	1	6.3351	0.000000
Men	65+	Larynx	1	Full Range	2001	2019	-1.1300	-1.7499	-0.5063	1	-3.5418	0.000397
Men	65+	Leukaemia	1	Full Range	2001	2019	0.5665	-0.3200	1.4609	0	1.2505	0.211125
Men	65+	Liver	1	Full Range	2001	2019	4.6201	3.9679	5.2764	1	14.1552	0.000000
Men	65+	Lung	2	Full Range	2001	2019	-1.0577	-1.4900	-0.6234	1	-4.7590	0.000002
Men	65+	Melanoma	2	Full Range	2001	2019	6.1251	5.5183	6.7355	1	20.3184	0.000000
Men	65+	MultipleMyeloma	0	Full Range	2001	2019	2.6798	2.2573	3.1041	1	13.5310	0.000000
Men	65+	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	1.4150	1.0647	1.7666	1	7.9589	0.000000
Men	65+	Oesophagus	0	Full Range	2001	2019	0.4091	0.2533	0.5652	1	5.5458	0.000036
Men	65+	Oral	0	Full Range	2001	2019	2.8575	2.4569	3.2597	1	15.2315	0.000000
Men	65+	Pancreas	0	Full Range	2001	2019	1.2664	1.0677	1.4655	1	13.5193	0.000000
Men	65+	Prostate	0	Full Range	2001	2019	0.5663	0.2551	0.8785	1	3.8435	0.001302
Men	65+	Stomach	0	Full Range	2001	2019	-3.9134	-4.1773	-3.6488	1	-30.6254	0.000000
Men	65+	Testis	0	Full Range	2001	2019	1.0507	0.0940	2.0166	1	2.3182	0.033162
Men	65+	Thyroid	0	Full Range	2001	2019	4.5066	3.7473	5.2714	1	12.7542	0.000000
Women	20-34	Bladder	0	Full Range	2001	2019	-2.5527	-5.6861	0.6847	0	-1.6693	0.113369
Women	20-34	Brain and CNS	0	Full Range	2001	2019	2.0850	1.0269	3.1541	1	4.1787	0.000630
Women	20-34	Breast	1	Full Range	2001	2019	1.0333	0.4380	1.6321	1	3.4094	0.000651
Women	20-34	Cervix	1	Full Range	2001	2019	1.6594	0.1761	3.1648	1	2.1946	0.028195
Women	20-34	Colorectum	1	Full Range	2001	2019	3.3651	0.4609	6.3533	1	2.2762	0.022833
Women	20-34	Endometrium	1	Full Range	2001	2019	7.8082	1.7176	14.2635	1	2.5340	0.011278
Women	20-34	Hodgkin Lymphoma	0	Full Range	2001	2019	1.5904	1.0813	2.1020	1	6.6268	0.000004
Women	20-34	Kidney	0	Full Range	2001	2019	3.5719	2.3080	4.8514	1	6.0306	0.000014
Women	20-34	Leukaemia	0	Full Range	2001	2019	1.4689	0.5303	2.4163	1	3.3105	0.004135
Women	20-34	Liver	0	Full Range	2001	2019	4.0110	0.5449	7.5966	1	2.4481	0.025510
Women	20-34	Lung	0	Full Range	2001	2019	2.2289	0.3330	4.1607	1	2.4845	0.023687
Women	20-34	Melanoma	0	Full Range	2001	2019	0.4140	-0.1503	0.9815	0	1.5467	0.140359
Women	20-34	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.4040	-2.0868	2.9581	0	0.3146	0.753086
Women	20-34	Oral	1	Full Range	2001	2019	1.2362	-0.6770	3.1861	0	1.2621	0.206900
Women	20-34	Ovary	0	Full Range	2001	2019	2.7523	2.1361	3.3722	1	9.5237	0.000000
Women	20-34	Pancreas	0	Full Range	2001	2019	6.0949	3.6378	8.6102	1	5.3271	0.000056
Women	20-34	Stomach	0	Full Range	2001	2019	2.8675	0.6609	5.1226	1	2.7507	0.013647
Women	20-34	Thyroid	1	Full Range	2001	2019	5.0186	3.9639	6.0840	1	9.5081	0.000000
Women	35-49	Bladder	0	Full Range	2001	2019	-0.3699	-1.6539	0.9309	0	-0.6028	0.554617
Women	35-49	Brain and CNS	0	Full Range	2001	2019	1.3415	0.6496	2.0382	1	4.1037	0.000741
Women	35-49	Breast	2	Full Range	2001	2019	0.9516	0.4840	1.4212	1	3.9989	0.000064
Women	35-49	Cervix	1	Full Range	2001	2019	0.2234	-1.6726	2.1559	0	0.2290	0.818872
Women	35-49	Colorectum	1	Full Range	2001	2019	2.7828	1.6733	3.9044	1	4.9566	0.000001
Women	35-49	Endometrium	1	Full Range	2001	2019	3.2740	2.1297	4.4311	1	5.6671	0.000000
Women	35-49	Gallbladder	0	Full Range	2001	2019	3.4739	2.3279	4.6328	1	6.4693	0.000006
Women	35-49	Hodgkin Lymphoma	1	Full Range	2001	2019	1.5075	-0.5523	3.6099	0	1.4305	0.152584
Women	35-49	Kidney	0	Full Range	2001	2019	5.0183	4.1730	5.8705	1	12.7823	0.000000
Women	35-49	Larynx	0	Full Range	2001	2019	0.1851	-2.0986	2.5221	0	0.1692	0.867614
Women	35-49	Leukaemia	0	Full Range	2001	2019	1.6773	1.1757	2.1813	1	7.0963	0.000002
Women	35-49	Liver	0	Full Range	2001	2019	4.4756	3.1386	5.8298	1	7.1724	0.000002
Women	35-49	Lung	0	Full Range	2001	2019	-0.1236	-0.6681	0.4239	0	-0.4773	0.639257
Women	35-49	Melanoma	1	Full Range	2001	2019	2.8315	1.8670	3.8051	1	5.8072	0.000000
Women	35-49	MultipleMyeloma	0	Full Range	2001	2019	6.0593	4.9857	7.1439	1	12.1991	0.000000
Women	35-49	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.2364	-0.9508	1.4377	0	0.3884	0.697748
Women	35-49	Oesophagus	0	Full Range	2001	2019	-1.2609	-2.4056	-0.1027	1	-2.2958	0.034676
Women	35-49	Oral	0	Full Range	2001	2019	2.6020	1.8260	3.3839	1	7.1384	0.000002
Women	35-49	Ovary	2	Full Range	2001	2019	0.0787	-0.8128	0.9781	0	0.1722	0.863242
Women	35-49	Pancreas	0	Full Range	2001	2019	2.7708	1.8908	3.6584	1	6.7056	0.000004
Women	35-49	Stomach	0	Full Range	2001	2019	0.4840	-0.4261	1.4024	0	1.1197	0.278423
Women	35-49	Thyroid	1	Full Range	2001	2019	6.6986	5.5756	7.8336	1	12.0100	0.000000
Women	50-64	Bladder	0	Full Range	2001	2019	-2.0537	-2.7247	-1.3781	1	-6.3691	0.000007
Women	50-64	Brain and CNS	1	Full Range	2001	2019	0.0032	-0.7505	0.7627	0	0.0084	0.993285
Women	50-64	Breast	0	Full Range	2001	2019	-0.1623	-0.3251	0.0007	0	-2.1004	0.050919
Women	50-64	Cervix	1	Full Range	2001	2019	-0.4135	-1.2958	0.4767	0	-0.9127	0.361421
Women	50-64	Colorectum	2	Full Range	2001	2019	0.8030	-0.3807	2.0009	0	1.3271	0.184490
Women	50-64	Endometrium	1	Full Range	2001	2019	1.3385	0.8601	1.8191	1	5.5077	0.000000
Women	50-64	Gallbladder	0	Full Range	2001	2019	2.1861	1.2825	3.0978	1	5.1367	0.000082
Women	50-64	Hodgkin Lymphoma	1	Full Range	2001	2019	1.4825	-0.6290	3.6388	0	1.3718	0.170141
Women	50-64	Kidney	2	Full Range	2001	2019	3.0608	1.8421	4.2941	1	4.9675	0.000001
Women	50-64	Larynx	0	Full Range	2001	2019	-1.3500	-2.1482	-0.5453	1	-3.5298	0.002572
Women	50-64	Leukaemia	1	Full Range	2001	2019	0.8186	-0.3539	2.0049	0	1.3659	0.171968
Women	50-64	Liver	2	Full Range	2001	2019	3.6772	1.4573	5.9456	1	3.2701	0.001075
Women	50-64	Lung	3	Full Range	2001	2019	0.4776	-0.2184	1.1785	0	1.3435	0.179104
Women	50-64	Melanoma	1	Full Range	2001	2019	3.1173	2.5239	3.7141	1	10.4254	0.000000
Women	50-64	MultipleMyeloma	0	Full Range	2001	2019	2.9737	2.4737	3.4762	1	12.7001	0.000000
Women	50-64	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	-0.2388	-0.8489	0.3750	0	-0.7640	0.444849
Women	50-64	Oesophagus	1	Full Range	2001	2019	-0.4315	-1.3457	0.4911	0	-0.9190	0.358105
Women	50-64	Oral	1	Full Range	2001	2019	3.1365	2.4585	3.8190	1	9.1775	0.000000
Women	50-64	Ovary	0	Full Range	2001	2019	-1.8541	-2.0961	-1.6115	1	-15.9927	0.000000
Women	50-64	Pancreas	0	Full Range	2001	2019	0.9528	0.3892	1.5194	1	3.5741	0.002337
Women	50-64	Stomach	1	Full Range	2001	2019	-0.9264	-2.0906	0.2517	0	-1.5431	0.122803
Women	50-64	Thyroid	0	Full Range	2001	2019	5.8430	5.1412	6.5494	1	18.0103	0.000000
Women	65+	Bladder	1	Full Range	2001	2019	-1.3894	-1.8151	-0.9619	1	-6.3390	0.000000
Women	65+	Brain and CNS	1	Full Range	2001	2019	0.7991	0.0656	1.5380	1	2.1359	0.032690
Women	65+	Breast	1	Full Range	2001	2019	1.2498	0.6947	1.8081	1	4.4278	0.000010
Women	65+	Cervix	1	Full Range	2001	2019	-3.1286	-4.3211	-1.9211	1	-5.0292	0.000000
Women	65+	Colorectum	2	Full Range	2001	2019	0.0906	-0.3188	0.5017	0	0.4330	0.665024
Women	65+	Endometrium	1	Full Range	2001	2019	2.2149	1.8469	2.5841	1	11.9068	0.000000
Women	65+	Gallbladder	0	Full Range	2001	2019	3.5308	3.0077	4.0565	1	14.4532	0.000000
Women	65+	Hodgkin Lymphoma	0	Full Range	2001	2019	3.0515	2.2067	3.9033	1	7.7041	0.000001
Women	65+	Kidney	1	Full Range	2001	2019	2.9944	2.3606	3.6321	1	9.3685	0.000000
Women	65+	Larynx	0	Full Range	2001	2019	-0.8065	-1.5322	-0.0756	1	-2.3270	0.032578
Women	65+	Leukaemia	1	Full Range	2001	2019	0.2916	-0.5616	1.1521	0	0.6679	0.504210
Women	65+	Liver	1	Full Range	2001	2019	3.7443	2.7046	4.7945	1	7.1531	0.000000
Women	65+	Lung	1	Full Range	2001	2019	1.8292	1.5457	2.1134	1	12.7429	0.000000
Women	65+	Melanoma	1	Full Range	2001	2019	4.1731	3.7444	4.6037	1	19.4282	0.000000
Women	65+	MultipleMyeloma	0	Full Range	2001	2019	2.3077	1.8121	2.8057	1	9.9121	0.000000
Women	65+	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.9097	0.4646	1.3569	1	4.0147	0.000060
Women	65+	Oesophagus	0	Full Range	2001	2019	-1.0297	-1.2368	-0.8221	1	-10.4226	0.000000
Women	65+	Oral	1	Full Range	2001	2019	2.5060	1.9681	3.0467	1	9.2206	0.000000
Women	65+	Ovary	1	Full Range	2001	2019	-1.1030	-1.5371	-0.6669	1	-4.9413	0.000001
Women	65+	Pancreas	1	Full Range	2001	2019	1.0092	0.6449	1.3749	1	5.4462	0.000000
Women	65+	Stomach	2	Full Range	2001	2019	-3.3909	-4.3988	-2.3725	1	-6.4474	0.000000
Women	65+	Thyroid	1	Full Range	2001	2019	3.9326	3.0576	4.8150	1	8.9419	0.000000
