"sex"	"age_group"	"cancer_site"	"year"	"count"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-49	Oral	2007	540.00	535.85	NA	3.8619*	1	1
Men	20-49	Oral	2008	566.00	556.54	NA	3.8619*	1	1
Men	20-49	Oral	2009	562.00	578.04	NA	3.8619*	1	1
Men	20-49	Oral	2010	593.00	600.36	NA	3.8619*	1	1
Men	20-49	Oral	2011	621.00	623.55	NA	3.8619*	1	1
Men	20-49	Oral	2012	639.00	647.63	Joinpoint 1	NA	1	1
Men	20-49	Oral	2013	656.00	638.21	NA	-1.4534*	1	1
Men	20-49	Oral	2014	634.00	628.94	NA	-1.4534*	1	1
Men	20-49	Oral	2015	613.00	619.80	NA	-1.4534*	1	1
Men	20-49	Oral	2016	601.00	610.79	NA	-1.4534*	1	1
Men	20-49	Oral	2017	627.00	601.91	NA	-1.4534*	1	1
Men	20-49	Oral	2018	588.00	593.16	NA	-1.4534*	1	1
Men	20-49	Oral	2019	575.00	584.54	NA	-1.4534*	1	1
Men	20-49	Pancreas	2001	159.00	136.87	NA	2.1496*	0	0
Men	20-49	Pancreas	2002	129.00	139.82	NA	2.1496*	0	0
Men	20-49	Pancreas	2003	138.00	142.82	NA	2.1496*	0	0
Men	20-49	Pancreas	2004	121.00	145.89	NA	2.1496*	0	0
Men	20-49	Pancreas	2005	145.00	149.03	NA	2.1496*	0	0
Men	20-49	Pancreas	2006	138.00	152.23	NA	2.1496*	0	0
Men	20-49	Pancreas	2007	153.00	155.50	NA	2.1496*	0	0
Men	20-49	Pancreas	2008	166.00	158.85	NA	2.1496*	0	0
Men	20-49	Pancreas	2009	179.00	162.26	NA	2.1496*	0	0
Men	20-49	Pancreas	2010	170.00	165.75	NA	2.1496*	0	0
Men	20-49	Pancreas	2011	168.00	169.31	NA	2.1496*	0	0
Men	20-49	Pancreas	2012	179.00	172.95	NA	2.1496*	0	0
Men	20-49	Pancreas	2013	185.00	176.67	NA	2.1496*	0	0
Men	20-49	Pancreas	2014	199.00	180.47	NA	2.1496*	0	0
Men	20-49	Pancreas	2015	168.00	184.35	NA	2.1496*	0	0
Men	20-49	Pancreas	2016	200.00	188.31	NA	2.1496*	0	0
Men	20-49	Pancreas	2017	178.00	192.36	NA	2.1496*	0	0
Men	20-49	Pancreas	2018	199.00	196.49	NA	2.1496*	0	0
Men	20-49	Pancreas	2019	187.00	200.72	NA	2.1496*	0	0
Men	20-49	Thyroid	2001	119.00	113.97	NA	8.1246*	1	1
Men	20-49	Thyroid	2002	115.00	123.23	NA	8.1246*	1	1
Men	20-49	Thyroid	2003	150.00	133.24	NA	8.1246*	1	1
Men	20-49	Thyroid	2004	141.00	144.06	NA	8.1246*	1	1
Men	20-49	Thyroid	2005	161.00	155.77	NA	8.1246*	1	1
Men	20-49	Thyroid	2006	152.00	168.42	NA	8.1246*	1	1
Men	20-49	Thyroid	2007	175.00	182.11	NA	8.1246*	1	1
Men	20-49	Thyroid	2008	182.00	196.90	NA	8.1246*	1	1
Men	20-49	Thyroid	2009	219.00	212.90	NA	8.1246*	1	1
Men	20-49	Thyroid	2010	232.00	230.20	NA	8.1246*	1	1
Men	20-49	Thyroid	2011	262.00	248.90	NA	8.1246*	1	1
Men	20-49	Thyroid	2012	270.00	269.12	Joinpoint 1	NA	1	1
Men	20-49	Thyroid	2013	276.00	278.36	NA	3.4342*	1	1
Men	20-49	Thyroid	2014	292.00	287.92	NA	3.4342*	1	1
Men	20-49	Thyroid	2015	301.00	297.81	NA	3.4342*	1	1
Men	20-49	Thyroid	2016	301.00	308.04	NA	3.4342*	1	1
Men	20-49	Thyroid	2017	306.00	318.62	NA	3.4342*	1	1
Men	20-49	Thyroid	2018	337.00	329.56	NA	3.4342*	1	1
Men	20-49	Thyroid	2019	345.00	340.88	NA	3.4342*	1	1
Men	50+	Colorectum	2001	14760.00	14446.22	NA	2.6990*	2	2
Men	50+	Colorectum	2002	14796.00	14836.13	NA	2.6990*	2	2
Men	50+	Colorectum	2003	15139.00	15236.56	NA	2.6990*	2	2
Men	50+	Colorectum	2004	15642.00	15647.81	NA	2.6990*	2	2
Men	50+	Colorectum	2005	15941.00	16070.15	NA	2.6990*	2	2
Men	50+	Colorectum	2006	16320.00	16503.88	NA	2.6990*	2	2
Men	50+	Colorectum	2007	16679.00	16949.33	NA	2.6990*	2	2
Men	50+	Colorectum	2008	17622.00	17406.80	NA	2.6990*	2	2
Men	50+	Colorectum	2009	17935.00	17876.62	NA	2.6990*	2	2
Men	50+	Colorectum	2010	18359.00	18359.11	NA	2.6990*	2	2
Men	50+	Colorectum	2011	18703.00	18854.63	Joinpoint 1	NA	2	2
Men	50+	Colorectum	2012	19095.00	18673.28	NA	-0.9619	2	2
Men	50+	Colorectum	2013	18486.00	18493.67	NA	-0.9619	2	2
Men	50+	Colorectum	2014	18228.00	18315.79	Joinpoint 2	NA	2	2
Men	50+	Colorectum	2015	18733.00	18635.27	NA	1.7443*	2	2
Men	50+	Colorectum	2016	19043.00	18960.33	NA	1.7443*	2	2
Men	50+	Colorectum	2017	18917.00	19291.06	NA	1.7443*	2	2
Men	50+	Colorectum	2018	19480.00	19627.55	NA	1.7443*	2	2
Men	50+	Colorectum	2019	20255.00	19969.92	NA	1.7443*	2	2
Men	50+	Gallbladder	2001	418.00	395.42	NA	4.6127*	0	0
Men	50+	Gallbladder	2002	392.00	413.66	NA	4.6127*	0	0
Men	50+	Gallbladder	2003	407.00	432.74	NA	4.6127*	0	0
Men	50+	Gallbladder	2004	414.00	452.70	NA	4.6127*	0	0
Men	50+	Gallbladder	2005	440.00	473.58	NA	4.6127*	0	0
Men	50+	Gallbladder	2006	517.00	495.43	NA	4.6127*	0	0
Men	50+	Gallbladder	2007	536.00	518.28	NA	4.6127*	0	0
Men	50+	Gallbladder	2008	595.00	542.19	NA	4.6127*	0	0
Men	50+	Gallbladder	2009	534.00	567.19	NA	4.6127*	0	0
Men	50+	Gallbladder	2010	620.00	593.36	NA	4.6127*	0	0
Men	50+	Gallbladder	2011	634.00	620.73	NA	4.6127*	0	0
Men	50+	Gallbladder	2012	648.00	649.36	NA	4.6127*	0	0
Men	50+	Gallbladder	2013	764.00	679.31	NA	4.6127*	0	0
Men	50+	Gallbladder	2014	688.00	710.65	NA	4.6127*	0	0
Men	50+	Gallbladder	2015	730.00	743.43	NA	4.6127*	0	0
Men	50+	Gallbladder	2016	756.00	777.72	NA	4.6127*	0	0
Men	50+	Gallbladder	2017	750.00	813.59	NA	4.6127*	0	0
Men	50+	Gallbladder	2018	879.00	851.12	NA	4.6127*	0	0
Men	50+	Gallbladder	2019	880.00	890.38	NA	4.6127*	0	0
Men	50+	Kidney	2001	2586.00	2549.40	NA	4.9983*	3	3
Men	50+	Kidney	2002	2720.00	2676.82	NA	4.9983*	3	3
Men	50+	Kidney	2003	2697.00	2810.62	NA	4.9983*	3	3
Men	50+	Kidney	2004	2912.00	2951.10	NA	4.9983*	3	3
Men	50+	Kidney	2005	3064.00	3098.61	NA	4.9983*	3	3
Men	50+	Kidney	2006	3299.00	3253.48	NA	4.9983*	3	3
Men	50+	Kidney	2007	3492.00	3416.10	NA	4.9983*	3	3
Men	50+	Kidney	2008	3649.00	3586.85	NA	4.9983*	3	3
Men	50+	Kidney	2009	3744.00	3766.13	NA	4.9983*	3	3
Men	50+	Kidney	2010	3882.00	3954.37	NA	4.9983*	3	3
Men	50+	Kidney	2011	4166.00	4152.02	Joinpoint 1	NA	3	3
Men	50+	Kidney	2012	4439.00	4536.97	NA	9.2714*	3	3
Men	50+	Kidney	2013	5144.00	4957.61	NA	9.2714*	3	3
Men	50+	Kidney	2014	5324.00	5417.25	Joinpoint 2	NA	3	3
Men	50+	Kidney	2015	5319.00	5377.03	NA	-0.7424	3	3
Men	50+	Kidney	2016	5446.00	5337.12	NA	-0.7424	3	3
Men	50+	Kidney	2017	5252.00	5297.49	Joinpoint 3	NA	3	3
Men	50+	Kidney	2018	5593.00	5610.60	NA	5.9105*	3	3
Men	50+	Kidney	2019	5951.00	5942.22	NA	5.9105*	3	3
Men	50+	Liver	2001	1144.00	1122.95	NA	7.7861*	1	1
Men	50+	Liver	2002	1289.00	1210.38	NA	7.7861*	1	1
Men	50+	Liver	2003	1287.00	1304.63	NA	7.7861*	1	1
Men	50+	Liver	2004	1336.00	1406.20	NA	7.7861*	1	1
Men	50+	Liver	2005	1514.00	1515.69	NA	7.7861*	1	1
Men	50+	Liver	2006	1662.00	1633.71	NA	7.7861*	1	1
Men	50+	Liver	2007	1762.00	1760.91	NA	7.7861*	1	1
Men	50+	Liver	2008	1848.00	1898.01	NA	7.7861*	1	1
Men	50+	Liver	2009	2017.00	2045.79	NA	7.7861*	1	1
Men	50+	Liver	2010	2192.00	2205.08	NA	7.7861*	1	1
Men	50+	Liver	2011	2292.00	2376.77	NA	7.7861*	1	1
Men	50+	Liver	2012	2565.00	2561.83	NA	7.7861*	1	1
Men	50+	Liver	2013	2899.00	2761.29	NA	7.7861*	1	1
Men	50+	Liver	2014	2989.00	2976.29	Joinpoint 1	NA	1	1
Men	50+	Liver	2015	3024.00	3089.17	NA	3.7926*	1	1
Men	50+	Liver	2016	3297.00	3206.33	NA	3.7926*	1	1
Men	50+	Liver	2017	3289.00	3327.93	NA	3.7926*	1	1
Men	50+	Liver	2018	3377.00	3454.14	NA	3.7926*	1	1
Men	50+	Liver	2019	3645.00	3585.14	NA	3.7926*	1	1
Men	50+	MultipleMyeloma	2001	1722.00	1636.05	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2002	1747.00	1713.57	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2003	1848.00	1794.77	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2004	1903.00	1879.82	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2005	1886.00	1968.90	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2006	2002.00	2062.20	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2007	2068.00	2159.92	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2008	2305.00	2262.27	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2009	2367.00	2369.47	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2010	2335.00	2481.75	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2011	2384.00	2599.35	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2012	2542.00	2722.52	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2013	3228.00	2851.53	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2014	3129.00	2986.65	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2015	3174.00	3128.18	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2016	3274.00	3276.41	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2017	3487.00	3431.67	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2018	3486.00	3594.28	NA	4.7386*	0	0
Men	50+	MultipleMyeloma	2019	3739.00	3764.60	NA	4.7386*	0	0
Men	50+	Oral	2001	2285.00	2133.27	NA	5.2569*	1	1
Men	50+	Oral	2002	2162.00	2245.41	NA	5.2569*	1	1
Men	50+	Oral	2003	2436.00	2363.45	NA	5.2569*	1	1
Men	50+	Oral	2004	2409.00	2487.70	NA	5.2569*	1	1
Men	50+	Oral	2005	2501.00	2618.47	NA	5.2569*	1	1
Men	50+	Oral	2006	2801.00	2756.13	NA	5.2569*	1	1
Men	50+	Oral	2007	2791.00	2901.01	NA	5.2569*	1	1
Men	50+	Oral	2008	3067.00	3053.52	NA	5.2569*	1	1
Men	50+	Oral	2009	3269.00	3214.04	NA	5.2569*	1	1
Men	50+	Oral	2010	3374.00	3383.00	NA	5.2569*	1	1
Men	50+	Oral	2011	3510.00	3560.84	NA	5.2569*	1	1
Men	50+	Oral	2012	3812.00	3748.04	NA	5.2569*	1	1
Men	50+	Oral	2013	3994.00	3945.07	Joinpoint 1	NA	1	1
Men	50+	Oral	2014	4025.00	4094.64	NA	3.7914	1	1
Men	50+	Oral	2015	4361.00	4249.88	NA	3.7914	1	1
Men	50+	Oral	2016	4460.00	4411.01	NA	3.7914	1	1
Men	50+	Oral	2017	4445.00	4578.25	NA	3.7914	1	1
Men	50+	Oral	2018	4658.00	4751.83	NA	3.7914	1	1
Men	50+	Oral	2019	5045.00	4931.99	NA	3.7914	1	1
Men	50+	Pancreas	2001	2723.00	2677.35	NA	3.1213*	0	0
Men	50+	Pancreas	2002	2832.00	2760.92	NA	3.1213*	0	0
Men	50+	Pancreas	2003	2796.00	2847.10	NA	3.1213*	0	0
Men	50+	Pancreas	2004	2988.00	2935.97	NA	3.1213*	0	0
Men	50+	Pancreas	2005	2990.00	3027.61	NA	3.1213*	0	0
Men	50+	Pancreas	2006	3136.00	3122.11	NA	3.1213*	0	0
Men	50+	Pancreas	2007	3094.00	3219.56	NA	3.1213*	0	0
Men	50+	Pancreas	2008	3366.00	3320.06	NA	3.1213*	0	0
Men	50+	Pancreas	2009	3379.00	3423.69	NA	3.1213*	0	0
Men	50+	Pancreas	2010	3461.00	3530.55	NA	3.1213*	0	0
Men	50+	Pancreas	2011	3542.00	3640.75	NA	3.1213*	0	0
Men	50+	Pancreas	2012	3769.00	3754.39	NA	3.1213*	0	0
Men	50+	Pancreas	2013	3988.00	3871.58	NA	3.1213*	0	0
Men	50+	Pancreas	2014	3969.00	3992.42	NA	3.1213*	0	0
Men	50+	Pancreas	2015	4123.00	4117.04	NA	3.1213*	0	0
Men	50+	Pancreas	2016	4323.00	4245.55	NA	3.1213*	0	0
Men	50+	Pancreas	2017	4483.00	4378.07	NA	3.1213*	0	0
Men	50+	Pancreas	2018	4473.00	4514.72	NA	3.1213*	0	0
Men	50+	Pancreas	2019	4588.00	4655.64	NA	3.1213*	0	0
Men	50+	Thyroid	2001	211.00	185.84	NA	8.0555*	1	1
Men	50+	Thyroid	2002	206.00	200.81	NA	8.0555*	1	1
Men	50+	Thyroid	2003	201.00	216.99	NA	8.0555*	1	1
Men	50+	Thyroid	2004	237.00	234.47	NA	8.0555*	1	1
Men	50+	Thyroid	2005	231.00	253.36	NA	8.0555*	1	1
Men	50+	Thyroid	2006	276.00	273.77	NA	8.0555*	1	1
Men	50+	Thyroid	2007	314.00	295.82	NA	8.0555*	1	1
Men	50+	Thyroid	2008	289.00	319.65	NA	8.0555*	1	1
Men	50+	Thyroid	2009	325.00	345.40	NA	8.0555*	1	1
Men	50+	Thyroid	2010	400.00	373.22	NA	8.0555*	1	1
Men	50+	Thyroid	2011	383.00	403.29	NA	8.0555*	1	1
Men	50+	Thyroid	2012	432.00	435.77	NA	8.0555*	1	1
Men	50+	Thyroid	2013	476.00	470.88	NA	8.0555*	1	1
Men	50+	Thyroid	2014	533.00	508.81	Joinpoint 1	NA	1	1
Men	50+	Thyroid	2015	518.00	529.61	NA	4.0874	1	1
Men	50+	Thyroid	2016	530.00	551.25	NA	4.0874	1	1
Men	50+	Thyroid	2017	605.00	573.79	NA	4.0874	1	1
Men	50+	Thyroid	2018	621.00	597.24	NA	4.0874	1	1
Men	50+	Thyroid	2019	593.00	621.65	NA	4.0874	1	1
Women	20-49	Breast	2001	6885.00	6830.48	NA	2.1622*	1	1
Women	20-49	Breast	2002	6804.00	6978.17	NA	2.1622*	1	1
Women	20-49	Breast	2003	7178.00	7129.05	NA	2.1622*	1	1
Women	20-49	Breast	2004	7345.00	7283.20	NA	2.1622*	1	1
Women	20-49	Breast	2005	7534.00	7440.68	NA	2.1622*	1	1
Women	20-49	Breast	2006	7569.00	7601.57	NA	2.1622*	1	1
Women	20-49	Breast	2007	7546.00	7765.93	NA	2.1622*	1	1
Women	20-49	Breast	2008	7916.00	7933.85	NA	2.1622*	1	1
Women	20-49	Breast	2009	8147.00	8105.40	NA	2.1622*	1	1
Women	20-49	Breast	2010	8593.00	8280.66	NA	2.1622*	1	1
Women	20-49	Breast	2011	8435.00	8459.71	NA	2.1622*	1	1
Women	20-49	Breast	2012	8622.00	8642.63	NA	2.1622*	1	1
Women	20-49	Breast	2013	8871.00	8829.50	Joinpoint 1	NA	1	1
Women	20-49	Breast	2014	8636.00	8756.07	NA	-0.8317*	1	1
Women	20-49	Breast	2015	8604.00	8683.24	NA	-0.8317*	1	1
Women	20-49	Breast	2016	8612.00	8611.02	NA	-0.8317*	1	1
Women	20-49	Breast	2017	8473.00	8539.40	NA	-0.8317*	1	1
Women	20-49	Breast	2018	8448.00	8468.37	NA	-0.8317*	1	1
Women	20-49	Breast	2019	8504.00	8397.94	NA	-0.8317*	1	1
Women	20-49	Colorectum	2001	678.00	646.45	NA	4.2504*	1	1
Women	20-49	Colorectum	2002	697.00	673.93	NA	4.2504*	1	1
Women	20-49	Colorectum	2003	686.00	702.57	NA	4.2504*	1	1
Women	20-49	Colorectum	2004	692.00	732.44	NA	4.2504*	1	1
Women	20-49	Colorectum	2005	779.00	763.57	NA	4.2504*	1	1
Women	20-49	Colorectum	2006	817.00	796.02	NA	4.2504*	1	1
Women	20-49	Colorectum	2007	824.00	829.86	NA	4.2504*	1	1
Women	20-49	Colorectum	2008	808.00	865.13	NA	4.2504*	1	1
Women	20-49	Colorectum	2009	890.00	901.90	NA	4.2504*	1	1
Women	20-49	Colorectum	2010	919.00	940.24	NA	4.2504*	1	1
Women	20-49	Colorectum	2011	960.00	980.20	NA	4.2504*	1	1
Women	20-49	Colorectum	2012	1091.00	1021.86	NA	4.2504*	1	1
Women	20-49	Colorectum	2013	1086.00	1065.29	NA	4.2504*	1	1
Women	20-49	Colorectum	2014	1067.00	1110.57	NA	4.2504*	1	1
Women	20-49	Colorectum	2015	1190.00	1157.78	Joinpoint 1	NA	1	1
Women	20-49	Colorectum	2016	1195.00	1164.86	NA	0.6116	1	1
Women	20-49	Colorectum	2017	1127.00	1171.98	NA	0.6116	1	1
Women	20-49	Colorectum	2018	1154.00	1179.15	NA	0.6116	1	1
Women	20-49	Colorectum	2019	1219.00	1186.36	NA	0.6116	1	1
Women	20-49	Endometrium	2001	301.00	281.26	NA	7.0130*	1	1
Women	20-49	Endometrium	2002	270.00	300.98	NA	7.0130*	1	1
Women	20-49	Endometrium	2003	338.00	322.09	NA	7.0130*	1	1
Women	20-49	Endometrium	2004	337.00	344.68	NA	7.0130*	1	1
Women	20-49	Endometrium	2005	361.00	368.85	NA	7.0130*	1	1
Women	20-49	Endometrium	2006	392.00	394.72	NA	7.0130*	1	1
Women	20-49	Endometrium	2007	424.00	422.40	Joinpoint 1	NA	1	1
Women	20-49	Endometrium	2008	462.00	431.09	NA	2.0562*	1	1
Women	20-49	Endometrium	2009	427.00	439.95	NA	2.0562*	1	1
Women	20-49	Endometrium	2010	442.00	449.00	NA	2.0562*	1	1
Women	20-49	Endometrium	2011	436.00	458.23	NA	2.0562*	1	1
Women	20-49	Endometrium	2012	463.00	467.65	NA	2.0562*	1	1
Women	20-49	Endometrium	2013	499.00	477.27	NA	2.0562*	1	1
Women	20-49	Endometrium	2014	528.00	487.08	NA	2.0562*	1	1
Women	20-49	Endometrium	2015	455.00	497.09	NA	2.0562*	1	1
Women	20-49	Endometrium	2016	494.00	507.32	NA	2.0562*	1	1
Women	20-49	Endometrium	2017	517.00	517.75	NA	2.0562*	1	1
Women	20-49	Endometrium	2018	537.00	528.39	NA	2.0562*	1	1
Women	20-49	Endometrium	2019	543.00	539.26	NA	2.0562*	1	1
Women	20-49	Gallbladder	2001	25.00	23.83	NA	3.2321*	0	0
Women	20-49	Gallbladder	2002	20.00	24.60	NA	3.2321*	0	0
Women	20-49	Gallbladder	2003	26.00	25.40	NA	3.2321*	0	0
Women	20-49	Gallbladder	2004	25.00	26.22	NA	3.2321*	0	0
Women	20-49	Gallbladder	2005	27.00	27.06	NA	3.2321*	0	0
Women	20-49	Gallbladder	2006	27.00	27.94	NA	3.2321*	0	0
Women	20-49	Gallbladder	2007	29.00	28.84	NA	3.2321*	0	0
Women	20-49	Gallbladder	2008	28.00	29.77	NA	3.2321*	0	0
Women	20-49	Gallbladder	2009	28.00	30.74	NA	3.2321*	0	0
