"incmort"	"Cancer label"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
"Mortality"	Prostate	1	1998	15.77	15.16	NA	-1.0716*	0	0
"Mortality"	Prostate	1	1999	14.08	15.00	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2000	15.22	14.84	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2001	15.13	14.68	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2002	12.88	14.52	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2003	14.52	14.37	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2004	15.79	14.21	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2005	14.09	14.06	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2006	12.89	13.91	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2007	14.03	13.76	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2008	12.99	13.61	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2009	12.22	13.47	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2010	13.82	13.32	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2011	12.33	13.18	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2012	14.38	13.04	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2013	13.79	12.90	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2014	11.58	12.76	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2015	12.08	12.62	NA	-1.0716*	0	0
"Mortality"	Prostate	1	2016	14.07	12.49	NA	-1.0716*	0	0
"Incidence"	All sites excl. non-melanoma skin cancer	2	1993	247.91	245.18	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	1994	241.90	244.69	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	1995	242.97	244.20	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	1996	243.90	243.71	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	1997	241.99	243.22	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	1998	245.14	242.73	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	1999	240.18	242.25	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2000	248.04	241.76	NA	-0.2000	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2001	234.95	241.28	Joinpoint 1	NA	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2002	244.56	243.68	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2003	250.85	246.11	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2004	251.93	248.56	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2005	243.37	251.04	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2006	246.40	253.54	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2007	259.42	256.07	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2008	266.68	258.62	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2009	265.39	261.19	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2010	255.54	263.79	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2011	265.68	266.42	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2012	273.09	269.08	NA	0.9961*	1	1
"Incidence"	All sites excl. non-melanoma skin cancer	2	2013	269.85	271.76	NA	0.9961*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	1996	110.61	111.32	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	1997	110.32	110.30	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	1998	107.39	109.28	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	1999	108.96	108.28	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2000	111.43	107.28	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2001	106.40	106.30	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2002	102.12	105.32	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2003	106.44	104.35	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2004	103.91	103.39	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2005	100.86	102.44	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2006	102.16	101.50	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2007	98.11	100.57	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2008	101.26	99.64	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2009	98.81	98.73	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2010	99.18	97.82	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2011	95.63	96.92	NA	-0.9194*	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2012	96.40	96.03	Joinpoint 1	NA	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2013	94.74	96.55	NA	0.5389	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2014	100.99	97.07	NA	0.5389	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2015	94.39	97.59	NA	0.5389	1	1
"Mortality"	All sites excl. non-melanoma skin cancer	2	2016	99.09	98.12	NA	0.5389	1	1
"Incidence"	Breast	2	1993	67.75	71.74	NA	0.8656*	0	0
"Incidence"	Breast	2	1994	73.29	72.36	NA	0.8656*	0	0
"Incidence"	Breast	2	1995	75.56	72.99	NA	0.8656*	0	0
"Incidence"	Breast	2	1996	73.15	73.62	NA	0.8656*	0	0
"Incidence"	Breast	2	1997	72.32	74.26	NA	0.8656*	0	0
"Incidence"	Breast	2	1998	76.61	74.90	NA	0.8656*	0	0
"Incidence"	Breast	2	1999	75.67	75.55	NA	0.8656*	0	0
"Incidence"	Breast	2	2000	77.30	76.21	NA	0.8656*	0	0
"Incidence"	Breast	2	2001	75.20	76.86	NA	0.8656*	0	0
"Incidence"	Breast	2	2002	75.14	77.53	NA	0.8656*	0	0
"Incidence"	Breast	2	2003	81.62	78.20	NA	0.8656*	0	0
"Incidence"	Breast	2	2004	86.62	78.88	NA	0.8656*	0	0
"Incidence"	Breast	2	2005	78.87	79.56	NA	0.8656*	0	0
"Incidence"	Breast	2	2006	71.59	80.25	NA	0.8656*	0	0
"Incidence"	Breast	2	2007	83.53	80.94	NA	0.8656*	0	0
"Incidence"	Breast	2	2008	84.26	81.64	NA	0.8656*	0	0
"Incidence"	Breast	2	2009	85.97	82.35	NA	0.8656*	0	0
"Incidence"	Breast	2	2010	81.34	83.06	NA	0.8656*	0	0
"Incidence"	Breast	2	2011	84.54	83.78	NA	0.8656*	0	0
"Incidence"	Breast	2	2012	84.85	84.51	NA	0.8656*	0	0
"Incidence"	Breast	2	2013	80.79	85.24	NA	0.8656*	0	0
"Mortality"	Breast	2	1996	22.51	21.64	NA	-1.5816*	0	0
"Mortality"	Breast	2	1997	19.13	21.30	NA	-1.5816*	0	0
"Mortality"	Breast	2	1998	21.61	20.96	NA	-1.5816*	0	0
"Mortality"	Breast	2	1999	20.60	20.63	NA	-1.5816*	0	0
"Mortality"	Breast	2	2000	20.73	20.30	NA	-1.5816*	0	0
"Mortality"	Breast	2	2001	21.29	19.98	NA	-1.5816*	0	0
"Mortality"	Breast	2	2002	18.31	19.67	NA	-1.5816*	0	0
"Mortality"	Breast	2	2003	18.26	19.36	NA	-1.5816*	0	0
"Mortality"	Breast	2	2004	20.86	19.05	NA	-1.5816*	0	0
"Mortality"	Breast	2	2005	18.50	18.75	NA	-1.5816*	0	0
"Mortality"	Breast	2	2006	18.67	18.45	NA	-1.5816*	0	0
"Mortality"	Breast	2	2007	17.87	18.16	NA	-1.5816*	0	0
"Mortality"	Breast	2	2008	18.69	17.87	NA	-1.5816*	0	0
"Mortality"	Breast	2	2009	18.14	17.59	NA	-1.5816*	0	0
"Mortality"	Breast	2	2010	15.98	17.31	NA	-1.5816*	0	0
"Mortality"	Breast	2	2011	18.30	17.04	NA	-1.5816*	0	0
