"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
BMI	20-49	Men	Pancreas	Rate	0	15	2	13	0.052837	0.004064	Uncorrelated	0	NA	NA	NA	-34.578178	7.665651	-4.510795	0.000586	0.017413	0.003810	4.570433	0.000525	NA	NA	NA	NA	58.762208	-0.029206	0.000015	1.000000	-0.999998	1.000000
BMI	20-49	Men	Pancreas	attributable_rate	1	15	4	11	0.044417	0.004038	Uncorrelated	0	NA	NA	NA	-117.085049	20.583412	-5.688321	0.000202	0.057364	0.010248	5.597483	0.000228	NA	NA	NA	NA	423.676845	0.000000	1024.940131	1.000000	0.000000	1.000000
BMI	20-49	Men	Pancreas	attributable_rate	1	15	4	11	0.044417	0.004038	Uncorrelated	1	2013	2007	2016	-2.348483	32.014686	-0.073356	0.942969	0.000366	0.015876	0.023054	0.982061	-0.056998	0.018897	-3.016292	0.012977	0.000105	0.000000	0.000252	1.000000	0.000000	1.000000
BMI	20-49	Men	Pancreas	non_attributable_rate	0	15	2	13	0.050696	0.003900	Uncorrelated	0	NA	NA	NA	-30.564667	7.508728	-4.070552	0.001324	0.015360	0.003732	4.115831	0.001217	NA	NA	NA	NA	56.380989	-0.028022	0.000014	1.000000	-0.999998	1.000000
BMI	20-49	Men	Thyroid	Rate	1	15	4	11	0.023042	0.002095	Uncorrelated	0	NA	NA	NA	-167.806452	17.793869	-9.430577	0.000003	0.083856	0.008861	9.462929	0.000003	NA	NA	NA	NA	316.621767	0.000000	319.149673	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	Rate	1	15	4	11	0.023042	0.002095	Uncorrelated	1	2012	2009	2014	-59.502060	17.864761	-3.330695	0.007609	0.030026	0.008861	3.388414	0.006904	-0.053829	0.012532	-4.295331	0.001573	0.000079	0.000000	0.000079	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	15	6	9	0.013151	0.001461	Uncorrelated	0	NA	NA	NA	-110.435803	78.858688	-1.400427	0.204119	0.053975	0.039321	1.372660	0.212218	NA	NA	NA	NA	6218.692710	0.000000	0.000387	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	15	6	9	0.013151	0.001461	Uncorrelated	1	2007	2007	2013	-286.852306	39.498158	-7.262422	0.000168	0.141875	0.019661	7.216221	0.000175	0.087901	0.043962	1.999447	0.085689	0.001546	0.000000	74.772279	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	15	6	9	0.013151	0.001461	Uncorrelated	2	2011	2010	2017	-67.870103	8.647097	-7.848889	0.000103	0.032983	0.004290	7.687833	0.000117	-0.108892	0.020123	-5.411257	0.000996	1560.104507	0.000000	0.000018	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	non_attributable_rate	1	15	4	11	0.022969	0.002088	Uncorrelated	0	NA	NA	NA	-162.972701	17.767158	-9.172694	0.000003	0.081406	0.008848	9.200315	0.000003	NA	NA	NA	NA	315.671915	0.000000	318.192237	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	non_attributable_rate	1	15	4	11	0.022969	0.002088	Uncorrelated	1	2012	2009	2014	-59.615590	17.837944	-3.342066	0.007464	0.030036	0.008848	3.394564	0.006833	-0.051370	0.012513	-4.105285	0.002127	0.000078	0.000000	0.000078	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	Rate	0	15	2	13	0.029389	0.002261	Uncorrelated	0	NA	NA	NA	-64.507608	5.717032	-11.283409	0.000000	0.033160	0.002841	11.670047	0.000000	NA	NA	NA	NA	32.684450	-0.016245	0.000008	1.000000	-0.999998	1.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	15	6	9	0.012591	0.001399	Uncorrelated	0	NA	NA	NA	-43.917949	50.093370	-0.876722	0.409715	0.021840	0.024972	0.874575	0.410805	NA	NA	NA	NA	2509.345763	0.000000	0.000624	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	15	6	9	0.012591	0.001399	Uncorrelated	1	2008	2007	2014	-179.460746	50.193258	-3.575395	0.009032	0.089341	0.024972	3.577684	0.009004	0.067501	0.035315	1.911386	0.097558	0.000624	0.000000	181.030614	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	15	6	9	0.012591	0.001399	Uncorrelated	2	2012	2010	2017	-46.378900	13.454762	-3.447025	0.010734	0.023197	0.006674	3.475738	0.010326	-0.066144	0.025848	-2.558939	0.037610	2519.363100	0.000000	0.000045	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	non_attributable_rate	0	15	2	13	0.027349	0.002104	Uncorrelated	0	NA	NA	NA	-60.399135	5.515073	-10.951648	0.000000	0.031047	0.002741	11.326384	0.000000	NA	NA	NA	NA	30.416028	-0.015117	0.000008	1.000000	-0.999998	1.000000
BMI	20-49	Women	Endometrium	Rate	0	15	2	13	0.034812	0.002678	Uncorrelated	0	NA	NA	NA	-44.665880	6.222173	-7.178502	0.000007	0.022915	0.003093	7.409715	0.000005	NA	NA	NA	NA	38.715434	-0.019242	0.000010	1.000000	-0.999998	1.000000
BMI	20-49	Women	Endometrium	attributable_rate	0	15	2	13	0.044670	0.003436	Uncorrelated	0	NA	NA	NA	-75.806414	7.048293	-10.755287	0.000000	0.037769	0.003503	10.781528	0.000000	NA	NA	NA	NA	49.678436	-0.024691	0.000012	1.000000	-0.999998	1.000000
BMI	20-49	Women	Endometrium	non_attributable_rate	0	15	2	13	0.034818	0.002678	Uncorrelated	0	NA	NA	NA	-33.310938	6.222695	-5.353137	0.000131	0.017103	0.003093	5.530117	0.000097	NA	NA	NA	NA	38.721937	-0.019245	0.000010	1.000000	-0.999998	1.000000
BMI	20-49	Women	Gallbladder	Rate	0	15	2	13	0.371910	0.028608	Uncorrelated	0	NA	NA	NA	-73.497202	20.337477	-3.613880	0.003147	0.035919	0.010108	3.553530	0.003532	NA	NA	NA	NA	413.612973	-0.205572	0.000102	1.000000	-0.999998	1.000000
BMI	20-49	Women	Gallbladder	attributable_rate	0	15	2	13	0.431737	0.033211	Uncorrelated	0	NA	NA	NA	-107.119003	21.912306	-4.888532	0.000296	0.051761	0.010891	4.752710	0.000378	NA	NA	NA	NA	480.149144	-0.238642	0.000119	1.000000	-0.999998	1.000000
BMI	20-49	Women	Gallbladder	non_attributable_rate	0	15	2	13	0.362271	0.027867	Uncorrelated	0	NA	NA	NA	-67.106222	20.072205	-3.343241	0.005289	0.032648	0.009976	3.272539	0.006060	NA	NA	NA	NA	402.893424	-0.200244	0.000100	1.000000	-0.999998	1.000000
BMI	20-49	Women	Kidney	Rate	1	15	4	11	0.066699	0.006064	Uncorrelated	0	NA	NA	NA	-115.083468	18.064316	-6.370762	0.000081	0.057660	0.008989	6.414196	0.000077	NA	NA	NA	NA	326.319528	0.000000	5427.218673	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	Rate	1	15	4	11	0.066699	0.006064	Uncorrelated	1	2015	2010	2017	3.482830	73.669659	0.047276	0.963224	-0.001182	0.036515	-0.032363	0.974819	-0.058842	0.037606	-1.564711	0.148718	0.000081	0.000000	0.001333	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	attributable_rate	1	15	4	11	0.068615	0.006238	Uncorrelated	0	NA	NA	NA	-159.382407	21.347438	-7.466114	0.000021	0.078958	0.010626	7.430743	0.000022	NA	NA	NA	NA	455.713121	0.000000	2756.095122	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	attributable_rate	1	15	4	11	0.068615	0.006238	Uncorrelated	1	2014	2011	2017	-22.921174	52.498525	-0.436606	0.671673	0.011202	0.026028	0.430381	0.676046	-0.067756	0.028113	-2.410102	0.036677	0.000113	0.000000	0.000677	1.000000	0.000000	1.000000
BMI	20-49	Women	Kidney	non_attributable_rate	0	15	2	13	0.096302	0.007408	Uncorrelated	0	NA	NA	NA	-82.200621	10.348961	-7.942886	0.000002	0.041168	0.005144	8.003690	0.000002	NA	NA	NA	NA	107.100993	-0.053231	0.000026	1.000000	-0.999998	1.000000
BMI	20-49	Women	Liver	Rate	0	15	2	13	0.123237	0.009480	Uncorrelated	0	NA	NA	NA	-43.022693	11.707107	-3.674921	0.002801	0.021162	0.005819	3.637002	0.003011	NA	NA	NA	NA	137.056344	-0.068119	0.000034	1.000000	-0.999998	1.000000
BMI	20-49	Women	Liver	attributable_rate	1	15	4	11	0.071968	0.006543	Uncorrelated	0	NA	NA	NA	-258.296366	113.795989	-2.269820	0.046585	0.127521	0.056728	2.247947	0.048348	NA	NA	NA	NA	12949.527177	0.000000	237.328173	1.000000	0.000000	1.000000
BMI	20-49	Women	Liver	attributable_rate	1	15	4	11	0.071968	0.006543	Uncorrelated	1	2008	2007	2010	-51.046639	15.405459	-3.313542	0.007832	0.024309	0.007649	3.178000	0.009853	-0.103212	0.057241	-1.803107	0.101537	0.003218	0.000000	0.000059	1.000000	0.000000	1.000000
BMI	20-49	Women	Liver	non_attributable_rate	0	15	2	13	0.122466	0.009420	Uncorrelated	0	NA	NA	NA	-35.969369	11.670412	-3.082099	0.008743	0.017560	0.005800	3.027346	0.009714	NA	NA	NA	NA	136.198507	-0.067693	0.000034	1.000000	-0.999998	1.000000
BMI	20-49	Women	MultipleMyeloma	Rate	0	15	2	13	0.165784	0.012753	Uncorrelated	0	NA	NA	NA	-124.584042	13.578448	-9.175131	0.000000	0.061930	0.006749	9.176495	0.000000	NA	NA	NA	NA	184.374252	-0.091637	0.000046	1.000000	-0.999998	1.000000
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1	15	4	11	0.110730	0.010066	Uncorrelated	0	NA	NA	NA	-214.488580	25.851705	-8.296883	0.000009	0.105349	0.012871	8.184872	0.000010	NA	NA	NA	NA	668.310651	0.000000	1616.747326	1.000000	0.000000	1.000000
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1	15	4	11	0.110730	0.010066	Uncorrelated	1	2013	2010	2017	-65.623319	40.208797	-1.632064	0.133717	0.031397	0.019940	1.574568	0.146433	-0.073952	0.023733	-3.115968	0.010949	0.000166	0.000000	0.000398	1.000000	0.000000	1.000000
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	0	15	2	13	0.163637	0.012587	Uncorrelated	0	NA	NA	NA	-122.572465	13.490229	-9.086018	0.000001	0.060893	0.006705	9.081940	0.000001	NA	NA	NA	NA	181.986280	-0.090450	0.000045	1.000000	-0.999998	1.000000
BMI	20-49	Women	Pancreas	Rate	0	15	2	13	0.042566	0.003274	Uncorrelated	0	NA	NA	NA	-48.468327	6.880346	-7.044461	0.000009	0.024196	0.003420	7.075525	0.000008	NA	NA	NA	NA	47.339163	-0.023528	0.000012	1.000000	-0.999998	1.000000
BMI	20-49	Women	Pancreas	attributable_rate	0	15	2	13	0.051239	0.003941	Uncorrelated	0	NA	NA	NA	-78.956763	7.548775	-10.459546	0.000000	0.038151	0.003752	10.168458	0.000000	NA	NA	NA	NA	56.984010	-0.028322	0.000014	1.000000	-0.999998	1.000000
BMI	20-49	Women	Pancreas	non_attributable_rate	0	15	2	13	0.042336	0.003257	Uncorrelated	0	NA	NA	NA	-45.840968	6.861751	-6.680652	0.000015	0.022843	0.003410	6.698069	0.000015	NA	NA	NA	NA	47.083624	-0.023401	0.000012	1.000000	-0.999998	1.000000
BMI	20-49	Women	Thyroid	Rate	1	15	4	11	0.012379	0.001125	Uncorrelated	0	NA	NA	NA	-134.328687	10.546623	-12.736654	0.000000	0.067832	0.005251	12.917912	0.000000	NA	NA	NA	NA	111.231250	0.000000	269.085679	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	Rate	1	15	4	11	0.012379	0.001125	Uncorrelated	1	2013	2010	2017	-67.817749	16.403831	-4.134263	0.002030	0.034791	0.008135	4.276827	0.001619	-0.033041	0.009682	-3.412468	0.006631	0.000028	0.000000	0.000066	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	15	4	11	0.012188	0.001108	Uncorrelated	0	NA	NA	NA	-187.314284	10.484363	-17.866063	0.000000	0.092899	0.005220	17.796807	0.000000	NA	NA	NA	NA	109.921866	0.000000	265.918077	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	15	4	11	0.012188	0.001108	Uncorrelated	1	2013	2011	2015	-77.128113	16.306995	-4.729756	0.000804	0.038162	0.008087	4.719051	0.000818	-0.054737	0.009625	-5.686878	0.000202	0.000027	0.000000	0.000065	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	15	4	11	0.012424	0.001129	Uncorrelated	0	NA	NA	NA	-130.442311	10.562673	-12.349365	0.000000	0.065860	0.005259	12.523304	0.000000	NA	NA	NA	NA	111.570070	0.000000	269.905338	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	15	4	11	0.012424	0.001129	Uncorrelated	1	2013	2010	2017	-67.220072	16.428796	-4.091601	0.002174	0.034453	0.008147	4.228808	0.001747	-0.031407	0.009697	-3.238806	0.008887	0.000028	0.000000	0.000066	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	Rate	2	15	6	9	0.001772	0.000197	Uncorrelated	0	NA	NA	NA	-22.297250	6.088074	-3.662447	0.008044	0.013771	0.003033	4.540993	0.002665	NA	NA	NA	NA	37.064644	0.000000	0.000322	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	Rate	2	15	6	9	0.001772	0.000197	Uncorrelated	1	2011	2008	2013	72.527160	36.107227	2.008661	0.084533	-0.033382	0.017941	-1.860580	0.105122	-0.047153	0.018196	-2.591389	0.035872	0.000009	0.000000	65.478462	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	Rate	2	15	6	9	0.001772	0.000197	Uncorrelated	2	2014	2013	2017	5.867970	8.091876	0.725168	0.491873	-0.000284	0.004012	-0.070703	0.945611	0.033098	0.018385	1.800312	0.114832	1303.731807	0.000000	0.000016	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	attributable_rate	2	15	6	9	0.001758	0.000195	Uncorrelated	0	NA	NA	NA	-57.009315	4.131355	-13.799182	0.000002	0.030191	0.002058	14.670464	0.000002	NA	NA	NA	NA	17.068093	0.000000	0.000037	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	attributable_rate	2	15	6	9	0.001758	0.000195	Uncorrelated	1	2011	2009	2013	43.114896	12.254190	3.518380	0.009749	-0.019597	0.006088	-3.219215	0.014669	-0.049788	0.006426	-7.747970	0.000112	0.000004	0.000000	60.334933	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	attributable_rate	2	15	6	9	0.001758	0.000195	Uncorrelated	2	2015	2013	2017	-25.231191	7.767556	-3.248279	0.014091	0.014322	0.003850	3.719810	0.007458	0.033919	0.007203	4.709055	0.002185	150.165181	0.000000	0.000015	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	15	6	9	0.001887	0.000210	Uncorrelated	0	NA	NA	NA	-15.078606	6.351208	-2.374132	0.049306	0.010080	0.003164	3.186150	0.015359	NA	NA	NA	NA	40.337840	0.000000	0.000350	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	15	6	9	0.001887	0.000210	Uncorrelated	1	2011	2008	2013	75.926568	37.667824	2.015688	0.083661	-0.035174	0.018717	-1.879237	0.102281	-0.045254	0.018982	-2.383978	0.048597	0.000010	0.000000	71.260895	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	15	6	9	0.001887	0.000210	Uncorrelated	2	2014	2012	2017	10.280638	8.441617	1.217852	0.262734	-0.002579	0.004185	-0.616153	0.557290	0.032595	0.019179	1.699492	0.133027	1418.864957	0.000000	0.000018	1.000000	0.000000	1.000000
BMI	50+	Men	Gallbladder	Rate	0	15	2	13	0.048492	0.003730	Uncorrelated	0	NA	NA	NA	-46.864889	7.343668	-6.381673	0.000024	0.024288	0.003650	6.654260	0.000016	NA	NA	NA	NA	53.929467	-0.026804	0.000013	1.000000	-0.999998	1.000000
BMI	50+	Men	Gallbladder	attributable_rate	0	15	2	13	0.060329	0.004641	Uncorrelated	0	NA	NA	NA	-108.422756	8.191113	-13.236632	0.000000	0.053844	0.004071	13.225831	0.000000	NA	NA	NA	NA	67.094340	-0.033347	0.000017	1.000000	-0.999998	1.000000
BMI	50+	Men	Gallbladder	non_attributable_rate	0	15	2	13	0.048240	0.003711	Uncorrelated	0	NA	NA	NA	-38.646895	7.324595	-5.276319	0.000150	0.020137	0.003640	5.531413	0.000097	NA	NA	NA	NA	53.649686	-0.026665	0.000013	1.000000	-0.999998	1.000000
BMI	50+	Men	Kidney	Rate	1	15	4	11	0.013413	0.001219	Uncorrelated	0	NA	NA	NA	-78.595778	9.042293	-8.692018	0.000006	0.041028	0.004501	9.115429	0.000004	NA	NA	NA	NA	81.763067	0.000000	494.492655	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	Rate	1	15	4	11	0.013413	0.001219	Uncorrelated	1	2014	2012	2016	-3.770105	22.237191	-0.169541	0.868752	0.003875	0.011025	0.351457	0.732538	-0.037153	0.011908	-3.119923	0.010875	0.000020	0.000000	0.000122	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	attributable_rate	2	15	6	9	0.007767	0.000863	Uncorrelated	0	NA	NA	NA	-88.059884	17.714279	-4.971125	0.001617	0.044932	0.008826	5.090741	0.001414	NA	NA	NA	NA	313.795663	0.000000	0.001558	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	attributable_rate	2	15	6	9	0.007767	0.000863	Uncorrelated	1	2010	2007	2014	-166.654782	79.398269	-2.098972	0.073983	0.084034	0.039472	2.128945	0.070780	0.039102	0.040447	0.966747	0.365876	0.000078	0.000000	181.013386	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	attributable_rate	2	15	6	9	0.007767	0.000863	Uncorrelated	2	2013	2012	2017	-24.777348	13.454122	-1.841618	0.108088	0.013553	0.006672	2.031392	0.081745	-0.070481	0.040032	-1.760603	0.121695	6304.085182	0.000000	0.000045	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	non_attributable_rate	1	15	4	11	0.013717	0.001247	Uncorrelated	0	NA	NA	NA	-70.310289	9.096134	-7.729689	0.000016	0.036790	0.004528	8.125599	0.000010	NA	NA	NA	NA	82.739655	0.000000	500.398935	1.000000	0.000000	1.000000
BMI	50+	Men	Kidney	non_attributable_rate	1	15	4	11	0.013717	0.001247	Uncorrelated	1	2014	2012	2016	1.599297	22.369598	0.071494	0.944414	0.001085	0.011091	0.097860	0.923977	-0.035705	0.011979	-2.980587	0.013794	0.000020	0.000000	0.000123	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	Rate	1	15	4	11	0.006697	0.000609	Uncorrelated	0	NA	NA	NA	-119.558407	6.024615	-19.844986	0.000000	0.061104	0.003000	20.371058	0.000000	NA	NA	NA	NA	36.295989	0.000000	87.805639	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	Rate	1	15	4	11	0.006697	0.000609	Uncorrelated	1	2013	2012	2015	-43.437327	9.370466	-4.635557	0.000928	0.023289	0.004647	5.011824	0.000528	-0.037815	0.005531	-6.836983	0.000045	0.000009	0.000000	0.000022	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	attributable_rate	1	15	4	11	0.006999	0.000636	Uncorrelated	0	NA	NA	NA	-163.229436	6.253830	-26.100716	0.000000	0.082086	0.003114	26.362955	0.000000	NA	NA	NA	NA	39.110388	0.000000	94.614107	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	attributable_rate	1	15	4	11	0.006999	0.000636	Uncorrelated	1	2013	2012	2015	-69.048694	9.726978	-7.098679	0.000033	0.035300	0.004824	7.317951	0.000025	-0.046786	0.005741	-8.149011	0.000010	0.000010	0.000000	0.000023	1.000000	0.000000	1.000000
BMI	50+	Men	Liver	non_attributable_rate	1	15	4	11	0.006493	0.000590	Uncorrelated	0	NA	NA	NA	-103.107174	6.474223	-15.925798	0.000000	0.052790	0.003223	16.381234	0.000000	NA	NA	NA	NA	41.915569	0.000000	253.500041	1.000000	0.000000	1.000000
