"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
BMI	20-49	Women	Pancreas	attributable_rate	0	Full Range	2005	2019	3.8888	3.0501	4.7343	1	10.1685	0.000000
BMI	20-49	Women	Pancreas	non_attributable_rate	0	Full Range	2005	2019	2.3106	1.5596	3.0672	1	6.6981	0.000015
BMI	20-49	Women	Thyroid	Rate	1	Full Range	2005	2019	5.5138	4.5668	6.4693	1	11.6683	0.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	Full Range	2005	2019	7.1908	6.2344	8.1558	1	15.1861	0.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	Full Range	2005	2019	5.3797	4.4325	6.3355	1	11.3745	0.000000
BMI	50+	Men	Colorectum	Rate	2	Full Range	2005	2019	-0.1352	-0.9740	0.7108	0	-0.3143	0.753327
BMI	50+	Men	Colorectum	attributable_rate	2	Full Range	2005	2019	1.1497	0.7068	1.5946	1	5.1058	0.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	Full Range	2005	2019	-0.4130	-1.2855	0.4673	0	-0.9217	0.356709
BMI	50+	Men	Gallbladder	Rate	0	Full Range	2005	2019	2.4585	1.6538	3.2696	1	6.6543	0.000016
BMI	50+	Men	Gallbladder	attributable_rate	0	Full Range	2005	2019	5.5320	4.6079	6.4643	1	13.2258	0.000000
BMI	50+	Men	Gallbladder	non_attributable_rate	0	Full Range	2005	2019	2.0341	1.2348	2.8397	1	5.5314	0.000097
BMI	50+	Men	Kidney	Rate	1	Full Range	2005	2019	2.8148	1.8348	3.8041	1	5.6810	0.000000
BMI	50+	Men	Kidney	attributable_rate	2	Full Range	2005	2019	4.0668	2.1533	6.0162	1	4.2100	0.000026
BMI	50+	Men	Kidney	non_attributable_rate	1	Full Range	2005	2019	2.4330	1.4509	3.4246	1	4.8905	0.000001
BMI	50+	Men	Liver	Rate	1	Full Range	2005	2019	4.5921	4.0548	5.1321	1	17.0873	0.000000
BMI	50+	Men	Liver	attributable_rate	1	Full Range	2005	2019	6.3999	5.8326	6.9702	1	22.7438	0.000000
BMI	50+	Men	Liver	non_attributable_rate	1	Full Range	2005	2019	3.9447	3.2344	4.6599	1	11.0587	0.000000
BMI	50+	Men	MultipleMyeloma	Rate	0	Full Range	2005	2019	3.2279	2.5277	3.9329	1	10.0841	0.000000
BMI	50+	Men	MultipleMyeloma	attributable_rate	0	Full Range	2005	2019	4.4321	3.7001	5.1692	1	13.3205	0.000000
BMI	50+	Men	MultipleMyeloma	non_attributable_rate	0	Full Range	2005	2019	3.0939	2.3949	3.7977	1	9.6751	0.000000
BMI	50+	Men	Pancreas	Rate	0	Full Range	2005	2019	1.4198	1.1774	1.6627	1	12.7305	0.000000
BMI	50+	Men	Pancreas	attributable_rate	1	Full Range	2005	2019	3.4319	2.9738	3.8920	1	14.8991	0.000000
BMI	50+	Men	Pancreas	non_attributable_rate	0	Full Range	2005	2019	1.0990	0.8592	1.3394	1	9.9413	0.000000
BMI	50+	Men	Thyroid	Rate	1	Full Range	2005	2019	5.0241	3.1573	6.9247	1	5.3569	0.000000
BMI	50+	Men	Thyroid	attributable_rate	1	Full Range	2005	2019	6.6291	4.6942	8.5996	1	6.8699	0.000000
BMI	50+	Men	Thyroid	non_attributable_rate	1	Full Range	2005	2019	4.8361	2.9754	6.7305	1	5.1688	0.000000
BMI	50+	Women	Breast	Rate	0	Full Range	2005	2019	0.3803	0.1549	0.6061	1	3.6483	0.002947
BMI	50+	Women	Breast	attributable_rate	1	Full Range	2005	2019	0.9809	0.5964	1.3669	1	5.0145	0.000001
BMI	50+	Women	Breast	non_attributable_rate	0	Full Range	2005	2019	0.3210	0.0939	0.5486	1	3.0546	0.009218
BMI	50+	Women	Colorectum	Rate	2	Full Range	2005	2019	0.0576	-0.5981	0.7177	0	0.1718	0.863600
BMI	50+	Women	Colorectum	attributable_rate	2	Full Range	2005	2019	0.8750	0.1929	1.5617	1	2.5168	0.011844
BMI	50+	Women	Colorectum	non_attributable_rate	2	Full Range	2005	2019	-0.0906	-0.7256	0.5485	0	-0.2786	0.780537
BMI	50+	Women	Endometrium	Rate	1	Full Range	2005	2019	1.2902	0.8743	1.7078	1	6.1066	0.000000
BMI	50+	Women	Endometrium	attributable_rate	1	Full Range	2005	2019	2.2632	1.8240	2.7042	1	10.1929	0.000000
BMI	50+	Women	Endometrium	non_attributable_rate	1	Full Range	2005	2019	0.8053	0.3515	1.2611	1	3.4842	0.000494
BMI	50+	Women	Gallbladder	Rate	0	Full Range	2005	2019	2.9697	2.4369	3.5053	1	12.1863	0.000000
BMI	50+	Women	Gallbladder	attributable_rate	1	Full Range	2005	2019	3.9912	3.0451	4.9459	1	8.3933	0.000000
BMI	50+	Women	Gallbladder	non_attributable_rate	0	Full Range	2005	2019	2.7221	2.1959	3.2510	1	11.2986	0.000000
BMI	50+	Women	Kidney	Rate	1	Full Range	2005	2019	2.6364	1.7033	3.5780	1	5.5847	0.000000
BMI	50+	Women	Kidney	attributable_rate	2	Full Range	2005	2019	3.6753	2.0111	5.3666	1	4.3717	0.000012
BMI	50+	Women	Kidney	non_attributable_rate	1	Full Range	2005	2019	2.3778	1.4850	3.2784	1	5.2585	0.000000
BMI	50+	Women	Liver	Rate	1	Full Range	2005	2019	3.6138	2.3370	4.9065	1	5.6116	0.000000
BMI	50+	Women	Liver	attributable_rate	1	Full Range	2005	2019	4.5619	3.1769	5.9655	1	6.5569	0.000000
BMI	50+	Women	Liver	non_attributable_rate	1	Full Range	2005	2019	3.3343	2.0755	4.6085	1	5.2452	0.000000
BMI	50+	Women	MultipleMyeloma	Rate	0	Full Range	2005	2019	2.5947	1.8047	3.3909	1	7.1589	0.000007
BMI	50+	Women	MultipleMyeloma	attributable_rate	0	Full Range	2005	2019	3.2597	2.4686	4.0569	1	9.0107	0.000001
BMI	50+	Women	MultipleMyeloma	non_attributable_rate	0	Full Range	2005	2019	2.5257	1.7341	3.3235	1	6.9520	0.000010
BMI	50+	Women	Pancreas	Rate	1	Full Range	2005	2019	0.6572	0.3205	0.9950	1	3.8317	0.000127
BMI	50+	Women	Pancreas	attributable_rate	1	Full Range	2005	2019	1.4140	1.0011	1.8286	1	6.7455	0.000000
BMI	50+	Women	Pancreas	non_attributable_rate	1	Full Range	2005	2019	0.5697	0.2366	0.9040	1	3.3557	0.000792
BMI	50+	Women	Thyroid	Rate	1	Full Range	2005	2019	4.4751	3.3407	5.6220	1	7.8594	0.000000
BMI	50+	Women	Thyroid	attributable_rate	1	Full Range	2005	2019	5.3324	4.2898	6.3854	1	10.2360	0.000000
BMI	50+	Women	Thyroid	non_attributable_rate	1	Full Range	2005	2019	4.3787	3.2269	5.5433	1	7.5698	0.000000
