"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
BMI	20-49	Men	Gallbladder	attributable_rate	3	2	15	6	9	       0.5739177	      -2.1800994	      -1.8190260	       0.2132441	      -2.1031027
BMI	20-49	Men	Gallbladder	non_attributable_rate	1	0	15	2	13	       0.6047994	      -2.8498354	      -2.8498354	       0.0000000	      -2.8498354
BMI	20-49	Men	Gallbladder	non_attributable_rate	2	1	15	4	11	       0.5455797	      -2.5918099	      -2.4112733	       0.0979163	      -2.5741325
BMI	20-49	Men	Gallbladder	non_attributable_rate	3	2	15	6	9	       0.5076376	      -2.3028175	      -1.9417441	       0.2254537	      -2.2214122
BMI	20-49	Men	Kidney	Rate	1	0	15	2	13	       0.0537595	      -5.2702122	      -5.2702122	       0.0000000	      -5.2702122
BMI	20-49	Men	Kidney	Rate	2	1	15	4	11	       0.0136270	      -6.2816081	      -6.1010714	       0.7465197	      -6.1468339
BMI	20-49	Men	Kidney	Rate	3	2	15	6	9	       0.0098465	      -6.2454683	      -5.8843950	       0.8199581	      -5.9494033
BMI	20-49	Men	Kidney	attributable_rate	1	0	15	2	13	       0.1031985	      -4.6180778	      -4.6180778	       0.0000000	      -4.6180778
BMI	20-49	Men	Kidney	attributable_rate	2	1	15	4	11	       0.0138279	      -6.2669702	      -6.0864335	       0.8660067	      -6.1106242
BMI	20-49	Men	Kidney	attributable_rate	3	2	15	6	9	       0.0102556	      -6.2047629	      -5.8436895	       0.6856015	      -5.9572105
BMI	20-49	Men	Kidney	non_attributable_rate	1	0	15	2	13	       0.0468368	      -5.4080639	      -5.4080639	       0.0000000	      -5.4080639
BMI	20-49	Men	Kidney	non_attributable_rate	2	1	15	4	11	       0.0135231	      -6.2892562	      -6.1087195	       0.7112707	      -6.1608457
BMI	20-49	Men	Kidney	non_attributable_rate	3	2	15	6	9	       0.0104477	      -6.1862035	      -5.8251301	       0.8783386	      -5.8690588
BMI	20-49	Men	Liver	Rate	1	0	15	2	13	       0.2523421	      -3.7239462	      -3.7239462	       0.0000000	      -3.7239462
BMI	20-49	Men	Liver	Rate	2	1	15	4	11	       0.1657901	      -3.7829361	      -3.6023994	       0.3429947	      -3.7210129
BMI	20-49	Men	Liver	Rate	3	2	15	6	9	       0.1496486	      -3.5242954	      -3.1632220	       0.2443477	      -3.4360679
BMI	20-49	Men	Liver	attributable_rate	1	0	15	2	13	       0.3440221	      -3.4140262	      -3.4140262	       0.0000000	      -3.4140262
BMI	20-49	Men	Liver	attributable_rate	2	1	15	4	11	       0.1780956	      -3.7113385	      -3.5308018	       0.4823136	      -3.6242632
BMI	20-49	Men	Liver	attributable_rate	3	2	15	6	9	       0.1460269	      -3.5487942	      -3.1877209	       0.3257592	      -3.4311713
BMI	20-49	Men	Liver	non_attributable_rate	1	0	15	2	13	       0.2374165	      -3.7849161	      -3.7849161	       0.0000000	      -3.7849161
BMI	20-49	Men	Liver	non_attributable_rate	2	1	15	4	11	       0.1643743	      -3.7915128	      -3.6109761	       0.3076544	      -3.7359699
BMI	20-49	Men	Liver	non_attributable_rate	3	2	15	6	9	       0.1512733	      -3.5134971	      -3.1524238	       0.2294013	      -3.4306664
BMI	20-49	Men	MultipleMyeloma	Rate	1	0	15	2	13	       0.2235963	      -3.8448899	      -3.8448899	       0.0000000	      -3.8448899
BMI	20-49	Men	MultipleMyeloma	Rate	2	1	15	4	11	       0.1599469	      -3.8188168	      -3.6382801	       0.2846621	      -3.7674249
BMI	20-49	Men	MultipleMyeloma	Rate	3	2	15	6	9	       0.1175482	      -3.7657370	      -3.4046637	       0.6988699	      -3.5133937
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1	0	15	2	13	       0.2601357	      -3.6935289	      -3.6935289	       0.0000000	      -3.6935289
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2	1	15	4	11	       0.1418282	      -3.9390424	      -3.7585057	       0.4547914	      -3.8569359
BMI	20-49	Men	MultipleMyeloma	attributable_rate	3	2	15	6	9	       0.1092822	      -3.8386518	      -3.4775785	       0.7483206	      -3.5684532
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	1	0	15	2	13	       0.2213362	      -3.8550494	      -3.8550494	       0.0000000	      -3.8550494
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2	1	15	4	11	       0.1617050	      -3.8078849	      -3.6273482	       0.2694143	      -3.7592457
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	3	2	15	6	9	       0.1184682	      -3.7579412	      -3.3968678	       0.6934930	      -3.5075393
BMI	20-49	Men	Pancreas	Rate	1	0	15	2	13	       0.0528374	      -5.2875126	      -5.2875126	       0.0000000	      -5.2875126
BMI	20-49	Men	Pancreas	Rate	2	1	15	4	11	       0.0433834	      -5.1235819	      -4.9430452	       0.1789265	      -5.0912791
BMI	20-49	Men	Pancreas	Rate	3	2	15	6	9	       0.0422355	      -4.7893248	      -4.4282514	       0.0487887	      -4.7717085
BMI	20-49	Men	Pancreas	attributable_rate	1	0	15	2	13	       0.0989963	      -4.6596498	      -4.6596498	       0.0000000	      -4.6596498
BMI	20-49	Men	Pancreas	attributable_rate	2	1	15	4	11	       0.0444173	      -5.1000297	      -4.9194930	       0.5513236	      -5.0004956
BMI	20-49	Men	Pancreas	attributable_rate	3	2	15	6	9	       0.0387240	      -4.8761247	      -4.5150514	       0.2143266	      -4.7987371
BMI	20-49	Men	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0506963	      -5.3288795	      -5.3288795	       0.0000000	      -5.3288795
BMI	20-49	Men	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0437888	      -5.1142803	      -4.9337436	       0.1362519	      -5.0896818
BMI	20-49	Men	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0431416	      -4.7680972	      -4.4070239	       0.0380194	      -4.7543694
BMI	20-49	Men	Thyroid	Rate	1	0	15	2	13	       0.0744254	      -4.9449346	      -4.9449346	       0.0000000	      -4.9449346
BMI	20-49	Men	Thyroid	Rate	2	1	15	4	11	       0.0230416	      -5.7563586	      -5.5758219	       0.6904072	      -5.6317147
BMI	20-49	Men	Thyroid	Rate	3	2	15	6	9	       0.0141405	      -5.8835397	      -5.5224663	       0.8010121	      -5.5943156
BMI	20-49	Men	Thyroid	attributable_rate	1	0	15	2	13	       0.1434278	      -4.2889004	      -4.2889004	       0.0000000	      -4.2889004
BMI	20-49	Men	Thyroid	attributable_rate	2	1	15	4	11	       0.0255135	      -5.6544518	      -5.4739151	       0.8221162	      -5.5060296
BMI	20-49	Men	Thyroid	attributable_rate	3	2	15	6	9	       0.0131511	      -5.9560833	      -5.5950099	       0.9165455	      -5.6251431
BMI	20-49	Men	Thyroid	non_attributable_rate	1	0	15	2	13	       0.0697661	      -5.0095833	      -5.0095833	       0.0000000	      -5.0095833
BMI	20-49	Men	Thyroid	non_attributable_rate	2	1	15	4	11	       0.0229695	      -5.7594935	      -5.5789568	       0.6707650	      -5.6383958
BMI	20-49	Men	Thyroid	non_attributable_rate	3	2	15	6	9	       0.0144118	      -5.8645358	      -5.5034625	       0.7800252	      -5.5828895
BMI	20-49	Women	Colorectum	Rate	1	0	15	2	13	       0.0293890	      -5.8741121	      -5.8741121	       0.0000000	      -5.8741121
BMI	20-49	Women	Colorectum	Rate	2	1	15	4	11	       0.0195264	      -5.9218931	      -5.7413564	       0.3355890	      -5.8613069
BMI	20-49	Women	Colorectum	Rate	3	2	15	6	9	       0.0120557	      -6.0430497	      -5.6819763	       0.7070173	      -5.7877646
BMI	20-49	Women	Colorectum	attributable_rate	1	0	15	2	13	       0.0498807	      -5.3450977	      -5.3450977	       0.0000000	      -5.3450977
BMI	20-49	Women	Colorectum	attributable_rate	2	1	15	4	11	       0.0220583	      -5.7999713	      -5.6194347	       0.5577797	      -5.6992717
BMI	20-49	Women	Colorectum	attributable_rate	3	2	15	6	9	       0.0125914	      -5.9995724	      -5.6384991	       0.7454290	      -5.7304179
BMI	20-49	Women	Colorectum	non_attributable_rate	1	0	15	2	13	       0.0273493	      -5.9460418	      -5.9460418	       0.0000000	      -5.9460418
BMI	20-49	Women	Colorectum	non_attributable_rate	2	1	15	4	11	       0.0193242	      -5.9323000	      -5.7517633	       0.2934290	      -5.8793253
BMI	20-49	Women	Colorectum	non_attributable_rate	3	2	15	6	9	       0.0119983	      -6.0478169	      -5.6867436	       0.6973368	      -5.7960272
BMI	20-49	Women	Endometrium	Rate	1	0	15	2	13	       0.0348119	      -5.7047732	      -5.7047732	       0.0000000	      -5.7047732
BMI	20-49	Women	Endometrium	Rate	2	1	15	4	11	       0.0292254	      -5.5186194	      -5.3380827	       0.1604754	      -5.4896477
BMI	20-49	Women	Endometrium	Rate	3	2	15	6	9	       0.0250604	      -5.3112953	      -4.9502219	       0.8814197	      -4.9930381
BMI	20-49	Women	Endometrium	attributable_rate	1	0	15	2	13	       0.0446695	      -5.4554406	      -5.4554406	       0.0000000	      -5.4554406
BMI	20-49	Women	Endometrium	attributable_rate	2	1	15	4	11	       0.0302512	      -5.4841216	      -5.3035849	       0.3227768	      -5.4258486
BMI	20-49	Women	Endometrium	attributable_rate	3	2	15	6	9	       0.0285723	      -5.1801488	      -4.8190755	       0.3440372	      -5.0559262
BMI	20-49	Women	Endometrium	non_attributable_rate	1	0	15	2	13	       0.0348177	      -5.7046053	      -5.7046053	       0.0000000	      -5.7046053
BMI	20-49	Women	Endometrium	non_attributable_rate	2	1	15	4	11	       0.0312006	      -5.4532201	      -5.2726834	       0.1038865	      -5.4344648
BMI	20-49	Women	Endometrium	non_attributable_rate	3	2	15	6	9	       0.0235406	      -5.3738595	      -5.0127862	       0.9022014	      -5.0480986
BMI	20-49	Women	Gallbladder	Rate	1	0	15	2	13	       0.3719098	      -3.3360809	      -3.3360809	       0.0000000	      -3.3360809
BMI	20-49	Women	Gallbladder	Rate	2	1	15	4	11	       0.2823214	      -3.2506124	      -3.0700758	       0.2408872	      -3.2071235
BMI	20-49	Women	Gallbladder	Rate	3	2	15	6	9	       0.2339608	      -3.0774316	      -2.7163582	       0.3333824	      -2.9570561
BMI	20-49	Women	Gallbladder	attributable_rate	1	0	15	2	13	       0.4317373	      -3.1869148	      -3.1869148	       0.0000000	      -3.1869148
BMI	20-49	Women	Gallbladder	attributable_rate	2	1	15	4	11	       0.2838447	      -3.2452316	      -3.0646949	       0.3425523	      -3.1833883
BMI	20-49	Women	Gallbladder	attributable_rate	3	2	15	6	9	       0.2312040	      -3.0892848	      -2.7282115	       0.4233866	      -2.9364112
BMI	20-49	Women	Gallbladder	non_attributable_rate	1	0	15	2	13	       0.3622710	      -3.3623395	      -3.3623395	       0.0000000	      -3.3623395
BMI	20-49	Women	Gallbladder	non_attributable_rate	2	1	15	4	11	       0.2822056	      -3.2510230	      -3.0704864	       0.2210099	      -3.2111226
BMI	20-49	Women	Gallbladder	non_attributable_rate	3	2	15	6	9	       0.2346543	      -3.0744720	      -2.7133987	       0.3152496	      -2.9606438
BMI	20-49	Women	Kidney	Rate	1	0	15	2	13	       0.1029715	      -4.6202803	      -4.6202803	       0.0000000	      -4.6202803
BMI	20-49	Women	Kidney	Rate	2	1	15	4	11	       0.0666991	      -4.6934673	      -4.5129306	       0.3522564	      -4.6298721
BMI	20-49	Women	Kidney	Rate	3	2	15	6	9	       0.0590664	      -4.4539237	      -4.0928504	       0.6201550	      -4.2300023
BMI	20-49	Women	Kidney	attributable_rate	1	0	15	2	13	       0.1337900	      -4.3584610	      -4.3584610	       0.0000000	      -4.3584610
BMI	20-49	Women	Kidney	attributable_rate	2	1	15	4	11	       0.0686153	      -4.6651432	      -4.4846065	       0.4871416	      -4.5771962
BMI	20-49	Women	Kidney	attributable_rate	3	2	15	6	9	       0.0603787	      -4.4319488	      -4.0708754	       0.6700260	      -4.1900203
BMI	20-49	Women	Kidney	non_attributable_rate	1	0	15	2	13	       0.0963024	      -4.6872393	      -4.6872393	       0.0000000	      -4.6872393
BMI	20-49	Women	Kidney	non_attributable_rate	2	1	15	4	11	       0.0664099	      -4.6978125	      -4.5172758	       0.3104021	      -4.6417735
BMI	20-49	Women	Kidney	non_attributable_rate	3	2	15	6	9	       0.0585908	      -4.4620069	      -4.1009335	       0.6072227	      -4.2427550
BMI	20-49	Women	Liver	Rate	1	0	15	2	13	       0.1232374	      -4.4406194	      -4.4406194	       0.0000000	      -4.4406194
BMI	20-49	Women	Liver	Rate	2	1	15	4	11	       0.0831397	      -4.4731367	      -4.2926000	       0.3253698	      -4.4143955
BMI	20-49	Women	Liver	Rate	3	2	15	6	9	       0.0564417	      -4.4993765	      -4.1383031	       0.8055220	      -4.2085240
BMI	20-49	Women	Liver	attributable_rate	1	0	15	2	13	       0.1406015	      -4.3088025	      -4.3088025	       0.0000000	      -4.3088025
BMI	20-49	Women	Liver	attributable_rate	2	1	15	4	11	       0.0719675	      -4.6174435	      -4.4369069	       0.4881453	      -4.5293154
BMI	20-49	Women	Liver	attributable_rate	3	2	15	6	9	       0.0610506	      -4.4208821	      -4.0598088	       0.5638502	      -4.2172908
BMI	20-49	Women	Liver	non_attributable_rate	1	0	15	2	13	       0.1224661	      -4.4468981	      -4.4468981	       0.0000000	      -4.4468981
BMI	20-49	Women	Liver	non_attributable_rate	2	1	15	4	11	       0.0865990	      -4.4323705	      -4.2518338	       0.2928735	      -4.3794961
BMI	20-49	Women	Liver	non_attributable_rate	3	2	15	6	9	       0.0554925	      -4.5163383	      -4.1552649	       0.8083444	      -4.2244666
BMI	20-49	Women	MultipleMyeloma	Rate	1	0	15	2	13	       0.1657844	      -4.1440439	      -4.1440439	       0.0000000	      -4.1440439
BMI	20-49	Women	MultipleMyeloma	Rate	2	1	15	4	11	       0.1152402	      -4.1466402	      -3.9661035	       0.3048792	      -4.0915983
BMI	20-49	Women	MultipleMyeloma	Rate	3	2	15	6	9	       0.1036490	      -3.8915755	      -3.5305021	       0.5308059	      -3.6999156
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1	0	15	2	13	       0.2026077	      -3.9434604	      -3.9434604	       0.0000000	      -3.9434604
BMI	20-49	Women	MultipleMyeloma	attributable_rate	2	1	15	4	11	       0.1107304	      -4.1865606	      -4.0060239	       0.4534741	      -4.1046919
BMI	20-49	Women	MultipleMyeloma	attributable_rate	3	2	15	6	9	       0.0989293	      -3.9381797	      -3.5771063	       0.5734151	      -3.7311348
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	1	0	15	2	13	       0.1636372	      -4.1570803	      -4.1570803	       0.0000000	      -4.1570803
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	2	1	15	4	11	       0.1155702	      -4.1437803	      -3.9632436	       0.2937411	      -4.0907492
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	3	2	15	6	9	       0.1040606	      -3.8876116	      -3.5265382	       0.5273326	      -3.6972058
BMI	20-49	Women	Pancreas	Rate	1	0	15	2	13	       0.0425661	      -5.5036736	      -5.5036736	       0.0000000	      -5.5036736
BMI	20-49	Women	Pancreas	Rate	2	1	15	4	11	       0.0404625	      -5.1932828	      -5.0127462	       0.0494196	      -5.1843608
BMI	20-49	Women	Pancreas	Rate	3	2	15	6	9	       0.0303656	      -5.1192761	      -4.7582028	       0.3874389	      -4.9793823
BMI	20-49	Women	Pancreas	attributable_rate	1	0	15	2	13	       0.0512385	      -5.3182408	      -5.3182408	       0.0000000	      -5.3182408
BMI	20-49	Women	Pancreas	attributable_rate	2	1	15	4	11	       0.0413275	      -5.1721298	      -4.9915931	       0.1934282	      -5.1372089
BMI	20-49	Women	Pancreas	attributable_rate	3	2	15	6	9	       0.0294453	      -5.1500503	      -4.7889770	       0.4337045	      -4.9934512
BMI	20-49	Women	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0423363	      -5.5090863	      -5.5090863	       0.0000000	      -5.5090863
BMI	20-49	Women	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0397513	      -5.2110163	      -5.0304797	       0.0610597	      -5.1999928
BMI	20-49	Women	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0304898	      -5.1151947	      -4.7541213	       0.3811917	      -4.9775565
BMI	20-49	Women	Thyroid	Rate	1	0	15	2	13	       0.0307197	      -5.8298273	      -5.8298273	       0.0000000	      -5.8298273
BMI	20-49	Women	Thyroid	Rate	2	1	15	4	11	       0.0123794	      -6.3776282	      -6.1970915	       0.5970224	      -6.2698438
BMI	20-49	Women	Thyroid	Rate	3	2	15	6	9	       0.0117514	      -6.0686122	      -5.7075388	       0.7474361	      -5.7987329
BMI	20-49	Women	Thyroid	attributable_rate	1	0	15	2	13	       0.0625237	      -5.1191858	      -5.1191858	       0.0000000	      -5.1191858
BMI	20-49	Women	Thyroid	attributable_rate	2	1	15	4	11	       0.0121881	      -6.3932017	      -6.2126650	       0.8050650	      -6.2478579
BMI	20-49	Women	Thyroid	attributable_rate	3	2	15	6	9	       0.0117146	      -6.0717525	      -5.7106791	       0.7509828	      -5.8005926
BMI	20-49	Women	Thyroid	non_attributable_rate	1	0	15	2	13	       0.0289954	      -5.8875935	      -5.8875935	       0.0000000	      -5.8875935
BMI	20-49	Women	Thyroid	non_attributable_rate	2	1	15	4	11	       0.0124240	      -6.3740324	      -6.1934957	       0.5715205	      -6.2708520
BMI	20-49	Women	Thyroid	non_attributable_rate	3	2	15	6	9	       0.0117670	      -6.0672906	      -5.7062172	       0.7530086	      -5.7953992
BMI	50+	Men	Colorectum	Rate	1	0	15	2	13	       0.0140999	      -6.6085678	      -6.6085678	       0.0000000	      -6.6085678
BMI	50+	Men	Colorectum	Rate	2	1	15	4	11	       0.0050312	      -7.2779977	      -7.0974610	       0.6431735	      -7.1618813
BMI	50+	Men	Colorectum	Rate	3	2	15	6	9	       0.0017723	      -7.9603276	      -7.5992542	       0.8948610	      -7.6372171
BMI	50+	Men	Colorectum	attributable_rate	1	0	15	2	13	       0.0216810	      -6.1782981	      -6.1782981	       0.0000000	      -6.1782981
BMI	50+	Men	Colorectum	attributable_rate	2	1	15	4	11	       0.0064329	      -7.0322300	      -6.8516933	       0.7032918	      -6.9052600
BMI	50+	Men	Colorectum	attributable_rate	3	2	15	6	9	       0.0017583	      -7.9682211	      -7.6071477	       0.9216681	      -7.6354313
BMI	50+	Men	Colorectum	non_attributable_rate	1	0	15	2	13	       0.0130236	      -6.6879705	      -6.6879705	       0.0000000	      -6.6879705
BMI	50+	Men	Colorectum	non_attributable_rate	2	1	15	4	11	       0.0047708	      -7.3311389	      -7.1506023	       0.6336785	      -7.2167367
BMI	50+	Men	Colorectum	non_attributable_rate	3	2	15	6	9	       0.0018872	      -7.8974669	      -7.5363935	       0.8801625	      -7.5796637
BMI	50+	Men	Gallbladder	Rate	1	0	15	2	13	       0.0484919	      -5.3733345	      -5.3733345	       0.0000000	      -5.3733345
BMI	50+	Men	Gallbladder	Rate	2	1	15	4	11	       0.0347671	      -5.3449881	      -5.1644514	       0.2830341	      -5.2938900
BMI	50+	Men	Gallbladder	Rate	3	2	15	6	9	       0.0310385	      -5.0973562	      -4.7362829	       0.3832940	      -4.9589590
BMI	50+	Men	Gallbladder	attributable_rate	1	0	15	2	13	       0.0603294	      -5.1549119	      -5.1549119	       0.0000000	      -5.1549119
BMI	50+	Men	Gallbladder	attributable_rate	2	1	15	4	11	       0.0442726	      -5.1032938	      -4.9227571	       0.2661534	      -5.0552433
BMI	50+	Men	Gallbladder	attributable_rate	3	2	15	6	9	       0.0308613	      -5.1030823	      -4.7420089	       0.4679369	      -4.9341227
BMI	50+	Men	Gallbladder	non_attributable_rate	1	0	15	2	13	       0.0482404	      -5.3785359	      -5.3785359	       0.0000000	      -5.3785359
BMI	50+	Men	Gallbladder	non_attributable_rate	2	1	15	4	11	       0.0340754	      -5.3650823	      -5.1845456	       0.2936326	      -5.3120708
BMI	50+	Men	Gallbladder	non_attributable_rate	3	2	15	6	9	       0.0300205	      -5.1307060	      -4.7696326	       0.4017525	      -4.9856439
BMI	50+	Men	Kidney	Rate	1	0	15	2	13	       0.0330092	      -5.7579461	      -5.7579461	       0.0000000	      -5.7579461
BMI	50+	Men	Kidney	Rate	2	1	15	4	11	       0.0134135	      -6.2974001	      -6.1168634	       0.5936448	      -6.1902254
BMI	50+	Men	Kidney	Rate	3	2	15	6	9	       0.0091292	      -6.3211064	      -5.9600330	       0.7172454	      -6.0621282
BMI	50+	Men	Kidney	attributable_rate	1	0	15	2	13	       0.0412733	      -5.5345165	      -5.5345165	       0.0000000	      -5.5345165
BMI	50+	Men	Kidney	attributable_rate	2	1	15	4	11	       0.0131855	      -6.3145391	      -6.1340024	       0.6805314	      -6.1916782
BMI	50+	Men	Kidney	attributable_rate	3	2	15	6	9	       0.0077674	      -6.4826516	      -6.1215782	       0.7063879	      -6.2275937
BMI	50+	Men	Kidney	non_attributable_rate	1	0	15	2	13	       0.0318153	      -5.7947837	      -5.7947837	       0.0000000	      -5.7947837
BMI	50+	Men	Kidney	non_attributable_rate	2	1	15	4	11	       0.0137172	      -6.2750079	      -6.0944712	       0.5688494	      -6.1723097
BMI	50+	Men	Kidney	non_attributable_rate	3	2	15	6	9	       0.0094289	      -6.2888107	      -5.9277373	       0.6159413	      -6.0664107
BMI	50+	Men	Liver	Rate	1	0	15	2	13	       0.0307202	      -5.8298120	      -5.8298120	       0.0000000	      -5.8298120
BMI	50+	Men	Liver	Rate	2	1	15	4	11	       0.0066969	      -6.9920067	      -6.8114700	       0.7820019	      -6.8508267
BMI	50+	Men	Liver	Rate	3	2	15	6	9	       0.0046615	      -6.9932418	      -6.6321684	       0.8161527	      -6.6985508
BMI	50+	Men	Liver	attributable_rate	1	0	15	2	13	       0.0437737	      -5.4756992	      -5.4756992	       0.0000000	      -5.4756992
BMI	50+	Men	Liver	attributable_rate	2	1	15	4	11	       0.0069993	      -6.9478543	      -6.7673176	       0.8401035	      -6.7961848
BMI	50+	Men	Liver	attributable_rate	3	2	15	6	9	       0.0045267	      -7.0226025	      -6.6615291	       0.8211322	      -6.7261135
BMI	50+	Men	Liver	non_attributable_rate	1	0	15	2	13	       0.0286241	      -5.9004838	      -5.9004838	       0.0000000	      -5.9004838
BMI	50+	Men	Liver	non_attributable_rate	2	1	15	4	11	       0.0064934	      -7.0228792	      -6.8423425	       0.7731507	      -6.8832971
BMI	50+	Men	Liver	non_attributable_rate	3	2	15	6	9	       0.0050812	      -6.9070349	      -6.5459615	       0.8163721	      -6.6122647
BMI	50+	Men	MultipleMyeloma	Rate	1	0	15	2	13	       0.0361281	      -5.6676601	      -5.6676601	       0.0000000	      -5.6676601
BMI	50+	Men	MultipleMyeloma	Rate	2	1	15	4	11	       0.0315708	      -5.4414271	      -5.2608904	       0.1261446	      -5.4186534
BMI	50+	Men	MultipleMyeloma	Rate	3	2	15	6	9	       0.0241918	      -5.3465716	      -4.9854982	       0.3225150	      -5.2301200
BMI	50+	Men	MultipleMyeloma	attributable_rate	1	0	15	2	13	       0.0385809	      -5.6019739	      -5.6019739	       0.0000000	      -5.6019739
BMI	50+	Men	MultipleMyeloma	attributable_rate	2	1	15	4	11	       0.0295390	      -5.5079490	      -5.3274123	       0.2343640	      -5.4656377
BMI	50+	Men	MultipleMyeloma	attributable_rate	3	2	15	6	9	       0.0243869	      -5.3385409	      -4.9774675	       0.6616156	      -5.0996491
BMI	50+	Men	MultipleMyeloma	non_attributable_rate	1	0	15	2	13	       0.0361028	      -5.6683617	      -5.6683617	       0.0000000	      -5.6683617
BMI	50+	Men	MultipleMyeloma	non_attributable_rate	2	1	15	4	11	       0.0318785	      -5.4317269	      -5.2511902	       0.1170075	      -5.4106027
BMI	50+	Men	MultipleMyeloma	non_attributable_rate	3	2	15	6	9	       0.0240668	      -5.3517518	      -4.9906785	       0.3286978	      -5.2330678
BMI	50+	Men	Pancreas	Rate	1	0	15	2	13	       0.0044641	      -7.7586717	      -7.7586717	       0.0000000	      -7.7586717
BMI	50+	Men	Pancreas	Rate	2	1	15	4	11	       0.0034187	      -7.6643883	      -7.4838517	       0.2341665	      -7.6221127
BMI	50+	Men	Pancreas	Rate	3	2	15	6	9	       0.0033815	      -7.3142643	      -6.9531910	       0.2543808	      -7.2224142
BMI	50+	Men	Pancreas	attributable_rate	1	0	15	2	13	       0.0086378	      -7.0985893	      -7.0985893	       0.0000000	      -7.0985893
BMI	50+	Men	Pancreas	attributable_rate	2	1	15	4	11	       0.0043502	      -7.4234381	      -7.2429014	       0.4963745	      -7.3338243
BMI	50+	Men	Pancreas	attributable_rate	3	2	15	6	9	       0.0036675	      -7.2330702	      -6.8719968	       0.6004306	      -7.0162707
BMI	50+	Men	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0044001	      -7.7731025	      -7.7731025	       0.0000000	      -7.7731025
BMI	50+	Men	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0034566	      -7.6533767	      -7.4728400	       0.2144318	      -7.6146639
BMI	50+	Men	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0033609	      -7.3203723	      -6.9592990	       0.3256530	      -7.2027877
BMI	50+	Men	Thyroid	Rate	1	0	15	2	13	       0.0784577	      -4.8921731	      -4.8921731	       0.0000000	      -4.8921731
BMI	50+	Men	Thyroid	Rate	2	1	15	4	11	       0.0436443	      -5.1175862	      -4.9370496	       0.4437217	      -5.0374782
BMI	50+	Men	Thyroid	Rate	3	2	15	6	9	       0.0408831	      -4.8218696	      -4.4607962	       0.5768546	      -4.6135827
