"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
BMI	50+	Men	Colorectum	non_attributable_rate	2	0	2005	2011	1.0131	0.2602	1.7716	1	3.1862	0.015359
BMI	50+	Men	Colorectum	non_attributable_rate	2	1	2011	2014	-3.4562	-7.6359	0.9126	0	-1.8792	0.102281
BMI	50+	Men	Colorectum	non_attributable_rate	2	2	2014	2019	-0.2575	-1.2398	0.7345	0	-0.6162	0.557290
BMI	50+	Men	Gallbladder	Rate	0	0	2005	2019	2.4585	1.6538	3.2696	1	6.6543	0.000016
BMI	50+	Men	Gallbladder	attributable_rate	0	0	2005	2019	5.5320	4.6079	6.4643	1	13.2258	0.000000
BMI	50+	Men	Gallbladder	non_attributable_rate	0	0	2005	2019	2.0341	1.2348	2.8397	1	5.5314	0.000097
BMI	50+	Men	Kidney	Rate	1	0	2005	2014	4.1881	3.1484	5.2382	1	9.1154	0.000004
BMI	50+	Men	Kidney	Rate	1	1	2014	2019	0.3882	-2.0478	2.8848	0	0.3515	0.732538
BMI	50+	Men	Kidney	attributable_rate	2	0	2005	2010	4.5957	2.4353	6.8016	1	5.0907	0.001414
BMI	50+	Men	Kidney	attributable_rate	2	1	2010	2013	8.7666	-0.9260	19.4074	0	2.1289	0.070780
BMI	50+	Men	Kidney	attributable_rate	2	2	2013	2019	1.3646	-0.2221	2.9765	0	2.0314	0.081745
BMI	50+	Men	Kidney	non_attributable_rate	1	0	2005	2014	3.7475	2.7062	4.7995	1	8.1256	0.000010
BMI	50+	Men	Kidney	non_attributable_rate	1	1	2014	2019	0.1086	-2.3349	2.6132	0	0.0979	0.923977
BMI	50+	Men	Liver	Rate	1	0	2005	2013	6.3010	5.5929	7.0138	1	20.3711	0.000000
BMI	50+	Men	Liver	Rate	1	1	2013	2019	2.3563	1.3020	3.4216	1	5.0118	0.000528
BMI	50+	Men	Liver	attributable_rate	1	0	2005	2013	8.5549	7.8044	9.3106	1	26.3630	0.000000
BMI	50+	Men	Liver	attributable_rate	1	1	2013	2019	3.5930	2.4856	4.7124	1	7.3180	0.000025
BMI	50+	Men	Liver	non_attributable_rate	1	0	2005	2014	5.4209	4.6666	6.1805	1	16.3812	0.000000
BMI	50+	Men	Liver	non_attributable_rate	1	1	2014	2019	1.3396	-0.4272	3.1378	0	1.6858	0.122728
BMI	50+	Men	MultipleMyeloma	Rate	0	0	2005	2019	3.2279	2.5277	3.9329	1	10.0841	0.000000
BMI	50+	Men	MultipleMyeloma	attributable_rate	0	0	2005	2019	4.4321	3.7001	5.1692	1	13.3205	0.000000
BMI	50+	Men	MultipleMyeloma	non_attributable_rate	0	0	2005	2019	3.0939	2.3949	3.7977	1	9.6751	0.000000
BMI	50+	Men	Pancreas	Rate	0	0	2005	2019	1.4198	1.1774	1.6627	1	12.7305	0.000000
BMI	50+	Men	Pancreas	attributable_rate	1	0	2005	2013	4.1424	3.5442	4.7441	1	15.6995	0.000000
BMI	50+	Men	Pancreas	attributable_rate	1	1	2013	2019	2.4919	1.5813	3.4107	1	6.1454	0.000109
BMI	50+	Men	Pancreas	non_attributable_rate	0	0	2005	2019	1.0990	0.8592	1.3394	1	9.9413	0.000000
BMI	50+	Men	Thyroid	Rate	1	0	2005	2014	6.8981	4.9091	8.9247	1	7.9137	0.000013
BMI	50+	Men	Thyroid	Rate	1	1	2014	2019	1.7334	-2.8408	6.5229	0	0.8323	0.424648
BMI	50+	Men	Thyroid	attributable_rate	1	0	2005	2014	8.8401	6.7729	10.9473	1	9.8429	0.000002
BMI	50+	Men	Thyroid	attributable_rate	1	1	2014	2019	2.7618	-1.9534	7.7038	0	1.2923	0.225304
BMI	50+	Men	Thyroid	non_attributable_rate	1	0	2005	2014	6.6803	4.6983	8.6997	1	7.6833	0.000017
BMI	50+	Men	Thyroid	non_attributable_rate	1	1	2014	2019	1.5966	-2.9647	6.3723	0	0.7683	0.460059
BMI	50+	Women	Breast	Rate	0	0	2005	2019	0.3803	0.1549	0.6061	1	3.6483	0.002947
BMI	50+	Women	Breast	attributable_rate	1	0	2005	2014	1.4788	1.0742	1.8850	1	8.1869	0.000010
BMI	50+	Women	Breast	attributable_rate	1	1	2014	2019	0.0909	-0.8839	1.0752	0	0.2068	0.840343
BMI	50+	Women	Breast	non_attributable_rate	0	0	2005	2019	0.3210	0.0939	0.5486	1	3.0546	0.009218
BMI	50+	Women	Colorectum	Rate	2	0	2005	2011	0.8331	0.1114	1.5600	1	2.7311	0.029294
BMI	50+	Women	Colorectum	Rate	2	1	2011	2017	-1.3921	-2.3247	-0.4506	1	-3.4884	0.010151
BMI	50+	Women	Colorectum	Rate	2	2	2017	2019	2.1427	-2.1072	6.5770	0	1.1796	0.276679
BMI	50+	Women	Colorectum	attributable_rate	2	0	2005	2009	3.2610	1.8299	4.7121	1	5.4373	0.000969
BMI	50+	Women	Colorectum	attributable_rate	2	1	2009	2017	-0.5821	-1.1667	0.0059	0	-2.3411	0.051764
BMI	50+	Women	Colorectum	attributable_rate	2	2	2017	2019	2.0363	-2.3687	6.6400	0	1.0801	0.315888
BMI	50+	Women	Colorectum	non_attributable_rate	2	0	2005	2011	0.5893	-0.1090	1.2925	0	1.9944	0.086332
BMI	50+	Women	Colorectum	non_attributable_rate	2	1	2011	2017	-1.4639	-2.3678	-0.5517	1	-3.7841	0.006855
BMI	50+	Women	Colorectum	non_attributable_rate	2	2	2017	2019	2.0478	-2.0724	6.3414	0	1.1631	0.282908
BMI	50+	Women	Endometrium	Rate	1	0	2005	2012	2.3918	1.7167	3.0714	1	7.9613	0.000012
BMI	50+	Women	Endometrium	Rate	1	1	2012	2019	0.2005	-0.4602	0.8655	0	0.6746	0.515192
BMI	50+	Women	Endometrium	attributable_rate	1	0	2005	2010	4.5157	3.3684	5.6757	1	8.9156	0.000005
BMI	50+	Women	Endometrium	attributable_rate	1	1	2010	2019	1.0328	0.5786	1.4891	1	5.0807	0.000477
BMI	50+	Women	Endometrium	non_attributable_rate	1	0	2005	2013	1.6145	1.0213	2.2112	1	6.0949	0.000116
BMI	50+	Women	Endometrium	non_attributable_rate	1	1	2013	2019	-0.2637	-1.1643	0.6451	0	-0.6487	0.531163
BMI	50+	Women	Gallbladder	Rate	0	0	2005	2019	2.9697	2.4369	3.5053	1	12.1863	0.000000
BMI	50+	Women	Gallbladder	attributable_rate	1	0	2005	2010	5.9612	3.5062	8.4744	1	5.5037	0.000260
BMI	50+	Women	Gallbladder	attributable_rate	1	1	2010	2019	2.9126	1.9324	3.9022	1	6.6845	0.000055
BMI	50+	Women	Gallbladder	non_attributable_rate	0	0	2005	2019	2.7221	2.1959	3.2510	1	11.2986	0.000000
BMI	50+	Women	Kidney	Rate	1	0	2005	2014	4.5825	3.5871	5.5875	1	10.4391	0.000001
BMI	50+	Women	Kidney	Rate	1	1	2014	2019	-0.7758	-3.0731	1.5761	0	-0.7407	0.475883
BMI	50+	Women	Kidney	attributable_rate	2	0	2005	2008	8.5750	2.3174	15.2153	1	3.2772	0.013539
BMI	50+	Women	Kidney	attributable_rate	2	1	2008	2014	4.4039	1.6687	7.2126	1	3.8387	0.006385
BMI	50+	Women	Kidney	attributable_rate	2	2	2014	2019	-0.0016	-2.6213	2.6887	0	-0.0014	0.998936
BMI	50+	Women	Kidney	non_attributable_rate	1	0	2005	2014	4.2383	3.2866	5.1988	1	10.0839	0.000001
BMI	50+	Women	Kidney	non_attributable_rate	1	1	2014	2019	-0.8880	-3.0898	1.3640	0	-0.8846	0.397160
BMI	50+	Women	Liver	Rate	1	0	2005	2013	5.7582	4.0700	7.4737	1	7.7522	0.000015
BMI	50+	Women	Liver	Rate	1	1	2013	2019	0.8221	-1.6602	3.3670	0	0.7318	0.481090
BMI	50+	Women	Liver	attributable_rate	1	0	2005	2013	7.0771	5.2400	8.9462	1	8.8042	0.000005
BMI	50+	Women	Liver	attributable_rate	1	1	2013	2019	1.3000	-1.3796	4.0525	0	1.0735	0.308266
BMI	50+	Women	Liver	non_attributable_rate	1	0	2005	2013	5.3830	3.7201	7.0725	1	7.3449	0.000025
BMI	50+	Women	Liver	non_attributable_rate	1	1	2013	2019	0.6645	-1.7856	3.1757	0	0.5989	0.562585
BMI	50+	Women	MultipleMyeloma	Rate	0	0	2005	2019	2.5947	1.8047	3.3909	1	7.1589	0.000007
BMI	50+	Women	MultipleMyeloma	attributable_rate	0	0	2005	2019	3.2597	2.4686	4.0569	1	9.0107	0.000001
BMI	50+	Women	MultipleMyeloma	non_attributable_rate	0	0	2005	2019	2.5257	1.7341	3.3235	1	6.9520	0.000010
BMI	50+	Women	Pancreas	Rate	1	0	2005	2013	1.1879	0.7489	1.6288	1	6.0513	0.000123
BMI	50+	Women	Pancreas	Rate	1	1	2013	2019	-0.0461	-0.7172	0.6294	0	-0.1527	0.881709
BMI	50+	Women	Pancreas	attributable_rate	1	0	2005	2011	2.4953	1.6580	3.3395	1	6.6952	0.000054
BMI	50+	Women	Pancreas	attributable_rate	1	1	2011	2019	0.6105	0.0793	1.1446	1	2.5615	0.028299
BMI	50+	Women	Pancreas	non_attributable_rate	1	0	2005	2013	1.0656	0.6313	1.5017	1	5.4844	0.000268
BMI	50+	Women	Pancreas	non_attributable_rate	1	1	2013	2019	-0.0876	-0.7519	0.5811	0	-0.2928	0.775643
BMI	50+	Women	Thyroid	Rate	1	0	2005	2014	5.7854	4.5829	7.0017	1	10.9614	0.000001
BMI	50+	Women	Thyroid	Rate	1	1	2014	2019	2.1574	-0.6637	5.0586	0	1.6983	0.120303
BMI	50+	Women	Thyroid	attributable_rate	1	0	2005	2014	6.9367	5.8286	8.0565	1	14.3460	0.000000
BMI	50+	Women	Thyroid	attributable_rate	1	1	2014	2019	2.5049	-0.0775	5.1539	0	2.1605	0.056066
BMI	50+	Women	Thyroid	non_attributable_rate	1	0	2005	2014	5.6590	4.4384	6.8938	1	10.5557	0.000001
BMI	50+	Women	Thyroid	non_attributable_rate	1	1	2014	2019	2.1131	-0.7523	5.0611	0	1.6370	0.132672
