"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"year"	"incidence_rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
BMI	20-49	Men	Pancreas	non_attributable_rate	2014	1.59	1.45	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2015	1.32	1.47	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2016	1.59	1.49	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2017	1.41	1.52	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2018	1.59	1.54	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2019	1.50	1.56	NA	1.5479*	0	0
BMI	20-49	Men	Thyroid	Rate	2005	1.50	1.38	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2006	1.40	1.50	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2007	1.60	1.64	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2008	1.70	1.78	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2009	2.00	1.93	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2010	2.10	2.10	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2011	2.40	2.29	NA	8.7472*	1	1
BMI	20-49	Men	Thyroid	Rate	2012	2.50	2.49	Joinpoint 1	NA	1	1
BMI	20-49	Men	Thyroid	Rate	2013	2.50	2.56	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	Rate	2014	2.70	2.64	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	Rate	2015	2.70	2.72	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	Rate	2016	2.70	2.80	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	Rate	2017	2.80	2.89	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	Rate	2018	3.10	2.98	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	Rate	2019	3.10	3.07	NA	3.0482*	1	1
BMI	20-49	Men	Thyroid	attributable_rate	2005	0.11	0.11	NA	5.5458	2	2
BMI	20-49	Men	Thyroid	attributable_rate	2006	0.11	0.12	NA	5.5458	2	2
BMI	20-49	Men	Thyroid	attributable_rate	2007	0.13	0.12	Joinpoint 1	NA	2	2
BMI	20-49	Men	Thyroid	attributable_rate	2008	0.14	0.14	NA	15.2433*	2	2
BMI	20-49	Men	Thyroid	attributable_rate	2009	0.17	0.16	NA	15.2433*	2	2
